0|arte astratta
11H(JAMES THE LESS)32|San Giacomo Minore apostolo, primo vescovo di Gerusalemme; attributi: follone, cartiglio, libro - battesimo, consacrazione, pronuncia dei voti del santo
11H(JAMES THE LESS)33|San Giacomo Minore apostolo, primo vescovo di Gerusalemme; attributi: follone, cartiglio, libro - rinuncia ai beni terreni, vita ascetica del santo
11H(JAMES THE LESS)34|San Giacomo Minore apostolo, primo vescovo di Gerusalemme; attributi: follone, cartiglio, libro - visione/i, nozze mistiche del santo
11H(JAMES THE LESS)35|San Giacomo Minore apostolo, primo vescovo di Gerusalemme; attributi: follone, cartiglio, libro - tentazioni del santo
11H(JAMES THE LESS)36|San Giacomo Minore apostolo, primo vescovo di Gerusalemme; attributi: follone, cartiglio, libro - penitenza del santo
11H(JAMES THE LESS)37|San Giacomo Minore apostolo, primo vescovo di Gerusalemme; attributi: follone, cartiglio, libro - il santo in meditazione, in estasi
11H(JAMES THE LESS)4|San Giacomo Minore apostolo, primo vescovo di Gerusalemme; attributi: follone, cartiglio, libro - attività ed episodi non miracolosi ~ santo
11H(JAMES THE LESS)5|San Giacomo Minore apostolo, primo vescovo di Gerusalemme; attributi: follone, cartiglio, libro - attività ed episodi miracolosi ~ santo
11H(JAMES THE LESS)59|San Giacomo Minore apostolo, primo vescovo di Gerusalemme; attributi: follone, cartiglio, libro - stimmatizzazione del santo
11H(JAMES THE LESS)6|San Giacomo Minore apostolo, primo vescovo di Gerusalemme; attributi: follone, cartiglio, libro - martirio, sofferenze, avversità, morte del santo
11H(JAMES THE LESS)68|San Giacomo Minore apostolo, primo vescovo di Gerusalemme; attributi: follone, cartiglio, libro - morte, letto di morte del santo
11H(JAMES THE LESS)69|San Giacomo Minore apostolo, primo vescovo di Gerusalemme; attributi: follone, cartiglio, libro - maltrattamento del cadavere del santo
11H(JAMES THE LESS)7|San Giacomo Minore apostolo, primo vescovo di Gerusalemme; attributi: follone, cartiglio, libro - gloria, trionfo del santo
11H(JAMES THE LESS)8|San Giacomo Minore apostolo, primo vescovo di Gerusalemme; attributi: follone, cartiglio, libro - avvenimenti post mortem ~ santo
11H(JAMES THE LESS)81|San Giacomo Minore apostolo, primo vescovo di Gerusalemme; attributi: follone, cartiglio, libro - rinvenimento, traslazione delle reliquie del santo
11H(JAMES THE LESS)82|San Giacomo Minore apostolo, primo vescovo di Gerusalemme; attributi: follone, cartiglio, libro - miracoli avvenuti durante la manipolazione delle reliquie del santo
11H(JAMES THE LESS)83|San Giacomo Minore apostolo, primo vescovo di Gerusalemme; attributi: follone, cartiglio, libro - interventi compiuti dopo la morte, apparizioni post mortem del santo
11H(JAMES THE LESS)84|San Giacomo Minore apostolo, primo vescovo di Gerusalemme; attributi: follone, cartiglio, libro - beatificazione, canonizzazione del santo
11H(JAMES THE LESS)9|San Giacomo Minore apostolo, primo vescovo di Gerusalemme; attributi: follone, cartiglio, libro - ritratti del santo
11H(JANUARIUS)|San Gennaro di Benevento, vescovo e martire; attributi: fiamme, libro sopra al quale sono due ampolle di sangue
11H(JANUARIUS)0|San Gennaro di Benevento, vescovo e martire; attributi: fiamme, libro sopra al quale sono due ampolle di sangue - santo raffigurato in un gruppo; gruppo di santi
11H(JANUARIUS)1|specifiche iconografie ~ San Gennaro
11H(JANUARIUS)11|San Gennaro come protettore contro le eruzioni del Vesuvio, in piedi accanto al vulcano o in atto di bloccare il flusso della lava
11H(JANUARIUS)119|San Gennaro come protettore contro le eruzioni del Vesuvio, in piedi accanto al vulcano o in atto di bloccare il flusso della lava - santo che protegge i devoti con il manto, 'Schutzmantel'
11H(JANUARIUS)12|specifiche iconografie ~ San Gennaro - santo (come Dottore della Chiesa) che scrive, studia, insegna, detta
11H(JANUARIUS)13|specifiche iconografie ~ San Gennaro - santo come fondatore di un Ordine
11H(JANUARIUS)131|specifiche iconografie ~ San Gennaro - santo ~ conferma dell'Ordine, approvazione della Regola
11H(JANUARIUS)2|San Gennaro di Benevento, vescovo e martire; attributi: fiamme, libro sopra al quale sono due ampolle di sangue - primo periodo della vita del santo
11H(JANUARIUS)3|San Gennaro di Benevento, vescovo e martire; attributi: fiamme, libro sopra al quale sono due ampolle di sangue - devozione privata del santo
11H(JANUARIUS)31|San Gennaro di Benevento, vescovo e martire; attributi: fiamme, libro sopra al quale sono due ampolle di sangue - vocazione, conversione del santo
11H(JANUARIUS)32|San Gennaro di Benevento, vescovo e martire; attributi: fiamme, libro sopra al quale sono due ampolle di sangue - battesimo, consacrazione, pronuncia dei voti del santo
11H(JANUARIUS)33|San Gennaro di Benevento, vescovo e martire; attributi: fiamme, libro sopra al quale sono due ampolle di sangue - rinuncia ai beni terreni, vita ascetica del santo
11H(JANUARIUS)34|San Gennaro di Benevento, vescovo e martire; attributi: fiamme, libro sopra al quale sono due ampolle di sangue - visione/i, nozze mistiche del santo
11H(JANUARIUS)35|San Gennaro di Benevento, vescovo e martire; attributi: fiamme, libro sopra al quale sono due ampolle di sangue - tentazioni del santo
11H(JANUARIUS)36|San Gennaro di Benevento, vescovo e martire; attributi: fiamme, libro sopra al quale sono due ampolle di sangue - penitenza del santo
11H(JANUARIUS)37|San Gennaro di Benevento, vescovo e martire; attributi: fiamme, libro sopra al quale sono due ampolle di sangue - il santo in meditazione, in estasi
11H(JANUARIUS)4|San Gennaro di Benevento, vescovo e martire; attributi: fiamme, libro sopra al quale sono due ampolle di sangue - attività ed episodi non miracolosi ~ santo
11H(JANUARIUS)5|San Gennaro di Benevento, vescovo e martire; attributi: fiamme, libro sopra al quale sono due ampolle di sangue - attività ed episodi miracolosi ~ santo
11H(JANUARIUS)59|San Gennaro di Benevento, vescovo e martire; attributi: fiamme, libro sopra al quale sono due ampolle di sangue - stimmatizzazione del santo
11H(JANUARIUS)6|martirio, sofferenze, avversità, morte di San Gennaro
11H(JANUARIUS)61|San Gennaro e i suoi compagni gettati in pasto ai leoni nell'arena; i leoni non li toccano
11H(JANUARIUS)62|San Gennaro nella fornace ardente
11H(JANUARIUS)68|San Gennaro è decapitato (in genere insieme ai suoi compagni)
11H(JANUARIUS)681|durante la decapitazione a San Gennaro viene reciso l'indice
11H(JANUARIUS)682|dopo la decapitazione una donna raccoglie il sangue di San Gennaro in una spugna o in un'ampolla
11H(JANUARIUS)69|martirio, sofferenze, avversità, morte di San Gennaro - maltrattamento del cadavere del santo
11H(JANUARIUS)7|San Gennaro di Benevento, vescovo e martire; attributi: fiamme, libro sopra al quale sono due ampolle di sangue - gloria, trionfo del santo
11H(JANUARIUS)8|San Gennaro di Benevento, vescovo e martire; attributi: fiamme, libro sopra al quale sono due ampolle di sangue - avvenimenti post mortem ~ santo
11H(JANUARIUS)81|San Gennaro di Benevento, vescovo e martire; attributi: fiamme, libro sopra al quale sono due ampolle di sangue - rinvenimento, traslazione delle reliquie del santo
11H(JANUARIUS)82|San Gennaro di Benevento, vescovo e martire; attributi: fiamme, libro sopra al quale sono due ampolle di sangue - miracoli avvenuti durante la manipolazione delle reliquie del santo
11H(JANUARIUS)83|San Gennaro di Benevento, vescovo e martire; attributi: fiamme, libro sopra al quale sono due ampolle di sangue - interventi compiuti dopo la morte, apparizioni post mortem del santo
11H(JANUARIUS)84|San Gennaro di Benevento, vescovo e martire; attributi: fiamme, libro sopra al quale sono due ampolle di sangue - beatificazione, canonizzazione del santo
11H(JANUARIUS)9|San Gennaro di Benevento, vescovo e martire; attributi: fiamme, libro sopra al quale sono due ampolle di sangue - ritratti del santo
11H(JEROME)|San Girolamo (Hieronimus) monaco ed eremita; attributi: libro, cappello cardinalizio, clessidra, crocifisso, leone, pietra, teschio
11H(JEROME)0|San Girolamo (Hieronimus) monaco ed eremita; attributi: libro, cappello cardinalizio, clessidra, crocifisso, leone, pietra, teschio - santo raffigurato in un gruppo; gruppo di santi
11H(JEROME)1|specifiche iconografie ~ San Girolamo
11H(JEROME)11|specifiche iconografie ~ San Girolamo - santo come patrono, protettore, intercessore
11H(JEROME)119|specifiche iconografie ~ San Girolamo - santo che protegge i devoti con il manto, 'Schutzmantel'
11H(JEROME)12|San Girolamo come Dottore della Chiesa nel suo studio con il libro, la penna e il calamaio, accanto il leone e il cappello cardinalizio
11H(JEROME)121|San Girolamo traduce l'Antico e il Nuovo Testamento in latino (la Vulgata)
11H(JEROME)122|San Girolamo insieme ai suoi discepole Santa Paola e Sant'Eustochio
11H(JEROME)13|specifiche iconografie ~ San Girolamo - santo come fondatore di un Ordine
11H(JEROME)131|specifiche iconografie ~ San Girolamo - santo ~ conferma dell'Ordine, approvazione della Regola
11H(JEROME)2|San Girolamo (Hieronimus) monaco ed eremita; attributi: libro, cappello cardinalizio, clessidra, crocifisso, leone, pietra, teschio - primo periodo della vita del santo
11H(JEROME)3|devozione privata di San Girolamo
11H(JEROME)31|devozione privata di San Girolamo - vocazione, conversione del santo
11H(JEROME)32|devozione privata di San Girolamo - battesimo, consacrazione, pronuncia dei voti del santo
11H(JEROME)33|devozione privata di San Girolamo - rinuncia ai beni terreni, vita ascetica del santo
11H(JEROME)34|visioni di San Girolamo
11H(JEROME)341|San Girolamo in sogno è fustigato dagli angeli dopo essere stato accusato da Dio di preferire Cicerone alla Bibbia; 'Ciceronianus es'
11H(JEROME)342|San Girolamo ascolta gli angeli che suonano le trombe del Giudizio Universale
11H(JEROME)35|San Girolamo tentato dalle danza di giovani fanciulle
11H(JEROME)36|San Girolamo come penitente nel deserto, seminudo, in ginocchio davanti al crocifisso, si percuote il petto con una pietra; sono raffigurati accanto a lui il teschio (e altri simboli della 'Vanitas') e talora uno scorpione e un serpente
11H(JEROME)361|San Girolamo eremita in un paesaggio, in atto di leggere
11H(JEROME)362|San Girolamo penitente nel suo studio
11H(JEROME)37|devozione privata di San Girolamo - il santo in meditazione, in estasi
11H(JEROME)4|San Girolamo (Hieronimus) monaco ed eremita; attributi: libro, cappello cardinalizio, clessidra, crocifisso, leone, pietra, teschio - attività ed episodi non miracolosi ~ santo
11H(JEROME)5|attività ed episodi miracolosi ~ San Girolamo
11H(JEROME)51|San Girolamo estrae una spina dalla zampa del leone
11H(JEROME)52|il leone riporta l'asino rubato (insieme ai mercanti con i loro cammelli) a San Girolamo nel monastero; talvolta è la raffigurazione dei monaci che fuggono del leone
11H(JEROME)59|attività ed episodi miracolosi ~ San Girolamo - stimmatizzazione del santo
11H(JEROME)6|martirio, sofferenze, avversità, morte di San Girolamo
11H(JEROME)68|morte di San Girolamo: è attorniato dai suoi discepoli
11H(JEROME)681|Ultima Comunione di San Girolamo: il santo è assistito e sorretto dai sacerdoti più giovani, uno dei quali gli somministra il sacramento; in genere è presente Santa Paola
11H(JEROME)682|funerali di San Girolamo
11H(JEROME)69|martirio, sofferenze, avversità, morte di San Girolamo - maltrattamento del cadavere del santo
11H(JEROME)7|San Girolamo (Hieronimus) monaco ed eremita; attributi: libro, cappello cardinalizio, clessidra, crocifisso, leone, pietra, teschio - gloria, trionfo del santo
11H(JEROME)8|avvenimenti post mortem ~ San Girolamo
11H(JEROME)81|avvenimenti post mortem ~ San Girolamo - rinvenimento, traslazione delle reliquie del santo
11H(JEROME)82|avvenimenti post mortem ~ San Girolamo - miracoli avvenuti durante la manipolazione delle reliquie del santo
11H(JEROME)83|San Girolamo appare a Sant'Agostino
11H(JEROME)84|avvenimenti post mortem ~ San Girolamo - beatificazione, canonizzazione del santo
11H(JEROME)9|San Girolamo (Hieronimus) monaco ed eremita; attributi: libro, cappello cardinalizio, clessidra, crocifisso, leone, pietra, teschio - ritratti del santo
11H(JOACHIM)|San Gioacchino, padre di Maria Vergine; attributi: agnello, bastone (da pastore), due colombe, libro
11H(JOACHIM)0|San Gioacchino, padre di Maria Vergine; attributi: agnello, bastone (da pastore), due colombe, libro - santo raffigurato in un gruppo; gruppo di santi
11H(JOACHIM)1|San Gioacchino, padre di Maria Vergine; attributi: agnello, bastone (da pastore), due colombe, libro - specifiche iconografie ~ santo
11H(JOACHIM)11|San Gioacchino, padre di Maria Vergine; attributi: agnello, bastone (da pastore), due colombe, libro - santo come patrono, protettore, intercessore
11H(JOACHIM)119|San Gioacchino, padre di Maria Vergine; attributi: agnello, bastone (da pastore), due colombe, libro - santo che protegge i devoti con il manto, 'Schutzmantel'
11H(JOACHIM)12|San Gioacchino, padre di Maria Vergine; attributi: agnello, bastone (da pastore), due colombe, libro - santo (come Dottore della Chiesa) che scrive, studia, insegna, detta
11H(JOACHIM)13|San Gioacchino, padre di Maria Vergine; attributi: agnello, bastone (da pastore), due colombe, libro - santo come fondatore di un Ordine
11H(JOACHIM)131|San Gioacchino, padre di Maria Vergine; attributi: agnello, bastone (da pastore), due colombe, libro - santo ~ conferma dell'Ordine, approvazione della Regola
11H(JOACHIM)2|San Gioacchino, padre di Maria Vergine; attributi: agnello, bastone (da pastore), due colombe, libro - primo periodo della vita del santo
11H(JOACHIM)3|San Gioacchino, padre di Maria Vergine; attributi: agnello, bastone (da pastore), due colombe, libro - devozione privata del santo
11H(JOACHIM)31|San Gioacchino, padre di Maria Vergine; attributi: agnello, bastone (da pastore), due colombe, libro - vocazione, conversione del santo
11H(JOACHIM)32|San Gioacchino, padre di Maria Vergine; attributi: agnello, bastone (da pastore), due colombe, libro - battesimo, consacrazione, pronuncia dei voti del santo
11H(JOACHIM)33|San Gioacchino, padre di Maria Vergine; attributi: agnello, bastone (da pastore), due colombe, libro - rinuncia ai beni terreni, vita ascetica del santo
11H(JOACHIM)34|San Gioacchino, padre di Maria Vergine; attributi: agnello, bastone (da pastore), due colombe, libro - visione/i, nozze mistiche del santo
11H(JOACHIM)35|San Gioacchino, padre di Maria Vergine; attributi: agnello, bastone (da pastore), due colombe, libro - tentazioni del santo
11H(JOACHIM)36|San Gioacchino, padre di Maria Vergine; attributi: agnello, bastone (da pastore), due colombe, libro - penitenza del santo
11H(JOACHIM)37|San Gioacchino, padre di Maria Vergine; attributi: agnello, bastone (da pastore), due colombe, libro - il santo in meditazione, in estasi
11H(JOACHIM)4|San Gioacchino, padre di Maria Vergine; attributi: agnello, bastone (da pastore), due colombe, libro - attività ed episodi non miracolosi ~ santo
11H(JOACHIM)5|San Gioacchino, padre di Maria Vergine; attributi: agnello, bastone (da pastore), due colombe, libro - attività ed episodi miracolosi ~ santo
11H(JOACHIM)59|San Gioacchino, padre di Maria Vergine; attributi: agnello, bastone (da pastore), due colombe, libro - stimmatizzazione del santo
11H(JOACHIM)6|San Gioacchino, padre di Maria Vergine; attributi: agnello, bastone (da pastore), due colombe, libro - martirio, sofferenze, avversità, morte del santo
11H(JOACHIM)68|San Gioacchino, padre di Maria Vergine; attributi: agnello, bastone (da pastore), due colombe, libro - morte, letto di morte del santo
11H(JOACHIM)69|San Gioacchino, padre di Maria Vergine; attributi: agnello, bastone (da pastore), due colombe, libro - maltrattamento del cadavere del santo
11H(JOACHIM)7|San Gioacchino, padre di Maria Vergine; attributi: agnello, bastone (da pastore), due colombe, libro - gloria, trionfo del santo
11H(JOACHIM)8|San Gioacchino, padre di Maria Vergine; attributi: agnello, bastone (da pastore), due colombe, libro - avvenimenti post mortem ~ santo
11H(JOACHIM)81|San Gioacchino, padre di Maria Vergine; attributi: agnello, bastone (da pastore), due colombe, libro - rinvenimento, traslazione delle reliquie del santo
11H(JOACHIM)82|San Gioacchino, padre di Maria Vergine; attributi: agnello, bastone (da pastore), due colombe, libro - miracoli avvenuti durante la manipolazione delle reliquie del santo
11H(JOACHIM)83|San Gioacchino, padre di Maria Vergine; attributi: agnello, bastone (da pastore), due colombe, libro - interventi compiuti dopo la morte, apparizioni post mortem del santo
11H(JOACHIM)84|San Gioacchino, padre di Maria Vergine; attributi: agnello, bastone (da pastore), due colombe, libro - beatificazione, canonizzazione del santo
11H(JOACHIM)9|San Gioacchino, padre di Maria Vergine; attributi: agnello, bastone (da pastore), due colombe, libro - ritratti del santo
11H(JOHN & PAUL)|San Giovanni e San Paolo di Roma fratelli martiri; attributi: chiave, spada
11H(JOHN & PAUL)0|San Giovanni e San Paolo di Roma fratelli martiri; attributi: chiave, spada - santo raffigurato in un gruppo; gruppo di santi
11H(JOHN & PAUL)1|specifiche iconografie ~ Santi Giovanni e Paolo
11H(JOHN & PAUL)11|i Santi Giovanni e Paolo patroni del tempo atmosferico: San Giovanni regge il sole raggiante o una nuvola col fulmine, San Paolo regge una nuvola carica di gocce di pioggia o chicchi di grandine
11H(JOHN & PAUL)119|i Santi Giovanni e Paolo patroni del tempo atmosferico: San Giovanni regge il sole raggiante o una nuvola col fulmine, San Paolo regge una nuvola carica di gocce di pioggia o chicchi di grandine - santo che protegge i devoti con il manto, 'Schutzmantel'
11H(JOHN & PAUL)12|specifiche iconografie ~ Santi Giovanni e Paolo - santo (come Dottore della Chiesa) che scrive, studia, insegna, detta
11H(JOHN & PAUL)13|specifiche iconografie ~ Santi Giovanni e Paolo - santo come fondatore di un Ordine
11H(JOHN & PAUL)131|specifiche iconografie ~ Santi Giovanni e Paolo - santo ~ conferma dell'Ordine, approvazione della Regola
11H(JOHN & PAUL)2|San Giovanni e San Paolo di Roma fratelli martiri; attributi: chiave, spada - primo periodo della vita del santo
11H(JOHN & PAUL)3|San Giovanni e San Paolo di Roma fratelli martiri; attributi: chiave, spada - devozione privata del santo
11H(JOHN & PAUL)31|San Giovanni e San Paolo di Roma fratelli martiri; attributi: chiave, spada - vocazione, conversione del santo
11H(JOHN & PAUL)32|San Giovanni e San Paolo di Roma fratelli martiri; attributi: chiave, spada - battesimo, consacrazione, pronuncia dei voti del santo
11H(JOHN & PAUL)33|San Giovanni e San Paolo di Roma fratelli martiri; attributi: chiave, spada - rinuncia ai beni terreni, vita ascetica del santo
11H(JOHN & PAUL)34|San Giovanni e San Paolo di Roma fratelli martiri; attributi: chiave, spada - visione/i, nozze mistiche del santo
11H(JOHN & PAUL)35|San Giovanni e San Paolo di Roma fratelli martiri; attributi: chiave, spada - tentazioni del santo
11H(JOHN & PAUL)36|San Giovanni e San Paolo di Roma fratelli martiri; attributi: chiave, spada - penitenza del santo
11H(JOHN & PAUL)37|San Giovanni e San Paolo di Roma fratelli martiri; attributi: chiave, spada - il santo in meditazione, in estasi
11H(JOHN & PAUL)4|San Giovanni e San Paolo di Roma fratelli martiri; attributi: chiave, spada - attività ed episodi non miracolosi ~ santo
11H(JOHN & PAUL)5|San Giovanni e San Paolo di Roma fratelli martiri; attributi: chiave, spada - attività ed episodi miracolosi ~ santo
11H(JOHN & PAUL)59|San Giovanni e San Paolo di Roma fratelli martiri; attributi: chiave, spada - stimmatizzazione del santo
11H(JOHN & PAUL)6|martirio, sofferenze, avversità, morte dei Santi Giovanni e Paolo
11H(JOHN & PAUL)68|i Santi Giovanni e Paolo sono decapitati
11H(JOHN & PAUL)69|martirio, sofferenze, avversità, morte dei Santi Giovanni e Paolo - maltrattamento del cadavere del santo
11H(JOHN & PAUL)7|San Giovanni e San Paolo di Roma fratelli martiri; attributi: chiave, spada - gloria, trionfo del santo
11H(JOHN & PAUL)8|San Giovanni e San Paolo di Roma fratelli martiri; attributi: chiave, spada - avvenimenti post mortem ~ santo
11H(JOHN & PAUL)81|San Giovanni e San Paolo di Roma fratelli martiri; attributi: chiave, spada - rinvenimento, traslazione delle reliquie del santo
11H(JOHN & PAUL)82|San Giovanni e San Paolo di Roma fratelli martiri; attributi: chiave, spada - miracoli avvenuti durante la manipolazione delle reliquie del santo
11H(JOHN & PAUL)83|San Giovanni e San Paolo di Roma fratelli martiri; attributi: chiave, spada - interventi compiuti dopo la morte, apparizioni post mortem del santo
11H(JOHN & PAUL)84|San Giovanni e San Paolo di Roma fratelli martiri; attributi: chiave, spada - beatificazione, canonizzazione del santo
11H(JOHN & PAUL)9|San Giovanni e San Paolo di Roma fratelli martiri; attributi: chiave, spada - ritratti del santo
11H(JOHN CHRYSOSTOM)|San Giovanni Crisostomo, arcivescovo di Costantinopoli; attributi: alveare, colomba
11H(JOHN CHRYSOSTOM)0|San Giovanni Crisostomo, arcivescovo di Costantinopoli; attributi: alveare, colomba - santo raffigurato in un gruppo; gruppo di santi
11H(JOHN CHRYSOSTOM)1|specifiche iconografie ~ San Giovanni Crisostomo
11H(JOHN CHRYSOSTOM)11|specifiche iconografie ~ San Giovanni Crisostomo - santo come patrono, protettore, intercessore
11H(JOHN CHRYSOSTOM)119|specifiche iconografie ~ San Giovanni Crisostomo - santo che protegge i devoti con il manto, 'Schutzmantel'
11H(JOHN CHRYSOSTOM)12|San Giovanni Crisostomo come Dottore della Chiesa Greca; in atto di scrivere
11H(JOHN CHRYSOSTOM)121|una fonte sgorga dagli scritti di San Giovanni Crisostomo; i fedeli bevono di quell'acqua
11H(JOHN CHRYSOSTOM)13|specifiche iconografie ~ San Giovanni Crisostomo - santo come fondatore di un Ordine
11H(JOHN CHRYSOSTOM)131|specifiche iconografie ~ San Giovanni Crisostomo - santo ~ conferma dell'Ordine, approvazione della Regola
11H(JOHN CHRYSOSTOM)2|San Giovanni Crisostomo, arcivescovo di Costantinopoli; attributi: alveare, colomba - primo periodo della vita del santo
11H(JOHN CHRYSOSTOM)3|devozione privata di San Giovanni Crisostomo
11H(JOHN CHRYSOSTOM)31|devozione privata di San Giovanni Crisostomo - vocazione, conversione del santo
11H(JOHN CHRYSOSTOM)32|devozione privata di San Giovanni Crisostomo - battesimo, consacrazione, pronuncia dei voti del santo
11H(JOHN CHRYSOSTOM)33|devozione privata di San Giovanni Crisostomo - rinuncia ai beni terreni, vita ascetica del santo
11H(JOHN CHRYSOSTOM)34|devozione privata di San Giovanni Crisostomo - visione/i, nozze mistiche del santo
11H(JOHN CHRYSOSTOM)35|devozione privata di San Giovanni Crisostomo - tentazioni del santo
11H(JOHN CHRYSOSTOM)36|San Giovanni Crisostomo come eremita penitente nel deserto, che striscia carponi; sono raffigurati una donna nuda con un bambino (talvolta in atto di allattarlo)
11H(JOHN CHRYSOSTOM)37|devozione privata di San Giovanni Crisostomo - il santo in meditazione, in estasi
11H(JOHN CHRYSOSTOM)4|attività ed episodi non miracolosi ~ San Giovanni Crisostomo
11H(JOHN CHRYSOSTOM)41|la carità di San Giovanni Crisostomo; fa l'elemosina a un povero
11H(JOHN CHRYSOSTOM)5|San Giovanni Crisostomo, arcivescovo di Costantinopoli; attributi: alveare, colomba - attività ed episodi miracolosi ~ santo
11H(JOHN CHRYSOSTOM)59|San Giovanni Crisostomo, arcivescovo di Costantinopoli; attributi: alveare, colomba - stimmatizzazione del santo
11H(JOHN CHRYSOSTOM)6|San Giovanni Crisostomo, arcivescovo di Costantinopoli; attributi: alveare, colomba - martirio, sofferenze, avversità, morte del santo
11H(JOHN CHRYSOSTOM)68|San Giovanni Crisostomo, arcivescovo di Costantinopoli; attributi: alveare, colomba - morte, letto di morte del santo
11H(JOHN CHRYSOSTOM)69|San Giovanni Crisostomo, arcivescovo di Costantinopoli; attributi: alveare, colomba - maltrattamento del cadavere del santo
11H(JOHN CHRYSOSTOM)7|San Giovanni Crisostomo, arcivescovo di Costantinopoli; attributi: alveare, colomba - gloria, trionfo del santo
11H(JOHN CHRYSOSTOM)8|San Giovanni Crisostomo, arcivescovo di Costantinopoli; attributi: alveare, colomba - avvenimenti post mortem ~ santo
11H(JOHN CHRYSOSTOM)81|San Giovanni Crisostomo, arcivescovo di Costantinopoli; attributi: alveare, colomba - rinvenimento, traslazione delle reliquie del santo
11H(JOHN CHRYSOSTOM)82|San Giovanni Crisostomo, arcivescovo di Costantinopoli; attributi: alveare, colomba - miracoli avvenuti durante la manipolazione delle reliquie del santo
11H(JOHN CHRYSOSTOM)83|San Giovanni Crisostomo, arcivescovo di Costantinopoli; attributi: alveare, colomba - interventi compiuti dopo la morte, apparizioni post mortem del santo
11H(JOHN CHRYSOSTOM)84|San Giovanni Crisostomo, arcivescovo di Costantinopoli; attributi: alveare, colomba - beatificazione, canonizzazione del santo
11H(JOHN CHRYSOSTOM)9|San Giovanni Crisostomo, arcivescovo di Costantinopoli; attributi: alveare, colomba - ritratti del santo
11H(JOHN DAMASCENE)|San Giovanni Damasceno (di Damasco) monaco e teologo; attributi: mano
11H(JOHN DAMASCENE)0|San Giovanni Damasceno (di Damasco) monaco e teologo; attributi: mano - santo raffigurato in un gruppo; gruppo di santi
11H(JOHN DAMASCENE)1|specifiche iconografie San Giovanni Damasceno
11H(JOHN DAMASCENE)11|specifiche iconografie San Giovanni Damasceno - santo come patrono, protettore, intercessore
11H(JOHN DAMASCENE)119|specifiche iconografie San Giovanni Damasceno - santo che protegge i devoti con il manto, 'Schutzmantel'
11H(JOHN DAMASCENE)12|San Giovanni Damasceno scrive al suo tavolo
11H(JOHN DAMASCENE)13|specifiche iconografie San Giovanni Damasceno - santo come fondatore di un Ordine
11H(JOHN DAMASCENE)131|specifiche iconografie San Giovanni Damasceno - santo ~ conferma dell'Ordine, approvazione della Regola
11H(JOHN DAMASCENE)2|San Giovanni Damasceno (di Damasco) monaco e teologo; attributi: mano - primo periodo della vita del santo
11H(JOHN DAMASCENE)3|San Giovanni Damasceno (di Damasco) monaco e teologo; attributi: mano - devozione privata del santo
11H(JOHN DAMASCENE)31|San Giovanni Damasceno (di Damasco) monaco e teologo; attributi: mano - vocazione, conversione del santo
11H(JOHN DAMASCENE)32|San Giovanni Damasceno (di Damasco) monaco e teologo; attributi: mano - battesimo, consacrazione, pronuncia dei voti del santo
11H(JOHN DAMASCENE)33|San Giovanni Damasceno (di Damasco) monaco e teologo; attributi: mano - rinuncia ai beni terreni, vita ascetica del santo
11H(JOHN DAMASCENE)34|San Giovanni Damasceno (di Damasco) monaco e teologo; attributi: mano - visione/i, nozze mistiche del santo
11H(JOHN DAMASCENE)35|San Giovanni Damasceno (di Damasco) monaco e teologo; attributi: mano - tentazioni del santo
11H(JOHN DAMASCENE)36|San Giovanni Damasceno (di Damasco) monaco e teologo; attributi: mano - penitenza del santo
11H(JOHN DAMASCENE)37|San Giovanni Damasceno (di Damasco) monaco e teologo; attributi: mano - il santo in meditazione, in estasi
11H(JOHN DAMASCENE)4|San Giovanni Damasceno (di Damasco) monaco e teologo; attributi: mano - attività ed episodi non miracolosi ~ santo
11H(JOHN DAMASCENE)5|attività ed episodi miracolosi ~ San Giovanni Damasceno
11H(JOHN DAMASCENE)51|la mano recisa di San Giovanni Damasceno viene risanata dalla Vergine o da un angelo
11H(JOHN DAMASCENE)59|attività ed episodi miracolosi ~ San Giovanni Damasceno - stimmatizzazione del santo
11H(JOHN DAMASCENE)6|San Giovanni Damasceno (di Damasco) monaco e teologo; attributi: mano - martirio, sofferenze, avversità, morte del santo
11H(JOHN DAMASCENE)68|San Giovanni Damasceno (di Damasco) monaco e teologo; attributi: mano - morte, letto di morte del santo
11H(JOHN DAMASCENE)69|San Giovanni Damasceno (di Damasco) monaco e teologo; attributi: mano - maltrattamento del cadavere del santo
11H(JOHN DAMASCENE)7|San Giovanni Damasceno (di Damasco) monaco e teologo; attributi: mano - gloria, trionfo del santo
11H(JOHN DAMASCENE)8|San Giovanni Damasceno (di Damasco) monaco e teologo; attributi: mano - avvenimenti post mortem ~ santo
11H(JOHN DAMASCENE)81|San Giovanni Damasceno (di Damasco) monaco e teologo; attributi: mano - rinvenimento, traslazione delle reliquie del santo
11H(JOHN DAMASCENE)82|San Giovanni Damasceno (di Damasco) monaco e teologo; attributi: mano - miracoli avvenuti durante la manipolazione delle reliquie del santo
11H(JOHN DAMASCENE)83|San Giovanni Damasceno (di Damasco) monaco e teologo; attributi: mano - interventi compiuti dopo la morte, apparizioni post mortem del santo
11H(JOHN DAMASCENE)84|San Giovanni Damasceno (di Damasco) monaco e teologo; attributi: mano - beatificazione, canonizzazione del santo
11H(JOHN DAMASCENE)9|San Giovanni Damasceno (di Damasco) monaco e teologo; attributi: mano - ritratti del santo
