5|idee e concetti astratti
71F2143|Gedeone chiede due volte al Signore di dargli una prova con un vello di lana prima dell'attacco contro i Madianiti
71F21431|la rugiada è solo sul vello, mentre il terreno è asciutto (prima prova concessa a Gedeone)
71F214311|Gedeone strizza il vello e ne spreme una coppa piena d'acqua
71F21432|è asciutto solo il vello, mentre il terreno è bagnato (seconda prova concessa a Gedeone)
71F21433|il vello di Gedeone (senza altre raffigurazioni)
71F215|gli uomini di Gedeone vengono scelti prima dell'attacco contro i Madianiti
71F2151|per scegliere un esercito per l'attacco contro i Madianiti Gedeone manda via coloro che avevano paura e conduce i rimanenti diecimila alle acque
71F2152|coloro che lambiscono l'acqua portando la mano alla bocca vengono separati da quelli che si inginocchiano per bere l'acqua
71F2153|l'esercito di Gedeone, trecento guerrieri, prende i viveri e le trombe
71F216|Gedeone e il suo esercito attaccano i Madianiti
71F2161|durante la notte Gedeone va nell'accampamento Madianita con il suo servitore Pura
71F2162|Gedeone sente un Madianita che racconta il suo sogno di una pagnotta d'orzo
71F2163|Gedeone divide i suoi uomini in tre schiere
71F2164|l'attacco ai Madianiti: Gedeone e i suoi uomini suonano le trombe, rompono le brocche, e prendono le fiaccole
71F21641|fuga dei Madianiti
71F2165|gli uomini di Gedeone inseguono i Madianiti
71F2166|gli Efraimiti tagliano i guadi del fiume ai Madianiti
71F2167|Oreb e Zebvengono catturati e uccisi dagli Efraimiti; le loro teste sono portate a Gedeone
71F21671|Oreb viene ucciso alla roccia di Oreb
71F21672|Zeb viene ucciso al torchio di Zeb
71F217|l'inseguimento di Zebach e Zalmunna; gli ultimi giorni di Gedeone
71F2171|gli Efraimiti insoddisfatti si rappacificano con Gedeone
71F2172|Gedeone chiede del pane per i suoi soldati affamati
71F21721|la gente di Succot rifiuta il pane a Gedeone
71F21722|la gente di Penuel rifiuta il pane a Gedeone
71F2173|Gedeone insegue Zebach e Zalmunna, i due re di Madian, e li prende prigionieri
71F2174|Gedeone punisce Succot e Penuel
71F21741|al ritorno dalla battaglia, Gedeone cattura e interroga un giovane di Succot
71F21742|gli anziani di Succot sono puniti con spine e cardi
71F21743|la torre di Penuel viene distrutta e gli abitani uccisi
71F2175|Gedeone uccide Zebach e Zalmunna
71F21751|Gedeone prende gli ornamenti che i loro cammelli portavano al collo
71F2176|Gedeone rifiuta di regnare su Israele
71F2177|Gedeone chiede che gli vengano dati gli orecchini dei Madianiti uccisi
71F21771|con l'oro degli orecchini e di altri gioielli Gedeone fabbrica un efod che viene posto in Ofra
71F2178|morte e sepoltura di Gedeone
71F218|la storia di Abimelech, re di Sichem
71F2181|Abimelech esorta la sua famiglia a Sichem a sostenere lui al posto dei suoi fratelli, i settanta figli di Gedeone
71F2182|Abimelech riceve il sostegno dei fratelli di sua madre, che gli danno settanta pezzi d'argento
71F2183|Abimelech, con uomini assoldati, uccide i suoi fratelli sopra una pietra, eccetto Iotam che si era nascosto
71F2184|Abimelech viene proclamato re a Sichem
71F2185|sulla sommità del Monte Garizim, Iotam racconta la favola della sovranità tra gli alberi
71F2186|disaccordo tra i Sichemiti e Abimelech
71F21861|i Sichemiti derubano i viaggiatori
71F21862|i Sichemiti pigiano l'uva delle proprie vigne e fanno festa
71F21863|Gaal, figlio di Ebed, diviene capo della ribellione contro Abimelech
71F21864|Zebul manda messaggeri ad Abimelech per metterlo in guardia contro Gaal
71F21865|Abimelech con un esercito in agguato davanti a Sichem
71F21866|Gaal vede le truppe che avanzano; Zebul gli dice che si tratta delle ombre delle montagne
71F21867|Gaal combatte con Abimelech; viene sconfitto e scacciato a Sichem
71F21868|Gaal e i suoi fratelli sono scacciati da Sichem da Zebul
71F21869|Abimelech prende la città di Sichem e la distrugge, mentre due compagni uccidono la gente nei campi
71F2187|la torre di Sichem
71F21871|i soldati di Abimelech lo imitano tagliando rami dagli alberi con una scure
71F21872|con i rami tagliati dagli alberi i soldati di Abimelech appiccano il fuoco alla torre di Sichem
71F2188|la torre di Tebes; morte di Abimelech
71F21881|dopo aver preso la città di Tebes, Abimelech tenta di bruciare la torre nella quale gli abitanti avevano trovato rifugio
71F21882|Abimelech viene colpito sul capo da una macina lanciata da una donna
71F21883|per propria richiesta Abimelech viene trafitto a morte dal suo scudiero
71F22|il tempo di Tola
71F23|il tempo di Iair
71F231|i trenta figli di Iair che cavalcano tranta asinelli, ed Hanno trenta città
71F24|il tempo di Iefte
71F241|Israele dopo la morte di Iair (Gd. 10, 6-18)
71F2411|gli Israeliti adorano Baal, Astarte e altri idoli
71F2412|Israele è oppressa dagli Ammoniti
71F2413|gli Israeliti pregano il Signore di liberarli
71F242|Iefte, figlio di Galaad, viene cacciato dai suoi fratelli perché è figlio di una prostituta (Gd. 11, 1-3)
71F243|Iefte diviene comandante dei Galaaditi (Gd. 11, 4-11)
71F2431|gli anziani di Galaad cercano Iefte per chiedergli di assumere il comando
71F2432|Iefte ritorna indietro con gli anziani di Galaad e viene nominato condottiero dei Galaaditi
71F244|Iefte manda dei messaggeri al re degli Ammoniti per tentare una trattativa (Gd. 11, 12-28)
71F245|la storia della figlia di Iefte (Gd. 11, 29-40)
71F2451|prima della battaglia tra gli Israeliti e gli Ammoniti, Iefte fa voto di offrire al Signore al suo ritorno la prima persona che fosse uscita dalla porta della sua casa per andargli incontro
71F2452|l'esercito di Iefte sconfigge gli Ammoniti; vengono prese venti città
71F2453|la figlia di Iefte, danzando con i tamburelli, esce incontro a suo padre che torna dalla battaglia; Iefte si straccia le vesti per la disperazione
71F2454|la figlia di Iefte chiede di lasciarle due mesi, e si ritira sui monti con le sue compagne per piangere la sua verginità
71F2455|adempimento del voto di Iefte al Signore; il sacrificio dela figlia di Iephte
71F2456|ogni anno, per quattro giorni le fanciulle di Israele vanno a piangere la figlia di Iephte
71F246|Iephte e i Galaaditi sconfiggono gli Efraimiti
71F2461|i fuggiaschi di Efraim vengono uccisi al fiume Giordano quando pronunciano Sibbolet anziché Scibbolet
71F247|morte di Iephte (Gd. 12, 7)
71F25|il tempo di Ibsan (Gd. 12, 8-10)
71F26|il tempo di Elon (Gd. 12, 11-12)
71F27|il tempo di Abdon (Gd. 12, 13-15)
71F271|i quaranta figli e i trenta nipoti di Abdon cavalcano settanta asinelli
71F3|il tempo di Sansone
71F31|nascita e giovinezza di Sansone
71F311|un angelo annuncia la nascita di Sansone alla moglie di Manoach
71F3111|la moglie di Manoach gli racconta dell'apparizione dell'angelo
71F312|a Manoach e a sua moglie viene annunciata la nascita di un figlio
71F313|l'angelo rifiuta il cibo offertogli da Manoach (secondo annuncio della nascita di Sansone)
71F314|sacrificio di Manoach: l'angelo sale tra le fiamme
71F315|nascita di Sansone
71F316|circoncisione di Sansone
71F317|giovinezza di Sansone
71F32|viaggio di Sansone a Timna (Gd. 14, 1-9)
71F321|Sansone a Timna sceglie per moglie una donna filistea
71F322|Sansone chiede l'assenso ai propri genitori; questi contestano la sua scelta
71F323|Sansone con i genitori durante il viaggio per Timna
71F324|nella vigna di Timna Sansone incontra un leone ruggente
71F325|Sansone uccide il leone con le mani nude
71F326|Sansone parla con la donna di Timna
71F327|Sansone torna a vedere la carcassa del leone
71F3271|Sansone trova uno sciame di api nel corpo del leone
71F3272|Sansone mangia il miele che aveva trovato nella carcassa del leone
71F3273|Sansone dà un pò di miele ai suoi genitori
71F33|le nozze e l'indovinello di Sansone
71F331|durante la festa di nozze Sansone propone un indovinello
71F332|i trenta Filistei, incapaci di risolvere l'indovinello di Sansone, minacciano la moglie di Sansone per farle scoprire la soluzione
71F333|Sansone, stanco dei suoi pianti, rivela alla moglie la soluzione dell'indovinello
71F334|la moglie di Sansone riferisce la risposta ai Filistei
71F335|i Filistei danno a Sansone la soluzione dell'indovinello
71F336|Sansone va ad Ascalon, uccide trenta Filistei e prende le loro vesti
71F3361|Sansone dà le vesti ai trenta vincitori della sfida
71F337|Sansone, in collera, parte dal paese dei Filistei; sua moglie viene data a un altro uomo
71F34|conflitto tra Sansone e i Filistei
71F341|Sansone portando un capretto va dalla moglie, ma suo padre rifiuta di farlo entrare
71F342|viene riferito a Sansone che sua moglie è stata data a un altro uomo, e gli viene offerta in moglie la sorella più giovane
71F343|Sansone lega trecento volpi due a due per la coda, con una fiaccola tra le code; accende le torce e le lascia andare per i campi di grano dei Filistei, incendiandoli
71F344|i Filistei bruciano vivi la moglie di Sansone e suo padre
71F345|Sansone si vendica dei Filistei; li colpisce battendoli 'uno sull'altro facendone grande strage'
71F346|Sansone si ritira in un caverna della rupe di Etam
71F35|Sansone e la mascella d'asino
71F351|i Filistei vanno in Giuda per catturare Sansone
71F352|alla rupe di Etam tremila uomini di Giuda chiedono a Sansone di arrendersi, e lo legano con due funi nuove
71F353|mentre gli uomini di Giuda giungevano a Lechi per consegnare Sansone ai Filistei, che gridavano di gioia, le funi si disfanno
71F354|Sansone uccide mille Filistei con una mascella d'asino
71F355|Sansone beve acqua da un pozzo, dopo aver ucciso mille Filistei
71F356|l'acqua sgorga da una cavità della mascella d'asino
71F3561|Sansone beve dalla mascella d'asino, dopo aver ucciso mille Filistei
71F36|Sansone a Gaza
71F361|Sansone va da una prostituta a Gaza
71F362|gli uomini di Gaza cospirano contro Sansone
71F363|Sansone prende le porte della città
71F3631|Sansone trasporta sulle spalle le porte fino alla cima di un monte vicino a Ebron
71F37|Sansone e Dalila
71F371|incontro di Sansone e Dalila
71F372|i Filistei offrono millecento pezzi d'argento a Dalila in cambio del segreto della forza di Sansone
71F373|Dalila tenta di scoprire il segreto di Sansone
71F3731|Dalila lega Sansone con sette ramoscelli verdi
71F3732|Dalila lega Sansone con funi nuove
71F3733|Dalila tesse nell'ordito le sette trecce di Sansone
71F374|Dalila scopre il segreto di Sansone e avverte i Filistei, che arrivano con il denaro
71F375|Sansone dorme nel grembo di Dalila; Dalila viene rappresentata di solito mentre fa cenno a un Filisteo o porta un dito alle labbra
71F376|un Filisteo rade o taglia le trecce di Sansone (in genere con un paio di forbici)
71F3761|Dalila taglia le trecce di Sansone
71F377|Sansone si sveglia e si trova privo dei capelli e della forza, e viene preso prigioniero
71F3771|Sansone viene torturato dai Filistei; Dalila viene pagata
71F378|l'accecamento di Sansone
71F3781|Sansone cieco a Gaza, legato con catene di rame
71F379|Sansone fa girare la macina in prigione (in un mulino)
71F38|morte di Sansone
71F381|Sansone viene fatto uscire di prigione per far divertire i Filistei in festa; in qualche caso Sansone suona l'arpa
71F3811|Sansone sradica un albero per provare la sua forza
71F382|il fanciullo che guidava Sansone cieco lo lascia alle colonne che sostengono la casa (o il tempio)
71F383|Sansone spezza le colonne; il tempio di Dagon crolla, uccidendo chiunque vi fosse
71F384|sepoltura di Sansone
71F4|l'idolatria di Mica Ephraimita (Gd. 17 - 18)
71F41|Mica restituisce a sua madre il denaro che le aveva rubato
71F42|la madre di Mica fa fare a un orefice con i pezzi d'argento un idolo scolpito e uno di getto
71F421|il santuario illegittimo di Mica
71F43|un giovane Levita diviene sacerdote del santuario di Mica
71F44|le cinque spie dei Daniti
71F441|le cinque spie dei Daniti nella casa di Mica, parlano con il Levita
71F442|le cinque spie dei Daniti osservano la città di Lais
71F443|le cinque spie dei Daniti riferiscono le proprie scoperte al loro popolo
71F45|un esercito di Daniti viene a sapere degli oggetti consacrati di Mica
71F451|i Daniti saccheggiano il santuario di Mica
71F452|il sacerdote levita parte con i Daniti
71F453|Mica e i suoi vicini inseguono i Daniti, ma vengono messi in fuga
71F46|i Daniti conquistano e incendiano Lais
71F47|i Daniti ricostruiscono la città e la chiamano Dan
71F471|i Daniti erigono un'immagine scolpita di Mica
71F5|il crimine dei Beniaminiti
71F51|un Levita va a prendere la sua concubina dalla casa di suo padre a Betlemme di Giud
71F511|il Levita, che era andato a prendere la sua concubina, viene trattenuto da suo suocero
71F512|il Levita parte con la sua concubina, il suo servitore e due asini sellati
71F52|il viaggio di ritorno del Levita e della sua concubina
71F521|vicino a Iebus, il Levita e la sua concubina decidono di proseguire per Gabaa
71F522|in una strada di Gabaa un vecchio offre un alloggio al Levita e alla sua concubina
71F523|il vecchio riceve nella sua casa il Levita e la sua concubina
71F524|i Beniaminiti di Gabaa, figli di Belial, bussano alla porta e reclamano il Levita
71F5241|il vecchio cerca di trattare con gli uomini di Gabaa
71F525|la concubina del Levita viene mandata fuori, e gli uomini di Gabaa abusano di lei per tutta la notte
71F526|al mattino la concubina del Levita giace morta sulla soglia
71F527|il Levita in viaggio, con la sua concubina morta su un asino
71F528|il Levita divide il cadavere della sua concubina in dodici pezzi con un coltello, e li manda per tutto il territorio di Israele
71F53|la vendetta di Israele sui Beniaminiti
71F531|assemblea degli Israeliti a Mizpa
71F5311|a Mizpa il Levita racconta l'accaduto agli Israeliti e chiede un parere
71F532|battaglia tra Israeliti e Beniaminiti
71F5321|gli Israeliti chiedono ai Beniaminiti di consegnare loro gli uomini di Gabaa; i Beniaminiti rifiutano
71F5322|gli Israeliti consultano il Signore per tre volte
71F53221|i Beniaminiti uccidono ventiduemila Israeliti
71F53222|i Beniaminiti uccidono diciottomila Israeliti
71F5323|i Beniaminiti vedono salire da Gabaa una colonna di fumo, e vengono sconfitti
71F5324|seicento Beniaminiti fuggono alla roccia di Rimmon
71F54|la riabilitazione della tribù di Beniamino
71F541|gli abitanti di Iabes di Galaad sono uccisi; vengono risparmiate solo quattrocento giovani vergini
71F542|le quattrocento vergini vengono offerte ai Beniaminiti alla roccia di Rimmon
71F543|la festa annuale del Signore a Silo
71F5431|i Beniaminiti, appostati in attesa nelle vigne, spiano le vergini di Silo che danzano
71F5432|i Beniaminiti prendono una moglie per ciascuno tra le fanciulle danzanti di Silo
71F544|i Beniaminiti ricostruiscono le loro città distrutte
71F6|storia di Rut, la Moabita
71F61|Elimelech, Noemi e i loro figli Maclon e Chilion, a Moab (Rt. 1, 1-5)
71F611|Elimelech, Noemi e i loro figli lasciano Betlemme di Giuda
71F612|morte di Elimelech
71F613|i figli di Noemi sposano Orpa e Rut
71F614|Maclon e Chilion muoiono a Moab
71F62|Noemi torna a Betlemme (Rt. 1, 6-22)
71F621|Noemiin viaggio per Betlemme con le nuore, Orpa e Rut
71F622|Noemi manda via le sue nuore: Orpa torna a casa, Rut resta
71F63|Rut e Noemi a Betlemme (Rt. 2, 1-2)
71F631|Rut chiede a Noemi il permesso di spigolare il grano
71F64|Rut nel campo di Boaz (Rt. 2, 3-17)
71F641|Rut spigola
71F642|Boaz interroga i suoi servitori su Rut
71F643|Boaz parla con Rut; di solito Rut è prostrata, o in ginocchio, davanti a lui
71F644|Boaz invita Rut a mangiare con lui
71F645|Boaz ordina ai suoi servitori di lasciar spigolare Rut anche fra i covoni
71F646|Rut trebbia il grano che aveva spigolato
71F65|Noemi consiglia a Rut di chiedere la protezione di Boaz (Rt. 2, 18 - 3, 18)
71F651|Rut porta l'orzo a casa a Noemie le racconta quello che era accaduto nel campo di Boaz
71F652|Noemi consiglia Rut
71F653|la toletta di Rut prima di andare da Boaz
71F654|Boaz mangia e beve
71F655|Rut scopre Boaz dalla parte dei piedi mentre dorme, e si pone a giacere ai suoi piedi
71F656|il dialogo tra Rut e Boaz durante la notte
71F657|Boaz dà a Rut sei misure d'orzo che le versa nel mantello
71F658|Rut porta il grano a Noemi e le racconta l'accaduto
71F66|Boaz riscatta l'eredità di Elimelech (Rt. 4, 1-12)
71F661|Boaz, seduto alle porte della città, chiama il parente
71F662|Boaz, il parente e gli anziani della città discutono dell'eredità di Elimelech
71F663|il parente di Elimelech non può riscattarla, e si toglie il sandalo
71F6631|Boaz accetta il sandalo del suo parente
71F67|Boaz prende Rut in moglie (Rt. 4, 13)
71F68|Rut e Boaz hanno un figlio (Rt. 4, 13-20)
71F681|Noemi fa da nutrice al figlio di Rut e Boaz
71F682|il figlio di Rut e Boaz viene chiamato Obed
71F7|storia di Eli
71F71|la depravazione dei figli di Eli, Cofni e Pincas
71F711|i figli di Eli trafugano le offerte
71F712|i figli di Eli giacciono con donne
71F72|Eli ammonisce i figli, ma essi rifiutano di ascoltare i suoi avvertimenti
71F73|Eli viene avvertito da un profeta
71F74|cecità di Eli
71F8|storia di Samuele
71F81|nascita e infanzia di Samuele (1 Sam. 1, 2-21
71F811|sterilità di Anna, moglie di Elkana
71F8111|Peninna, l'altra moglie di Elkana, ha dei bambini
71F81111|Peninna provoca Anna per via della sua sterilità
71F8112|Elkana offre sacrifici con Anna e Peninna
71F81121|Elkana dà la porzione più grande ad Anna
71F8113|Elkana domanda ad Anna perché piange
71F812|Anna prega nel tempio di Silo
71F8121|Anna va al tempio
71F8122|Anna prega nel tempio e fa voto di offrire suo figlio al Signore
71F8123|Eli crede che Anna sia ubriaca
71F8124|dialogo tra Eli e Anna
71F8125|Elkana torna a Rama con Anna e Peninna; Anna è sollevata dal suo sconforto
71F813|nascita di Samuele
71F8131|Samuele allattato da Anna
71F8132|Samuele nel tempio a Silo viene presentato a Eli da Anna
71F8133|preghiera e cantico di riconoscenza di Anna
71F814|Samuele cresce nel tempio a Silo
71F8141|Samuele educato da Eli
71F8142|Samuele presta servizio nel tempio
71F8143|durante la sua visita annuale al tempio Anna dà una tunica a Samuele
71F8144|Eli benedice Elkana e Anna
71F815|Anna genera ancora tre figli e due figlie dopo Samuele
71F82|la vocazione di Samuele
71F821|Samuele è chiamato tre volte da 'una voce'
71F822|Samuele va da Eli dopo essere stato chiamato
71F823|Samuele ascolta il Signore dopo essere stato chiamato per la quarta volta
71F824|Samuele riferisce a Eli quello che il Signore gli ha detto
71F825|il Signore appare ancora altre volte a Samuele
71F826|Samuele riconosciuto come profeta per tutto Israele
71F83|cattura dell'Arca dell'alleanza da parte dei Filistei
71F831|prima battaglia tra Filistei e Israeliti a Eben-Ezer; gli Israeliti vengono sconfitti
71F832|Cofni e Pincas, figli di Eli, portano l'arca da Silo a Eben-èzer
71F8321|gli Israeliti urlano appena l'arca entra nell'accampamento; i Filistei sono allarmati dalle grida
71F833|seconda battaglia tra Filistei e Israeliti a Eben-èzer; gli Israeliti sono di nuovo sconfitti
71F8331|l'Arca dell'alleanza è catturata dai Filistei
71F83311|l'uccisione di Cofni e Pincas
71F834|un messaggero vestito a lutto va a Silo a riferire della cattura dell'Arca
71F8341|il messaggero va da Eli
71F8342|Eli, sentito della cattura dell'Arca, cade dal suo seggio e muore
71F8343|la moglie di Pincas muore di dolore dopo aver partorito il figlio Icabod
71F835|l'Arca dell'alleanza affligge i Filistei
71F8351|i Filistei portano l'Arca ad Asdod
71F83511|la statua di Dagon ad Asdod cade
71F83512|Dio punisce gli abitanti di Asdod con piaghe o bubboni
71F83513|consultazione dei capi dei Filistei sull'arca
71F8352|L'Arca dell'alleanza è portata a Gat
71F83521|Dio punisce gli abitanti di Gat con piaghe o bubboni
71F8353|l'Arca dell'alleanza è portata a Ekron
71F83531|Dio punisce gli abitanti di Ekron con piaghe o bubboni
71F8354|la piaga dei topi
71F836|l'Arca dell'alleanza torna a Israele
71F8361|i Filistei chiedono consiglio ai sacerdoti sull'arca
71F8362|l'Arca dell'alleanza e la cassa con le offerte della colpa, tirate da due vacche, vengono rimandate in Israele
71F83621|le offerte della colpa dei Filistei: topi e piaghe o bubboni d'oro
71F837|l'Arca dell'alleanza giunge a Bet-Sèmes
71F8371|gli abitanti di Bet-Sèmes sacrificano le vacche
71F8372|qualcuno degli abitanti di Bet-Sèmes guarda nell'arca
71F8373|Dio punisce i peccatori di Bet-Sèmes
71F8374|gli abitanti di Bethsames mandano messaggeri a Kiriat-Iearim
71F8375|l'Arca dell'alleanza va a Kiriat-Iearim
71F83751|l'Arca dell'alleanza viene piosta nella casa di Abinadab (Aminadab)
71F84|Samuele come giudice
71F841|Samuele parla agli Israeliti e li ammonisce a sbarazzarsi degli idoli
71F8411|gli Israeliti distruggono gli idoli
71F8412|raduno degli Israeliti a Mizpa
71F84121|viene versata dell'acqua davanti a Dio
71F842|i Filistei attaccano gli Israeliti a Mizpa
71F8421|Samuele sacrifica un agnello e prega
71F8422|i Filistei sono sconfitti dagli Israeliti
71F8423|Samuelepone una pietra a Eben-èzer
71F843|istituzione della regalità a Israele
71F8431|Samuele nomina come giudici i suoi figli Gioele e Abia
71F84311|cattivo governo e corruzione dei figli di Samuele
71F8432|gli anziani vanno da Samuele a Rama, chiedendogli un re
71F84321|collera di Samuele
71F84322|Samuele comunica con Dio
71F84323|Samuele avverte gli anziani dei diritti della regalità
71G|storia di Saul
71G1|Saul nominato re
71G11|Samuele e Saul
71G111|Saul è incaricato da suo padre di cercare le asine smarrite
71G1111|Saul e il suo servo cercano le asine smarrite
71G1112|Saul e il servo, dirigendosi da Samuele, incontrano alcune ragazze al pozzo di Rama
71G112|Saul e Samuele a Rama
71G1121|incontro tra Saul e Samuele alla porta della città di Rama
71G1122|Dio ordina a Samuele di ungere Saul
71G1123|la festa in casa di Samuele; Saul riceve una ulteriore porzione di cibo
71G1124|Saul dorme sul tetto della casa di Samuele
71G113|Samuele consacra Saul
71G1131|consacrazione di Saul, con il popolo che vi assiste
71G1132|dopo la consacrazione, Samuele ordina a Saul di partire
71G114|Saul torna nella casa di suo padre
71G1141|Saul incontra due uomini alla tomba di Rachele, che gli dicono che le asine sono state ritrovate
71G1142|Saul incontra tre uomini nella piana di Tabor, che gli offrono due pani
71G1143|Saul incontra un gruppo di profeti che suonano arpe timpani, flauti e cetre
71G11431|Saul profetizza insieme con i profeti
71G115|incontro tra Saul e lo zio
71G116|Samuele raduna gli Israeliti a Mizpa
71G1161|tutte le tribù e le famiglie riunite davanti a Samuele
71G1162|Saul è nominato re
71G1163|Saul viene trovato tra i bagagli
71G1164|il popolo esulta all'elezione a re di Saul
71G1165|Samuele parla al popolo a Mizpa
71G1166|Saul torna a Gabaa
71G12|Iabes di Galaad assediata da Nachas e liberata da Saul
71G121|Nachas, il re ammonita, assedia Iabes di Galaad
71G122|messaggeri di Iabes di Galaad vanno a Gabaa; la gente piange udendo la notizia
71G123|Saul, tornando dai campi con la mandria, udendo la notizia si adira, taglia a pezzi due buoi e manda messaggeri a portare i pezzi per tutta la regione
71G124|l'esercito di Saul si riunisce a Bezec
71G125|Saul manda messaggeri a Iabes di Galaad; il popolo gioisce
71G126|all'alba l'esercito di Saul irrompe nell'accampamento nemico e sconfigge gli Ammoniti
71G127|continenza di Saul; nessuno degli Ammoniti viene messo a morte
71G13|riconoscimento di Saul come re e commiato di Samuele
71G131|Samuele convoca tutti gli Israeliti a Galgal
71G132|riconoscimento di Saul come re
71G133|Samuele parla al popolo a Galgal
71G134|Samuele prega per ottenere il tuono e la pioggia
71G1341|tuono e pioggia durante la mietitura del grano
71G2|guerra contro i Filistei
71G21|i Filistei occupano una parte di Israele
71G211|Saul sceglie un esercito
71G212|Gionata sconfigge la guarnigione dei Filistei a Gheba
71G213|l'esercito di Saul costretto a nascondersi
71G214|disobbedienza di Saul al Signore: egli stesso fa un'offerta a Galgal
71G2141|Samuele rimprovera Saul
71G215|il rimanente dell'esercito di Saul riunito a Gabaa
71G216|i Filisteisaccheggiano il territorio di Israele
71G217|gli Israeliti in cerca di un fabbro
71G2171|nessuno degli Israeliti è armato di spada, eccetto Saul e Gionata
71G22|spedizione segreta di Gionata
71G221|Gionata e il suo scudiero salgono verso la guarnigione dei Filistei
71G222|Gionata e il suo scudiero uccidono circa venti Filistei
71G223|l'esercito di Saul si unisce alla battaglia
71G224|i Filistei vengono sconfitti
71G23|giuramento di Saul: un giorno di digiuno
71G231|Saul impone per giuramento al popolo di digiunare
71G232|Gionata mangia del miele nel giorno di digiuno
71G233|al termine della giornata di digiuno gli Israeliti mangiano carne con il sangue
71G234|Saul costruisce un altare ad Aialon
71G235|Gionata designato per sorte come spergiuro
71G236|il popolo salva Gionata dalla morte
71G3|guerra di Saul contro gli Amaleciti
71G31|Samuele ammonisce Saul di uccidere gli Amaleciti
71G32|Saul in agguato nel letto di un fiume davanti alla città di Amalek
71G321|i Keniti partono in seguito all'avvertimento di Saul
71G322|Saul sconfigge gli Amaleciti
71G323|Agag, re di Amalek, preso prigioniero da Saul
71G324|Agag e il miglior bestiame di Amalek vengono risparmiati dall'esercito di Saul
71G33|Saul comunica con Dio
71G34|Saul costruisce un monumento a Carmel
71G341|sacrificio del bottino degli Amaleciti
71G342|Samuele rimprovera e respinge Saul
71G343|Saul esprime il suo pentimento a Samuele
71G344|Saul afferra la veste di Samuele; la veste si strappa, come segno della perdita del regno su Israele da parte di Saul
71G35|Saul e Samuele offrono sacrifici insieme
71G36|Samuele chiama Agag a comparire davanti a lui
71G361|Samuele taglia a pezzi Agag
71G37|Samuele si affligge per Saul
71G4|altre imprese di Saul
71G41|la corte di Saul a Gabaa
71G42|l'adorazione del Signore
71G421|espulsione delle streghe e degli indovini
71G422|mantenimento della Legge
71G423|celebrazione della festa
71G43|guerre di Saul
71G431|guerra di Saul contro Moab
71G432|guerra di Saul contro Ammon
71G433|guerra di Saul contro Edom
71G434|guerra di Saul contro Soba
71G44|Saul torna in trionfo a Gabaa dopo le guerre
71H|storia di David
71H1|il giovane David alla corte di Saul
71H11|Dio sceglie David come re
71H111|Samuele comunica con Dio
71H112|Samuele va da Iesse con un vitello
71H1121|gli anziani di Betlemme vanno incontro a Samuele, e gli domandano perché egli fosse venuto nella loro città
71H113|Samuele fa un'offerta con Iesse e i suoi figli
71H114|Iesse conduce i suoi figli, eccetto David, davanti a Samuele
71H1141|Iesse conduce David (che stava pascolando il gregge) davanti a Samuele
71H115|Samuele unge David alla presenza del padre Iesse e dei fratelli
71H116|David come pastore
71H12|ultimi anni e morte di Samuele
71H121|vita ritirata di Samuele a Rama
71H122|morte di Samuele
71H1221|gli Israeliti piangono Samuele
71H1222|sepoltura di Samuele
71H1223|tomba di Samuele a Rama
71H13|David come suonatore d'arpa alla corte di Saul
71H131|Saul tormentato da uno spirito maligno
71H132|Saul manda messaggeri a Iesse per andare a prendsere David
71H133|Iesse manda il figlio David da Saul
71H134|il giovane David va alla corte di Saul portando doni
71H135|David è nominato scudiero di Saul
71H136|David suona la cetra davanti a Saul
71H14|storia di David e Golia
71H141|gli eserciti israelita e filisteo si fronteggiano nella valle di Ela
71H1411|Golia schernisce gli Israeliti
71H142|David porta provviste ai fratelli, che sono con l'esercito israelita nella valle di Ela
71H1421|David nell'accampamento tra i soldati, cge preparano un attacco all'esercito filisteo
71H1422|il giovane David nell'accampamento israelita, è rimproverato dal fratello Eliab
71H143|il giovane David nell'accampamentop israelita viene condotto davanti a Saul
71H1431|David uccide un leone e un orso (o riferisce a Saul di averli uccisi)
71H1432|David riceve l'armatura di Saul
71H1433|David rifiuta di indossare l'armatura di Saul
71H1434|David sceglie cinque pietre lisce da un fiume
71H1435|Saul chiede ad Abner chi sia David
71H144|combattimento tra David e Golia
71H1441|David parla a Golia
71H1442|David scaglia con la fionda una pitra nella fronte di Golia
71H1443|David decapita Golia con una spada
71H14431|i Filistei in fuga dopo la morte di Golia, inseguiti dagli Israeliti
71H1444|David ringrazia il Signore dopo aver ucciso il gigante Golia
71H145|David con la testa di Golia
71H1451|David porta la testa di Golia a Saul
71H15|Saul diviene geloso di David
71H151|David e Gionata, figlio di Saul, divengono amici
71H1511|Gionata dà le sue vesti e il suo mantello a David per suggellare la loro amicizia
71H152|David vittorioso in numerose guerre contro i filistei ed altri nemici
71H1521|trionfo di David: le donne di Israele escono per dare il benvenuto a David, cantando, danzando e suonando timpani e lire; David porta la testa di Golia
71H15211|trionfo di David, con David senza la testa di Golia
71H153|Saul scagia la lancia contro David, mentre questi suona la cetra davanti al re
71H1531|david, mentre suona la cetra, schiva la lancia scagliata da Saul
71H154|David fatto capodi mille uomini da Saul
71H155|Saul offre a David in matrimonio la figia maggiore Merab
71H1551|David rifiuta di sposare Merab, offertgli in matrimonio da Saul
71H156|Saul offre in matrimonio a David sua figlia Mikal
