5|abstrakte Ideen und Konzeptionen
71E21|Aaron und seine vier Söhne werden von Moses zu Priestern geweiht (Leviticus 8)
71E22|Aaron bringt Opfer dar (Leviticus 9)
71E221|ala Moses und Aaron das Volk segnen, erscheint der Gemeinde die Glorie Gottes
71E222|Gott schickt Feuer, das die Opfergaben auf dem Altar vertilgt
71E23|die Sünde Nadabs und Abihus (Leviticus 10:1-7)
71E231|zwei Söhne Aarons, Nadab und Abihu, opfern in ihren Gefäßen Weihrauch für Gott, der sie wegen dieses unerlaubten Opfers durch Feuer töten läßt
71E232|Moses erklärt Aaron den Vorfall
71E233|die sterblichen Überreste Nadabs und Abihus werden aus dem Lager fortgetragen
71E234|Moses rät Aaron und seinen ihm verbliebenen Söhnen, Eleasar und Itamar, nicht mit dem Volk zu trauern
71E24|die Bestrafung der Gotteslästerer (Leviticus 24:10-23)
71E241|Schelomits Sohn, der während eines Streits Gott gelästert hat, wird vor Moses gebracht
71E242|Schelomits Sohn wird von den Israeliten zu Tode gesteinigt
71E25|Gott verspricht denjenigen Wohlstand, die seine Befehle befolgen, und denjenigen Vernichtung, die seine Befehle mißachten (Leviticus 26)
71E3|das Buch Numeri: der Zug durch die Wüste; die Israeliten verlassen den Berg Sinai und erreichen Kanaan
71E31|Numeri (Teil I): vom Berg sinai nach Kadesch
71E311|Vorbereitungen zum Verlassen des Berges Sinai (Numeri 1-9:14)
71E3111|die erste Volkszählung (Buch Numeri)
71E31111|Moses wird während des Gesprächs in der Stiftshütte von Gott aufgefordert, das Volk zu zählen
71E31112|Moses, Aaron und die Ältesten der zwölf Stämme führen die Volkszählung durch
71E31113|die Stämme werden in ihrer vorgegebenen Ordnung aufgestellt (Numeri)
71E3112|die Leviten werden den Priestern als Diener zugeteilt
71E31121|Zählung der Leviten
71E31122|Pflichten der Leviten
71E31122(...)|Pflichten der Leviten (mit dem NAMEN der Familie)
71E31123|die Leviten nehmen die Stelle der Erstgeborenen ein
71E31124|Reinigung und Weihung der Leviten
71E3113|die Unreinen werden aus dem Lager ausgestoßen (Numeri)
71E3114|Gaben der Stammesältesten zur Weihung der Stiftshütte
71E3115|Aaron zündet die Lampen der Stiftshütte an
71E3116|Feier des zweiten Passafests
71E312|Fortzug vom Berg Sinai (Numeri 10)
71E3121|Signale zum Abbruch des Lagers (Numeri)
71E31211|zwei silberne Trompeten werden angefertigt und dazu benutzt, das Volk zusammenzurufen (Numeri)
71E3122|die Israeliten brechen ihr Lager ab und setzen ihren Zug fort (Numeri)
71E3123|Moses bittet Hobab, Jethros Sohn, mitzukommen
71E313|das Volk ist unzufrieden (Numeri 11)
71E3131|in Tabera wird das Volk durch Feuer bestraft, das einen Teil des Lagers vernichtet
71E31311|das Feuer erlischt, als Moses betet
71E3132|Moses wählt siebzig Älteste aus, die ihm beistehen sollen; er stellt sie rund um die Stiftshütte auf; der Geist Gottes kommt über sie
71E31321|Eldad und Medad prophezeien
71E3133|eine Unmenge von Wachteln wird vom Wind in das Lager getrieben
71E31331|als das Volk die Wachteln ißt, bricht eine Seuche aus
71E3134|die Israeliten ziehen nach Hazerot
71E314|die Auflehnung Miriams und Aarons (Numeri 12)
71E3141|Aaron und Miriam klagen über Moses
71E3142|Gott senkt sich in einer Wolkensäule auf den Eingang der Stiftshütte nieder und tadelt Aaron und Miriam
71E3143|Miriam wird mit Aussatz bestraft; Moses betet zu Gott, der verspricht, Miriam nach sieben Tagen zu heilen
71E31431|die (aussätzige) Miriam wird für sieben Tage aus dem Lager verbannt
71E31432|die genesene Miriam kehrt in das Lager zurück
71E3144|die Israeliten verlassen Hazerot und ziehen in die Wüste von Pharan
71E315|die Auskundschaftung von Kanaan (Numeri 13-14)
71E3151|Moses sendet zwölf Kundschafter aus, die das Land Kanaan auskundschaften sollen
71E3152|die Kundschafter nehmen einige Früchte aus Kanaan mit und kehren zurück; in der Regel tragen sie eine riesige Weintraube an einer Stange
71E31521|die Weintraube von Kanaan
71E3153|die Kundschafter (mit Ausnahme von Kaleb und Josua) bringen alarmierende Nachrichten aus Kanaan mit, die das Volk verstören
71E31531|Kaleb drängt das Volk, Kanaan zu erobern
71E3154|das Volk klagt (Auskundschaftung von Kanaan)
71E31541|Moses und Aaron verneigen sich vor der Versammlung, während Josua und Kaleb ihre Kleider zerreißen
71E315411|das Volk droht damit, Moses, Aaron, Josua und Kaleb zu steinigen, doch plötzlich erscheint die Glorie Gottes über der Stiftshütte (es kann gezeigt werden, wie die vier Männer von einer Wolke beschützt werden)
71E3155|alle Kundschafter (mit Ausnahme von Josua und Kaleb) erkranken und sterben (Auskundschaftung von Kanaan)
71E3156|als Moses dem Volk von der Strafe Gottes berichtet, weint es bitterlich (Auskundschaftung von Kanaan)
71E3157|der erste Versuch, Kanaan zu erobern, schlägt fehl: die Israeliten werden von den Amalekitern besiegt
71E316|die Bestrafung der Sabbatschänder (Numeri 15:32-36)
71E3161|ein Mann, der am Sabbat Holz gesammelt hat, wird vor Moses und Aaron gebracht
71E3162|der Sabbatschänder wird zu Tode gesteinigt (Numeri)
71E317|Rebellion des Korach (Core), Datan und Abiram, und ihre Bestrafung (Numeri 16)
71E3171|Korach und zweihundertfünfzig Anhänger versammeln sich vor Moses und Aaron; Moses fordert die Rebellen heraus, Gott konkurrierende Rauchopfer darzubringen
71E3172|Moses tadelt Korach
71E3173|Moses wird von Datan und Abiram, die sich weigern, vor ihm zu erscheinen, verhöhnt
71E3174|Korach und seine Anhänger, die Weihrauchgefäße tragen, treffen Moses und Aaron am Eingang zur Stiftshütte (oder neben einem Altar); das Feuer Gottes tötet die Rebellen
71E31741|Moses geht zu den Wohnstätten Datans und Abirams und warnt das Volk davor, seine Zelte zu verlassen
71E31742|der Erdboden öffnet sich und verschlingt die Rebellen Datan und Abiram mitsamt ihren Familien und Besitzungen
71E3175|der Priester Eleasar sammelt den Weihrauch der Männer auf, die verbrannt worden sind
71E31751|die Weihrauchgefäße werden zu dünnen Platten eingeschmolzen, die den Altar bedecken sollen
71E3176|das Volk beklagt den Tod der Rebellen (Korach, Datan und Abiram)
71E31761|die Wolke senkt sich auf die Stiftshütte nieder; als Moses und Aaron sich vor ihr verneigen, bricht eine Seuche aus
71E31762|Aaron rennt mit seinem Weihrauchgefäß unter das versammelte Volk, beendet die Seuche und steht zwischen den Lebenden und den Toten
71E318|der blühende Stab (Numeri 17)
71E3181|Moses erhält zwölf Stäbe, einen für jeden Stamm, und legt sie in die Stiftshütte
71E3182|Aarons Stab hat Sprossen hervorgebracht, Blüten getrieben und Mandeln ausgereift
71E31821|Moses zeigt dem Volk Aarons blühenden Stab
71E32|Numeri (Teil II): der Zug von Kadesch nach Moab
71E321|Vorkommnisse in Kadesch (Numbers 20:1, 20:14-21)
71E3211|Tod und Begräbnis Miriams
71E3212|der König der Edomiter verweigert den Israeliten den Durchzug
71E32121|Moses schickt seine Boten zum König der Edomiter
71E32122|die Edomiter rücken mit einem Heer an; die Israeliten müssen ausweichen und einen anderen Weg nehmen
71E322|der Tod Aarons (Numeri 20:22-29)
71E3221|Moses besteigt zusammen mit Aaron und Eleasar den Berg Hor
71E3222|Moses kleidet Eleasar mit Aarons Priesterkleid ein
71E3223|Aarons Begräbnis
71E3224|das Volk trauert um Aaron
71E323|der Sieg über die Kanaaniter, die von König Arad geführt werden (Numeri 21:1-3)
71E324|die Eherne Schlange (Numeri 21:4-9)
71E3241|als das Volk wieder über das Essen klagt, schickt Gott Giftschlangen; viele sterben an den Schlangenbissen (Numeri)
71E32411|Moses, angetrieben durch die Klagen der Israeliten, bittet Gott, die Schlangen zu entfernen
71E3242|eine eherne Schlange wird angefertigt und an einer Stange befestigt
71E3243|jeder, der von einer Schlange gebissen worden ist, wird durch den Blick auf die Eherne Schlange geheilt; die Schlange (oder der Drache) wird in der Regel an einem Tau-Kreuz oder einem Pfeiler dargestellt
71E325|die Israeliten auf ihrem Weg zum Tal der Moabiter (Numeri 21:10-20)
71E3251|in Beer wird ein Brunnen gegraben
71E326|der Sieg der Israeliten über König Sihon und König Og (Numeri 21:21-35; Josua 12:1-6)
71E3261|Boten der Israeliten werden zum Amoriterkönig Sihon geschickt
71E3262|die Schlacht der Israeliten gegen die Amoriter während ihres Zugs durch die Wüste
71E3263|die Israeliten siedeln nach ihrem Sieg über König Sihon in den Städten der Amoriter
71E3264|Moses schickt Spione in die Stadt Jaser
71E3265|die Schlacht der Israeliten gegen König Og
71E33|Numeri (Teil III): Geschehnisse in Moab
71E331|die Geschichte von Balaam (Numeri 22-24)
71E3311|der Moabiterkönig Balak, von der Ankunft der Israeliten alarmiert, schickt Boten zu Balaam, der die Eindringlinge verfluchen soll
71E3312|Balaam empfängt die Boten des Moabiterkönigs Balak
71E33121|Gott erscheint Balaam im Traum
71E33122|Balaam schickt die Boten König Balaks zurück
71E33123|die Boten berichten König Balak von ihrem Besuch beim Propheten Balaam
71E3313|neue Boten werden zu Balaam geschickt
71E33131|Gott erscheint Balaam zum zweitenmal
71E33132|Balaam sattelt seinen Esel und reist mit den moabitischen Gesandten ab
71E3314|ein Engel, der ein Schwert hält und für Balaam unsichtbar ist, versperrt den Weg und zwingt Balaams Esel, zur Seite zu treten
71E33141|Balaam schlägt seinen Esel, woraufhin sich dieser niederlegt und zu sprechen beginnt
71E33142|Balaams Augen sind weit geöffnet; er wirft sich vor den Füßen des Engels nieder
71E33143|nach der Begegnung mit dem Engel setzt Balaam seine Reise fort
71E3315|Balaam und König Balak treffen sich und bringen zusammen ein Opfer dar
71E33151|Balaam wird zu den hochgelegenen Kultplätzen des Baal mitgenommen und sieht von dort das Lager der Israeliten
71E331511|Balaam läßt im Beisein König Balaks sieben Altäre, sieben Stiere und sieben Widder für ein Opfer herrichten
71E331512|Balaam opfert im Beisein König Balaks die sieben Stiere und die sieben Widder
71E331513|nach der Opferung der sieben Stiere und sieben Widder spricht Balaam mit Gott
71E331514|Balaam prophezeit und segnet im Beisein König Balaks und seines Hofstaats die Israeliten
71E33152|Balaam wird von König Balak zum Berg Pisga gebracht, um dort eine zweite Opferung von Stieren und Widdern vorzunehmen
71E33153|Balaam wird von König Balak zum Berg Pegor gebracht, um dort eine dritte Opferung von Stieren und Widdern vorzunehmen; er sieht von dort die Israeliten in ihren Zelten
71E3316|der Prophet Balaam wird von König Balak getadelt
71E3317|Balaams letzte Prophezeiungen: ein Stern geht auf aus Israel (Numeri 24:17)
71E3318|Balaam verläßt Balak und reist ab
71E332|der Aufenthalt der Israeliten in Schittim während ihrer Reise durch die Wüste (Numeri 25)
71E3321|die Israeliten und die moabitischen Frauen
71E33211|die Israeliten schlafen mit den Moabiterinnen
71E33212|die Moabiterinnen laden die Israeliten zur kultischen Verehrung des Baal-Peor ein
71E33213|die Israeliten, die mit den Moabiterinnen geschlafen haben, werden bestraft
71E3322|Simri nimmt die Midianiterin Kosbin mit in sein Zelt, während das Volk am Eingang der Stiftshütte über den Ausbruch einer Epidemie klagt
71E33221|Pinhas, der Sohn Eleasars, folgt Simri und Kosbin und durchbohrt beide mit seinem Speer
71E333|die zweite Volkszählung der Israeliten (Numeri 26)
71E334|die fünf Töchter Zelofhads beklagen sich bei Moses (Numeri 27:1-11)
71E335|Josua wird als Nachfolger des Moses ausgewählt; vor dem Hohepriester Eleasar und der Versammlung der Israeliten legt Moses seine Hände auf Josuas Kopf (Numeri 27:18-23)
71E336|der Krieg der Israeliten gegen die Midianiter (Numeri 31)
71E3361|Moses befiehlt den Angriff gegen die Midianiter
71E3362|alle männlichen Midianiter, einschließlich ihrer fünf Könige und Balaams, werden getötet; Frauen, Kinder und Tiere werden in Besitz genommen; die Städte werden niedergebrannt
71E3363|das Heer der Israeliten kehrt nach dem Krieg gegen die Midianiter mit der Beute zurück
71E33631|nach dem Sieg über die Midianiter ordnet Moses die Tötung der erwachsenen midianitischen Frauen und ihrer Söhne an
71E33632|nach der Schlacht gegen die Midianiter waschen die Israeliten ihre Kleidung
71E3364|die Verteilung der Kriegsbeute nach dem Sieg über die Midianiter
71E33641|die Opfergaben der Krieger nach dem Sieg über die Midianiter; Moses und Eleasar tragen die Gaben in die Stiftshütte
71E337|vor der Durchquerung des Jordan (Numeri 32-36)
71E3371|das Ostjordanland wird den Stämmen Rubens, Gads und der Hälfte von Manasses Stamm zugeteilt
71E33711|die Klage der Rubeniter und Gaditer: sie wollen die Erlaubnis, im Ostjordanland zu siedeln; Moses wird aufgrund dieser Klage zornig
71E33712|die Gaditer bauen Städte
71E33713|die Rubeniter bauen Städte
71E33714|die Schlacht um Gilead
71E3372|die Gileaditer beschweren sich bei Moses, weil sie die Töchter Zelofhads nicht außerhalb ihres Stammes verheiraten wollen
71E33721|die Töchter des Zelofhad heiraten ihre Cousins
71E4|das Buch Deuteronomium: die abschließenden Ereignisse des Zugs durch die Wüste; Moses bereitet sich für seinen Tod vor
71E41|Moses unterrichtet (generell)
71E42|die Berufung Josuas (Deuteronomium 31:7-8, 31:14-15)
71E421|Josua wird im Beisein des versammelten Volks von Moses ermutigt
71E422|Moses bringt Josua zur Stiftshütte; die Wolkensäule befindet sich am Eingang des Zelts
71E43|während seiner letzten Lebenstage schreibt Moses die Gesetze auf (Deuteronomium 31)
71E431|Moses übergibt die Gesetze den Priestern
71E44|Moses versammelt vor seinem Tod das Volk und singt ihm sein Lied vor (Deuteronomium 31 und 32)
71E45|Moses segnet vor seinem Tod die zwölf Stämme Israels (Deuteronomium 32)
71E46|der Tod des Moses (Deuteronomium 34)
71E461|Moses erblickt vom Berg Nebo das verheißene Land
71E462|Gott begräbt Moses auf dem Berg Nebo
71E463|die Israeliten trauern dreißig Tage um Moses
71E464|der Kampf des hl. Michaels und des Satans um den Leichnam des Moses auf dem Berg Nebo (Judasbrief 9)
71E5|das Buch Josua
71E51|Josua spricht mit Gott (generell)
71E52|der Feldzug nach Kanaan unter Josuas Führung (Teil I)
71E521|Josua trifft Vorbereitungen für den Einzug ins gelobte Land (Josua 1-2)
71E5211|Josua unterweist die Offiziere und wird als der neue Führer Israels anerkannt
71E5212|Josua schickt zwei Spione, um Jericho zu erkunden
71E5213|die Geschichte von Rahab und den Spionen
71E52131|die zwei von Josua ausgesandten Spione finden eine Unterkunft im Haus der Hure Rahab
71E52132|der König von Jericho erfährt von der Ankunft der zwei Israeliten und läßt sie in der Stadt suchen
71E52133|Rahab versteckt die beiden Spione unter Flachsstengeln
71E52134|Rahab, die von den Gesandten des Königs nach dem Verbleib der beiden Spione befragt wird, schickt den Suchtrupp auf eine falsche Spur
71E52135|Rahab nimmt den Spionen das Versprechen ab, daß sie und ihre Familie verschont werden, wenn die Stadt fällt
71E52136|Rahab, deren Haus Teil der Stadtmauer ist, läßt die Spione mit Hilfe eines roten Seils entkommen
71E52137|die israelitischen Spione halten sich drei Tage im Gebirge versteckt, während sie von den Soldaten des Königs von Jericho im ganzen Land gesucht werden
71E52138|die Spione kehren in das Lager der Israeliten zurück und erstatten Josua Bericht
71E522|die Israeliten erreichen den Jordan (Josua 3-4)
71E5221|die Israeliten transportieren ihr Lager zum Jordan, um es überzusetzen
71E52211|die Offiziere unterweisen das Volk, wie der Jordan zu überqueren ist
71E52212|Josua unterweist die Priester, wie der Jordan zu überqueren ist
71E5222|die Israeliten verlassen ihr Lager, um den Jordan zu überqueren; die Priester schreiten voran und tragen die Bundeslade
71E5223|die Durchzug der Israeliten durch den Jordan
71E52231|sobald die Priester in den Jordan hineinschreiten, bleibt das Wasser stehen
71E52232|während die Priester mit der Bundeslade in der Mitte des Jordans stehen und die Wassermassen wunderbarerweise zurückweichen, duchziehen die Israeliten das Flußbett
71E52233|zwölf Männer nehmen zwölf Steine aus der Mitte des Flusses mit (Durchzug durch den Jordan)
71E52234|im Gedenken an das Wunder der Flußdurchquerung läßt Josua die zwölf Steine wieder in der Mitte des Jordans aufstellen
71E52235|Josua wird nach der Durchquerung des Jordans vom Volk bewundert und geehrt
71E52236|als die Priester das Flußbett des Jordans auf Josuas Befehl verlassen, beginnt das Wasser wieder zu fließen
71E523|das Lager in Gilgal nach der Überquerung des Jordan (Josua 4:19 - 5:15)
71E5231|in Gilgal errichtet Josua mit den zwölf Steinen aus dem Jordan ein weiteres Denkmal
71E5232|die Israeliten, die während der Durchquerung des Jordans geboren worden sind, werden beschnitten
71E5233|zum erstenmal wird das Passafest im Gelobten Land begangen
71E5234|Josua begegnet einem Engel, der ein Schwert hält (Josua, der den Engel zunächst nicht erkennt, kann dabei gezeigt werden, wie er selbst das Schwert zieht)
71E52341|Josua wirft sich vor dem Engel nieder
71E52342|der Engel fordert Josua auf, seine Schuhe auszuziehen
71E524|der Fall Jerichos (Josua 6)
71E5241|Jericho schließt sich in seinen Stadtmauern ein und bereitet sich darauf vor, der Belagerung zu widerstehen
71E5242|die Israeliten marschieren rund um Jericho auf: zuerst kommt die Masse der Soldaten; dann sieben Priester, die Trompeten blasen; schließlich die Priester mit der Bundeslade und die Nachhut
71E52421|auf ein Signal von Josua stößt das Volk am siebten Tag der Belagerung einen Kriegsschrei aus, der die Mauern von Jericho einstürzen läßt
71E52422|nach dem Einsturz der Mauern fallen die Israeliten in Jericho ein
71E52423|Jericho wird von den Israeliten geplündert und gebrandschatzt; die Einwohner werden getötet
71E524231|Rahab und ihre Familie werden verschont und im Lager der Israeliten aufgenommen
71E524232|die Kriegsbeute wird in die Stiftshütte gebracht (der Fall von Jericho)
71E52424|Josua spricht einen Fluch gegen diejenigen aus, die die Stadt Jericho wieder aufzubauen versuchen werden
71E525|Achans Sünde nach dem Fall jerichos (Josua 7)
71E5251|Josua schickt Spione nach Ai, die berichten, daß das Lager nicht groß ist
71E5252|nur dreitausend Männer marschieren gegen Ai; sie werden zurückgeschlagen und einige werden getötet
71E5253|nach dem ersten erfolglosen Angriff auf Ai wirft sich Josua vor der Stiftshütte nieder, weint und zerreißt seine Kleider
71E5254|nach dem ersten erfolglosen Angriff auf Ai stellt Josua Nachforschungen unter den Stämmen an; der Verdacht fällt auf den Stamm Judas; schließlich erweist sich Achan als der Schuldige
71E5255|Achan gesteht, von der Kriegsbeute ein Gewand sowie Silber und Gold gestohlen zu haben
71E52551|die aus der Kriegsbeute gestohlenen Güter werden vergraben in Achans Zelt gefunden und zu Josua gebracht
71E5256|Achan wird mitsamt seiner Familie und seinem Besitz (einschließlich der gestohlenen Sachen) in das Tal von Achor geführt, um dort gesteinigt zu werden
71E52561|Achan und seine Familie werden gesteinigt und verbrannt
71E5257|ein großer Steinhaufen wird über den Leichen Achans und seiner Familie errichtet
71E526|die Stadt Ai wird durch eine Kriegslist erobert (Josua 8:1-29)
71E5261|Josua befiehlt einigen seiner Krieger, sich westlich von Ai zu verstecken
71E5262|Josua und der Rest des Heeres schlagen ihr Lager nördlich von Ai auf
71E5263|als der König von Ai vor die Stadt zieht, um gegen die Israeliten zu kämpfen, täuschen diese einen Rückzug vor
71E52631|als Josua seinen Speer gen Ai wirft, erobern die Männer, die im Hinterhalt liegen, die Stadt und stecken sie in Brand
71E5264|der König von Ai wird vor Josua gebracht und erhängt
71E52641|der Leichnam des Königs von Ai wird von dem Baum abgenommen, an dem man ihn erhängt hat; er wird vor das Stadttor geworfen und mit einem großen Steinhaufen bedeckt
71E527|die Verlesung des Gesetzes (Josua 8:30-35)
71E5271|Josua errichtet auf dem Berg Ebal einen Altar
71E5272|die Israeliten bringen auf dem Berg Ebal Brandopfer dar
71E5273|Josua fertigt auf Steintafeln eine Abschrift des Gesetzes an und liest sie dem ganzen Volk (einschließlich der Frauen und Kinder) vor
71E528|die List der Gibeoniter (Josua 9)
71E5281|die Bewohner von Gibeon, die Josua und sein Heer fürchten, entscheiden sich für eine List: sie beladen ihre Esel mit zerissenen Säcken, ziehen alte und ausgebesserte Kleider und Schuhe an und führen ausgetrocknetes Essen mit sich
71E5282|die in Lumpen gekleideten Gibeoniter geben vor, aus einem entfernten Land zu kommen, und bitten Josua, mit ihnen einen Bund zu schließen
71E5283|die überlisteten Israeliten schließen einen feierlichen Bund mit den Gibeonitern
71E5284|der Betrug der Gibeoniter wird entdeckt; Josua ordnet an, daß sie zukünftig den Israeliten dienen müssen, indem sie Holz fällen und Wasser herbeitragen
71E529|Josua und die fünf Könige aus Südkanaan (Josua 10:1-27)
71E5291|die fünf Amoriterkönige (aus Jerusalem, Hebron, Jarmut, Lachisch und Eglon) ziehen ihre Kräfte zusammen, um Gibeon anzugreifen
71E5292|die Einwohner des belagerten Gibeon bitten Josua um Hilfe
71E5293|nachts treffen Josua und seine Armee ein, um Gibeon zu befreien
71E5294|Josua und seine Armee starten einen Überraschungsangriff auf die Amoriter, die Gibeon belagern
71E52941|Gott läßt große Hagelkörner auf die Amoriter regnen, die Gibeon belagern
71E52942|Josua befiehlt der Sonne und dem Mond, stillzustehen, bis die Amoriter vertrieben sind
71E5295|die fünf Amoriterkönige entkommen und verstecken sich in der Höhle von Makkeda
71E52951|Josua befiehlt, große Steine vor den Eingang der Höhle von Makkeda zu rollen, in der sich die fünf Amoriterkönige verstecken
71E52952|die fünf Amoriterkönige werden aus der Höhle geholt und zu Josua gebracht
71E529521|Josua befiehlt seinen Offizieren, ihre Füße auf den Nacken der fünf Amoriterkönige zu stellen, die ihm aus der Höhle von Makkeda gebracht worden sind
71E529522|die fünf Amoriterkönige werden auf Josuas Kommando oder von ihm selbst getötet; ihre Leichname werden aufgehängt zur Schau gestellt
71E529523|die Leichname der Amoriterkönige werden von den Bäumen abgenommen und in die Höhle geworfen, die mit großen Steinen verschlossen wird
71E53|die Eroberung Kanaans (Teil II)
71E531|Gebiete in Südkanaan werden von den Israeliten erobert (Josua 10:28-43)
71E531(...)|Gebiete in Südkanaan werden von den Israeliten erobert (mit NAMEN des Gebiets)
71E532|nach der Eroberung Südkanaans kehren Josua und seine Armee in das Lager von Gilgal zurück
71E533|Josua marschiert nordwärts und trifft dort auf die vereinigten Armeen König Jabins und seiner Allierten (Josua 11:1-4)
71E5331|die Könige der nördlichen Allierten um Jabin, den König Hazors, inspizieren nördlich der Wasser von Meron ihre Heerscharen, die viele Pferde und Streitwagen umfassen
71E5332|die nördlichen Könige werden von Josua besiegt, der ihre Streitwagen verbrennt und ihre Pferde verkrüppelt, indem er ihnen die Kniesehnen durchschneidet
71E5333|die Stadt Hazor wird von Josua und seiner Armee erobert und gebrandschatzt; die Einwohner werden erschlagen
71E534|die Vollendung der Eroberung Kanaans durch Josua (Josua 11:15-23)
71E5341|die Riesen von Anakim werden von Josua und seiner Armee besiegt
71E535|das Gebiet der einunddreißig Könige wird von Josua und seiner Armee besetzt (Josua 12:7-24)
71E54|die Aufteilung Kanaans
71E541|das Gebiet, das dem Stamm Judas zugeteilt wird (Josua 14:6 - 15:63)
71E5411|Josua weist Kaleb die Stadt Hebron zu
71E54111|Kaleb und seine Männer erobern Hebron
71E542|das Gebiet, das den Efraimitern und dem Rest des Stammes Manasses zugeteilt wird (Josua 16-17)
71E543|die Aufteilung des verbleibenden Landes (Josua 18-19)
71E5431|die Stiftshütte wird in Schilo aufgestellt
71E5432|Josua fordert die Stämme auf, denen kein Gebiet zugeteilt worden ist, das Land zu erkunden und zu beschreiben
71E5433|Josua wirft (mit Hilfe von Eleasar) das Los und teilt entsprechend jedem der verbliebenen sieben Stämme ein bestimmtes Gebiet in Kanaan zu
71E544|die Zufluchtsstädte (Josua 20)
71E5441|die sechs Zufluchtsstädte sollen Mördern Schutz vor der Blutrache gewähren
71E545|indem sie das Los werfen, teilen Josua, Eleasar und die Führer der Stämme Israels den Leviten Städte zu (Josua 21)
71E546|nach der Eroberung Kanaans werden die ostjordanischen Stämme entlassen (Josua 22)
71E5461|Josua schickt die Rubeniter und Gaditer sowie Teile von Manasses Stamm heim, und ermahnt sie, das Gesetz zu befolgen
71E5462|in Gilead, am Ufer des Jordans, bauen die Rubeniter und Gaditer sowie Teile von Manasses Stamm einen großen Altar
71E54621|eine Strafexpedition unter Leitung des Pinhas, des Sohns von Eleasar, kommt nach Gilead und klagt die Bewohner der Rebellion gegen Gott an
71E54622|ein Kompromiß wird erreicht: der Altar an den Ufern des Jordans soll nur ein Gedenkaltar sein
71E547|Josuas letzte Ansprache; der Tod Josuas und Eleasars (Joshua 23-24)
71E5471|der greise Josua ruft die Israeliten zusammen, um seine letzten Ermahnungen zu hören
71E54711|Josua erneuert den Bund; ein großer Gedenkstein wird aufgestellt
71E5472|Tod und Begräbnis Josuas
71E5473|die sterblichen Überreste Josephs werden in Sichem begraben
71E5474|Tod und Begräbnis des Hohepriesters Eleasar
71EE1142|der brennende Dornbusch und die Berufung des Moses - EE - Maria im brennenden Dornbusch
71EE11421|Moses zieht seine Sandalen (Schuhe) aus - EE - Maria im brennenden Dornbusch
71EE11422|Moses, der vor dem Dornbusch kniet und sein Gesicht verhüllt, lauscht Gott - EE - Maria im brennenden Dornbusch
71EE11423|die Wunder bei der Berufung des Moses - EE - Maria im brennenden Dornbusch
71EE114231|das Wunder des Stabs, der sich in eine Schlange verwandelt; es kann gezeigt werden, wie Moses vor der Schlange flieht - EE - Maria im brennenden Dornbusch
71EE114232|das Wunder der leprösen Hand - EE - Maria im brennenden Dornbusch
71EE114233|das Wunder des Wassers, das in Blut verwandelt wird - EE - Maria im brennenden Dornbusch
71EE114234|Moses wird ein Stab gegeben - EE - Maria im brennenden Dornbusch
71F|die Zeit der Richter
71F1|Buch der Richter 1-5
71F11|von Josuas Tod bis zu Otniel (Richter 1-2)
71F111|Juda wird berufen, um am Beginn der Zeit der Richter gegen die Kanaaniter zu kämpfen
71F1111|die Stämme Judas und Simeons besiegen die Kanaaniter und die Perisiter
71F1112|Adoni-Besek wird gefangengenommen; seine Daumen und großen Zehen werden abgeschnitten
71F112|Otniel erobert Debir und bekommt Kalebs Tochter Achsa als Ehefrau
71F1121|Achsa und Otniel bitten Kaleb um ein Feld und Wasserquellen (Achsa steigt von ihrem Esel ab)
71F113|in Bochim tadelt der Engel Gottes die Israeliten
71F12|die Zeit Otniels (Richter 3:9-11)
71F121|Otniel befreit die Israeliten von Kuschan-Rischatajim, dem König Mesopotamiens
71F13|die Zeit Ehuds; die Geschichte von Ehud und Eglon (Richter 3:15-30)
71F131|die Israeliten verüben erneut Untaten und werden von dem Moabiterkönig Eglon besiegt
71F132|Ehud bringt Eglon ein Geschenk der Israeliten
71F133|Ehud und Eglon werden von den Dienern alleingelassen
71F134|der linkshändige Ehud sticht dem beleibten Eglon einen Dolch in den Bauch und tötet ihn dadurch
71F135|nachdem er König Eglon getötet hat, verläßt Ehud den Raum und verschließt die Tür hinter sich
71F136|Ehud entkommt, während die Diener vor den verschlossenen Türen warten
71F137|Eglon wird tot aufgefunden
71F138|Ehud ruft die Israeliten zur Schlacht zusammen
71F1381|in der Nähe der Furt durch den Jordan werden die Moabiter von Ehud und seiner Armee geschlagen
71F14|die Zeit Schamgars (Richter 3:31)
71F141|Schamgar erschlägt sechshundert Philister mit einem Ochsenstachel
71F15|die Zeit Deborahs und Baraks (Richter 4-5)
71F151|Deborah, die unter einer Palme sitzt, bittet Barak darum, Sisera und seine Armee anzugreifen
71F152|auf Baraks Bitte begleitet ihn Deborah in die Schlacht auf dem Berg Tabor
71F153|die Armee Siseras mit ihren neunhundert eisernen Streitwagen wird besiegt
71F154|die Geschichte von Jael und Sisera
71F1541|Sisera flieht zum Zelt Jaels, die herauskommt, um ihn zu treffen
71F1542|Sisera bittet Jael um Wasser und bekommt Milch
71F1543|Jael nimmt einen Zeltpflock und einen Hammer
71F1544|Jael tötet den schlafenden Sisera, indem sie ihm den Pflock durch seine Schläfen treibt
71F1545|Barak kommt zu Jaels Zelt; sie zeigt ihm Siseras Leichnam
71F155|das Siegeslied Deborahs (und Baraks)
71F2|Buch der Richter 6-12
71F21|die Zeit Gideons (Buch der Richter)
