0|abstrakte, ungegenständliche Kunst
11H(FRANCIS BORGIA)59|Franz Borgia (de Borja), Jesuitenpater und Herzog von Gandia, mögliche Attribute: Buch, Herzogskrone, Monstranz, Totenschädel mit Krone - Stigmatisation eines männlichen Heiligen
11H(FRANCIS BORGIA)6|Franz Borgia (de Borja), Jesuitenpater und Herzog von Gandia, mögliche Attribute: Buch, Herzogskrone, Monstranz, Totenschädel mit Krone - Martyrium, Leiden, Scheitern, Tod eines männlichen Heiligen
11H(FRANCIS BORGIA)68|Franz Borgia (de Borja), Jesuitenpater und Herzog von Gandia, mögliche Attribute: Buch, Herzogskrone, Monstranz, Totenschädel mit Krone - Tod, Totenbett eines männlichen Heiligen
11H(FRANCIS BORGIA)69|Franz Borgia (de Borja), Jesuitenpater und Herzog von Gandia, mögliche Attribute: Buch, Herzogskrone, Monstranz, Totenschädel mit Krone - Leichenschändung am Körper eines männlichen Heiligen
11H(FRANCIS BORGIA)7|Franz Borgia (de Borja), Jesuitenpater und Herzog von Gandia, mögliche Attribute: Buch, Herzogskrone, Monstranz, Totenschädel mit Krone - Apotheose, Verklärung, Triumph eines männlichen Heiligen
11H(FRANCIS BORGIA)8|Franz Borgia (de Borja), Jesuitenpater und Herzog von Gandia, mögliche Attribute: Buch, Herzogskrone, Monstranz, Totenschädel mit Krone - postume Ereignisse in der Vita eines männlichen Heiligen
11H(FRANCIS BORGIA)81|Franz Borgia (de Borja), Jesuitenpater und Herzog von Gandia, mögliche Attribute: Buch, Herzogskrone, Monstranz, Totenschädel mit Krone - Auffindung, Translation der Reliquien eines männlichen Heiligen
11H(FRANCIS BORGIA)82|Franz Borgia (de Borja), Jesuitenpater und Herzog von Gandia, mögliche Attribute: Buch, Herzogskrone, Monstranz, Totenschädel mit Krone - Wunder durch die Berührung von Reliquien eines männlichen Heiligen
11H(FRANCIS BORGIA)83|Franz Borgia (de Borja), Jesuitenpater und Herzog von Gandia, mögliche Attribute: Buch, Herzogskrone, Monstranz, Totenschädel mit Krone - postume Handlungen, Erscheinungen eines männlichen Heiligen
11H(FRANCIS BORGIA)84|Franz Borgia (de Borja), Jesuitenpater und Herzog von Gandia, mögliche Attribute: Buch, Herzogskrone, Monstranz, Totenschädel mit Krone - Seligsprechung, Heiligsprechung eines männlichen Heiligen
11H(FRANCIS BORGIA)9|Franz Borgia (de Borja), Jesuitenpater und Herzog von Gandia, mögliche Attribute: Buch, Herzogskrone, Monstranz, Totenschädel mit Krone - Bildnis eines männlichen Heiligen
11H(FRANCIS OF PAOLA)|Franz von Paula, Eremit und Gründer des Ordens der franziskanischen Minderbrüder (Minimen); mögliche Attribute: Aufschrift auf der Brust: Charitas, Kasteiung, Totenschädel, Stab
11H(FRANCIS OF PAOLA)0|Franz von Paula, Eremit und Gründer des Ordens der franziskanischen Minderbrüder (Minimen); mögliche Attribute: Aufschrift auf der Brust: Charitas, Kasteiung, Totenschädel, Stab - ein männlicher Heiliger, der in einer Gruppe dargestellt ist
11H(FRANCIS OF PAOLA)1|Franz von Paula, Eremit und Gründer des Ordens der franziskanischen Minderbrüder (Minimen); mögliche Attribute: Aufschrift auf der Brust: Charitas, Kasteiung, Totenschädel, Stab - besondere Darstellungsformen eines männlichen Heiligen
11H(FRANCIS OF PAOLA)11|Franz von Paula, Eremit und Gründer des Ordens der franziskanischen Minderbrüder (Minimen); mögliche Attribute: Aufschrift auf der Brust: Charitas, Kasteiung, Totenschädel, Stab - ein männlicher Heiliger als Patron, Beschützer, Fürsprecher
11H(FRANCIS OF PAOLA)119|Franz von Paula, Eremit und Gründer des Ordens der franziskanischen Minderbrüder (Minimen); mögliche Attribute: Aufschrift auf der Brust: Charitas, Kasteiung, Totenschädel, Stab - ein männlicher Heiliger beschützt Gläubige mit seinem Mantel (Schutzmantel)
11H(FRANCIS OF PAOLA)12|Franz von Paula, Eremit und Gründer des Ordens der franziskanischen Minderbrüder (Minimen); mögliche Attribute: Aufschrift auf der Brust: Charitas, Kasteiung, Totenschädel, Stab - ein männlicher Heiliger schreibt, studiert, unterrichtet, diktiert (z.B. als Kirchenlehrer)
11H(FRANCIS OF PAOLA)13|Franz von Paula, Eremit und Gründer des Ordens der franziskanischen Minderbrüder (Minimen); mögliche Attribute: Aufschrift auf der Brust: Charitas, Kasteiung, Totenschädel, Stab - ein männlicher Heiliger als Ordensgründer
11H(FRANCIS OF PAOLA)131|Franz von Paula, Eremit und Gründer des Ordens der franziskanischen Minderbrüder (Minimen); mögliche Attribute: Aufschrift auf der Brust: Charitas, Kasteiung, Totenschädel, Stab - ein männlicher Heiliger bei einer Regelbestätigung
11H(FRANCIS OF PAOLA)2|Franz von Paula, Eremit und Gründer des Ordens der franziskanischen Minderbrüder (Minimen); mögliche Attribute: Aufschrift auf der Brust: Charitas, Kasteiung, Totenschädel, Stab - Kindheit und Jugend eines männlichen Heiligen
11H(FRANCIS OF PAOLA)3|Frömmigkeit des hl. Franz von Paula
11H(FRANCIS OF PAOLA)31|Frömmigkeit des hl. Franz von Paula - Berufung, Bekehrung eines männlichen Heiligen
11H(FRANCIS OF PAOLA)32|Frömmigkeit des hl. Franz von Paula - Taufe, Weihe, Gelübde eines männlichen Heiligen
11H(FRANCIS OF PAOLA)33|Frömmigkeit des hl. Franz von Paula - Verzicht auf weltliche Güter, Askese eines männlichen Heiligen
11H(FRANCIS OF PAOLA)34|ein oder mehrere Engel erscheinen dem hl. Franz von Paula; sie halten eine Tafel mit der Aufschrift: Charitas
11H(FRANCIS OF PAOLA)35|Frömmigkeit des hl. Franz von Paula - Versuchung eines männlichen Heiligen
11H(FRANCIS OF PAOLA)36|Frömmigkeit des hl. Franz von Paula - Buße eines männlichen Heiligen
11H(FRANCIS OF PAOLA)37|Frömmigkeit des hl. Franz von Paula - ein männlicher Heiliger bei der Meditation, in Ekstase
11H(FRANCIS OF PAOLA)4|Franz von Paula, Eremit und Gründer des Ordens der franziskanischen Minderbrüder (Minimen); mögliche Attribute: Aufschrift auf der Brust: Charitas, Kasteiung, Totenschädel, Stab - nicht-wundertätige Handlungen und Ereignisse in der Vita eines männlichen Heiligen
11H(FRANCIS OF PAOLA)5|Wunder in der Vita des hl. Franz von Paula
11H(FRANCIS OF PAOLA)51|mit einigen Begleitern überquert der hl. Franz von Paula die Meerenge von Messina auf seinem ausgebreiteten Mantel
11H(FRANCIS OF PAOLA)52|der hl. Franz von Paula erweckt ein Kind von den Toten
11H(FRANCIS OF PAOLA)53|der hl. Franz von Paula schwebt über einer Menschenmenge
11H(FRANCIS OF PAOLA)59|Wunder in der Vita des hl. Franz von Paula - Stigmatisation eines männlichen Heiligen
11H(FRANCIS OF PAOLA)6|Franz von Paula, Eremit und Gründer des Ordens der franziskanischen Minderbrüder (Minimen); mögliche Attribute: Aufschrift auf der Brust: Charitas, Kasteiung, Totenschädel, Stab - Martyrium, Leiden, Scheitern, Tod eines männlichen Heiligen
11H(FRANCIS OF PAOLA)68|Franz von Paula, Eremit und Gründer des Ordens der franziskanischen Minderbrüder (Minimen); mögliche Attribute: Aufschrift auf der Brust: Charitas, Kasteiung, Totenschädel, Stab - Tod, Totenbett eines männlichen Heiligen
11H(FRANCIS OF PAOLA)69|Franz von Paula, Eremit und Gründer des Ordens der franziskanischen Minderbrüder (Minimen); mögliche Attribute: Aufschrift auf der Brust: Charitas, Kasteiung, Totenschädel, Stab - Leichenschändung am Körper eines männlichen Heiligen
11H(FRANCIS OF PAOLA)7|Franz von Paula, Eremit und Gründer des Ordens der franziskanischen Minderbrüder (Minimen); mögliche Attribute: Aufschrift auf der Brust: Charitas, Kasteiung, Totenschädel, Stab - Apotheose, Verklärung, Triumph eines männlichen Heiligen
11H(FRANCIS OF PAOLA)8|Franz von Paula, Eremit und Gründer des Ordens der franziskanischen Minderbrüder (Minimen); mögliche Attribute: Aufschrift auf der Brust: Charitas, Kasteiung, Totenschädel, Stab - postume Ereignisse in der Vita eines männlichen Heiligen
11H(FRANCIS OF PAOLA)81|Franz von Paula, Eremit und Gründer des Ordens der franziskanischen Minderbrüder (Minimen); mögliche Attribute: Aufschrift auf der Brust: Charitas, Kasteiung, Totenschädel, Stab - Auffindung, Translation der Reliquien eines männlichen Heiligen
11H(FRANCIS OF PAOLA)82|Franz von Paula, Eremit und Gründer des Ordens der franziskanischen Minderbrüder (Minimen); mögliche Attribute: Aufschrift auf der Brust: Charitas, Kasteiung, Totenschädel, Stab - Wunder durch die Berührung von Reliquien eines männlichen Heiligen
11H(FRANCIS OF PAOLA)83|Franz von Paula, Eremit und Gründer des Ordens der franziskanischen Minderbrüder (Minimen); mögliche Attribute: Aufschrift auf der Brust: Charitas, Kasteiung, Totenschädel, Stab - postume Handlungen, Erscheinungen eines männlichen Heiligen
11H(FRANCIS OF PAOLA)84|Franz von Paula, Eremit und Gründer des Ordens der franziskanischen Minderbrüder (Minimen); mögliche Attribute: Aufschrift auf der Brust: Charitas, Kasteiung, Totenschädel, Stab - Seligsprechung, Heiligsprechung eines männlichen Heiligen
11H(FRANCIS OF PAOLA)9|Franz von Paula, Eremit und Gründer des Ordens der franziskanischen Minderbrüder (Minimen); mögliche Attribute: Aufschrift auf der Brust: Charitas, Kasteiung, Totenschädel, Stab - Bildnis eines männlichen Heiligen
11H(FRANCIS OF SALES)|Franz von Sales, Bischof von Genf und Kirchenlehrer, mögliche Attribute: von Dornen umschlungenes Herz
11H(FRANCIS OF SALES)0|Franz von Sales, Bischof von Genf und Kirchenlehrer, mögliche Attribute: von Dornen umschlungenes Herz - ein männlicher Heiliger, der in einer Gruppe dargestellt ist
11H(FRANCIS OF SALES)1|Franz von Sales, Bischof von Genf und Kirchenlehrer, mögliche Attribute: von Dornen umschlungenes Herz - besondere Darstellungsformen eines männlichen Heiligen
11H(FRANCIS OF SALES)11|Franz von Sales, Bischof von Genf und Kirchenlehrer, mögliche Attribute: von Dornen umschlungenes Herz - ein männlicher Heiliger als Patron, Beschützer, Fürsprecher
11H(FRANCIS OF SALES)119|Franz von Sales, Bischof von Genf und Kirchenlehrer, mögliche Attribute: von Dornen umschlungenes Herz - ein männlicher Heiliger beschützt Gläubige mit seinem Mantel (Schutzmantel)
11H(FRANCIS OF SALES)12|Franz von Sales, Bischof von Genf und Kirchenlehrer, mögliche Attribute: von Dornen umschlungenes Herz - ein männlicher Heiliger schreibt, studiert, unterrichtet, diktiert (z.B. als Kirchenlehrer)
11H(FRANCIS OF SALES)13|Franz von Sales, Bischof von Genf und Kirchenlehrer, mögliche Attribute: von Dornen umschlungenes Herz - ein männlicher Heiliger als Ordensgründer
11H(FRANCIS OF SALES)131|Franz von Sales, Bischof von Genf und Kirchenlehrer, mögliche Attribute: von Dornen umschlungenes Herz - ein männlicher Heiliger bei einer Regelbestätigung
11H(FRANCIS OF SALES)2|Franz von Sales, Bischof von Genf und Kirchenlehrer, mögliche Attribute: von Dornen umschlungenes Herz - Kindheit und Jugend eines männlichen Heiligen
11H(FRANCIS OF SALES)3|Franz von Sales, Bischof von Genf und Kirchenlehrer, mögliche Attribute: von Dornen umschlungenes Herz - Frömmigkeit eines männlichen Heiligen
11H(FRANCIS OF SALES)31|Franz von Sales, Bischof von Genf und Kirchenlehrer, mögliche Attribute: von Dornen umschlungenes Herz - Berufung, Bekehrung eines männlichen Heiligen
11H(FRANCIS OF SALES)32|Franz von Sales, Bischof von Genf und Kirchenlehrer, mögliche Attribute: von Dornen umschlungenes Herz - Taufe, Weihe, Gelübde eines männlichen Heiligen
11H(FRANCIS OF SALES)33|Franz von Sales, Bischof von Genf und Kirchenlehrer, mögliche Attribute: von Dornen umschlungenes Herz - Verzicht auf weltliche Güter, Askese eines männlichen Heiligen
11H(FRANCIS OF SALES)34|Franz von Sales, Bischof von Genf und Kirchenlehrer, mögliche Attribute: von Dornen umschlungenes Herz - Vision(en), mystische Vermählung eines männlichen Heiligen
11H(FRANCIS OF SALES)35|Franz von Sales, Bischof von Genf und Kirchenlehrer, mögliche Attribute: von Dornen umschlungenes Herz - Versuchung eines männlichen Heiligen
11H(FRANCIS OF SALES)36|Franz von Sales, Bischof von Genf und Kirchenlehrer, mögliche Attribute: von Dornen umschlungenes Herz - Buße eines männlichen Heiligen
11H(FRANCIS OF SALES)37|Franz von Sales, Bischof von Genf und Kirchenlehrer, mögliche Attribute: von Dornen umschlungenes Herz - ein männlicher Heiliger bei der Meditation, in Ekstase
11H(FRANCIS OF SALES)4|nicht-wundertätige Handlungen und Ereignisse in der Vita des hl. Franz von Sales
11H(FRANCIS OF SALES)41|der hl. Franz von Sales (als Bischof ohne Mitra) gibt der hl. Johanna Franziska von Chantal die Regel ihres Ordens (der Heimsuchung Marias: Visitantinnen, Salesianerinnen)
11H(FRANCIS OF SALES)5|Franz von Sales, Bischof von Genf und Kirchenlehrer, mögliche Attribute: von Dornen umschlungenes Herz - Wunder in der Vita eines männlichen Heiligen
11H(FRANCIS OF SALES)59|Franz von Sales, Bischof von Genf und Kirchenlehrer, mögliche Attribute: von Dornen umschlungenes Herz - Stigmatisation eines männlichen Heiligen
11H(FRANCIS OF SALES)6|Franz von Sales, Bischof von Genf und Kirchenlehrer, mögliche Attribute: von Dornen umschlungenes Herz - Martyrium, Leiden, Scheitern, Tod eines männlichen Heiligen
11H(FRANCIS OF SALES)68|Franz von Sales, Bischof von Genf und Kirchenlehrer, mögliche Attribute: von Dornen umschlungenes Herz - Tod, Totenbett eines männlichen Heiligen
11H(FRANCIS OF SALES)69|Franz von Sales, Bischof von Genf und Kirchenlehrer, mögliche Attribute: von Dornen umschlungenes Herz - Leichenschändung am Körper eines männlichen Heiligen
11H(FRANCIS OF SALES)7|Franz von Sales, Bischof von Genf und Kirchenlehrer, mögliche Attribute: von Dornen umschlungenes Herz - Apotheose, Verklärung, Triumph eines männlichen Heiligen
11H(FRANCIS OF SALES)8|Franz von Sales, Bischof von Genf und Kirchenlehrer, mögliche Attribute: von Dornen umschlungenes Herz - postume Ereignisse in der Vita eines männlichen Heiligen
11H(FRANCIS OF SALES)81|Franz von Sales, Bischof von Genf und Kirchenlehrer, mögliche Attribute: von Dornen umschlungenes Herz - Auffindung, Translation der Reliquien eines männlichen Heiligen
11H(FRANCIS OF SALES)82|Franz von Sales, Bischof von Genf und Kirchenlehrer, mögliche Attribute: von Dornen umschlungenes Herz - Wunder durch die Berührung von Reliquien eines männlichen Heiligen
11H(FRANCIS OF SALES)83|Franz von Sales, Bischof von Genf und Kirchenlehrer, mögliche Attribute: von Dornen umschlungenes Herz - postume Handlungen, Erscheinungen eines männlichen Heiligen
11H(FRANCIS OF SALES)84|Franz von Sales, Bischof von Genf und Kirchenlehrer, mögliche Attribute: von Dornen umschlungenes Herz - Seligsprechung, Heiligsprechung eines männlichen Heiligen
11H(FRANCIS OF SALES)9|Franz von Sales, Bischof von Genf und Kirchenlehrer, mögliche Attribute: von Dornen umschlungenes Herz - Bildnis eines männlichen Heiligen
11H(FRANCIS XAVIER)|der jesuitische Missionar Franz Xaver, mögliche Attribute: Kreuz, Kruzifix, brennendes Herz, Inder, Lilie, Fackel
11H(FRANCIS XAVIER)0|der jesuitische Missionar Franz Xaver, mögliche Attribute: Kreuz, Kruzifix, brennendes Herz, Inder, Lilie, Fackel - ein männlicher Heiliger, der in einer Gruppe dargestellt ist
11H(FRANCIS XAVIER)1|der jesuitische Missionar Franz Xaver, mögliche Attribute: Kreuz, Kruzifix, brennendes Herz, Inder, Lilie, Fackel - besondere Darstellungsformen eines männlichen Heiligen
11H(FRANCIS XAVIER)11|der jesuitische Missionar Franz Xaver, mögliche Attribute: Kreuz, Kruzifix, brennendes Herz, Inder, Lilie, Fackel - ein männlicher Heiliger als Patron, Beschützer, Fürsprecher
11H(FRANCIS XAVIER)119|der jesuitische Missionar Franz Xaver, mögliche Attribute: Kreuz, Kruzifix, brennendes Herz, Inder, Lilie, Fackel - ein männlicher Heiliger beschützt Gläubige mit seinem Mantel (Schutzmantel)
11H(FRANCIS XAVIER)12|der jesuitische Missionar Franz Xaver, mögliche Attribute: Kreuz, Kruzifix, brennendes Herz, Inder, Lilie, Fackel - ein männlicher Heiliger schreibt, studiert, unterrichtet, diktiert (z.B. als Kirchenlehrer)
11H(FRANCIS XAVIER)13|der jesuitische Missionar Franz Xaver, mögliche Attribute: Kreuz, Kruzifix, brennendes Herz, Inder, Lilie, Fackel - ein männlicher Heiliger als Ordensgründer
11H(FRANCIS XAVIER)131|der jesuitische Missionar Franz Xaver, mögliche Attribute: Kreuz, Kruzifix, brennendes Herz, Inder, Lilie, Fackel - ein männlicher Heiliger bei einer Regelbestätigung
11H(FRANCIS XAVIER)2|der jesuitische Missionar Franz Xaver, mögliche Attribute: Kreuz, Kruzifix, brennendes Herz, Inder, Lilie, Fackel - Kindheit und Jugend eines männlichen Heiligen
11H(FRANCIS XAVIER)3|der jesuitische Missionar Franz Xaver, mögliche Attribute: Kreuz, Kruzifix, brennendes Herz, Inder, Lilie, Fackel - Frömmigkeit eines männlichen Heiligen
11H(FRANCIS XAVIER)31|der jesuitische Missionar Franz Xaver, mögliche Attribute: Kreuz, Kruzifix, brennendes Herz, Inder, Lilie, Fackel - Berufung, Bekehrung eines männlichen Heiligen
11H(FRANCIS XAVIER)32|der jesuitische Missionar Franz Xaver, mögliche Attribute: Kreuz, Kruzifix, brennendes Herz, Inder, Lilie, Fackel - Taufe, Weihe, Gelübde eines männlichen Heiligen
11H(FRANCIS XAVIER)33|der jesuitische Missionar Franz Xaver, mögliche Attribute: Kreuz, Kruzifix, brennendes Herz, Inder, Lilie, Fackel - Verzicht auf weltliche Güter, Askese eines männlichen Heiligen
11H(FRANCIS XAVIER)34|der jesuitische Missionar Franz Xaver, mögliche Attribute: Kreuz, Kruzifix, brennendes Herz, Inder, Lilie, Fackel - Vision(en), mystische Vermählung eines männlichen Heiligen
11H(FRANCIS XAVIER)35|der jesuitische Missionar Franz Xaver, mögliche Attribute: Kreuz, Kruzifix, brennendes Herz, Inder, Lilie, Fackel - Versuchung eines männlichen Heiligen
11H(FRANCIS XAVIER)36|der jesuitische Missionar Franz Xaver, mögliche Attribute: Kreuz, Kruzifix, brennendes Herz, Inder, Lilie, Fackel - Buße eines männlichen Heiligen
11H(FRANCIS XAVIER)37|der jesuitische Missionar Franz Xaver, mögliche Attribute: Kreuz, Kruzifix, brennendes Herz, Inder, Lilie, Fackel - ein männlicher Heiliger bei der Meditation, in Ekstase
11H(FRANCIS XAVIER)4|nicht-wundertätige Handlungen und Ereignisse in der Vita des hl. Franz Xaver
11H(FRANCIS XAVIER)41|der hl. Franz Xaver arbeitet als Missionar in Indien
11H(FRANCIS XAVIER)411|der hl. Franz Xaver als Missionar in Indien; er tauft Inder
11H(FRANCIS XAVIER)412|der hl. Franz Xaver predigt als Missionar in Indien, z.B. vor einem indischen Herrscher
11H(FRANCIS XAVIER)5|Wunder in der Vita des hl. Franz Xaver
11H(FRANCIS XAVIER)51|der hl. Franz Xaver wirkt als Missionar in Indien Wunder
11H(FRANCIS XAVIER)511|der hl. Franz Xaver erweckt als Missionar in Indien Tote zum Leben
11H(FRANCIS XAVIER)512|der hl. Franz Xaver heilt als Missionar in Indien Kranke
11H(FRANCIS XAVIER)52|ein Hummer bringt dem hl. Franz Xaver ein Kruzifix zurück, das in das Meer gefallen war
11H(FRANCIS XAVIER)59|Wunder in der Vita des hl. Franz Xaver - Stigmatisation eines männlichen Heiligen
11H(FRANCIS XAVIER)6|Martyrium, Leiden, Scheitern, Tod des hl. Franz Xaver
11H(FRANCIS XAVIER)68|Tod des hl. Franz Xaver auf der Insel Sancian; er befindet sich allein in einer Hütte und hält ein Kruzifix
11H(FRANCIS XAVIER)681|Entdeckung des toten Franz Xaver durch indische Ureinwohner
11H(FRANCIS XAVIER)69|Martyrium, Leiden, Scheitern, Tod des hl. Franz Xaver - Leichenschändung am Körper eines männlichen Heiligen
11H(FRANCIS XAVIER)7|der jesuitische Missionar Franz Xaver, mögliche Attribute: Kreuz, Kruzifix, brennendes Herz, Inder, Lilie, Fackel - Apotheose, Verklärung, Triumph eines männlichen Heiligen
11H(FRANCIS XAVIER)8|der jesuitische Missionar Franz Xaver, mögliche Attribute: Kreuz, Kruzifix, brennendes Herz, Inder, Lilie, Fackel - postume Ereignisse in der Vita eines männlichen Heiligen
11H(FRANCIS XAVIER)81|der jesuitische Missionar Franz Xaver, mögliche Attribute: Kreuz, Kruzifix, brennendes Herz, Inder, Lilie, Fackel - Auffindung, Translation der Reliquien eines männlichen Heiligen
11H(FRANCIS XAVIER)82|der jesuitische Missionar Franz Xaver, mögliche Attribute: Kreuz, Kruzifix, brennendes Herz, Inder, Lilie, Fackel - Wunder durch die Berührung von Reliquien eines männlichen Heiligen
11H(FRANCIS XAVIER)83|der jesuitische Missionar Franz Xaver, mögliche Attribute: Kreuz, Kruzifix, brennendes Herz, Inder, Lilie, Fackel - postume Handlungen, Erscheinungen eines männlichen Heiligen
11H(FRANCIS XAVIER)84|der jesuitische Missionar Franz Xaver, mögliche Attribute: Kreuz, Kruzifix, brennendes Herz, Inder, Lilie, Fackel - Seligsprechung, Heiligsprechung eines männlichen Heiligen
11H(FRANCIS XAVIER)9|der jesuitische Missionar Franz Xaver, mögliche Attribute: Kreuz, Kruzifix, brennendes Herz, Inder, Lilie, Fackel - Bildnis eines männlichen Heiligen
11H(FRANCIS)|der Gründer des Franziskanerordens, Franz(iskus) von Assisi, mögliche Attribute: Buch, Kruzifix, Lilie, Totenschädel, Stigmata
11H(FRANCIS)0|der Gründer des Franziskanerordens, Franz(iskus) von Assisi, mögliche Attribute: Buch, Kruzifix, Lilie, Totenschädel, Stigmata - ein männlicher Heiliger, der in einer Gruppe dargestellt ist
11H(FRANCIS)1|besondere Darstellungsformen des hl. Franz von Assisi
11H(FRANCIS)11|der hl. Franz von Assisi als Pestheiliger: Christus (oder ein Pestengel) schleudert Pfeile vom Himmel; Franziskus beschützt die Erde (in Form einer Kugel); Maria legt Fürsprache ein
11H(FRANCIS)119|der hl. Franz von Assisi als Pestheiliger: Christus (oder ein Pestengel) schleudert Pfeile vom Himmel; Franziskus beschützt die Erde (in Form einer Kugel); Maria legt Fürsprache ein - ein männlicher Heiliger beschützt Gläubige mit seinem Mantel (Schutzmantel)
11H(FRANCIS)12|besondere Darstellungsformen des hl. Franz von Assisi - ein männlicher Heiliger schreibt, studiert, unterrichtet, diktiert (z.B. als Kirchenlehrer)
11H(FRANCIS)13|der hl. Franz von Assisi gründet den Minoriten- bzw. Franziskanerorden (Tertiarier): er verteilt die Ordensregel an einige andere Heilige
11H(FRANCIS)131|Regelbestätigung des Franziskanerordens durch Papst Innozenz III.
11H(FRANCIS)2|Kindheit und Jugend des hl. Franz von Assisi
11H(FRANCIS)21|der hl. Franz von Assisi gibt einem armen Soldaten seinen Mantel
11H(FRANCIS)22|der hl. Franz von Assisi träumt von einem Palast, der in der Luft schwebt und mit Militärbannern geschmückt ist
11H(FRANCIS)3|Frömmigkeit des hl. Franz von Assisi
11H(FRANCIS)31|Frömmigkeit des hl. Franz von Assisi - Berufung, Bekehrung eines männlichen Heiligen
11H(FRANCIS)32|Frömmigkeit des hl. Franz von Assisi - Taufe, Weihe, Gelübde eines männlichen Heiligen
11H(FRANCIS)33|der hl. Franz von Assisi weist sein weltliches Erbe zurück: er steht vor dem Bischof und gibt seinem Vater seine (wertvollen) Kleidungsstücke; der Bischof bedeckt Franziskus mit seinem Mantel
11H(FRANCIS)34|Visionen des hl. Franz von Assisi
11H(FRANCIS)341|nach dem Rosenwunder erscheinen Christus und Maria dem hl. Franz von Assisi in der Portiuncula-Kapelle
11H(FRANCIS)342|ein Engel, der Geige spielt, erscheint dem hl. Franz von Assisi, der dabei manchmal auf dem Kranken- oder Sterbebett liegt oder in der Luft schwebt und meditiert
11H(FRANCIS)343|der hl. Franz von Assisi umarmt den gekreuzigten Christus
11H(FRANCIS)344|Maria überreicht dem hl. Franz von Assisi das Christuskind
11H(FRANCIS)35|um fleischlichen Versuchungen (durch nackte Frauen) zu widerstehen, wirft sich der hl. Franz von Assisi in einen Dornbusch; manchmal sprießen Rosen aus den Stellen, auf die Blutstropfen gefallen sind
11H(FRANCIS)36|Frömmigkeit des hl. Franz von Assisi - Buße eines männlichen Heiligen
11H(FRANCIS)37|der hl. Franz von Assisi in Ekstase
11H(FRANCIS)4|nicht-wundertätige Handlungen und Ereignisse in der Vita des hl. Franz von Assisi
11H(FRANCIS)41|der hl. Franz von Assisi predigt
11H(FRANCIS)411|der hl. Franz von Assisi predigt vor dem Sultan von Ägypten und läuft, um ihn zu bekehren, unversehrt durch ein Feuer
11H(FRANCIS)42|der hl. Franz von Assisi spielt (mit der Krippe, dem Ochsen und dem Esel) die Geburt Christi in der Grotte von Greccio nach
11H(FRANCIS)5|Wunder in der Vita des hl. Franz von Assisi
11H(FRANCIS)51|Papst Innozenz III. träumt von der Lateransbasilika, die einzustürzen droht und von Franziskus gestützt wird
11H(FRANCIS)52|mystische Hochzeit mit der Personifikation der Armut: der hl. Franz von Assisi steckt ihr einen Ring an den Finger (manchmal führt Christus die Zeremonie durch); die Armut wird von den Personifikationen der Keuschheit und des Gehorsams begleitet
11H(FRANCIS)53|die Vogelpredigt des hl. Franz von Assisi
11H(FRANCIS)54|Zähmung des Wolfs von Gubbio: der hl. Franz von Assisi und die Bürger der Stadt unterzeichnen einen Vertrag mit dem Wolf
11H(FRANCIS)59|die Stigmatisation des hl. Franz von Assisi: auf dem Berg Alverna hat er eine Vision vom geflügelten Christus am Kreuz (in der Art eines sechsflügeligen Seraphen); Strahlen führen zum Körper des knienden Heiligen und formen die fünf Wundmale
11H(FRANCIS)591|der erschöpfte Franziskus wird nach der Stigmatisation von Engeln gestützt
11H(FRANCIS)6|Martyrium, Leiden, Scheitern, Tod des hl. Franz von Assisi
11H(FRANCIS)68|Totenbett des hl. Franz von Assisi
11H(FRANCIS)681|Totenbett des hl. Franz von Assisi: er ist von Mönchen umgeben, die seine Stigmata verehren
11H(FRANCIS)682|Totenbett des hl. Franz von Assisi: der Arzt Hieronymus berührt die Wundmale und wird dadurch bekehrt
11H(FRANCIS)683|Tod des hl. Franz von Assisi: die hl. Klara von Assisi und ihre Mitschwestern umarmen den Leichnam und entbieten ihren Abschiedsgruß
11H(FRANCIS)69|Martyrium, Leiden, Scheitern, Tod des hl. Franz von Assisi - Leichenschändung am Körper eines männlichen Heiligen
11H(FRANCIS)7|der Gründer des Franziskanerordens, Franz(iskus) von Assisi, mögliche Attribute: Buch, Kruzifix, Lilie, Totenschädel, Stigmata - Apotheose, Verklärung, Triumph eines männlichen Heiligen
11H(FRANCIS)8|postume Ereignisse in der Vita des hl. Franz von Assisi
11H(FRANCIS)81|Auffindung der Reliquien des hl. Franz von Assisi durch Papst Nikolaus V.: der Heilige steht aufrecht, im Mönchsgewand und mit seinen Stigmata in seinem Grab
11H(FRANCIS)82|postume Ereignisse in der Vita des hl. Franz von Assisi - Wunder durch die Berührung von Reliquien eines männlichen Heiligen
11H(FRANCIS)83|Erscheinungen des hl. Franz von Assisi
11H(FRANCIS)831|der hl. Franz von Assisi erscheint in einem feurigen Triumphwagen
11H(FRANCIS)84|postume Ereignisse in der Vita des hl. Franz von Assisi - Seligsprechung, Heiligsprechung eines männlichen Heiligen
11H(FRANCIS)9|der Gründer des Franziskanerordens, Franz(iskus) von Assisi, mögliche Attribute: Buch, Kruzifix, Lilie, Totenschädel, Stigmata - Bildnis eines männlichen Heiligen
11H(FRIDOLIN)|Fridolin, der Abt und Gründer der Abtei von Säckingen; mögliche Attribute: Pilgerstab, Skelett
11H(FRIDOLIN)0|Fridolin, der Abt und Gründer der Abtei von Säckingen; mögliche Attribute: Pilgerstab, Skelett - ein männlicher Heiliger, der in einer Gruppe dargestellt ist
