5|抽象的な考えと概念
71E1186|初子の奉献
71E12|出エジプト記 (第二部):イスラエルのシナイ山への旅
71E121|イスラエルの民のスコトから紅海への旅 (出エジプト記 13:17-20)
71E1211|モーセがヨセフの骨を携える
71E1212|火の柱と雲の柱 ~ 出エジプト記
71E12121|昼の間は雲の柱 (と/または神の遣い) が民を導く
71E12122|夜になると火の柱がイスラエルの民を照らす (出エジプト記 14)
71E122|紅海を通る
71E1221|ファラオはイスラエル人の逃亡を耳にする
71E12211|ファラオとその兵隊がイスラエル人の追跡に向かう
71E12212|イスラエルの民がモーセに対する不満を漏らす
71E1222|モーセは杖を振り上げ, 水が (紅海を) 分ける; 神の遣いと雲の柱が移動して後ろに立つ
71E12221|民は乾いた地を進んでいき (エジプト人は見えないまたはほとんど見えない); 神の遣いと雲の柱がおそらく後ろに見える
71E12222|イスラエル人を海の中追うエジプト人
71E1223|民が岸辺で安全になると, モーセは手を差し伸べ水を元に戻す; ファラオの兵が水 (紅海) の中で全滅する
71E12231|ファラオと彼の兵が紅海に飲み込まれる (イスラエルの民は見えないまたは全く見えない)
71E123|紅海を渡った後, イスラエル人は神を賛美する (出エジプト記 15:1-21)
71E1231|モーセの歌 ~ 出エジプト記
71E1232|ミリアムは小太鼓を手に取り踊る; 全ての女性が彼女の後に続く
71E12321|ミリアムの喜びの歌 ~ 出エジプト記
71E124|マラとエリムのイスラエルの民 (出エジプト記 15:22-27)
71E1241|マラの苦い水が甘くなる奇跡
71E12411|荒野で民は苦い水のことでモーセに不平を言う
71E12412|モーセが一本の木をマラの水に投げ込むと, 水が甘くなる
71E12413|神の声を聞くイスラエルの民
71E1242|イスラエル人はエリムの泉に着くと, そこには十二の泉と七十本のなつめやしがあった
71E12421|エリムの十二の泉 (各部族に一つずつ)
71E125|マナとうずらの奇跡 (出エジプト記 16)
71E1251|シンの荒野でイスラエルの民がモーセに不平を言う
71E1252|モーセとアロンが民に食べ物を約束する
71E12521|神の栄光が現れる
71E1253|夜にはたくさんのうずらの群れがイスラエル人の宿営を覆う
71E1254|朝にはマナが地面に降ってくる ~ 出エジプト記
71E12541|マナの収集 (籠と壺に)
71E12542|アロンは壺をマナで満たし, 掟の箱の前に置いて蓄える
71E125421|一オメルのマナの入った壺
71E126|岩を打ち水を出すモーセ (出エジプト記 17:1-7; 民数記 20:2-13)
71E1261|イスラエル人はレフィディム (またはメリバ) に着くと, 飲み水がないと言って不満を言う
71E1262|モーセとアロンが幕屋の前で祈ると, 神が現れる
71E1263|集まった民の前でモーセが岩を2回打つと, 水が湧き出る; 人々は喉の渇きをいやす
71E12631|モーセを叱責する神
71E127|アマレクがイスラエルの民と戦争しに来る (出エジプト記 17:8-16)
71E1271|ヨシュアに指示を与えるモーセ　
71E1272|モーセはアロンとフルと共に丘の頂に登り, 手を挙げてイスラエルの民を勝利させる
71E12721|モーセは岩の上に座り, 腕をアロンとフルに支えてもらう; アマレクの軍が打ち負かされる
71E1273|モーセが祭壇を築く
71E128|エトロのモーセ訪問: ツィポラと彼女の2人の息子たちと共に, 彼はモーセが宿営している砂漠にやってくる (出エジプト記 18)
71E1281|エトロとモーセの会合
71E1282|モーセの天幕にいるエトロ
71E1283|エトロは生贄を神に捧げ, モーセ, アロン, イスラエルの長老たちと共にパンを食べる
71E1284|エトロは, モーセが一日中民の争いを仲裁して忙しいのを見て, 裁く者を任命するよう助言する
71E1285|裁く者を選ぶモーセ
71E1286|モーセとエトロの別れ ~ 砂漠でのエトロのモーセ訪問
71E13|出エジプト記 (第三部): シナイ法の成立と更新
71E131|繰り返し登場する主題 ~ シナイ山
71E1311|シナイ山を登るモーセ (一人) 
71E1312|シナイ山 (おそらく厚い雲に覆われている) で神と会話するモーセ
71E1313|シナイ山から降りてくるモーセ
71E1314|長老たちに話しかけるモーセ
71E1315|イスラエルの民に話しかけるモーセ
71E132|イスラエルの民のシナイ山到着 (出エジプト記 19, 20:18-21)
71E1321|イスラエル人がシナイ山に来て, 山の麓に天幕を張る
71E13211|人々は神への恭順を約束する
71E1322|民は来るべき法のために準備をする: 彼らは衣服を洗い, 山に境を設けて聖別する
71E1323|シナイ山は厚い雲と雷鳴と稲妻に覆われる
71E13231|モーセは民を山の麓に導き, 神に呼ばれる
71E133|神のモーセとの契約は生贄によって確認される (出エジプト記 24:1-8)
71E1331|法を書き記すモーセ
71E1332|モーセは祭壇を築き, 十二の石の柱を置く
71E1333|若者たちが生贄を持ってくる; モーセはその血の半分を取って鉢に入れ, 残りの半分を祭壇に振りかける
71E1334|契約の書を民に読んで聞かせるモーセ
71E1335|モーセは生贄の血の残り半分を鉢に入れ, 民に振りかける
71E134|契約を記した石板を持つシナイ山のモーセ (出エジプト記 24:9-18, 31:18)
71E1341|モーセはアロン, ナダブ, アビフおよびイスラエルの七十人の長老と一緒に山に登る
71E13411|モーセと仲間達がシナイ山で神を見る
71E1342|モーセは長老たちに後ろで待っているように言い, ヨシュアと共にシナイ山をさらに登る
71E1343|モーセは戒めを記した石板を神から授かる
71E13431|十戒を2つの石板に記す神
71E13432|十戒を2つの石板に記すモーセ
71E135|金の子牛の崇拝 ~ アロン (出エジプト記 32:1-19)
71E1351|民はアロンに偶像を作るよう求める
71E13511|民は金の耳輪をアロンの元に持っていく
71E1352|アロンは金の子牛を作り, それを台座または祭壇の上に置く
71E1353|金の子牛の崇拝 (おそらく柱の上に建てられ, 時にはドラゴンとして描かれる)
71E13531|アロンは祭壇を築き, 金の子牛に生贄を捧げる
71E13532|人々は金の子牛の周りで踊る ~ 出エジプト記
71E13533|飲み食いする民 ~ 金の子牛の崇拝
71E13534|フルは金の子牛の崇拝を拒否してイスラエル人に唾を吐きかけられ, 憤死した　
71E1354|モーセ (とヨシュア) は石板を持って下る
71E13541|偶像崇拝をする民を見て, モーセは石板を砕く
71E136|罰 ~ 金の子牛の崇拝 (出エジプト記 32:20-35, 33)
71E1361|モーセは金の子牛を溶かし, 粉々に砕いて水に混ぜ, 人々に飲ませる
71E1362|モーセはアロンに責任を求める
71E1363|モーセは宿営の入り口に立ち, レビの子らに偶像崇拝者を殺させる
71E1364|神は民に疫病をもたらす
71E1365|神は態度を和らげ, 民をカナンへと案内する天使を遣わす
71E1366|民は嘆き悲しみ, 装飾品を外す ~ 偶像崇拝者への罰
71E1367|モーセが幕屋にいる時, 雲の柱が降りてきて入り口に立つ; 民は自分の天幕の入り口に立って礼拝する
71E1368|崖の上に立つモーセは後ろから神を見る
71E137|新しい契約の石板 (出エジプト記 34)
71E1371|2枚の石の板を切るモーセ
71E1372|モーセは2枚の石板をシナイ山に運ぶ
71E1373|神はモーセとの契約を更新し, 石板に戒めを書き記す
71E1374|モーセは新しい石板を持って下山し, アロンや集まった民に迎えられたが, 彼らは'モーセの顔の肌が光っている'ことに気づく (モーセの顔は光線または角を伴って描かれる)
71E13741|モーセは自分の顔に覆いを掛ける
71E138|幕屋とその飾りの準備と設置 ~ 出エジプト記 (出エジプト記 35-40)
71E1381|民は生贄を天幕へ持ってくる: あらゆる素晴らしいもの, 宝石, 亜麻など
71E1382|モーセはベツァルエルとオホリアブ, および他の職人たちを任命する
71E1383|幕屋とその装飾の制作 ~ 出エジプト記
71E1384|天幕やとその装飾の完成; モーセは全てのものを調べ, 職人たちを祝福する
71E1385|幕屋が準備され, モーセは祭壇と机をその中に入れる
71E13851|幕屋の除幕式 (出エジプト記 40:16-33; レビ記 8:10-11)
71E13852|雲が幕屋を覆った後, 幕屋は栄光に包まれる (雲が幕屋を離れて昇ると, イスラエルの人々は出発する) (出エジプト記 40:34-38; 民数記 9:15-23)
71E138521|夜になると, 火が幕屋の上にある
71E2|レビ記
71E21|アロンと4人の息子たちがモーセに任命される (レビ記 8)
71E22|アロンは生贄を捧げる (レビ記 9)
71E221|モーセとアロンが民を祝福した時, 神の栄光が民の前に現れる
71E222|神は祭壇の上の生贄をなめつくす炎を送る
71E23|ナダブとアビフの罪 (レビ記 10:1-7)
71E231|アロンの二人の息子ナダブとアビフが, 香炉に炭火を入れ神に捧げたが, それを罰するために, 神は彼らを殺す火を送る
71E232|アロンに事件の説明をするモーセ
71E233|ナダブとアビフの肉体が宿営の外に運び出される
71E234|モーセはアロンと彼の残りの息子たちエルアザルとイタマルに, 民と共に追悼しないよう助言する
71E24|冒涜者の罰 (レビ記 24:10-23)
71E241|喧嘩の最中に神を冒涜したため, シェロミトの息子はモーセの前に連れてこられる
71E242|シェロミトの息子はイスラエルの民によって石で打ち殺される
71E25|神は戒めを守る者には繁栄を, 破るものには破滅を約束する (レビ記 26)
71E3|民数記: 荒野をさまよい, イスラエルの民はシナイ山を離れカナンに着く
71E31|民数記 (第一部): シナイ山からカデシュ
71E311|シナイ山を発つ準備 (民数記 1-9:14)
71E3111|最初の人口調査 ~ 民数記
71E31111|モーセは幕屋にいて神と会話している時, 民の数を数えるよう命令を受ける
71E31112|モーセとアロン, 十二部族の長は人口調査を行う
71E31113|部族は適切な順番で並ばされる ~ 民数記
71E3112|レビ人は祭司に仕える者に任命される
71E31121|レビ人の人口調査
71E31122|レビ人の義務
71E31122(...)|レビ人の義務 (一族の名前)
71E31123|レビ人が初子の身代わりとなる
71E31124|レビ人の浄化と献身
71E3113|汚れた者を宿営の外に追い出す ~ 民数記
71E3114|幕屋の除幕式での部族の長の献げ物
71E3115|アロンが幕屋の燭台に点灯する
71E3116|2回目の過越の祝い
71E312|シナイ山出発 (民数記 10)
71E3121|宿営を旅立つ合図 ~ 民数記
71E31211|二本の銀のラッパが作られ, 民を集めるために使う ~ 民数記
71E3122|イスラエル人は宿営を発ち, 旅を始める ~ 民数記
71E3123|モーセはエトロの息子ホバブに共に来るよう懇願する
71E313|民の不満 (民数記 11)
71E3131|タブエラで民は宿営を焼き尽くす火によって罰せられる
71E31311|モーセが祈ると火が鎮まる
71E3132|モーセは自分の補佐をする七十の長老を選び, 幕屋の周りに配置する; 神の霊が彼らに降る
71E31321|預言するエルダドとメダド
71E3133|たくさんのうずらが降りてきて宿営を覆う
71E31331|民がうずらを食べると, 疫病が蔓延する
71E3134|イスラエル人がハツェロトへ移動する
71E314|ミリアムとアロンの扇動 (民数記 12)
71E3141|モーセに不満を言うアロンとミリアム
71E3142|神が雲の柱の内にあって降り, 幕屋の入り口に立ち, アロンとミリアムを強く叱責する
71E3143|ミリアムはらい病で罰せられる; モーセは神に祈り, 神は七日の後ミリアムをいやすことを約束する
71E31431|ミリアムは七日間宿営から締め出される
71E31432|いやされたミリアムが宿営に戻る
71E3144|イスラエルの民はハツェロトを発ってパランの荒野に向かう
71E315|カナン偵察 (民数記 13-14)
71E3151|モーセは12人の密偵を送りカナンの地を調査させる　
71E3152|密偵はカナンの果物を持ち帰り, 通例大きなぶどうの房のついた枝を運んでいる
71E31521|カナンのぶどう
71E3153|カレブとヨシュアを除く密偵たちは, 民を混乱させる驚きの報告を持ってくる ~ カナン偵察
71E31531|カレブはカナンを征服するよう民を説得する
71E3154|民の反抗 ~ カナン偵察
71E31541|モーセとアロンは会衆の前で地面にひれ伏し, ヨシュアとカレブは衣を引き裂く
71E315411|民はモーセとアロン, ヨシュア, カレブを石で打ち殺すと脅したが, 突然神の栄光が幕屋に現れる (おそらく4人は雲で守られているように見える)
71E3155|ヨシュアとカレブを除く全ての密偵たちは疫病にかかって死ぬ ~ カナン偵察
71E3156|モーセが神の民への罰について報告すると, 民は深く嘆く ~ カナン偵察
71E3157|カナン侵攻の最初の試みは失敗する: イスラエル人はアマレク人に打ち負かされる
71E316|安息日を守らない者への罰 (民数記 15:32-36)
71E3161|男が安息日に薪を集めているところを見つけられ, モーセとアロンのもとへ連れてこられる
71E3162|安息日を守らない者が石で打ち殺される ~ 民数記
71E317|コラ, ダタン, アビラムの反逆と彼らへの罰 (民数記 16)
71E3171|コラと二百五十名の支持者がモーセとアロンの前に集まる; モーセは反逆者たちに, 香を神に捧げるよう挑む
71E3172|コラを咎めるモーセ
71E3173|モーセは彼の前に現れることを拒否したダタンとアビラムに嘲笑される
71E3174|香炉を抱えたコラと彼の支持者たちは, 幕屋の扉の前(または祭壇の脇) でモーセとアロンに対峙する; 神の火が反逆者たちを滅ぼす
71E31741|モーセはダタンとアビラムの住まいに行き, その周りから離れるよう民に警告する
71E31742|地が口を開き, 反逆者ダタンとアビラム, 彼らの家族, 財産を飲み込む
71E3175|祭司エルアザルが燃やされた者たちの焼け跡から香炉を集める
71E31751|香炉は砕かれ, 祭壇の覆いを作るための薄い板にされる
71E3176|人々が反逆者たち (コラ, ダタン, アビラム)の死について不満を言う
71E31761|雲が幕屋を覆う; モーセとアロンがその前にひれ伏すと, 疫病が蔓延する
71E31762|アロンは香炉を持って集結している人々の中へ走っていき, 疫病を止め, 死んだ者と生きている者の間に立つ
71E318|花をつける杖 (民数記 17)
71E3181|モーセは十二部族からひとつずつ杖を受け取り, 幕屋の中に置く
71E3182|アロンの杖は芽吹き, 花が咲き, アーモンドの実を結ぶ
71E31821|モーセはアロンの花咲く杖を共同体に見せる
71E32|民数記 (第二部): カデシュからモアブへ
71E321|カデシュでの出来事 (民数記 20:1, 20:14-21)
71E3211|ミリアムの死と埋葬
71E3212|エドム王はイスラエル人の通過を拒否する
71E32121|モーセはエドム王に使者を遣わす
71E32122|エドム人が進軍する; イスラエル人は迂回させられる
71E322|アロンの死 (民数記 20:22-29)
71E3221|モーセはアロンとエルアザルとともにホル山へ登る
71E3222|モーセはアロンの衣を脱がせ, エルアザルに着せる
71E3223|アロンの埋葬
71E3224|アロンのための民の嘆き
71E323|アラド王率いるカナン人に対する勝利 (民数記 21:1-3)
71E324|青銅の蛇 (民数記 21:4-9)
71E3241|民が食物について不平を言うと, 神は毒蛇を送る; 蛇に噛まれてたくさんの人が死ぬ ~ 民数記
71E32411|モーセはイスラエル人に懇願され, 神に蛇を取り除くよう請う
71E3242|青銅の蛇が作られ, 旗竿の先に掲げられる
71E3243|毒蛇に咬まれた者は誰しも、青銅の蛇を仰ぐことによって治癒する; 蛇(または竜)はたいてい、T字型十字あるいは柱の上に描かれる
71E325|モアブ人の谷へ行く途中のイスラエル人 (民数記 21:10-20)
71E3251|ベエルで掘られた井戸
71E326|シホン王とオグ王に勝利するイスラエル人 (民数記 21:21-35; ヨシュア記 12:1-6)
71E3261|アモリ人の王シホンのもとに送られるイスラエル人の使徒
71E3262|荒野横断中、アモリ人と戦うイスラエル人
71E3263|シホン王に勝利した後、アモリ人の町に居を構えるイスラエル人
71E3264|ヤゼルに密偵を送るモーセ
71E3265|イスラエル人の、オグ王との戦い
71E33|民数記 (第三部): モアブでの出来事
71E331|バラムの物語 (民数記 22-24)
71E3311|モアブ人の王バラクは、イスラエル人の到着を警戒し、彼らを呪うよう申し渡すために、バラムに使者を送る
71E3312|モアブ人の王バラクの使者を受け入れるバラム
71E33121|夢の中で、バラムのもとに神があらわれる
71E33122|バラク王の使者たちを追い返すバラム
71E33123|バラク王に、預言者バラム訪問について報告する使者たち
71E3313|バラムのもとへ送られる新たな使者たち
71E33131|再び預言者バラムのもとに神があらわれる
71E33132|ロバに鞍を置き、モアブの使者たちとともに出発するバラム
71E3314|剣を持つ主の御使いが行く手を阻み、バラムのロバを道から逸させる; その主の御使いは、バラムには見えない
71E33141|バラムがロバを打ったところ、ロバは横たわって話し始めた
71E33142|バラムの目が開く; 主の御使いの足元にひれ伏すバラム
71E33143|主の御使いとの出会いの後、旅を再開するバラム
71E3315|バラムとバラク王が出会い、ともに犠牲をささげる
71E33151|バアルの高原へ連れて行かれ、イスラエル宿営を見るバラム
71E331511|バラク王を前にして、燔祭のために、七つの祭壇、七頭の牡牛、七頭の牡羊を用意するよう命じるバラム
71E331512|バラク王を前にして、七頭の牡牛と七頭の牡羊を犠牲として捧げるバラム
71E331513|七頭の牡牛と七頭の牡羊の供儀の後、神と対話するバラム
71E331514|バラク王と首長たちを前にして、預言し、イスラエル人を祝福するバラム
71E33152|二度目の牡牛と牡羊の供儀を行うために、バラク王によってピスガ山に連れて行かれるバラム
71E33153|三度目の牡牛と牡羊の供儀を行うために、バラク王によってペオル山に連れて行かれるバラム; バラムはイスラエル人がテントで野営しているのを見る
71E3316|バラク王に叱責される預言者バラム
71E3317|バラムの最後の預言 〜 イスラエル人: 「ヤコブの星」
71E3318|バラクのもとを去るバラム
71E332|荒野横断中、シッテムに滞在するイスラエル人 (民数記 25)
71E3321|イスラエル人とモアブの女たち
71E33211|モアブ人の女たちと交際するイスラエル人
71E33212|イスラエル人をバアル・ペオル信仰に導くモアブの女たち
71E33213|モアブ人の女たちと交際し、処罰されるイスラエル人
71E3322|幕屋の入口で、疫病のために人々が嘆いていたところ、ジムリがミディアンの女コズビをテントへ連れてくる
71E33221|エルアザルの子 ピネハスはジムリとコズビの後を追い、槍で両者を突き刺した
71E333|イスラエル人の第2回人口調査 (民数記 26)
71E334|ゼロペハデの5人の娘たちに嘆願されるモーセ (民数記 27:1-11)
71E335|モーセの後継者として選ばれるヨシュア; 大祭司エルアザルと会衆の前で、モーセはヨシュアの頭に自身の手を置く (民数記 27:18-23)
71E336|イスラエル人とミディアン人の戦争 (民数記 31)
71E3361|ミディアン人を攻撃するよう命じるモーセ
71E3362|ミディアンの男たちは、五人の王やバラムを含めて皆殺される; 女たち、子どもたち、動物は捕らえられ、町は焼かれた
71E3363|ミディアン人との戦いの後、戦利品を持ち帰るイスラエル軍
71E33631|イスラエル人がミディアン人に勝利した後、処女でない女と男の子の死刑を命ずるモーセ
71E33632|ミディアン人との戦いの後、衣服を洗うイスラエル人
71E3364|イスラエル人とミディアン人の戦いの後の、戦利品の分配
71E33641|イスラエル人とミディアン人の戦いの後の、将校の奉納; モーセとエルアザルは、幕屋に献物を供える
71E337|ヨルダン川の渡渉前 (民数記 32-36)
71E3371|ルベンの部族、ガドの部族と、マナセの半部族に、ヨルダン東部の領土が与えられる
71E33711|ルベン族とガド族の嘆願; 彼らはヨルダン東部の領土への滞在許可を求める; モーセはこの要求に憤慨する
71E33712|都市を建設するガド族
71E33713|都市を建設するルベン族
71E33714|ギレアドをめぐる戦い
71E3372|ギレアド一族の首長たちに嘆願されるモーセ; 彼らはゼロペハデの娘たちが自身の部族以外と結婚しないことを望む
71E33721|従兄弟と結婚するゼロペハデの娘たち
71E4|申命記: イスラエル人の彷徨の最後を飾る出来事; 自身の最期に備えるモーセ
71E41|説教するモーセ (全般)
71E42|ヨシュアの召命 (申命記 31:7-8, 31:14-15)
71E421|会衆の面前で、モーセによって勇気づけられるヨシュア
71E422|幕屋にヨシュアを連れていくモーセ; 天幕の入口にとどまる雲の柱
71E43|他界する前日に律法を書き留めるモーセ (申命記 31 諸所)
71E431|祭司に律法を授けるモーセ
71E44|死ぬ前に、人々を集めて歌を朗唱するモーセ (申命記 31 諸所, 32)
71E45|死ぬ前に、イスラエルの12部族を祝福するモーセ (申命記 33)
71E46|モーセの死 (申命記 34)
71E461|ネボ山から約束の地を眺めるモーセ
71E462|神によってネボ山に埋葬されるモーセ
71E463|三十日間、モーセを悼むイスラエル人
71E464|ネボ山での、モーセの遺骸をめぐる聖ミカエルと悪魔の論争 (ユダの手紙 9)
71E5|ヨシュア記
71E51|神と対話するヨシュア (全般)
71E52|ヨシュア指導の下での、イスラエル人によるカナン征服 (第一部)
71E521|約束の地へ入るために備えるヨシュア (ヨシュア記 1-2)
71E5211|将校を教育し、イスラエル人の新たな指導者として受け入れられるヨシュア
71E5212|エリコを偵察するために二人の斥候を送るヨシュア
71E5213|ラハブと斥候の物語
71E52131|ヨシュアに派遣された二人の斥候は、遊女ラハブの家に宿をとる
71E52132|2人のイスラエル人が来たと聞かされたエリコの王は、彼らを見つけるために探索隊を送る
71E52133|屋上で、2人の斥候を亜麻の茎の下に隠れさせるラハブ
71E52134|イスラエル人の斥候について王の家来に尋ねられたラハブは、彼らを誤った方向へ送り出す
71E52135|町が陥落する際には、自分とその家族の命を助けてくれるように、斥候から約束を取りつけるラハブ
71E52136|城壁の中に建てられた自身の家の窓から、赤いロープを使って斥候を下ろしてやるラハブ
71E52137|イスラエル人の斥候が3日間山に身を隠している間、エリコの王の兵士たちは町中を捜索する
71E52138|イスラエル人の宿営へ戻り、ヨシュアに報告する斥候
71E522|ヨルダンに来るイスラエル人 (ヨシュア記 3-4)
71E5221|イスラエル人は宿営をヨルダンへ移し、川を渡るのを待つ
71E52211|将校は、どのようにしてヨルダン川を渡るかイスラエル人に指示する
71E52212|祭司に指示するヨシュア 〜 ヨルダン川渡渉
71E5222|ヨルダン川を渡るために宿営を離れるイスラエル人; 契約の箱を運ぶ祭司たちが行進を先導する
71E5223|イスラエル人によるヨルダン川渡渉
71E52231|祭司たちが川に足を踏み入れるやいなや、ヨルダン川の水の流れが止まる
71E52232|契約の箱を持った祭司たちがヨルダン川の中にとどまり、水が奇跡的に堰き止められている間に、イスラエル人たちが川を渡る
71E52233|十二人の男が十二個の石を川の中から取る 〜 イスラエル人によるヨルダン川渡渉
71E52234|奇跡的なヨルダン川渡渉を記念して、川の中に十二個の石を立てるヨシュア
71E52235|イスラエル人によるヨルダン川渡渉の後、人々の目の前で讃えられるヨシュア
71E52236|ヨシュアの命で祭司たちがヨルダン川をあとにすると、川は再び流れ始めた
71E523|ヨルダン川渡渉後の、ギルカル宿営 (ヨシュア記 4:19 - 5:15)
71E5231|ギルカルで、ヨシュアはヨルダン川から取った12個の石で別の記念物を立てる
71E5232|ヨルダン川渡渉後、彷徨中に生まれたイスラエル人の割礼が行われる
71E5233|約束の地で、過越祭が初めて執り行われる
71E5234|剣を持つ主の御使いに出会うヨシュア (最初は主の御使いに気づかなかったヨシュアが、剣を抜いた姿で描かれることがある)
71E52341|剣を持つ主の御使いの足元にひれ伏すヨシュア
71E52342|履物を脱ぐよう、剣を持つ主の御使いに言われるヨシュア
71E524|エリコ陥落 (ヨシュア記 6)
71E5241|城壁の中に立て籠り、包囲に耐えるために備えるエリコ
71E5242|エリコの周りを行進するイスラエル人: 行進では、兵士の主力部隊は先立って進み、次にラッパを吹く七人の祭司、契約の箱を運ぶ祭司、しんがりと続く
71E52421|七日目、ヨシュアの合図で人々は叫び、エリコの城壁は倒壊する
71E52422|城壁が倒壊した後、イスラエル人がエリコを攻撃する
71E52423|イスラエル人によって略奪され、燃やされるエリコ; 住人は殺される
71E524231|ラハブとその家族は命を助けられ、イスラエルの宿営に連れて行かれる 〜 エリコ陥落
71E524232|戦利品は主の宝庫に納められる 〜 エリコ陥落
71E52424|エリコを再建しようとする者は皆、呪いにかかると宣告するヨシュア
71E525|アカンの罪 (エリコ陥落の余波) (ヨシュア記 7)
71E5251|ヨシュアはアイへ斥候を送る; 彼らは、その町は大きくないと報告する
71E5252|三千人の男だけでアイに立ち向かう; 彼らは撃退され、そのうち何人かは殺された
71E5253|アイへの最初の攻撃が不成功に終わった後、幕屋の前でひれ伏すヨシュアは嘆き、自身の衣服を切り裂く
71E5254|アイへの攻撃が不成功に終わった後、部族を調査するヨシュア: ユダの部族が選出され、最終的にアカンが選ばれる
71E5255|アカンは、戦利品から衣類と幾らかの金と銀を盗んだと打ち明ける
71E52551|エリコの戦利品から盗まれた品物が、アカンの天幕に埋められているのを発見される; それらはヨシュアのもとへ持っていかれる
71E5256|アカンとその家族、財産(盗まれた戦利品を含む)は、石打ちの刑に処されるためにアコルの谷へ移される
71E52561|石で打たれ、火あぶりにされるアカンとその家族 (エリコ陥落の余波)
71E5257|エリコの戦利品を盗んだために、石打ちの刑に処されて死んだアカンとその家族の上に、石の山が積まれる
71E526|戦略によるアイ占領 (ヨシュア記 8:1-29)
71E5261|アイの西方に潜伏するよう、一部の兵士に命じるヨシュア
71E5262|ヨシュアと残りの軍隊は、アイの北側に宿営を張る
71E5263|戦うためにアイの王が進み出てきた時、イスラエル人は撤退し、敵から逃げるふりをした
71E52631|ヨシュアが槍をアイに向けると、待ち伏せしていた人員が町を襲撃し、攻略して火をつけた; ヨシュアと配下たちは振り返ってアイの人々を殺す
71E5264|ヨシュアのもとに連れてこられて、絞首されるアイの王
71E52641|首を吊られていた木からアイの王の遺骸を取り去り、市門の前に投げ捨て、石の山を積み上げて覆う
71E527|律法の朗読 (ヨシュア記 8:30-35)
71E5271|エバル山に祭壇を築くヨシュア
71E5272|エバル山で燔祭を執り行うイスラエル人
71E5273|律法を石に書き写し、女性や子どもを含めた全ての会衆に向けて、声を出して読むヨシュア
71E528|ギベオン人の策略 (ヨシュア記 9)
71E5281|ヨシュアとその配下たちを恐れ、彼らを欺くことを決意するたギベオンの人々: 擦り切れた袋をロバに積み、ぼろぼろの服と古い履物を身につけて、腐りかけの食料を持っていく
71E5282|ボロ布を着用して、遠い国から来たふりをするギベオンの人々は、ヨシュアに契約を結ばせてくれと頼む
71E5283|欺かれたイスラエル人は、ギベオン人との同盟を粛々と結ぶ
71E5284|ギベオン人の計略が見抜かれる; 以降、ギベオン人はイスラエル人の奴隷となって、木を切り、水を運ぶように命じるヨシュア
71E529|ヨシュアとカナン南部の五人の王 (ヨシュア記 10:1-27)
71E5291|アモリ人の五人の王(エルサレムの王, ヘブロンの王, ヤルムテの王, ラキシの王, エグロンの王)が、力を合わせてギベオンを攻撃する
71E5292|ギベオンが包囲されたため、住人はヨシュアに助けを求める
71E5293|夜間に、ヨシュアとその軍隊がギベオンを救出しに来る
71E5294|ギベオンを包囲しているアモリ人の不意を討つヨシュアと軍隊
71E52941|神は、ギベオンを包囲しているアモリ人に大粒の雹を降らす
71E52942|ギベオンを包囲していたアモリ人を壊走させるまで、太陽と月に、ギベオンとアヤロンの上にとどまるよう命じるヨシュア
71E5295|マッケダの洞穴に逃亡し、身を隠すアモリ人の五人の王
71E52951|アモリ人の五人の王が隠れているマッケダの洞穴の入り口の前で、大きな石を転がすよう命じるヨシュア
71E52952|アモリ人の五人の王が洞穴から連れ出され、ヨシュアのもとに連れていかれる
71E529521|マッケダの洞穴の前に連れてこられたアモリ人の五人の王の首に、足をかけるよう将校に命じるヨシュア
71E529522|ヨシュアの命により、あるいは彼自身の手で殺されるアモリ人の五人の王; 彼らの遺骸吊られ、晒された
71E529523|アモリ人の王の遺骸は木から降ろされ、洞穴に投げ入れられて、大きな石によって閉じられた
71E53|カナン征服 (第二部)
71E531|イスラエル人によって攻略される、カナンのさらに南部の領土 (ヨシュア記 10:28-43)
71E531(...)|イスラエル人によって(領土の名前をもって)攻略される、カナンのさらに南部の領土
71E532|カナン南部攻略の後、ギルガルの陣営に戻るヨシュアと軍隊
71E533|ヨシュアは北方へと進み、ヤビン王とその同盟国の連合軍に出会う (ヨシュア記 11:1-4)
71E5331|ハゾルの王ヤビンのもとに結集した北部の王たちは、メロームの水辺に彼らの軍隊と多数の馬や戦車を集結させる
71E5332|ヨシュアによって打破される北部の王たち; ヨシュアは戦車を燃やし、馬の膝腱を切断して足を不自由にさせる
71E5333|ヨシュアとその軍によって攻略され、燃やされるハゾル; 住人は剣で殺される
71E534|ヨシュアの遠征の終わり 〜 カナン征服 (ヨシュア記 11:15-23)
71E5341|ヨシュアとその軍に敗れるアナキムの巨人族
71E535|ヨシュアとその軍によって征服された31人の王の領土 (ヨシュア記 12:7-24)
71E54|カナン分配
71E541|ユダ族に配分される領土 (ヨシュア記 14:6 - 15:63)
71E5411|カレブにヘブロンを配分するヨシュア
71E54111|ヘブロンを征服するカレブとその配下たち
71E542|エフライムと残りのマナセ族に配分される領土 (ヨシュア記 16-17)
71E543|残りの領地の分配 (ヨシュア記 18-19)
71E5431|シロに設置される幕屋
71E5432|自分たちの取り分を与えられていない部族に、地域を踏査し、その領地について記述するよう伝えるヨシュア
71E5433|(エルアザルに付き添われた)ヨシュアはくじを引き、残りの7つの部族にカナンのある一定の区域を分配する
71E544|のがれの町 (ヨシュア記 20)
71E5441|殺人者に避難所を与えるために指定される6つののがれの町
