0|抽象，非具象芸術
11H(ANTONINUS)37|ドミニコ会修道士でフィレンツェ大司教のアントニヌス・ピエロッツィ; 象徴たりうるもの: 本, 秤 - 恍惚の中で瞑想する男の聖人
11H(ANTONINUS)4|ドミニコ会修道士でフィレンツェ大司教のアントニヌス・ピエロッツィ; 象徴たりうるもの: 本, 秤 - 非奇跡的な活動と結果 ~ 男の聖人
11H(ANTONINUS)5|奇跡的な活動と結果 ~ 聖アントニヌス
11H(ANTONINUS)51|りんごの重さを測る一対の秤と,  'Deo Gratias'と書かれた巻物を持った聖アントニヌス・ピエロッツィ
11H(ANTONINUS)59|奇跡的な活動と結果 ~ 聖アントニヌス - 汚名を着せられる男の聖人
11H(ANTONINUS)6|ドミニコ会修道士でフィレンツェ大司教のアントニヌス・ピエロッツィ; 象徴たりうるもの: 本, 秤 - 男の聖人の殉教, 苦しみ, 不運, 死
11H(ANTONINUS)68|ドミニコ会修道士でフィレンツェ大司教のアントニヌス・ピエロッツィ; 象徴たりうるもの: 本, 秤 - 男の聖人の死, 臨終
11H(ANTONINUS)69|ドミニコ会修道士でフィレンツェ大司教のアントニヌス・ピエロッツィ; 象徴たりうるもの: 本, 秤 - 男の聖人の死体の冷遇
11H(ANTONINUS)7|ドミニコ会修道士でフィレンツェ大司教のアントニヌス・ピエロッツィ; 象徴たりうるもの: 本, 秤 - 男の聖人の神格化, 栄光, 勝利
11H(ANTONINUS)8|ドミニコ会修道士でフィレンツェ大司教のアントニヌス・ピエロッツィ; 象徴たりうるもの: 本, 秤 - 死後の出来事 ~ 男の聖人
11H(ANTONINUS)81|ドミニコ会修道士でフィレンツェ大司教のアントニヌス・ピエロッツィ; 象徴たりうるもの: 本, 秤 - 男の聖人の遺骨の発見, 輸送
11H(ANTONINUS)82|ドミニコ会修道士でフィレンツェ大司教のアントニヌス・ピエロッツィ; 象徴たりうるもの: 本, 秤 - 男の聖人の遺骨を扱っている最中の奇跡の発生
11H(ANTONINUS)83|ドミニコ会修道士でフィレンツェ大司教のアントニヌス・ピエロッツィ; 象徴たりうるもの: 本, 秤 - 男の聖人の死後の行い, まぼろし
11H(ANTONINUS)84|ドミニコ会修道士でフィレンツェ大司教のアントニヌス・ピエロッツィ; 象徴たりうるもの: 本, 秤 - 男の聖人の美化, 聖列に加えること
11H(ANTONINUS)9|ドミニコ会修道士でフィレンツェ大司教のアントニヌス・ピエロッツィ; 象徴たりうるもの: 本, 秤 - 男の聖人の肖像
11H(ANTONY ABBOT)|エジプトの隠者アントニー・アボット(アントニオス・アバス) , 大アントニオスとも呼ばれる; 象徴たりうるもの: ベル, 本, Tの形のもの, 炎, 豚
11H(ANTONY ABBOT)0|エジプトの隠者アントニー・アボット(アントニオス・アバス) , 大アントニオスとも呼ばれる; 象徴たりうるもの: ベル, 本, Tの形のもの, 炎, 豚 - 集団で表された男の聖人
11H(ANTONY ABBOT)1|特定の局面 ~ 聖アントニー・アボット
11H(ANTONY ABBOT)11|疫病からの守護者としての聖アントニー・アボット
11H(ANTONY ABBOT)119|疫病からの守護者としての聖アントニー・アボット - 外套を着た信者たちを守る男の聖人
11H(ANTONY ABBOT)12|特定の局面 ~ 聖アントニー・アボット - 書く, 教える, 口述する男の聖人 (例えば教会博士)
11H(ANTONY ABBOT)13|特定の局面 ~ 聖アントニー・アボット - 修道会の設立者としての男の聖人
11H(ANTONY ABBOT)131|特定の局面 ~ 聖アントニー・アボット - 男の聖人 ~ 修道会, 規則の承認
11H(ANTONY ABBOT)2|エジプトの隠者アントニー・アボット(アントニオス・アバス) , 大アントニオスとも呼ばれる; 象徴たりうるもの: ベル, 本, Tの形のもの, 炎, 豚 - 男の聖人の幼少期
11H(ANTONY ABBOT)3|聖アントニー・アボットの個人的な信仰
11H(ANTONY ABBOT)31|聖アントニー・アボットの個人的な信仰 - 男の聖人の召命, 回心
11H(ANTONY ABBOT)32|聖アントニー・アボットの個人的な信仰 - 男の聖人の洗礼, 聖別, 修道院へ入ること
11H(ANTONY ABBOT)33|聖アントニー・アボットは, 貧しい人々に自分の財産を譲った後, 砂漠で隠遁する
11H(ANTONY ABBOT)34|聖アントニー・アボットの個人的な信仰 - まぼろし, 男の聖人の神秘的な結婚
11H(ANTONY ABBOT)35|聖アントニー・アボットの誘惑
11H(ANTONY ABBOT)351|地上で攻撃したり空中に運んだりして, 悪魔によって苦しめられる聖アントニー・アボット
11H(ANTONY ABBOT)352|聖アントニー・アボットの性的なまぼろし: 彼は(裸の)女性たちに誘惑されるが、祈ったり十字架を見せることで彼らを追い払う
11H(ANTONY ABBOT)36|聖アントニー・アボットの個人的な信仰 - 男の聖人の懺悔
11H(ANTONY ABBOT)37|聖アントニー・アボットの個人的な信仰 - 恍惚の中で瞑想する男の聖人
11H(ANTONY ABBOT)4|非奇跡的な活動と結果 ~ 聖アントニー・アボット
11H(ANTONY ABBOT)41|聖アントニー・アボットは砂漠の隠者聖パウロを訪ねる
11H(ANTONY ABBOT)411|聖アントニー・アボットは砂漠で金塊を見つける
11H(ANTONY ABBOT)412|ケンタウロスと(または)サテュロスが聖アントニー・アボットに隠者聖パウロへの道を示す　
11H(ANTONY ABBOT)413|会って話をする聖アントニー・アボットと隠者聖パウロ; パンのかけら(時折2かけら)をくちばしにくわえた大鴉が列をなして降りる
11H(ANTONY ABBOT)414|聖アントニー・アボットは隠者聖パウロの魂が天使によって天に召されるのを見る
11H(ANTONY ABBOT)415|聖アントニー・アボットは地面に穴を掘る2頭のライオンの助けを借りて, 隠者聖パウロを埋葬する
11H(ANTONY ABBOT)5|エジプトの隠者アントニー・アボット(アントニオス・アバス) , 大アントニオスとも呼ばれる; 象徴たりうるもの: ベル, 本, Tの形のもの, 炎, 豚 - 奇跡的な活動と結果 ~ 男の聖人
11H(ANTONY ABBOT)59|エジプトの隠者アントニー・アボット(アントニオス・アバス) , 大アントニオスとも呼ばれる; 象徴たりうるもの: ベル, 本, Tの形のもの, 炎, 豚 - 汚名を着せられる男の聖人
11H(ANTONY ABBOT)6|エジプトの隠者アントニー・アボット(アントニオス・アバス) , 大アントニオスとも呼ばれる; 象徴たりうるもの: ベル, 本, Tの形のもの, 炎, 豚 - 男の聖人の殉教, 苦しみ, 不運, 死
11H(ANTONY ABBOT)68|エジプトの隠者アントニー・アボット(アントニオス・アバス) , 大アントニオスとも呼ばれる; 象徴たりうるもの: ベル, 本, Tの形のもの, 炎, 豚 - 男の聖人の死, 臨終
11H(ANTONY ABBOT)69|エジプトの隠者アントニー・アボット(アントニオス・アバス) , 大アントニオスとも呼ばれる; 象徴たりうるもの: ベル, 本, Tの形のもの, 炎, 豚 - 男の聖人の死体の冷遇
11H(ANTONY ABBOT)7|エジプトの隠者アントニー・アボット(アントニオス・アバス) , 大アントニオスとも呼ばれる; 象徴たりうるもの: ベル, 本, Tの形のもの, 炎, 豚 - 男の聖人の神格化, 栄光, 勝利
11H(ANTONY ABBOT)8|エジプトの隠者アントニー・アボット(アントニオス・アバス) , 大アントニオスとも呼ばれる; 象徴たりうるもの: ベル, 本, Tの形のもの, 炎, 豚 - 死後の出来事 ~ 男の聖人
11H(ANTONY ABBOT)81|エジプトの隠者アントニー・アボット(アントニオス・アバス) , 大アントニオスとも呼ばれる; 象徴たりうるもの: ベル, 本, Tの形のもの, 炎, 豚 - 男の聖人の遺骨の発見, 輸送
11H(ANTONY ABBOT)82|エジプトの隠者アントニー・アボット(アントニオス・アバス) , 大アントニオスとも呼ばれる; 象徴たりうるもの: ベル, 本, Tの形のもの, 炎, 豚 - 男の聖人の遺骨を扱っている最中の奇跡の発生
11H(ANTONY ABBOT)83|エジプトの隠者アントニー・アボット(アントニオス・アバス) , 大アントニオスとも呼ばれる; 象徴たりうるもの: ベル, 本, Tの形のもの, 炎, 豚 - 男の聖人の死後の行い, まぼろし
11H(ANTONY ABBOT)84|エジプトの隠者アントニー・アボット(アントニオス・アバス) , 大アントニオスとも呼ばれる; 象徴たりうるもの: ベル, 本, Tの形のもの, 炎, 豚 - 男の聖人の美化, 聖列に加えること
11H(ANTONY ABBOT)9|エジプトの隠者アントニー・アボット(アントニオス・アバス) , 大アントニオスとも呼ばれる; 象徴たりうるもの: ベル, 本, Tの形のもの, 炎, 豚 - 男の聖人の肖像
11H(ANTONY OF PADUA)|パドヴァのフランシスコ会修道士アントニー; 象徴たりうるもの: ロバ, 本, 十字架, 花冠, 燃える心臓, (本の上の)赤子のキリスト, 百合
11H(ANTONY OF PADUA)0|パドヴァのフランシスコ会修道士アントニー; 象徴たりうるもの: ロバ, 本, 十字架, 花冠, 燃える心臓, (本の上の)赤子のキリスト, 百合 - 集団で表現された男の聖人
11H(ANTONY OF PADUA)1|特定の局面 ~ パドヴァの聖アントニー
11H(ANTONY OF PADUA)11|特定の局面 ~ パドヴァの聖アントニー - 守護者, 後援者, 仲裁者としての男の聖人
11H(ANTONY OF PADUA)119|特定の局面 ~ パドヴァの聖アントニー - 外套を着た信者たちを守る男の聖人
11H(ANTONY OF PADUA)12|くるみの木に座って説教するパドヴァの聖アントニー
11H(ANTONY OF PADUA)13|特定の局面 ~ パドヴァの聖アントニー - 修道会の設立者としての男の聖人
11H(ANTONY OF PADUA)131|特定の局面 ~ パドヴァの聖アントニー - 男の聖人 ~ 修道会, 規則の承認
11H(ANTONY OF PADUA)2|パドヴァのフランシスコ会修道士アントニー; 象徴たりうるもの: ロバ, 本, 十字架, 花冠, 燃える心臓, (本の上の)赤子のキリスト, 百合 - 男の聖人の幼少期
11H(ANTONY OF PADUA)3|パドヴァの聖アントニーの個人的な信仰
11H(ANTONY OF PADUA)31|パドヴァの聖アントニーの個人的な信仰 - 男の聖人の召命, 回心
11H(ANTONY OF PADUA)32|パドヴァの聖アントニーの個人的な信仰 -男の聖人の洗礼, 聖別, 修道院へ入ること
11H(ANTONY OF PADUA)33|パドヴァの聖アントニーの個人的な信仰 - 世俗的なものの放棄, 男の聖人の禁欲的な生活
11H(ANTONY OF PADUA)34|パドヴァの聖アントニーのまぼろし
11H(ANTONY OF PADUA)341|聖母マリアがパドヴァの聖アントニーの前に現れる; 幼少期のキリストがアントニーに手渡される, またはアントニーへ手を差し伸べる
11H(ANTONY OF PADUA)342|赤子のキリストがパドヴァの聖アントニーのもとへ現れる; アントニーはキリストを抱擁または崇拝する
11H(ANTONY OF PADUA)343|パドヴァの聖アントニーがアルルで説教をしている時に, アッシジの聖フランチェスコが彼のもとに現れる
11H(ANTONY OF PADUA)35|パドヴァの聖アントニーの個人的な信仰 - 男の聖人の誘惑
11H(ANTONY OF PADUA)36|パドヴァの聖アントニーの個人的な信仰 - 男の聖人の懺悔
11H(ANTONY OF PADUA)37|パドヴァの聖アントニーの個人的な信仰 - 恍惚の中で瞑想する男の聖人
11H(ANTONY OF PADUA)4|パドヴァのフランシスコ会修道士アントニー; 象徴たりうるもの: ロバ, 本, 十字架, 花冠, 燃える心臓, (本の上の)赤子のキリスト, 百合 - 非奇跡的な活動と結果 ~ 男の聖人
11H(ANTONY OF PADUA)5|奇跡的な活動と結果 ~ パドヴァの聖アントニー
11H(ANTONY OF PADUA)51|ユダヤ人を説得するため, パドヴァの聖アントニーは聖杯と聖体拝領のパンの前にロバを導く; ひざまずくロバ
11H(ANTONY OF PADUA)52|吝嗇家の心臓が入った宝箱を開けるパドヴァの聖アントニー　St. Antony of Padua opening a treasure-chest, which contains the miser's heart
11H(ANTONY OF PADUA)53|激怒する息子の癒し: 母親を蹴ったことを後悔し,自分の足を切り落とした若い男は, その足がパドヴァの聖アントニーによって奇跡的に復元した　
11H(ANTONY OF PADUA)54|魚たちへの説教: 海辺で説教をするパドヴァの聖アントニー; 彼の話を聞くために頭を水面から出して前に出てくる魚たち
11H(ANTONY OF PADUA)59|奇跡的な活動と結果 ~ パドヴァの聖アントニー - 汚名を着せられる男の聖人
11H(ANTONY OF PADUA)6|パドヴァのフランシスコ会修道士アントニー; 象徴たりうるもの: ロバ, 本, 十字架, 花冠, 燃える心臓, (本の上の)赤子のキリスト, 百合 - 男の聖人の殉教, 苦しみ, 不運, 死
11H(ANTONY OF PADUA)68|パドヴァのフランシスコ会修道士アントニー; 象徴たりうるもの: ロバ, 本, 十字架, 花冠, 燃える心臓, (本の上の)赤子のキリスト, 百合 - 男の聖人の死, 臨終
11H(ANTONY OF PADUA)69|パドヴァのフランシスコ会修道士アントニー; 象徴たりうるもの: ロバ, 本, 十字架, 花冠, 燃える心臓, (本の上の)赤子のキリスト, 百合 -男の聖人の死体の冷遇
11H(ANTONY OF PADUA)7|パドヴァのフランシスコ会修道士アントニー; 象徴たりうるもの: ロバ, 本, 十字架, 花冠, 燃える心臓, (本の上の)赤子のキリスト, 百合 - 男の聖人の神格化, 栄光, 勝利
11H(ANTONY OF PADUA)8|パドヴァのフランシスコ会修道士アントニー; 象徴たりうるもの: ロバ, 本, 十字架, 花冠, 燃える心臓, (本の上の)赤子のキリスト, 百合 - 死後の出来事 ~ 男の聖人
11H(ANTONY OF PADUA)81|パドヴァのフランシスコ会修道士アントニー; 象徴たりうるもの: ロバ, 本, 十字架, 花冠, 燃える心臓, (本の上の)赤子のキリスト, 百合 - 男の聖人の遺骨の発見, 輸送
11H(ANTONY OF PADUA)82|パドヴァのフランシスコ会修道士アントニー; 象徴たりうるもの: ロバ, 本, 十字架, 花冠, 燃える心臓, (本の上の)赤子のキリスト, 百合 - 男の聖人の遺骨を扱っている最中の奇跡の発生
11H(ANTONY OF PADUA)83|パドヴァのフランシスコ会修道士アントニー; 象徴たりうるもの: ロバ, 本, 十字架, 花冠, 燃える心臓, (本の上の)赤子のキリスト, 百合 - 男の聖人の死後の行い, まぼろし
11H(ANTONY OF PADUA)84|パドヴァのフランシスコ会修道士アントニー; 象徴たりうるもの: ロバ, 本, 十字架, 花冠, 燃える心臓, (本の上の)赤子のキリスト, 百合 - 男の聖人の美化, 聖列に加えること
11H(ANTONY OF PADUA)9|パドヴァのフランシスコ会修道士アントニー; 象徴たりうるもの: ロバ, 本, 十字架, 花冠, 燃える心臓, (本の上の)赤子のキリスト, 百合 - 男の聖人の肖像
11H(ATHANASIUS)|大アタナシオス, アレクサンドリア司教; 象徴たりうるもの: 本, 足の下の異端者, 巻物
11H(ATHANASIUS)0|大アタナシオス, アレクサンドリア司教; 象徴たりうるもの: 本, 足の下の異端者, 巻物 - 集団で表現された男の聖人
11H(ATHANASIUS)1|特定の局面 ~ 聖アタナシオス
11H(ATHANASIUS)11|特定の局面 ~ 聖アタナシオス - 守護者, 後援者, 仲裁者としての男の聖人
11H(ATHANASIUS)119|特定の局面 ~ 聖アタナシオス - 外套を着た信者たちを守る男の聖人
11H(ATHANASIUS)12|書き物もしくは研究をするギリシア正教の博士としての聖アタナシオス
11H(ATHANASIUS)13|特定の局面 ~ 聖アタナシオス - 修道会の設立者としての男の聖人
11H(ATHANASIUS)131|特定の局面 ~ 聖アタナシオス - 男の聖人 ~ 修道会, 規則の承認
11H(ATHANASIUS)2|大アタナシオス, アレクサンドリア司教; 象徴たりうるもの: 本, 足の下の異端者, 巻物 - 男の聖人の幼少期
11H(ATHANASIUS)3|大アタナシオス, アレクサンドリア司教; 象徴たりうるもの: 本, 足の下の異端者, 巻物 - 男の聖人の個人的な信仰
11H(ATHANASIUS)31|大アタナシオス, アレクサンドリア司教; 象徴たりうるもの: 本, 足の下の異端者, 巻物 - 男の聖人の召命, 回心
11H(ATHANASIUS)32|大アタナシオス, アレクサンドリア司教; 象徴たりうるもの: 本, 足の下の異端者, 巻物 - 男の聖人の洗礼, 聖別, 修道院へ入ること
11H(ATHANASIUS)33|大アタナシオス, アレクサンドリア司教; 象徴たりうるもの: 本, 足の下の異端者, 巻物 - 世俗的なものの放棄, 男の聖人の禁欲的な生活
11H(ATHANASIUS)34|大アタナシオス, アレクサンドリア司教; 象徴たりうるもの: 本, 足の下の異端者, 巻物 - まぼろし, 男の聖人の神秘的な結婚
11H(ATHANASIUS)35|大アタナシオス, アレクサンドリア司教; 象徴たりうるもの: 本, 足の下の異端者, 巻物 - 男の聖人の誘惑
11H(ATHANASIUS)36|大アタナシオス, アレクサンドリア司教; 象徴たりうるもの: 本, 足の下の異端者, 巻物 - 男の聖人の懺悔
11H(ATHANASIUS)37|大アタナシオス, アレクサンドリア司教; 象徴たりうるもの: 本, 足の下の異端者, 巻物 - 恍惚の中で瞑想する男の聖人
11H(ATHANASIUS)4|大アタナシオス, アレクサンドリア司教; 象徴たりうるもの: 本, 足の下の異端者, 巻物 - 非奇跡的な活動と結果 ~ 男の聖人
11H(ATHANASIUS)5|大アタナシオス, アレクサンドリア司教; 象徴たりうるもの: 本, 足の下の異端者, 巻物 - 奇跡的な活動と結果 ~ 男の聖人
11H(ATHANASIUS)59|大アタナシオス, アレクサンドリア司教; 象徴たりうるもの: 本, 足の下の異端者, 巻物 - 汚名を着せられる男の聖人
11H(ATHANASIUS)6|大アタナシオス, アレクサンドリア司教; 象徴たりうるもの: 本, 足の下の異端者, 巻物 - 男の聖人の殉教, 苦しみ, 不運, 死
11H(ATHANASIUS)68|大アタナシオス, アレクサンドリア司教; 象徴たりうるもの: 本, 足の下の異端者, 巻物 - 男の聖人の死, 臨終
11H(ATHANASIUS)69|大アタナシオス, アレクサンドリア司教; 象徴たりうるもの: 本, 足の下の異端者, 巻物 - 男の聖人の死体の冷遇
11H(ATHANASIUS)7|大アタナシオス, アレクサンドリア司教; 象徴たりうるもの: 本, 足の下の異端者, 巻物 - 男の聖人の神格化, 栄光, 勝利
11H(ATHANASIUS)8|大アタナシオス, アレクサンドリア司教; 象徴たりうるもの: 本, 足の下の異端者, 巻物 - 死後の出来事 ~ 男の聖人
11H(ATHANASIUS)81|大アタナシオス, アレクサンドリア司教; 象徴たりうるもの: 本, 足の下の異端者, 巻物 - 男の聖人の遺骨の発見, 輸送
11H(ATHANASIUS)82|大アタナシオス, アレクサンドリア司教; 象徴たりうるもの: 本, 足の下の異端者, 巻物 - 男の聖人の遺骨を扱っている最中の奇跡の発生
11H(ATHANASIUS)83|大アタナシオス, アレクサンドリア司教; 象徴たりうるもの: 本, 足の下の異端者, 巻物 - 男の聖人の死後の行い, まぼろし
11H(ATHANASIUS)84|大アタナシオス, アレクサンドリア司教; 象徴たりうるもの: 本, 足の下の異端者, 巻物 -男の聖人の美化, 聖列に加えること
11H(ATHANASIUS)9|大アタナシオス, アレクサンドリア司教; 象徴たりうるもの: 本, 足の下の異端者, 巻物 - 男の聖人の肖像
11H(AUGUSTINE)|アウグスティヌス, ヒッポ司教; 象徴たりうるもの: 胸を貫く矢, 本, スプーンを持つ子供, 燃える心臓, (矢に貫かれる)心臓, ペン
11H(AUGUSTINE)0|アウグスティヌス, ヒッポ司教; 象徴たりうるもの: 胸を貫く矢, 本, スプーンを持つ子供, 燃える心臓, (矢に貫かれる)心臓, ペン - 集団で表現される男の聖人
11H(AUGUSTINE)1|特定の局面 ~ 聖アウグスティヌス
11H(AUGUSTINE)11|特定の局面 ~ 聖アウグスティヌス - 守護者, 後援者, 仲裁者としての男の聖人
11H(AUGUSTINE)119|特定の局面 ~ 聖アウグスティヌス - 外套を着た信者たちを守る男の聖人
11H(AUGUSTINE)12|書斎の机に向かって, 本とペンと時折鳩(神の霊感)を持つローマカトリック教会の博士としての聖アウグスティヌス
11H(AUGUSTINE)13|デスクに座り、修道士や修道女たちに修道会の規則を手渡しして配る聖アウグスティヌス
11H(AUGUSTINE)131|デスクに座り、修道士や修道女たちに修道会の規則を手渡しして配る聖アウグスティヌス ~ 修道会, 規則の承認
11H(AUGUSTINE)2|聖アウグスティヌスの幼少期
11H(AUGUSTINE)21|母モニカによって学校に連れて行かれる聖アウグスティヌス
11H(AUGUSTINE)3|聖アウグスティヌスの個人的な信仰
11H(AUGUSTINE)31|イチジクの木の下で瞑想する聖アウグスティヌス: 彼は'tolle, lege'という声を聞く; 通例本 (聖書) が彼の傍にある
11H(AUGUSTINE)32|ミラノの聖アンブロジウスに洗礼を受ける聖アウグスティヌス; 通例母モニカもいる
11H(AUGUSTINE)33|聖アウグスティヌスの個人的な信仰 - 世俗的なものの放棄, 男の聖人の禁欲的な生活
11H(AUGUSTINE)34|聖アウグスティヌスのまぼろし
11H(AUGUSTINE)341|三位一体について熟考する聖アウグスティヌス
11H(AUGUSTINE)342|海辺を歩きながら三位一体について熟考する聖アウグスティヌス; 彼は, 砂に穴を掘って貝やスプーンで水を入れて満たそうと無駄な試みをする子供を見つける
11H(AUGUSTINE)343|巡礼者の身なりをしたキリストの足を洗う聖アウグスティヌス
11H(AUGUSTINE)35|聖アウグスティヌスの個人的な信仰 - 男の聖人の誘惑
11H(AUGUSTINE)36|聖アウグスティヌスの個人的な信仰 - 男の聖人の懺悔
11H(AUGUSTINE)37|聖アウグスティヌスの個人的な信仰 - 恍惚の中で瞑想する男の聖人
11H(AUGUSTINE)4|アウグスティヌス, ヒッポ司教; 象徴たりうるもの: 胸を貫く矢, 本, スプーンを持つ子供, 燃える心臓, (矢に貫かれる)心臓, ペン - 非奇跡的な活動と結果 ~ 男の聖人
11H(AUGUSTINE)5|アウグスティヌス, ヒッポ司教; 象徴たりうるもの: 胸を貫く矢, 本, スプーンを持つ子供, 燃える心臓, (矢に貫かれる)心臓, ペン - 奇跡的な活動と結果 ~ 男の聖人
11H(AUGUSTINE)59|アウグスティヌス, ヒッポ司教; 象徴たりうるもの: 胸を貫く矢, 本, スプーンを持つ子供, 燃える心臓, (矢に貫かれる)心臓, ペン - 汚名を着せられる男の聖人
11H(AUGUSTINE)6|アウグスティヌス, ヒッポ司教; 象徴たりうるもの: 胸を貫く矢, 本, スプーンを持つ子供, 燃える心臓, (矢に貫かれる)心臓, ペン - 男の聖人の殉教, 苦しみ, 不運, 死
11H(AUGUSTINE)68|アウグスティヌス, ヒッポ司教; 象徴たりうるもの: 胸を貫く矢, 本, スプーンを持つ子供, 燃える心臓, (矢に貫かれる)心臓, ペン - 男の聖人の死, 臨終
11H(AUGUSTINE)69|アウグスティヌス, ヒッポ司教; 象徴たりうるもの: 胸を貫く矢, 本, スプーンを持つ子供, 燃える心臓, (矢に貫かれる)心臓, ペン - 男の聖人の死体の冷遇
11H(AUGUSTINE)7|聖アウグスティヌスの栄光
11H(AUGUSTINE)8|アウグスティヌス, ヒッポ司教; 象徴たりうるもの: 胸を貫く矢, 本, スプーンを持つ子供, 燃える心臓, (矢に貫かれる)心臓, ペン - 死後の出来事 ~ 男の聖人
11H(AUGUSTINE)81|アウグスティヌス, ヒッポ司教; 象徴たりうるもの: 胸を貫く矢, 本, スプーンを持つ子供, 燃える心臓, (矢に貫かれる)心臓, ペン - 男の聖人の遺骨の発見, 輸送
11H(AUGUSTINE)82|アウグスティヌス, ヒッポ司教; 象徴たりうるもの: 胸を貫く矢, 本, スプーンを持つ子供, 燃える心臓, (矢に貫かれる)心臓, ペン - 男の聖人の遺骨を扱っている最中の奇跡の発生
11H(AUGUSTINE)83|アウグスティヌス, ヒッポ司教; 象徴たりうるもの: 胸を貫く矢, 本, スプーンを持つ子供, 燃える心臓, (矢に貫かれる)心臓, ペン - 男の聖人の死後の行い, まぼろし
11H(AUGUSTINE)84|アウグスティヌス, ヒッポ司教; 象徴たりうるもの: 胸を貫く矢, 本, スプーンを持つ子供, 燃える心臓, (矢に貫かれる)心臓, ペン - 男の聖人の美化, 聖列に加えること
11H(AUGUSTINE)9|アウグスティヌス, ヒッポ司教; 象徴たりうるもの: 胸を貫く矢, 本, スプーンを持つ子供, 燃える心臓, (矢に貫かれる)心臓, ペン - 男の聖人の肖像
11H(BARLAAM & JOSAPHAT)|隠者バルラームによる若い王子ヨサファトの改宗
11H(BARLAAM & JOSAPHAT)0|隠者バルラームによる若い王子ヨサファトの改宗 -集団の中に表される男性聖人
11H(BARLAAM & JOSAPHAT)1|隠者バルラームによる若い王子ヨサファトの改宗 -特定の属性~男性聖人
11H(BARLAAM & JOSAPHAT)11|隠者バルラームによる若い王子ヨサファトの改宗 -守護者、擁護者、仲裁者としての男性聖人
11H(BARLAAM & JOSAPHAT)119|隠者バルラームによる若い王子ヨサファトの改宗 -信者を外套で守る男性聖人、''Schutzmantel"
11H(BARLAAM & JOSAPHAT)12|隠者バルラームによる若い王子ヨサファトの改宗 -書く、学ぶ、教える、書き取らせる男性聖人(教会博士として)
11H(BARLAAM & JOSAPHAT)13|隠者バルラームによる若い王子ヨサファトの改宗 -(修道)会の創設者としての男性聖人
11H(BARLAAM & JOSAPHAT)131|隠者バルラームによる若い王子ヨサファトの改宗 -男性聖人~(修道)会の堅信、ルールの承認
11H(BARLAAM & JOSAPHAT)2|隠者バルラームによる若い王子ヨサファトの改宗 -男性聖人の若りし頃
11H(BARLAAM & JOSAPHAT)3|聖バルラームとヨサファトの個人的な聖別
11H(BARLAAM & JOSAPHAT)31|隠者バルラームによる人の幸せの脆さの寓話と、若い王子ヨサファトの改宗
11H(BARLAAM & JOSAPHAT)311|人の幸せの脆さの寓話の図:一角獣に追われた男が、蜂蜜が垂れる巣のある木につかまる、白と黒のネズミが木の根をかじり、その下の穴の底には竜が待ち構えている
11H(BARLAAM & JOSAPHAT)32|聖バルラームとヨサファトの個人的な聖別 -男性聖人の洗礼、聖別、誓い
11H(BARLAAM & JOSAPHAT)33|聖バルラームとヨサファトの個人的な聖別 -男性聖人の世俗の放棄、禁欲生活
11H(BARLAAM & JOSAPHAT)34|聖バルラームとヨサファトの個人的な聖別 -男性聖人の幻想、神秘の結婚
11H(BARLAAM & JOSAPHAT)35|聖バルラームとヨサファトの個人的な聖別 -男性聖人の誘惑
11H(BARLAAM & JOSAPHAT)36|聖バルラームとヨサファトの個人的な聖別 -男性聖人の懺悔
11H(BARLAAM & JOSAPHAT)37|聖バルラームとヨサファトの個人的な聖別 -男性聖人の瞑想する姿、エクスタシー
11H(BARLAAM & JOSAPHAT)4|隠者バルラームによる若い王子ヨサファトの改宗 -奇跡以外の行動、出来事~男性聖人
11H(BARLAAM & JOSAPHAT)5|隠者バルラームによる若い王子ヨサファトの改宗 -奇跡の行動、出来事~男性聖人
11H(BARLAAM & JOSAPHAT)59|隠者バルラームによる若い王子ヨサファトの改宗 -男性聖人が聖痕を得る姿
11H(BARLAAM & JOSAPHAT)6|隠者バルラームによる若い王子ヨサファトの改宗 -男性聖人の殉教、苦難、不幸、死
11H(BARLAAM & JOSAPHAT)68|隠者バルラームによる若い王子ヨサファトの改宗 -男性聖人の死、臨終
11H(BARLAAM & JOSAPHAT)69|隠者バルラームによる若い王子ヨサファトの改宗 -男性聖人の遺体の虐待
11H(BARLAAM & JOSAPHAT)7|隠者バルラームによる若い王子ヨサファトの改宗 -男性聖人の神格化、栄光、凱旋
11H(BARLAAM & JOSAPHAT)8|隠者バルラームによる若い王子ヨサファトの改宗 -死後の出来事~男性聖人
11H(BARLAAM & JOSAPHAT)81|隠者バルラームによる若い王子ヨサファトの改宗 -男性聖人の遺物の探索、運搬
11H(BARLAAM & JOSAPHAT)82|隠者バルラームによる若い王子ヨサファトの改宗 -男性聖人の遺物の取扱の最中に起こる奇跡
11H(BARLAAM & JOSAPHAT)83|隠者バルラームによる若い王子ヨサファトの改宗 -男性聖人の死後の行い、出現
11H(BARLAAM & JOSAPHAT)84|隠者バルラームによる若い王子ヨサファトの改宗 -男性聖人の列福、列聖
11H(BARLAAM & JOSAPHAT)9|隠者バルラームによる若い王子ヨサファトの改宗 -男性聖人の肖像
11H(BARNABAS)|初代ミラノ司教、キプロスの使徒、殉教者バルナバ:マタイの福音書、石
11H(BARNABAS)0|初代ミラノ司教、キプロスの使徒、殉教者バルナバ:マタイの福音書、石-集団の中に表される男性聖人
11H(BARNABAS)1|初代ミラノ司教、キプロスの使徒、殉教者バルナバ:マタイの福音書、石-特定の属性~男性聖人
