4|社会, 文明, 文化
43AA422|凱旋門 - AA - 水上での祝祭
43AA423|他の装飾的構造物 (~ 勝利の入場等) - AA - 水上での祝祭
43AA424|金をばら撒く (~ 勝利の入場等) - AA - 水上での祝祭
43AA425|通り、広場等の装飾と電飾 (~ 勝利の入場等) - AA - 水上での祝祭
43AA426|紙吹雪等 (~ 勝利の入場等) - AA - 水上での祝祭
43AA43|凱旋 (寓話的かつ象徴的) - AA - 水上, 'triomphe marin'
43AA431|凱旋 (Trionfi)' (ペトラルカの) - AA - 水上, 'triomphe marin'
43AA4311|愛の凱旋 (Trionfi d'Amore)', 'Triumphus Cupidinis'; 'Carro d'amore' (リーパ) - AA - 水上, 'triomphe marin'
43AA4312|貞節の凱旋 (Trionfo della Castità)', 'Triumphus Pudicitiae'; 'Carro della castità' (リーパ) - AA - 水上, 'triomphe marin'
43AA4313|死の凱旋 (Trionfo della Morte)', 'Triumphus Mortis'; 'Carro della morte' (リーパ) - AA - 水上, 'triomphe marin'
43AA4314|名声の凱旋 (Trionfo della Fama)', 'Triumphus Famae'; 'Carro della Fama' (リーパ) - AA - 水上, 'triomphe marin'
43AA4315|時の凱旋 (Trionfo del Tempo)', 'Triumphus Temporis'; 'Carro del Tempo' (リーパ) - AA - 水上, 'triomphe marin'
43AA4316|神の凱旋 (Trionfo della Divinità)', 'Triumphus Aeternitatis'; 'Carro della Divinità' - AA - 水上, 'triomphe marin'
43AA432|個人の象徴的な凱旋 - AA - 水上, 'triomphe marin'
43AA4321|個人の神格化 (または昇天) - AA - 水上, 'triomphe marin'
43AA433|月桂樹を伴い戴冠する - AA - 水上, 'triomphe marin'
43AA44|焚き火, 花火 - AA - 水上での祝祭
43AA46|空中での活動 ~ 公の祝祭, 例: 空中分列飛行 - AA - 水上での祝祭
43AA49| 公葬 - AA - 水上での祝祭
43AA491|棺台, 'castrum doloris' (~  公葬) - AA - 水上での祝祭
43B|娯楽
43B1|自然を楽しむ
43B11|自然を熟考する
43B12|ピクニック, 戸外で 'déjeuner sur l'herbe'
43B121|野外集会, 'délices à la campagne'
43B13|ウォーキング, ハイキング (娯楽)
43B131|乗馬, サイクリング (娯楽)
43B14|自然を楽しむ ~ 植物, ハーブと花
43B141|植物を採集する
43B142|キノコ狩り
43B143|ハーブ採集
43B144|花を摘む
43B15|自然を楽しむ ~ 動物
43B151|蝶々採集
43B16|登山
43B17|洞窟を探検する
43B2|戸外の娯楽
43B21|行楽地
43B3|屋内の娯楽
43B31|小旅館, 喫茶店, 酒場等
43B311|レストラン
43B312|茶園, ガーデンレストラン
43B313|小旅館またはレストランの前の舗装、テラス
43B314|パブの看板
43B32|クラブ, 待ち合わせ場所
43B33|カジノ
43B331|賭博場
43B34|ナイトクラブ, ダンスホール
43B4|木と公園 (娯楽の場所として)
43B41|森の中で遊ぶ
43B411|木に登る
43B412|木から落ちる
43B42|公園
43B421|野外ステージ
43B5|浜 (娯楽の場所としての)
43B51|水の中または水辺 (浜の)
43B52|日光浴をする (浜の)
43B53|砂の城 (を造る)
43B54|ロバに乗る (浜の)
43B55|砂丘での娯楽
43B6|運動場
43B61|遊具
43B61(...)|遊具 (名称を伴う)
43B611|ブランコ
43B612|滑り台
43B613|シーソー
43B7|動物園 (娯楽の場所としての)
43B8|コレクション, 展覧会, ショー
43C|スポーツ, ゲームと肉体的パフォーマンス
43C1|スポーツ, ゲーム ~ 動物
43C11|狩猟, 追跡
43C111|ゲーム, 狩猟される動物
43C1111|様々な狩猟動物の群
43C1112|狩猟 ~ 哺乳動物
43C11121|様々な狩猟哺乳動物の群
43C11122|モンキー・ハンティング
43C11123|狩猟 ~ 肉食動物 (狐, ライオン)
43C111231|キツネ狩り
43C1112311|キツネと猟犬
43C111232|ライオン狩り
43C1112321|ライオンと戦う猟師
43C11124|狩猟 ~ 有蹄動物
43C111241|鹿狩り
43C111242|ノロジカ狩り
43C111243|イノシシ狩り
43C11125|狩猟 ~ 長鼻目
43C11126|狩猟 ~ 齧歯動物
43C111261|ノウサギ狩り, ウサギ狩り
43C11127|狩猟 ~ 海洋哺乳動物
43C11128|狩猟 ~ 他の哺乳動物
43C1113|野鳥狩り
43C1114|狩猟 ~ 他の動物
43C112|狩猟事故
43C1121|人間を襲う狩猟される動物
43C113|狩りの戦利品, ゲーム, 鹿肉
43C1131|仕止めること (~ 狩猟)
43C11311|狩りの賞
43C1132|狩りの戦利品を飾るまたは公開する猟師
43C114|猟師
43C1141|招集する, 'départ pour la chasse'
43C1142|ハンター狩り
43C11421|狩猟の最中に休む猟師
43C1143|勢子 (~ 狩猟)
43C1144|狩猟用ラッパを吹く
43C1145|ハラリ (halali)' (~ 狩猟)
43C1146|猟師の集団肖像画
43C1147|狩猟犬
43C11471|戦利品の側の狩猟犬
43C1148|狩猟用品
43C11481|獲物入れ
43C11482|狩猟用ラッパ
43C1149|狩猟からの帰還
43C11491|猟小屋, 狩猟小屋, 'rendez-vous de chasse', 'Jagdschloss'
43C115|探索ゲーム
43C1151|動物を捕まえる
43C1152|動物を観察する ~ 狩猟
43C11521|動物の写真を撮る, 撮影する
43C116|猟場
43C1161|猟場の標柱
43C1162|ハンティングスタンド
43C11621|ハイシート (high seat)', 高台にあるハンティングスタンド
43C116211|ツリースタンド, 木の中のハンティングスタンド
43C11622|地上のハンティングスタンド, グランドブラインド
43C117|猟場番人
43C118|密猟者
43C12|釣り (スポーツ)
43C121|釣り
43C128|漁師
43C1281|獲物を見せる漁師
43C13|家禽, 鳥撃ち
43C131|鳥罠
43C132|おとりのカモ
43C14|動物を苦しめる ~ スポーツと娯楽
43C141|様々な苦しめられる動物達の群
43C142|哺乳動物を苦しめる ~ スポーツと娯楽
43C1421|猫を抱きしめる, 'cat-in-a-barrel'
43C1422|闘牛
43C14221|闘牛士, トレアドール
43C1423|クマいじめ
43C143|鳥類を苦しめる ~ スポーツと娯楽 (雄鶏, ガチョウ)
43C1431|闘鶏
43C1432|ガチョウ引き (pull-the-goose)'
43C144|爬虫類を苦しめる
43C145|両生類を苦しめる
43C146|魚類を苦しめる
43C1461|ウナギを引っ張る (pull-the-eel)'
43C2|スポーツ, ゲームと肉体的パフォーマンス ~ スピード
43C21|陸上でのスポーツ等
43C211|ランニング, レース
43C2111|(ランニング, レース) コース上の障害物, ハードルレース
43C2112|クロスカントリーレース
43C2113|競歩
43C212|動物上でのレース
43C2121|競馬
43C21211|騎手
43C21212|厩舎
43C21213|競馬場
43C2122|障害物競馬, スピードジャンプ
43C213|車でのレース
43C2131|ワゴンレース (馬を伴う)
43C21311|馭者, 'auriga'
43C21312|二輪車のワゴンレース, 例: 2輪戦車, 2輪馬車
43C21313|四輪車のワゴンレース
43C2132|競輪
43C21321|自転車ツアー, 例: 'ツール・ド・フランス (Tour de France)', 'ジロ・デ・イタリア (ジャイロ d'Italia)'
43C2133|モーターサイクルレース
43C2134|自動車レース
43C214|ウォーキング (スポーツとして)
43C218|動物のレース
43C2181|犬 (レース)
43C2182|鳩 (レース)
43C22|水中と水上のスポーツ等
43C221|水泳 (スポーツ)
43C2211|ダイビング (スポーツ)
43C22111|深海潜水
43C222|水上スキー,サーフィン
43C223|ローイング, カヌーイング等 (スポーツ)
43C224|セーリング (スポーツ)
43C225|競艇
43C23|空中でのスポーツ等
43C231|競翔
43C232|グライディング (空中スポーツ)
43C233|気球飛行 (スポーツ)
43C234|スカイダイビング,スポーツとしてのパラシュート
43C24|冬季スポーツ
43C241|そり (冬季スポーツ)
43C242|ボブスレー
43C243|小型そり (冬季スポーツ)
43C244|スケート (冬季スポーツ)
43C245|スキー (冬季スポーツ)
43C2451|スラローム (冬季スポーツ)
43C2452|スキージャンプ
43C2453|スキーリフト
43C246|氷上ヨットレース (冬季スポーツ)
43C3|運動競技, 体操
43C31|高跳び (運動競技, 体操)
43C311|棒高跳び
43C312|トランポリンで跳ぶ
43C32|走り幅跳び, 幅跳び
43C321|三段跳び
43C33|槍投げ
43C34|砲丸投げ
43C35|円盤投げ
43C36|他の運動競技
43C361|重量挙げ
43C37|地上での体操
43C371|棒やダンベルを伴う体操 等
43C38|器具を伴う体操
43C381|輪 (体操)
43C382|鉄棒 (体操)
43C383|跳馬 (体操)
43C384|平行棒(体操)
43C39|格闘技 (スポーツ)
43C391|ボクシング (スポーツ)
43C392|レスリング (スポーツ)
43C393|柔術, 柔道等
43C394|フェンシング (スポーツ)
43C3941|フェンシングのフルーレ
43C3942|サーベル (~ フェンシング)
43C395|綱引き
43C396|(中世の) 格闘技
43C3961|剣闘士の戦い
43C39611|人と動物間の戦い
43C39612|動物間の戦い, 例: ライオンとクマ
43C3962|pas d'armes' (パスまたはブリッジをめぐる2つのグループ間の競技等)
43C3963|トーナメント
43C39631|一騎打ちの馬上やり試合
43C396311|一騎打ちの馬上やり試合, 柵なしで
43C396312|一騎打ちの馬上やり試合, 柵を伴う
43C3964|他の型の騎士競技
43C39641|Buhurt', 'Bouhourt' (中世の競技)
43C39642|Quintaine' (中世の競技)
43C397|スポーツトーナメント
43C3971|現代のオリンピック試合
43C3972|他の運動競技
43C4|マインドスポーツ
43C41|球技
43C411|サッカー, フットボール(初期の名称: soule, choule, cholle)
43C4111|ラグビー, フットボール
43C4112|アメリカンフットボール
43C412|手を使う球技 (チームプレイ)
43C4121|ハンドボール
43C4122|バスケットボール
43C4123|バレーボール
43C4124|水球
43C413|球を木の物体で打つ球技 (チームプレイ)
43C4131|ラクロス
43C4132|ホッケー
43C41321|アイスホッケー
43C4133|ポロ (馬の背に乗って)
43C4134|クリケット (球技)
43C4135|野球
43C4136|スティックボール
43C414|棒で球を打つまたは打ち当てる球技 (個人プレイ)
43C4141|maille' (球技)
43C4142|ゴルフ
43C4143|コルフ (kolf)' (球技)
43C41431|コルフ (kolf)' 氷上で
43C4144|クロッケー
43C4145|ビリヤード
43C415|ラケットで球を打つ球技 (または手)
43C4151|テニス, 芝生テニス
43C4152|卓球
43C4153|jeu de Paume'
43C4154|jeu de volant', バドミントン
43C4155|掌遊び, 手でボールを壁に当てるゲーム (ファイブズ)
43C416|球はボウルを転がす球技
43C4161|jeu de boules'
43C4162|ボウリング
43C4163|地上で輪を通して球を投げる
43C4164|ナインピンズ, スキットルズ
43C417|ボール投げ
43C4171|けん玉, ビルボケ
43C418|ピンボール, ピンボールマシン
43C42|狙撃 (~ マインドスポーツ)
43C421|弓矢、アーチェリーでの射撃 (~ マインドスポーツ)
43C4211|鳥を撃つ (高い竿で)
43C4212|勝者の一撃
43C422|リボルバーまたは他の拳銃を持った狙撃 (~ マインドスポーツ)
43C423|ライフル、ショットガンまたは他の長い銃を持った狙撃 (~ マインドスポーツ)
43C424|標的 (~ 狙撃)
43C43|jeu de tonneau'
43C431|樽の穴に円盤を投げる
43C432|ハンドシャベルボード
43C44|ヨーヨー
43C441|エアトップ, ディアボロ, 跛の悪魔
43C45|指輪とりゲーム (~ マインドスポーツ)
43C5|計算と運のゲーム, 例: カードゲーム, ギャンブル, パズル等
43C51|カードゲーム
43C511|いかさまトランプ師
43C512|トランプ
43C5121|ジョリージョーカー
43C513|ペーシェンス (カードゲーム)
43C52|ボードゲーム
43C521|チェス
43C5211|チェスのこま
43C5212|チェスに興じる男性と女性, 女性が勝利する
43C522|バックギャモン
43C523|ドラフツ
43C5231|ドラフツのこま
43C53|運のボードゲーム
43C531|ガチョウゲーム (すごろく)
43C532|モノポリー (運のボードゲーム)
43C54|ドミノ
43C55|サイコロゲーム
43C551|チート (~ サイコロゲーム)
43C552|サイコロ
43C56|賭ける
43C561|スポーツに賭ける
43C562|ルーレット
43C57|トンボラ
43C58|ラッフル, 宝くじ
43C581|くじ引き ~ 賭ける
43C582|賭け率計算器, 総掛け金
43C59|パズル, なぞなぞ, 難問, エニグマ
43C591|シャレード
43C592|クロスワードパズル
43C593|ジグソーパズル
43C6|集団ゲーム, パーティーゲーム
43C61|罰金ゲーム
43C62|椅子取りゲーム
43C63|エロティックな含意を持つパーティーゲーム, 例: キスコンテスト
43C631|ホットコックル, 'haute coquilles', 'la main chaude' (パーティーゲーム)
43C64|フロッグ・イン・ザ・ミドル (パーティーゲーム)
43C68|子供のゲームに興じる大人
43C69|荒っぽいゲーム
43C7|子供のゲームと遊び
43C71|遊び道具のないゲーム
43C711|ランニング・ゲーム (子供達)
43C7111|単純なランニング・ゲーム
43C71111|走る (~ ゲーム)
43C71112|捕まえる (~ ランニング・ゲーム)
43C71113|レッドローバー, レッドライト？ (red rover, red light?)' および関連ゲーム
43C7112|競技ゲーム
43C71121|捕虜を捕まえる ~ 子供達のゲーム
43C71122|陣地をとる ~ 子供達のゲーム
43C71123|捕まえる, 触る, グループで ~ 子供達のゲーム
43C7113|逃げて隠れるゲーム
43C71131|かくれんぼ
43C7114|輪の中で行われるランニング・ゲーム
43C7115|物語要素を伴うランニング・ゲーム
43C7116|ロンドン橋およびアーチと橋に関連するゲーム
43C7117|ヘビと鎖のゲーム
43C71171|列車 (ヘビと鎖のゲーム)
43C7118|回転ゲーム, 風車
43C712|ジャンプゲーム
43C7121|単純なジャンプゲーム
43C7122|カエル跳びと変種
43C7123|カエル跳びと変種
43C7124|けんけん遊び
43C7125|ヴァリア (ジャンプゲーム)
43C71251|宙返り ~ ジャンプゲーム
43C71252|逆立ち ~ ジャンプゲーム
43C71253|四つ這いで歩く ~ ジャンプゲーム
43C71254|回転する ~ ジャンプゲーム
43C7126|溝を飛び越える (ジャンプゲーム)
43C71261|棒を用いて溝を飛び越える (ジャンプゲーム)
43C713|ダンスゲーム (子供達のゲーム)
43C7131|単純なダンス
43C7132|縄跳びゲーム
43C7133|フォークダンスとスクエアダンス (子供達のゲーム)
43C7134|ラインダンス (子供達のゲーム)
43C714|投げるゲーム
43C7141|単純な投げるゲーム
43C7142|石を投げる (投げるゲーム)
43C7143|棒を投げる (投げるゲーム)
43C7144|コインを投げる (投げるゲーム)
43C7145|果物を投げる (投げるゲーム)
43C7146|球技 (子供達のゲーム)
43C71461|1人によってなされる球技
43C71462|ボールを投げて受け止める (子供達のゲーム)
43C71463|棒等でボールを打つ (子供達のゲーム)
43C71464|ボールを蹴る (子供達のゲーム)
43C7147|ボウリングゲーム (子供達のゲーム)
43C7148|ヴァリア (投げるゲーム)
43C71481|輪を投げる, 輪投げ等 (子供達のゲーム)
43C715|指と拳のゲーム
43C7151|簡単な手遊び
43C71511|影絵 (~ 手遊び)
43C71512|あやとりゲーム (あや取り等)
43C7152|手を叩くゲーム
43C71521|手や拳を積み重ねる (子供達のゲーム)
43C71522|はち切れる袋 (子供達のゲーム)
43C7153|指差して数えるゲーム
43C7154|指ゲーム
43C7155|童謡
43C716|トレードゲーム, 模倣ゲーム, 大人を模倣する
43C717|推測ゲーム (子供達)
43C7171|単純な推測ゲーム
43C7172|探索ゲーム (隠された物を探す)
43C71721|痕跡を辿る (~ 探索ゲーム)
43C7173|占いゲーム
43C7174|くじ引き ~ 子供達のゲーム
43C7175|目隠しゲーム
43C71751|目隠し遊び
43C718|スイングゲーム
43C7181|揺さぶる (子供達のゲーム)
43C7182|揺り籠を揺する (子供達のゲーム)
43C7183|またがる
43C7184|運搬ゲーム
43C71841|背中、肩、または、腰にまたがる, 肩車
43C719|荒っぽいゲーム; 闘争
43C72|特別な物を使うゲーム (ビー玉, こま, 輪等)
43C721|ビー玉 (で遊ぶ) 
43C7211|ビー玉 (で遊ぶ)  (ホールカップを伴う)
43C722|こま (で遊ぶ) 
43C7221|こまを回転する
43C7222|こまをとばす
43C723|輪 (を転がす) 
43C7231|輪を水平に回転させる
43C724|凧 (を飛ばす) 
43C7241|ガス気球 (を飛ばす) 
43C725|竹馬 (に乗って歩く) 
43C726|ナックルボーンズ (で遊ぶ), 'astragali'
43C727|ローラースケート
43C73|子供と自然 (ゲームと遊び)
43C731|動物を真似る子供
43C732|鳥の巣を奪う子供
43C7321|鳥の卵を探す (子供達)
43C733|動物をいじめる子供
43C734|動物と遊ぶ子供
43C735|植物と子供 (ゲームと遊び)
43C736|子供 ~ 自然現象
43C7361|子供と雨
43C737|雪と氷で遊ぶ
43C7371|滑走する (雪と氷で遊ぶ)
43C7372|雪だるま (を作る) 
43C73721|雪玉を丸める
43C7373|雪玉を投げる
43C7374|氷上に椅子を置く
43C7379|氷を貫通する ~ 子供達の遊び
43C74|環境と時間にいる子供
43C741|カレンダー日付 ~ 子供のゲームと遊び
43C741(...)|カレンダー日付 ~ 子供のゲームと遊び (日付を伴う)
43C742|子供と学校 (~ ゲームと遊び)
43C7421|学校の祝祭
43C7422|遠足
43C7423|学校でのゲーム
43C7424|いたずらっ子 (学校で)
43C7425|不登校
43C743|子供と芸術
43C7431|子供達の'音楽' 
43C74311|鍋釜のオーケストラ, 大騒ぎ
43C74312|自家製ホイッスルを吹く
43C74313|豆笛 ~ 子供達のゲーム
43C7432|楽器を演奏する子供達
43C74321|(古代の) 楽器を演奏する子供達 
43C74322|(遊ぶ子供達) アミューズメントパークの楽器
43C7433|歌う子供達
43C75|いたずら遊び
43C751|中傷する, 野次 ~ 子供達のいたずら
43C752|からかう (子供のゲームと遊び)
43C7521|小さな子供達から物を取り上げる
43C753|玄関の呼び鈴を鳴らす (いたずらをすること)
43C754|非行青少年 (Teddy-boy)' 行為
43C755|蛮行 (いたずら遊び)
43C76|遊びの前後
43C761|鬼を決める (遊びの前)
43C762|誰が 'それ' になるかを決める他の方法
43C767|遊びの後に帰宅する
43C768|追いかける ~ 遊ぶ
43C769|ゲーム中に追い払われる, 分割される遊戯
43C77|他の子供達のゲーム
43C771|絵本を読む
43C772|子供達の本
43C7721|子供達のイメージ
43C78|おもちゃ (で遊ぶ)
43C781|遊び道具を作る (で遊ぶ)
43C7811|積み重ねるもの (で遊ぶ) 
43C7812|積み木 (で遊ぶ)
43C7813|メッカーノ (で遊ぶ)
43C7814|切り抜き工作 (で遊ぶ)
43C7815|モデルハウスを構築する
43C7816|模型制作 (機械または車の)
43C782|可動式おもちゃ (で遊ぶ)
43C7821|踊る人形 (で遊ぶ)
43C7822|回転するおもちゃ (で遊ぶ)
43C7823|おもちゃ工場 (で遊ぶ)
43C7824|他の可動式おもちゃ
43C783|機械仕掛けのおもちゃ (で遊ぶ)
43C7831|蒸気機関 (で遊ぶ)
43C7832|モーター (で遊ぶ)
43C7833|モーターまたは蒸気エンジンを動力源とするおもちゃ (非車両)
43C784|おもちゃ (で遊ぶ) ~ 輸送
43C7841|車両 (で遊ぶ)
43C78411|手押し車, 貨車 (で遊ぶ)
43C78412|自動車 (で遊ぶ) ~ おもちゃ
43C78413|レール上の車 (ジェットコースター) (で遊ぶ) ~ おもちゃ
43C78414|列車 (で遊ぶ)
43C7842|おもちゃ (で遊ぶ) ~ 水
43C78421|ボート (で遊ぶ)
43C78422|ヨット (で遊ぶ)
43C78423|モーターボート (で遊ぶ)
43C7843|おもちゃ (で遊ぶ) ~ 空中
43C78431|飛行機 (で遊ぶ)
43C78432|モーター付き飛行機 (で遊ぶ)
43C78433|ロケット (で遊ぶ)
43C785|おもちゃ (で遊ぶ) ~ 吹く
43C7851|シャボンを吹く (子供のゲームと遊び)
43C7852|吹くことによって作動するおもちゃ
43C786|家事のためのおもちゃ (で遊ぶ)
43C7861|おもちゃの皿
43C78611|おもちゃのお茶セット
43C7862|おもちゃのキッチン
43C78621|おもちゃのオーブンまたはストーブ
43C7863|おもちゃの家,  ドールハウス
43C787|人形, おもちゃの動物 (で遊ぶ)
43C7871|人形 (で遊ぶ)
43C78711|人形の衣類
43C78719|大人用の人形
43C7872|おもちゃの動物 (で遊ぶ)
43C78721|木馬
43C78722|揺り木馬
43C78729|大人用のおもちゃの動物; マスコット等
43C788|貼り付ける, 縫う等 (子供のゲームと遊び)
43C7881|シール帳 (子供のゲームと遊び)
43C7882|縫う (子供のゲームと遊び)
43C7883|針仕事 (子供のゲームと遊び)
43C789|ヴァリア (おもちゃで遊ぶ)
43C7891|ミニチュアの模造品 (子供のゲームと遊び)
43C8|スポーツ, ゲームと肉体的パフォーマンスのための敷地、畑、宿泊施設
43C81|更衣室 ~ スポーツ
43C9|踊る
43C91|1人が単独で踊る
43C911|男性が単独で踊る
43C912|女性が単独で踊る
43C92|1組のペアが踊る; カップルとして男性と女性が踊る
43C921|カップルとして踊る2人の女性
43C922|カップルとして踊る2人の男
43C923|舞踏への勧誘
43C93|複数のカップルが踊る
43C93(...)|複数のカップルが踊る (カップルの数を伴う)
43C94|グループダンス
43C941|上流階級の間のグループダンス
43C942|フォークダンス (男性と女性が一緒に)
43C9421|男性のグループ (フォークダンス)
43C9422|女性のグループ(フォークダンス)
43C943|誰かまたは何かの周囲でのグループダンス (フォークダンス)
43C95|ジグを踊る, 通りでチェーンダンスをする
43C96|ダンスの固有名詞
43C96(...)|ダンスの固有名詞 (名前付き)
43C96(BEDHAYA)|ダンスの固有名詞: ベダヤ
43C96(CAN CAN)|ダンスの固有名詞: フレンチカンカン
43C96(COTILLION)|ダンスの固有名詞: コティリオン
43C96(COUNTRY DANCE)|ダンスの固有名詞: コントルダンス
43C96(FANDANGO)|ダンスの固有名詞:  ファンダンゴ
43C96(FLAMENCO)|ダンスの固有名詞: フラメンコ
43C96(FURLANA)|ダンスの固有名詞: フォルラーヌ
43C96(GALOP)|ダンスの固有名詞: ギャロップ_(ダンス)
43C96(HORA)|ダンスの固有名詞: ホラ (民俗舞踊)
43C96(MAZURKA)|ダンスの固有名詞: マズルカ
43C96(MINUET)|ダンスの固有名詞: メヌエット
43C96(POLKA)|ダンスの固有名詞: ポルカ
43C96(POLONAISE)|ダンスの固有名詞: ポロネーズ
43C96(QUADRILLE)|ダンスの固有名詞: カドリーユ
43C96(SALTARELLO)|ダンスの固有名詞: サルタレロ
43C96(SARABANDE)|ダンスの固有名詞: サラバンド
43C96(SCHÄFFLERTANZ)|ダンスの固有名詞: 樽職人のダンス
43C96(SWORD DANCE)|ダンスの固有名詞: 剣舞
43C96(TARANTELLA)|ダンスの固有名詞: タランテラ
43C96(TANGO)|ダンスの固有名詞: タンゴ
43C96(TWIST)|ダンスの固有名詞: ツイスト (ダンス)
43C96(WALTZ)|ダンスの固有名詞: ワルツ (ダンス)
43CC114|猟師 - CC - 女性猟師, 女性狩猟家
43CC1141|招集する, 'départ pour la chasse' - CC - 女性猟師, 女性狩猟家
43CC1142|ハンター狩り (N.B.: 1988年から1990年にかけて、この表記は43C11421 '狩猟の最中に休む猟師'の概念を示した) - CC - 女性猟師, 女性狩猟家
43CC11421|狩猟の最中に休む猟師 - CC - 女性猟師, 女性狩猟家
43CC1143|勢子 (~ 狩猟) - CC - 女性猟師, 女性狩猟家
43CC1144|狩猟用ラッパを吹く - CC - 女性猟師, 女性狩猟家
43CC1145|halali' (~ 狩猟) - CC - 女性猟師, 女性狩猟家
43CC1146|猟師の集団肖像画 - CC - 女性猟師, 女性狩猟家
43CC1149|狩猟からの帰還 - CC - 女性猟師, 女性狩猟家
43CC11491|猟小屋, 狩猟小屋, 'rendez-vous de chasse', 'Jagdschloss' - CC - 女性猟師, 女性狩猟家
43CC737|雪と氷で遊ぶ - CC - 大人 (大人達) ~ 雪と氷
43CC7371|滑走する (雪と氷で遊ぶ) - CC - 大人 (大人達) ~ 雪と氷
43CC7372|雪だるま (を作る)  - CC - 大人 (大人達) ~ 雪と氷
43CC73721|雪玉を丸める - CC - 大人 (大人達) ~ 雪と氷
43CC7373|雪玉を投げる - CC - 大人 (大人達) ~ 雪と氷
43CC7374|氷上に椅子を置く - CC - 大人 (大人達) ~ 雪と氷
43CC7379|氷を貫通する ~ 子供達の遊び - CC - 大人 (大人達) ~ 雪と氷
43D|他の余暇活動
43D1|手工芸品, 趣味 (余暇活動)
43D2|収集 (余暇活動)
44|国家; 法; 政治生命
44A|国家の象徴(一般的な)
44A1|紋章 (国家等の象徴として)
44A11|図案 (国家等の象徴として)
44A2|印 (国家等の象徴として)
44A21|他の非個人的な王位の象徴  例: 市長の首輪
44A3|旗, 旗幟 (国家等の象徴として)
44A31|旗 (国家等の象徴として)
44A311|旗手
44A32|旗ざお
44A4|装飾, 栄誉 (国家等の象徴として)
44A5|特定の国土、国家、地区等の象徴
44A51|国、国土、国家、地区等の擬人化
44A51(...)|国、国土、国家、地区等の擬人化 (名称を伴う)
44B|政治, 国家; 'Politica', 'Auttorità o Potestà' (リーパ)
44B0|政治制度
44B01|君主政治; 'Monarchia mondana' (リーパ)
44B011|貴族政治; 'Aristocratia' (リーパ)
44B02|民主政治; 'Democratia' (リーパ)
44B03|共和政治; 'Governo della 共和政治a' (リーパ)
44B04|植民地制度
44B041|帝国主義
44B09|独裁政治, 専制政治; 'Tirannide' (リーパ)
44B091|国家理性; 'Ragione di Stato' (リーパ)
44B1|君主, 元首
44B10|君主の美徳
44B11|階級 ~ 君主, 元首
44B111|一連の君主
44B1111|王朝
44B112|皇帝
44B1121|還御の神話
44B113|王
44B114|他の元首
44B114(...)|他の元首 (称号 を伴う)
44B114(DOGE)|他の元首: ドージェ
44B115|大統領 ~ 共和国の首長
44B1151|副大統領
44B116|摂政, 代替君主; 総督
44B1161|オランダ総督
44B117|諸侯
44B1171|臣下
44B119|専制君主, 独裁者
44B12|君主の公式行為, 例: 王室の行為 (聴取する君主, 慈悲を与える, 等; 君主とその臣民)
44B121|謁見; 聴取する君主
44B1211|玉座の間
44B1212|玉座
44B122|君主による叙任
44B1221|貴族階級を与える君主
44B1222|権力委譲
44B1223|特権を与える君主
44B123|慈悲を与える; 恩赦
44B124|相談役 (複数) を伴う君主
44B125|君主の指揮
44B126|封爵
44B127|君主とその臣民
44B1271|名誉の印を授与する君主
44B1272|一時的に君主の職務を引き継ぐ臣下
44B12721|ダモクレスの剣
44B128|臣民と非公式に接触する君主
44B129|王の病 (the king's evil)'を癒すため人に触れる君主
44B13|君主への敬意
44B131|君主の賞賛
44B1311|君主へ忠誠を誓う
44B132|君主にお辞儀をする
44B1321|君主の前で片膝をつく
44B1322|君主の前に跪く
44B1323|平伏, 'proskynesis'
44B133|旗で名誉を与えられる君主
44B134|銃声で敬礼される君主
44B1341|次期国王の出産、婚姻等への大砲の礼砲
44B135|君主に敬意を表する
44B14|君主の神格化
44B15|君主の家族と宮廷
44B150|Corte' (リーパ)
44B151|元首の家族
44B1511|女王, 皇后等 (君主の妻)
44B15111|配偶の宮
44B1512|王家の子供達
44B15121|王子
44B151211|皇太子
44B15122|王女
44B151221|皇太子妃
44B15123|王家の庶子
44B151231|王家の男性庶子
44B151232|王家の女性庶子
44B1513|君主の両親
44B15131|君主の父親
44B15132|君主の母親
44B1514|王家の血をひく他の人
44B1515|君主の寵姫
44B152|王室;  廷臣, 従者
44B1521|儀式の主人
44B1522|宮廷の高官
44B1523|小姓 ~ 宮廷
44B1524|宮廷の道化師
44B15241|宮廷の道化師のアトリビュート
44B152411|道化師帽
44B152412|安物の宝石
44B1525|(食物) 毒見役
44B1526|宮廷の召使いと他の下級職員
44B1527|君主の護衛隊
44B153|宮廷の儀式, 宮廷の礼儀作法
44B1531|礼儀, マナー; 礼儀作法
44B154|宮廷の祝祭
44B155|宮廷の日常生活
44B16|君主の叙任
44B161|選挙, 君主の選択
44B1611|君主の宣言
44B16111|盾の上に上げられる新たな君主
44B1612|新たに選ばれた君主の塗油
44B1613|君主の立場を示す: 王冠またはその他の権威の象徴の提示 (戴冠式の前)
44B1619|簒奪
44B162|君主の戴冠式
44B1621|戴冠式の前
44B1622|戴冠式の最中
44B1623|戴冠式の後
44B1624|君主に塗油する (戴冠式の最中)
44B1625|権威の象徴を提示する (戴冠式の最中)
44B163|剣を提示する ~ 君主の叙任
44B164|他の型の叙任
44B1641|誓いを立てる新たな君主
44B165|君主の叙任の祝いの儀式
44B1651|儀式の行列, パレード, 行列 ~ 君主の叙任
44B16511|戴冠式の行列
44B168|君主になることを拒否する
