4|社会，文明，文化
42G233|姪兒和外甥, 姪女和外甥女 (第三級親屬關係)
42G2331|姪兒和外甥
42G2332|姪女和外甥女
42G234|姑表兄弟姊妹 (第三級親屬關係)
42G235|曾孫子女,外曾孫子女 (第三級親屬關係)
42G24|第四級親屬關係
42G241|高曾祖父母,高外曾祖父母 (第四級親屬關係)
42G242|伯祖父,叔祖父,舅老爺,姑姥姥,伯祖母,姨婆 (第四級親屬關係)
42G243|姪孫, 甥孫, 姪孫女, 甥孫女 (第四級親屬關係)
42G244|第二級堂表兄弟姊妹 (第四級親屬關係)
42G245|高曾孫子女,高外曾孫子女 (第四級親屬關係)
42G29|近親通婚
42Z|奇特的和非一夫一妻制的家庭形式
42Z1|一夫多妻
42Z11|(伊斯蘭教徒的)妻妾,女眷
42Z111|女奴,宮女,侍婢
42Z112|'le Bain turc'
42Z113|太監
42Z2|一妻多夫
42Z3|群婚,共婚
42Z31|'Weibergemeinschaft'
42Z32|群婚family or group marriage ('Punalua')
43|娛樂,休閒
43A|節慶
43A1|週期性的節慶, 大眾的節慶
43A11|歲時節慶, 教會年曆中節日的非禮拜性節慶
43A12|聖誕節,狂歡節和復活節的非禮拜性節慶
43A121|聖誕節 (非禮拜性的慶祝)
43A1211|聖誕樹
43A1212|聖誕裝飾物
43A1213|聖誕老人
43A1214|聖誕卡
43A122|狂歡節, 懺悔節 (非禮拜性的慶祝)
43A1221|愚人船
43A1222|懺悔周四Shrove Thursday, 'Jeudi gras'
43A1223|四旬齋前的周日
43A1224|懺悔周二Shrove Tuesday, 'Mardi gras' ~ 狂歡節的非禮拜性的慶祝
43A123|復活節 (非禮拜性的慶祝)
43A1231|復活節彩蛋
43A12311|像復活節彩蛋形狀的首飾
43A1232|得獎公牛
43A12321|得獎公牛遊行
43A1233|復活節兔子
43A13|與季節相關的節日
43A131|春分節vernal festivities, 春天的節日
43A1311|圍繞五朔節花柱歌舞
43A13111|五朔節花柱
43A132|收獲節慶
43A14|日曆裡的節日; 紀念日
43A141|一月一日 (~ 節慶)
43A1411|元旦之夜 (十二月三十一日)
43A142|四月一日 (~ 節慶)
43A143|五月一日 (~ 節慶)
43A144|第十二夜, 通常是一月六日
43A145|聖徒日節慶 (非禮拜性的)
43A1451|聖尼古拉節 (十二月五日)
43A1452|萬聖節之夜 (十月三十一日)
43A1453|聖馬丁節 (十一月十一日)
43A1454|聖帕特里克節 (三月十七日)
43A146|日曆里的其它節日; 紀念日
43A146(...)|日曆里的其它節日; 紀念日 (日期)
43A2|私人的節慶, 聯歡
43A21|聚會, 雞尾酒會
43A22|紀念節, 大慶紀念節
43A23|舞會, 正式舞蹈
43A3|遊樂場和馬戲團
43A31|旋轉木馬; 旋轉鞦韆
43A311|摩天輪
43A32|車類娛樂, 等等 (遊樂場)
43A321|過山車
43A322|碰碰車
43A323|陡直上下的小火車軌道, 盤旋火車
43A33|技巧和力量的遊戲 (~ 遊樂場)
43A331|射擊場, 小型來福槍射擊場 (~ 遊樂場)
43A332|試試你的力量機
43A34|其它類型的娛樂
43A341|哈哈鏡廳
43A342|立體布景
43A343|全景畫
43A344|洋拉片peep-show
43A345|彩票站 (遊樂場上的)
43A346|畸形展覽
43A3461|畸形人 ~ 畸形展覽
43A3462|畸形動物 ~ 畸形展覽
43A3463|奇特的物件 (植物, 石塊, 等等) ~ 畸形展覽
43A35|室外演出 (遊樂場)
43A351|帳篷內的演出 (遊樂場)
43A352|鳴鼓招徠觀眾
43A36|馬戲團
43A361|馬戲帳篷 (室外)
43A362|馬戲帳篷入口
43A363|馬戲帳篷 (室內)
43A3631|馬戲場
43A37|表演; 遊樂場和馬戲團的演員
43A371|老闆, 指揮 (馬戲團的)
43A3711|馬戲場指揮
43A372|雜技演員 ~ 馬戲團
43A3721|走索演員
43A3722|高空鞦韆雜技演員
43A3723|表演平衡特技的演員
43A3724|飛刀演員
43A3725|神槍手
43A3726|柔術演員
43A3727|脫身術演員
43A3728|吞火演員
43A373|小丑
43A3731|傻瓜西蒙, 'Hanswurst'
43A374|包括動物的馬戲團演出 (猴子, 大象, 狗熊, 獅子和老虎, 馬, 狗, 海豚, 海豹, 跳蚤)
43A3741|猴子 (馬戲團演出)
43A3742|大象 (馬戲團演出)
43A3743|狗熊 (馬戲團演出)
43A3744|獅子和老虎 (馬戲團演出)
43A3745|馬 (馬戲團演出)
43A3746|狗 (馬戲團演出)
43A3747|海豚 (馬戲團演出)
43A3748|海豹 (馬戲團演出)
43A3749|跳蚤馬戲團
43A375|幻術師, 魔術師, 變戲法者, 'legerdemain'
43A3751|口技表演者
43A376|算命先生 ~ 遊樂場和馬戲團
43A38|遊樂場和馬戲團 '在途中'
43A381|搭建帳篷 (遊樂場和馬戲團 '在途中')
43A382|拆除帳篷 (遊樂場和馬戲團 '在途中')
43A4|公眾慶典
43A41|歡慶特殊節日
43A411|國家重要慶典
43A412|皇家節日的公眾慶典
43A4121|皇室成員婚姻的公眾慶典
43A4122|皇室成員出生的公眾慶典
43A4123|皇家其它節日的公眾慶典, 以上未提及的
43A42|凱旋入城及公眾歡迎, 盛裝遊行, 'entrée solennelle', 'joyeuse entrée'
43A421|四輪馬車, 凱旋車
43A4211|羅馬雙輪戰車, 四馬雙輪戰車 ~ 凱旋
43A4212|彩車 ~ 凱旋
43A422|凱旋門
43A423|其它裝飾建築物 (~ 凱旋入城, 等等)
43A424|揮撒錢幣 (~ 凱旋入城, 等等)
43A4241|節日特製錢幣 (凱旋入城, 等等) (荷蘭語: 'strooipenningen')
43A425|街道,廣場等處張燈結綵 (~ 凱旋入城, 等等)
43A426|五彩碎紙, 彩帶, 等等 (~ 凱旋入城, 等等)
43A43|凱旋 (人格寓言式的和象徵符號式的)
43A431|'Trionfi' (彼特拉克的)
43A4311|'Trionfi d'Amore', 'Triumphus Cupidinis'; 'Carro d'amore' (Ripa)
43A4312|'Trionfo della Castità', 'Triumphus Pudicitiae'; 'Carro della castità' (Ripa)
43A4313|'Trionfo della Morte', 'Triumphus Mortis'; 'Carro della morte' (Ripa)
43A4314|'Trionfo della Fama', 'Triumphus Famae'; 'Carro della Fama' (Ripa)
43A4315|'Trionfo del Tempo', 'Triumphus Temporis'; 'Carro del Tempo' (Ripa)
43A4316|'Trionfo della Divinità', 'Triumphus Aeternitatis'; 'Carro della Divinità'
43A432|某人物象徵性的凱旋
43A4321|尊奉某人物 (or ascension)
43A433|以花環加冕
43A44|大篝火, 焰火
43A45|在公眾面前羞辱
43A46|空中的活動 ~ 公眾慶典, 如飛機列隊飛過
43A49|公眾葬禮
43A491|靈柩車, 'castrum doloris' (~ 公眾葬禮)
43AA2|私人的節慶, 聯歡 - AA - 在室外, 'fête champêtre'
#43AA21|reception, cocktail party - AA - 在室外, 'fête champêtre'
#43AA22|commemoration, jubilee - AA - 在室外, 'fête champêtre'
#43AA23|ball, formal dance - AA - 在室外, 'fête champêtre'
#43AA376|fortune-teller ~ pleasure fair and circus - AA - fortune-teller (female)
#43AA4|public festivities - AA - festivities on the water
#43AA41|rejoicing on special occasions - AA - festivities on the water
#43AA411|festivities on events of national importance - AA - festivities on the water
#43AA412|public festivities on the occasion of royal events - AA - festivities on the water
#43AA4121|public festivities at marriage of royal persons - AA - festivities on the water
#43AA4122|public festivities at birth of royal persons - AA - festivities on the water
#43AA4123|public festivities at other royal events, not meant or mentioned above - AA - festivities on the water
#43AA42|triumphal entry and public reception, pageant, 'entrée solennelle', 'joyeuse entrée' - AA - festivities on the water
#43AA422|triumphal arch - AA - festivities on the water
#43AA423|other decorative structures (~ triumphal entry, etc.) - AA - festivities on the water
#43AA424|scattering of money (~ triumphal entry, etc.) - AA - festivities on the water
#43AA425|decoration and illumination of streets, squares, etc. (~ triumphal entry, etc.) - AA - festivities on the water
#43AA426|confetti, ticker-tape, etc. (~ triumphal entry, etc.) - AA - festivities on the water
#43AA43|triumphs (allegorical and symbolic) - AA - on the water, 'triomphe marin'
#43AA431|'Trionfi' (of Petrarch) - AA - on the water, 'triomphe marin'
#43AA4311|'Trionfi d'Amore', 'Triumphus Cupidinis'; 'Carro d'amore' (Ripa) - AA - on the water, 'triomphe marin'
#43AA4312|'Trionfo della Castità', 'Triumphus Pudicitiae'; 'Carro della castità' (Ripa) - AA - on the water, 'triomphe marin'
#43AA4313|'Trionfo della Morte', 'Triumphus Mortis'; 'Carro della morte' (Ripa) - AA - on the water, 'triomphe marin'
#43AA4314|'Trionfo della Fama', 'Triumphus Famae'; 'Carro della Fama' (Ripa) - AA - on the water, 'triomphe marin'
#43AA4315|'Trionfo del Tempo', 'Triumphus Temporis'; 'Carro del Tempo' (Ripa) - AA - on the water, 'triomphe marin'
#43AA4316|'Trionfo della Divinità', 'Triumphus Aeternitatis'; 'Carro della Divinità' - AA - on the water, 'triomphe marin'
#43AA432|symbolic triumphs of individual persons - AA - on the water, 'triomphe marin'
#43AA4321|apotheosis (or ascension) of individuals - AA - on the water, 'triomphe marin'
#43AA433|crowning with laurel - AA - on the water, 'triomphe marin'
#43AA44|bonfire, fire-works - AA - festivities on the water
#43AA46|activities in the air ~ public festivities, e.g. fly-past - AA - festivities on the water
#43AA49|public funeral - AA - festivities on the water
#43AA491|catafalque, 'castrum doloris' (~ public funeral) - AA - festivities on the water
43B|休閒
43B1|享受自然
43B11|面對自然沉思
43B12|郊遊野餐, 戶外午餐, 'déjeuner sur l'herbe'
43B121|戶外聚會, 'délices à la campagne'
43B13|散步, 徒步旅行 (休閒)
43B131|騎乘, 騎車 (休閒)
43B14|享受自然 ~ 植物, 草木和花卉
43B141|研究植物
43B142|採集蘑菇
43B143|採集草木
43B144|採花
43B15|享受自然 ~ 動物
43B151|採集蝴蝶
43B16|登山
43B17|山洞探險
43B2|戶外休閒
43B21|休閒勝地
43B3|室內休閒
43B31|小酒館, 咖啡屋,酒店, 等等
43B311|飯店
43B312|茶室花園, 花園飯店
43B313|酒館或飯店門前的鋪道,露臺
43B32|俱樂部, 聚會處
43B33|賭場
43B331|賭屋
43B34|夜總會, 舞廳
43B4|樹林和公園 (作為休閒場所)
43B41|在樹林裡嬉戲
43B411|爬樹
43B412|從樹上掉下來
43B42|公園
43B421|露天音樂台
43B5|海灘 (作為休閒場所)
43B51|在水裡或水邊 (在海灘上)
43B52|陽光浴 (在海灘上)
43B53|(堆) 沙堡
43B54|騎驢 (在海灘上)
43B55|在沙丘上休閒
43B6|遊戲場地
43B61|遊戲場地器械
43B61(...)|遊戲場地器械 (名稱)
43B611|鞦韆
43B612|滑梯
43B613|蹺蹺板
43B7|動物園 (作為休閒場所)
43B8|收藏, 展覽, 展示
43C|體育, 遊戲和體能展示
43C1|體育, 遊戲 ~ 動物
43C11|打獵,追獵
43C111|遊戲, 被追獵的動物
43C1111|一群被追獵的各種動物
43C1112|追獵 ~ 哺乳動物
43C11121|一群被追獵的哺乳動物
43C11122|獵猴
43C11123|追獵 ~ 食肉動物 (狐狸, 獅子)
43C111231|獵狐
43C1112311|狐狸和獵犬
43C111232|獵獅
43C1112321|獵人與獅子搏鬥
43C11124|追獵 ~ 有蹄類動物
43C111241|獵公鹿
43C111242|獵母鹿
43C111243|獵野豬
43C11125|追獵 ~ 象鼻類動物
43C11126|追獵 ~ 囓齒目動物
43C111261|野兔追獵, 兔子追獵
43C11127|追獵 ~ 水中哺乳動物
43C11128|追獵 ~ 其它哺乳動物
43C1113|鳥類追獵
43C1114|追獵 ~ 其它動物
43C112|狩獵事故
43C1121|被追獵的動物攻擊人類
43C113|狩獵收獲
43C1131|被殺的動物 (~ 打獵)
43C11311|狩獵戰利品
43C1132|獵人展示狩獵收獲
43C114|獵人
43C1141|集合, 'départ pour la chasse'
43C1142|獵人在狩獵
43C11421|獵人在休息
43C1143|助獵人 (~ 追獵)
43C1144|吹響狩獵的號角
43C1145|'halali' (~ 追獵)
43C1146|獵人群像
43C1147|獵犬
43C11471|在戰利品身旁的獵犬
43C1148|狩獵裝備
43C11481|狩獵袋
43C11482|狩獵號角
43C1149|狩獵歸來
43C11491|狩獵居所, 'rendez-vous de chasse', 'Jagdschloss'
43C115|尋找獵物
43C1151|抓獲動物
43C1152|觀察動物 ~ 狩獵
43C11521|拍攝動物照片,影片
43C116|獵場
43C1161|獵場界樁
43C1162|狩獵塔, 隱蔽處; 通常偽裝起來的; 為了隱蔽觀察和射擊
43C11621|'高座', 高台上的的狩獵塔
43C116211|樹哨, 樹上狩獵塔
43C11622|地面上的狩獵處,狩獵帳篷
43C117|獵場看守
43C118|偷獵者
43C12|捕魚 (體育)
43C121|垂釣
43C128|捕魚者
43C1281|捕魚者展示成果
43C13|捕鳥
43C131|捕雀籠
43C132|野鴨誘餌
43C14|折磨動物 ~ 體育運動和休閒
43C141|一群各種動物被折磨
43C142|折磨哺乳動物 ~ 體育和休閒
43C1421|用棒打貓, '貓放進木桶裡'
43C1422|鬥牛
43C14221|鬥牛士
43C1423|逗熊遊戲
43C143|折磨鳥類 ~ 體育和休閒 (公雞, 鵝)
43C1431|鬥雞
43C1432|'拔鵝'
43C144|折磨爬行動物
43C145|折磨水陸兩棲動物
43C146|折磨魚
43C1461|'拔鱔魚'
43C2|體育, 遊戲和體能展示 ~ 速度
43C21|陸上體育, 等等
43C211|跑步,賽跑
43C2111|障礙(跑步,賽跑) , 跨欄賽跑
43C2112|越野賽跑
43C2113|競走
43C212|騎在動物身上的賽跑
43C2121|賽馬
43C21211|賽馬騎手
43C21212|賽馬飼養場
43C21213|賽馬跑道
43C2122|障礙賽馬
43C213|賽車
43C2131|(馬拉的)賽車
43C21311|禦車手, 'auriga'
43C21312|兩輪車賽跑, 如: 兩輪戰車, 單座兩輪馬車
43C21313|四輪車賽跑
43C2132|自行車賽
43C21321|自行車環賽,如: '環法自行車大賽', '環意自行車賽'
43C2133|摩托車賽
43C2134|汽車賽
43C214|步行 (作為體育)
43C218|動物賽跑
43C2181|(賽)狗
43C2182|(賽)鴿
43C22|水上體育,等等
43C221|游泳 (體育)
43C2211|跳水 (體育)
43C22111|深海潛水
43C222|滑水, 水撬運動
43C223|賽艇, 等等(體育)
43C224|帆船賽 (體育)
43C225|摩托艇賽
43C23|空中體育,等等
43C231|飛行比賽
43C232|滑翔 (空中體育)
43C233|氣球飛行 (體育)
43C234|跳傘, 跳傘運動
43C24|冬季運動
43C241|雪橇 (冬季運動)
43C242|有舵雪橇
43C243|小雪橇 (冬季運動)
43C244|溜冰鞋 (冬季運動)
43C245|滑雪板 (冬季運動)
43C2451|障礙滑雪 (冬季運動)
43C2452|跳台滑雪
43C2453|滑雪纜車
43C246|冰上帆船 (冬季運動)
43C3|競技, 體操
43C31|跳高 (競技, 體操)
43C311|撐竿跳高
43C312|蹦床跳高
43C32|跳遠
43C321|三級跳遠
43C33|投擲標槍
43C34|投擲鉛球
43C35|投擲鐵餅
43C36|其它競技項目
43C361|舉重
43C37|地面上的體操運動
43C371|使用棒,啞鈴等體操運動
43C38|使用器械的體操運動
43C381|吊環 (體操)
43C382|單槓 (體操)
43C383|跳馬 (體操)
43C384|雙槓 (體操)
43C39|技擊 (體育)
43C391|拳擊 (體育)
43C392|摔跤 (體育)
43C393|柔術, 柔道, 等等
43C394|擊劍 (體育)
43C3941|花劍
43C3942|佩劍 (~ 擊劍)
43C395|拔河
43C396|(中世紀) 格鬥
43C3961|角鬥士格鬥
43C39611|人與動物之間格鬥
43C39612|動物之間格鬥, 如獅子與熊
43C3962|'pas d'armes' (橋上或關隘的騎士比武, 等等)
43C3963|比武大會
43C39631|馬上長槍比武
43C396311|無界攔的馬上長槍比武
43C396312|有界攔的馬上長槍比武
43C3964|其它形式的騎士比賽
43C39641|'Buhurt', 'Bouhourt' (中世紀比賽)
43C39642|'Quintaine' (中世紀比賽)
43C397|體育錦標賽
43C3971|現代奧運會
43C3972|其它競技比賽
43C4|技巧比賽
43C41|球賽
43C411|足球 (早期名稱: soule, choule, cholle)
43C4111|英式橄欖球, 足球
43C4112|美式足球
43C412|用手的球賽 (團隊賽)
43C4121|手球
43C4122|籃球
43C4123|排球
43C4124|水球
43C413|用木棍打擊的球賽 (團隊賽)
43C4131|曲棍網球
43C4132|曲棍球
43C41321|冰上曲棍球
43C4133|馬球
43C4134|板球 (球賽)
43C4135|棒球
43C4136|棍子球
43C414|用棍子打擊的球賽 (個人賽)
43C4141|'maille' (球賽)
43C4142|高爾夫球
43C4143|'kolf' (球賽)
43C41431|冰上'kolf' 
43C4144|槌球
43C4145|桌球
43C415|用球拍(或手)的球賽 
43C4151|網球, 草地網球
43C4152|乒乓球
43C4153|'jeu de Paume'
43C4154|'jeu de volant', 羽毛球
43C4155|壁手球
43C416|球在滾動的球賽
43C4161|'jeu de boules'
43C4162|保齡球
43C4163|把球拋進地上的環裡throwing ball through ring on the ground
43C4164|九柱戲木樁
43C417|拋球
43C4171|劍球
43C418|彈子,彈子機
43C42|精準射擊 (~ 技巧比賽)
43C421|弓箭射擊 (~ 技巧比賽)
43C4211|射鳥 (高樁上的)
#43C4212|champion-shot
43C422|手槍或左輪手槍的精準射擊 (~ 技巧比賽)
43C423|來福槍或其它長短火器的精準射擊 (~ 技巧比賽)
43C424|射擊目標 (~ 精準射擊)
43C43|'jeu de tonneau'
#43C431|throwing disc into hole in barrel
#43C432|hand shovel-board
43C44|溜琉球
43C441|空中陀螺
#43C45|持矛tilting at the ring (~ 技巧比賽)
43C5|計算和機會的遊戲, 如: 紙牌遊戲, 賭博, 益智遊戲, 等等
43C51|紙牌遊戲
43C511|玩牌作弊者
43C512|玩牌
#43C5121|jolly joker
43C513|接龍 (紙牌遊戲)
43C52|棋類遊戲
43C521|國際象棋
43C5211|國際象棋棋子
43C5212|男女在下棋, 女性贏棋
43C522|西洋雙陸棋
43C523|西洋跳棋
43C5231|西洋跳棋棋子
43C53|機會棋類
43C531|跳鵝棋
#43C532|強手棋monopoly (board-game of chance)
43C54|多米諾骨牌
43C55|骰子遊戲
#43C551|cheat (~ 骰子遊戲)
43C552|骰子
43C56|下賭注
43C561|體育彩票
43C562|輪盤賭
43C57|旋轉圓筒抽獎
43C58|彩券,抽獎
43C581|抽簽 ~ 下賭注
43C582|賭金計算器
43C59|益智遊戲, 謎語, 難題, 謎
43C591|啞劇字謎
43C592|縱橫填字字謎
43C593|拼圖遊戲
43C6|團體遊戲, 派對遊戲
43C61|罰物遊戲
43C62|音樂伴奏下的搶位子遊戲
43C63|具有色情意味的派對遊戲, 如: 接吻比賽
43C631|蒙眼猜人遊戲, 'haute coquilles', 'la main chaude' (派對遊戲)
#43C64|青蛙在中間遊戲frog in the middle (派對遊戲)
43C68|成人玩兒童遊戲
43C69|狂野戲鬧
43C7|兒童遊戲
43C71|無需玩具的遊戲
43C711|跑動 (兒童)
43C7111|簡單的跑動遊戲
43C71111|跑動 (~ 遊戲)
43C71112|抓住 (~ 追逐)
43C71113|'red rover, red light?' 和相關遊戲
43C7112|跑動競賽
43C71121|抓俘虜遊戲 ~ 兒童遊戲
43C71122|占地遊戲 ~ 兒童遊戲
43C71123|抓住, 碰到, 在一個團體中 ~ 兒童遊戲
43C7113|跑動躲藏遊戲
43C71131|捉迷藏
43C7114|在圈子裡的追逐遊戲running games played in a ring
43C7115|有故事成份的追逐遊戲
43C7116|倫敦橋和相關橋和拱門遊戲
#43C7117|snake or chain games
#43C71171|train (snake or chain games)
43C7118|轉動遊戲, 紙風車
43C712|跳躍遊戲
43C7121|簡單跳躍遊戲
43C7122|蛙跳及類似跳躍
#43C7123|hey cockalorum and variants
43C7124|跳房子
43C7125|其它 (跳躍遊戲)
43C71251|翻筋斗 ~ 跳躍遊戲
43C71252|倒立 ~ 跳躍遊戲
43C71253|四肢並用行走 ~ 跳躍遊戲
43C71254|快速旋轉 ~ 跳躍遊戲
#43C7126|ditch-over (跳躍遊戲)
#43C71261|ditch-over with jumping pole (跳躍遊戲)
43C713|舞蹈遊戲 (兒童遊戲)
43C7131|簡單的舞蹈
43C7132|跳繩
#43C7133|ring and square dancing (兒童遊戲)
#43C7134|row dancing (兒童遊戲)
43C714|投擲遊戲
43C7141|簡單的投擲遊戲
43C7142|扔石子 (投擲遊戲)
43C7143|扔棒 (投擲遊戲)
43C7144|扔硬幣 (投擲遊戲)
43C7145|扔果實 (投擲遊戲)
43C7146|玩球 (兒童遊戲)
43C71461|單人玩球遊戲
43C71462|扔球接球遊戲 (兒童遊戲)
43C71463|用棍擊球, 等等 (兒童遊戲)
43C71464|踢球 (兒童遊戲)
43C7147|滾球遊戲 (兒童遊戲)
43C7148|其它 (投擲遊戲)
43C71481|拋扔環圈, 等等 (兒童遊戲)
43C715|手指和拳頭遊戲
43C7151|手的簡單遊戲
43C71511|投影圖畫 (~ 手的遊戲)
43C71512|手和繩遊戲 (翻繩遊戲, 等等)
43C7152|拍打遊戲
43C71521|疊手或疊拳遊戲 (兒童遊戲)
#43C71522|bursting bags (兒童遊戲)
43C7153|指認和計數遊戲
43C7154|手指遊戲
43C7155|手指歌謠
43C716|交換遊戲, 模仿遊戲, 模仿成人的遊戲
43C717|猜測遊戲 (兒童)
43C7171|簡單的猜測遊戲
43C7172|尋找遊戲 (尋找物件)
43C71721|追蹤線索 (~ 尋找遊戲)
43C7173|占卜遊戲, 算命遊戲
43C7174|抽籤 ~ 兒童遊戲
43C7175|蒙眼遊戲
43C71751|蒙眼捉迷藏
43C718|搖盪遊戲
43C7181|蕩鞦韆 (兒童遊戲)
43C7182|搖搖籃 (兒童遊戲)
#43C7183|knee-riding
43C7184|揹人遊戲
43C71841|揹人在背上
43C719|狂野戲鬧遊戲; 打鬧
43C72|使用特殊物件的遊戲 (彈珠, 陀螺, 圈環, 等等)
43C721|(玩) 彈珠
43C7211|(玩) 彈珠 (有球洞的)
43C722|(玩) 陀螺
43C7221|旋轉陀螺
43C7222|抽打陀螺
43C723|(滾) 圈環
43C7231|水平旋轉圈環
43C724|(放) 風箏
43C7241|(放) 氣球
43C725|(走) 高蹺
43C726|(玩) 趾骨遊戲, 'astragali'
43C727|滑旱冰, 旱冰鞋
43C73|兒童和自然 (遊戲和玩耍)
43C731|兒童模仿動物
43C732|兒童掏鳥窩
43C7321|尋找鳥蛋 (兒童)
43C733|兒童挑逗動物
43C734|兒童與動物玩耍
43C735|兒童與植物 (遊戲和玩耍)
43C736|兒童 ~ 自然現象
43C7361|兒童與雨
43C737|兒童嬉戲冰雪
43C7371|滑冰 (兒童嬉戲冰雪)
43C7372|(搭) 雪人
43C73721|滾雪球
43C7373|扔雪球
43C7374|和椅子在冰上
43C7379|穿過冰面 ~ 嬉戲的兒童
43C74|兒童在時空中
43C741|年曆中的一天 ~ 兒童的遊戲和玩耍
43C741(...)|年曆中的一天 ~ 兒童的遊戲和玩耍 (日期名稱)
43C742|兒童和學校 (~ 遊戲和玩耍)
43C7421|學校活動
43C7422|學校外出遊玩
43C7423|在學校遊玩
43C7424|淘氣的兒童 (在學校)
43C7425|逃學
43C743|兒童與藝術
43C7431|兒童的'音樂'
43C74311|鍋盆樂團, 粗糙的音樂
43C74312|吹自製的哨子
#43C74313|bladder with peas ~ 兒童遊戲
43C7432|兒童演奏樂器
43C74321|兒童演奏(古代)樂器
#43C74322|(兒童演奏) pleasure-fair instruments
43C7433|兒童唱歌
43C75|做惡作劇
43C751|喊人名字, 喝倒采 ~ 兒童惡作劇
43C752|挑逗 (兒童遊戲和玩耍)
43C7521|把另一個小孩的東西拿走
43C753|按門鈴 (做惡作劇)
#43C754|'Teddy-boy' goings-on
43C755|毀壞公物 (做惡作劇)
43C76|遊戲前後
43C761|記數選鬼 (遊戲前)
43C762|其它選鬼的方法
43C767|遊戲後回家
43C768|追逐 ~ 遊戲
#43C769|chased off during game, play broken up
43C77|兒童的其它遊戲
43C771|讀圖畫書
43C772|兒童讀物
#43C7721|兒童畫?children's images
43C78|(玩) 玩具
43C781|(玩) 搭玩具材料
43C7811|(玩) 可搭建的東西
43C7812|(玩) 積木
43C7813|(玩) meccano模型玩具
#43C7814|(玩) 裁剪模型玩具cut-out constructions
43C7815|造模型房子
43C7816|造 (機器或車輛)模型
43C782|(玩) 可動玩具
43C7821|(玩) 舞蹈娃娃
43C7822|(玩) 旋轉玩具
43C7823|(玩) 玩具磨坊
43C7824|其它可動玩具
43C783|(玩) 機械玩具
43C7831|(玩) 蒸汽機
43C7832|(玩) 馬達
43C7833|蒸汽機或馬達發動的玩具 (非車輛)
43C784|(玩) 玩具 ~ 運輸
43C7841|(玩) 有輪車輛
43C78411|(玩) 兩輪推車, 四輪拉車
43C78412|(玩) 汽車 ~ 玩具
43C78413|(玩) 有軌車輛 (過山車) ~ 玩具
43C78414|(玩) 火車
43C7842|(玩) 玩具 ~ 水上
43C78421|(玩) 船
43C78422|(玩) 遊艇
43C78423|(玩) 汽艇
43C7843|(玩) 玩具 ~ 天上
43C78431|(玩) 飛機
43C78432|(玩) 帶發動機的飛機
43C78433|(玩) 火箭
43C785|(玩) 玩具 ~ 口吹
43C7851|吹泡泡 (兒童的遊戲和玩耍)
43C7852|吹玩具
43C786|(玩) 家務方面的玩具
43C7861|玩具餐盤
43C78611|茶具玩具
43C7862|玩具廚房
43C78621|玩具爐灶
43C7863|玩具屋, 玩具娃娃的房子
43C787|(玩) 玩具娃娃, 玩具動物
43C7871|(玩) 玩具娃娃
43C78711|玩具娃娃的衣服
43C78719|成人玩具
43C7872|(玩) 玩具動物
43C78721|玩具馬
43C78722|搖木馬
43C78729|城人玩具動物; 吉祥物, 等等
43C788|剪貼, 編織, 等等 (兒童的遊戲和玩耍)
43C7881|剪貼書籍 (兒童的遊戲和玩耍)
43C7882|編織 (兒童的遊戲和玩耍)
43C7883|縫紉 (兒童的遊戲和玩耍)
43C789|其它 (玩玩具)
43C7891|袖珍模仿 (兒童的遊戲和玩耍)
43C8|體育,比賽,表演的場館所
43C81|更衣室 ~ 體育
43C9|舞蹈
43C91|單人獨舞
43C911|男性獨舞
43C912|女性獨舞
43C92|伴舞; 一對男女伴舞
43C921|一對女性伴舞
43C922|一對男性伴舞
43C923|邀舞
43C93|超過一對舞伴的舞蹈
43C93(...)|超過一對舞伴的舞蹈 (舞伴的數目)
43C94|團體舞
43C941|上層人士團體舞
43C942|民間舞蹈 (男女在一起)
43C9421|一組男子 (民間舞蹈)
43C9422|一組女子 (民間舞蹈)
43C943|圍繞某人或某物的團體舞 (民間舞蹈)
43C95|手拉手街舞
#43CC114|hunter - CC - female hunter, huntress
#43CC1141|assembling, 'départ pour la chasse' - CC - female hunter, huntress
#43CC1142|hunters hunting (N.B.: In 1988-1990 this notation denoted the concept of 43C11421 'hunters resting during the hunt') - CC - female hunter, huntress
#43CC11421|hunters resting during the hunt - CC - female hunter, huntress
#43CC1143|beaters (~ hunt) - CC - female hunter, huntress
#43CC1144|blowing the hunting horn - CC - female hunter, huntress
#43CC1145|'halali' (~ hunt) - CC - female hunter, huntress
#43CC1146|group-portrait of hunters - CC - female hunter, huntress
#43CC1149|return from the hunt - CC - female hunter, huntress
#43CC11491|hunting-seat, hunting lodge, 'rendez-vous de chasse', 'Jagdschloss' - CC - female hunter, huntress
#43CC737|playing with snow and ice - CC - adult(s) ~ snow and ice
#43CC7371|sliding (playing with snow and ice) - CC - adult(s) ~ snow and ice
#43CC7372|(making a) snowman - CC - adult(s) ~ snow and ice
#43CC73721|rolling up a snowball - CC - adult(s) ~ snow and ice
#43CC7373|throwing snowballs - CC - adult(s) ~ snow and ice
#43CC7374|with chair on ice - CC - adult(s) ~ snow and ice
#43CC7379|going through the ice ~ playing children - CC - adult(s) ~ snow and ice
43D|休閒時間的其它活動
43D1|手工, 愛好 (休閒時間的活動)
43D2|收集 (休閒時間的活動)
44|国家
44A|國家的符號 (一般)
44A1|盾形紋章 (作為國家的符號, 等等)
44A11|紋章 (作為國家的符號, 等等)
