5|Idées et Concepts Abstraits
71B352111|Sem et Japhet avancent à reculons vers Noé
71B3522|Noé se réveille de son somme et maudit Canaan, fils de Cham
71B35221|Noé maudit Cham (et Canaan)
71B353|Noé bénit ses fils Sem et Japhet
71B36|Noé au déclin de sa vie (Genèse 9:28-29)
71B361|Noé tire au sort et divise le monde entre ses fils, qui jurent solennellement d'être satisfaits de la partie assignée
71B362|mort et enterrement de Noé
71B37|les descendants de Noé (Genèse 10, 11:10-26)
71B371|histoire de Nemrod, le chasseur géant
71B3711|la construction de Ninive
71B4|histoire de la Tour de Babel (Genèse 11:1-9)
71B41|le voyage au pays de Shinéar
71B42|la Tour de Babel
71B421|la construction de la Tour de Babel; il se peut que Nemrod soit présent supervisant ou secondant la construction
71B4211|Dieu vient voir la Tour de Babel
71B422|destruction de la Tour de Babel
71B4221|la confusion des langues et la dispersion du peuple sur la terre ~ histoire de la Tour de Babel
71B42211|les ruines de la Tour de Babel
71C|Genèse : les patriarches
71C1|histoire d'Abraham
71C11|histoire d'Abraham (1re part.)
71C111|jeunesse d'Abraham (Genèse 11:29-32)
71C1111|Abraham épouse Sara
71C1112|Térah va avec Abraham, Sara et Lot d'Our (Ur) à la ville de Harân
71C1113|Abraham détruit les idoles de son père
71C11131|Térah livre Abraham au roi Nemrod, qui le condamne à être jeté au feu (ou à la fournaise) des Chaldéens; il est sauvé miraculeusement par Dieu
71C11132|Harân, le frère d'Abraham, ayant été témoin du miracle, décide de subir aussi l'épreuve du feu, mais est consumé d'emblée
71C1114|mort de Térah
71C112|Abraham dialoguant avec Dieu (en général)
71C113|Abraham va au pays de Canaan (Genèse 12:1-9)
71C1131|la vocation d'Abraham
71C1132|Abraham s'en va pour le pays de Canaan avec Sara, Lot et tous ses biens
71C1133|Abraham au pays de Canaan
71C11331|Abraham arrive à l'arbre sacré de Moré à Sichem, et bâtit son premier autel
71C11332|Abraham déplace son campement vers Béthel et bâtit son second autel
71C114|Abraham en Égypte (Genèse 12:10-20)
71C1141|une famine conduit Abraham du pays de Canaan en Égypte
71C1142|Abraham précise la conduite de Sara : 'tu es ma soeur'
71C1143|Sara attire l'attention des Égyptiens et est emmenée au palais du Pharaon
71C1144|Sara et le Pharaon
71C11441|Abraham est gratifié de présents par le Pharaon
71C11442|Dieu frappe le Pharaon d'un fléau ~ histoire d'Abraham
71C11443|Abraham est convoqué auprès du Pharaon, qui l'ordonne de quitter l'Égypte avec Sara
71C1145|Abraham quitte l'Égypte avec Sara, Lot, et tous ses biens
71C1146|Abraham enseignant l'astronomie aux Égyptiens
71C115|Abraham et Lot se séparant (Genèse 13)
71C1151|rentré au pays de Canaan, Abraham honore de nouveau Dieu à Béthel
71C1152|la querelle des bergers ~ histoire d'Abraham
71C1153|Abraham laisse à Lot le choix de la région où s'établir
71C1154|Lot s'établit à Sodome
71C11541|la méchanceté des habitants de Sodome
71C116|la guerre des rois et la délivrance de Lot (Genèse 14:1-17)
71C1161|le roi d'Élam et les trois rois alliés font la guerre aux cinq rois rebelles de Pentapolis
71C1162|le roi d'Élam et les trois rois alliés battent les cinq rois rebelles de Pentapolis; dans leur fuite deux des cinq rois tombent dans un puits de bitume, les trois autres s'enfuient dans les montagnes
71C1163|Sodome et Gomorrhe sont pillées; Lot est emmené en captivité
71C1164|la nouvelle de la capture de Lot est apportée à Abraham par un rescapé
71C1165|Abraham rassemble les hommes de son campement et se met à la poursuite des quatre rois
71C11651|les quatre rois sont attaqués de nuit, et battus par Abraham
71C11652|Abraham libère Lot, récupère les biens volés et rentre en triomphe
71C117|la rencontre d'Abraham et de Melchisédec, le grand-prêtre et roi de Salem, qui apporte du pain et du vin (Genèse 14:18-20)
71C1171|Melchisédec bénit Abraham
71C1172|Abraham donne à Melchisédec un dixième du butin récupéré
71C1173|Abraham rencontre le roi de Sodome (Genèse 14:21-24)
71C11731|Abraham refuse sa part du butin mais permet à certains de ses alliés de prendre leur part
71C118|alliance de Dieu avec Abraham (Genèse 15)
71C1181|Dieu promet à Abraham une descendance aussi nombreuse que les étoiles du firmament
71C11811|Abraham comptant les étoiles
71C1182|la promesse de Dieu à Abraham est garantie par un sacrifice
71C11821|Abraham apporte les animaux ~ sacrifice
71C118211|Abraham coupe en deux les animaux (sacrifice), sauf les oiseaux
71C11822|Abraham chasse les oiseaux qui s'abattent sur les carcasses
71C11823|Abraham s'endort ~ sacrifice
71C11824|la vision de la fournaise ardente et de la torche de feu dans la nuit ~ le sacrifice d'Abraham
71C119|Abraham et Hagar (Genèse 16)
71C1191|Abraham prend pour femme Hagar
71C11911|Sara amène Hagar à Abraham, qui est généralement figuré couché sur son lit
71C1192|Hagar enceinte, méprise Sara pour sa stérilité
71C11921|Sara se plaint à Abraham
71C1193|Hagar est maltraitée par Sara
71C11931|Hagar s'enfuit dans le désert
71C11932|un ange trouve Hagar près de la source sur le chemin de Shur et la persuade de rentrer
71C1194|Hagar retourne chez Abraham
71C11941|naissance d'Ismaël
71C12|histoire d'Abraham (2e part.)
71C121|circoncision, le signe de l'alliance ~ histoire d'Abraham (Genèse 17)
71C1211|Abraham est circoncis
71C1212|Ismaël et tous les hommes de la maison sont circoncis
71C122|la visite des trois anges (trois hommes), 'la philoxénie d'Abraham' ~ histoire d'Abraham (Genèse 18)
71C1221|alors qu'Abraham est assis à l'entrée de sa maison (ou tente), trois anges lui apparaissent
71C1222|Abraham s'agenouille devant les anges
71C1223|Abraham cherche de l'eau et lave les pieds des anges
71C1224|Abraham donne l'hospitalité aux trois anges
71C12241|Sara est priée de cuire des galettes
71C12242|Abraham ordonne la préparation d'un veau et d'autres aliments
71C12243|la promesse d'un fils est renouvelée; Sara, en l'entendant, rit incrédule
71C122431|Sara est réprimandée par Abraham
71C1225|Abraham reconduit les anges qui partent
71C12251|Dieu annonce à Abraham la destruction imminente de Sodome et de Gomorrhe, et promet d'épargner les villes s'il peut y trouver dix hommes justes
71C123|Lot et les deux anges, 'la philoxénie de Lot' (Genèse 19:1-23)
71C1231|deux anges en route vers Sodome
71C1232|les anges trouvent Lot assis dans la porte de la ville; celui-ci se lève et se prosterne devant eux
71C1233|Lot donnant l'hospitalité aux anges
71C12331|un repas est préparé pour les anges dans la maison de Lot
71C12332|une foule entoure la maison de Lot
71C12333|Lot essaie de pacifier la foule
71C12334|les deux anges interviennent et frappent de cécité la foule qui entoure la maison de Lot
71C1234|les anges conseillent à Lot de quitter la ville
71C12341|Lot avertit ses futurs gendres mais est raillé par eux
71C12342|les anges disent à Lot de presser son départ de la ville
71C124|la destruction de Sodome et Gomorrhe : Lot et sa famille fuient vers Çoar, en emportant leurs biens; il se peut qu'un ange les guide (Genèse 19:24-29)
71C1241|la femme de Lot se retourne pour voir la ville et est transformée en une colonne de sel
71C1242|Sodome et Gomorrhe en flammes
71C12421|Abraham voit la destruction de Sodome et Gomorrhe
71C125|Lot et ses filles (Genèse 19:30-38)
71C1251|Lot, voyant la destruction des villes et craignant pour sa sécurité à Çoar, fuit avec ses filles vers une grotte dans la montagne
71C1252|les filles de Lot enivrent leur père
71C12521|les filles de Lot couchent à tour de rôle avec leur père
71C1253|les filles de Lot mettent au monde Moab et Ben-Ammi
71C126|Abraham et Abimélek, roi de Gérar (Genèse 20)
71C1261|Abraham se rend à Gérar
71C1262|craignant pour sa vie Abraham dit de sa femme : 'elle est ma soeur'; Abimélek envoie prendre Sara
71C1263|le songe d'Abimélek : Dieu lui apparaît
71C12631|Abimélek raconte son rêve à ses serviteurs
71C1264|Abraham est appelé auprès d'Abimélek; Sara est rendue à Abraham, qui est gratifié de mille pièces d'argent et autres présents
71C1265|Abraham priant pour Abimélek
71C12651|la guérison d'Abimélek
71C127|naissance d'Isaac (Genèse 21:1-8)
71C1271|la circoncision d'Isaac
71C1272|Sara allaitant Isaac
71C1273|le festin d'Abraham au jour du sevrage d'Isaac
71C128|le bannissement d'Hagar et d'Ismaël (Genèse 21:9-21)
71C1281|Sara se plaint d'Ismaël auprès d'Abraham
71C1282|Abraham pourvoit Hagar et Ismaël de pain et d'une cruche d'eau
71C1283|Hagar et Ismaël (souvent avec un arc et des flèches) s'en vont
71C1284|Hagar et Ismaël dans le désert
71C12841|après avoir mis Ismaël sous un buisson, dans l'attente de sa mort, Hagar s'assied en pleurant
71C128411|un ange apparaît et révèle un puits d'eau à Hagar
71C12842|Ismaël grandit dans le désert et devient un chasseur habile
71C12843|mariage d'Ismaël
71C129|l'alliance entre Abraham et Abimélek (Genèse 21:22-34)
71C1291|Abimélek et le chef de son armée Pikol viennent auprès d'Abraham
71C1292|Abraham se plaint des puits dont s'étaient emparés les serviteurs d'Abimélek
71C1293|Abraham donne quelques moutons, boeufs et brebis à Abimélek
71C1294|Abimélek et Pikol quittent Abraham
71C1295|Abraham plante un arbre à Bersabée (Béer-Sheva)
71C13|histoire d'Abraham (3e part.)
71C131|le sacrifice d'Isaac (Genèse 22)
71C1311|Abraham avec Isaac, un âne et des serviteurs en route vers Moriyya
71C13111|les serviteurs restent en arrière pendant qu'Abraham et Isaac (généralement portant du bois) gravissent la montagne
71C1312|préparations du sacrifice, p.ex. Abraham ligotant Isaac
71C1313|Abraham prend le couteau pour tuer Isaac
71C13131|quand Abraham lève la main pour tuer Isaac, Dieu, ou la main de Dieu, le retient
71C131311|quand Abraham lève la main pour tuer Isaac, un ange le retient
71C1314|un bélier pris dans un fourré est sacrifié à la place d'Isaac
71C13141|le bélier du sacrifice ~ sacrifice d'Isaac
71C1315|le retour à Bersabée ~ Abraham et Isaac
71C13151|la nouvelle des fils de Nahor ~ Abraham et Isaac
71C132|la mort de Sara (Genèse 23)
71C1321|Abraham négociant une sépulture avec Éphrôn
71C13211|Abraham pèse quatre cents pièces d'argent
71C1322|l'enterrement de Sara dans la cave de Makpéla
71C2|histoire d'Isaac
71C21|Rébecca (Rebekah) demandée en mariage (Genèse 24)
71C211|le serment d'Éliézer : Abraham l'envoie dans sa parenté en Mésopotamie afin d'y trouver une épouse pour Isaac
71C212|Éliézer en route pour la Mésopotamie
71C2121|arrivé à la ville Éliézer fait agenouiller ses chameaux près d'un puits et prie pour des directives
71C213|la rencontre au puits : Éliézer voit venir Rébecca avec une jarre
71C2131|Rébecca au puits (sans Éliézer)
71C21311|Rébecca donne à boire de sa jarre à Éliézer
71C2132|Rébecca puise de l'eau pour les chameaux
71C2133|Rébecca reçoit d'Éliézer des boucles d'oreilles et des bracelets en or
71C2134|Rébecca rentre à la maison
71C2135|Laban, le frère de Rébecca, vient vers Éliézer au puits ~ Éliézer à la recherche d'une épouse pour Isaac
71C214|Éliézer dans la maison de Rébecca
71C2141|le mariage est conclu ~ histoire d'Isaac
71C2142|des vêtements, des objets d'or et d'argent sont offerts aux parents de Rébecca
71C2143|les parents de Rébecca reçoivent Éliézer
71C2144|le départ de Rébecca; Laban lui donne des provisions
71C215|le voyage du retour et l'arrivée à Canaan (Éliézer et Rébecca)
71C2151|Isaac, se promenant dans les champs, rencontre Rébecca
71C21511|Rébecca descend de son chameau et couvre son visage d'un voile
71C216|Isaac conduit Rébecca dans la tente de Sara
71C217|mariage d'Isaac et de Rébecca
71C22|fin de la vie et mort d'Abraham (Genèse 25:1-11)
71C221|Abraham épouse Qetura
71C222|Abraham donne à Isaac tout ce qui lui appartient
71C223|les fils des concubines reçoivent des présents d'Abraham
71C224|mort d'Abraham
71C2241|Abraham est enterré dans la cave de Makpéla par Isaac et Ismaël
71C23|suite de l'histoire d'Ismaël après la mort d'Abraham (Genèse 25:12-18)
71C231|les descendants d'Ismaël
71C232|mort et enterrement d'Ismaël
71C24|les enfants d'Isaac (Ésaü et Jacob) (Genèse 25:19-34)
71C241|Isaac prie le Seigneur de guérir la stérilité de Rébecca
71C242|Rébecca interroge Dieu sur la raison pour laquelle les enfants se battent entre eux dans son sein
71C243|naissance des jumeaux : Jacob s'agrippe au talon d'Ésaü
71C244|jeunesse d'Ésaü et de Jacob : Ésaü, le favori d'Isaac, devient un chasseur habile, tandis que Jacob, le favori de Rébecca, devient un cultivateur
71C2441|Ésaü, revenant de la chasse affamé, vend son droit d'aînesse à Jacob pour un potage aux lentilles
71C25|Isaac et Abimélek (Genèse 26:1-33)
71C251|une famine chasse Isaac vers le sud
71C2511|Dieu apparaît à Isaac et l'avertit de ne pas se rendre en Égypte
71C252|Isaac à Gérar
71C2521|Isaac nie que Rébecca soit son épouse
71C25211|le roi Abimélek, regardant par la fenêtre, voit les démonstrations d'amour d'Isaac et de Rébecca
71C25212|Isaac et Rébecca devant Abimélek
71C2522|Isaac prospère comme cultivateur et gardien de troupeaux
71C25221|les Philistins envieux remplissent de terre tous les puits d'Abraham
71C25222|Abimélek prie Isaac de quitter le pays
71C253|Isaac se déplace vers la vallée de Gérar
71C2531|de nouveaux puits sont creusés dans la vallée de Gérar
71C254|Isaac va à Bersabée
71C2541|Dieu apparaît à Isaac (en route vers Bersabée)
71C2542|Isaac dresse un autel
71C255|le traité avec Abimélek, qui est venu à Bersabée avec Pikol et Ahuuzzath
71C2551|le festin pour Abimélek
71C256|un puits est creusé à Bersabée
71C26|Ésaü prenant femmes (Genèse 26:34-35)
71C261|Ésaü épouse deux filles hittites : Judith et Basmat
71C262|Judith et Basmat sont un sujet d'amertume pour Isaac et Rébecca
71C27|Isaac donnant sa bénédiction (à Jacob et Ésaü) (Genèse 27)
71C271|Isaac, vieux et pratiquement aveugle, envoie Ésaü lui chercher du gibier; Rébecca entend la conversation
71C272|Ésaü chassant
71C273|Rébecca met Jacob au courant et le prie d'aller chercher deux chevreaux
71C2731|Jacob apportant les chevreaux à sa mère
71C2732|Rébecca préparant le repas d'Isaac
71C274|Isaac couché sur son lit bénit Jacob, qui, revêtu des habits d'Ésaü, apporte à manger à son père; les mains et la nuque de Jacob sont recouvertes de peaux de chevreau
71C2741|Isaac assis dans son lit bénit Jacob, qui, revêtu des habits d'Ésaü, apporte à manger à son père; les mains et la nuque de Jacob sont recouvertes de peaux de chevreaux
71C2742|Jacob quitte la chambre ~ histoire de la bénédiction d'Isaac
71C275|Ésaü revient avec du gibier
71C276|Ésaü demande à être béni par son père; Isaac réalise qu'il a par erreur béni Jacob au lieu d'Ésaü
71C2761|Jacob menacé par Ésaü
71C2762|Rébecca conseille à Jacob de fuir
71C28|Rébecca, excédée par les femmes d'Ésaü, se plaint à Isaac (Genèse 27:46)
71C3|histoire de Jacob
71C31|histoire de Jacob (1re part.)
71C311|Jacob quitte la maison; Ésaü se remarie (Genèse 28:1-10)
71C3111|Isaac envoie Jacob dans la famille de sa mère pour trouver une femme, et le bénit avant son départ
71C3112|les adieux de Jacob
71C3113|Jacob en route vers Harân
71C3114|Ésaü épouse Mahalat, fille d'Ismaël
71C312|Jacob à Béthel (Genèse 28:11-22)
71C3121|le songe de Jacob : couché sur le sol avec une pierre comme oreiller, Jacob voit une échelle, posée sur terre, dont le sommet atteint les cieux, et que des anges montent et descendent; généralement Dieu est au sommet de l'échelle
71C31211|le songe de Jacob, avec un escalier au lieu d'une échelle
71C31212|le songe de Jacob, avec un faisceau de lumière au lieu d'une échelle
71C31213|l'échelle de Jacob (seule)
71C3122|Jacob se réveille; il oint la pierre et nomme l'endroit Béthel
71C3123|Jacob fait voeu de n'adorer que Dieu
71C313|Jacob au puits de Harân (Genèse 29:1-13)
71C3131|Jacob trouve les bergers de Harân avec leurs troupeaux de moutons couchés autour du puits
71C3132|Jacob voit venir Rachel vers le puits pour y abreuver les moutons de Laban
71C31321|Rachel (seule) avec le troupeau de son père
71C3133|Jacob déplace la pierre qui bouchait le puits et abreuve les moutons de Rachel
71C3134|Jacob embrasse Rachel et fond en larmes
71C3135|Rachel annonce à Laban l'arrivée de Jacob
71C3136|Laban va au puits à la rencontre de Jacob et le ramène à la maison
71C314|Jacob au service de Laban pour Rachel et Léa (Genèse 29:14-30)
71C3141|Jacob demande à Laban la permission d'épouser Rachel
71C3142|Jacob travaille pendant sept ans comme berger pour la main de Rachel
71C3143|Jacob réclamant Rachel après sept ans
71C3144|les noces; Laban substitue Léa à Rachel
71C31441|Léa reçoit Zilpa comme servante
71C3145|après la nuit de noce Jacob découvre qu'il a été dupé avec Léa et se plaint à Laban
71C3146|le mariage de Jacob et de Rachel
71C31461|Rachel reçoit Bilha comme servante
71C3147|Jacob travaille sept années de plus pour Laban
71C315|les enfants de Jacob (Genèse 29:31 - 30:24)
71C3151|Léa met au monde quatre fils : Ruben, Siméon, Lévi et Juda
71C3152|Rachel se plaint d'être stérile à Jacob
71C31521|Rachel donne Bilha à Jacob
71C315211|naissance de Dan
71C315212|naissance de Nephtali
71C3153|Léa donne sa servante Zilpa à Jacob
71C31531|Zilpa met au monde deux fils : Gad et Asher
71C3154|Ruben apporte des mandragores à sa mère Léa
71C31541|Léa donne les mandragores à Rachel en échange d'une nuit avec Jacob
71C3155|Léa met au monde deux fils, Issachar et Zabulon, et une fille Dina
71C3156|Rachel accouche de Joseph
71C316|l'association avec Laban ~ histoire de Jacob (Genèse 30:25-43)
71C3161|Laban consent à donner comme salaire à Jacob tous les moutons et chèvres noirs ou mouchetés
71C3162|le bétail est partagé ~ l'association de Jacob avec Laban
71C3163|Jacob met des bâtons pelés dans les abreuvoirs pour que les bêtes produisent des petits mouchetés
71C31631|Jacob devient très riche
71C317|Jacob dialoguant avec Dieu (en général)
71C318|Jacob quitte Laban (Genèse 31:1-21)
71C3181|Jacob est accusé par les fils de Laban
71C3182|Jacob annonce le départ à ses femmes
71C3183|pendant que Laban tond ses brebis, Jacob et ses femmes préparent le départ; Rachel vole les idoles de son père
71C3184|Jacob en route vers Canaan avec sa famille, son cheptel, ses chameaux et tous ses biens
71C319|Laban à la poursuite de Jacob (Genèse 31:22-55)
71C3191|Laban est averti de la fuite de Jacob et se met à sa poursuite avec ses hommes
71C3192|Jacob est rattrapé (par Laban)
71C3193|Dieu apparaît en songe à Laban
71C3194|Laban, à la recherche des idoles, fouille les tentes et les biens de Jacob
71C31941|Rachel cache les idoles dans une selle de chameau et s'assied dessus
71C3195|Jacob et Laban concluent une alliance : un tas de pierres est érigé et une bête y est sacrifiée
71C3196|Jacob et Laban se quittant
71C32|histoire de Jacob (2e part.)
71C321|Jacob se prépare à rencontrer Ésaü (Genèse 32:1-23)
71C3211|Jacob rencontre les anges à Mahanaïm
71C3212|des messagers sont envoyés à Ésaü ~ histoire de Jacob
71C3213|Jacob prie Dieu pour qu'il le sauve d'Ésaü
71C3214|Jacob partage en deux camps ses gens et ses bêtes et envoie un troupeau comme présent à Ésaü
71C322|Jacob et l'ange (Genèse 32:24-32)
71C3221|Jacob fait traverser la rivière Yabboq à sa famille et sa caravane tandis qu'il reste en arrière
71C3222|Jacob lutte avec l'ange (ou l'homme) jusqu'à l'aube; la cuisse de Jacob est démise
71C32221|Jacob reçoit un nouveau nom, Israël, et est béni par l'ange
71C3223|Jacob nomme l'endroit Peniël (Penuel)
71C323|la réconciliation de Jacob et d'Ésaü (Genèse 33)
71C3231|alors que Ésaü, généralement représenté en guerrier, s'approche avec quatre cents hommes, Jacob répartit les enfants parmi ses femmes
71C3232|la rencontre d'Ésaü et de Jacob
71C32321|Jacob se prosterne
71C32322|Ésaü court à la rencontre de Jacob et l'embrasse
71C32323|les servantes approchent et rendent hommage à Ésaü
71C32324|les femmes et enfants de Jacob sont présentés à Ésaü
71C3233|Ésaü retourne à Séïr
71C3234|Jacob à Sukkot où il se bâtit une maison
71C3235|la marche de Jacob
71C3236|Jacob établit son camp sur un terrain près de la ville de Sichem
71C32361|Jacob achète pour cent pièces d'argent le terrain aux fils de Hamor
71C32362|Jacob bâtit un autel
71C324|Dina, la fille de Jacob, est déshonorée (Genèse 34)
71C3241|Dina est violée par Sichem
71C3242|Sichem avoue son amour pour Dina à son père Hamor
71C3243|Hamor et Sichem viennent vers Jacob, dont les fils reviennent tout juste des champs, pour demander Dina en mariage; les fils consentent à condition que les Sichémites se fassent circoncire
71C3244|Sichem et Hamor proposent la circoncision à leurs concitoyens
71C3245|Siméon et Lévi tuent tous les Sichémites et ramènent Dina à la maison, pendant que les autres frères pillent la ville
71C3246|Jacob réprimandant ses fils
71C325|le séjour de Jacob à Béthel (Genèse 35:1-15)
71C3251|Jacob débarrasse sa maison des idoles
71C32511|les idoles (et boucles-d'oreilles) sont enfouies sous un chêne à Sichem
71C3252|la marche vers Béthel ~ histoire de Jacob
71C3253|un autel est bâtit à Béthel ~ histoire de Jacob
71C3254|mort de Déborah, la nourrice de Rachel
71C3255|Dieu bénit Jacob, et le nomme Israël
71C3256|Jacob place une colonne de pierres à Béthel; Jacob la consacre en versant de l'huile dessus
71C326|mort de Rachel (Genèse 35:16-21)
71C3261|le départ de Béthel
71C3262|naissance de Benjamin : Rachel meurt en couches
71C32621|Rachel est enterrée sur le bord de la route vers Éphrata
71C326211|la tombe de Rachel
71C3263|Jacob se déplace vers la tour de Migdal-Édèr, ensuite vers Hébron
71C327|mort d'Isaac (Genèse 35:27-29)
71C3271|la visite de Jacob à Isaac ~ mort d'Isaac
71C3272|Isaac est enterré par Jacob et Ésaü
71C33|suite de l'histoire des fils de Jacob
71C331|la faute de Ruben : il met Jacob en colère en commettant l'adultère avec Bilha, la concubine de celui-ci (Genèse 35:22, 49:4)
71C332|histoire de Juda et Tamar (Genèse 38)
71C3321|Juda épouse la fille de Shua
71C33211|la femme de Juda met au monde trois fils : Er, Onân et Shéla
71C3322|les fiançailles de Tamar et d'Er
71C33221|mort d'Er
71C3323|Onân est prié d'épouser Tamar
71C33231|mort d'Onân
71C3324|Tamar est renvoyée dans la maison de son père
71C3325|mort de la femme de Juda
71C3326|Juda et Hira l'Adullamite vont à Timna pour la tonte des moutons de Juda
71C33261|on annonce à Tamar le déplacement de Juda vers Timna
71C3327|Tamar ôte ses vêtements de veuvage et se couvre le visage d'un voile à la façon des prostituées; assise à l'entrée de la ville au bord de la route vers Timna elle attend Juda
71C33271|les amours de Juda et de Tamar; il lui donne son sceau (ou anneau muni d'un sceau), des bracelets et un bâton
71C33272|Tamar (seule) avec les gages de Juda
71C33273|Tamar rentre à la maison (avec les gages de Juda)
71C33274|Hira avec le chevreau promis par Juda, cherche en vain Tamar
71C33275|la faute de Tamar est rapportée à Juda
71C33276|condamnée à être brûlée, Tamar montre le sceau (ou l'anneau muni d'un sceau), les bracelets et le bâton à Juda, qui les reconnaît comme étant les siens
71C3328|naissance de jumeaux : Péreç et Zérah
71C34|suite de l'histoire d'Ésaü (Genèse 36; 1 Chroniques 1:35-54)
71C341|les enfants d'Ésaü
71C342|Jacob et Ésaü se quittant; Ésaü se déplace avec tous ses biens vers Édom
71C343|les descendants de Séïr le Horite, les habitants originaires d'Édom
71C344|les rois qui ont régné sur Édom
71D|Genèse : histoire de Joseph
71D1|histoire de Joseph (1re part.)
71D11|Joseph encourt la haine de ses frères (Genèse 37:1-11)
71D111|Joseph gardant les moutons et les chèvres avec ses frères
71D112|ayant été témoin d'une mauvaise action de ses frères, Joseph rapporte le fait à son père
71D113|Jacob donne à Joseph une tunique multicolore
71D114|les frères de Joseph sont pleins de ressentiments et se plaignent auprès de leur père
71D115|les rêves de Joseph
71D1151|premier rêve de Joseph : les onze gerbes de blé de ses frères entourent celle de Joseph et s'inclinent
71D11511|Joseph raconte son premier rêve
71D1152|second rêve de Joseph : le soleil, la lune et onze étoiles donnent des marques de respect à Joseph
71D11521|Joseph raconte son second rêve
71D1153|Joseph raconte ses rêves (les deux rêves combinés)
71D116|Jacob gronde Joseph pour ses rêves
71D1161|Jacob méditant sur les rêves de Joseph
71D12|Joseph vendu en esclavage et emmené en Égypte (Genèse 37:12-35
71D121|Jacob envoie Joseph vers ses frères, qui font paître le troupeau de leur père à Sichem
71D122|Joseph en cours de route (rencontrant éventuellement un ange)
71D1221|à Sichem Joseph rencontre un homme qui l'informe que ses frères sont partis pour Dotân
71D123|les frères aperçoivent de loin Joseph qui arrive et complotent sa mort
71D1231|Ruben intervient dans le complot de la mort de Joseph
71D124|les frères dépouillent Joseph de sa tunique
71D1241|Joseph est jeté dans une fosse (généralement représentée par un puits ou une citerne)
71D12411|Joseph est descendu dans une fosse à l'aide de cordes ou d'une poulie
71D125|pendant que les frères de Joseph mangent, une caravane de marchands Ismaélites (Madianites) passe : Juda propose de leur vendre Joseph
71D1251|Joseph est retiré de la fosse
71D1252|Joseph est vendu pour vingt pièces d'argent
71D1253|le départ de Joseph (après avoir été vendu par ses frères)
71D126|Joseph en route vers l'Égypte avec les Ismaélites (Joseph peut être représenté pleurant sur la tombe de sa mère qu'ils viennent à passer)
71D127|Ruben trouve la fosse vide et déchire ses vêtements de douleur
71D1271|les frères de Joseph tuent un chevreau
71D12711|les frères de Joseph tachent la tunique de Joseph avec le sang du chevreau
71D128|la tunique tachée de Joseph est apportée et montrée à Jacob
71D1281|Jacob déchire ses vêtements en reconnaissant la tunique
71D1282|Jacob plongé dans le deuil pour Joseph; ses fils et filles sont incapables de le consoler
71D13|Joseph dans la maison de Putéphar; la chasteté de Joseph (Genèse 37:36, 39:1-20)
71D131|Joseph est vendu à Putéphar
71D132|Joseph trouve faveur aux yeux de Putéphar; celui-ci lui confie l'intendance de ses biens, qui prospèrent 'dans sa maison et dans ses champs'
71D133|la femme de Putéphar tente de séduire Joseph
71D1331|la femme de Putéphar le saisit par son vêtement, généralement alors qu'elle est couchée sur son lit; Joseph s'échappe en laissant son vêtement dans ses mains (peut-être en présence d'un enfant nu couché dans un berceau)
71D134|la femme de Putéphar devant son mari : elle accuse Joseph d'avoir voulu la violer et utilise son vêtement comme preuve
71D135|Joseph est arrêté et envoyé en prison
71D14|Joseph en prison (Genèse 39:21-23, 40)
71D141|Joseph gagne la faveur du geôlier; les autres prisonniers sont mis sous sa garde
71D142|le Pharaon condamne son grand échanson et son panetier ~ histoire de Joseph
71D143|en prison l'échanson et le panetier sont mis sous la garde de Joseph
71D144|l'échanson et le panetier ont tous deux un rêve la nuit
71D1441|le rêve de l'échanson : une vigne à trois sarments dont les fruits sont pressés par l'échanson dans la coupe du roi
71D14411|Joseph interprète le rêve de l'échanson
71D1442|le rêve du panetier : des oiseaux picorent dans trois corbeilles de pain
71D14421|Joseph interprète le rêve du panetier
71D145|Joseph interprétant les rêves de l'échanson et du panetier (les deux rêves combinés)
71D146|l'accomplissement des rêves : le Pharaon remet l'échanson à son ancien poste, mais le panetier est pendu ~ histoire de Joseph
71D15|l'interprétation des rêves du Pharaon (Genèse 41:1-36)
71D151|les rêves du Pharaon ~ histoire de Joseph
71D1511|premier rêve du Pharaon : sept vaches grasses dévorées par sept vaches maigres ~ histoire de Joseph
71D1512|second rêve du Pharaon : sept épis de blé maigres dévorent sept épis gras ~ histoire de Joseph
71D152|le Pharaon envoie appeler tous les magiciens d'Égypte ~ histoire de Joseph
71D153|l'échanson se souvenant de Joseph le recommande (comme interprète) au Pharaon
71D154|Joseph est convoqué auprès du Pharaon et relâché de prison
71D155|Joseph interprétant les rêves du Pharaon
71D1551|l'interprétation du rêve des vaches maigres et des vaches grasses
71D1552|l'interprétation du rêve des épis de blé maigres et des épis de blé gras
71D1553|les sept années d'abondance (allég.)
71D1554|les sept années de disette (allég.)
71D16|avancement et mariage de Joseph (Genèse 41:37-57)
71D161|le Pharaon ôte son anneau-sigillaire et le met au doigt de Joseph; Joseph est nommé surintendant
71D162|le triomphe de Joseph : revêtu d'habits royaux il monte, précédé d'un héraut, un des chars du Pharaon
71D163|Joseph et Asnat
71D1631|Joseph reçoit Asnat, fille du prêtre Poti-Phéra, pour femme
71D1632|naissance de Manassé
71D1633|naissance d'Éphraïm
71D1634|la conversion d'Asnat : elle jette ses idoles par la fenêtre
71D1635|la conspiration du fils du Pharaon contre Joseph et Asnat
