5|Ideas abstractas y conceptos
71C122431|Sara recibe una reprimenda de Abraham
71C1225|Abraham acompaña a los angeles que se marchan
71C12251|Dios anuncia a Abraham la destrucción inminente de Sodoma y Gomorra, y promete no destruir las ciudades si puede encontrar diez hombres justos
71C123|Lot y los dos angeles (Genesis 19:1-23)
71C1231|dos angeles en camino hacia Sodoma
71C1232|los angeles encuentran a Lot sentado a la puerta de la ciudad; éste se levanta y se arrodilla ante ellos
71C1233|Lot agasaja a los angeles
71C12331|se prepara una comida para los angeles en casa de Lot
71C12332|una muchedumbre rodea la casa de Lot
71C12333|Lot intenta calmar la multitud
71C12334|los dos angeles intervienen y golpean a ciegamente a la multitud que rodea la casa de Lot
71C1234|los angeles aconsejan a Lot que abandone la ciudad
71C12341|Lot advierte a sus futuros yernos pero se ríen de él
71C12342|los angeles apremian a Lot para que abandone la ciudad
71C124|la destrucción de Sodoma y Gomorra: Lot y su familia huyen a Zoar, llevandose sus pertenencias; puede que un ángel les guíe (Génesis 19:24-29
71C1241|la mujer de Lot se vuelve a mirar a la ciudad y es transformada en estatua de sal
71C1242|Sodoma y Gomorra en llamas
71C12421|Abraham presencia la destrucción de Sodoma y Gomorra
71C125|Lot y sus hijas (Génesis 19:30-38)
71C1251|Lot, viendo la destrucción de laas ciudades y temiendo por la seguridad de Zoar huye con sus hijas a una gruta en las montañas
71C1252|las hijas de Lot embriagan a su padre
71C12521|las hijas de Lot se acuestan con su padre por turnos
71C1253|las hijas de Lot dan a luz a Moab y a Ben-Amí
71C126|Abraham y Abimelec, rey de Gerar (Génesis 20)
71C1261|el viaje de Abraham a Gerar
71C1262|temiendo por su vida Abraham dice de su mujer: 'es mi hermaná; Abimelec manda a buscar a Sara
71C1263|el sueño de Abimelec: Dios se le aparece
71C12631|Abimelec cuenta su sueño a sus sirvientes
71C1264|Abraham es requerido ante Abimelec; Sara es devuelta a Abraham, que es recompensado con mil piezas de plata y otros regalos
71C1265|Abraham orando por Abimelec
71C12651|la curación de Abimelec
71C127|nacimiento de Isaac ( Génesis 21:1-8
71C1271|circuncisión de Isaac
71C1272|Sara amamantando a Isaac
71C1273|el banquete de Abraham el d'ia del destete de Isaac
71C128|el destierro de Hagar y de Ismael (Génesis 21:9-21)
71C1281|Sara se queja de Ismael a Abraham
71C1282|Abraham provee a Hagar e Ismael de pan y un odre de agua
71C1283|Hagar e Ismael (a menudo con un arco y flechas) se van
71C1284|Hagar e Ismael en el desierto
71C12841|Hagar se sienta a llorar tras recostar a Ismael moribundo bajo un arbusto
71C128411|un ángel aparece y revela un pozo de agua a Hagar
71C12842|Ismael crece en el desierto y se convierte en hábil cazador
71C12843|boda de Ismael
71C129|la alianza entre Abraham y Abimelec (Génesis 21-22-34)
71C1291|Abimelec y el jefe de su ejército (Ficol) llegan ante Abraham
71C1292|Abraham se queja de un pozo del que se apropiaron los sirvientes de Abimelec
71C1293|Abraham le dá unas ovejas, terneros y cabras a Abimelec
71C1294|Abimelec y Ficol dejan a Abraham
71C1295|Abraham planta un árbol en Beerseba
71C13|historia de Abraham (3era parte)
71C131|el sacrificio de Isaac (Génesis 22)
71C1311|Abraham con Isaac, un asno y sirvientes en camino hacia Moria
71C13111|los sirvientes se quedan atrás mientras Abraham e Isaac (normalmente cargados con leña) suben a la montaña
71C1312|preparativos para el sacrificio, p.ej. Abraham atando a Isaac
71C1313|Abraham toma el cuchillo para matar a Isaac
71C13131|cuando Abraham levanta la mano para matar a Isaac, Dios, o la mano de Dios, le detienen
71C131311|cuando Abraham levanta la mano para matar a Isaac, un ángel le detiene
71C1314|un carnero enredado en la maleza es sacrificado en lugar de Isaac
71C13141|el carnero del sacrificio ~ sacrificio de Isaac
71C1315|la vuelta a Beerseba ~ Abraham e Isaac
71C13151|las noticias de los hijos de Najor ~ Abraham e Isaac
71C132|la muerte de Sara (Génesis 23)
71C1321|Abraham negociando con Efrón acerca de un sepulcro
71C13211|Abraham pesa cuatrocientas piezas de plata
71C1322|entierro de Sara en la cueva de Machpelah
71C2|historia de Isaac
71C21|Rebeca pedida en matrimonio (Génesis 24)
71C211|el juramento de Eliezer: Abraham le envía a sus parientes de Mesopotamia a buscar esposa para Isaac
71C212|Eliezer en camino hacia Mesopotamia
71C2121|llegando a la ciudad Eliezer hace arrodillarse a sus camellos junto a un pozo y ora pidiendo orientación
71C213|el encuentro en el pozo: Eliezer ve venir a Rebeca con un cántaro
71C2131|Rebeca en el pozo (sin Elezer)
71C21311|Rebeca da de beber a Eliezer  de su cántaro
71C2132|Rebeca saca agua para los camellos
71C2133|Rebeca recibe de Eliezer anillos y pulseras de oro
71C2134|Rebeca vuelve a casa
71C2135|Labán, el hermano de Rebeca, va hacia Eliezer junto al pozo ~ Eliezer buscando esposa para Isaac
71C214|Eliezer en casa de Rebeca
71C2141|el acuerdo de matrimonio ~ historia de Isaac
71C2142|vdestidos, oro y joyas son ofrecidos a los padres de Rebeca
71C2143|Eliezer es agasajado por los padres de Rebeca
71C2144|la despedida de Rebeca; Labán le da provisiones
71C215|el viaje de vuelta y la llegada a Canaan ( Eliezer y Rebeca)
71C2151|Isaac, paseando por el campo,se encuentra con Rebeca
71C21511|Rebeca desciende de su camello y se cubre la cara con un velo
71C216|Isaac conduce a Rebeca a la tienda de Sara
71C217|boda de Isaac y de Rebeca
71C22|últimos años y muerte de Abraham (Génesis 25:1-11)
71C221|Abraham se casa con Quetura
71C222|Abraham le dá todas sus posesiones a Isaac
71C223|los hijos de las concubinas reciben regalos de Abraham
71C224|muerte de Abraham
71C2241|Abraham es enterrado en la cueva de Macpela por Isaac e Ismael
71C23|continuación de la historia de Ismael tras la muerte de Abraham (Génesis 25:12-18)
71C231|la descendencia de Ismael
71C232|muerte y entierro de Ismael
71C24|los hijos de Isaac (Esaú y Jacob) (Génesis 25:19-34)
71C241|Isaac ora al Señor para que cure la esterilidad de Rebeca
71C242|Rebeca pregunta a Dios por qué sus hijos pelean entre ellos en su vientre
71C243|nacimiento de los gemelos: Jacob se agarra al talón de Esaú
71C244|juventud de Esaú y Jacob: Esaú, el favorito de Isaac, se transforma en hábil cazador, mientras que Jacob, el favorito de Rebeca, se transforma en labrador
71C2441|Esaú, volviendo hambriento de la caza, vende sus derechos de primogénito a Jacob por un plato de lentejas
71C25|Isaac y Abimelec (Génesis 26:1-33)
71C251|la carestía lleva a Isaac hacia el sur
71C2511|Dios se aparece a Isaac y le avisa para que no vaya a Egipto
71C252|Isaac en Gerar
71C2521|Isaac niega que Rebeca sea su esposa
71C25211|el rey Abimelec, mirando por la ventana, ve el comportamiento amoroso  de Isaac y de Rebeca
71C25212|Isaac y Rebeca ante Abimelec
71C2522|prosperidad de Isaac como labrador y pastor
71C25221|los Filisteos envidiosos llenan de tierra todos los pozos de Abraham
71C25222|Abimelec pide a Isaac que abandone el país
71C253|Isaac se traslada al valle de Gerar
71C2531|se cavan nuevos pozos en el valle de Gerar
71C254|Isaac va a Beerseba
71C2541|Dios se aparece a Isaac (en camino hacia Beerseba)
71C2542|Isaac construye un altar
71C255|el tratado con Abimelec, que ha venido a Beerseba con Ficol y Ajuzat
71C2551|la fiesta para Abimelec
71C256|se cava un pozo en Beerseba
71C26|Esaú toma mujeres (Génesis 26:34-35)
71C261|Esaú esposa dos muchachas hititas: Judit y Basemat
71C262|Judit y Basemat motivo de aflicción para Isaac y Rebeca
71C27|bendición de Isaac (a Jacob y Esaú) (Génesis 27)
71C271|Isaac, viejo y casi ciego, manda a Esaú traer carne de venado; Rebeca escucha la conversación
71C272|Esaú cazando
71C273|Rebeca avisa a Jacob y le pide que le traiga dos cabritos
71C2731|Jacob lleva dos cabritos a su madre
71C2732|Rebeca prepara el guiso para Isaac
71C274|Isaac acostado en cama bendice a Jacob que, vestido con las ropas de Esaú, lleva el guiso a su padre; las manos y cuello de Jacob están cubiertos con la piel de los cabritos
71C2741|Isaac sentado en la cama bendice a Jacob que, vestido con las ropas de Esaú, lleva el guiso a su padre; las manos y cuello de Jacob están cubiertos con la piel de los cabritos
71C2742|Jacob abandona la habitación ~ historia de la bendición de Isaac
71C275|Esaú vuelve con el venado
71C276|Esaú pide la bendición a su padre; Isaac se da cuenta de que ha bendecido por error a Jacob en lugar de a Esaú
71C2761|Jacob amenazado por Esaú
71C2762|Rebeca a conseja a Jacob que huya
71C28|Rebeca, preocupada por las mujeres de Esaú, se queja a Isaac (Génesis 27-46)
71C3|historia de Jacob
71C31|historia de Jacob (1era parte)
71C311|Jacob abandona la casa; Esaú se vuelve a casar (Génesis 28:1-10)
71C3111|Isaac manda a Jacob con la familia de su madre a buscar esposa, y le bendice antes de partir
71C3112|despedida de Jacob
71C3113|Jacob en camino hacia Padán Aram
71C3114|Esaú esposa a Majalat, hija de Ismael
71C312|Jacob en Betuel (Génesis 28:11-22)
71C3121|el sueño de Jacob: mientras duerme en el suelo con una piedra por almohada, Jacob ve una escalinata que llega desde el suelo hasta el cielo,con angeles que suben y bajan; generalmente Dios está en lo alto de la escalinata
71C31211|el sueño de Jacob, con una escalera en lugar de una escalinata
71C31212|sueño de Jacob, con un haz de luz en lugar de una escalinata
71C31213|la escalinata de Jacob (sólo)
71C3122|Jacob se despierta, unge la piedra y nombra al lugar Betuel
71C3123|Jacob hace voto de no adorar más que a Dios
71C313|Jacob en el pozo de Aram (Génesis 29: 1-13)
71C3131|Jacob se encuentra a los pastores de Aram y a sus rebaños de ovejas echados alrededor del pozo
71C3132|Jacob ve a Raquel venir hacia el pozo a abrevar las ovejas de Labán
71C31321|Raquel (sola) con el rebaño de su padre
71C3133|Jacob mueve la piedra que tapa la boca del pozo y abreva las ovejas de Raquel
71C3134|Jacob besa a Raquel e irrumpe en llanto
71C3135|Raquel anuncia a Labán la llegada de Jacob
71C3136|Labán va al pozo en busca de Jacob y le lleva a su casa
71C314|Jacob al servicio de Labán por Raquel y Lia (Génesis 29:14-30)
71C3141|Jacob pide permiso a Labán para desposar a Raquel
71C3142|Jacob trabaja siete años como pastor a cambio de Raquel
71C3143|Jacob reclama a Raquel tras los siete años
71C3144|el banquete nupcial; Labán sustituye a Raquel por Lia
71C31441|Lia recibe a Zilpa por sirvienta
71C3145|tras la noche de bodas Jacob descubre que ha sido engañado con Lia y se queja a Labán
71C3146|la boda de Jacob y de Raquel
71C31461|Raquel recibe a Bilha por sirvienta
71C3147|Jacob trabaja otros siete años para Labán
71C315|los hijos de Jacob (Génesis 29:31 - 30:24)
71C3151|Lia alumbra cuatro hijos: Rubén, Simeón, Leví y Judá
71C3152|Raquel se queja a Jacob de que es estéril
71C31521|Raquel presenta a Bilha a Jacob
71C315211|nacimiento de Dan
71C315212|nacimiento de Neftali
71C3153|Lía presenta su sirvienta Zilpa a Jacob
71C31531|Zilpah alumbra dos hijos: Gad y Aser
71C3154|Rubén lleva mandrágora a su madre Lía
71C31541|Lía da la mandrágora a Raquel a cambio de una noche con Jacob
71C3155|Lía alumbra dos hijos: Isacar, Zabulón; y una hija Dina
71C3156|Raquel da a luz a José
71C316|la asociación con Labán ~ historia de Jacob (Génesis 30:25-43)
71C3161|Labán accede a dar a Jacob  como jornal todas las ovejas y las cabras negras y a manchas
71C3162|se divide el ganado ~ asociación de Jacob con Labán
71C3163|Jacob echa en los abrevaderos cañas descortezadas para que los animales salgan a manchas
71C31631|Jacob se hace muy rico
71C317|Jacob hablando con Dios (en general)
71C318|Jacob huye de Labán (Génesis 31:1-21)
71C3181|Jacob es acusado por los hijos de Labán
71C3182|Jacob anuncia la marcha a sus mujeres Lía y Raquel
71C3183|mientras Labán esquila sus ovejas, Jacob y sus mujeres se preparan para la marcha; Raquel roba los ídolos de su padre
71C3184|Jacob en camino hacia Canaán con su familia
71C319|Labán persigue a Jacob (Génesis 31:22-55)
71C3191|Labán es advertido de la huída de Jacob y sale con sus hombres en su persecución
71C3192|Jacob es capturado (por Labán)
71C3193|Dios se aparece en un sueño a Labán
71C3194|Labán registra las tiendas y pertenencias de Jacob en busca de sus ídolos
71C31941|Raquel esconde los ídolos en la silla de un camello y se sienta encima
71C3195|Jacob y Labán cierran una alianza : una pila de piedras es erigida y una bestia es sacrificada
71C3196|Jacob y Labán se separan
71C32|historia de Jacob (2da parte)
71C321|Jacob se prepara para el encuentro con Esaú (Génesis 32:1-23)
71C3211|Jacob se encuentra con los angeles en Majanaim
71C3212|se envían mensajeros a Esaú ~ historia de Jacob
71C3213|Jacob pide a Dios que le salve de Esaú
71C3214|Jacob divide en dos campamentos su gente y sus animales y envía ganado como regalo a Esaú
71C322|Jacob y el ángel (Génesis 32: 24-32)
71C3221|Jacob hace cruzar el río Yaboc a su familia y caravana, y él se queda atrás
71C3222|Jacob lucha con un ángel (o un hombre) hasta la aurora; se disloca la articulación del muslo a Jacob
71C32221|Jacob recibe un nuevo nombre, Israel, y es bendecido por el ángel
71C3223|Jacob nombra Penuel al lugar
71C323|la reconciliación de Jacob y Esaú (Génesis 33)
71C3231|cuando Esaú,generalmente representado como soldado,se acerca con cuatrocientos hombres, Jacob divide sus hijos entre sus esposas
71C3232|el encuentro entre Esaú y Jacob
71C32321|Jacob se postra en tierra
71C32322|Esaú corre a recibir a Jacob y le besa
71C32323|las criadas se acercan y rinden homenaje a Esaú
71C32324|las mujeres y los niños son presentados a Esaú
71C3233|Esaú vuelve a Seír
71C3234|Jacob en Sucot donde se construye una casa
71C3235|la marcha de Jacob
71C3236|Jacob establece su campamento en un campo cerca de la ciudad de Siquem
71C32361|Jacob compra el terreno a los hijos de Hamor por cien piezas de plata
71C32362|Jacob construye un altar
71C324|Dina, la hija de Jacob, es deshonrada (Génesis 34)
71C3241|Dina es violada por Siquem
71C3242|Siquem confiesa su amor por Dina a su padre Hamor
71C3243|Hamor y Siquem van a ver a Jacob, cuyos hijos acaban de volver del campo, a pedir a Dina en matrimonio; los hijos aceptan a condición de que los Siquemitas se circunciden
71C3244|Siquem y Hamor proponen la circuncisión a sus conciudadanos
71C3245|Simeón y Leví matan a todos los Siquemitas y llevan a Dina a casa, mientras los otros hermanos saquean la ciudad
71C3246|Jacob reconveniendo a sus hijos
71C325|la estancia de Jacob en Betuel (Génesis 35:1-15)
71C3251|Jacob purga su casa de ídolos
71C32511|los ídolos (y pendientes) son escondidos bajo un roble en Siquem
71C3252|el viaje a Betuel ~ historia de Jacob
71C3253|se construye un altar en Betuel ~ historia de Jacob
71C3254|muerte de Debora, la nodriza de Raquel
71C3255|Dios bendice a Jacob, y le nombra Israel
71C3256|Jacob levanta un pilar en Betuel; Jacob lo consagra vertiendo aceite encima
71C326|muerte de Raquel (Génesis 35:16-21)
71C3261|la marcha de Betuel
71C3262|nacimiento de Benjamín: Raquel muere durante el parto
71C32621|Raquel es enterrada junto al camino de Efrat
71C326211|la tumba de Raquel
71C3263|Jacob se traslada a la torre de Eder, y después a Hebrón
71C327|muerte de Isaac (Génesis 35:27-29)
71C3271|la visita de Jacob a Isaac ~ muerte de Isaac
71C3272|Isaac es enterrado por Jacob en Esaú
71C33|continuación de la historia de los hijos de Jacob
71C331|la ofensa de Rubén: enfurece a su padre cometiendo adulterio con Bilha, la concubina de Jacob (Génesis 35:22, 49:4)
71C332|historia de Juda y Tamar (Génesis 38)
71C3321|Juda esposa la hija de Súa
71C33211|la mujer de Juda le da tres hijos: Er, Onán y Sela
71C3322|los esponsales de Tamar y Er
71C33221|muerte de Er
71C3323|se pide a Onán que se case con Tamar
71C33231|muerte de Onán
71C3324|Tamar es devuelta a casa de su padre
71C3325|muerte de la mujer de Juda
71C3326|Juda y Jira la Adulamita van a Timnat, donde se están esquilando las ovejas de Juda
71C33261|se avisa a Tamar del viaje de Juda a Timnat
71C3327|Tamar se cambia sus ropas de viuda y se cubre la cara con un velo a la manera de las prostitutas; sentada a la entrada de la ciudad junto al camino de Timnat espera a Juda
71C33271|los amores de Juda con Tamar; él le dá su sello (o anillo con su sello), pulseras y un bastón
71C33272|Tamar (sola) con las prendas de Juda
71C33273|Tamar vuelve a casa (con las prendas de Juda)
71C33274|Jira con el cabrito prometido por Juda, busca en vano a Tamar
71C33275|se informa a Juda de la falta de Tamar
71C33276|condenada a ser quemada, Tamar muestra el sello (o anillo con sello),las pulseras y el bastón a Juda, que les reconoce como suyos
71C3328|nacimiento de los gemelos: Fares y Zéraj
71C34|continuación de la historia de Esaú (Génesis 36; 1 Crónicas 1:35-54)
71C341|los hijos de Esaú
71C342|Jacob y Esaú se despiden; Esaú se traslada con todos sus bienes a Edom
71C343|los descendientes de Seir la Horita, los habitantes originarios de Edom
71C344|los reyes que reinaron en Edom
71D|Génesis:la historia de José
71D1|historia de José (1era parte)
71D11|José incurre en el odio de sus hermanos (Génesis 37:1-11)
71D111|José pastoreando las ovejas y las cabras con sus hermanos
71D112|habiendo presenciado una mala acción de sus hermanos, José informa a su padre
71D113|Jacob dá a José una túnica multicolor
71D114|los hermanos de José están resentidos y se quejan a su padre
71D115|los sueños de José
71D1151|primer sueño de José: las once gavillas de trigo de sus hermanos rodean la gavilla de José y se postran ante ella
71D11511|José relata su primer sueño
71D1152|segundo sueño de José: el sol, la luna, y once estrellas se postran ante José
#71D11521|Joseph relates his second dream
71D1153|José relata sus sueños (los dos sueños combinados)
71D116|Jacob reprende a José por sus sueños
71D1161|Jacob medita acerca de los sueños de José
71D12|José vendido como esclavo y llevado a Egipto (Génesis 37:12-35)
71D121|Jacob manda a José donde sus hermanos, que estaban cuidando los rebaños de su padre en Siquén
71D122|José en camino (puede encontrarse con un ángel)
71D1221|en Siquén José se encuentra con un hombre que le informa de que sus hermanos se han marchado hacia Dotán
71D123|los hermanos vieron a José desde lejos y maquinan su muerte
71D1231|Rubén interviene en el complot de la muerte de José
71D124|los hermanos despojan a José de su túnica
71D1241|José es arrojado a un foso (normalmente representado como un pozo o una cisterna)
71D12411|José es descendido al foso con ayuda de cuerdas o de una polea
71D125|mientras los hermanos de José comen, pasa una caravana de comerciantes Ismaelitas (Medianitas): Judá propone que les vendan a José
71D1251|José es sacado del foso
71D1252|José es vendido por veinte piezas de plata
71D1253|la marcha de José (tras haber sido vendido por sus hermanos)
71D126|José en camino hacia Egipto con los Ismaelitas ((José puede estar representado llorando en la tumba de su madre por la que pasan
71D127|Rubén encuentra lel foso vacío y se rasga las vestiduras
71D1271|los hermanos de José matan un cabrito
71D12711|los hermanos de José manchan la túnica de José con la sangre del cabrito
71D128|la túnica manchada de José es llevada y enseñada a Jacob
71D1281|Jacob se rasga las vestiduras al reconocer la túnica
71D1282|Jacob guarda duelo por José; sus hijos e hijas son incapaces de consolarlo
71D13|José en casa de Putifar; la castidad de José (Génesis 37:36, 39:1-20)
71D131|José es vendido a Putifar
71D132|José favorecido por Putifar: le confía la administración de su hogar que prospera tanto en casa como en el campo
71D133|la mujer de Putifar intenta seducir a José
71D1331|la mujer de Putifar agarra a José por el traje, normalmente estando tumbada en la cama; José se escapa dejando el traje en sus manos ( puede haber un niño desnudo echado en una cuna
71D134|la mujer de Putifar ante su marido: ella acusa a José de intentar violarla,usando el manto como prueba
71D135|José es arrestado y enviado a prisión
71D14|José en prisión (Génesis 39:21-23, 40)
71D141|José cae en gracia al jefe de la cárcel; se le encomiendan los presos de la cárcel
71D142|el Faraón condena al jefe de los coperos y de los panaderos ~ historia de José
71D143|en prisión el copero y el panadero son puestos a cargo de José
71D144|el copero y el panadero tienen un sueño durante la noche
71D1441|el sueño del copero: la vid con tres ramas cuyos frutos exprime el copero en la copa del rey
71D14411|José interpreta el sueño del copero
71D1442|el sueño del panadero:las aves picoteando las tres cestas de pan
71D14421|José interpreta el sueño del panadero
71D145|José interpreta los sueños del copero y del panadero (los dos sueños combinados)
71D146|el cumplimiento de los sueños: el Faraón restaura al copero a su antiguo puesto, pero hace ahorcar al panadero ~ historia de José
71D15|la interpretación de los sueños del Faraón (Génesis 41:1-36)
71D151|los sueños del Faraón ~ historia de José
71D1511|primer sueño del Faraón: siete vacas gordas son devoradas por siete vacas flacas ~ historia de José
71D1512|segundo sueño del Faraón: siete espigas secas devoran siete espigas granadas y llenas ~ historia de José
71D152|el Faraón manda traer a todos los magos de Egipto ~ historia de José
71D153|el copero se acuerda de José y le recomienda (como intérprete) al Faraón
71D154|José es convocado ante el Faraón y liberado de la prisión
71D155|José interpretando los sueños del Faraón
71D1551|interpretación del sueño de las vacas flacas y las vacas gordas
71D1552|interpretación del sueño de las espigas secas y las espigas llenas
71D1553|los siete años de abundancia (aleg.)
71D1554|los siete años de escaséz (aleg.)
71D16|ascenso y boda de José (Génesis 41: 37-57)
71D161|el Faraón se quita el anillo del sello y se lo pone a José; José es nombrado superintendente
71D162|el triunfo de José: vestido con atuendo real monta en una de las carrozas del Faraón, precedido por un heraldo
71D163|José y Asenat
71D1631|José recibe por esposa a Asenat, hija del sacerdote Potifera
71D1632|nacimiento de Manasés
71D1633|nacimiento de Efraín
71D1634|la conversión de Asenat: arroja sus ídolos por la ventana
71D1635|la conspiración del hijo del Faraón contra José y Asenat
71D16351|Asenat y sus guardias son atacados por los hombres de Dan y Gad, que se habían unido a la conspiración del hijo del Faraón; Asenat consigue escapar en su carro con Benjamín
71D16352|Benjamín golpea con una piedra al hijo del Faraón
71D16353|Simeón y Leví llevan al hijo herido ante el Faraón
71D164|José como superintendente del Faraón
71D1641|José toma medidas para el tiempo de escaséz y almacena grano
71D1642|la escasez sobreviene en Egipto
71D16421|los egipcios imploran que se les dé pan
71D164211|José abre los almacenes y vende grano
71D17|primer viaje de los hermanos de José a Egipto (Génesis 42)
71D171|Jacob oye que se vende grano en Egipto
71D1711|José tira trigo al río
71D1712|Jacob manda a sus diez hijos a Egipto a comprar grano y deja al pequeño, Benjamín, en casa
71D172|los diez hermanos de José en camino hacia Egipto
71D173|admitidos en presencia de José, los hermanos se postran ante él
71D1731|José acusa a sus hermanos de ser espías y les mete en prisión
71D174|los hermanos de José son liberados de la cárcel
71D175|José anuncia a sus hermanos que retendrá a uno de ellos en la cárcel como rehén, y envía a los otros a casa a buscar a Benjamín
71D1751|los hermanos de José recuerdan el daño que hicieron a José y se arrepienten; éste oye la conversación y se aleja llorando
71D1752|José vuelve, elige a Simeón y le hace encadenar
71D176|a los hermanos de José se les da grano; José ordena que se meta dinero a escondidas en sus sacos
71D177|los hermanos de José cargan sus asnos y se van de Egipto
71D1771|en el campamento, uno de los hermanos de José encuentra el dinero en su saco
71D178|de vuelta en casa de Jacob en tierra de Canaán, los hermanos de Jacob vacían sus sacos y cada uno descubre una bolsa con dinero
71D1781|Jacob se niega a que se lleven a Benjamín a Egipto a pesar de las exhortaciones de Rubén
71D18|segundo viaje de los hermanos de José a Egipto (Génesis 43)
71D181|Judá persuade a Jacob, que afligido consiente en la marcha de Benjamín
71D1811|despedida de Jacob y Benjamín
71D182|los hermanos de José en camino hacia Egipto con Benjamín y con regalos para José
71D183|José recibe a sus hermanos y a Benjamín
71D1831|José hace preparar en su casa un banquete para sus hermanos
71D1832|a la puerta de la casa de José sus hermanos hablan con el administrador; les traen a Simeón
71D1833|preparativos para el banquete en casa de José
71D18331|los hermanos de José se lavan los pies
71D184|cuando José llega a casa recibe a sus hermanos; éstos se postran ante 'el y le ofrecen los regalos
71D1841|al ver a Benjamín, José se conmueve y abandona la habitación
71D18411|José se lava el rostro
71D185|el banquete en casa de José: la sorpresa de sus hermanos al ser sentados de acuerdo con su edad;Benjamín es agasajado con más comida
71D1851|José sosteniendo su copa adivinatoria revela el nombre y la edad de cada uno de sus hermanos
71D19|la copa desaparecida ~ historia de José (Génesis 44-45)
71D191|José hace esconder su copa de plata en el saco de Benjamín
71D192|los hermanos de José se disponen a partir
71D1921|los sirvientes de José en persecución de sus hermanos
71D1922|la copa es hallada en el saco de Benjamín
71D1923|los hermanos de José vuelven a la ciudad
71D193|los hermanos ante José: Judá aboga por Benjamín y ofrece quedarse como esclavo en su lugar
71D1931|José revela su identidad y rompiendo en lágrimas perdona a sus hermanos por sus malas acciones pasadas
71D194|el Faraón envía a los hermanos de José en carros a buscar a sus familias y a Jacob
71D195|los hermanos de José en carros y con asnos cargados de grano vuelven a casa de Jacob
71D196|Jacob se entera de la situación privilegiada de José
71D2|historia de José (2nda parte)
71D21|Jacob y su familia van a Egipto (Génesis 46:1-27)
71D211|Jacob ofreciendo un sacrificio a Berseba
71D212|la visión de Jacob: Dios se le aparece por la noche y autoriza su viaje a Egipto
71D213|Jacob con su familia,ganado y posesiones parten hacia Egipto con los carros
71D22|Jacob y su familia en Egipto (Génesis 46:28-34, 47:1-12)
71D221|Judá es enviado por delante para anunciar la llegada de Jacob
71D2211|José va a Gosén al encuentro de su padre
71D222|el encuentro de Jacob y José en Gosén
71D223|José y cinco de sus hermanos anuncian al Faraón la llegada de Jacob
71D224|Jacob es presentado al Faraón por José
71D225|Jacob y sus hijos se establecen en la tierra de Gosén
71D226|José abastece de comida a su padre, hermanos y sus familias
71D23|la carestía en Egipto (continuación) (Génesis 47:13-26)
71D231|los egipcios imploran pan; venden su ganado a cambio de grano
71D232|los egipcios venden sus tierras para comprar grano; todo el país se convierte en propiedad del Faraón, excepto la tierra perteneciente a los sacerdotes
71D2321|José decreta que un quinto de la producción del suelo debe pertenecer al rey
71D24|Jacob al final de su vida (Génesis 47:27 , 49:32)
71D241|el viejo Jacob manda llamar a José y le hace jurar que será enterrado en Canaán
71D242|José lleva a sus dos hijos,Manasés y Efraín, cerca del lecho de Jacob
71D2421|Jacob bendice a Manasés y a Efraín con los brazos cruzados; Jacob puede estar representado intentando descruzarles, o expresando (con Asenat) su desaprobación
71D24211|Jacob bendice a Manasés y a Efraín con los brazos sin cruzar
71D2422|Jacob bendice a José
71D243|Jacob bendice a sus hijos
71D2431|Jacob bendice a Judá: 'Judá es un cachorro de león '
71D24311|el león de Judá
71D2432|Jacob maldiciendo a Simeón y a Leví
71D25|la muerte de Jacob (Génesis 49:33, 50:1-14)
71D251|José ordena embalsamar a Jacob
71D252|José hace llevar con gran pompa el cadaver de su padre a Canaán
71D253|Jacob es enterrado en la cueva de Macpela
71D254|José y sus hermanos vuelven a Egipto
71D26|últimos años de José (Génesis 50:15-26)
71D261|los hermanos de José temen una posible venganza de José y suplican su perdón
71D262|muerte de José
71E|Exodo, Levítico, Números, Deuteronomio, Josué: de la opresión de los Israelitas en Egipto a su establecimiento en Canaán
71E1|el libro del Exodo: historia de Moisés y de Aarón
71E11|Exodo (1era parte): acontecimientos que preceden y preparan la salida de Egipto del pueblo de Israel
71E111|opresión de los israelitas en Egipto (Exodo 1)
71E1111|los descendientes de Jacob se multiplican
71E1112|el Faraón ordena el hostigamiento de los israelitas
71E1113|los israelitas son sometidos a trabajos forzados ~ Exodo
71E11131|los israelitas construyen las ciudades de Pitom y Ramses
71E11132|los israelitas hacen ladrillos ~ Exodo
71E11133|los israelitas trabajan en el campo ~ Exodo
71E1114|el Faraón ordena a Séfora y a Fua, las dos comadronas, que maten a todos los niños varones israelitas
71E11141|las dos comadronas desobedecen la orden
71E11142|el Faraón interroga a las comadronas
71E1115|el Faraón decreta que se ahogue a todo recién nacido varón de los israelitas
71E112|nacimiento y educación de Moisés (Exodo 2:1-10)
71E1121|la boda de los padres de Moisés
71E1122|nacimiento de Moisés
71E11221|la madre de Moisés, Jochebed, le esconde durante tres meses
71E11222|fabrica un arca (o una cesta) de mimbre embadurnada de pez y coloca  en  ella a Moisés
71E1123|Moisés es depositado en el arca junto a la orilla del Nilo; Miriam, la hermana de Moises, vigila
71E11231|Moisés (solo) entre los juncos
71E1124|Moisés es descubierto: la hija del Faraón baja a bañarse con sus sirvientas al río y descubre al niño flotando en el agua
71E11241|Moisés es sacado del agua por las sirvientas
71E1125|Moisés es, o bien mostrado a la hija del Faraón, o rodeado de mujeres acariciandole
71E11251|Miriam convence a la hija del Faraón de que confíe Moises a una nodriza hebrea
