9|ギリシャ・ローマ神話と古代史
92L72168|ケイローンの死: ヘルクレスのケンタウロスに対する戦で, 彼はヘルクレスの矢で膝に致命的な傷を負う
92L721681|ケイローンはヘルクレスが彼と若いアキレウスのもとを訪れた時, 偶然傷つけられる
92L721682|ケイローンはプロメテウスのために不死の能力を放棄する
92L72169|ケイローンの神格化: 彼は星座になる
92L7217|ケイローン (の物語) - 特定の局面, 寓意的局面, 守護者としての
92L72178|ケイローン (の物語) - 凱旋
92L72179|ケイローン (の物語) - 神格化
92L7218|ケイローン (の物語) - 象徴
92L7219|ケイローン (の物語) - 子孫, 仲間(たち), お供 etc.
92L722|ポロス (の物語)
92L7221|ポロス (の物語) - 幼少期, 若い盛り
92L72211|ポロス (の物語) - 誕生
92L72212|ポロス (の物語) - 幼年期, 育成
92L7222|ポロス (の物語) - 情事
92L7223|ポロス (の物語) - 最も重要な行い
92L7224|ポロス (の物語) - 攻撃的かつ非友好的な活動と関係
92L7225|ポロス (の物語) - 非攻撃的な, 友好的かつ中立の活動と関係
92L7226|ポロスの苦悩と不運
92L72268|ポロスの死: ヘルクレスのケンタウロスに対する戦で, 彼はヘルクレスの矢で自らを傷つける
92L722681|ヘルクレスに埋葬されるポロス
92L72269|ポロスの苦悩と不運 - 神格化
92L7227|ポロス (の物語) - 特定の局面, 寓意的な局面, 守護者としての
92L72278|ポロス (の物語) - 凱旋
92L72279|ポロス (の物語) - 尊敬, 崇拝
92L7228|ポロス (の物語) - 象徴
92L7229|ポロス (の物語) - 子孫, 仲間(たち), お供 etc.
92L723|ネッソス
92L724|キュラロス (の物語)
92L7241|キュラロス (の物語) - 幼少期, 若い盛り
92L72411|キュラロス (の物語) - 誕生
92L72412|キュラロス (の物語) - 幼年期, 育成
92L7242|キュラロスの情事
92L72421|キュラロスに愛されるヒュロノメー
92L7243|キュラロス (の物語) - 最も重要な行い
92L7244|キュラロス (の物語) - 攻撃的かつ非友好的な活動と関係
92L7245|キュラロス (の物語) - 非攻撃的な, 友好的または中立の活動と関係
92L7246|キュラロス (の物語) - 苦悩, 不運
92L72468|キュラロス (の物語) - 死
92L72469|キュラロス (の物語) - 神格化
92L7247|キュラロス (の物語) - 特定の局面, 寓意的な局面, 守護者としての
92L72478|キュラロス (の物語) - 凱旋
92L72479|キュラロス (の物語) - 尊敬, 崇拝
92L7248|キュラロス (の物語) - 象徴
92L7249|キュラロス (の物語) - 子孫, 仲間(たち), お供 etc.
92L725|女のケンタウロス, ヒュロノメー
92L726|他のケンタウロス
92L726(...)|他のケンタウロス (名前付き)
92L8|山の神々
92L8(...)|山の神々 (名前付き)
92LL12|バッカスの情事 ~ 男性
92LL121|バッカスに愛されるアンペロス
92LL1211|アンペロスは雄牛の背から落下して死ぬ
92LL41|サテュロス(たち) (一般的に) - LL - 女のサテュロス (一般的に)
92LL411|サテュロス(たち) (一般的に) - LL - 女のサテュロス (一般的に) - 幼少期, 若い盛り
92LL4111|サテュロス(たち) (一般的に) - LL - 女のサテュロス (一般的に) - 誕生
92LL4112|サテュロス(たち) (一般的に) - LL - 女のサテュロス (一般的に) - 幼年期, 育成
92LL412|サテュロス(たち) (一般的に)の情事 - LL - 女のサテュロス (一般的に)
92LL4121|ニンフ(たち)を追うサテュロス(たち) (一般的に) - LL - 女のサテュロス (一般的に)
92LL4122|密偵をするサテュロス(たち) (一般的に) - LL - 女のサテュロス (一般的に)
92LL413|サテュロス(たち) (一般的に) - LL - 女のサテュロス (一般的に) - 最も重要な行い
92LL414|サテュロス(たち) (一般的に) - LL - 女のサテュロス (一般的に) - 攻撃的かつ非友好的な活動と関係
92LL415|サテュロス(たち) (一般的に)の非攻撃的な, 友好的または中立の活動と関係 - LL - 女のサテュロス (一般的に)
92LL4151|サテュロスと百姓たち; イソップによる:サテュロス(たち) (一般的に)と百姓(食事, 食べ物を冷ますために息を吹きかける, etc. ) - LL - 女のサテュロス (一般的に) 
92LL416|サテュロス(たち) (一般的に) - LL - 女のサテュロス (一般的に) - 苦悩, 不運
92LL4168|サテュロス(たち) (一般的に) - LL - 女のサテュロス (一般的に) - 死
92LL4169|サテュロス(たち) (一般的に) - LL - 女のサテュロス (一般的に) - 神格化
92LL417|サテュロス(たち) (一般的に) - LL - 女のサテュロス (一般的に) - 特定の局面, 寓意的な局面, 守護者としての
92LL4178|サテュロス(たち) (一般的に) - LL - 女のサテュロス (一般的に) - 凱旋
92LL4179|サテュロス(たち) (一般的に) - LL - 女のサテュロス (一般的に) - 尊敬, 崇拝
92LL418|サテュロス(たち) (一般的に) - LL - 女のサテュロス (一般的に) - 象徴
92LL419|サテュロス(たち) (一般的に) - LL - 女のサテュロス (一般的に) - 子孫, 仲間(たち), お供 etc.
92LL71|ケンタウロス(たち) (一般的に) - LL - 女のケンタウロス (一般的に)
92LL711|ケンタウロス(たち) (一般的に) - LL - 女のケンタウロス (一般的に) - 幼少期, 若い盛り
92LL7111|ケンタウロス(たち) (一般的に) - LL - 女のケンタウロス (一般的に) - 誕生
92LL7112|ケンタウロス(たち) (一般的に) - LL - 女のケンタウロス (一般的に) - 幼年期, 育成
92LL712|ケンタウロス(たち) (一般的に) - LL - 女のケンタウロス (一般的に) - 情事
92LL713|ケンタウロス(たち) (一般的に) - LL - 女のケンタウロス (一般的に) - 最も重要な行い
92LL714|ケンタウロスの攻撃的かつ非友好的な活動と関係 - LL - 女のケンタウロス (一般的に)
92LL7141|戦うケンタウロス, ケンタウロマキー (一般的に) - LL - 女のケンタウロス (一般的に)
92LL71411|ペイリトオスとヒッポダメイアの結婚式でのラピテスたちとケンタウロスの戦い - LL - 女のケンタウロス (一般的に)
92LL714111|ケンタウロスのエーリュシオンは新婦ヒッポダメイアを攫おうとする - LL - 女のケンタウロス (一般的に)
92LL714112|エーリュシオンを殺すテセウス - LL - 女のケンタウロス (一般的な)
92LL714113|不死身の英雄カイネウス, ラピテス (i.e. 変身した少女カイネウス) は大量の木で殺される - LL - 女のケンタウロス (一般的な)
92LL714114|不死身の英雄カイネウス, ラピテス (i.e. 変身した少女カイネウス) は大量の木で殺される - LL - 女のケンタウロス (一般的な)
92LL715|ケンタウロス(たち) (一般的に) - LL - 女のケンタウロス (一般的に) - 非攻撃的な, 友好的または中立の活動と関係
92LL716|ケンタウロス(たち) (一般的に) - LL - 女のケンタウロス (一般的に) - 苦悩, 不運
92LL7168|ケンタウロス(たち) (一般的に) - LL - 女のケンタウロス (一般的に) - 死
92LL7169|ケンタウロス(たち) (一般的に) - LL - 女のケンタウロス (一般的に) - 神格化
92LL717|ケンタウロス(たち) (一般的に) - LL - 女のケンタウロス (一般的に) - 特定の局面, 寓意的な局面, 守護者としての
92LL7178|ケンタウロス(たち) (一般的に) - LL - 女のケンタウロス (一般的に) - 凱旋
92LL7179|ケンタウロス(たち) (一般的に) - LL - 女のケンタウロス (一般的に) - 尊敬, 崇拝
92LL718|ケンタウロス(たち) (一般的に) - LL - 女のケンタウロス (一般的に) - 象徴
92LL719|ケンタウロス(たち) (一般的に) - LL - 女のケンタウロス (一般的に) - 子孫, 仲間(たち), お供 etc.
92M|大地と豊穣の神々 ~ 農業
92M1|ケレス (デメテル) (の物語)
92M11|ケレス (デメテル) (の物語) - 幼少期, 若い盛り
92M111|ケレス (デメテル) (の物語) - 誕生
92M112|ケレス (デメテル) (の物語) - 幼年期, 育成
92M12|ケレスの情事
92M121|ケレスに愛されるイアシオン
92M1211|ユピテルの稲妻で殺されるイアシオン
92M13|最も重要な行い: プルートに攫われたプロセルピナの娘を探すケレス
92M131|ケレスはドラゴンに引かれた自分の馬車を駆り,  エトナ山で火をつけた1,2個の松明を持つ
92M132|少年 (アバス アスカラボス, またはステリオ) が, 老女の家で休んでいるときにひどく飲み過ぎたケレスを笑う
92M133|ケレスが老女の身なりをして, 素朴な服装をしたエレウシスのケレウスに会い, ケレウスは木製品を持って家に帰る
92M1331|ケレスは泉でケレウスの娘たちに会う
92M1332|ケレスはケレウスと妻メタニラに温かく迎えられ, 彼らの生まれたての赤子デモフォン(あるいはトリプトレモス) の世話をする
92M1333|ケレスはしもべのイアムベーと/またはバウボに励まされる
92M1334|ケレスは小さなデモフォン (あるいはトリプトレモス)を不死にするため火に当てているのを中断され, 神性をあらわにする
92M134|ケレスはプロセルピナの腰帯をニンフのシアンの泉の近くで見つける
92M135|ケレスが放置したことで大地が荒廃する
92M136|ケレスはプロセルピナの所在をニンフのアレトゥーサに聞く
92M1361|ケレスはプロセルピナの所在をヘカテーに聞く
92M1362|ケレスはプロセルピナの所在をアポロ(ソル) に聞く
92M137|ユピテルの前のケレス
92M138|ユピテルはケレスとプルートの間の問題を仲裁する
92M139|母親の元へ戻されるプロセルピナ
92M14|ケレス (デメテル) (の物語) - 攻撃的かつ非友好的な活動と関係
92M15|ケレスの非攻撃的な, 友好的または中立の活動と関係
92M151|ケレスはフィタルスにいちじくの木を与える
92M16|ケレス (デメテル) (の物語) - 苦悩, 不運
92M168|ケレス (デメテル) (の物語) - 死
92M169|ケレス (デメテル) (の物語) - 神格化
92M17|ケレスの特定の局面, 寓意的な局面; 守護者としてのケレス
92M171|農業の守護者としてのケレス
92M178|ケレスの凱旋
92M179|ケレスの特定の局面, 寓意的な局面; 守護者としてのケレス - 尊敬, 崇拝
92M18|ケレスの象徴
92M18(...)|ケレスの象徴 (名前付き)
92M18(CORN-SHEAF)|ケレスの象徴としてのとうもろこし
92M18(SICKLE)|ケレスの象徴: 鎌
92M19|ケレスの子孫, 仲間(たち), お供 etc.
92M191|ケレスの息子プルートス (豊穣の神)と投げ縄
92M192|トリプトレモス (の物語)
92M1921|ケレスがトリプトレモスに指示して, ドラゴンの引く馬車で世界を巡るようにする　
92M19211|トリプトレモスの試練: 彼は人間に農業を教える
92M1922|トリプトレモスがエレウシスの秘儀を始める
92M193|ケレスとネプトゥーヌスの子孫であり, 翼のある馬のアレイオーン
92M2|プロセルピナ (ペルセポネー, コア) (の物語), リベラ
92M21|プロセルピナ (ペルセポネー, コア) (の物語), リベラ - 幼少期, 若い盛り
92M211|プロセルピナ (ペルセポネー, コア) (の物語), リベラ - 誕生
92M212|プロセルピナ (ペルセポネー, コア) (の物語), リベラ - 幼年期, 育成
92M22|プロセルピナ (ペルセポネー, コア) (の物語), リベラ - 情事
92M23|プロセルピナ (ペルセポネー, コア) (の物語), リベラ - 最も重要な行い
92M24|プロセルピナ (ペルセポネー, コア) (の物語), リベラ - 攻撃的かつ非友好的な活動と関係
92M25|プロセルピナの非攻撃的な, 友好的または中立の活動と関係
92M251|プロセルピナが仲間達と花を集める; ウェヌス, ミネルヴァとディアナがおそらく存在する; おそらく美しい花を見つける
92M252|冥界にいるプロセルピナがザクロの種を食べる; アスカラポスがおそらくその様子を見ている
92M253|メルクリウスが冥界からプロセルピナを連れてくる
92M26|プロセルピナ (ペルセポネー, コア) (の物語), リベラ - 苦悩, 不運
92M268|プロセルピナ (ペルセポネー, コア) (の物語), リベラ - 死
92M269|プロセルピナ (ペルセポネー, コア) (の物語), リベラ - 神格化
92M27|プロセルピナの特定の局面, 寓意的な局面; 守護者としてのプロセルピナ
92M271|冥界の女王プロセルピナ
92M278|プロセルピナの特定の局面, 寓意的な局面; 守護者としてのプロセルピナ - 凱旋
92M279|プロセルピナの特定の局面, 寓意的な局面; 守護者としてのプロセルピナ - 神格化
92M28|プロセルピナ (ペルセポネー, コア) (の物語), リベラ - 象徴
92M29|プロセルピナ (ペルセポネー, コア) (の物語), リベラ - 子孫, 仲間(たち), お供 etc.
92M3|他の豊穣の神々
92M3(...)|他の豊穣の神々 (仲間付き)
92M3(PALICI)|他の豊穣の神々: パリキ
92N|冥界の神々
92N1|プルート (ハデス) (の物語), ディス・パテル, オルクス
92N11|プルート (ハデス) (の物語), ディス・パテル, オルクス - 幼少期, 若い盛り
92N111|プルート (ハデス) (の物語), ディス・パテル, オルクス - 誕生
92N112|プルート (ハデス) (の物語), ディス・パテル, オルクス - 幼年期, 育成
92N12|プルートの情事
92N121|オケアニスのレウス (まだ変身していない)を誘惑しようとするプルート
92N122|ニンフのミンテ (まだ変身していない)を誘惑しようとするプルート
92N123|プロセルピナに恋するプルート
92N1231|(馬車に乗るプルートによる) プロセルピナの強姦 ; おそらくディアナとミネルヴァが彼女を救おうとしている
92N13|プルート (ハデス) (の物語), ディス・パテル, オルクス - 最も重要な行い
92N14|プルート (ハデス) (の物語), ディス・パテル, オルクス - 攻撃的かつ非友好的な関係
92N15|プルート (ハデス) (の物語), ディス・パテル, オルクス - 非攻撃的な, 友好的または中立の活動と関係
92N16|プルート (ハデス) (の物語), ディス・パテル, オルクス - 苦悩, 不運
92N168|プルート (ハデス) (の物語), ディス・パテル, オルクス - 死
92N169|プルート (ハデス) (の物語), ディス・パテル, オルクス - 神格化
92N17|プルートの特定の局面, 寓意的な局面; 守護者としてのプルート
92N171|冥界の王としてのプルート
92N1711|冥界の王と女王としてのプルートとプロセルピナ
92N178|プルートの凱旋
92N179|プルートの特定の局面, 寓意的な局面; 守護者としてのプルート - 尊敬, 崇拝
92N18|プルートの象徴
92N18(...)|プルートの象徴 (名前付き)
92N18(FORK)|二又のフォーク ~ プルートの象徴
92N19|プルート (ハデス) (の物語), ディス・パテル, オルクス - 子孫, 仲間(たち), お供 etc.
92N2|魔女と魔法使いたちの女神ヘカテー (の物語)
92N21|魔女と魔法使いたちの女神ヘカテー (の物語) - 幼少期, 若い盛り
92N211|魔女と魔法使いたちの女神ヘカテー (の物語) - 誕生
92N212|魔女と魔法使いたちの女神ヘカテー (の物語) - 幼年期, 育成
92N22|魔女と魔法使いたちの女神ヘカテー (の物語) - 情事
92N23|魔女と魔法使いたちの女神ヘカテー (の物語) - 最も重要な行い
92N24|魔女と魔法使いたちの女神ヘカテー (の物語) - 攻撃的かつ非友好的な活動と関係
92N25|魔女と魔法使いたちの女神ヘカテー (の物語) - 非攻撃的な, 友好的または中立の活動と関係
92N26|魔女と魔法使いたちの女神ヘカテー (の物語) - 苦悩, 不運
92N268|魔女と魔法使いたちの女神ヘカテー (の物語) - 死
92N269|魔女と魔法使いたちの女神ヘカテー (の物語) - 神格化
92N27|ヘカテーの特定の局面, 寓意的な局面; 守護者としてのヘカテー
92N271|ヘカテー・トリフォーミス, i.e. 背中合わせに立っている3つの肉体とともに
92N2711|ヘカテー・トリフォーミス, 3つの異なる頭部のみ
92N278|ヘカテーの特定の局面, 寓意的な局面; 守護者としてのヘカテー - 凱旋
92N279|ヘカテーの特定の局面, 寓意的な局面; 守護者としてのヘカテー - 尊敬, 崇拝
92N28|魔女と魔法使いたちの女神ヘカテー (の物語) - 象徴
92N29|ヘカテーの子孫, 仲間(たち), お供 etc.
92N291|ヘカテーの子孫, エンプーサ
92N292|ヘカテーの子孫, ラミアー
92N3|フューリズ, ディーラエ (エリーニュス), ユーメニデス
92N31|アレクト (フューリズの一人)
92N32|メガエラ (フューリズの一人)
92N33|ティシフォン (フューリズの一人)
92N4|ケール(たち)
92N5|ヒュプノス (眠り) とその兄タナトス (死) (の物語)
92N51|(白い服を着た) 幼いヒュプノスと (黒い服を着た) タナトスが母ニュクスの腕の中で眠る
92N52|ヒュプノスとタナトスが (空で)死者を運ぶ
92N53|タナトス (モルス), 死
92N54|ヒュプノス (ソムヌス) ,眠り (の物語)
92N541|ヒュプノス (ソムヌス) ,眠り (の物語) - 幼少期, 若い盛り
92N5411|ヒュプノス (ソムヌス) ,眠り (の物語) - 誕生
92N5412|ヒュプノス (ソムヌス) ,眠り (の物語) - 幼年期, 育成
92N542|ヒュプノス (ソムヌス) ,眠り (の物語) - 情事
92N543|ヒュプノス (ソムヌス) ,眠り (の物語) - 最も重要な行い
92N544|ヒュプノス (ソムヌス) ,眠り (の物語) - 攻撃的かつ非友好的な活動と関係
92N545|ヒュプノスの非攻撃的な, 友好的または中立の活動と関係
92N5451|アイリスがアルキュオネーの代理でヒュプノスのもとを訪れる
92N5452|ヒュプノスが角からまどろみを垂らしたり, レーテーの雫のついた枝を振ったりして, 人を眠らせる
92N546|ヒュプノスの苦悩, 不運
92N5468|ヒュプノスの苦悩, 不運 - 死
92N5469|ヒュプノスの苦悩, 不運 - 神格化
92N547|ヒュプノス (ソムヌス) ,眠り (の物語) - 特定の局面, 寓意的な局面, 守護者としての
92N5478|ヒュプノス (ソムヌス) ,眠り (の物語) - 凱旋
92N5479|ヒュプノス (ソムヌス) ,眠り (の物語) - 尊敬, 崇拝
92N548|ヒュプノス (ソムヌス) ,眠り (の物語) - 象徴
92N549|ヒュプノス (ソムヌス) ,眠り (の物語) - 子孫, 仲間(たち), お供 etc.
92N6|夢の神 (オネイロイ) (モルぺウス, ポベートール, パンタソス)
92N61|モルペウス (ソポール), 様々な人間の姿で現れる夢
92N62|ポベートール (イケロス), 様々な獣の姿で現れる夢
92N63|パンタソス, 物体の形で現れる夢
92N7|冥界の他の神々
92N7(...)|冥界の他の神々 (名前付き)
93|神々の会合と暮らし
93A|神々の会合
93A1|神々の晩餐会, 宴会 (一般的な)
93A11|神々の晩餐会, 宴会 (屋外)
93A111|神々の晩餐会, 宴会 (空の上, おそらく雲の上)
93A112|神々の晩餐会, 宴会 (海の上)
93A12|神々の晩餐会, 宴会 (岩屋, 洞穴の中)
93A13|神々の晩餐会, 宴会 (屋内)
93A14|神々の食べ物
93A141|ネクタル (神々の食べ物)
93A142|アンブロシア(神々の食べ物)
93A2|神々の集会 (一般的な)
93A21|神々の集会 (屋外)
93A211|空の上, おそらく雲の上で行われる神々の集会
93A212|海の上で行われる神々の集会
93A22|岩屋, 洞穴で行われる神々の集会
93A23|神々の集会 (屋内)
93B|オリュンポス
93C|アポロン・ムーサゲテーに捧げられたパルナッソス
93C1|パルナッソス山の泉カスタリア
93D|女神たちに捧げられたヘリコン
93D1|翼の生えた馬ペガサス
93D2|ヘリコン山の泉
93D21|ヒッポクレネー (ヘリコン山の泉), ペガサスの蹄が大地を蹴って現れた
93D22|ピレネー (ヘリコン山の泉)
93D23|アガニッペ (ヘリコン山の泉)
93E|ハデス, 冥界
93E1|ハデスへの入り口
93E1(...)|ハデスへの入り口 (名前付き)
93E2|ハデスの川
93E21|サテュロス (ハデスの川)
93E22|アケロン (ハデスの川)
93E23|プレゲトン (ハデスの川)
93E24|コキュートス  (ハデスの川)
93E25|レテ (ハデスの川)
93E3|カローン, 渡し守
93E4|3つまたは多数の頭をもつ犬, ケルベロス
93E5|ハデスの審判
93E51|(ハデスの審判としての) アイアコス
93E52|(ハデスの審判としての) ミノス
93E53|(ハデスの審判としての) ラダマントゥス
93E54|ハデスの他の審判 (名前付き)
93E54(...)|ハデスの他の審判 (名前付き)
93E6|アスポデロスの平原, アスポデルの草地
93E7|エーリュシオン; 祝福された島
93E8|タルタロス (死刑を宣告された者に割り当てられる)
93E81|タルタロス, 永久の飢餓と渇きの苦しみ
93E82|大きい岩を上り坂で押すまたはそれを肩に担いで運ぶシシュポス
93E83|燃える車の上のイクシーオーン
93E84|ティテュオス; 彼の肝臓を引き裂く2羽のハゲワシ (またはワシ) 
93E85|穴の開いた入れ物に水を注ぐダナエ
93E86|通例縄をなっているオクヌス, 縄は作ったそばからロバに食べられる
93E87|他のタルタロスで苦しむ人々
93E87(...)|他のタルタロスで苦しむ人々 (名前付き)
93E87(PHLEGYAS)|タルタロスで巨大な石を頭に乗せられているフレギアス
93E9|彷徨う影, 幽霊 ~ ハデス, 冥界
93F|ヘスペリデスの園
93F1|黄金の林檎の木を守る者たち, ヘスペリデス
93F11|アイグレー (ヘスペリデス)
93F12|エリュテイア (ヘスペリデス)
93F13|他のヘスペリデス
93F13(...)|他のヘスペリデス (名前付き)
93F2|百の頭を持つドラゴン, ラゴン
93F3|ヘスペリデスの黄金の林檎
93G|眠りの家: レテ川の流れる薄暗い洞窟; おそらく2つの門があり, 象牙の門は偽りの夢, 角の門は真実の夢を生む
93H|風の洞窟
93I|他の神々の住処
93I(...)|他の神々の住処 (名前付き)
93I(PINDUS)|他の神々の住処: ピンダス
94|ギリシャの英雄伝説 (第一部)
94A|アルゴナウタイの物語: 金の羊毛を探す旅
94A1|イオルコスのアイソーンの息子イアーソーン
94A11|イアーソーンはユーノーをイオルコスに運ぶ道中で, 老女に扮して川を渡り, サンダルを失う
94A12|叔父ペリアスの前で片方しかサンダルを履いていないイアーソーン
94A2|時たまミネルヴァの助けを借りてアルゴー船を造る
94A21|ミネルヴァがアルゴー船の船首に神託のビームをつける
94A22|アルウゴナウタイの集合; 出航の準備
94A23|アルゴー船が出航する
94A3|コルキスへの旅でのアルゴナウタイの冒険
94A31|レムノスのアルゴナウタイ
94A311|アルゴナウタイに会うレムノス人の女性
94A312|イアーソーンとヒュプシピュレー
94A313|アルゴナウタイを叱り, 船に戻らせるヘルクレス
94A32|アルゴナウタイとキュジコス
94A321|巨人たちに攻められるアルゴ船の防御
94A322|アルゴナウタイはキュジコスとその男たちを暗闇で偶然殺してしまう
94A3221|キュジコスの妻クレイテが首を吊って自殺する
94A3222|キュジコスを讃える葬儀
94A33|ミュシアのアルゴナウタイ
94A331|水を汲んでいるときにニンフたちに誘拐されるヒュラース
94A332|ヒュラースを探すヘルクレス
94A333|ヘルクレスを後に残し出航するアルゴナウタイ
94A34|ベブリュクスの国のアルゴナウタイ
94A341|ベブリュクスの王アミュコスとポリュデウケースの拳闘試合
94A35|ピーネウスとアルゴナウタイ
94A351|カライスとゼーテースがピーネウスを苦しめるハルピュイスを追い払う
94A352|カライスとゼテスがピーネウスの2人の息子たちを牢獄から出す
94A353|鳩たちを連れてきたピーネウスが, アルゴナウタイに航海の道を示す
94A36|鳩の助けを借りてシュムプレーガデスを通り過ぎるアルゴー船
94A37|ステュムパーリデスの鳥たちがマルスの島近くでアルゴー船を攻撃する: アルゴナウタイは盾で鳥たちを打ってなんとか怯ませる
94A4|コルキスのアルゴナウタイ
94A41|コルキス王アイエーテースに会うイアーソーンとアルゴナウタイ
94A42|イアーソーンとメーデイアの逢瀬: メーデイアはイアーソーンに一目惚れする, おそらく彼女に矢を撃つクピドとともに
94A421|良心の呵責を感じるメーデイア
94A43|ヘカテ(またはディアナ)の祭壇のイアーソーンとメーデイア: メーデイアはイアーソーンに魔法の薬草または軟膏を与える
94A44|炎を吐く雄牛をイアーソーンがすきに繋ぎ止める
94A441|イアーソーンが一日中耕す
94A45|耕した後, イアーソーンはドラゴンの歯をまく; 武装した男たちが現れる
94A451|イアーソーンが大きい石を投げ込むと, 竜の男たちは同士討ちを始める
94A46|ドラゴンとの戦い; イアーソーンはおそらくメーデイアの助けを借りて, ドラゴンの目に薬を振りかける　
94A461|オークの木に吊り下げられた金の羊毛を掴むイアーソーン
94A47|アルゴナウタイとメーデイアはコルキス人に追われて乗船する
94A5|コルキスからのアルゴナウタイの帰還の旅
94A51|アプシュルトスの殺害
94A511|メーデイアによって殺害されるアプシュルトス、メーデイアは彼の四肢を船外にばらまく
94A5111|アルゴー船の追跡をしていたアイエーテースは、アプシュルトスの四肢を集めるため止まることを余儀なくされる
94A512|メーデイアに騙されたアプシュルトスは、イアーソンによって殺される
94A513|キルケによってアプシュルトスの殺害を浄められるイアーソンとメーデイア
94A52|ファイアケス人の王アルキノオスを伴うアルゴアウタイ
94A521|イアーソンとメーデイアの結婚; 金羊毛が床に広げられる
94A53|オルフェウスが竪琴を弾く間、アルゴー船は無事にセイレーンを通過する
94A54|リビアで立ち往生するアルゴナウタイ
94A541|アルゴナウタイは船を肩に乗せてトリートーニス湖に運ぶ
94A542|トリトン神はアルゴナウタイから三脚床几を受け取る
94A543|トリトンは、アルゴー船の竜骨を引いて湖から海へと押し出す
94A55|クレタ島の青銅の巨人兵士タロースは、メーデイアの呪文によって打ち負かされ、カストールとポイアースによって捕えられる
94A56|嵐に巻き込まれたアルゴー船は、安全に浜に乗り上げる; イアーソーンはアポロの祭壇に献酒を注ぎ、メーデイアの乙女達に嘲笑される
94A6|イアーソンのイオルコスへの帰還
94A61|メーデイアと彼女の１２人の乙女達はアルテミス像に扮し、イオルコスへと入る
94A62|アイソーンの若返り
94A621|メーデイアは夜に1人祈る;魔法の薬草を摘むことができるように、有翼の竜によって引かれる馬車が送られる
94A622|メーデイアは、ひとつはヘカテー、もうひとつはヘーベーの祭壇を作り、黒い羊を屠殺する
94A623|アイソーンはメーデイアの前に横たえられる; 彼女は銅の壺で毒薬を調合する (古く乾いたオリーブの枝が、その中でかき混ぜられると緑変する)
94A624|アイソーンの喉が切られ、彼の古い血液が流れ出て、彼の血管はメーデイアの調合された薬で満たされ若返る
94A63|ペリアースに対するメーデイアの復讐
94A631|メーデイアは大釜で老いた羊を煮る: 若い羊が出てくる; ペリアースの娘達はその場面を見る
94A632|ペリアースの娘達は寝室で彼女達の父親を殺す; メーデイアは沸騰した湯にその身体を入れる
94A64|アウゴナウタイはペリアースの宮殿の屋根にある松明を見て、イオルコスに突入する
94A65|ペリアースの息子アカストスはイオルコスの王となる
94A7|イアーソンはコリントスの王となる
94A71|イアーソンとクレウサの結婚; おそらくメーデイアがその場面を見ている
94A72|メーデイアは彼女の子供達を通して、クレウサに結婚の贈り物を送る (王冠と長いローブ)
94A73|クラウサが、毒の仕込まれたローブ (または王冠) を身につけると、炎に身を包まれる
94A74|メーデイアは２人の子供達を殺す; 彼女は翼を持つ竜の引く戦車に乗って、コリントスから逃げる
94A8|時系列に示されていないアルゴナウタイの物語からの場面
94B|テーバイ戦争: テーバイ攻めの７将とエピゴノイ
94B1|テーバイ攻めの七将: 最初のテーバイ戦争
94B11|テーバイに対する戦争の前ぶれ
94B111|弟のエテオクレースによってテーバイから追放されたポリュネイケースが、アルゴスへやって来る
94B112|殺人によりカリュドンから追放されたオイネウスの息子のテュデウスが、アルゴスへやって来る
94B113|ポリュネイケースとテュデウスの王宮での口論 (前者は盾に獅子を、後者は猪を示している); アルゴスの王、アドラーストスが争いを止める
94B114|ポリュネイケースとテュデウスは、アドラーストスの娘であるアルゲイアーとデーイピュレーと結婚する
94B12|テーバイへの出発 (7将の)
94B121|アドラーストスはテーバイを攻めるため軍を招集し、６人の長官を任命する; 一般的な説によると、これらは以下の通り: アムピアラーオス、カパネウス、ヒッポメドン、 パルテノパイオス、ポリュネイケースおよびテューデウス
94B122|アムピアラーオスが渋っているので、ポリュネイケースはアムピアラーオスの妻であるエリピューレーに以前はハルモニアーが所有していた首飾りを賄賂として贈る; エリピューレーはアムピアラーオスの隠れ家を暴露し、従って彼は参戦を余儀なくされた
94B13|テーバイへの行進
94B131|ネメアの軍隊
94B1311|水が不足していたことで、軍はリュクルゴスの息子のオペルテースの乳母であるヒュプシピュレーにより泉に案内される
94B1312|地面に放置されていた幼いオペルテースが蛇 (または竜) に噛まれて死ぬ
94B1313|７将はその帰路で幼子オペルテースが死んでいるのを見つける; 彼らは蛇 (または竜) を殺し、オペルテースを埋葬し、その少年に敬意を表してネメア祭を設ける
94B132|使者として遣わされたテューデウスは、テーバイの指揮者達を一騎打ちでことごとく倒す
94B14|テーバイの前の軍隊
94B141|テーバイの７つの門それぞれに、アルゴスの将が1人づつ任命される
94B142|テーバイの運命を予言するテイレシアース
94B1421|テーバイの門の前でのクレオーンの息子、メノイケウスの犠牲的死 (ピロストラトス, 『エイコネス』 第１巻４章)
94B15|テーバイの包囲攻撃
94B151|カパネウスの死: テーバイノ壁を登っている間、彼はゼウスの雷に打たれる
94B152|テュデウスはメラニッポスにより致命傷を負う、メラニッポスはその後殺害される
94B1521|死にゆくテュデウスはメラニッポスの頭蓋骨から脳をすする; アテーナーは嫌悪して退く
94B153|エテオクレースとポリュネイケースの一騎打ち; 両者共に死ぬ
94B154|アムピアラーオスの飛行; 彼は大地に呑み込まれる
94B155|アドラートスは翼を持つ馬、アリオンに乗って逃げる
94B16|最初のテーバイ戦争の成り行き
