4|Sociedade, Civilização, Cultura
42D36|má mulher 
42D37|parceiro enganado, traído
42D371|com o terceiro indesejado, uma pessoa a mais
42D38|"ménage à trois"
42D39|adultério
42D390|"Adulterio" (Ripa)
42D391|adúltero
42D392|adultério vingado
42D3921|prova de inocência (~ adultério)
42D4|depois da morte de um dos membros do casal
42D41|viúvo
42D42|viúva
42D429|a viúva de Éfeso
42D43|segundas núpcias, segundo casamento (de viúvo ou viúva)
42D431|segundo casamento do viúvo
42D432|segundo casamento da viúva
42D5|divórcio
42D6|repudiando a sua própria mulher
42D7|amante
42D71|concubina
42D8|sogros
42D81|sogro 
42D82|sogra 
42D83|Genro 
42D84|nora 
42D85|cunhado
42D86|cunhada
42D9|ser solteiro
42D91|solteiro
42D92|solteira
42DD11|pedido de casamento, declaração de amor - DD  pedido feito por uma mulher (em ano bissexto)
42DD111|homem de joelhos à frente de sua amada (pedido) - DD - pedido feito por uma mulher (em ano bissexto)
42DD119|ser rejeitado, pedido de casamento rejeitado - DD - pedido feito por uma mulher (em ano bissexto)
42DD14|homem apresenta a noiva aos seus pais - DD - mulher apresentando o noivo aos pais
42DD19|despedida de solteiro - DD - festa para mulheres
42DD231|homem sequestrando mulher - DD - mulher sequestrando homem
42DD2311|captura de uma mulher - DD - mulher sequestrando homem
42DD25|festa de casamento, copo-d'água - DD - ao ar livre
42DD251|chegada dos noivos à festa de casamento - DD - ao ar livre
42DD252|bolo de noiva - DD - ao ar livre
42DD253|dançar numa festa de casamento - DD - ao ar livre
42DD254|celebração de um aniversário de casamento - DD - ao ar livre
42DD2541|bodas de cobre - DD - ao ar livre
42DD2542|bodas de prata - DD - ao ar livre
42DD2543|bodas de ouro - DD - ao ar livre
42DD2544|bodas de diamante - DD - ao ar livre
42DD311|casal com diferença de idades - DD - mulher mais velha
42DD3111|terceiros (que ridicularizam, desaprovam, perturbam, etc.) ~ casal com diferença de idades - DD - mulher mais velha
42DD312|casal com diferença de riqueza - DD - mulher mais rica
42DD3121|terceiros (que ridicularizam, desaprovam, perturbam, etc.) ~ casal com diferença de riqueza - DD - mulher mais rica
42DD37|parceiro enganado, traído - DD - mulher enganada
42DD371|com o terceiro indesejado, uma pessoa a mais - DD - mulher enganada
42DD391|adúltero - DD - adúltera
42DD5|divórcio - DD - mulher casada concedida a outro homem, e.g. pelo pai
42DD7|amante - DD - cicisbeo
42DD71|concubina - DD - cicisbeo
42E|ritos funerários
42E1|preparação do cadáver, tanatoestética ~ enterro
42E11|lavagem e limpeza do cadáver
42E111|mortalha, sudário
42E112|cobrir o cadáver
42E12|o cadáver colocado num esquife
42E121|mortalha, pano funerário "pannus funeralis"
42E1211|escudo funerário
42E122|exéquias públicas
42E13|velório ~ ritos funerários
42E131|chorando os mortos
42E132|lamentação (~ ritos funerários)
42E1321|carpideiras
42E14|deposição do cadáver no caixão
42E141|caixão
42E142|colocar algo sobre ou dentro do caixão, e.g. flores, aliança
42E15|embalsamamento, mumificação do cadáver
42E151|múmia
42E152|preparação de partes do corpo
42E16|outras formas de preparação do cadáver
42E17|máscara mortuária
42E18|efígie funerária
42E19|profanação do cadáver
42E191|mutilação do cadáver
42E192|execução da sentença sobre o cadáver
42E193|despojar o cadáver de seus valores ou vestes
42E194|necrofilia
42E2|cerimónia fúnebre
42E21|anúncio da morte
42E211|comunicação da morte, coveiro 
42E212|cartão de luto, anúncio da morte, obituário
42E213|medalha comemorativa
42E214|agência funerária 
42E22|procissão, cortejo fúnebre
42E221|carro fúnebre
42E222|carruagens funerárias
42E223|liteira, suporte do caixão
42E224|"pleurants"
42E23|enterro
42E231|abertura da sepultura, exumação
42E232|reenterro
42E24|elogio fúnebre
42E241|orações fúnebres
42E242|atirar algo para a sepultura aberta
42E25|incineração, cremação
42E26|voltar do funeral
42E261|banquete fúnebre
42E27|técnicos funerários 
42E271|coveiro, agente funerário
42E272|coveiro
42E273|guarda do cemitério
42E274|associação funerária
42E28|destruição dos bens do falecido (mulheres, cavalos, criados, etc. mortos após a morte do senhor)
42E281|destruição dos bens de uma pessoa no seu leito de morte
42E3|sepultura, túmulo e outras formas e símbolos identificadores de uma sepultura
42E31|sepultura, túmulo
42E311|pedra tumular, lápide
42E3111|lápide vertical, estela funerária
42E3112|lápide horizontal
42E3113|outros símbolos identificadores de uma sepultura, e.g. cruz
42E312|epitáfio
42E32|túmulo de parede
42E321|sepultura escavada na rocha
42E33|sarcófago
42E331|tampa do sarcófago
42E34|urna
42E35|jazigo, túmulo monumental
42E351|efígie,"gisant" (retrato sobre o caixão fechado ou no "castrum doloris")
42E3511|efígies retratando um estado de semidecomposição
42E36|outras estruturas solenes
42E361|obelisco (marca identificadora de um túmulo)
42E362|coluna (marca identificadora de um túmulo)
42E363|pirâmide (marca identificadora de um túmulo)
42E37|formas de sepultura antigas
42E371|formas de sepultura pré-histórica
42E3711|mamoa
42E3712|sepultura megalítica, anta ou dólmen
42E372|formas de sepultura histórica
42E3721|mastaba
42E3722|pirâmide (forma de sepultura histórica)
42E3723|mausoléu
42E373| traje funerário exótico
42E3731|sepultamento em árvores
42E3732|abandono (ritos funerários exóticos)
42E38|sinais, símbolos e motivos da arte funerária
42E39|sepultura falsa, cenotáfio
42E4|culto dos mortos
42E41|ritos de luto, formas de expressão de luto
42E411|vestido de luto
42E42|hino fúnebre
42E43|cemitério (junto a uma igreja), cemitério
42E431|necrópole
42E4311|catacumbas
42E432|cemitério (em redor de uma igreja)
42E433|vala comum
42E434|cemitério, terreno para sepulturas semelhante a um parque
42E435|jazigo, ossuário
42E44|tratar e visitar locais de sepultura
42E441|depositar flores ou coroas na sepultura
42E442|descoberta de um túmulo
42E45|cartão 'In memoriam'
42E49|profanação da sepultura
42E491|roubar o cadáver da sepultura
42E4911|ladrões de cadáveres
42E5|disposições sociais relativas à morte
42E51|disposição dos bens do defunto
42E52|abertura e leitura do testamento
42E53|redistribuição dos bens
42E531|herança
42E5311|herança em bens móveis
42E532|herdeiro
42E5321|disputas entre os herdeiros
42E54|disposições relativas ao sustento do cônjuge e dos filhos
42E541|seguro (disposições relativas ao sustento do cônjuge e dos filhos)
42EE224|"pleurants" - EE - mulher
42F|administração da casa; dona de casa no trabalho
42F0|Economia, "Economia", "Providenza dell'annona" (Ripa)
42F1|dona de casa
42F11|dona de casa dando ordens aos criados, empregados
42F12|dona de casa inspeccionando a casa e os bens
42F13|dona de casa repartindo comida
42F19|"Betty","Molly" (homem que se envolve no trabalho das mulheres)
42F2|ir às compras (~ administração da casa)
42F3|tarefas doméstico
42F31|limpar (a casa)
42F311|limpar o pó
42F312|polir (~ limpar a casa)
42F313|limpar as janelas
42F314|varrer (~ limpar a casa)
42F32|utensílios e equipamentos (domésticos)
42F32(...)|utensílios e equipamentos (domésticos) (com NOME)
42F33|fazer a cama
42F34|pôr a mesa
42F341|servir à mesa
42F342|levantar a mesa
42F35|tratar das dependências (exteriores) e terrenos
42F4|manutenção e reparações da habitação
42F49|habitações negligenciadas
42F5|pessoal de serviço, criados, empregados
42F51|empregada ~ pessoal de serviço
42F52|mulher-a-dias
42F53|criado, empregado, camareiro
42F54|mordomo
42F55|guarda, porteiro, zelador
42F56|governanta
42F6|pequenos acidentes domésticos
42F61|partir alguma coisa (acidentes domésticos)
42F9|má gestão da casa
42F91|uma verdadeira desarrumação (holandês: "huishouden van Jan Steen")
42F92|dona de casa desleixada, descuidada, "Vrou(w) Lor(t)s"
42G|família, parentesco, descendência
42G1|linhagem familiar, genealogia, árvore genealógica
42G11|série de retratos de antepassados, "Ahnengalerie"
42G2|parentesco (primeiro, segundo, terceiro e quarto grau), gerações
42G21|parentesco em primeiro grau
42G211|pais (parentesco em primeiro grau)
42G2111|pai (parentesco em primeiro grau)
42G2112|mãe (parentesco em primeiro grau)
42G212|filhos (parentesco em primeiro grau)
42G2121|filho (parentesco em primeiro grau)
42G2122|filha (parentesco em primeiro grau)
42G22|parentesco em segundo grau
42G221|avós (parentesco em segundo grau)
42G222|irmãos ou irmãs (parentesco em segundo grau)
42G2221|irmãos (parentesco em segundo grau)
42G2222|irmãs (parentesco em segundo grau)
42G223|netos (parentesco em segundo grau)
42G23|parentesco em terceiro grau
42G231|bisavós (parentesco em terceiro grau)
42G232|tias, tios (parentesco em terceiro grau)
42G233|sobrinhos e sobrinhas (parentesco em terceiro grau)
42G2331|sobrinhos
42G2332|sobrinhas
42G234|primos (parentesco em terceiro grau)
42G235|bisnetos (parentesco em terceiro grau)
42G24|parentesco em quarto grau
42G241|trisavós (parentesco em quarto grau)
42G242|tios-avôs, tias-avós (parentesco em quarto grau)
42G243|sobrinhos-netos, sobrinhas-netas (parentesco em quarto grau)
42G244|primos de segundo grau (parentesco em quarto grau)
42G245|tetraneto (parentesco em quarto grau)
42G29|incesto
42Z|famílias exóticas e não monogâmicas
42Z1|poligamia
42Z11|harém
42Z111|odalisca
42Z112|"le Bain turc"
42Z113|eunuco
42Z2|poliandria
42Z3|casamentos comunitários
42Z31|"Weibergemeinschaft"
42Z32|casamento familiar ou de grupo ("Punalua")
43|recreação, divertimento
43A|festividades
43A1|celebrações periódicas, festas populares
43A11|feriados, celebrações não litúrgicas dos dias que fazem parte do calendário eclesiástico
43A12|celebrações não litúrgicas do Natal, Carnaval e Páscoa
43A121|Natal (celebrações não litúrgicas)
43A1211|árvore de Natal
43A1212|decorações de Natal
43A1213|Pai Natal, São Nicolau, duende de Natal
43A1214|cartão, postal de Natal
43A122|Carnaval, Entrudo (celebrações não litúrgicas)
43A1221|nau dos loucos
43A1222|Terça-feira Gorda, "Jeudi gras"
43A1223|Quinquagesima
43A1224|Terça-feira Gorda,  "Jeudi gras" ~ celebrações não litúrgicas do Carnaval
43A123|Páscoa (celebrações não litúrgicas)
43A1231|ovo da Páscoa
43A12311|jóias em forma de ovo da Páscoa
43A1232|boi premiado
43A12321|transportar o boi premiado
43A1233|coelho da Páscoa
43A13|festividades associadas com actividades sazonais
43A131|festividades de inverno, celebrações da primavera
43A1311|dançar ao redor do mastro (erguido no primeiro dia de Maio) (festa do mastro)
43A13111|mastro (erguido no primeiro dia de Maio)
43A132|festividades das colheitas
43A14|festividades relacionadas com o calendário; dias festivos
43A141|1 de Janeiro (~ festividades)
43A1411|véspera de Ano Novo (31 de Dezembro)
43A142|1 de Abril (~ festividades)
43A143|1 de Maio (~ festividades)
43A144|a noite de Epifania (Noite de Reis), geralmente comemorado na véspera de 6 de Janeiro
43A145|festividades ligadas ao santo do dia (não litúrgicas)
43A1451|festividades na véspera de São Nicolau (5 de Dezembro)
43A1452|Halloween, véspera do Dia das Bruxas (31 de Outubro)
43A1453|dia de São Martinho (11 de Novembro)
43A1454|dia de São Patrício (17 de Março)
43A146|outras festividades relacionadas com o calendário; dias festivos
43A146(...)|outras festividades relacionadas com o calendário; dias festivos (com DATA)
43A2|festividades privadas, boa companhia
43A21|recepção, cocktail
43A22|comemoração, jubileu
43A23|baile, dança formal
43A3|parque de diversões e circo
43A31|carrossel
43A311|roda gigante, roda panorâmica
43A32|divertimento com carros, etc. (parque de diversões)
43A321|montanha russa
43A322|carrinhos de choque
43A323|montanha-russa
43A33|exercício de habilidade e força (~ parque de diversões)
43A331|barraca de tiro ao alvo, carreira de tiro em miniatura (~ parque de diversões)
43A332|máquina de testar força
43A34|outros tipos de divertimento
43A341|sala com espelhos que distorcem a imagem
43A342|diorama 
43A343|panorama, ciclorama
43A344|peep-show
43A345|quiosque da lotaria (no parque de diversões)
43A346|espectáculo com aberrações
43A3461|monstruosidades humana ~ espectáculo com aberrações
43A3462|animais monstruosos ~ espectáculo com aberrações
43A3463|objetos incomuns (plantas, pedras, etc.) ~ espectáculo com aberrações
43A35|espectáculo ao ar livre (parque de diversões)
43A351|espectáculo em tendas (parque de diversões)
43A352|chamar o público com o tambor
43A36|circo
43A361|tenda de circo (exterior)
43A362|entrada da tenda de circo
43A363|tenda de circo (interior)
43A3631|pista de circo
43A37|o espectáculo; artistas de feira e de circo
43A371|chefe, proprietário (do circo)
43A3711|director do circo
43A372|acrobata ~ circo
43A3721|funâmbolo
43A3722|trapezista
43A3723|equilibrista
43A3724|atirador de facas
43A3725|pistoleiro, atirador
43A3726|contorcionista
43A3727|acrobata, malabarista, escapista
43A3728|comedor de fogo
43A373|palhaço
43A3731|Simple Simon, "Hanswurst"
43A374|circo com animais treinados (macacos, elefantes, ursos, leões e tigres, cavalos, cães, golfinhos, focas, pulgas)
43A3741|macacos (circo)
43A3742|elefantes (circo)
43A3743|ursos (circo)
43A3744|leões e tigres (circo)
43A3745|cavalos (circo)
43A3746|cães (circo)
43A3747|golfinhos (circo)
43A3748|focas (circo)
43A3749|circo de pulgas
43A375|ilusionista, mágico, malabarista, "legerdemain"
43A3751|ventríloquo
43A376|adivinho, cartomante, vidente ~ parque de diversões e circo
43A38|circo ou feira "en route"
43A381|montar as tendas (circo ou feira "en route")
43A382|desmontar as tendas (circo ou feira "en route")
43A4|festividades públicas
43A41|regozijo em ocasiões especiais
43A411|festividades de eventos de importância nacional
43A412|festividades públicas por ocasião de eventos reais, da família real
43A4121|festividades públicas no casamento de membros da família real
43A4122|festividades públicas no nascimento de um membro da família real
43A4123|festividades públicas noutros eventos relacionados com a família real, que não os mencionados acima
43A42|entrada triunfal e recepção pública, cortejo, "entrée solennelle", "joyeuse entrée"
43A421|coche, carro triunfal
43A4211|carro romano, quadriga ~ triunfo
43A4212|carro alegórico ~ triunfo
43A422|arco triunfal
43A423|outras estruturas decorativas (~ entrada triunfal, etc.)
43A424|distribuição de dinheiro (~ entrada triunfal, etc.)
43A4241|moedas cunhadas especialmente para a ocasião (entrada triunfal, etc.) (holandês: "strooipenningen")
43A425|decoração e iluminação de ruas, praças, etc. (~ entrada triunfal, etc.)
43A426|confetes, serpentinas, etc. (~ entrada triunfal, etc.)
43A43|triunfos (alegóricos e simbólicos)
43A431|"Trionfi" (de Petrarca)
43A4311|"Trionfi d'Amore", "Triumphus Cupidinis"; "Carro d'amore" (Ripa)
43A4312|"Trionfo della Castità", "Triumphus Pudicitiae"; "Carro della castità" (Ripa)
43A4313|"Trionfo della Morte", "Triumphus Mortis"; "Carro della morte" (Ripa)
43A4314|"Trionfo della Fama", "Triumphus Famae"; "Carro della Fama" (Ripa)
43A4315|"Trionfo del Tempo", "Triumphus Temporis"; "Carro del Tempo" (Ripa)
43A4316|"Trionfo della Divinità", "Triumphus Aeternitatis"; "Carro della Divinità" (Ripa)
43A432|triunfos simbólicos de pessoas individuais
43A4321|apoteose (ou ascensão) de indivíduos
43A433|coroação com coroa de louros
43A44|fogueira, fogos de artifício
43A45|desgraça pública
43A46|actividades no ar ~ festividades públicas, e.g. festival aéreo
43A49|funeral público
43A491|catafalco, "castrum doloris" (~ funeral público)
43AA2|festividades privadas, boa companhia - AA - ao ar livre, "fête champêtre"
43AA21|recepção, cocktail - AA - ao ar livre, "fête champêtre"
43AA22|comemoração, jubileu - AA - ao ar livre, "fête champêtre"
43AA23|baile, dança formal - AA - ao ar livre, "fête champêtre"
43AA376|adivinho, cartomante, vidente ~ parque de diversões e circo - AA - adivinha, cartomante, vidente
43AA4|festividades públicas - AA - festividades na água
43AA41|regozijo em ocasiões especiais - AA - festividades na água
43AA411|festividades de eventos de importância nacional - AA - festividades na água
43AA412|festividades públicas por ocasião de eventos reais, da família real - AA - festividades na água
43AA4121|festividades públicas no casamento de membros da família real - AA - festividades na água
43AA4122|festividades públicas no nascimento de um membro da família real - AA - festividades na água
43AA4123|festividades públicas noutros eventos relacionados com a família real, que não os mencionados acima - AA - festividades na água
43AA42|entrada triunfal e recepção pública, cortejo, "entrée solennelle", "joyeuse entrée" - AA - festividades na água
43AA422|arco triunfal - AA - festividades na água
43AA423|outras estruturas decorativas (~ entrada triunfal, etc.) - AA - festividades na água
43AA424|distribuição de dinheiro (~ entrada triunfal, etc.) - AA - festividades na água
43AA425|decoração e iluminação de ruas, praças, etc. (~ entrada triunfal, etc.) - AA - festividades na água
43AA426|confetes, serpentinas, etc. (~ entrada triunfal, etc.) - AA - festividades na água
43AA43|triunfos (alegóricos e simbólicos) - AA - na água, "triomphe marin"
43AA431|"Trionfi" (de Petrarca) - AA - na água, "triomphe marin"
43AA4311|"Trionfi d'Amore", "Triumphus Cupidinis"; "Carro d'amore" (Ripa) - AA - na água, "triomphe marin"
43AA4312|"Trionfo della Castità", "Triumphus Pudicitiae"; "Carro della castità" (Ripa) - AA - na água, "triomphe marin"
43AA4313|"Trionfo della Morte", "Triumphus Mortis"; "Carro della morte" (Ripa) - AA - na água, "triomphe marin"
43AA4314|"Trionfo della Fama", "Triumphus Famae"; "Carro della Fama" (Ripa) - AA - na água, "triomphe marin"
43AA4315|"Trionfo del Tempo", "Triumphus Temporis"; "Carro del Tempo" (Ripa) - AA - na água, "triomphe marin"
43AA4316|"Trionfo della Divinità", "Triumphus Aeternitatis"; "Carro della Divinità" (Ripa) - AA - na água, "triomphe marin"
43AA432|triunfos simbólicos de pessoas individuais - AA - na água, "triomphe marin"
43AA4321|apoteose (ou ascensão) de indivíduos - AA - na água, "triomphe marin"
43AA433|coroação com coroa de louros - AA - na água, "triomphe marin"
43AA44|fogueira, fogos de artifício - AA - festividades na água
43AA46|actividades no ar ~ festividades públicas, e.g. festival aéreo - AA - festividades na água
43AA49|funeral público - AA - festividades na água
43AA491|catafalco, "castrum doloris" (~ funeral público) - AA - festividades na água
43B|divertimento
43B1|desfrutar a natureza
43B11|contemplar a natureza
43B12|piquenique, ao ar livre, "déjeuner sur l'herbe"
43B121|reunião ao ar livre, "délices à la campagne"
43B13|caminhar, marcha, passear (divertimento)
43B131|equitação, ciclismo (divertimento)
43B14|desfrutar a natureza ~ plantas, ervas e flores
43B141|estudo botânico
43B142|apanhar cogumelos
43B143|apanhar ervas
43B144|colher flores
43B15|desfrutar a natureza ~ animais
43B151|caçar borboletas
43B16|alpinismo, montanhismo
43B17|explorar cavernas
43B2|divertimento ao ar livre
43B21|lugar de entretenimento e lazer, resort
43B3|divertimento num espaço interior
43B31|pousada, café, pub, etc.
43B311|restaurante
43B312|jardim para o chá, onde é servido chá e refrescos
43B313|pavimento, terraço em frente de uma pousada ou restaurante
43B32|clube, local de encontro
43B33|casino
43B331|casa de jogo, casa de apostas
43B34|clube nocturno, discoteca
43B4|floresta, bosque e parque (como lugares de divertimento)
43B41|brincar na floresta, bosque
43B411|subir a uma árvore
43B412|cair de uma árvore
43B42|parque
43B421|coreto
43B5|praia (como lugar de divertimento)
43B51|dentro ou perto da água (na praia)
43B52|banho de sol (na praia)
43B53|(construir, fazer) castelo de areia
43B54|andar de burro (na praia)
43B55|divertimento nas dunas
43B6|parque infantil
43B61|equipamento do parque infantil
43B61(...)|equipamento do parque infantil (com NOME)
43B611|baloiço
43B612|escorrega, tobogã
43B613|balancé
43B7|jardim zoológico (como lugar de diversão)
43B8|colecção, exposição, espectáculo
43C|desportos, jogos e demonstrações físicas
43C1|desportos, jogos ~ animais
43C11|caça, perseguição
43C111|presa, animais caçados
43C1111|grupo de vários animais caçados
43C1112|caça ~ mamíferos
43C11121|grupo de vários mamíferos caçados
43C11122|caça ao macaco, símio
43C11123|caça ~ predadores (raposa, leão)
43C111231|caça à raposa
43C1112311|raposa e cães
43C111232|caça ao leão
43C1112321|caçador lutando com um leão
43C11124|caça ~ ungulados
43C111241|caça ao veado
43C111242|caça ao cabrito-montês
43C111243|caça ao javali
43C11125|caça ~ proboscídeos
43C11126|caça ~ roedores
43C111261|caça à lebre, caça ao coelho
43C11127|caça ~ mamíferos aquáticos
43C11128|caça ~ outros mamíferos
43C1113|caça às aves
43C1114|caça ~ outros animais
43C112|acidentes de caça
43C1121|animal caçado atacando o homem
43C113|despojos de caça
43C1131|matança (~ caçada)
43C11311|troféus de caça
43C1132|caçador exibe ou apresenta os despojos da caça
43C114|caçador
43C1141|reunir, "départ pour la chasse"
43C1142|caçadores caçando (N.B.: em 1988-1990 esta notação indicava o conceito do código 43C11421 "caçadores em repouso durante a caça")
43C11421|caçadores em repouso durante a caça
43C1143|batedores (~ caça)
43C1144|tocar a trompa, o corno de caça
43C1145|"halali" (~ caça)
43C1146|retrato de um grupo de caçadores
43C1147|cães de caça
43C11471|cães de caça ao lado dos despojos
43C1148|equipamento de caça
43C11481|saco para presa(s)
43C11482|trompa, corno de caça
43C1149|regresso da caça
43C11491|banco de caça, pavilhão de caça, "rendez-vous de chasse", "Jagdschloss"
43C115|à procura de presa(s)
43C1151|apanhar, capturar animais
43C1152|observar animais ~ caçar
43C11521|fotografar, filmar animais
43C116|terreno de caça
43C1161|poste delimitando a área de caça
43C1162|esconderijo de caça, abrigo, refúgio; muitas vezes camuflado; para observar e atingir presa sem ser visto
43C11621|"high seat", esconderijo de caça numa plataforma elevada
43C116211|esconderijo de caça numa árvore
43C11622|esconderijo de caça ao nível do solo, abrigo
43C117|encarregado da caça
43C118|caçador furtivo
43C12|pesca (desporto)
43C121|pesca à linha
43C128|pescador
43C1281|pescador mostrando a presa
43C13|caça de aves, passarinhiero
43C131|armadilha para aves
43C132|armadilha, chamariz para patos
43C14|torturar animais ~ desporto e divertimento
43C141|grupo de vários animais torturados
43C142|torturar mamíferos ~ desporto e divertimento
43C1421|bater no gato, "cat-in-a-barrel"
43C1422|tourada
43C14221|toureiro
43C1423|luta de cães contra um urso
43C143|torturar pássaros ~ desporto e divertimento (galo, ganso)
43C1431|luta de galos
43C1432|"pull-the-goose"
43C144|torturar répteis
43C145| torturar anfíbios
43C146|torturar peixes
43C1461|"pull-the-eel"
43C2|desportos, jogos e provas físicas ~ velocidade
43C21|desportos, etc. em terra
43C211|correr, corrida
43C2111|(correr, corrida) numa pista de obstáculos, corrida de obstáculos
43C2112|corta-mato
43C2113|marcha
43C212|corrida montando animais
43C2121|corrida de cavalos
43C21211|jóquei
43C21212|cavalariça, estrebaria, escuderia
43C21213|pista de corrida
43C2122|corrida de obstáculos (atletismo), salto de obstáculos (hipismo)
43C213|corrida com veículo
43C2131|corrida de carro (com cavalos)
43C21311|cocheiro, "auriga"
43C21312|corrida de carro com duas rodas, e.g.: biga, charrete, carroça
43C21313|corrida de carro com quatro rodas
43C2132|corrida de bicicleta
43C21321|circuito de bicicleta, e.g.: "Tour de France", "Giro d'Italia"
43C2133|corrida de motos
43C2134|corrida de automóveis
43C214|andar (como desporto)
43C218|corida de animais
43C2181|cães (corrida)
43C2182|pombos (corrida)
43C22|desportos, etc. na água
43C221|natação (desporto)
43C2211|mergulho (desporto)
43C22111|mergulho de profundidade
43C222|esqui aquático, surf
43C223|remo, canoagem, etc. (desporto)
43C224|vela (desporto)
43C225|corrida com embarcações a motor
43C23|desportos, etc. no ar
43C231|corridas aéreas
43C232|asa delta (desportos no ar)
43C233|vôo em balão (desporto)
43C234|descer de pára-quedas, pára-quedismo como desporto
43C24|desportos de inverno
43C241|trenó (desportos de inverno)
43C242|bobsled, tobogã (desportos de inverno)
43C243|trenó pequeno (luge) (desportos de inverno)
43C244|patins (desportos de inverno)
43C245|esquis (desportos de inverno)
43C2451|slalom (desportos de inverno)
43C2452|salto de esqui
43C2453|elevador de esqui (teleférico)
43C246|vela no gelo (desportos de inverno)
43C3|atletismo, ginástica
43C31|salto em altura (atletismo, ginástica)
43C311|salto à vara
43C312|salto no trampolim
43C32|salto em comprimento
43C321|triplo salto
43C33|lançamento de dardo
43C34|lançamento de peso
43C35|lançamento de disco
43C36|outros desportos no âmbito do atletismo
43C361|levantamento de pesos
43C37|exercícios de ginástica no chão
43C371|exercícios de ginástica com bastões, halteres, etc.
43C38|exercícios de ginástica com aparelhos
43C381|argolas (ginástica)
43C382|barra fixa (ginástica)
43C383|cavalo com alças (ginástica)
43C384|barras paralelas (ginástica)
43C39|combate (desporto)
43C391|boxe (desporto)
43C392|luta livre (desporto)
43C393|jiu-jitsu, judo, etc.
43C394|esgrima (desporto)
43C3941|florete
43C3942|sabre (~ esgrima)
43C395|jogos de corda (cabo de guerra)
43C396|combate (concursos medievais)
43C3961|luta de gladiadores
43C39611|luta entre homem e animal
43C3962|"pas d'armes" (disputa entre dois grupos por uma passagem ou ponte, etc.)
43C3963|torneio
43C39631|torneio, justa
43C396311|torneio, justa, sem barreira
43C396312|torneio, justa, com barreira
43C3964|outras formas de disputa entre cavaleiros
43C39641|"Buhurt", "Bouhourt" (disputa medieval)
43C39642|"Quintaine" (disputa medieval)
43C397|torneio desportivo
43C3971|jogos olímpicos da era moderna
43C3972|outras competições desportivas
43C4|jogos de perícia
43C41|jogos de bola
43C411|futebol (primeiras designações: soule, choule, cholle)
43C4111|râguebi
43C4112|futebol americano
43C412|jogos de bola em que são usadas as mãos (jogo de equipa)
43C4121|andebol
43C4122|basquetebol
43C4123|voleibol
43C4124|pólo aquático
43C413|jogos de bola em que a bola é batida com um objeto de madeira (jogo de equipa)
43C4131|lacrosse
43C4132|hóquei
43C41321|hóquei sobre o gelo
43C4133|pólo (a cavalo)
43C4134|críquete (jogo de bola)
43C4135|basebol
43C4136|stick ball
43C414|jogos de bola em que a bola é batida ou derrubada com bastão (jogo individual)
43C4141|"maille" (jogo de bola)
43C4142|golfe
43C4143|"kolf" (jogo de bola)
43C41431|"kolf" no gelo
43C4144|croquet
43C4145|bilhar
43C415|jogos de bola em que a bola é batida com uma raquete (ou mão)
43C4151|ténis, ténis em relvado
43C4152|pingue-pongue, ténis de mesa
43C4153|"jeu de Paume" 
43C4154|"jeu de volant", badmínton
43C4155|ténis com as mãos, bola à parede (game of fives)
43C416|jogos de bola em que a bola ou esfera é rolada 
43C4161|"jeu de boules"
43C4162|bowling (bólingue)
43C4163|lançar uma bola através de um círculo no chão
43C4164|nove pinos (bólingue), skittles (antigo jogo europeu, jogado na relva, do qual deriva o bólingue)
43C417|jogar a bola
43C4171|jogo da bola no copo, bilboqué
43C418|pinball, flipper
43C42|tiro ao alvo (~ jogos de perícia)
43C421|atirar com arco e flecha, tiro com arco (~ jogos de perícia)
43C4211|tiro aos pássaros (sobre um poste)
43C4212|campeão de tiro
43C422|tiro com revólver ou outra arma de cano curto (~ jogos de perícia)
43C423|atirar com carabina, espingarda ou outras armas de cano comprido (~ jogos de perícia)
43C424|alvo (~ tiro ao alvo)
43C43|"jeu de tonneau"
43C431|lançar o disco ao buraco de um barril (disc-golf)
43C432|jogo da malha
43C44|ioiô
43C441|air top, diabolo, bastões chineses (devil sticks)
43C45|jogo com lança e anel (~ jogos de perícia)
43C5|jogos de cálculo e sorte, e.g.: jogos de cartas, jogos de azar, quebra-cabeças, etc.
43C51|jogos de cartas
43C511|batoteiro
43C512|jogando às cartas
43C5121|jóquer
43C513|solitário, paciência (jogo de cartas)
43C52|jogos de tabuleiro
43C521|xadrez
43C5211|peças de xadrez
43C5212|homem e mulher jogando xadrez, a mulher ganha
43C522|gamão, tric-trac (variante do gamão)
43C523|jogo de damas
43C5231|peças do jogo de damas
43C53|jogos de sorte e de azar com um tabuleiro
43C531|jogo da glória, jogo do ganso
43C532|monopólio (jogos de sorte e de azar com um tabuleiro)
43C54|dominó
43C55|jogo de dados
43C551|truque (~ jogo de dados)
43C552|dado
43C56|apostar
43C561|apostar em desportos
43C562|roleta
43C57|tômbola
43C58|rifa, lotaria
43C581|sorteio ~ apostar
43C582|totalista, aposta e/ou prémio
43C59|quebra-cabeças, adivinha, enigma
43C591|charada
43C592|palavras cruzadas
43C593|puzzle
43C6|jogos de grupo
43C61|jogo com penalizações
43C62|dança das cadeiras
43C63|jogos de grupo com implicações eróticas, e.g.: concurso de beijos
43C631|bater no soldado, "haute coquilles", "la main chaude" (jogo de grupo)
43C64|saltar ao eixo (jogo de grupo)
43C68|adultos jogando jogos infantis
43C69|lutar
43C7|diversões e jogos para crianças
43C71|jogos sem material de jogo
43C711|jogos de corrida (crianças)
43C7111|jogos de corrida simples
