2|Natureza
25FF35(HORNBILL)|aves ornamentais: calau - FF - animais fantásticos
25FF35(PARROT)|aves ornamentais: papagaio - FF - animais fantásticos
25FF35(PEACOCK)|aves ornamentais: pavão - FF - FF - animais fantásticos
25FF36|animais fantásticos ~ aves aquáticas
25FF36(...)|aves aquáticas (com NOME) - FF - animais fantásticos
25FF36(COOT)|aves aquáticas: galeirão - FF - animais fantásticos
25FF36(DIPPER)|aves aquáticas: melro-de-água - FF - animais fantásticos
25FF36(DUCK)|aves aquáticas: pato - FF - animais fantásticos
25FF36(GOOSE)|aves aquáticas: ganso - FF - animais fantásticos
25FF36(PELICAN)|aves aquáticas: pelicano - FF - animais fantásticos
25FF36(SWAMP-HEN)|aves aquáticas: camão, caimão - FF - animais fantásticos
25FF36(SWAN)|aves aquáticas: cisne - FF - animais fantásticos
25FF37|animais fantásticos ~ aves limícolas
25FF37(...)|aves limícolas (com NOME) - FF - animais fantásticos
25FF37(BITTERN)|aves limícolas: abetouro - FF - animais fantásticos
25FF37(CRANE)|aves limícolas: grou - FF - animais fantásticos
25FF37(GULL)|aves limícolas: gaivota - FF - animais fantásticos
25FF37(HERON)|aves limícolas: garça - FF - animais fantásticos
25FF37(IBIS)|aves limícolas: íbis - FF - animais fantásticos
25FF37(LAPWING)|aves limícolas: abibe - FF - animais fantásticos
25FF37(MARABOU)|aves limícolas: marabu - FF - animais fantásticos
25FF37(PLOVER)|aves limícolas: borrelhos e tarambolas - FF - animais fantásticos
25FF37(PURPLE WATER-HEN)|aves limícolas: caimão - FF - animais fantásticos
25FF37(SNIPE)|aves limícolas: narceja - FF - animais fantásticos
25FF37(STORK)|aves limícolas: cegonha - FF - animais fantásticos
25FF37(TROCHILUS)|aves limícolas: felosa-musical - FF - animais fantásticos
25FF37(WOODCOCK)|aves limícolas: galinhola - FF - animais fantásticos
25FF371|"caladrius", "charadrius", borrelhos (ave fabulosa)
25FF38|animais fantásticos ~ aves corredoras
25FF38(...)|aves corredoras (com NOME) - FF - animais fantásticos
25FF38(BUSTARD)|aves corredoras: abetarda - FF - animais fantásticos
25FF38(OSTRICH)|aves corredoras: avestruz - FF - animais fantásticos
25FF38(PARTRIDGE)|aves corredoras: perdiz - FF - animais fantásticos
25FF38(PHEASANT)|aves corredoras: faisão - FF - animais fantásticos
25FF38(QUAIL)|aves corredoras: codorniz - FF - animais fantásticos
25FF38(TURKEY)|aves corredoras: perú - FF - FF - animais fantásticos
25FF39|animais fantásticos ~ outras aves
25FF39(...)|outras aves (com NOME) - FF - animais fantásticos
25FF39(CUCKOO)|outras aves: cuco - FF - animais fantásticos
25FF39(DODO)|outras aves: dodo - FF - animais fantásticos
25FF39(DOVE)|outras aves: pomba - FF - animais fantásticos
25FF39(HOOPOE)|outras aves: poupa - FF - animais fantásticos
25FF39(HUMMING-BIRD)|outras aves: beija-flor, colibri - FF - animais fantásticos
25FF39(KINGFISHER)|outras aves: guarda-rios - FF - animais fantásticos
25FF39(TURTLE DOVE)|outras aves: rola-brava - FF - animais fantásticos
25FF39(WOODPECKER)|outras aves: pica-pau - FF - animais fantásticos
25FF39(WRYNECK)|outras aves: torcicolo - FF - animais fantásticos
25FF4|animais fantásticos ~ répteis
25FF41|animais fantásticos ~ lagartos
25FF41(...)|lagartos (com NOME) - FF - animais fantásticos
25FF41(CHAMELEON)|lagartos: camaleão - FF - animais fantásticos
25FF41(LIZARD)|lagartos: lagarto - FF - animais fantásticos
25FF411|dragão
25FF412|salamandra (animal fantástico); salamandra como espírito de fogo
25FF42|animais fantásticos ~ serpentes (vibora-áspide, dragão, "hydrus", hidra, anfisbena, serpente-cornuda , "cerastes" (víbora-cornuda))
25FF42(...)|serpentes (com NOME) - FF - animais fantásticos
25FF42(VIPER)|serpentes: víbora - FF - animais fantásticos
25FF421|vibora-áspide
25FF422|dragão (serpente fabulosa grande, por vezes com asas e pernas)
25FF423|"hydrus" (serpente marinha)
25FF4231|"hydra"; "Hidra" (Ripa)
25FF424|"amphisbaena" (serpente com uma cabeça em ambas as extremidades)
25FF425|serpente-cornuda 
25FF4251|"cerastes" (víbora-cornuda)
25FF43|animais fantásticos ~ crocodilos
25FF43(...)|crocodilos (com NOME) - FF - animais fantásticos
25FF43(ALLIGATOR)|crocodilos: jacaré - FF - animais fantásticos
25FF43(CROCODILE)|crocodilos: crocodilo - FF - animais fantásticos
25FF44|animais fantásticos ~ tartarugas terrestres
25FF5|animais fantásticos ~ anfíbios
25FF51|animais fantásticos ~ anfíbios sem cauda (anuros)
25FF51(...)|anfíbios sem cauda (anuros) (com NOME) - FF - animais fantásticos
25FF51(FROG)|anfíbios sem cauda (anuros): rã - FF - animais fantásticos
25FF51(TOAD)|anfíbios sem cauda (anuros): sapo - FF - animais fantásticos
25FF52|animais fantásticos ~ anfíbios com cauda (urodelos)
25FF52(...)|tailless amphibians: toad - FF - fabulous animals (sometimes wrongly called 'grotesques'); 'Mostri' (Ripa)
25FF6|animais fantásticos ~ peixes
25FF61|leviatã (peixe fantástico)
25FF61(...)|peixes cartilagíneos (com NOME) - FF - animais fantásticos
25FF61(DOGFISH)|peixes cartilagíneos: cação - FF - animais fantásticos
25FF61(RAY)|peixes cartilagíneos: raia - FF - animais fantásticos
25FF61(SAWFISH)|peixes cartilagíneos: tubarões-serra - FF - animais fantásticos
25FF61(SHARK)|peixes cartilagíneos: tubarão - FF - animais fantásticos
25FF62|cavalo-marinho, "hippocampus", (cavalo/peixe) (monstro híbrido mitológico)
25FF62(...)|peixes ósseos (com NOME) - FF - animais fantásticos
25FF62(BARBEL)|peixes ósseos: barbo - FF - animais fantásticos
25FF62(BUTTERFISH)|peixes ósseos: pampos - FF - animais fantásticos
25FF62(CARP)|peixes ósseos: carpa - FF - animais fantásticos
25FF62(HERRING)|peixes ósseos: arenque - FF - animais fantásticos
25FF62(HIPPOCAMPUS)|peixes ósseos: cavalo-marinho - FF - animais fantásticos
25FF62(LUNGFISH)|peixes ósseos: dipnóicos ou peixes pulmonados - FF - animais fantásticos
25FF62(MACKEREL)|peixes ósseos: cavala - FF - animais fantásticos
25FF62(MULLET)|peixes ósseos: tainha - FF - animais fantásticos
25FF62(PIKE)|peixes ósseos: lúcio - FF - animais fantásticos
25FF62(PILOT-FISH)|peixes ósseos: peixe-piloto - FF - animais fantásticos
25FF62(RED HERRING)|arenque vermelho ou arenque fumado: Usar 41 C 68 (SMOKED HERRING); arenque: Use 25 F 62 (HERRING) - FF - animais fantásticos
25FF62(ROACH)|peixes ósseos: rutilo - FF - animais fantásticos
25FF62(SALMON)|peixes ósseos: salmão - FF - animais fantásticos
25FF62(SARDINE)|peixes ósseos: sardinha - FF - animais fantásticos
25FF62(SCARUS)|peixes ósseos: peixes-papagaio - FF - animais fantásticos
25FF62(SEA-BREAM)|peixes ósseos: pargos e afins - FF - animais fantásticos
25FF62(SEA-DEVIL)|peixes ósseos: manta-gigante ou tamboril e afins - FF - animais fantásticos
25FF62(SEA-PERCH)|peixes ósseos: perca-do-mar - FF - animais fantásticos
25FF62(SEA-WOLF)|peixes ósseos: peixes-lobo - FF - animais fantásticos
25FF62(SHEAT-FISH)|peixes ósseos: peixes-gato - FF - animais fantásticos
25FF62(STURGEON)|peixes ósseos: esturjão - FF - animais fantásticos
25FF62(SUN-FISH)|peixes ósseos: peixe-lua - FF - animais fantásticos
25FF62(SWORD-FISH)|peixes ósseos: peixe-espada - FF - animais fantásticos
25FF62(TUNNY)|peixes ósseos: atum - FF - animais fantásticos
25FF62(WEEVER)|peixes ósseos: peixe-aranha - FF - animais fantásticos
25FF63|"pistrix", dragão marinho
25FF63(...)|enguias (com NOME) - FF - animais fantásticos
25FF63(EEL)|enguias: enguia - FF - animais fantásticos
25FF63(LAMPREY)|enguias: lampreia - FF - animais fantásticos
25FF63(SEA-EEL)|enguias: enguia-do-mar - FF - animais fantásticos
25FF64|"remore", "echeneis remora" (peixes fantásticos)
25FF64(...)|peixes das profundezas (com NOME) - FF - animais fantásticos
25FF65|"serra" (peixe com barbatanas enormes)
25FF65(...)|outros peixes (com NOME) - FF - animais fantásticos
25FF7|animais fantásticos ~ invertebrados
25FF71|animais fantásticos ~ artrópodes ("pyrausta")
25FF711|"pyrausta" (mariposa)
25FF711(...)|insectos (com NOME) - FF - animais fantásticos
25FF711(ANT)|insectos: formiga - FF - animais fantásticos
25FF711(BEE)|insectos: abelha - FF - animais fantásticos
25FF711(BEETLE)|insectos: besouro - FF - animais fantásticos
25FF711(BUTTERFLY)|insectos: borboleta - FF - animais fantásticos
25FF711(CATERPILLAR)|insectos: lagarta - FF - animais fantásticos
25FF711(CICADA)|insectos: cigarra - FF - animais fantásticos
25FF711(CRICKET)|insectos: grilo - FF - animais fantásticos
25FF711(DAY-FLY)|insectos: efemerópteros - FF - animais fantásticos
25FF711(DUNG-BEETLE)|insectos: escaravelho-do-esterco - FF - animais fantásticos (por vezes incorrectamente designados  "grotesques"); "Mostri" (Ripa)
25FF711(FLY)|insectos: mosca - FF - animais fantásticos
25FF711(GLOW-WORM)|insectos: pirilampo - FF - animais fantásticos
25FF711(GNAT)|insectos: tipo de mosquito - FF - animais fantásticos
25FF711(GRASS-HOPPER)|insectos: gafanhoto - FF - animais fantásticos
25FF711(ICHNEUMON-FLY)|insectos: vespa parasita - FF - animais fantásticos
25FF711(LADYBIRD)|insectos: joaninha - FF - animais fantásticos
25FF711(MANTIS)|insectos: tipo de louva-a-deus - FF - animais fantásticos
25FF711(MOTH)|insectos: traça - FF - animais fantásticos
25FF711(PRAYING-MANTIS)|insectos: louva-a-deus - FF - animais fantásticos (por vezes incorrectamente designados  "grotesques"); "Mostri" (Ripa)
25FF711(SCARABAEUS)|insectos: escaravelho  - FF - animais fantásticos
25FF711(WASP)|insectos: vespa - FF - animais fantásticos
25FF712|centopeias, diplópodes - FF - animais fantásticos
25FF713|aranhas - FF - animais fantásticos
25FF714|ácaros - FF - animais fantásticos
25FF715|escorpiões - FF - animais fantásticos
25FF716|crustáceos - FF - animais fantásticos
25FF716(...)|crustáceos (com NOME) - FF - animais fantásticos
25FF716(CRAB)|crustáceos: caranguejo - FF - animais fantásticos
25FF716(LOBSTER)|crustáceos: lagosta - FF - animais fantásticos
25FF72|animais fantásticos ~ moluscos
25FF72(...)|animais fantásticos ~ moluscos (com NOME)
25FF72(CUTTLE-FISH)|moluscos: choco - FF - animais fantásticos
25FF72(KRAKEN)|animais fantásticos ~ moluscos: kraken
25FF72(MUREX)|moluscos: múrices (conchas) - FF - animais fantásticos
25FF72(MUSSEL)|marisco: mexilhão - FF - animais fantásticos
25FF72(NAUTILUS)|moluscos: naútilo - FF - animais fantásticos
25FF72(OCTOPUS)|moluscos: polvo - FF - animais fantásticos
25FF72(OYSTER)|mariscos: ostra - FF - animais fantásticos
25FF72(POLYP)|moluscos: pólipos - FF - animais fantásticos
25FF72(SNAIL)|moluscos: caracol - FF - animais fantásticos
25FF72(SQUID)|moluscos: lula - FF - animais fantásticos
25FF73|vermes - FF - animais fantásticos
25FF73(...)|vermes (com NOME) - FF - animais fantásticos
25FF74|equinodermos - FF - animais fantásticos
25FF74(...)|equinodermos (com NOME) - FF - animais fantásticos
25FF74(SEA-URCHIN)|equinodermos: ouriço-do-mar e afins - FF - animais fantásticos
25FF74(STARFISH)|equinodermos: estrela-do-mar - FF - animais fantásticos
25FF75|celenterados - FF - animais fantásticos
25FF75(...)|celenterados (com NOME) - FF - animais fantásticos
25FF75(CORAL)|celenterados: coral - FF - animais fantásticos
25FF75(JELLY-FISH)|celenterados: medusa, alforreca - FF - animais fantásticos
25FF75(SPONGE)|celenterados: esponja - FF - animais fantásticos
25FF76|organismos unicelulares, bactérias, bacilos - FF - animais fantásticos
25FF8|animais fantásticos ~ animais extintos
25FF8(...)|animais extintos (com NOME) - FF - animais fantásticos
25FF81|animais pré-históricos - FF - animais fantásticos
25FF82|animais fósseis - FF - animais fantásticos
25FF9|outros animais fantásticos que não podem ser classificados em 25 FF 2 - 25 FF 7
25FF91|monstros de grandes dimensões - FF animais fantásticos
25FF92|monstros de pequenas dimensões - FF - animais fantásticos
25FF93|nascimento múltiplo ~ animais deformados, monstros - FF - animais fantásticos
25FF94|monstros com partes em falta - FF - animais fantásticos
25FF95|monstros com algumas partes em maior número do que o natural - FF - animais fantásticos
25FF951|animal com três cabeças - FF - animais fantásticos
25FF952|animais com dois corpos e uma cabeça - FF - animais fantásticos
25FF96|monstros com membros, órgãos, etc. em locais incomuns - FF - animais fantásticos
25FF97|monstros com partes, membros, órgãos, etc. de forma anormal - FF - animais fantásticos
25FF971|monstros com partes, membros, órgãos, etc. de grandes dimensões - FF - animais fantásticos
25FF972|monstros com partes, membros, órgãos, etc. de pequenas dimensões - FF - animais fantásticos
25G|plantas; vegetação
25G1|plantas (em geral)
25G11|grupos de árvores
25G12|grupos de arbustos
25G13|grupos de plantas (ervas)
25G14|grupos de plantas inferiores
25G2|produtos das plantas em geral
25G21|frutos
25G21(...)|frutos (com NOME)
25G21(ACORN)|frutos: bolota
25G21(ALMOND)|frutos: amêndoa
25G21(APPLE)|frutos: maçã
25G21(BEANS)|frutos: feijões
25G21(BILBERRY)|frutos: mirtilho, arando ou uva-do-monte
25G21(CHERRY)|frutos: cereja
25G21(CHESTNUT)|frutos: castanha
25G21(FIG)|frutos: figo
25G21(GOURD)|frutos: cabaças
25G21(KAKI PERSIMMON)|frutos: dióspiro ou caqui
25G21(LEMON)|frutos: limão
25G21(MEDLAR)|frutos: nêspera
25G21(MELON)|frutos: melão
25G21(MULBERRY)|frutos: amora (da amoreira)
25G21(NUTS)|frutos: avelãs
25G21(OLIVE)|frutos: azeitona
25G21(PEACH)|frutos: pêssego
25G21(PEAR)|frutos: pêra
25G21(PINE-CONE)|frutos: pinha de pinheiro
25G21(PINEAPPLE)|frutos: ananás
25G21(PLUM)|frutos: ameixa
25G21(POMEGRANATE)|frutos: romã
25G21(PUMPKIN)|frutos: abóbora
25G21(QUINCE)|frutos: marmelo
25G21(RASPBERRY)|frutos: framboesa
25G21(SPRUCE-CONE)|frutos: pinha de pícea (ou espruce)
25G21(STRAWBERRY)|frutos: morango
25G21(WALNUT)|frutos: noz
25G211|partes de um fruto
25G211(...)|partes de um fruto (com NOME)
25G211(NUTSHELL)|partes de um fruto: casca de noz
25G2111|semente
25G2111(...)|semente (com NOME)
25G2111(PEA)|semente: ervilha
25G2111(THISTLE-SEED)|semente: semente de cardo
25G22|produtos (não frutícolas) de plantas ou árvores
25G22(...)|produtos (não frutícolas) de plantas ou árvores(com NOME)
25G22(ASPARAGUS)|produtos (não frutícolas) de plantas ou árvores: espargos
25G22(CINNAMON)|produtos (não frutícolas) de plantas ou árvores: canela
25G22(ONION)|produtos (não frutícolas) de plantas ou árvores: cebola
25G22(RADISH)|produtos (não frutícolas) de plantas ou árvores: rabanete
25G22(TURNIP)|produtos (não frutícolas) de plantas ou árvores: nabo
25G3|árvores
25G3(...)|árvores (com NOME)
25G3(ACACIA)|árvores: acácia e afins
25G3(ALDER)|árvores: amieiro
25G3(ALMOND-TREE)|árvores: amendoeira
25G3(APPLE-TREE)|árvores: macieira
25G3(ASH-TREE)|árvores: freixo
25G3(AVOCADO)|árvores: abacateiro
25G3(BEECH)|árvores: faia
25G3(BIRCH)|árvores: bétula
25G3(CEDAR)|árvores: cedro
25G3(COCONUT-TREE)|árvores: coqueiro
25G3(CYPRESS)|árvores: cipreste
25G3(DATE-PALM)|árvores: tamareiras
25G3(DRACENA)|árvores: dragoeiro
25G3(ELM)|árvores: ulmeiro 
25G3(FIG-TREE)|árvores: figueira
25G3(FIR)|árvores: abeto
25G3(HOLM-OAK)|árvores: azinheira
25G3(INDIAN BANYAN)|árvores: figueira-de-bengala
25G3(LAUREL)|árvores: loureiro
25G3(LEMON-TREE)|árvores: limoeiro
25G3(LINDEN)|árvores: tília
25G3(MULBERRY-TREE)|árvores: amoreira
25G3(MYRRH-TREE)|árvores: mirra
25G3(OAK)|árvores: carvalho
25G3(OLEASTER)|árvores: zambujeiro, oliveira-brava
25G3(OLIVE-TREE)|árvores: oliveira
25G3(ORANGE-TREE)|árvores: laranja
25G3(PALM-TREE)|árvores: palmeira
25G3(PEACH-TREE)|árvores: pessegueiro
25G3(PINE)|árvores: pinheiro
25G3(PLANE-TREE)|árvores: plátano
#25G3(PLUM-TREE)|trees: plum-tree
25G3(POMEGRANATE-TREE)|árvores: romazeira
25G3(POPLAR)|árvores: choupo
25G3(QUINCE-TREE)|árvores: marmeleiro
25G3(SPRUCE)|árvores: pícea, espruce
25G3(STINKING BEAN TREFOIL)|árvores: anágira-fétida
25G3(WALNUT-TREE)|árvores: nogueira
25G3(WHITE POPLAR)|árvores: choupo-branco
25G3(WILLOW)|àrvores: salgueiro
25G3(YEW)|árvores: teixo
25G31|arbustos
25G31(...)|arbustos (com NOME)
25G31(BLACKBERRY-BUSH)|arbustos: amoreira-silvestre
25G31(BOX)|arbustos: buxo
25G31(BROOM)|arbustos: giesta
25G31(BUCKTHORN)|arbustos: espinheiro
25G31(HAZEL)|arbustos: aveleira (avelaneira ou avelãzeira)
25G31(JUNIPER)|arbustos: zimbro, cedros e afins
25G31(MYRTLE)|arbustos: murta 
25G31(OLEANDER)|arbustos: aloendro
25G31(PRIVET)|arbustos: alfeneiro, ligustro
25G31(ROSE-BUSH)|arbustos: roseira
25G39|árvore como um esquema de relações, diagrama em forma de árvore
25G4|plantas e ervas
25G4(...)|plantas e ervas (com NOME)
25G4(ACANTHUS)|plantas e ervas: acanto
25G4(ALOE)|plantas e ervas: aloé
25G4(AMARANTH)|plantas e ervas: amaranto
25G4(ARTICHOKE)|plantas e ervas: alcachofra
25G4(BASIL)|plantas e ervas: manjericão
25G4(BEAN)|plantas e ervas: feijão
25G4(CABBAGE)|plantas e ervas: couve
25G4(CAMOMILE)|plantas e ervas: camomila
25G4(CHONDRILLA)|plantas e ervas: leituga
25G4(CLOVER)|plantas e ervas: trevo
25G4(DICTAMNUS)|plantas e ervas: dictamo-branco
25G4(FIELD ERYNGO)|plantas e ervas: cardo-corredor, cardo-de-palma
25G4(FLEA-BANE)|plantas e ervas: asteráceas
25G4(GARLIC)|plantas e ervas: alho
25G4(GERMANDER)|plantas e ervas: camédrios, carvalhinha
25G4(GIANT FENNEL)|plantas e ervas: canafrecha, férula-vulgar
25G4(GROUNDSEL)|plantas e ervas: senécio
25G4(HELLEBORE)|plantas e ervas: heléboro e afins
25G4(HEMLOCK)|plantas e ervas: cicuta
25G4(HENBANE)|plantas e ervas: meimendro
25G4(HOP)|plantas e ervas: lúpulo
25G4(HOUSELEEK)|plantas e ervas: semprevivo 
25G4(HYSSOP)|plantas e ervas: hissopo
25G4(IVY)|plantas e ervas: hera
25G4(LETTUCE)|plantas e ervas: alface
25G4(LUPIN)|plantas e ervas: tremoceiro
25G4(MANDRAKE)|plantas e ervas: mandrágora
25G4(MARJORAM)|plantas e ervas: manjerona
25G4(MISTLETOE)|plantas e ervas: visco
25G4(NETTLE)|plantas e ervas: urtiga
25G4(ORIGANUM)|plantas e ervas: oregão 
25G4(PEA)|plantas e ervas: ervilha
25G4(PENNYROYAL)|plantas e ervas: poejo
25G4(PEONY)|plantas e ervas: peónia
25G4(PUMPKIN)|plantas e ervas: abóbora
25G4(REED)|plantas e ervas: canas, juncos e afins
25G4(ROCKET)|plantas e ervas: rúcula
25G4(RUE)|plantas e ervas: arruda
25G4(SAFFRON)|plantas e ervas: açafrão
25G4(SAGE)|plantas e ervas: salva
25G4(STINGING-NETTLE)|plantas e ervas: urtiga-comum
25G4(STRAWBERRY)|plantas e ervas: morango
25G4(SUNDEW)|plantas e ervas: drosera, orvalhinha
25G4(THISTLE)|plantas e ervas: cardos e afins
25G4(THYME)|plantas e ervas: tomilho
25G4(WATER-HEMLOCK)|plantas e ervas: cicuta-aquática
25G4(WHEAT)|plantas e ervas: trigo
25G4(WORMWOOD)|plantas e ervas: artemísia
25G41|flores
25G41(...)|flores (com NOME)
25G41(ALMOND-BLOSSOM)|flores: flor da amendoeira
25G41(ANEMONE)|flores: anémona
25G41(BUTTERCUP)|flores: ranúnculo
25G41(CARNATION)|flores: cravo
25G41(COLUMBINE)|flores: columbina, aquilégia
25G41(CORNFLOWER)|flores: centáurea
25G41(CROCUS)|flores: açafrão
25G41(HELIOTROPE)|flores: heliotrópios
25G41(HYACINTH)|flores: jacinto
25G41(IMMORTELLE)|flores: perpétua-das-areias
25G41(LILY)|flores: lírio
25G41(LOTUS)|flores: lótus
25G41(NARCISSUS)|flores: narciso
25G41(ORCHID)|flores: orquídea
25G41(PETUNIA)|flores: petúnia
25G41(POPPY)|flores: papoila
25G41(ROSE)|flores: rosa
25G41(SUNFLOWER)|flores: girassol 
25G41(TULIP)|flores: tulipa
25G41(VIOLET)|flores: violeta
25G41(WATER-LILY)|flores: nenúfar
25G411|flores de corte;  bouquet, ramo de flores
25G411(...)|flores de corte;  bouquet, ramo de flores (com NOME)
25G412|flores secas
25G412(...)|flores secas (com NOME)
25G49|plantas e flores artificiais
25G5|plantas inferiores
25G51|fetos
25G52|musgos
25G53|algas, algas marinhas
25G54|fungos
25G541|cogumelos
25G55|líquenes
25G56|outras plantas inferiores
25G56(...)|outras plantas inferiores (com NOME)
25G6|plantas extintas
25G6(...)|plantas extintas (com NOME)
25G61|plantas pré-históricas
25G62|plantas fósseis
25G7|linguagem das flores (floriografia)
25GG|plantas fantásticas, vegetação fantástica
25GG1|plantas fantásticas (em geral)
25GG11|grupos de árvores fantásticas
25GG12|grupos de arbustos fantásticos
25GG13|grupos de plantas fantásticas (ervas)
25GG14|grupos de plantas inferiores fantásticas
25GG2|produtos de plantas fantásticas, em geral
25GG21|frutos de plantas fantásticas
25GG21(...)|frutos de plantas fantásticas (com NOME)
25GG21(ACORN)|frutos: bolota - GG - plantas fantásticas, vegetação fantástica
25GG21(ALMOND)|frutos: amêndoa - GG - plantas fantásticas, vegetação fantástica
25GG21(APPLE)|frutos: maçã - DD - plantas fantásticas, vegetação fantástica
25GG21(BEANS)|frutas: feijões - DD - plantas fantásticas, vegetação fantástica
25GG21(BILBERRY)|frutos: mirtilho, arando ou uva-do-monte - DD - plantas fantásticas, vegetação fantástica
25GG21(CHERRY)|frutos: cereja - DD - plantas fantásticas, vegetação fantástica
25GG21(CHESTNUT)|frutos: castanha - DD - plantas fantásticas, vegetação fantástica
25GG21(FIG)|frutos: figo - DD - plantas fantásticas, vegetação fantástica
25GG21(GOURD)|frutos: cabaças - DD - plantas fantásticas, vegetação fantástica
25GG21(LEMON)|frutos: limão - GG - plantas fantásticas, vegetação fantástica
25GG21(MEDLAR)|frutos: nêspera - DD - plantas fantásticas, vegetação fantástica
25GG21(MELON)|frutos: melão - DD - plantas fantásticas, vegetação fantástica
25GG21(NUTS)|frutos: avelãs - DD - plantas fantásticas, vegetação fantástica
25GG21(PEACH)|frutos: pêssego - DD - plantas fantásticas, vegetação fantástica
25GG21(PEAR)|frutos: pêra - DD - plantas fantásticas, vegetação fantástica
25GG21(PINE-CONE)|frutos: pinha de pinheiro - DD - plantas fantásticas, vegetação fantástica
25GG21(PINEAPPLE)|frutos: ananás - DD - plantas fantásticas, vegetação fantástica
25GG21(PLUM)|frutos: ameixa - DD - plantas fantásticas, vegetação fantástica
25GG21(POMEGRANATE)|frutos: romã - DD - plantas fantásticas, vegetação fantástica
25GG21(PUMPKIN)|frutos: abóbora - DD - plantas fantásticas, vegetação fantástica
25GG21(QUINCE)|frutas: marmelo - DD - plantas fantásticas, vegetação fantástica
25GG21(SPRUCE-CONE)|frutas: pinha de pícea (ou espruce) - DD - plantas fantásticas, vegetação fantástica
25GG21(STRAWBERRY)|frutas: morango - DD - plantas fantásticas, vegetação fantástica
25GG21(WALNUT)|frutos: noz - DD - plantas fantásticas, vegetação fantástica
25GG211|partes de um fruto de uma planta fantástica
25GG211(...)|partes de um fruto de uma planta fantástica (com NOME)
25GG211(NUTSHELL)|partes de um fruto: casca de noz - GG - plantas fantásticas, vegetação fantástica
25GG2111|semente de planta fantástica
25GG2111(...)|semente de planta fantástica (com NOME)
25GG2111(PEA)|semente: ervilha - DD - plantas fantásticas, vegetação fantástica
25GG2111(THISTLE-SEED)|semente: semente de cardo - DD - plantas fantásticas, vegetação fantástica
25GG22|produtos (não frutícolas) de plantas ou árvores fantásticas
25GG22(...)|produtos (não frutícolas) de plantas ou árvores fantásticas (com NOME)
25GG22(ASPARAGUS)|produtos (não frutícolas) de plantas ou árvores fantásticas: espargos - DD - plantas fantásticas, vegetação fantástica
25GG22(CINNAMON)|produtos (não frutícolas) de plantas ou árvores fantásticas: canela - GG - plantas fantásticas, vegetação fantástica
25GG22(ONION)|produtos (não frutícolas) de plantas ou árvores fantásticas: cebola - DD - plantas fantásticas, vegetação fantástica
25GG22(RADISH)|produtos (não frutícolas) de plantas ou árvores fantásticas: rabanete - DD - plantas fantásticas, vegetação fantástica
25GG22(TURNIP)|produtos (não frutícolas) de plantas ou árvores fantásticas: nabo - DD - plantas fantásticas, vegetação fantástica
25GG3|árvores fantásticas
25GG3(...)|árvores fantásticas (com NOME)
25GG3(ACACIA)|árvores: acácia e afins - DD - plantas fantásticas, vegetação fantástica
25GG3(ALDER)|árvores: amieiro - DD - plantas fantásticas, vegetação fantástica
25GG3(ALMOND-TREE)|árvores: amendoeira - DD - plantas fantásticas, vegetação fantástica
25GG3(APPLE-TREE)|árvores: macieira - DD - plantas fantásticas, vegetação fantástica
25GG3(AVOCADO)|árvores: abacateiro - DD - plantas fantásticas, vegetação fantástica
25GG3(BEECH)|árvores: faia - GG - plantas fantásticas, vegetação fantástica
25GG3(BIRCH)|árvores: bétula - GG - plantas fantásticas, vegetação fantástica
25GG3(CEDAR)|árvores: cedro: - DD - plantas fantásticas, vegetação fantástica
25GG3(COCONUT-TREE)|árvores: coqueiro - DD - plantas fantásticas, vegetação fantástica
25GG3(CYPRESS)|árvores: cipreste - DD - plantas fantásticas, vegetação fantástica
25GG3(DATE-PALM)|árvores: tamareira - DD - plantas fantásticas, vegetação fantástica
25GG3(DRACENA)|árvores: dragoeiro - DD - plantas fantásticas, vegetação fantástica
25GG3(ELM)|árvores: ulmeiro - DD - plantas fantásticas, vegetação fantástica
25GG3(FIG-TREE)|árvores: figueira - DD - plantas fantásticas, vegetação fantástica
25GG3(FIR)|árvores: abeto - DD - plantas fantásticas, vegetação fantástica
25GG3(HOLM-OAK)|árvores: azinheira - DD - plantas fantásticas, vegetação fantástica
25GG3(LAUREL)|árvores: loureiro - DD - plantas fantásticas, vegetação fantástica
25GG3(LEMON-TREE)|árvores: limoeiro - GG - plantas fantásticas, vegetação fantástica
25GG3(LINDEN)|árvores: tília - DD - plantas fantásticas, vegetação fantástica
25GG3(MULBERRY-TREE)|árvores: amoreira - DD - plantas fantásticas, vegetação fantástica
25GG3(MYRRH-TREE)|árvores: mirra - DD - plantas fantásticas, vegetação fantástica
25GG3(OAK)|árvores: carvalho - DD - plantas fantásticas, vegetação fantástica
25GG3(OLIVE-TREE)|árvores: oliveira - DD - plantas fantásticas, vegetação fantástica
25GG3(ORANGE-TREE)|árvores: laranja - DD - plantas fantásticas, vegetação fantástica
25GG3(PALM-TREE)|árvores: palmeira - DD - plantas fantásticas, vegetação fantástica
25GG3(PEACH-TREE)|árvores: pessegueiro - DD - plantas fantásticas, vegetação fantástica
25GG3(PINE)|árvores: pinheiro - DD - plantas fantásticas, vegetação fantástica
25GG3(PLANE-TREE)|árvores: plátano - DD - plantas fantásticas, vegetação fantástica
25GG3(POMEGRANATE-TREE)|árvores: romãnzeira - DD - plantas fantásticas, vegetação fantástica
25GG3(POPLAR)|árvores: álamo (choupo) - DD - plantas fantásticas, vegetação fantástica
