5|Ideias e conceitos abstractos
71D1731|José acusa os seus irmãos de serem espiões e manda-os para a prisão
71D174|os irmãos de José são liberados da prisão
71D175|José anuncia a seus irmãos que vai manter um deles como refém na prisão, e manda os outros a casa para que trouxessem Benjamim até ele
71D1751|os irmãos de José relembram o mal que tinham feito e arrependem-se; José ouve a conversa e afasta-se chorando
71D1752|José regressa, escolhe Simeão e manda-o encarcerar
71D176|José dá trigo a seus irmãos; José ordena que seja colocado, secretamente, dinheiro nos seus sacos
71D177|os irmãos de José carregam os burros (jumentos) e deixam o Egipto
71D1771|no acampamento um dos irmãos de José encontrara o dinheiro no seu saco
71D178|os irmãos de José, de regresso a Canaã, junto de Jacob, esvaziam os seus sacos e cada um deles descobre um saco de dinheiro
71D1781|Jacob recusa que Benjamim seja levado para o Egipto apesar da exortação de Rúben
71D18|segunda viagem dos irmãos de José para o Egipto (Génesis 43)
71D181|Judá convence o desesperado Jacob a deixar partir Benjamin
71D1811|o adeus de Jacob a Benjamin
71D182|os irmãos de José em viagem para o Egipto com Benjamim, e com presentes para José
71D183|José recebe os seus irmãos e Benjamim
71D1831|José ordena que seja preparado um banquete em sua casa
71D1832|à porta da casa de José os seus irmãos falam com o intendente; Simeão é levado até eles
71D1833|preparativos para o banquete na casa de José
71D18331|os irmãos de José lavam os pés
71D184|quando José regressa a casa, recebe os seus irmãos; eles prostam-se perante ele e oferecem-lhe presentes
71D1841|vendo Benjamim, José ficou enternecido e saiu porque teve necessidade de chorar
71D18411|José lava o rosto
71D185|o banquete na casa de José: o assombro dos seus irmãos ao serem sentados por ordem de idades; Benjamim foi beneficiado com uma porção maior de comida
71D1851|José, segurando o copo de adivinhação revela o nome e a idade dos irmãos
71D19|a taça desaparecida ~ história de José (Génesis 44-45)
71D191|José ordena que seja colocada uma taça de prata no saco de Benjamim
71D192|os irmãos de José partem em viagem de regresso a casa
71D1921|os servos de José em perseguição dos seus irmãos
71D1922|a taça é encontrada no saco de Benjamim
71D1923|os irmãos de José regressam à cidade
71D193|os irmãos perante José: Judá apela por Benjamim e oferece-se para ser mantido como escravo no seu lugar
71D1931|José revela a sua identidade e em lágrimas perdoa os seus irmãos pelas ofensas passadas
71D194|O faraó manda os irmãos de José, com carroças, para que trouxessem as suas famílias e Jacob
71D195|os irmãos de José, com carros e burros (jumentos) carregados de trigo, regressam para Jacob
71D196|é dito a Jacob qual a posição de José
71D2|história de José (parte 2)
71D21|Jacob e sua família vão para o Egipto
71D211|Jacob oferece um sacrifício em Bercheba
71D212|visão de Jacob: Deus aparece-lhe à noite e sanciona a sua viagem para o Egipto
71D213|Jacob, com a sua família, gado e bens, partem para o Egipto com as carroças
71D22|Jacob e sua família no Egipto (Génesis 46, 28-34, 47, 1-12)
71D221|Judá foi enviado à frente para o Egipto para anunciar a chegada de Jacob
71D2211|José vai a Góchen para encontrar o seu pai
71D222|o encontro entre Jacob e José em Góchen 
71D223|José e cinco dos seus irmãos contam ao Faraó sobre a chegada de Jacob
71D224|Jacob é apresentado ao Faraó por José
71D225|Jacob e seus filhos estabelecem-se na terra de Góchen
71D226|José fornece comida a seu pai, seus irmãos e sua família
71D23|fome no Egipto (continuação) (Génesis 47, 13-26)
71D231|os egípcios imploram por pão; vendem o seu gado em troca de trigo
71D232|os egípcios vendem as suas terras para comprar trigo; o território torna-se propriedade do Faraó, excepto o que pertence aos sacerdotes
71D2321|José promulga a lei segundo a qual um quinto da produção do solo deve pertencer ao Faraó
71D24|últimos dias de Jacob (Génesis 47, 27 - 49, 32)
71D241|o velho Jacob chama por José e pede-lhe para jurar que o irá enterrar em Canaã
71D242|José leva seus dois filhos, Manassés e Efraim, à cabeceira de Jacob
71D2421|Jacob abençoa Manassés e Efraim com os braços cruzados; José pode ser representado a tentar descruzá-los ou a expressar (com Assenat) a sua desaprovação
71D24211|Jacob abençoa Manassés e Efraim com os braços descruzados
71D2422|Jacob abençoa José
71D243|Jacob abençoa os seus filhos
71D2431|Jacob abençoa Judá: "Judá é um leãozinho"
71D24311|O leão de Judá
71D2432|Jacob amaldiçoa Simeão e Levi
71D25|morte de Jacob (Génesis 49, 33, 50, 1-14)
71D251|José ordena o embalsamento de Jacob
71D252|José leva o corpo de seu pai para Canaã com grande pompa
71D253|Jacob é enterrado na caverna de Macpela
71D254|José e seus irmãos regressam ao Egipto
71D26|últimos anos de José (Génesis 50, 15-26)
71D261|os irmãos de José temem uma possível vingança de José e imploram pelo seu perdão
71D262|morte de José
71E|Êxodo, Levítico, Números, Deuteronómio, Josué: desde o cativeiro dos israelitas no Egipto à fixação em Canaã
71E1|o Livro do Êxodo: história de Moisés e Aarão
71E11|Êxodo (parte 1): acontecimentos prévios e preparação para a saída de Israel do Egipto
71E111|opressão dos israelitas no Egipto (Êxodo 1)
71E1111|os descendentes dos filhos de Jacob multiplicaram-se
71E1112|o Faraó ordena a opressão dos israelitas
71E1113|os israelitas são obrigados a trabalhos forçados ~ Êxodo
71E11131|os israelitas constroem as cidades de Pitom e Ramessés
71E11132|os israelitas fabricam tijolos ~ Êxodo
71E11133|os israelitas trabalham nos campos ~ Êxodo
71E1114|o Faraó ordena a Chifra e Pua, as duas parteiras, que matem todos os bebés israelitas do sexo masculino
71E11141|as duas parteiras desobedecem à ordem
71E11142|o Faraó interroga as parteiras
71E1115|o Faraó decreta o afogamento de todos os novos bebés do sexo masculino entre os israelitas
71E112|nascimento e educação de Moisés (Êxodo 2, 1-10)
71E1121|o casamento dos pais de Moisés
71E1122|nascimento de Moisés
71E11221|a mãe de Moisés, Jocbed, esconde-o durante três meses
71E11222|Joquebed arranja uma cesta de papiro revestida com betume e pez e coloca Moisés lá dentro
71E1123|Moisés, na cesta, é deixado nas margens do Nilo; Maria, irmã de Moisés, aguarda a uma certa distância
71E11231|Moisés (sozinho) nos juncos
71E1124|a descoberta de Moisés: a filha do Faraó vai tomar banho no rio com suas servas e descobre a criança flutuando na água
71E11241|Moisés é retirado da água pelas servas
71E1125|Moisés é apresentado ou à filha de Faraó, ou rodeado de mulheres acariciando-o
71E11251|Maria induz a filha do Faraó a confiar Moisés a uma ama hebraica
71E11252|Moisés é confiado ao cuidado da mãe
71E112521|a mãe de Moisés amamentando o filho
71E1126|quando Moisés já estava crescido, a sua mãe leva-o à filha do Faraó, que o adopta
71E1127|Moisés é educado no palácio do rei
71E11271|Moisés e a coroa do Faraó: o Faraó, em brincadeira, coloca a sua coroa na cabeça do bebé Moisés, que a atira ao chão pisando-a; ou Moisés quebra a coroa enquanto brinca
71E112711|a prova de fogo de Moisés: quando lhe é dada a escolha entre dois pratos, um com brasas, o outro com um anel de rubi (ou cerejas), Moisés escolhe as brasas e coloca-as na boca
71E11272|o bebé Moisés entre os filósofos
71E113|Moisés e o seu povo; a fuga para Madian (Êxodo 2:11-25)
71E1131|Moisés percebe que os israelitas são obrigados a fazer trabalhos forçados
71E11311|Moisés observa um dos seus compatriotas a ser espancado por um capataz egípcio
71E11312|Moisés mata o capataz egípcio
71E113121|Moisés enterra o corpo do capataz egípcio na areia
71E11313|Moisés, quando repreende dois israelitas que brigavam, é censurado pelo assassinato do egípcio
71E11314|o Faraó é informado do assassinato do egípcio
71E11315|Moisés foge para Madian
71E1132|Moisés ao pé de um poço, conhece as sete filhas de Jetro, o sacerdote de Madian
71E11321|Moisés afasta os pastores que queriam impedir as filhas de Jetro de dar de beber ao rebanho de seu pai
71E11322|Moisés dá de beber às ovelhas das filhas de Jetro
71E11323|as sete filhas de Jetro regressam a casa
71E1133|Moisés é recebido na casa de Jetro
71E1134|casamento de Moisés e Séfora
71E11341|nascimento de Gérson, filho de Moisés
71E1135|morte do Faraó
71E1136|Deus olha para a condição dos israelitas
71E114|a vocação de Moisés (Êxodo 3-4)
71E1141|enquanto guarda o rebanho de Jetro, Moisés chega a Horeb
71E11411|uma sarça ardente atrai a atenção de Moisés
71E1142|a sarça ardente ~ chamamento de Moisés
71E11421|Moisés tira as sandálias
71E11422|Moisés, ajoelhado perante a sarça e escondendo a face, ouve Deus
71E11423|os milagres ~ a vocação de Moisés
71E114231|milagre da vara que se transforma numa cobra; Moisés pode ser representado a fugir da cobra
71E114232|milagre da mão leprosa ~ Moisés e a sarça ardente
71E114233|milagre da água que se transforma em sangue ~ sarça ardente
71E114234|a Moisés é-lhe dado uma vara
71E1143|partida de Moisés e Jetro - o chamamento de Moisés
71E1144|Moisés parte para o Egipto: leva a sua vara e é acompanhado pela esposa e filhos num burro (jumento)
71E1145|numa pousada, Deus (ou o anjo de Deus) tenta matar Moisés
71E11451|Séfora apazigua Deus ao circuncidar um dos seus filhos
71E1146|Deus aparece a Aarão
71E11461|Aarão encontra Moisés e beija-o
71E1147|Moisés e Aarão reúnem todos os líderes dos israelitas
71E11471|Aarão fala aos israelitas
71E11472|Moisés realiza os milagres perante o povo
71E115|Moisés fala com Deus (em geral)
71E116|Moisés e Aarão confrontam o Faraó (Êxodo 5-7:13)
71E1161|o Faraó ordena aos capatazes que parem de fornecer palha ao povo para fazer tijolos
71E1162|os israelitas queixam-se a Moisés e a Aarão (~ Faraó)
71E1163|Moisés instrui os israelitas
71E1164|Moisés e Aarão perante o Faraó; Aarão realiza o milagre da vara que se transforma num dragão (serpente)
71E11641|todos os magos convocados pelo Faraó transformam as suas varas num dragão (serpente), mas a vara de Aarão engole as varas deles
71E117|as dez pragas (Êxodo 7, 14 - 11:10, 12, 21-30)
71E1171|cenas recorrentes ~ as dez pragas
71E11711|Moisés (e Aarão) perante o Faraó no trono (cena recorrente ~ as dez pragas)
71E11712|Moisés (e Aarão) cessam uma das pragas (cena recorrente ~ as dez pragas)
71E11713|os servos queixam-se com ao Faraó (cena recorrente ~ as dez pragas)
71E1172|as dez pragas (parte 1)
71E11721|a praga da água que se transforma em sangue: quando o Faraó desce até ao Nilo, Aarão atinge a superfície do rio com a sua vara; a água transforma-se em sangue e todos os peixes morrem
71E11722|a praga de rãs: Aarão estende a mão sobre as águas do Egipto; rãs saem e cobrem a terra
71E117221|rãs invadem o palácio do Faraó (Êxodo 7, 26-29 ou 8, 1-4)
71E11723|a praga dos mosquitos: Aarão atinge o chão com a sua vara e o pó transforma-se em mosquitos
71E11724|a praga das moscas que enchem as casas dos egípcios
71E11725|a praga da morte do gado: todos os animais do Egipto morrem
71E11726|a praga das chagas: Moisés lança uma mão-cheia de cinzas para os céus diante do Faraó, e isso causa úlceras nas pessoas e nos animais
71E11727|a praga do granizo: Moisés levanta a sua vara para o céu, e caem na terra granizo e fogo
71E11728|a praga de gafanhotos: quando Moisés levanta as mãos chegam os gafanhotos e devoram tudo o que tinha sobrevivido ao granizo
71E11729|a praga da trevas: Moisés levanta as mãos para o céu e houve escuridão total durante três dias
71E1173|as dez pragas (parte 2)
71E11731|preliminares à décima praga
71E117311|Moisés prevê a morte dos primogénitos
71E117312|Moisés proclama a Páscoa
71E117313|celebração da primeira Páscoa
71E1173131|com o sangue de cordeiro os israelitas fazem sinais (normalmente um tau) nas ombreiras das portas de suas casas
71E1173132|os israelitas comem o cordeiro pascal em pé, ao lado de uma mesa, com os rins cingidos, as sandálias nos pés e o cajado na mão, prontos para partir (à pressa)
71E11732|a praga dos primogénitos: o anjo exterminador passa sobre a terra e mata todos os primogénitos egípcios de homens e animais
71E117321|o Faraó lamenta a morte do filho ~ as dez pragas
71E118|os israelitas saem do Egipto; primeira deslocação de Ramessés para Sucot (Êxodo 12, 31 - 13, 16)
71E1181|durante a noite o Faraó manda chamar Moisés e Aarão e implora-lhes que partam
71E1182|os egípcios exortam os israelitas a deixar o país
71E1183|os israelitas preparam-se para sair: o povo enche as gamelas com massa de pão ázimo, envolvida em roupas e carregam-nas aos ombros
71E1184|os egípcios entregam as suas jóias e vestuário aos israelitas
71E1185|os israelitas cozem pão ázimo a partir da massa
71E1186|a consagração do primogénito
71E12|Êxodo (parte 2): viagem de Israel para o Monte Sinai
71E121|viagem dos israelitas de Sucot para o Mar Vermelho (Êxodo 13, 17-20)
71E1211|Moisés leva consigo os ossos de José
71E1212|a coluna de nuvens e a coluna de fogo ~ Êxodo
71E12121|durante o dia uma coluna de nuvens (e/ou o anjo de Deus) mostra o caminho ao povo
71E12122|durante a noite uma coluna de fogo alumia os israelitas (Êxodo 14)
71E122|travessia do Mar Vermelho
71E1221|o Faraó vem a saber da fuga dos israelitas
71E12211|o Faraó e o seu exército lançam-se em perseguição dos israelitas
71E12212|o povo de Israel murmura contra Moisés
71E1222|Moisés levanta a sua vara e a água divide-se (Mar Vermelho); o anjo de Deus e a coluna de nuvens movem-se para a retaguarda
71E12221|o povo passa através da terra seca (egípcios não são visíveis ou pouco visíveis); o anjo de Deus e a coluna de nuvens podem ser representados na retaguarda
71E12222|os egípcios perseguem os israelitas no mar
71E1223|com o seu povo em segurança na margem, Moisés levanta a mão e a água volta ao seu leito; o exército do Faraó perece na água (Mar Vermelho)
71E12231|o Faraó e o seu exército são engolidos pelo Mar Vermelho (israelitas não são visíveis ou pouco visíveis)
71E123|depois de atravessarem o Mar Vermelho os israelitas alegram-se e louvam a Deus
71E1231|cântico de Moisés ~ Êxodo
71E1232|Maria pega numa pandeireta e dança; todas as mulheres a seguem
71E12321|o cântico de louvor de Maria ~ Êxodo
71E124|os israelitas em Mara e Elim (Êxodo 15, 22-27)
71E1241|milagre da água de Mara que se torna doce
71E12411|no deserto o povo murmura contra Moisés por causa da água amarga
71E12412|Moisés atira um tronco de madeira para água de Mara, que então se torna doce
71E12413|os israelitas ouvem Deus
71E1242|os israelitas chegam ao oásis de Elim, onde encontram doze nascentes e setenta palmeiras
71E12421|as doze nascentes de Elim (um para cada tribo)
71E125|milagre do maná e das codornizes (Êxodo 16)
71E1251|no deserto de Sin, Israel queixa-se a Moisés
71E1252|Moisés e Aarão promentem comida ao povo
71E12521|aparece a glória de Deus 
71E1253|à noite, um grande bando de codornizes voa para o acampamento dos israelitas
71E1254|de manhã o maná cai sobre a terra ~ Êxodo
71E12541|a recolha do maná (em cestos e vasos)
71E12542|Aarão enche um vaso com maná para ser conservado no tabernáculo
71E125421|o vaso com o "gómer" do maná
71E126|Moisés faz brotar água do rochedo (Êxodo 17, 1-7, Números 20, 2-13)
71E1261|os israelitas chegam a Refidim (ou Meribá) e queixam-se porque não há água para beber
71E1262|quando Moisés e Aarão rezam em frente ao tabernáculo, Deus aparece-lhes
71E1263|perante a assembleia, Moisés bate no rochedo duas vezes e a água jorra; as pessoas saciam a sua sede
71E12631|Deus repreende Moisés
71E127|os amalecitas chegam para fazer guerra contra os israelitas (Êxodo 17, 8-16)
71E1271|Moisés instrui Josué
71E1272|Moisés vai para o topo de uma colina com Aarão e Hur e levanta as mãos para fazer os israelitas vitoriosos
71E12721|Moisés sentado numa pedra, com as mãos sustentadas por Aarão e Hur; os amalequitas são derrotados
71E1273|Moisés constrói um altar
71E128|visita de Jetro a Moisés: com Séfora e os seus dois filhos ele vai ao deserto onde Moisés estava acampado (Êxodo 18)
71E1281|encontro de Jetro com Moisés
71E1282|Jetro na tenda de Moisés
71E1283|Jetro oferece um sacrifício a Deus e come pão com Moisés, Aarão e todos os líderes de Israel
71E1284|quando Jetro vê Moisés ocupado durante o dia todo a resolver disputas entre as pessoas, aconselha-o a nomear alguns juízes
71E1285|Moisés escolhe os juízes
71E1286|despedida de Jetro e Moisés ~ visita de Jetro a Moisés no deserto
71E13|Êxodo (parte 3): conclusão da lei sinaítica e sua renovação
71E131|temas recorrentes ~ Monte Sinai
71E1311|Moisés (sozinho) sobe ao Monte Sinai
71E1312|Moisés fala com Deus no Monte Sinai (a montanha pode estar coberta com uma nuvem espessa)
71E1313|Moisés desce do Monte Sinai
71E1314|Moisés dirige-se aos anciãos
71E1315|Moisés dirige-se aos israelitas
71E132|chegada dos israelitas ao Monte Sinai (Êxodo 19; 20, 18-21)
71E1321|os israelitas chegam ao Monte Sinai e montam acampamento no sopé da montanha
71E13211|o povo promete obediência a Deus
71E1322|o povo prepara-se para receber as leis: lavam as suas roupas e estabelecem limites ao redor da montanha
71E1323|Monte Sinai é coberto por uma nuvem espessa, trovões e relâmpagos
71E13231|Moisés conduz o povo para o sopé da montanha e é chamado por Deus
71E133|a aliança de Deus com Moisés é confirmada com um sacrifício (Êxodo 24, 1-8)
71E1331|Moisés escreve a lei
71E1332|Moisés constrói um altar e coloca doze estelas
71E1333|os jovens levam oferendas; Moisés leva metade do sangue de animais e asperge-o sobre o altar
71E1334|Moisés lê o Livro da Aliança ao povo
71E1335|Moisés leva as tigelas com a outra metade do sangue sacrificial e asperge-o sobre o povo
71E134|Moisés no Monte Sinai com as tábuas da lei (Êxodo 24, 9-18; 31, 18)
71E1341|Moisés sobe a montanha com Aarão, Nadab e Abiú e setenta líderes
71E13411|Moisés e seus companheiros contemplam o Deus de Israel no Monte Sinai
71E1342|Moisés diz aos anciãos para ficarem para trás e sobe o Monte Sinai com Josué
71E1343|Moisés recebe as tábuas da lei de Deus
71E13431|Deus escreve os mandamentos nas duas tábuas de pedra
71E13432|Moisés escreve os mandamentos nas duas tábuas de pedra
71E135|a adoração do bezerro de ouro ~ Aarão (Êxodo 32, 1-19)
71E1351|o povo pede a Aarão para fazer alguns ídolos
71E13511|o povo leva os seus brincos de ouro a Aarão
71E1352|Aarão faz um bezerro de ouro e coloca-o num pedestal ou altar
71E1353|adoração do bezerro de ouro (que pode estar colocado sobre uma coluna, e é por vezes representado como um dragão)
71E13531|Aaron constrói um altar e oferece um sacrifício ao bezerro de ouro
71E13532|o povo dança ao redor do bezerro de ouro ~ Êxodo
71E13533|o povo festejando ~ adoração do bezerro de ouro
71E13534|Hur morre sufocado quando os israelitas lhe cospem em cima por se recusar a adorar o bezerro de ouro
71E1354|Moisés (e Josué) desce(m) com as tábuas de pedra
71E13541|vendo os idólatras Moisés quebra as tábuas da lei
71E136|a punição ~ adoração do bezerro de ouro (Êxodo 32, 20-35, 33)
71E1361|Moisés queima o bezerro reduzindo-o a pó fino, que espalha na água, dando-a a beber ao povo 
71E1362|Moisés chama Aarão para que lhe preste contas
71E1363|Moisés, de pé à entrada do acampamento, ordena aos levitas que matem todos os idólatras
71E1364|Deus envia uma praga sobre o povo
71E1365|Deus abranda e envia um anjo para guiar o povo até Canaã
71E1366|o povo, mergulhado em tristeza, não coloca as suas jóias ~ punição dos idólatras
71E1367|quando Moisés entra no tabernáculo, a coluna de nuvens desce e permanece à porta; o povo reúnem-se à entrada das suas tendas e prostra-se em reverência
71E1368|Moisés, de pé sobre um rochedo, vê Deus por trás
71E137|as novas tábuas da lei (Êxodo 34)
71E1371|Moisés talha duas tábuas de pedra
71E1372|Moisés carrega as duas tábuas de pedra pelo Monte Sinai
71E1373|Deus renova a aliança com Moisés e escreve a lei sobre as tábuas
71E1374|Moisés desce com as novas tábuas e é esperado por Aarão e pelo povo reunido, que notam que "o seu rosto resplandecia" (o rosto de Moisés é representado com raios de luz ou chifres)
71E13741|Moisés cobre o rosto com um véu
71E138|preparação e construção do Tabernáculo e seus acessórios ~ Êxodo (Êxodo 35-40)
71E1381|o povo leva ofertas para o Tabernáculo: todos os tipos de objectos, jóias, panos de linho, etc.
71E1382|Moisés nomeia Beçalel, Ooliab e outros artesãos
71E1383|a construção do Tabernáculo e seus acessórios ~ Êxodo
71E1384|a conclusão do Tabernáculo e seus acessórios; Moisés examina tudo e abençoa os artesãos
71E1385|o Tabernáculo é levantado e Moisés coloca a Arca com as tábuas no seu interior
71E13851|consagração do Tabernáculo (Êxodo 40, 16-33; Levítico 8, 10-11)
71E13852|uma nuvem cobre o Tabernáculo, que é então cheio de glória (quando a nuvem se levanta a partir do Tabernáculo os israelitas levantam o acampamento e partem) (Êxodo 40, 34-38; Números 9, 15-23)
71E138521|à noite, um fogo permanece no Tabernáculo
71E2|Levítico
71E21|Aarão e os seus quatro filhos são consagrados por Moisés (Levítico 8)
71E22|Aarão oferece sacrifícios (Levítico 9)
71E221|quando Moisés e Aarão, abençoam o povo, a glória de Deus manifesta-se a toda a assembleia
71E222|Deus envia o fogo que consome as ofertas sobre o altar
71E23|punição de Nadab e Abiú (Levítico 10, 1-7)
71E231|os dois filhos de Aarão, Nadab e Abiú, oferecem incenso nos seus turíbulos a Deus, que os castiga, enviando um fogo que os mata
71E232|Moisés explica o que aconteceu a Aarão
71E233|os corpos de Nadab e Abiú são levados para fora do acampamento
71E234|Moisés aconselha Aarão e os filhos que lhe restam, Eleázar e Itamar, a não chorar com o povo
71E24|castigo de um blasfemo (Levítico 24, 10-23)
71E241|por ter blasfemado contra Deus, durante uma briga, o filho de Chelomite é levado à presença de Moisés
71E242|o filho de Chelomite é apedrejado até a morte pelos israelitas
71E25|Deus promete prosperidade para aqueles que guardarem os seus mandamentos, e a destruição para aqueles que os quebrarem (Levítico 26)
71E3|Números: a peregrinação no deserto, os israelitas deixam o Monte Sinai e chegam a Canaã
71E31|Números (parte 1): do Monte Sinai a Cadés
71E311|preparativos para abandonar o Monte Sinai  (Números 1-9, 14)
71E3111|o primeiro recenseamento do povo ~ livro dos Números
71E31111|Deus fala a Moisés, no Tabernáculo, ordenado-lhe que faça o recenseamento do povo
71E31112|Moisés, Aarão e os príncipes das doze tribos efectuam o recenseamento
71E31113|as tribos são classificadas de acordo com a sua própria ordem ~ livro dos Números
71E3112|os levitas são designados para servir os sacerdotes
71E31121|recenseamento dos levitas
71E31122|deveres da tribo dos levitas
71E31122(...)|deveres da tribo dos levitas (com NOME da tribo)
71E31123|os levitas tomam o lugar dos filhos primogénitos
71E31124|purificação e consagração dos levitas
71E3113|os impuros são expulsos do acampamento ~ livro dos Números
71E3114|ofertas dos príncipes das tribos na consagração do Tabernáculo
71E3115|Aarão acende as lâmpadas do Tabernáculo
71E3116|celebração da segunda Páscoa
71E312|a partida do Monte Sinai  (Números 10)
71E3121|sinais para levantar o acampamento ~ livro dos Números
71E31211|duas trombetas de prata são fabricadas e utilizadas para convocar o povo ~ livro dos Números
71E3122|os israelitas levantam o acampamento e iniciam a jornada ~ livro dos Números
71E3123|Moisés roga a Hobab, filho de Reuel (Jetro), para vir com eles
71E313|murmurações do povo (Números 11)
71E3131|em Tabera o povo é punido pelo fogo que consome uma extremidade do campo
71E31311|o fogo extingue-se quando Moisés reza
71E3132|Moisés escolhe setenta anciãos para ajudá-lo e coloca-os ao redor do Tabernáculo; o espírito de Deus desce sobre eles
71E31321|Eldad e Medad profetizam
71E3133|uma grande quantidade de codornizes cai e cobre o acampamento
71E31331|enquanto o povo come as codornizes uma praga irrompe
71E3134|os israelitas partem para Hacerot
71E314|humilhação de Maria e Aarão (Números 12)
71E3141|Aarão e Maria falam contra Moisés
71E3142|Deus desce na coluna da nuvem, à entrada do Tabernáculo e repreende Aarão e Maria
71E3143|Maria é punida com lepra; Moisés reza a Deus, que promete curar Maria após sete dias
71E31431|Maria é expulsa do acampamento durante sete dias
71E31432|uma vez curada Maria regressa ao acampamento
71E3144|os israelitas deixam Hacerot pelo deserto de Paran
71E315|reconhecimento de Canaã (Números 13-14)
71E3151|Moisés envia doze espiões para explorar a terra de Canaã
71E3152|os espiões tiram alguns dos frutos de Canaã e regressam, normalmente carregando um grande ramo com uvas numa vara
71E31521|as uvas de Canaã
71E3153|os espiões, excepto Caleb e Josué, trazem relatos surprendentes que pertubam o povo ~ reconhecimento de Canaã
71E31531|Caleb exorta o povo a conquistar Canaã
71E3154|o povo reclama ~ reconhecimento de Canaã 
71E31541|Moisés e Aarão prostram-se por terra diante da assembleia, enquanto Josué e Caleb rasgam as suas vestes
71E315411|o povo ameaça apedrejar Moisés, Aarão, Josué e Caleb, mas de repente a glória de Deus aparece sobre o Tabernáculo (os quatro homens podem ser representados protegidos por uma nuvem)
71E3155|todos os exploradores, excepto Josué e Caleb, adoecem e morrem ~ reconhecimento de Canaã 
71E3156|quando Moisés relata o castigo de Deus ao povo, eles choram amargamente  ~ reconhecimento de Canaã 
71E3157|a primeira tentativa de invadir Canaã falha: os israelitas são derrotados pelos amalecitas
71E316|castigo para aqueles que profanam o sábado (Números 15, 32-36)
71E3161|um homem encontrado a apanhar lenha no sábado é levado perante Moisés e Aarão
71E3162|o homem que profanou o sábado é apedrejado até a morte ~ livro dos Números
71E317|revolta de Coré (Core), Datan e Abiram, e seu castigo (Números 16)
71E3171|Coré, com duzentos e cinquenta homens, reúne-se contra Moisés e Aarão; Moisés desafia os rebeldes a oferecer incenso ao Senhor
71E3172|Moisés repreende Coré
71E3173|Moisés é insultado por Datan e Abiram, que se recusam a comparecer perante ele
71E3174|Coré e os seus seguidores, segurando turíbulos, enfrentam Moisés e Aarão diante da porta do Tabernáculo (ou ao lado de um altar); os rebeldes são destruídos pelo fogo do Senhor
71E31741|Moisés vai para junto das habitações de Datan e Abiram e adverte o povo a afastar-se das suas tendas
71E31742|a terra abre-se e engole os rebeldes Datan e Abiram com suas famílias e seus bens
71E3175|o sacerdote Eleázar recolhe os turíbulos de entre os restos dos homens que tinham sido queimados
71E31751|os turíbulos foram batidos em lâminas de metal para fazer uma cobertura para o altar
71E3176|o povo reclama da morte dos rebeldes (Coré, Datan e Abiram)
71E31761|a nuvem cobriu o Tabernáculo; conforme Moisés e Aarão se prostram diante dele uma praga irrompe
71E31762|Aarão com seu turíbulo corre para o meio do povo reunido, pára o flagelo, interpondo-se entre os  vivos e os mortos
71E318|a vara florida (Números 17)
71E3181|Moisés recebe doze varas, uma para cada tribo, e coloca-as no Tabernáculo
71E3182|a vara de Aarão brotou, floresceu e produziu amêndoas
71E31821|Moisés mostra a vara florida de Aarão à comunidade
71E32|Números (parte 2): a viagem de Cadés para Moab
71E321|acontecimentos em Cadés (Números 20, 1; 20, 14-21)
71E3211|morte e sepultura de Maria
71E3212|o rei de Edom recusa a passagem aos israelitas
71E32121|Moisés envia mensageiros ao rei de Edom
71E32122|os edomitas marcham com um exército; os israelitas são forçados a tomar outra direcção
71E322|morte de Aarão (Números 20, 22-29)
71E3221|Moisés sobe o Monte Hor com Aarão e Eleázar
71E3222|Moisés retira a Aarão as vestes sacerdotais e colocá-as a Eleázar
71E3223|sepultura de Aarão
71E3224|o povo chora por Aarão
71E323|vitória sobre os cananeus liderados pelo rei Arad (Números 21,1-3)
71E324|a serpente de bronze (Números 21, 4-9)
71E3241|quando o povo reclama novamente da comida, Deus envia serpentes ardentes; muitos morrem de picadas de cobra ~ livro dos Números
71E32411|Moisés, intercedendo pelos israelitas, suplica a Deus para que afaste as serpentes
71E3242|é feita uma serpente de bronze e colocada num poste
71E3243|qualquer um mordido que seja mordido por uma serpente é curado ao olhar para a serpente de bronze; a serpente (ou dragão) é normalmente representada num tau ou numa coluna
71E325|os israelitas a caminho do vale dos moabitas (Números 21, 10-20)
71E3251|um poço é cavado em Beer
71E326|vitória dos israelitas sobre o rei Seon e Og (Números 21, 21-35; Josué 12, 1-6)
71E3261|mensageiros dos israelitas são enviados ao rei amorreu Seon
71E3262|batalha dos israelitas contra os amorreus durante a viagem pelo deserto
71E3263|os israelitas instalam-se nas cidades dos amorreus após a vitória sobre o rei Seon
71E3264|Moisés envia espiões à cidade de Jazer
71E3265|batalha dos israelitas contra o rei Og
71E33|Números (parte 3): acontecimentos em Moab
71E331|a história de Balaão (Números 22-24)
71E3311|o rei moabita Balac, alarmado com a chegada dos israelitas, envia mensageiros a Balaão para lançar uma maldição sobre eles
71E3312|Balaão recebe os mensageiros do rei moabita Balac
71E33121|Deus aparece a Balaão num sonho
71E33122|Balaão manda embora os mensageiros do rei Balac
71E33123|os mensageiros relatam ao rei Balac a visita ao profeta Balaão
71E3313|novos mensageiros são enviados a Balaão
71E33131|Deus aparece ao profeta Balaão pela segunda vez
71E33132|Balaão aparelha a sua jumenta e parte com os mensageiros moabitas
71E3314|um anjo segurando uma espada barra o caminho e faz com que a jumenta desvie; o anjo é invisível a Balaão
