4|Société, Civilisation, Culture
42E3112|pierre tombale horizontale
42E3113|autre marque de tombe, p.ex. croix
42E312|épitaphe
42E32|niche funéraire, tombe murale
42E321|sépulture taillée dans le rocher
42E33|sarcophage
42E331|couvercle de sarcophage
42E34|urne
42E35|tombe monumentale, mausolée
42E351|effigie du mort, gisant (statue représentant le mort étendu sur sa tombe), transi (cadavre rongé par les vers)
42E3511|effigie du mort en décomposition
42E36|autres édifices commémoratifs
42E361|aiguille, flèche, obélisque (art funéraire)
42E362|colonne (art funéraire)
42E363|pyramide (art funéraire)
42E37|formes anciennes de tombes
42E371|formes de sépultures préhistoriques
42E3711|tumulus
42E3712|tombe mégalithique, dolmen
42E372|formes de sépultures historiques
42E3721|mastaba
42E3722|pyramide (forme de tombe historique)
42E3723|mausolée
42E373|coutumes funéraires exotiques
42E3731|ensevelir dans un arbre
42E3732|abandon du corps (coutumes funéraires exotiques)
42E38|marques, symboles et motifs de l'art funéraire
42E39|cénotaphe, fausse tombe
42E4|culte des morts
42E41|coutumes de deuil
42E411|vêtements de deuil
42E42|hymne, chant funèbre
42E43|cimetière
42E431|nécropole
42E4311|catacombes
42E432|cimetière autour d'une église
42E433|charnier, fosse commune
42E434|cimetière paysager
42E435|ossuaire
42E44|entretien et visite de la tombe
42E441|déposer des fleurs, des couronnes sur la tombe
42E442|découverte d'une tombe
42E45|carte à la mémoire de, 'In memoriam'
42E49|profanation de tombe
42E491|dérober le corps de sa tombe
42E4911|déterreurs de cadavre
42E5|rajustements sociaux après un décès
42E51|disposition des possessions du défunt
42E52|ouverture et lecture du testament
42E53|redistribution des propriétés
42E531|héritage
42E5311|legs
42E532|héritier
42E5321|querelle d'héritiers
42E54|dispositions pour subvenir aux besoins de l'épouse et des enfants
42E541|assurance (dispositions pour subvenir aux besoins de l'épouse et des enfants)
42EE224|'pleurants' - EE - femelle
42F|gestion du ménage; ménagère au travail, femme au foyer
42F0|Économie; 'Economia', 'Providenza dell'annona' (Ripa)
42F1|ménagère, femme au foyer
42F11|ménagère donnant des ordres aux domestiques
42F12|(histoire de) Néanthès - représentations auxquelles on peut apposer le NOM d'un personnage de l'antiquité classique (+ représentation idéale ou héroïque)
42F13|ménagère partageant la nourriture
42F19|'Betty', 'Molly' (homme occupé à des travaux ménagers)
42F2|faire le marché, des courses, des achats, des emplettes (gestion du ménage)
42F3|corvées du ménage
42F31|nettoyage (de la maison)
42F311|prendre les poussières
42F312|polir, frotter (~ nettoyer la maison)
42F313|laver les vitres
42F314|balayer (~ nettoyer la maison)
42F32|ustensiles et instruments (de ménage)
42F32(...)|ustensiles et instruments (de ménage) (avec NOM)
42F33|faire un lit
42F34|mettre la table
42F341|servir à table
42F342|débarrasser la table
42F35|entretien des dépendances et du domaine
42F4|entretien et réparations de l'habitation
42F49|habitation laissée à l'abandon
42F5|personnel de maison, domestiques
42F51|servante ~ personnel de maison
42F52|femme de ménage
42F53|domestique, valet de pied
42F54|majordome
42F55|gardien de maison, portier, concierge
42F56|gouvernante
42F6|petits accidents domestiques
42F61|casser, briser quelque chose (accidents domestiques)
42F9|maison mal tenue
42F91|une maison sens dessus dessous (Néerlandais : 'huishouden van Jan Steen')
42F92|ménagère débraillée, négligée, 'Vrou(w) Lor(t)s'
42G|famille, liens de parenté, descendance
42G1|lignée de famille, origine, arbre ou table généalogique
42G11|série de portraits d'ancêtres, 'Ahnengalerie'
42G2|liens de parenté (au premier, second, troisième et quatrième degré)
42G21|parenté au premier degré
42G211|parents (parenté au premier degré)
42G2111|père (parenté au premier degré)
42G2112|mère (parenté au premier degré)
42G212|enfants (parenté au premier degré)
42G2121|fils (parenté au premier degré)
42G2122|fille (parenté au premier degré)
42G22|parenté au second degré
42G221|grands-parents (parenté au second degré)
42G222|frères et soeurs (parenté au second degré)
42G2221|frères (parenté au second degré)
42G2222|soeurs (parenté au second degré)
42G223|petits-enfants (parenté au second degré)
42G23|parenté au troisième degré
42G231|arrière-grands-parents (parenté au troisième degré)
42G232|oncles, tantes (parenté au troisième degré)
42G233|neveux, nièces (parenté au troisième degré)
42G2331|neveux
42G2332|nièces
42G234|cousins germains, cousines germaines (parenté au troisième degré)
42G235|arrière-petits-enfants (parenté au troisième degré)
42G24|parenté au quatrième degré
42G241|arrière-arrière-grands-parents (parenté au quatrième degré)
42G242|arrière-oncles, arrière-tantes (parenté au quatrième degré)
42G243|arrière-neveux, arrière-nièces (parenté au quatrième degré)
42G244|petits cousins, petites cousines (issus de germains) (parenté au quatrième degré)
42G245|arrière-arrière-petits-enfants (parenté au quatrième degré)
42G29|inceste
42Z|familles exotiques et non monogames
42Z1|polygamie
42Z11|harem
42Z111|odalisque
42Z112|'le Bain turc'
42Z113|eunuque
42Z2|polyandrie
42Z3|mariages communautaires
42Z31|'Weibergemeinschaft'
42Z32|mariage entre membres d'un clan, d'une tribu, endogamie ('Punalua')
43|récréation, réjouissance
43A|festivités, fêtes
43A1|célébrations périodiques, fêtes populaires
43A11|fêtes du calendrier, célébrations civiles de fêtes religieuses
43A12|célébrations civiles de Noël, du carnaval et de Pâques
43A121|Noël (célébration civile)
43A1211|sapin de Noël
43A1212|décorations de Noël
43A1213|le père (bonhomme) Noël, 'Santa Claus', elfe de Noël
43A1214|carte de Noël
43A122|carnaval, les jours gras (célébration civile)
43A1221|la nef des fous
43A1222|Jeudi Gras
43A1223|Quinquagésime
43A1224|Mardi Gras ~ célébrations civiles du carnaval
43A123|Pâques (célébration civile)
43A1231|oeuf de Pâques
43A12311|bijoux en forme d'oeuf de Pâques
43A1232|boeuf primé, médaillé
43A12321|parader le boeuf primé
43A1233|lapin de Pâques
43A13|fêtes en relation avec les activités saisonnières
43A131|festivités printanières, fêtes du printemps
43A1311|danser autour du mât de mai
43A13111|le mât de mai
43A132|fêtes de la moisson, des vendanges
43A14|fêtes tombant à des jours fixes de l'année; fêtes commémoratives
43A141|1 janvier, jour de l'an (~ fêtes)
43A1411|Saint-Sylvestre (31 décembre)
43A142|1 avril (~ fêtes)
43A143|1 mai (~ fêtes)
43A144|jour des rois, Épiphanie (tombant souvent la veille du 6 janvier)
43A145|fêtes du saint dont on porte le nom (fête civile)
43A1451|célébrations de la Saint-Nicolas (le 6 décembre) ou de la veille de Saint-Nicolas
43A1452|veille de la Toussaint, 'Halloween' (31 octobre)
43A1453|fête de la Saint-Martin (11 novembre)
43A1454|la Saint-Patrick (17 mars)
43A146|autres fêtes tombant à des jours fixes de l'année; fêtes commémoratives
43A146(...)|autres fêtes tombant à des jours fixes de l'année; fêtes commémoratives (avec DATE)
43A2|réjouissances dans le privé, joyeuse compagnie
43A21|réception, cocktail
43A22|fête périodique, jubilé
43A23|bal, soirée dansante
43A3|foire d'amusement, fête foraine et cirque
43A31|manège, carrousel
43A311|grande roue
43A32|attraction avec des voitures, etc. (fête foraine)
43A321|montagne russe
43A322|autos tamponneuses, auto électriques des foires
43A323|petit train d'agrément (~ fête foraine)
43A33|exercice d'adresse et de force (~ fête foraine)
43A331|tir forain
43A332|instrument qui permet d'éprouver sa force
43A34|autres sortes de divertissements
43A341|baraque avec miroirs déformants
43A342|diorama
43A343|panorama, cyclorama
43A344|peep-show
43A345|stand de loterie (fête foraine)
43A346|exposition de phénomènes de foires
43A3461|monstruosités humaines ~ exposition de phénomènes de foires
43A3462|monstruosités animales ~ exposition de phénomènes de foires
43A3463|objets inhabituels (plantes, pierres, etc.) ~ exposition de phénomènes de foires
43A35|spectacle en plein air (fête foraine)
43A351|spectacle à l'intérieur d'une tente (fête foraine)
43A352|battre le rappel des gens (fête foraine)
43A36|cirque
43A361|tente de cirque (extérieur)
43A362|première période de la vie, petite enfance de Tagès
43A363|tente de cirque (intérieur)
43A3631|piste de cirque
43A37|le spectacle; artistes de cirque et de fête foraine
43A371|patron, directeur de cirque
43A3711|'Monsieur Loyal'
43A372|acrobate ~ cirque
43A3721|funambule
43A3722|trapéziste
43A3723|équilibriste
43A3724|lanceur de couteaux
43A3725|tireur d'élite
43A3726|contorsionniste
43A3727|virtuose de l'évasion
43A3728|cracheur de feu
43A373|clown
43A3731|naïf, nigaud, 'Hanswurst' ~ clown
43A374|représentation de cirque avec animaux dressés (singes, éléphants, ours, lions et tigres, chevaux, chiens, dauphins, phoques, puces)
43A3741|singes (spectacle de cirque)
43A3742|éléphants (spectacle de cirque)
43A3743|ours (spectacle de cirque)
43A3744|lions et tigres (spectacle de cirque)
43A3745|chevaux (spectacle de cirque)
43A3746|chiens (spectacle de cirque)
43A3747|dauphins (spectacle de cirque)
43A3748|phoques (spectacle de cirque)
43A3749|cirque de puces savantes
43A375|illusionniste, prestidigitateur, jongleur, tours de passe-passe
43A3751|ventriloque
43A376|diseur de bonne aventure ~ fête foraine et cirque
43A38|le cirque ou la foire en route, faisant route
43A381|monter les tentes (cirque ou foire en route)
43A382|descendre les tentes (cirque ou foire en route)
43A4|fêtes publiques
43A41|réjouissances pour des occasions spéciales
43A411|célébrations d'événements d'importance nationale
43A412|fêtes publiques à l'occasion d'événements royaux
43A4121|fêtes publiques à l'occasion du mariage d'une personne royale
43A4122|fêtes publiques à l'occasion de la naissance d'une personne royale
43A4123|fêtes publiques à l'occasion d'événements royaux non mentionnés ou impliqués ci-dessus
43A42|joyeuse entrée, entrée solennelle, accueil public
43A421|voiture, char triomphal
43A4211|char romain, quadrige ~ triomphe
43A4212|char ~ triomphe
43A422|arc de triomphe
43A423|autres constructions décoratives (~ entrée solennelle, etc.)
43A424|répandre des pièces de monnaies (~ entrée solennelle, etc.)
43A4241|monnaies spécialement frappées pour une certaine occasion (~ entrée solennelle, etc.) (Néerlandais : 'strooipenningen')
43A425|décoration et illumination des rues, places, etc. (~ entrée solennelle, etc.)
43A426|confetti, serpentins, 'ticker-tape', etc. (~ entrée solennelle, etc.)
43A43|triomphes (allégoriques et symboliques)
43A431|'Trionphi' (de Pétrarque)
43A4311|'Trionfi d'Amore', 'Triumphus Cupidinis'; 'Carro d'amore' (Ripa)
43A4312|'Trionfo della Castitá', 'Triumphus Pudicitiae'; 'Carro della castitá'(Ripa)
43A4313|'Trionfo della Morte', 'Triumphus Mortis'; 'Carro della morte' (Ripa)
43A4314|'Trionfo della Fama', 'Triumphus Famae'; 'Carro della Fama' (Ripa)
43A4315|'Trionfo del Tempo', 'Triumphus Temporis'; 'Carro del Tempo' (Ripa)
43A4316|'Trionfo della Divinitá','Triumphus Aeternitatis'; 'Carro della Divinitá'
43A432|triomphes symboliques attribués à des personnes individuelles
43A4321|apothéose (ou ascension) d'une personne
43A433|couronner de laurier
43A44|feu de joie, feu d'artifice
43A45|disgrâce publique
43A46|activités dans les airs ~ fêtes publiques, p.ex. défilé aérien
43A49|funérailles publiques
43A491|catafalque, 'castrum doloris' (~ funérailles publiques
43AA2|réjouissances dans le privé, joyeuse compagnie - AA - à l'extérieur, fête champêtre
43AA21|réception, cocktail - AA - à l'extérieur, fête champêtre
43AA22|fête périodique, jubilé - AA - à l'extérieur, fête champêtre
43AA23|bal, soirée dansante - AA - à l'extérieur, fête champêtre
43AA376|diseur de bonne aventure ~ fête foraine et cirque - AA - diseuse de bonne aventure
43AA4|fêtes publiques - AA - festivités sur mer
43AA41|réjouissances pour des occasions spéciales - AA - festivités sur mer
43AA411|célébrations d'événements d'importance nationale - AA - festivités sur mer
43AA412|fêtes publiques à l'occasion d'événements royaux - AA - festivités sur mer
43AA4121|fêtes publiques à l'occasion du mariage d'une personne royale - AA - festivités sur mer
43AA4122|fêtes publiques à l'occasion de la naissance d'une personne royale - AA - festivités sur mer
43AA4123|fêtes publiques à l'occasion d'événements royaux non mentionnés ou impliqués ci-dessus - AA - festivités sur mer
43AA42|joyeuse entrée, entrée solennelle, accueil public - AA - festivités sur mer
43AA422|arc de triomphe - AA - festivités sur mer
43AA423|autres constructions décoratives (~ entrée solennelle, etc.) - AA - festivités sur mer
43AA424|répandre des pièces de monnaies (~ entrée solennelle, etc.) - AA - festivités sur mer
43AA425|décoration et illumination des rues, places, etc. (~ entrée solennelle, etc.) - AA - festivités sur mer
43AA426|confetti, serpentins, 'ticker-tape', etc. (~ entrée solennelle, etc.) - AA - festivités sur mer
43AA43|triomphes (allégoriques et symboliques) - AA - sur l'eau, triomphe marin
43AA431|'Trionphi' (de Pétrarque) - AA - sur l'eau, triomphe marin
43AA4311|'Trionfi d'Amore', 'Triumphus Cupidinis'; 'Carro d'amore' (Ripa) - AA - sur l'eau, triomphe marin
43AA4312|'Trionfo della Castitá', 'Triumphus Pudicitiae'; 'Carro della castitá'(Ripa) - AA - sur l'eau, triomphe marin
43AA4313|'Trionfo della Morte', 'Triumphus Mortis'; 'Carro della morte' (Ripa) - AA - sur l'eau, triomphe marin
43AA4314|'Trionfo della Fama', 'Triumphus Famae'; 'Carro della Fama' (Ripa) - AA - sur l'eau, triomphe marin
43AA4315|'Trionfo del Tempo', 'Triumphus Temporis'; 'Carro del Tempo' (Ripa) - AA - sur l'eau, triomphe marin
43AA4316|'Trionfo della Divinitá','Triumphus Aeternitatis'; 'Carro della Divinitá' - AA - sur l'eau, triomphe marin
43AA432|triomphes symboliques attribués à des personnes individuelles - AA - sur l'eau, triomphe marin
43AA4321|apothéose (ou ascension) d'une personne - AA - sur l'eau, triomphe marin
43AA433|couronner de laurier - AA - sur l'eau, triomphe marin
43AA44|feu de joie, feu d'artifice - AA - festivités sur mer
43AA46|activités dans les airs ~ fêtes publiques, p.ex. défilé aérien - AA - festivités sur mer
43AA49|funérailles publiques - AA - festivités sur mer
43AA491|catafalque, 'castrum doloris' (~ funérailles publiques - AA - festivités sur mer
43B|récréation
43B1|jouir de la nature
43B11|contempler la nature
43B12|pique-nique en plein air, 'déjeuner sur l'herbe'
43B121|plaisirs de plein air, 'délices de la campagne'
43B13|marche, randonnée (récréation)
43B131|monter à cheval, faire du vélos (récréation)
43B14|jouir de la nature ~ plantes, herbes et fleurs
43B141|herboriser
43B142|cueillette de champignons
43B143|cueillir des herbes
43B144|cueillir des fleurs
43B15|jouir de la nature ~ animaux
43B151|la chasse aux papillons
43B16|escalader les montagnes, alpinisme
43B17|exploration des cavités du sous-sol (récréation)
43B2|récréation en plein air
43B21|station de plaisance
43B3|récréation à l'intérieur
43B31|hôtel, auberge, café, bar, etc.
43B311|restaurant
43B312|jardin qui fait salon de thé, jardin de restaurant
43B313|terrasse d'auberge ou de restaurant
43B32|club, salle de réunion
43B33|casino
43B331|maison de jeu, tripot
43B34|night-club, boîte de nuit, dancing
43B4|bois, parcs et jardins publics (en tant que lieux de récréation)
43B41|jouer dans les bois
43B411|grimper aux arbres
43B412|tomber d'un arbre
43B42|parc
43B421|kiosque à musique
43B5|plage (comme lieu de récréation)
43B51|dans ou au bord de l'eau (sur la plage)
43B52|bains de soleil (sur la plage)
43B53|(construire) des châteaux de sable
43B54|se promener à dos d'âne (sur la plage)
43B55|récréation dans les dunes
43B6|aire de jeu
43B61|matériel d'aire de jeu
43B61(...)|matériel d'aire de jeu (avec NOM)
43B611|balançoire
43B612|toboggan
43B613|balançoire à bascule
43B7|zoo (comme lieu de récréation)
43B8|collection, exposition
43C|sports, jeux et performances physiques
43C1|sports, jeux ~ animaux
43C11|chasser, la chasse
43C111|gibier, animaux traqués
43C1111|groupe de différents animaux traqués
43C1112|chasse ~ mammifères
43C11121|groupe de différents mammifères traqués
43C11122|chasse au singe
43C11123|chasse ~ animaux prédateurs (renard, lion)
43C111231|chasse au renard
43C1112311|le renard et la meute
43C111232|chasse au lion
43C1112321|chasseur combattant un lion
43C11124|chasse ~ animaux ongulés
43C111241|chasse au cerf
43C111242|chasse au chevreuil
43C111243|chasse au sanglier
43C11125|chasse ~ animaux à trompes
43C11126|chasse ~ rongeurs
43C111261|chasse au lièvre, chasse au lapin
43C11127|chasse ~ mammifères aquatiques
43C11128|chasse ~ autres mammifères
43C1113|chasse aux oiseaux
43C1114|chasse ~ autres animaux
43C112|accidents de chasse
43C1121|animal traqué attaquant l'homme
43C113|butin de chasse, gibier, venaison
43C1131|mise à mort, coup de grâce (~ chasse)
43C11311|trophées de chasse
43C1132|chasseur présentant ou exposant le gibier abattu
43C114|chasseur
43C1141|rassemblement des chasseurs, départ pour la chasse
43C1142|chasseurs chassant
43C11421|chasseurs se reposant durant la chasse
43C1143|rabatteurs (~ chasse)
43C1144|sonner le cor de chasse
43C1145|hallali (~ chasse)
43C1146|portrait d'un groupe de chasseurs
43C1147|chiens de chasse
43C11471|chiens de chasse à côté du gibier abattu
43C1148|accessoires, équipement pour la chasse
43C11481|carnassière
43C11482|cor de chasse
43C1149|le retour de la chasse
43C11491|pavillon de chasse, rendez-vous de chasse, 'Jagdschloss'
43C115|chercher le gibier
43C1151|attraper, prendre des animaux
43C1152|observation d'animaux ~ chasse
43C11521|photographier, filmer des animaux
43C116|terrain de chasse
43C1161|borne limitant le terrain de chasse
43C1162|dispositifs de chasse : stand, abri, cachette; souvent camouflés; pour observer inaperçu le gibier, ou pour l'abattre
43C11621|siège élevé, stand de chasse placé sur une plate-forme élevée
43C116211|stand attaché à un arbre; mirador ~ chasse
43C11622|dispositif de chasse à ras de terre; abat-jour
43C117|garde-chasse
43C118|braconnier
43C12|la pêche (sport)
43C121|pêcher (sport)
43C128|pêcheur (sport)
43C1281|pêcheur montrant sa prise
43C13|chasse et chasseur au gibier à plume
43C131|miroir aux alouettes, chasse aux alouettes
43C132|piège à canards
43C14|tourmenter, torturer les animaux ~ sport et récréation
43C141|groupe de différents animaux torturés
43C142|tourmenter, torturer des mammifères ~ sport et récréation
43C1421|battre le chat à coups de trique, 'le-chat-dans-un-tonneau' (ancien divertissement populaire où l'on lance des gourdins contre un tonneau dans lequel est enfermé un chat)
43C1422|course de taureaux, corrida
43C14221|toréador, torero
43C1423|combat d'ours et de chiens
43C143|tourmenter, torturer des oiseaux ~ sport et récréation (coq, oie)
43C1431|combats de coqs
43C1432|'tirer-l'oie' (ancien divertissement populaire où l'on tache d'arracher une oie lubrifiée suspendue par les pattes à un fil)
43C144|tourmenter, torturer des reptiles
43C145|tourmenter, torturer, des batraciens
43C146|tourmenter, torturer, des poissons
43C1461|'tirer-l'anguille' (ancien divertissement populaire où l'on tache d'arracher une anguille suspendue à un fil au-dessus d'un cours d'eau)
43C2|sports, jeux et performances physiques ~ vitesse
43C21|sports, etc. au sol
43C211|course (de compétition)
43C2111|course d'obstacles, course de haies
43C2112|course de cross
43C2113|course à pied
43C212|course à dos d'animal
43C2121|course de chevaux
43C21211|jockey
43C21212|écurie de course
43C21213|champ de course, hippodrome
43C2122|steeple-chase
43C213|course de véhicule
43C2131|course attelée ~ chevaux
43C21311|aurige
43C21312|course attelée ~ voitures à deux roues, p.ex. char, sulky
43C21313|course attelée ~ voitures à quatre roues
43C2132|course de bicyclettes
43C21321|circuit de bicyclettes, p.ex. : tour de France, 'Giro d'Italia'
43C2133|course de motos
43C2134|compétition de voitures de course
43C214|marcher (comme sport)
43C218|course d'animaux
43C2181|chiens (course)
43C2182|pigeons (course)
43C22|sports aquatiques
43C221|nager (sport)
43C2211|plonger (sport)
43C22111|pêche sous-marine
43C222|ski nautique, faire du surf
43C223|ramer, faire du canoë, etc. (sport)
43C224|faire de la voile (sport)
43C225|course de canots à moteur
43C23|sports aériens
43C231|courses de vol
43C232|vol à voile, planeur (sport)
43C233|monter en ballon, en montgolfière (sport)
43C234|parachutisme (en chute libre) (sport)
43C24|sports d'hiver
43C241|luge, traîneau (sports d'hiver)
43C242|bobsleigh
43C243|petit traîneau (sports d'hiver)
43C244|patins à glace (sports d'hiver)
43C245|ski (sports d'hiver)
43C2451|slalom ~ ski
43C2452|saut à ski
43C2453|remontée mécanique, télésiège
43C246|voile sur glace (sports d'hiver)
43C3|athlétisme, gymnastique
43C31|saut en hauteur (athlétisme, gymnastique)
43C311|saut à la perche
43C312|faire du trampoline
43C32|saut en longueur, saut en largeur
43C321|le triple saut
43C33|lancement du javelot
43C34|lancement du poids
43C35|lancement de disque
43C36|autres sports d'athlétisme
43C361|soulever des poids
43C37|exercices de gymnastique exécutés au sol
43C371|exercices de gymnastique avec des bâtons, haltères, etc.
43C38|exercices de gymnastique aux agrès
43C381|anneaux (gymnastique)
43C382|barre fixe (gymnastique)
43C383|cheval d'arçons (gymnastique)
43C384|barres parallèles (gymnastique)
43C39|sport de combat
43C391|boxe (sport)
43C392|lutte (sport)
43C393|jiu-jitsu, judo, etc.
43C394|escrime (sport)
43C3941|escrime au fleuret
43C3942|escrime au sabre
43C395|lutte à la corde
43C396|combats (du moyen âge)
43C3961|combat de gladiateurs
43C39611|combat entre hommes et animaux
43C39612|combat entre animaux, p.ex. lion et ours
43C3962|'pas d'armes' (deux groupes combattant pour un col, un pont, etc.)
43C3963|tournoi
43C39631|joute (combat médiéval à la lance et à cheval)
43C396311|joute sans obstacles (combat du moyen âge)
43C396312|joute avec obstacles (combat du moyen âge)
43C3964|autres sortes de combats de chevaliers
43C39641|combat à la lance, behort ou bouhourd
43C39642|quintaine (combat du moyen âge)
43C397|compétition sportive
43C3971|les Jeux Olympiques des temps modernes
43C3972|autres compétitions d'athlétisme
43C4|jeux d'adresse
43C41|sports de ballon
43C411|football
43C4111|rugby
43C4112|football américain
43C412|sports dans lesquels le ballon est lancé avec les mains (jeu d'équipes)
43C4121|handball
43C4122|basket-ball
43C4123|volley-ball
43C4124|water-polo
43C413|sports dans lesquels le ballon (la balle ou la boule) est projeté(e) à l'aide d'un objet en bois (jeu d'équipes)
43C4131|lacrosse
43C4132|hockey (sur gazon)
43C41321|hockey sur glace
43C4133|polo (à cheval)
43C4134|cricket (sport de balle)
43C4135|base-ball
43C4136|stick-ball (sorte de base-ball)
43C414|sports dans lesquels on frappe ou projette la balle à l'aide d'un bâton (jeu individuel)
43C4141|mail (jeu de balle, boule)
43C4142|golf
43C4143|'kolf' (jeu de balle, boule)
43C41431|'kolf' sur glace
43C4144|(jeu de) croquet
43C4145|(jeu de) billard
43C415|jeux dans lesquels la balle est projetée au moyen d'une raquette (ou de la main)
43C4151|tennis, tennis sur gazon
43C4152|tennis de table, ping-pong
43C4153|jeu de paume
43C4154|jeu de volant, badminton
43C4155|palm-play, sorte de squash où l'on utilise les mains ou des battes en guise de raquette
43C416|jeu où l'on fait rouler la balle ou la boule
43C4161|jeu de boules, pétanque
43C4162|bowling
43C4163|lancer au sol une boule à travers un anneau
43C4164|(jeu de) quilles
43C417|jouer à la balle
43C4171|(jeu de) bilboquet
43C418|flipper (sorte de billard mécanique)
43C42|jeux de tir (~ jeux d'adresse)
43C421|tir à l'arc (jeux d'adresse)
43C4211|tir au pigeon (accroché à un mât)
43C4212|coup de maître, coup adroit
43C422|tir au revolver, au pistolet ou autre arme à feu légère (~ jeux d'adresse)
43C423|tir au fusil ou autre arme à feu à canon long (~ jeux d'adresse)
43C424|cible (tir)
43C43|jeu de tonneau
43C431|lancer un palet dans le trou d'un tonneau
43C432|jeu de palet
43C44|yo-yo
43C441|(jouer au) diabolo
43C45|joute de bagues (~ jeux d'adresse)
43C5|jeux fondés sur le calcul et le hasard, p.ex. jeux de cartes, jeux d'argent, puzzles, etc.
43C51|jeux de cartes
43C511|tricheur,-euse (jeux de cartes)
43C512|jouer aux cartes
43C5121|joker
43C513|jeu de patience (jeu de carte)
43C52|jeux se jouant sur un tableau
43C521|jeu d'échecs
43C5211|pièces du jeu d'échecs
43C5212|un homme et une femme jouant aux échecs; la femme gagne
43C522|backgammon, trictrac
43C523|jeu de dames
43C5231|pions
43C53|jeux se jouant sur un tableau ~ hasard
43C531|jeu de l'oie
43C532|monopoly (jeu se jouant sur un tableau ~ hasard)
43C54|les dominos
43C55|jeux de dés
43C551|tricheur,-euse (jeu de dés)
43C552|dé
43C56|parier
43C561|parier aux sports
43C562|roulette
43C57|tombola
43C58|loterie
43C581|tirer au sort ~ parier
43C582|totalisateur, machine totalisatrice, cagnotte
43C59|puzzle, devinette, énigme
43C591|charade
43C592|mots croisés
43C593|puzzle (jeu composé d'éléments à assembler)
43C6|jeux de groupe, jeux de société
43C61|jeu à gages
43C62|chaises musicales
43C63|jeux dits innocents, jeux de société à tendance malicieuse, p.ex. : compétition de baisers
43C631|jouer à (la) main chaude, à colin-maillard (jeux de société)
43C64|'frog in the middle' (la grenouille au centre) (jeux de société)
43C68|adultes se livrant à des jeux d'enfants
43C69|tohu-bohu
43C7|jeux, amusements d'enfants
43C71|jeux sans objets
43C711|jeu de poursuite, jeu de course (enfants)
43C7111|jeux fondé sur la course simple
43C71111|courir (~ jeu)
43C71112|attrapé (~ jeu de course)
43C71113|'red rover, red light?' et autres jeux analogues
43C7112|jeux de compétition
43C71121|faire prisonnier ~ jeux d'enfants
43C71122|prendre possession d'un terrain ~ jeux d'enfants
43C71123|attraper, toucher ~ jeux d'enfants en groupes
43C7113|jeux qui consistent à courir et se cacher
43C71131|jouer à cache-cache
43C7114|jeux de course pratiqués dans un cercle
43C7115|jeux de course avec élément narratif
43C7116|'London Bridge' (le Pont-de-Londres) et autres jeux où l'on s'arque et fait le pont
43C7117|jeux où l'on fait la chaîne, le serpentin
43C71171|jouer au train (jeux où l'on fait la chaîne, le serpentin)
43C7118|jeux de rotation, le moulinet
43C712|jeux de sauts
43C7121|jeux de sauts simples
43C7122|saute-mouton et variantes
43C7123|'hop petit coq' : jeu, et variantes de ce jeu, où l'on saute pardessus les dos courbés de plusieurs participants qui font la chaîne
43C7124|jouer à la marelle, à cloche-pied
43C7125|miscellanées (jeux de sauts)
43C71251|faire des sauts périlleux ~ jeux de sauts
43C71252|se tenir sur la tête ~ jeux de sauts
43C71253|marcher à quatre pattes ~ jeux de sauts
43C71254|virevolter ~ jeux de sauts
43C7126|sauter les fossés (jeux de sauts)
43C71261|sauter le fossé avec une perche (jeux de sauts)
43C713|danses (jeux d'enfants)
43C7131|danses simples
43C7132|danser à la corde
43C7133|danser en rond et exécuter un quadrille (jeux d'enfants)
43C7134|danser en rangs (jeux d'enfants)
43C714|jeux de lancement
43C7141|jeux de lancement simple
43C7142|jeter des pierres (jeux de lancement)
43C7143|jeter des bâtons (jeux de lancement)
43C7144|jeter des pièces de monnaies (jeux de lancement)
43C7145|jeter des fruits (jeux de lancement)
43C7146|jeux de balle ou de ballon (jeux d'enfants)
43C71461|jeu de balle ou de ballon exécuté par une seule personne
43C71462|jeter et attraper la balle (jeux d'enfants)
43C71463|frapper la balle avec un bâton, etc. (jeux d'enfants)
43C71464|envoyer la balle d'un coup de pied (jeux d'enfants)
43C7147|jeux de boules (jeux d'enfants)
43C7148|miscellanées (jeux de lancement)
43C71481|jouer aux anneaux, etc. (jeux d'enfants)
43C715|jeux de doigts et de poings
43C7151|simples jeux de mains
43C71511|silhouettes, ombres projetées (~ jeux de mains)
43C71512|jeux de doigts et de ficelle (jeu de figures, etc.)
43C7152|jeux où l'on frappe et tape avec les mains
43C71521|mettre les mains ou les poings les uns sur les autres (jeux d'enfants)
43C71522|faire éclater un sac (jeux d'enfants)
43C7153|jeux où l'on montre du doigt ou compte sur les doigts
43C7154|jeux de doigts
43C7155|dire des rimes sur les doigts
43C716|jeux de commerce, jeux d'imitation, imitation d'adultes
43C717|jeux où l'on (essaye) de deviner (jeux d'enfants)
43C7171|devinettes (jeux d'enfants)
43C7172|jeux de fouille (trouver des objets cachés)
43C71721|suivre une trace (~ jeu de fouille)
43C7173|jeux de divination, dire la bonne aventure
43C7174|tirer au sort ~ jeux d'enfants
43C7175|jeux avec les yeux bandés
43C71751|colin-maillard (jeux d'enfants)
43C718|jeux de balancement
43C7181|balancer (jeux d'enfants)
43C7182|bercer (jeux d'enfants)
43C7183|'À dada', à cheval, (faire) danser sur les genoux
43C7184|jeux où l'on porte
43C71841|porter quelqu'un sur le dos (jeux d'enfants)
43C719|bagarre; se battre
