0|Art abstrait, non-figuratif
11H(CHARLES BORROMEO)3|dévotion personnelle de St Charles Borromée
11H(CHARLES BORROMEO)31|dévotion personnelle de St Charles Borromée - vocation, conversion du saint
11H(CHARLES BORROMEO)32|dévotion personnelle de St Charles Borromée - baptême, consécration, prononciation des voeux du saint
11H(CHARLES BORROMEO)33|St Charles Borromée pleurant sur son livre; son repas frugal reste intact
11H(CHARLES BORROMEO)34|St Charles Borromée intercédant avec la Vierge pour les pestiférés
11H(CHARLES BORROMEO)35|dévotion personnelle de St Charles Borromée - tentations du saint
11H(CHARLES BORROMEO)36|dévotion personnelle de St Charles Borromée - pénitence du saint
11H(CHARLES BORROMEO)37|dévotion personnelle de St Charles Borromée - saint en méditation, en extase
11H(CHARLES BORROMEO)4|activités et événements non-miraculeux ~ St Charles Borromée
11H(CHARLES BORROMEO)41|St Charles Borromée à l'oeuvre parmi les pestiférés de Milan (il tient parfois un enfant sur les bras)
11H(CHARLES BORROMEO)411|au cours de la peste St Charles Borromée administre les sacrements aux pestiférés
11H(CHARLES BORROMEO)412|St Charles Borromée rend visite et/ou console les malades de la peste
11H(CHARLES BORROMEO)413|St Charles Borromée, la corde des pénitents au cou, défile dans une procession
11H(CHARLES BORROMEO)5|Charles Borromée, cardinal et archevêque de Milan; attributs possibles : chapeau de cardinal, crucifix, corde de pénitent au cou, tête de mort - activités et événement miraculeux ~ saint
11H(CHARLES BORROMEO)59|Charles Borromée, cardinal et archevêque de Milan; attributs possibles : chapeau de cardinal, crucifix, corde de pénitent au cou, tête de mort - stigmatisation du saint
11H(CHARLES BORROMEO)6|Charles Borromée, cardinal et archevêque de Milan; attributs possibles : chapeau de cardinal, crucifix, corde de pénitent au cou, tête de mort - martyre, souffrance, malheurs, mort du saint
11H(CHARLES BORROMEO)68|Charles Borromée, cardinal et archevêque de Milan; attributs possibles : chapeau de cardinal, crucifix, corde de pénitent au cou, tête de mort - mort, lit de mort du saint
11H(CHARLES BORROMEO)69|Charles Borromée, cardinal et archevêque de Milan; attributs possibles : chapeau de cardinal, crucifix, corde de pénitent au cou, tête de mort - corps du saint malmené
11H(CHARLES BORROMEO)7|Charles Borromée, cardinal et archevêque de Milan; attributs possibles : chapeau de cardinal, crucifix, corde de pénitent au cou, tête de mort - apothéose, glorification, triomphe du saint
11H(CHARLES BORROMEO)8|Charles Borromée, cardinal et archevêque de Milan; attributs possibles : chapeau de cardinal, crucifix, corde de pénitent au cou, tête de mort - événements ayant lieu après la mort ~ saint
11H(CHARLES BORROMEO)81|Charles Borromée, cardinal et archevêque de Milan; attributs possibles : chapeau de cardinal, crucifix, corde de pénitent au cou, tête de mort - découverte, translation des reliques du saint
11H(CHARLES BORROMEO)82|Charles Borromée, cardinal et archevêque de Milan; attributs possibles : chapeau de cardinal, crucifix, corde de pénitent au cou, tête de mort - miracles ayant lieu pendant le maniement des reliques du saint
11H(CHARLES BORROMEO)83|Charles Borromée, cardinal et archevêque de Milan; attributs possibles : chapeau de cardinal, crucifix, corde de pénitent au cou, tête de mort - actions posthumes, apparitions du saint
11H(CHARLES BORROMEO)84|Charles Borromée, cardinal et archevêque de Milan; attributs possibles : chapeau de cardinal, crucifix, corde de pénitent au cou, tête de mort - béatification, canonisation du saint
11H(CHARLES BORROMEO)9|Charles Borromée, cardinal et archevêque de Milan; attributs possibles : chapeau de cardinal, crucifix, corde de pénitent au cou, tête de mort - portrait du saint
11H(CHRISTOPHER)|Christophe, géant martyr; attributs possibles : palme de martyr (flétrie ou bien contenant des grappes de dattes), enfant Jésus
11H(CHRISTOPHER)0|Christophe, géant martyr; attributs possibles : palme de martyr (flétrie ou bien contenant des grappes de dattes), enfant Jésus - groupe de saints
11H(CHRISTOPHER)1|aspects spécifiques ~ St Christophe
11H(CHRISTOPHER)11|St Christophe, patron invoqué contre la peste
11H(CHRISTOPHER)119|St Christophe, patron invoqué contre la peste - saint protégeant des fidèles sous son manteau, 'Schützmantel'
11H(CHRISTOPHER)12|aspects spécifiques ~ St Christophe - saint écrivant, étudiant, enseignant, dictant (p.ex. en tant que Docteur de l'Église)
11H(CHRISTOPHER)13|aspects spécifiques ~ St Christophe - saint comme fondateur d'un Ordre
11H(CHRISTOPHER)131|aspects spécifiques ~ St Christophe - saint ~ consécration d'un Ordre, approbation d'une Règle
11H(CHRISTOPHER)2|jeunesse de St Christophe
11H(CHRISTOPHER)21|St Christophe au service d'un roi, qui craint le diable
11H(CHRISTOPHER)22|St Christophe au service du diable, qui est frappé de frayeur à la vue de la croix
11H(CHRISTOPHER)3|Christophe, géant martyr; attributs possibles : palme de martyr (flétrie ou bien contenant des grappes de dattes), enfant Jésus - dévotion personnelle du saint
11H(CHRISTOPHER)31|Christophe, géant martyr; attributs possibles : palme de martyr (flétrie ou bien contenant des grappes de dattes), enfant Jésus - vocation, conversion du saint
11H(CHRISTOPHER)32|Christophe, géant martyr; attributs possibles : palme de martyr (flétrie ou bien contenant des grappes de dattes), enfant Jésus - baptême, consécration, prononciation des voeux du saint
11H(CHRISTOPHER)33|Christophe, géant martyr; attributs possibles : palme de martyr (flétrie ou bien contenant des grappes de dattes), enfant Jésus - renonçant aux biens terrestres, vie ascétique du saint
11H(CHRISTOPHER)34|Christophe, géant martyr; attributs possibles : palme de martyr (flétrie ou bien contenant des grappes de dattes), enfant Jésus - vision(s), mariage mystique du saint
11H(CHRISTOPHER)35|Christophe, géant martyr; attributs possibles : palme de martyr (flétrie ou bien contenant des grappes de dattes), enfant Jésus - tentations du saint
11H(CHRISTOPHER)36|Christophe, géant martyr; attributs possibles : palme de martyr (flétrie ou bien contenant des grappes de dattes), enfant Jésus - pénitence du saint
11H(CHRISTOPHER)37|Christophe, géant martyr; attributs possibles : palme de martyr (flétrie ou bien contenant des grappes de dattes), enfant Jésus - saint en méditation, en extase
11H(CHRISTOPHER)4|Christophe, géant martyr; attributs possibles : palme de martyr (flétrie ou bien contenant des grappes de dattes), enfant Jésus - activités et événements non-miraculeux ~ saint
11H(CHRISTOPHER)5|activités et événements miraculeux ~ St Christophe
11H(CHRISTOPHER)51|St Christophe portant l'enfant Jésus sur ses épaules traverse un cours d'eau en s'appuyant sur un bâton (un palmier); il se peut qu'un ermite tenant une lanterne se tienne sur la rive d'en face, près d'une chapelle
11H(CHRISTOPHER)511|l'enfant Jésus appelle St Christophe pour qu'il lui fasse traverser le cours d'eau
11H(CHRISTOPHER)52|St Christophe à cheval avec l'enfant Jésus sur ses épaules
11H(CHRISTOPHER)59|activités et événements miraculeux ~ St Christophe - stigmatisation du saint
11H(CHRISTOPHER)6|martyre, souffrance, malheurs, mort de St Christophe
11H(CHRISTOPHER)61|St Christophe est amené auprès du roi, qui, effrayé à sa vue, fuit son trône
11H(CHRISTOPHER)62|quarante (ou quatre cents) archers sont incapables de blesser St Christophe; leurs flèches sont miraculeusement déviées; une se retourne et frappe le roi à l'oeil
11H(CHRISTOPHER)63|un casque rougi au feu est mis sur la tête de St Christophe
11H(CHRISTOPHER)64|en prison St Christophe convertit deux femmes de mauvaises moeurs qui voulaient le séduire
11H(CHRISTOPHER)641|le martyre des deux prostituées de la prison de St Christophe
11H(CHRISTOPHER)68|St Christophe est décapité
11H(CHRISTOPHER)69|le corps de St Christophe est traîné sur le pavé
11H(CHRISTOPHER)7|Christophe, géant martyr; attributs possibles : palme de martyr (flétrie ou bien contenant des grappes de dattes), enfant Jésus - apothéose, glorification, triomphe du saint
11H(CHRISTOPHER)8|Christophe, géant martyr; attributs possibles : palme de martyr (flétrie ou bien contenant des grappes de dattes), enfant Jésus - événements ayant lieu après la mort ~ saint
11H(CHRISTOPHER)81|Christophe, géant martyr; attributs possibles : palme de martyr (flétrie ou bien contenant des grappes de dattes), enfant Jésus - découverte, translation des reliques du saint
11H(CHRISTOPHER)82|Christophe, géant martyr; attributs possibles : palme de martyr (flétrie ou bien contenant des grappes de dattes), enfant Jésus - miracles ayant lieu pendant le maniement des reliques du saint
11H(CHRISTOPHER)83|Christophe, géant martyr; attributs possibles : palme de martyr (flétrie ou bien contenant des grappes de dattes), enfant Jésus - actions posthumes, apparitions du saint
11H(CHRISTOPHER)84|Christophe, géant martyr; attributs possibles : palme de martyr (flétrie ou bien contenant des grappes de dattes), enfant Jésus - béatification, canonisation du saint
11H(CHRISTOPHER)9|Christophe, géant martyr; attributs possibles : palme de martyr (flétrie ou bien contenant des grappes de dattes), enfant Jésus - portrait du saint
11H(CLEMENT)|Clément Ier, pape et martyr; attributs possibles : ancre, agneau, meule, galère (trirème)
11H(CLEMENT)0|Clément Ier, pape et martyr; attributs possibles : ancre, agneau, meule, galère (trirème) - groupe de saints
11H(CLEMENT)1|Clément Ier, pape et martyr; attributs possibles : ancre, agneau, meule, galère (trirème) - aspects spécifiques ~ saint
11H(CLEMENT)11|Clément Ier, pape et martyr; attributs possibles : ancre, agneau, meule, galère (trirème) - saint en tant que patron, protecteur, intercesseur
11H(CLEMENT)119|Clément Ier, pape et martyr; attributs possibles : ancre, agneau, meule, galère (trirème) - saint protégeant des fidèles sous son manteau, 'Schützmantel'
11H(CLEMENT)12|Clément Ier, pape et martyr; attributs possibles : ancre, agneau, meule, galère (trirème) - saint écrivant, étudiant, enseignant, dictant (p.ex. en tant que Docteur de l'Église)
11H(CLEMENT)13|Clément Ier, pape et martyr; attributs possibles : ancre, agneau, meule, galère (trirème) - saint comme fondateur d'un Ordre
11H(CLEMENT)131|Clément Ier, pape et martyr; attributs possibles : ancre, agneau, meule, galère (trirème) - saint ~ consécration d'un Ordre, approbation d'une Règle
11H(CLEMENT)2|Clément Ier, pape et martyr; attributs possibles : ancre, agneau, meule, galère (trirème) - jeunesse du saint
11H(CLEMENT)3|Clément Ier, pape et martyr; attributs possibles : ancre, agneau, meule, galère (trirème) - dévotion personnelle du saint
11H(CLEMENT)31|Clément Ier, pape et martyr; attributs possibles : ancre, agneau, meule, galère (trirème) - vocation, conversion du saint
11H(CLEMENT)32|Clément Ier, pape et martyr; attributs possibles : ancre, agneau, meule, galère (trirème) - baptême, consécration, prononciation des voeux du saint
11H(CLEMENT)33|Clément Ier, pape et martyr; attributs possibles : ancre, agneau, meule, galère (trirème) - renonçant aux biens terrestres, vie ascétique du saint
11H(CLEMENT)34|Clément Ier, pape et martyr; attributs possibles : ancre, agneau, meule, galère (trirème) - vision(s), mariage mystique du saint
11H(CLEMENT)35|Clément Ier, pape et martyr; attributs possibles : ancre, agneau, meule, galère (trirème) - tentations du saint
11H(CLEMENT)36|Clément Ier, pape et martyr; attributs possibles : ancre, agneau, meule, galère (trirème) - pénitence du saint
11H(CLEMENT)37|Clément Ier, pape et martyr; attributs possibles : ancre, agneau, meule, galère (trirème) - saint en méditation, en extase
11H(CLEMENT)4|activités et événements non-miraculeux ~ St Clément
11H(CLEMENT)41|la messe de St Clément : dite en présence de Theodora, femme de l'empereur païen Sisinnius; comme ce dernier épie la scène il est frappé de cécité
11H(CLEMENT)5|activités et événements miraculeux ~ St Clément
11H(CLEMENT)51|St Clément, à l'endroit indiqué par un agneau, frappe un rocher d'où jaillit de l'eau
11H(CLEMENT)59|activités et événements miraculeux ~ St Clément - stigmatisation du saint
11H(CLEMENT)6|martyre, souffrance, malheurs, mort de St Clément
11H(CLEMENT)61|St Clément, une ancre (ou une meule) attachée au cou, est précipité d'une falaise (ou d'un navire) dans la mer
11H(CLEMENT)611|quand la mer se retire, le corps de St Clément est trouvé dans une chapelle sous-marine, construite par des anges
11H(CLEMENT)68|martyre, souffrance, malheurs, mort de St Clément - mort, lit de mort du saint
11H(CLEMENT)69|martyre, souffrance, malheurs, mort de St Clément - corps du saint malmené
11H(CLEMENT)7|Clément Ier, pape et martyr; attributs possibles : ancre, agneau, meule, galère (trirème) - apothéose, glorification, triomphe du saint
11H(CLEMENT)8|événements ayant lieu après la mort ~ St Clément
11H(CLEMENT)81|événements ayant lieu après la mort ~ St Clément - découverte, translation des reliques du saint
11H(CLEMENT)82|événements ayant lieu après la mort ~ St Clément - miracles ayant lieu pendant le maniement des reliques du saint
11H(CLEMENT)83|chaque année quand la mer se retire des pélerins se rassemblent dans la chapelle; une mère y retrouve paisiblement endormi son enfant oublié l'année d'avant
11H(CLEMENT)84|événements ayant lieu après la mort ~ St Clément - béatification, canonisation du saint
11H(CLEMENT)9|Clément Ier, pape et martyr; attributs possibles : ancre, agneau, meule, galère (trirème) - portrait du saint
11H(CONSTANTINE)|Constantin le Grand, empereur romain; attributs possibles : couronne, sceptre, étendard (labarum) portant le chrisme ou une croix
11H(CONSTANTINE)0|Constantin le Grand, empereur romain; attributs possibles : couronne, sceptre, étendard (labarum) portant le chrisme ou une croix - groupe de saints
11H(CONSTANTINE)1|Constantin le Grand, empereur romain; attributs possibles : couronne, sceptre, étendard (labarum) portant le chrisme ou une croix - aspects spécifiques ~ saint
11H(CONSTANTINE)11|Constantin le Grand, empereur romain; attributs possibles : couronne, sceptre, étendard (labarum) portant le chrisme ou une croix - saint en tant que patron, protecteur, intercesseur
11H(CONSTANTINE)119|Constantin le Grand, empereur romain; attributs possibles : couronne, sceptre, étendard (labarum) portant le chrisme ou une croix - saint protégeant des fidèles sous son manteau, 'Schützmantel'
11H(CONSTANTINE)12|Constantin le Grand, empereur romain; attributs possibles : couronne, sceptre, étendard (labarum) portant le chrisme ou une croix - saint écrivant, étudiant, enseignant, dictant (p.ex. en tant que Docteur de l'Église)
11H(CONSTANTINE)13|Constantin le Grand, empereur romain; attributs possibles : couronne, sceptre, étendard (labarum) portant le chrisme ou une croix - saint comme fondateur d'un Ordre
11H(CONSTANTINE)131|Constantin le Grand, empereur romain; attributs possibles : couronne, sceptre, étendard (labarum) portant le chrisme ou une croix - saint ~ consécration d'un Ordre, approbation d'une Règle
11H(CONSTANTINE)2|Constantin le Grand, empereur romain; attributs possibles : couronne, sceptre, étendard (labarum) portant le chrisme ou une croix - jeunesse du saint
11H(CONSTANTINE)3|dévotion personnelle de St Constantin
11H(CONSTANTINE)31|dévotion personnelle de St Constantin - vocation, conversion du saint
11H(CONSTANTINE)32|dévotion personnelle de St Constantin - baptême, consécration, prononciation des voeux du saint
11H(CONSTANTINE)33|dévotion personnelle de St Constantin - renonçant aux biens terrestres, vie ascétique du saint
11H(CONSTANTINE)34|la bataille sur le pont Milvius (Saxa Rubra); St Constantin, à cheval, affronte Maxence; une croix, portant les lettres de feu: 'in hoc signo vinces', apparaît dans le ciel (les soldats romains arborent une croix ou un chrisme sur leurs étendards)
11H(CONSTANTINE)341|le songe de St Constantin le Grand avant la bataille sur le pont Milvius : un ange portant une croix lui apparaît et lui prédit la victoire
11H(CONSTANTINE)35|dévotion personnelle de St Constantin - tentations du saint
11H(CONSTANTINE)36|dévotion personnelle de St Constantin - pénitence du saint
11H(CONSTANTINE)37|dévotion personnelle de St Constantin - saint en méditation, en extase
11H(CONSTANTINE)4|activités et événements non-miraculeux ~ St Constantin
11H(CONSTANTINE)41|la donation de St Constantin (la donation de Rome) : St Constantin agenouillé devant le pape lui remet un document
11H(CONSTANTINE)5|Constantin le Grand, empereur romain; attributs possibles : couronne, sceptre, étendard (labarum) portant le chrisme ou une croix - activités et événement miraculeux ~ saint
11H(CONSTANTINE)59|Constantin le Grand, empereur romain; attributs possibles : couronne, sceptre, étendard (labarum) portant le chrisme ou une croix - stigmatisation du saint
11H(CONSTANTINE)6|Constantin le Grand, empereur romain; attributs possibles : couronne, sceptre, étendard (labarum) portant le chrisme ou une croix - martyre, souffrance, malheurs, mort du saint
11H(CONSTANTINE)68|Constantin le Grand, empereur romain; attributs possibles : couronne, sceptre, étendard (labarum) portant le chrisme ou une croix - mort, lit de mort du saint
11H(CONSTANTINE)69|Constantin le Grand, empereur romain; attributs possibles : couronne, sceptre, étendard (labarum) portant le chrisme ou une croix - corps du saint malmené
11H(CONSTANTINE)7|Constantin le Grand, empereur romain; attributs possibles : couronne, sceptre, étendard (labarum) portant le chrisme ou une croix - apothéose, glorification, triomphe du saint
11H(CONSTANTINE)8|Constantin le Grand, empereur romain; attributs possibles : couronne, sceptre, étendard (labarum) portant le chrisme ou une croix - événements ayant lieu après la mort ~ saint
11H(CONSTANTINE)81|Constantin le Grand, empereur romain; attributs possibles : couronne, sceptre, étendard (labarum) portant le chrisme ou une croix - découverte, translation des reliques du saint
11H(CONSTANTINE)82|Constantin le Grand, empereur romain; attributs possibles : couronne, sceptre, étendard (labarum) portant le chrisme ou une croix - miracles ayant lieu pendant le maniement des reliques du saint
11H(CONSTANTINE)83|Constantin le Grand, empereur romain; attributs possibles : couronne, sceptre, étendard (labarum) portant le chrisme ou une croix - actions posthumes, apparitions du saint
11H(CONSTANTINE)84|Constantin le Grand, empereur romain; attributs possibles : couronne, sceptre, étendard (labarum) portant le chrisme ou une croix - béatification, canonisation du saint
11H(CONSTANTINE)9|Constantin le Grand, empereur romain; attributs possibles : couronne, sceptre, étendard (labarum) portant le chrisme ou une croix - portrait du saint
11H(COSMAS & DAMIAN)|les jumeaux Côme et Damien, martyrs et médecins; attributs possibles : boîte d'onguents, bonnet, toge, lancette, pilon et mortier, urinal
11H(COSMAS & DAMIAN)0|les jumeaux Côme et Damien, martyrs et médecins; attributs possibles : boîte d'onguents, bonnet, toge, lancette, pilon et mortier, urinal - groupe de saints
11H(COSMAS & DAMIAN)1|aspects spécifiques ~ Sts Côme et Damien
11H(COSMAS & DAMIAN)11|Sts. Côme et Damien en tant que patrons, protecteurs
11H(COSMAS & DAMIAN)111|Sts. Côme et Damien, patrons invoqués contre la maladie, notamment la peste
11H(COSMAS & DAMIAN)112|Sts Côme et Damien, patrons de la famille des Medici
11H(COSMAS & DAMIAN)113|Sts Côme et Damien, patrons des sciences médicales et des médecins
11H(COSMAS & DAMIAN)119|Sts. Côme et Damien en tant que patrons, protecteurs - saint protégeant des fidèles sous son manteau, 'Schützmantel'
11H(COSMAS & DAMIAN)12|aspects spécifiques ~ Sts Côme et Damien - saint écrivant, étudiant, enseignant, dictant (p.ex. en tant que Docteur de l'Église)
11H(COSMAS & DAMIAN)13|aspects spécifiques ~ Sts Côme et Damien - saint comme fondateur d'un Ordre
11H(COSMAS & DAMIAN)131|aspects spécifiques ~ Sts Côme et Damien - saint ~ consécration d'un Ordre, approbation d'une Règle
11H(COSMAS & DAMIAN)2|les jumeaux Côme et Damien, martyrs et médecins; attributs possibles : boîte d'onguents, bonnet, toge, lancette, pilon et mortier, urinal - jeunesse du saint
11H(COSMAS & DAMIAN)3|les jumeaux Côme et Damien, martyrs et médecins; attributs possibles : boîte d'onguents, bonnet, toge, lancette, pilon et mortier, urinal - dévotion personnelle du saint
11H(COSMAS & DAMIAN)31|les jumeaux Côme et Damien, martyrs et médecins; attributs possibles : boîte d'onguents, bonnet, toge, lancette, pilon et mortier, urinal - vocation, conversion du saint
11H(COSMAS & DAMIAN)32|les jumeaux Côme et Damien, martyrs et médecins; attributs possibles : boîte d'onguents, bonnet, toge, lancette, pilon et mortier, urinal - baptême, consécration, prononciation des voeux du saint
11H(COSMAS & DAMIAN)33|les jumeaux Côme et Damien, martyrs et médecins; attributs possibles : boîte d'onguents, bonnet, toge, lancette, pilon et mortier, urinal - renonçant aux biens terrestres, vie ascétique du saint
11H(COSMAS & DAMIAN)34|les jumeaux Côme et Damien, martyrs et médecins; attributs possibles : boîte d'onguents, bonnet, toge, lancette, pilon et mortier, urinal - vision(s), mariage mystique du saint
11H(COSMAS & DAMIAN)35|les jumeaux Côme et Damien, martyrs et médecins; attributs possibles : boîte d'onguents, bonnet, toge, lancette, pilon et mortier, urinal - tentations du saint
11H(COSMAS & DAMIAN)36|les jumeaux Côme et Damien, martyrs et médecins; attributs possibles : boîte d'onguents, bonnet, toge, lancette, pilon et mortier, urinal - pénitence du saint
11H(COSMAS & DAMIAN)37|les jumeaux Côme et Damien, martyrs et médecins; attributs possibles : boîte d'onguents, bonnet, toge, lancette, pilon et mortier, urinal - saint en méditation, en extase
11H(COSMAS & DAMIAN)4|les jumeaux Côme et Damien, martyrs et médecins; attributs possibles : boîte d'onguents, bonnet, toge, lancette, pilon et mortier, urinal - activités et événements non-miraculeux ~ saint
11H(COSMAS & DAMIAN)5|activités et événements miraculeux ~ Sts Côme et Damien
11H(COSMAS & DAMIAN)51|Sts Côme et Damien amputent la jambe d'un malade de race blanche et greffent sur son moignon la jambe d'un Maure; revenu à lui le malade découvre qu'il a une jambe blanche et une brune
11H(COSMAS & DAMIAN)52|Sts Côme et Damien accomplissant des guérisons miraculeuses
11H(COSMAS & DAMIAN)521|Sts Côme et Damien guérissant un chameau
11H(COSMAS & DAMIAN)59|activités et événements miraculeux ~ Sts Côme et Damien - stigmatisation du saint
11H(COSMAS & DAMIAN)6|martyre, souffrance, malheurs, mort de St Côme et de St Damien
11H(COSMAS & DAMIAN)61|Sts Côme et Damien sont amenés devant Lysias, le souverain païen
11H(COSMAS & DAMIAN)62|jetés à la mer, Sts Côme et Damien sont miraculeusement sauvés par des anges
11H(COSMAS & DAMIAN)63|Sts Côme et Damien sont crucifiés, mais les flèches et les pierres qu'on leur lance se retournent contre leurs bourreaux
11H(COSMAS & DAMIAN)64|condamnés au bûcher, parfois en compagnie de leurs trois frères, Sts Côme et Damien ne souffrent pas des flammes
11H(COSMAS & DAMIAN)68|Sts Côme et Damien sont décapités
11H(COSMAS & DAMIAN)681|un chameau réclame l'ensevelissement de St Côme et de St Damien
11H(COSMAS & DAMIAN)69|martyre, souffrance, malheurs, mort de St Côme et de St Damien - corps du saint malmené
11H(COSMAS & DAMIAN)7|les jumeaux Côme et Damien, martyrs et médecins; attributs possibles : boîte d'onguents, bonnet, toge, lancette, pilon et mortier, urinal - apothéose, glorification, triomphe du saint
11H(COSMAS & DAMIAN)8|les jumeaux Côme et Damien, martyrs et médecins; attributs possibles : boîte d'onguents, bonnet, toge, lancette, pilon et mortier, urinal - événements ayant lieu après la mort ~ saint
11H(COSMAS & DAMIAN)81|les jumeaux Côme et Damien, martyrs et médecins; attributs possibles : boîte d'onguents, bonnet, toge, lancette, pilon et mortier, urinal - découverte, translation des reliques du saint
11H(COSMAS & DAMIAN)82|les jumeaux Côme et Damien, martyrs et médecins; attributs possibles : boîte d'onguents, bonnet, toge, lancette, pilon et mortier, urinal - miracles ayant lieu pendant le maniement des reliques du saint
11H(COSMAS & DAMIAN)83|les jumeaux Côme et Damien, martyrs et médecins; attributs possibles : boîte d'onguents, bonnet, toge, lancette, pilon et mortier, urinal - actions posthumes, apparitions du saint
11H(COSMAS & DAMIAN)84|les jumeaux Côme et Damien, martyrs et médecins; attributs possibles : boîte d'onguents, bonnet, toge, lancette, pilon et mortier, urinal - béatification, canonisation du saint
11H(COSMAS & DAMIAN)9|les jumeaux Côme et Damien, martyrs et médecins; attributs possibles : boîte d'onguents, bonnet, toge, lancette, pilon et mortier, urinal - portrait du saint
11H(CRISPIN & CRISPINIAN)|les frères Crépin et Crépinien, cordonniers et martyrs; attributs possibles : alêne, outils de cordonnier, forme de bottier, soulier
11H(CRISPIN & CRISPINIAN)0|les frères Crépin et Crépinien, cordonniers et martyrs; attributs possibles : alêne, outils de cordonnier, forme de bottier, soulier - groupe de saints
11H(CRISPIN & CRISPINIAN)1|les frères Crépin et Crépinien, cordonniers et martyrs; attributs possibles : alêne, outils de cordonnier, forme de bottier, soulier - aspects spécifiques ~ saint
11H(CRISPIN & CRISPINIAN)11|les frères Crépin et Crépinien, cordonniers et martyrs; attributs possibles : alêne, outils de cordonnier, forme de bottier, soulier - saint en tant que patron, protecteur, intercesseur
11H(CRISPIN & CRISPINIAN)119|les frères Crépin et Crépinien, cordonniers et martyrs; attributs possibles : alêne, outils de cordonnier, forme de bottier, soulier - saint protégeant des fidèles sous son manteau, 'Schützmantel'
11H(CRISPIN & CRISPINIAN)12|les frères Crépin et Crépinien, cordonniers et martyrs; attributs possibles : alêne, outils de cordonnier, forme de bottier, soulier - saint écrivant, étudiant, enseignant, dictant (p.ex. en tant que Docteur de l'Église)
11H(CRISPIN & CRISPINIAN)13|les frères Crépin et Crépinien, cordonniers et martyrs; attributs possibles : alêne, outils de cordonnier, forme de bottier, soulier - saint comme fondateur d'un Ordre
11H(CRISPIN & CRISPINIAN)131|les frères Crépin et Crépinien, cordonniers et martyrs; attributs possibles : alêne, outils de cordonnier, forme de bottier, soulier - saint ~ consécration d'un Ordre, approbation d'une Règle
11H(CRISPIN & CRISPINIAN)2|les frères Crépin et Crépinien, cordonniers et martyrs; attributs possibles : alêne, outils de cordonnier, forme de bottier, soulier - jeunesse du saint
11H(CRISPIN & CRISPINIAN)3|les frères Crépin et Crépinien, cordonniers et martyrs; attributs possibles : alêne, outils de cordonnier, forme de bottier, soulier - dévotion personnelle du saint
11H(CRISPIN & CRISPINIAN)31|les frères Crépin et Crépinien, cordonniers et martyrs; attributs possibles : alêne, outils de cordonnier, forme de bottier, soulier - vocation, conversion du saint
11H(CRISPIN & CRISPINIAN)32|les frères Crépin et Crépinien, cordonniers et martyrs; attributs possibles : alêne, outils de cordonnier, forme de bottier, soulier - baptême, consécration, prononciation des voeux du saint
11H(CRISPIN & CRISPINIAN)33|les frères Crépin et Crépinien, cordonniers et martyrs; attributs possibles : alêne, outils de cordonnier, forme de bottier, soulier - renonçant aux biens terrestres, vie ascétique du saint
11H(CRISPIN & CRISPINIAN)34|les frères Crépin et Crépinien, cordonniers et martyrs; attributs possibles : alêne, outils de cordonnier, forme de bottier, soulier - vision(s), mariage mystique du saint
11H(CRISPIN & CRISPINIAN)35|les frères Crépin et Crépinien, cordonniers et martyrs; attributs possibles : alêne, outils de cordonnier, forme de bottier, soulier - tentations du saint
11H(CRISPIN & CRISPINIAN)36|les frères Crépin et Crépinien, cordonniers et martyrs; attributs possibles : alêne, outils de cordonnier, forme de bottier, soulier - pénitence du saint
11H(CRISPIN & CRISPINIAN)37|les frères Crépin et Crépinien, cordonniers et martyrs; attributs possibles : alêne, outils de cordonnier, forme de bottier, soulier - saint en méditation, en extase
11H(CRISPIN & CRISPINIAN)4|activités et événements non-miraculeux ~ Sts Crépin et Crépinien
11H(CRISPIN & CRISPINIAN)41|Sts Crépin et Crépinien dans leur atelier, coupant du cuir, fabriquant des souliers
11H(CRISPIN & CRISPINIAN)411|Sts Crépin et Crépinien donnent des souliers aux pauvres
11H(CRISPIN & CRISPINIAN)412|Sts Crépin et Crépinien sont arrêtés dans leur atelier
11H(CRISPIN & CRISPINIAN)5|les frères Crépin et Crépinien, cordonniers et martyrs; attributs possibles : alêne, outils de cordonnier, forme de bottier, soulier - activités et événement miraculeux ~ saint
11H(CRISPIN & CRISPINIAN)59|les frères Crépin et Crépinien, cordonniers et martyrs; attributs possibles : alêne, outils de cordonnier, forme de bottier, soulier - stigmatisation du saint
11H(CRISPIN & CRISPINIAN)6|martyre, souffrance, malheurs, mort de St Crépin et de St Crépinien
11H(CRISPIN & CRISPINIAN)61|des alênes sont enfoncées sous les ongles des pieds et des mains de St Crépin et de St Crépinien ou bien ils sont écorchés avec des alênes
11H(CRISPIN & CRISPINIAN)611|les alênes destinées à St Crépin et à St Crépinien se retournent miraculeusement contre leurs bourreaux et blessent ceux-ci
11H(CRISPIN & CRISPINIAN)62|Sts Crépin et Crépinien, une meule au cou, sont jetés dans la rivière mais sont miraculeusement sauvés
11H(CRISPIN & CRISPINIAN)63|Sts Crépin et Crépinien sont placés dans un chaudron d'huile bouillante ou bien du plomb leur est versé dans la bouche; il se peut qu'une goutte de plomb aveugle le bourreau ou le souverain païen
11H(CRISPIN & CRISPINIAN)64|condamnés au bûcher Sts Crépin et Crépinien ne souffrent pas des flammes
11H(CRISPIN & CRISPINIAN)68|Sts Crépin et Crépinien sont décapités
11H(CRISPIN & CRISPINIAN)69|des chiens et/ou des bêtes fauves laissent les corps des Sts Crépin et Crépinien intacts
