4|yhteiskunta, sivilisaatio, kulttuuri
42G|perhe, sukulaissuhteet, jälkeläiset
#42G1|family lineage, pedigree, genealogical tree or table
#42G11|series of ancestral portraits, 'Ahnengalerie'
42G2|perheen sukulaissuhteet (ensimmäisen, toisen, kolmannen ja neljännen asteen sukulaissuhteet), sukupolvet
42G21|perheen ensimmäisen asteen sukulaissuhteet
42G211|vanhemmat (perheen ensimmäisen asteen sukulaissuhteet)
42G2111|isä (perheen ensimmäisen asteen sukulaissuhteet)
42G2112|äiti (perheen ensimmäisen asteen sukulaissuhteet)
42G212|lapset (perheen ensimmäisen asteen sukulaissuhteet)
42G2121|poika (perheen ensimmäisen asteen sukulaissuhteet)
42G2122|tytär (perheen ensimmäisen asteen sukulaissuhteet)
42G22|perheen toisen asteen sukulaissuhteet
42G221|isovanhemmat (perheen toisen asteen sukulaissuhteet)
42G222|veljet tai sisaret (perheen toisen asteen sukulaissuhteet)
#42G2221|brothers (second degree family relationships)
#42G2222|sisters (second degree family relationships)
42G223|lapsenlapset (perheen toisen asteen sukulaissuhteet)
42G23|perheen kolmannen asteen sukulaissuhteet
#42G231|great-grandparents (third degree family relationships)
42G232|setä, eno, täti (perheen kolmannen asteen sukulaissuhteet)
#42G233|nephews, nieces (third degree family relationships)
#42G2331|nephews
#42G2332|nieces
42G234|serkku, serkut (perheen kolmannen asteen sukulaissuhteet)
#42G235|great-grandchildren (third degree family relationships)
#42G24|fourth degree family relationships
#42G241|great-great grandparents (fourth degree family relationships)
#42G242|great uncles, great aunts (fourth degree family relationships)
#42G243|grand nephews, grand nieces (fourth degree family relationships)
#42G244|second cousins (fourth degree family relationships)
#42G245|great-great grandchildren (fourth degree family relationships)
42G29|insesti
42Z|eksoottiset ja moniavioiset perhemuodot
#42Z1|polygamy
42Z11|haaremi
42Z111|odaliski
#42Z112|'le Bain turc'
#42Z113|eunuch
#42Z2|polyandry
#42Z3|communal marriages
#42Z31|'Weibergemeinschaft'
#42Z32|family or group marriage ('Punalua')
43|ajanviete, huvittelu
43A|juhlat, juhlallisuudet
43A1|vuotuiset juhlapäivät
43A11|kalenterivuoden juhlat, kirkolliseen kalenteriin liittyvät ei-liturgiset juhlat
43A12|joulu, laskiaiskarnevaali ja pääsiäinen ei-liturgisina juhlina
43A121|joulu (ei-liturgisena juhlana)
43A1211|joulukuusi
#43A1212|Christmas decorations
43A1213|joulupukki
#43A1214|Christmas card
43A122|laskiainen, laskiaiskarnevaali (ei-liturgisena juhlana)
#43A1221|ship of fools
#43A1222|Shrove Thursday, 'Jeudi gras'
#43A1223|Quinquagesima
#43A1224|Shrove Tuesday, 'Mardi gras' ~ non-liturgical celebrations of carnival
43A123|pääsiäinen (ei-liturgisena juhlana)
43A1231|pääsiäismuna
#43A12311|jewelry in the shape of an Easter egg
#43A1232|prize-ox
#43A12321|showing around the prize-ox
#43A1233|Easter rabbit
43A13|vuodenaikojen eri toimintoihin liittyvät juhlat
#43A131|vernal festivities, spring celebrations
#43A1311|dancing around the maypole
#43A13111|maypole
43A132|elonkorjuu-juhla(t)
#43A14|festivities falling on calendar dates; memorial days
#43A141|January 1 (~ festivities)
#43A1411|New Year's Eve (December 31)
#43A142|April 1 (~ festivities)
#43A143|May 1 (~ festivities)
#43A144|Twelfth Night, usually falling on the eve of January 6
#43A145|Saints-day festivities (non-liturgical)
#43A1451|festivities on St. Nicholas (Eve) (December 5)
#43A1452|Halloween, All Hallow's Eve (October 31)
#43A1453|St. Martin's Day (November 11)
#43A1454|St. Patrick's Day (March 17)
#43A146|other festivities connected to calendar dates; memorial days
#43A146(...)|other festivities connected to calendar dates; memorial days (with DATE)
43A2|yksityiset juhlat, iloinen seurue
#43A21|reception, cocktail party
#43A22|commemoration, jubilee
43A23|tanssiaiset
43A3|markkinat ja sirkus
43A31|karuselli
#43A311|giant wheel, Ferris wheel
#43A32|amusement with cars, etc. (pleasure fair)
#43A321|roller-coaster
#43A322|collision cars, bumper cars
#43A323|switchback, scenic railway
#43A33|exercise of skill and strength (~ pleasure fair)
#43A331|shooting gallery, miniature rifle range (~ pleasure fair)
#43A332|try-your-strength machine
#43A34|other kinds of amusement
#43A341|hall with distorting mirrors
#43A342|diorama
#43A343|panorama, cyclorama
#43A344|peep-show
#43A345|lottery booth (on pleasure fair)
#43A346|freak show
#43A3461|human monstrosities ~ freak show
#43A3462|animal monstrosities ~ freak show
#43A3463|unusual objects (plants, stones, etc.) ~ freak show
43A35|ulkoilmaesitykset (markkinat)
43A351|esitykset teltassa (markkinat)
#43A352|drumming-up the public
43A36|sirkus
43A361|sirkusteltta (ulkopuolelta)
#43A362|entrance of circus tent
43A363|sirkusteltta (sisäpuolelta)
#43A3631|circus ring
43A37|näytös; markkina- ja sirkusesiintyjät, sirkustaiteilijat
#43A371|boss, director (of circus)
#43A3711|ringmaster
43A372|akrobaatti, trapetsitaiteilija ~ sirkus
#43A3721|tight-ropewalker
#43A3722|trapeze acrobat
#43A3723|equilibrist
#43A3724|knife-thrower
#43A3725|gunman, crack shot
#43A3726|contortionist
#43A3727|escapologist
#43A3728|fire-eater
43A373|klovni, sirkuspelle
#43A3731|Simple Simon, 'Hanswurst'
43A374|sirkusesitys, jossa mukana koulutettuja eläimiä (apinoita, norsuja, karhuja, leijonia, tiikereitä, hevosia, koiria, delfiinejä, hylkeitä, kirppuja jne.)
#43A3741|monkeys (circus performance)
#43A3742|elephants (circus performance)
#43A3743|bears (circus performance)
#43A3744|lions and tigers (circus performance)
#43A3745|horses (circus performance)
#43A3746|dogs (circus performance)
#43A3747|dolphins (circus performance)
#43A3748|seals (circus performance)
#43A3749|flea-circus
#43A375|illusionist, conjurer, juggler, 'legerdemain'
#43A3751|ventriloquist
43A376|ennustaja ~ markkinat ja sirkus
#43A38|circus or fair 'en route'
#43A381|setting up the tents (circus or fair 'en route')
#43A382|taking down the tents (circus or fair 'en route')
43A4|yleiset julkiset juhlat
#43A41|rejoicing on special occasions
#43A411|festivities on events of national importance
#43A412|public festivities on the occasion of royal events
#43A4121|public festivities at marriage of royal persons
#43A4122|public festivities at birth of royal persons
#43A4123|public festivities at other royal events, not meant or mentioned above
43A42|triumfikulkue, juhlakulkue
#43A421|chariot, triumphal car
#43A4211|Roman chariot, quadriga ~ triumph
#43A4212|float ~ triumph
43A422|triumfikaari, riemukaari
#43A423|other decorative structures (~ triumphal entry, etc.)
#43A424|scattering of money (~ triumphal entry, etc.)
#43A4241|coins specially minted for the occasion (triumphal entry, etc.) (Dutch: 'strooipenningen')
#43A425|decoration and illumination of streets, squares, etc. (~ triumphal entry, etc.)
#43A426|confetti, ticker-tape, etc. (~ triumphal entry, etc.)
#43A43|triumphs (allegorical and symbolic)
#43A431|'Trionfi' (of Petrarch)
#43A4311|'Trionfi d'Amore', 'Triumphus Cupidinis'; 'Carro d'amore' (Ripa)
#43A4312|'Trionfo della Castità', 'Triumphus Pudicitiae'; 'Carro della castità' (Ripa)
#43A4313|'Trionfo della Morte', 'Triumphus Mortis'; 'Carro della morte' (Ripa)
#43A4314|'Trionfo della Fama', 'Triumphus Famae'; 'Carro della Fama' (Ripa)
#43A4315|'Trionfo del Tempo', 'Triumphus Temporis'; 'Carro del Tempo' (Ripa)
#43A4316|'Trionfo della Divinità', 'Triumphus Aeternitatis'; 'Carro della Divinità'
#43A432|symbolic triumphs of individual persons
#43A4321|apotheosis (or ascension) of individuals
#43A433|crowning with laurel
#43A44|bonfire, fire-works
#43A45|public disgrace
#43A46|activities in the air ~ public festivities, e.g. fly-past
43A49|julkiset hautajaiset
#43A491|catafalque, 'castrum doloris' (~ public funeral)
43AA2|yksityiset juhlat, iloinen seurue - AA - juhlat ulkona, 'fête champêtre'
43AA21|reception, cocktail party - AA - juhlat ulkona, 'fête champêtre'
43AA22|commemoration, jubilee - AA - juhlat ulkona, 'fête champêtre'
43AA23|tanssiaiset - AA - juhlat ulkona, 'fête champêtre'
43AA4|yleiset julkiset juhlat - AA - festivities on the water
#43AA41|rejoicing on special occasions - AA - festivities on the water
#43AA411|festivities on events of national importance - AA - festivities on the water
#43AA412|public festivities on the occasion of royal events - AA - festivities on the water
#43AA4121|public festivities at marriage of royal persons - AA - festivities on the water
#43AA4122|public festivities at birth of royal persons - AA - festivities on the water
#43AA4123|public festivities at other royal events, not meant or mentioned above - AA - festivities on the water
43AA42|triumfikulkue, juhlakulkue - AA - festivities on the water
43AA422|triumfikaari, riemukaari - AA - festivities on the water
#43AA423|other decorative structures (~ triumphal entry, etc.) - AA - festivities on the water
#43AA424|scattering of money (~ triumphal entry, etc.) - AA - festivities on the water
#43AA425|decoration and illumination of streets, squares, etc. (~ triumphal entry, etc.) - AA - festivities on the water
#43AA426|confetti, ticker-tape, etc. (~ triumphal entry, etc.) - AA - festivities on the water
#43AA43|triumphs (allegorical and symbolic) - AA - on the water, 'triomphe marin'
#43AA431|'Trionfi' (of Petrarch) - AA - on the water, 'triomphe marin'
#43AA4311|'Trionfi d'Amore', 'Triumphus Cupidinis'; 'Carro d'amore' (Ripa) - AA - on the water, 'triomphe marin'
#43AA4312|'Trionfo della Castità', 'Triumphus Pudicitiae'; 'Carro della castità' (Ripa) - AA - on the water, 'triomphe marin'
#43AA4313|'Trionfo della Morte', 'Triumphus Mortis'; 'Carro della morte' (Ripa) - AA - on the water, 'triomphe marin'
#43AA4314|'Trionfo della Fama', 'Triumphus Famae'; 'Carro della Fama' (Ripa) - AA - on the water, 'triomphe marin'
#43AA4315|'Trionfo del Tempo', 'Triumphus Temporis'; 'Carro del Tempo' (Ripa) - AA - on the water, 'triomphe marin'
#43AA4316|'Trionfo della Divinità', 'Triumphus Aeternitatis'; 'Carro della Divinità' - AA - on the water, 'triomphe marin'
#43AA432|symbolic triumphs of individual persons - AA - on the water, 'triomphe marin'
#43AA4321|apotheosis (or ascension) of individuals - AA - on the water, 'triomphe marin'
#43AA433|crowning with laurel - AA - on the water, 'triomphe marin'
#43AA44|bonfire, fire-works - AA - festivities on the water
#43AA46|activities in the air ~ public festivities, e.g. fly-past - AA - festivities on the water
43AA49|julkiset hautajaiset - AA - festivities on the water
#43AA491|catafalque, 'castrum doloris' (~ public funeral) - AA - festivities on the water
43B|ajanviete, virkistäytyminen
43B1|luonnosta nauttiminen, retkeily
43B11|luonnon katseleminen ja mietiskeleminen
43B12|piknik, ateriointi luonnossa
#43B121|outdoor gathering, 'délices à la campagne'
43B13|kävely, käyskentely, vaeltaminen (ajanviete, virkistäytyminen)
43B131|polkupyöräily, ratsastus (ajanviete, virkistäytyminen)
#43B14|enjoying nature ~ plants, herbs and flowers
#43B141|botanizing
#43B142|mushroom-hunting
#43B143|gathering herbs
43B144|kukkien poimiminen
#43B15|enjoying nature ~ animals
#43B151|hunting butterflies
#43B16|mountain climbing, mountaineering
#43B17|exploring caves
#43B2|open-air recreation
#43B21|pleasure-resort
43B3|sisätiloissa tapahtuvat huvitukset
43B31|majatalo, kestikievari, kapakka, pub
43B311|ravintola
#43B312|tea garden, garden restaurant
43B313|terassi ravintolan edessä
#43B32|club, meeting place
43B33|kasino
#43B331|gaming den, gambling den
43B34|yökerho, tanssihalli
43B4|metsä ja puisto (virkistäytymispaikkoina)
#43B41|playing in the woods
#43B411|climbing up a tree
#43B412|falling from a tree
43B42|puisto
#43B421|bandstand
43B5|uimaranta (virkistäytymispaikkana)
#43B51|in or beside the water (on the beach)
#43B52|sunbathing (on the beach)
#43B53|(building) sand-castle
#43B54|donkey-riding (on the beach)
#43B55|recreation in the dunes
43B6|leikkikenttä
#43B61|playground equipment
#43B61(...)|playground equipment (with NAME)
43B611|keinu
#43B612|slide, chute
#43B613|seesaw
43B7|eläintarha (virkistäytymispaikkana)
43B8|näyttelyt, kokoelmat
43C|urheilu, pelit ja fyysiset esitykset
#43C1|sports, games ~ animals
43C11|metsästys
#43C111|game, hunted animals
#43C1111|group of various hunted animals
#43C1112|hunt ~ mammals
#43C11121|group of various hunted mammals
#43C11122|monkey hunting
#43C11123|hunt ~ predatory animals (fox, lion)
#43C111231|fox hunting
#43C1112311|fox and hounds
#43C111232|lion hunt
#43C1112321|hunter fighting a lion
#43C11124|hunt ~ hoofed animals
#43C111241|stag-hunting
#43C111242|roe-hunting
#43C111243|boar-hunting
#43C11125|hunt ~ trunked animals
#43C11126|hunt ~ rodents
#43C111261|hare-hunting, rabbit-hunting
#43C11127|hunt ~ marine mammals
#43C11128|hunt ~ other mammals
#43C1113|bird hunting
#43C1114|hunt ~ other animals
#43C112|hunting accidents
#43C1121|hunted animal attacking man
#43C113|spoils of the hunt, game, venison
#43C1131|the kill (~ hunting)
#43C11311|hunting trophies
#43C1132|hunter displaying or presenting the spoils of the hunt
43C114|metsästäjä
#43C1141|assembling, 'départ pour la chasse'
#43C1142|hunters hunting
#43C11421|hunters resting during the hunt
#43C1143|beaters (~ hunt)
#43C1144|blowing the hunting horn
#43C1145|'halali' (~ hunt)
#43C1146|group-portrait of hunters
#43C1147|hunting dogs
#43C11471|hunting dogs beside the spoils
#43C1148|hunting accoutrement
#43C11481|game bag
#43C11482|hunting horn
#43C1149|return from the hunt
#43C11491|hunting-seat, hunting lodge, 'rendez-vous de chasse', 'Jagdschloss'
#43C115|searching for game
#43C1151|catching animals
#43C1152|observing animals ~ hunting
#43C11521|photographing, filming animals
#43C116|hunting-ground
#43C1161|boundary-post of hunting-ground
43C1162|metsästyssuoja, piilokoju, potero; usein naamioitu; tarkoitettu piilotarkkailuun ja ampumiseen
#43C11621|'high seat', hunting stand on elevated platform
#43C116211|tree stand, hunting stand in a tree
#43C11622|hunting stand at ground level, ground blind
#43C117|gamekeeper
43C118|salametsästäjä
43C12|kalastus (urheilu)
43C121|onkiminen, onginta (virvelöinti jne.)
43C128|(urheilu-, huvi-) kalastaja
43C1281|kalansaaliin näyttäminen
#43C13|fowling, fowler
#43C131|finch trap, finchery
#43C132|duck decoy
#43C14|tormenting animals ~ sport and recreation
#43C141|group of various animals tormented
#43C142|tormenting mammals ~ sport and recreation
#43C1421|cudgelling the cat, 'cat-in-a-barrel'
43C1422|härkätaistelu
43C14221|härkätaistelija, toreadori
#43C1423|bear-baiting
#43C143|tormenting birds ~ sport and recreation (cock, goose)
#43C1431|cock-fighting
#43C1432|'pull-the-goose'
#43C144|tormenting reptiles
#43C145|tormenting amphibians
#43C146|tormenting fish
#43C1461|'pull-the-eel'
#43C2|sports, games and physical performances ~ speed
#43C21|sports, etc. on land
43C211|juoksukilpailu
#43C2111|(running, race) over course with obstacles, hurdle race
#43C2112|cross-country race
#43C2113|walking race
#43C212|racing on animal mount
43C2121|kilparatsastus
#43C21211|jockey
#43C21212|racing stable
#43C21213|race-track
#43C2122|steeple chase, speed jumping
#43C213|racing on a vehicle
#43C2131|wagon racing (with horses)
#43C21311|charioteer, 'auriga'
#43C21312|wagon racing with two-wheeled vehicle, e.g.: chariot, sulky
#43C21313|wagon racing with four-wheeled vehicle
43C2132|polkupyöräkilpailu
#43C21321|bicycle tour, e.g.: 'Tour de France', 'Giro d'Italia'
#43C2133|motorcycle racing
#43C2134|motorcar racing
#43C214|walking (as sport)
#43C218|animal racing
#43C2181|dogs (racing)
#43C2182|pigeons (racing)
#43C22|sports, etc. in and on the water
43C221|uiminen (urheilu)
#43C2211|diving (sport)
#43C22111|deep-sea diving
#43C222|waterskiing, surf-riding
43C223|soutaminen, melominen, jne. (urheilu)
43C224|purjehtiminen (urheilu)
#43C225|motorboat racing
#43C23|sports, etc. in the air
#43C231|flying races
#43C232|gliding (sports in the air)
#43C233|balloon flight (sport)
#43C234|sky diving, parachuting as a sport
43C24|talviurheilu
#43C241|sledge, sleigh (winter sports)
#43C242|bob-sled
#43C243|small sleigh (winter sports)
43C244|luistelu (talviurheilu)
43C245|hiihtäminen (talviurheilu)
#43C2451|slalom (winter sports)
#43C2452|ski-jumping
#43C2453|ski-lift
#43C246|ice-sailing (winter sports)
43C3|yleisurheilu, voimistelu
#43C31|high-jumping (athletics, gymnastics)
#43C311|pole-vaulting
#43C312|jumping on trampoline
#43C32|long-jumping, broad-jumping
#43C321|hop-skip-jump
#43C33|javelin-throwing
#43C34|shot-putting
#43C35|discus-throwing
#43C36|other athletic sport
#43C361|weight lifting
#43C37|gymnastic exercises on the ground
#43C371|gymnastic exercises with sticks, dumb-bells, etc.
#43C38|gymnastic exercises with apparatuses
#43C381|rings (gymnastics)
#43C382|horizontal bar (gymnastics)
#43C383|vaulting horse (gymnastics)
#43C384|parallel bars (gymnastics)
#43C39|fighting contest (sport)
#43C391|boxing (sport)
#43C392|wrestling (sport)
#43C393|jiu-jitsu, judo, etc.
#43C394|fencing (sport)
#43C3941|fencing foil
#43C3942|sabre (~ fencing)
#43C395|tug-of-war
#43C396|(medieval) fighting contest
#43C3961|fight of gladiators
#43C39611|fight between man and animal
#43C39612|fight between animals, e.g. a lion and a bear
#43C3962|'pas d'armes' (contest between two groups for pass or bridge, etc.)
#43C3963|tournament
#43C39631|joust, tilt
#43C396311|joust, tilt, without barrier
#43C396312|joust, tilt, with barrier
#43C3964|other forms of knights' contests
#43C39641|'Buhurt', 'Bouhourt' (medieval contest)
#43C39642|'Quintaine' (medieval contest)
#43C397|sport-tournament
#43C3971|Olympic games in modern times
#43C3972|other athletic contests
#43C4|games of skill
43C41|pallopelit
#43C411|soccer, football (early names: soule, choule, cholle)
#43C4111|rugby, football
#43C4112|American football
#43C412|ball games in which hands are used (team play)
#43C4121|handball
#43C4122|basketball
#43C4123|volley-ball
#43C4124|water polo
#43C413|ball games in which ball is hit with wooden object (team play)
#43C4131|lacrosse
#43C4132|hockey
43C41321|jääkiekko
#43C4133|polo (on horseback)
#43C4134|cricket (ball game)
#43C4135|baseball
#43C4136|stick ball
#43C414|ball games in which ball is hit or knocked with stick (individual play)
#43C4141|'maille' (ball game)
#43C4142|golf
#43C4143|'kolf' (ball game)
#43C41431|'kolf' on the ice
#43C4144|croquet
#43C4145|billiards
#43C415|ball games in which ball is hit with racket (or hand)
43C4151|tennis
#43C4152|table-tennis
#43C4153|'jeu de Paume'
#43C4154|'jeu de volant', badminton
#43C4155|palm-play, game of fives
#43C416|ball games in which ball or bowl is rolled
#43C4161|'jeu de boules'
#43C4162|bowling
#43C4163|throwing ball through ring on the ground
#43C4164|ninepins, skittles
#43C417|ball-throwing
#43C4171|cup-and-ball, bilboquet
#43C418|pinball, pinball machine
#43C42|sharpshooting (~ games of skill)
#43C421|shooting with bow and arrow, archery (~ games of skill)
#43C4211|shooting-the-bird (on a high pole)
#43C4212|champion-shot
#43C422|sharpshooting with revolver or other handgun (~ games of skill)
#43C423|sharpshooting with rifle, shotgun or other long firearms (~ games of skill)
#43C424|target (~ sharpshooting)
#43C43|'jeu de tonneau'
#43C431|throwing disc into hole in barrel
#43C432|hand shovel-board
#43C44|yoyo
#43C441|air top, diabolo, devil-on-two-sticks
#43C45|tilting at the ring (~ games of skill)
#43C5|games of calculation and chance, e.g.: card games, gambling, puzzles, etc.
43C51|korttipelit
#43C511|card-sharp
#43C512|playing-cards
#43C5121|jolly joker
#43C513|patience (card game)
#43C52|board-games
#43C521|chess
#43C5211|chessmen
#43C5212|man and woman playing chess, woman wins
#43C522|backgammon, tric-trac
#43C523|draughts
#43C5231|draughtsmen
#43C53|board-games of chance
#43C531|goose-game
#43C532|monopoly (board-game of chance)
#43C54|dominoes
#43C55|dice-games
#43C551|cheat (~ dice game)
#43C552|dice
#43C56|betting
#43C561|betting on sports
#43C562|roulette
#43C57|tombola
#43C58|raffle, lottery
#43C581|drawing lots ~ betting
#43C582|totalizator, pool
#43C59|puzzle, riddle, conundrum, enigma
#43C591|charade
#43C592|cross-word puzzle
43C593|palapeli, puzzle
#43C6|group games, party games
#43C61|game of forfeits
#43C62|musical chairs
#43C63|party games with erotic implications, e.g.: kissing contest
#43C631|hot cockles, 'haute coquilles', 'la main chaude' (party game)
#43C64|frog in the middle (party game)
#43C68|grown-ups playing children's games
#43C69|rough-and-tumble
43C7|lasten pelit ja leikit
#43C71|games without play material
#43C711|running games (children)
#43C7111|simple running games
#43C71111|running (~ game)
#43C71112|catch (~ running game)
#43C71113|'red rover, red light?' and related games
#43C7112|contest games
#43C71121|to take prisoners ~ children's games
#43C71122|to take possession of ground ~ children's games
#43C71123|to catch, to touch, in groups ~ children's games
#43C7113|running-and-hiding games
#43C71131|hide-and-seek
#43C7114|running games played in a ring
#43C7115|running games with a story element
#43C7116|London Bridge and related arch and bridge games
#43C7117|snake or chain games
#43C71171|train (snake or chain games)
#43C7118|whirling games, pinwheel
#43C712|jumping games
#43C7121|simple jumping games
#43C7122|leap-frog and variants
#43C7123|hey cockalorum and variants
#43C7124|hop-scotch
#43C7125|varia (jumping games)
#43C71251|tumbling, somersaults ~ jumping games
#43C71252|stand on the head ~ jumping games
#43C71253|walking on all fours ~ jumping games
#43C71254|spinning ~ jumping games
#43C7126|ditch-over (jumping game)
#43C71261|ditch-over with jumping pole (jumping game)
#43C713|dancing games (children's games)
#43C7131|simple dances
#43C7132|jumping-rope games
#43C7133|ring and square dancing (children's games)
#43C7134|row dancing (children's games)
#43C714|throwing games
#43C7141|simple throwing games
#43C7142|throwing stones (throwing game)
#43C7143|throwing sticks (throwing game)
#43C7144|throwing coins (throwing game)
#43C7145|throwing fruit (throwing game)
#43C7146|ball games (children's games)
#43C71461|ball games played by one person
#43C71462|ball throwing and catching (children's games)
#43C71463|hitting ball with stick, etc. (children's game)
#43C71464|kicking ball (children's games)
#43C7147|bowling games (children's games)
#43C7148|varia (throwing games)
#43C71481|throwing rings, quoits, etc. (children's games)
#43C715|finger and fist games
#43C7151|simple hand games
#43C71511|shadow pictures (~ hand games)
#43C71512|finger and string games (cat's cradle, etc.)
#43C7152|clap and slap games
#43C71521|piling hands or fists one above the other (children's games)
#43C71522|bursting bags (children's game)
#43C7153|pointing and counting games
#43C7154|finger games
#43C7155|finger-rhymes
#43C716|trade games, imitative games, imitating adults
#43C717|guessing games (children)
#43C7171|simple guessing games
#43C7172|hunting games (hunting for hidden object)
#43C71721|following a trail (~ hunting games)
#43C7173|divination games, fortune-telling games
#43C7174|drawing lots ~ children's games
#43C7175|blindfold games
#43C71751|blind-man's buff
#43C718|swinging games
#43C7181|swinging (children's game)
#43C7182|rocking the cradle (children's game)
#43C7183|knee-riding
#43C7184|carrying games
#43C71841|pick-a-back, piggyback
#43C719|rough-and-tumble; fighting
#43C72|games using special objects (marbles, top, hoop, etc.)
#43C721|(playing at) marbles
#43C7211|(playing at) marbles (with cup-hole)
#43C722|(playing with) top
#43C7221|spinning a top
#43C7222|whipping a top
#43C723|(bowling a) hoop
#43C7231|spinning horizontal hoop
#43C724|(flying a) kite
#43C7241|(flying a) gas balloon
#43C725|(walking on) stilts
#43C726|(playing at) knuckle-bones, 'astragali'
#43C727|roller-skating, roller-skates
#43C73|child and nature (games and plays)
#43C731|child imitating animals
#43C732|child robbing bird's nests
#43C7321|hunting bird's eggs (children)
#43C733|child teasing animals
#43C734|child playing with animals
#43C735|child with plant (games and plays)
#43C736|child ~ natural phenomenon
#43C7361|child and rain
#43C737|playing with snow and ice
#43C7371|sliding (playing with snow and ice)
#43C7372|(making a) snowman
#43C73721|rolling up a snowball
#43C7373|throwing snowballs
#43C7374|with chair on ice
#43C7379|going through the ice ~ playing children
#43C74|child in environment and time
#43C741|calendar-dates ~ children's games and plays
#43C741(...)|calendar-dates ~ children's games and plays (with DATE)
#43C742|child and school (~ games and plays)
#43C7421|school festivity
#43C7422|school outing
#43C7423|games at school
#43C7424|mischievous child (at school)
#43C7425|truancy
#43C743|child and art
#43C7431|'music' of children
#43C74311|pot-and-pan orchestra, rough music
#43C74312|blowing a home-made whistle
#43C74313|bladder with peas ~ children's games
#43C7432|children playing musical instruments
#43C74321|children playing (ancient) musical instruments
#43C74322|(children playing) pleasure-fair instruments
#43C7433|children singing
#43C75|mischief-making play
#43C751|calling names, hooting ~ children's mischief
#43C752|teasing (children's games and plays)
#43C7521|taking things away from small children
#43C753|ringing doorbells (mischief-making)
#43C754|'Teddy-boy' goings-on
#43C755|vandalism (mischief-making play)
#43C76|before and after playing
#43C761|counting out (before playing)
#43C762|other ways of deciding who is to be 'it'
#43C767|going home after playing
#43C768|chasing up ~ playing
#43C769|chased off during game, play broken up
#43C77|other children's games
#43C771|reading a picture book
#43C772|children's books
#43C7721|children's images
43C78|lapsi ja leikkikalut
#43C781|(playing with) building play-material
#43C7811|(playing with) things to stack
#43C7812|(playing with) blocks
#43C7813|(playing with) meccano
#43C7814|(playing with) cut-out constructions
#43C7815|building model houses
#43C7816|model building (of machines or vehicles)
#43C782|(playing with) movable toys
#43C7821|(playing with) dancing dolls
#43C7822|(playing with) revolving toys
#43C7823|(playing with) toy mills
#43C7824|other movable toys
#43C783|(playing with) mechanical toys
#43C7831|(playing with) steam engine
#43C7832|(playing with) motor
#43C7833|toys powered by motor or steam engine (not vehicles)
#43C784|(playing with) toys ~ transport
#43C7841|(playing with) wheeled vehicles
#43C78411|(playing with) barrow, wagon
#43C78412|(playing with) automobile ~ toys
#43C78413|(playing with) cars on rails (roller-coaster) ~ toys
#43C78414|(playing with) train
#43C7842|(playing with) toys ~ water
#43C78421|(playing with) boats
#43C78422|(playing with) yacht
#43C78423|(playing with) motorboat
#43C7843|(playing with) toys ~ air
#43C78431|(playing with) aeroplanes
#43C78432|(playing with) aeroplanes with motor
#43C78433|(playing with) rockets
#43C785|(playing with) toys ~ blowing
#43C7851|bubble-blowing (children's games and plays)
#43C7852|toys activated by blowing
#43C786|(playing with) toys for housekeeping
#43C7861|toy dishes
#43C78611|toy tea-set
#43C7862|toy kitchen
#43C78621|toy oven or stove
#43C7863|toy house, doll's house
#43C787|(playing with) dolls, toy animals
#43C7871|(playing with) dolls
#43C78711|doll's clothes
#43C78719|dolls for adults
#43C7872|(playing with) toy animals
#43C78721|hobby-horse
#43C78722|rocking-horse
#43C78729|toy animals for adults; mascottes, etc.
#43C788|pasting, weaving, etc. (children's games and plays)
#43C7881|pasting books (children's games and plays)
#43C7882|weaving (children's games and plays)
#43C7883|needle work (children's games and plays)
#43C789|varia (playing with toys)
#43C7891|miniature imitations (children's games and plays)
#43C8|grounds, fields and accomodations for sports, games and physical performances
#43C81|changing room, locker room ~ sports
43C9|tanssi
#43C91|one person dancing alone
43C911|tanssiva mies yksin
43C912|tanssiva nainen yksin
43C92|tanssiva pari
#43C921|two women dancing as a couple
#43C922|two men dancing as a couple
#43C923|invitation to the dance
43C93|useampi tanssiva pari
#43C93(...)|more than one couple dancing (with NUMBER of couples)
43C94|ryhmätanssi
#43C941|group dancing among upper classes
#43C942|folk dancing (men and women together)
#43C9421|group of men (folk dancing)
#43C9422|group of women (folk dancing)
#43C943|group dancing around someone or something (folk dancing)
#43C95|jigging and jogging, chain dancing in the street
43CC114|metsästäjä - CC - naispuolinen metsästäjä
43CC1141|assembling, 'départ pour la chasse' - CC - naispuolinen metsästäjä
43CC1142|hunters hunting (N.B.: In 1988-1990 this notation denoted the concept of 43C11421 'hunters resting during the hunt') - CC - naispuolinen metsästäjä
43CC11421|hunters resting during the hunt - CC - naispuolinen metsästäjä
43CC1143|beaters (~ hunt) - CC - naispuolinen metsästäjä
43CC1144|blowing the hunting horn - CC - naispuolinen metsästäjä
43CC1145|'halali' (~ hunt) - CC - naispuolinen metsästäjä
43CC1146|group-portrait of hunters - CC - naispuolinen metsästäjä
43CC1149|return from the hunt - CC - naispuolinen metsästäjä
43CC11491|hunting-seat, hunting lodge, 'rendez-vous de chasse', 'Jagdschloss' - CC - naispuolinen metsästäjä
#43CC737|playing with snow and ice - CC - adult(s) ~ snow and ice
#43CC7371|sliding (playing with snow and ice) - CC - adult(s) ~ snow and ice
#43CC7372|(making a) snowman - CC - adult(s) ~ snow and ice
