0|Abstract, Non-representational Art
11H(BLAISE)68|St. Blaise is beheaded
11H(BLAISE)69|martyrdom, suffering, misfortune, death of St. Blaise - maltreatment of corpse of male saint
11H(BLAISE)7|the martyr Blaise (Blasius), bishop of Sebaste; possible attributes: crossed candles, little boy, pig's head, wool-comb - apotheosis, glory, triumph of male saint
11H(BLAISE)8|the martyr Blaise (Blasius), bishop of Sebaste; possible attributes: crossed candles, little boy, pig's head, wool-comb - post-mortem occurrences ~ male saint
11H(BLAISE)81|the martyr Blaise (Blasius), bishop of Sebaste; possible attributes: crossed candles, little boy, pig's head, wool-comb - finding, transportation of relics of male saint
11H(BLAISE)82|the martyr Blaise (Blasius), bishop of Sebaste; possible attributes: crossed candles, little boy, pig's head, wool-comb - miracles occurring during handling of relics of male saint
11H(BLAISE)83|the martyr Blaise (Blasius), bishop of Sebaste; possible attributes: crossed candles, little boy, pig's head, wool-comb - posthumous deeds, appearances of male saints
11H(BLAISE)84|the martyr Blaise (Blasius), bishop of Sebaste; possible attributes: crossed candles, little boy, pig's head, wool-comb - beatification, canonization of male saint
11H(BLAISE)9|the martyr Blaise (Blasius), bishop of Sebaste; possible attributes: crossed candles, little boy, pig's head, wool-comb - portrait of male saint
11H(BONAVENTURA)|Bonaventura, cardinal bishop of Albano and Minister General of the Franciscan Order; possible attributes: book, cardinal's hat (sometimes hanging from a tree), crucifix (sometimes flowering)
11H(BONAVENTURA)0|Bonaventura, cardinal bishop of Albano and Minister General of the Franciscan Order; possible attributes: book, cardinal's hat (sometimes hanging from a tree), crucifix (sometimes flowering) - male saint represented in a group
11H(BONAVENTURA)1|specific aspects ~ St. Bonaventura
11H(BONAVENTURA)11|specific aspects ~ St. Bonaventura - male saint as patron, protector, intercessor
11H(BONAVENTURA)119|specific aspects ~ St. Bonaventura - male saint protecting devotees with cloak, 'Schutzmantel'
11H(BONAVENTURA)12|St. Bonaventura writing, teaching or reading
11H(BONAVENTURA)13|specific aspects ~ St. Bonaventura - male saint as founder of Order
11H(BONAVENTURA)131|specific aspects ~ St. Bonaventura - male saint ~ confirmation of Order, approval of Rule(s)
11H(BONAVENTURA)2|early life of St. Bonaventura
11H(BONAVENTURA)21|St. Francis of Assisi heals the child St. Bonaventura
11H(BONAVENTURA)3|personal devotion of St. Bonaventura
11H(BONAVENTURA)31|personal devotion of St. Bonaventura - vocation, conversion of male saint
11H(BONAVENTURA)32|St. Bonaventura is received in the Franciscan Order
11H(BONAVENTURA)33|personal devotion of St. Bonaventura - renouncing worldly goods, ascetic life of male saint
11H(BONAVENTURA)34|an angel appears to St. Bonaventura and points out the new pope to him
11H(BONAVENTURA)35|personal devotion of St. Bonaventura - temptation of male saint
11H(BONAVENTURA)36|personal devotion of St. Bonaventura - penitence of male saint
11H(BONAVENTURA)37|personal devotion of St. Bonaventura - male saint meditating, in ecstasy
11H(BONAVENTURA)4|non-miraculous activities and events ~ St. Bonaventura
11H(BONAVENTURA)41|St. Bonaventura points at a crucifix in his library, when asked by St. Thomas Aquinas for the source of his writings
11H(BONAVENTURA)42|St. Bonaventura receives the ambassador of the Byzantine emperor at the Council of Lyon
11H(BONAVENTURA)5|miraculous activities and events ~ St. Bonaventura
11H(BONAVENTURA)51|St. Bonaventura raises a still-born child
11H(BONAVENTURA)52|an angel gives St. Bonaventura the sacrament ('angel Communion')
11H(BONAVENTURA)59|miraculous activities and events ~ St. Bonaventura - stigmatization of male saint
11H(BONAVENTURA)6|martyrdom, suffering, misfortune, death of St. Bonaventura
11H(BONAVENTURA)68|death of St. Bonaventura: the pope and the king of Aragon are present
11H(BONAVENTURA)681|Last Communion of Bonaventura: the wafer (host) enters his breast instead of his mouth
11H(BONAVENTURA)69|martyrdom, suffering, misfortune, death of St. Bonaventura - maltreatment of corpse of male saint
11H(BONAVENTURA)7|Bonaventura, cardinal bishop of Albano and Minister General of the Franciscan Order; possible attributes: book, cardinal's hat (sometimes hanging from a tree), crucifix (sometimes flowering) - apotheosis, glory, triumph of male saint
11H(BONAVENTURA)8|post-mortem occurrences ~ St. Bonaventura
11H(BONAVENTURA)81|post-mortem occurrences ~ St. Bonaventura - finding, transportation of relics of male saint
11H(BONAVENTURA)82|post-mortem occurrences ~ St. Bonaventura - miracles occurring during handling of relics of male saint
11H(BONAVENTURA)83|St. Bonaventura resurrects for three days to finish his publication of the Memoirs of St. Francis of Assisi
11H(BONAVENTURA)84|post-mortem occurrences ~ St. Bonaventura - beatification, canonization of male saint
11H(BONAVENTURA)9|Bonaventura, cardinal bishop of Albano and Minister General of the Franciscan Order; possible attributes: book, cardinal's hat (sometimes hanging from a tree), crucifix (sometimes flowering) - portrait of male saint
11H(BONIFACE)|the martyr Boniface, 'apostle of Germany', and archbishop of Mainz; possible attributes: axe in root of tree, book pierced by a sword, fountain (springing up from under his staff), whip
11H(BONIFACE)0|the martyr Boniface, 'apostle of Germany', and archbishop of Mainz; possible attributes: axe in root of tree, book pierced by a sword, fountain (springing up from under his staff), whip - male saint represented in a group
11H(BONIFACE)1|the martyr Boniface, 'apostle of Germany', and archbishop of Mainz; possible attributes: axe in root of tree, book pierced by a sword, fountain (springing up from under his staff), whip - specific aspects ~ male saint
11H(BONIFACE)11|the martyr Boniface, 'apostle of Germany', and archbishop of Mainz; possible attributes: axe in root of tree, book pierced by a sword, fountain (springing up from under his staff), whip - male saint as patron, protector, intercessor
11H(BONIFACE)119|the martyr Boniface, 'apostle of Germany', and archbishop of Mainz; possible attributes: axe in root of tree, book pierced by a sword, fountain (springing up from under his staff), whip - male saint protecting devotees with cloak, 'Schutzmantel'
11H(BONIFACE)12|the martyr Boniface, 'apostle of Germany', and archbishop of Mainz; possible attributes: axe in root of tree, book pierced by a sword, fountain (springing up from under his staff), whip - male saint writing, studying, teaching, dictating (e.g. as Doctor of the Church)
11H(BONIFACE)13|the martyr Boniface, 'apostle of Germany', and archbishop of Mainz; possible attributes: axe in root of tree, book pierced by a sword, fountain (springing up from under his staff), whip - male saint as founder of Order
11H(BONIFACE)131|the martyr Boniface, 'apostle of Germany', and archbishop of Mainz; possible attributes: axe in root of tree, book pierced by a sword, fountain (springing up from under his staff), whip - male saint ~ confirmation of Order, approval of Rule(s)
11H(BONIFACE)2|the martyr Boniface, 'apostle of Germany', and archbishop of Mainz; possible attributes: axe in root of tree, book pierced by a sword, fountain (springing up from under his staff), whip - early life of male saint
11H(BONIFACE)3|the martyr Boniface, 'apostle of Germany', and archbishop of Mainz; possible attributes: axe in root of tree, book pierced by a sword, fountain (springing up from under his staff), whip - personal devotion of male saint
11H(BONIFACE)31|the martyr Boniface, 'apostle of Germany', and archbishop of Mainz; possible attributes: axe in root of tree, book pierced by a sword, fountain (springing up from under his staff), whip - vocation, conversion of male saint
11H(BONIFACE)32|the martyr Boniface, 'apostle of Germany', and archbishop of Mainz; possible attributes: axe in root of tree, book pierced by a sword, fountain (springing up from under his staff), whip - baptism, consecration, taking vows of male saint
11H(BONIFACE)33|the martyr Boniface, 'apostle of Germany', and archbishop of Mainz; possible attributes: axe in root of tree, book pierced by a sword, fountain (springing up from under his staff), whip - renouncing worldly goods, ascetic life of male saint
11H(BONIFACE)34|the martyr Boniface, 'apostle of Germany', and archbishop of Mainz; possible attributes: axe in root of tree, book pierced by a sword, fountain (springing up from under his staff), whip - vision(s), mystic marriage of male saint
11H(BONIFACE)35|the martyr Boniface, 'apostle of Germany', and archbishop of Mainz; possible attributes: axe in root of tree, book pierced by a sword, fountain (springing up from under his staff), whip - temptation of male saint
11H(BONIFACE)36|the martyr Boniface, 'apostle of Germany', and archbishop of Mainz; possible attributes: axe in root of tree, book pierced by a sword, fountain (springing up from under his staff), whip - penitence of male saint
11H(BONIFACE)37|the martyr Boniface, 'apostle of Germany', and archbishop of Mainz; possible attributes: axe in root of tree, book pierced by a sword, fountain (springing up from under his staff), whip - male saint meditating, in ecstasy
11H(BONIFACE)4|non-miraculous activities and events ~ St. Boniface
11H(BONIFACE)41|St. Boniface baptizing converted heathen
11H(BONIFACE)42|St. Boniface preaching to heathen
11H(BONIFACE)43|St. Boniface cutting down an oak-tree
11H(BONIFACE)5|the martyr Boniface, 'apostle of Germany', and archbishop of Mainz; possible attributes: axe in root of tree, book pierced by a sword, fountain (springing up from under his staff), whip - miraculous activities and events ~ male saint
11H(BONIFACE)51|St. Boniface makes a fountain spring up
11H(BONIFACE)59|the martyr Boniface, 'apostle of Germany', and archbishop of Mainz; possible attributes: axe in root of tree, book pierced by a sword, fountain (springing up from under his staff), whip - stigmatization of male saint
11H(BONIFACE)6|martyrdom, suffering, misfortune, death of St. Boniface
11H(BONIFACE)68|St. Boniface is killed by the sword near Dokkum in Frisia; he tries in vain to protect himself with a bible
11H(BONIFACE)69|martyrdom, suffering, misfortune, death of St. Boniface - maltreatment of corpse of male saint
11H(BONIFACE)7|the martyr Boniface, 'apostle of Germany', and archbishop of Mainz; possible attributes: axe in root of tree, book pierced by a sword, fountain (springing up from under his staff), whip - apotheosis, glory, triumph of male saint
11H(BONIFACE)8|the martyr Boniface, 'apostle of Germany', and archbishop of Mainz; possible attributes: axe in root of tree, book pierced by a sword, fountain (springing up from under his staff), whip - post-mortem occurrences ~ male saint
11H(BONIFACE)81|the martyr Boniface, 'apostle of Germany', and archbishop of Mainz; possible attributes: axe in root of tree, book pierced by a sword, fountain (springing up from under his staff), whip - finding, transportation of relics of male saint
11H(BONIFACE)82|the martyr Boniface, 'apostle of Germany', and archbishop of Mainz; possible attributes: axe in root of tree, book pierced by a sword, fountain (springing up from under his staff), whip - miracles occurring during handling of relics of male saint
11H(BONIFACE)83|the martyr Boniface, 'apostle of Germany', and archbishop of Mainz; possible attributes: axe in root of tree, book pierced by a sword, fountain (springing up from under his staff), whip - posthumous deeds, appearances of male saints
11H(BONIFACE)84|the martyr Boniface, 'apostle of Germany', and archbishop of Mainz; possible attributes: axe in root of tree, book pierced by a sword, fountain (springing up from under his staff), whip - beatification, canonization of male saint
11H(BONIFACE)9|the martyr Boniface, 'apostle of Germany', and archbishop of Mainz; possible attributes: axe in root of tree, book pierced by a sword, fountain (springing up from under his staff), whip - portrait of male saint
11H(BRUNO)|the founder of the Order of the Carthusians, Bruno; possible attributes: cross, finger at lips, lily, mitre at his feet, olive-branch, ray of light, skull, (seven) star(s)
11H(BRUNO)0|the founder of the Order of the Carthusians, Bruno; possible attributes: cross, finger at lips, lily, mitre at his feet, olive-branch, ray of light, skull, (seven) star(s) - male saint represented in a group
11H(BRUNO)1|the founder of the Order of the Carthusians, Bruno; possible attributes: cross, finger at lips, lily, mitre at his feet, olive-branch, ray of light, skull, (seven) star(s) - specific aspects ~ male saint
11H(BRUNO)11|the founder of the Order of the Carthusians, Bruno; possible attributes: cross, finger at lips, lily, mitre at his feet, olive-branch, ray of light, skull, (seven) star(s) - male saint as patron, protector, intercessor
11H(BRUNO)119|the founder of the Order of the Carthusians, Bruno; possible attributes: cross, finger at lips, lily, mitre at his feet, olive-branch, ray of light, skull, (seven) star(s) - male saint protecting devotees with cloak, 'Schutzmantel'
11H(BRUNO)12|the founder of the Order of the Carthusians, Bruno; possible attributes: cross, finger at lips, lily, mitre at his feet, olive-branch, ray of light, skull, (seven) star(s) - male saint writing, studying, teaching, dictating (e.g. as Doctor of the Church)
11H(BRUNO)13|the founder of the Order of the Carthusians, Bruno; possible attributes: cross, finger at lips, lily, mitre at his feet, olive-branch, ray of light, skull, (seven) star(s) - male saint as founder of Order
11H(BRUNO)131|the founder of the Order of the Carthusians, Bruno; possible attributes: cross, finger at lips, lily, mitre at his feet, olive-branch, ray of light, skull, (seven) star(s) - male saint ~ confirmation of Order, approval of Rule(s)
11H(BRUNO)2|the founder of the Order of the Carthusians, Bruno; possible attributes: cross, finger at lips, lily, mitre at his feet, olive-branch, ray of light, skull, (seven) star(s) - early life of male saint
11H(BRUNO)3|personal devotion of St. Bruno
11H(BRUNO)31|the death of Raymond Diocrès: on his deathbed the tutor of St. Bruno sees his own condemnation; young Bruno is converted
11H(BRUNO)32|St. Bruno, kneeling before the pope and his cardinals, refuses the mitre
11H(BRUNO)33|St. Bruno praying in the desert of the Grande Chartreuse, a barren, rocky place in the mountains
11H(BRUNO)34|the Virgin Mary appears to St. Bruno
11H(BRUNO)35|personal devotion of St. Bruno - temptation of male saint
11H(BRUNO)36|personal devotion of St. Bruno - penitence of male saint
11H(BRUNO)37|personal devotion of St. Bruno - male saint meditating, in ecstasy
11H(BRUNO)4|the founder of the Order of the Carthusians, Bruno; possible attributes: cross, finger at lips, lily, mitre at his feet, olive-branch, ray of light, skull, (seven) star(s) - non-miraculous activities and events ~ male saint
11H(BRUNO)5|the founder of the Order of the Carthusians, Bruno; possible attributes: cross, finger at lips, lily, mitre at his feet, olive-branch, ray of light, skull, (seven) star(s) - miraculous activities and events ~ male saint
11H(BRUNO)59|the founder of the Order of the Carthusians, Bruno; possible attributes: cross, finger at lips, lily, mitre at his feet, olive-branch, ray of light, skull, (seven) star(s) - stigmatization of male saint
11H(BRUNO)6|martyrdom, suffering, misfortune, death of St. Bruno
11H(BRUNO)68|deathbed of St. Bruno: he is surrounded by monks
11H(BRUNO)69|martyrdom, suffering, misfortune, death of St. Bruno - maltreatment of corpse of male saint
11H(BRUNO)7|the founder of the Order of the Carthusians, Bruno; possible attributes: cross, finger at lips, lily, mitre at his feet, olive-branch, ray of light, skull, (seven) star(s) - apotheosis, glory, triumph of male saint
11H(BRUNO)8|the founder of the Order of the Carthusians, Bruno; possible attributes: cross, finger at lips, lily, mitre at his feet, olive-branch, ray of light, skull, (seven) star(s) - post-mortem occurrences ~ male saint
11H(BRUNO)81|the founder of the Order of the Carthusians, Bruno; possible attributes: cross, finger at lips, lily, mitre at his feet, olive-branch, ray of light, skull, (seven) star(s) - finding, transportation of relics of male saint
11H(BRUNO)82|the founder of the Order of the Carthusians, Bruno; possible attributes: cross, finger at lips, lily, mitre at his feet, olive-branch, ray of light, skull, (seven) star(s) - miracles occurring during handling of relics of male saint
11H(BRUNO)83|the founder of the Order of the Carthusians, Bruno; possible attributes: cross, finger at lips, lily, mitre at his feet, olive-branch, ray of light, skull, (seven) star(s) - posthumous deeds, appearances of male saints
11H(BRUNO)84|the founder of the Order of the Carthusians, Bruno; possible attributes: cross, finger at lips, lily, mitre at his feet, olive-branch, ray of light, skull, (seven) star(s) - beatification, canonization of male saint
11H(BRUNO)9|the founder of the Order of the Carthusians, Bruno; possible attributes: cross, finger at lips, lily, mitre at his feet, olive-branch, ray of light, skull, (seven) star(s) - portrait of male saint
11H(CALLISTUS)|pope and martyr Callistus (Callixtus) I; possible attributes: book, millstone
11H(CALLISTUS)0|pope and martyr Callistus (Callixtus) I; possible attributes: book, millstone - male saint represented in a group
11H(CALLISTUS)1|pope and martyr Callistus (Callixtus) I; possible attributes: book, millstone - specific aspects ~ male saint
11H(CALLISTUS)11|pope and martyr Callistus (Callixtus) I; possible attributes: book, millstone - male saint as patron, protector, intercessor
11H(CALLISTUS)119|pope and martyr Callistus (Callixtus) I; possible attributes: book, millstone - male saint protecting devotees with cloak, 'Schutzmantel'
11H(CALLISTUS)12|pope and martyr Callistus (Callixtus) I; possible attributes: book, millstone - male saint writing, studying, teaching, dictating (e.g. as Doctor of the Church)
11H(CALLISTUS)13|pope and martyr Callistus (Callixtus) I; possible attributes: book, millstone - male saint as founder of Order
11H(CALLISTUS)131|pope and martyr Callistus (Callixtus) I; possible attributes: book, millstone - male saint ~ confirmation of Order, approval of Rule(s)
11H(CALLISTUS)2|pope and martyr Callistus (Callixtus) I; possible attributes: book, millstone - early life of male saint
11H(CALLISTUS)3|pope and martyr Callistus (Callixtus) I; possible attributes: book, millstone - personal devotion of male saint
11H(CALLISTUS)31|pope and martyr Callistus (Callixtus) I; possible attributes: book, millstone - vocation, conversion of male saint
11H(CALLISTUS)32|pope and martyr Callistus (Callixtus) I; possible attributes: book, millstone - baptism, consecration, taking vows of male saint
11H(CALLISTUS)33|pope and martyr Callistus (Callixtus) I; possible attributes: book, millstone - renouncing worldly goods, ascetic life of male saint
11H(CALLISTUS)34|pope and martyr Callistus (Callixtus) I; possible attributes: book, millstone - vision(s), mystic marriage of male saint
11H(CALLISTUS)35|pope and martyr Callistus (Callixtus) I; possible attributes: book, millstone - temptation of male saint
11H(CALLISTUS)36|pope and martyr Callistus (Callixtus) I; possible attributes: book, millstone - penitence of male saint
11H(CALLISTUS)37|pope and martyr Callistus (Callixtus) I; possible attributes: book, millstone - male saint meditating, in ecstasy
11H(CALLISTUS)4|pope and martyr Callistus (Callixtus) I; possible attributes: book, millstone - non-miraculous activities and events ~ male saint
11H(CALLISTUS)5|pope and martyr Callistus (Callixtus) I; possible attributes: book, millstone - miraculous activities and events ~ male saint
11H(CALLISTUS)59|pope and martyr Callistus (Callixtus) I; possible attributes: book, millstone - stigmatization of male saint
11H(CALLISTUS)6|martyrdom, suffering, misfortune, death of St. Callistus
11H(CALLISTUS)61|St. Callistus is thrown out of the window
11H(CALLISTUS)68|death of St. Callistus: he is drowned in a well with a millstone round his neck
11H(CALLISTUS)69|martyrdom, suffering, misfortune, death of St. Callistus - maltreatment of corpse of male saint
11H(CALLISTUS)7|pope and martyr Callistus (Callixtus) I; possible attributes: book, millstone - apotheosis, glory, triumph of male saint
11H(CALLISTUS)8|pope and martyr Callistus (Callixtus) I; possible attributes: book, millstone - post-mortem occurrences ~ male saint
11H(CALLISTUS)81|pope and martyr Callistus (Callixtus) I; possible attributes: book, millstone - finding, transportation of relics of male saint
11H(CALLISTUS)82|pope and martyr Callistus (Callixtus) I; possible attributes: book, millstone - miracles occurring during handling of relics of male saint
11H(CALLISTUS)83|pope and martyr Callistus (Callixtus) I; possible attributes: book, millstone - posthumous deeds, appearances of male saints
11H(CALLISTUS)84|pope and martyr Callistus (Callixtus) I; possible attributes: book, millstone - beatification, canonization of male saint
11H(CALLISTUS)9|pope and martyr Callistus (Callixtus) I; possible attributes: book, millstone - portrait of male saint
11H(CASSIAN)|the schoolmaster, martyr and bishop, Cassian(us) of Imola; possible attributes: style
11H(CASSIAN)0|the schoolmaster, martyr and bishop, Cassian(us) of Imola; possible attributes: style - male saint represented in a group
11H(CASSIAN)1|the schoolmaster, martyr and bishop, Cassian(us) of Imola; possible attributes: style - specific aspects ~ male saint
11H(CASSIAN)11|the schoolmaster, martyr and bishop, Cassian(us) of Imola; possible attributes: style - male saint as patron, protector, intercessor
11H(CASSIAN)119|the schoolmaster, martyr and bishop, Cassian(us) of Imola; possible attributes: style - male saint protecting devotees with cloak, 'Schutzmantel'
11H(CASSIAN)12|the schoolmaster, martyr and bishop, Cassian(us) of Imola; possible attributes: style - male saint writing, studying, teaching, dictating (e.g. as Doctor of the Church)
11H(CASSIAN)13|the schoolmaster, martyr and bishop, Cassian(us) of Imola; possible attributes: style - male saint as founder of Order
11H(CASSIAN)131|the schoolmaster, martyr and bishop, Cassian(us) of Imola; possible attributes: style - male saint ~ confirmation of Order, approval of Rule(s)
11H(CASSIAN)2|the schoolmaster, martyr and bishop, Cassian(us) of Imola; possible attributes: style - early life of male saint
11H(CASSIAN)3|the schoolmaster, martyr and bishop, Cassian(us) of Imola; possible attributes: style - personal devotion of male saint
11H(CASSIAN)31|the schoolmaster, martyr and bishop, Cassian(us) of Imola; possible attributes: style - vocation, conversion of male saint
11H(CASSIAN)32|the schoolmaster, martyr and bishop, Cassian(us) of Imola; possible attributes: style - baptism, consecration, taking vows of male saint
11H(CASSIAN)33|the schoolmaster, martyr and bishop, Cassian(us) of Imola; possible attributes: style - renouncing worldly goods, ascetic life of male saint
11H(CASSIAN)34|the schoolmaster, martyr and bishop, Cassian(us) of Imola; possible attributes: style - vision(s), mystic marriage of male saint
11H(CASSIAN)35|the schoolmaster, martyr and bishop, Cassian(us) of Imola; possible attributes: style - temptation of male saint
11H(CASSIAN)36|the schoolmaster, martyr and bishop, Cassian(us) of Imola; possible attributes: style - penitence of male saint
11H(CASSIAN)37|the schoolmaster, martyr and bishop, Cassian(us) of Imola; possible attributes: style - male saint meditating, in ecstasy
11H(CASSIAN)4|non-miraculous activities and events ~ St. Cassian
11H(CASSIAN)41|St. Cassian teaching, seated amidst schoolboys
11H(CASSIAN)5|the schoolmaster, martyr and bishop, Cassian(us) of Imola; possible attributes: style - miraculous activities and events ~ male saint
11H(CASSIAN)59|the schoolmaster, martyr and bishop, Cassian(us) of Imola; possible attributes: style - stigmatization of male saint
11H(CASSIAN)6|martyrdom, suffering, misfortune, death of St. Cassian
11H(CASSIAN)68|St. Cassian's pupils kill him with their iron styles
11H(CASSIAN)69|martyrdom, suffering, misfortune, death of St. Cassian - maltreatment of corpse of male saint
11H(CASSIAN)7|the schoolmaster, martyr and bishop, Cassian(us) of Imola; possible attributes: style - apotheosis, glory, triumph of male saint
11H(CASSIAN)8|the schoolmaster, martyr and bishop, Cassian(us) of Imola; possible attributes: style - post-mortem occurrences ~ male saint
11H(CASSIAN)81|the schoolmaster, martyr and bishop, Cassian(us) of Imola; possible attributes: style - finding, transportation of relics of male saint
11H(CASSIAN)82|the schoolmaster, martyr and bishop, Cassian(us) of Imola; possible attributes: style - miracles occurring during handling of relics of male saint
11H(CASSIAN)83|the schoolmaster, martyr and bishop, Cassian(us) of Imola; possible attributes: style - posthumous deeds, appearances of male saints
11H(CASSIAN)84|the schoolmaster, martyr and bishop, Cassian(us) of Imola; possible attributes: style - beatification, canonization of male saint
11H(CASSIAN)9|the schoolmaster, martyr and bishop, Cassian(us) of Imola; possible attributes: style - portrait of male saint
11H(CHARLEMAGNE)|the Holy Roman emperor Charlemagne; possible attributes: crown, model of church, orb, sceptre, sword
11H(CHARLEMAGNE)0|the Holy Roman emperor Charlemagne; possible attributes: crown, model of church, orb, sceptre, sword - male saint represented in a group
11H(CHARLEMAGNE)1|specific aspects ~ St. Charlemagne
11H(CHARLEMAGNE)11|specific aspects ~ St. Charlemagne - male saint as patron, protector, intercessor
11H(CHARLEMAGNE)119|Charlemagne protecting devotees with his cloak
11H(CHARLEMAGNE)12|specific aspects ~ St. Charlemagne - male saint writing, studying, teaching, dictating (e.g. as Doctor of the Church)
11H(CHARLEMAGNE)13|specific aspects ~ St. Charlemagne - male saint as founder of Order
11H(CHARLEMAGNE)131|specific aspects ~ St. Charlemagne - male saint ~ confirmation of Order, approval of Rule(s)
11H(CHARLEMAGNE)2|the Holy Roman emperor Charlemagne; possible attributes: crown, model of church, orb, sceptre, sword - early life of male saint
11H(CHARLEMAGNE)3|the Holy Roman emperor Charlemagne; possible attributes: crown, model of church, orb, sceptre, sword - personal devotion of male saint
11H(CHARLEMAGNE)31|the Holy Roman emperor Charlemagne; possible attributes: crown, model of church, orb, sceptre, sword - vocation, conversion of male saint
11H(CHARLEMAGNE)32|the Holy Roman emperor Charlemagne; possible attributes: crown, model of church, orb, sceptre, sword - baptism, consecration, taking vows of male saint
11H(CHARLEMAGNE)33|the Holy Roman emperor Charlemagne; possible attributes: crown, model of church, orb, sceptre, sword - renouncing worldly goods, ascetic life of male saint
11H(CHARLEMAGNE)34|the Holy Roman emperor Charlemagne; possible attributes: crown, model of church, orb, sceptre, sword - vision(s), mystic marriage of male saint
11H(CHARLEMAGNE)35|the Holy Roman emperor Charlemagne; possible attributes: crown, model of church, orb, sceptre, sword - temptation of male saint
11H(CHARLEMAGNE)36|the Holy Roman emperor Charlemagne; possible attributes: crown, model of church, orb, sceptre, sword - penitence of male saint
11H(CHARLEMAGNE)37|the Holy Roman emperor Charlemagne; possible attributes: crown, model of church, orb, sceptre, sword - male saint meditating, in ecstasy
11H(CHARLEMAGNE)4|the Holy Roman emperor Charlemagne; possible attributes: crown, model of church, orb, sceptre, sword - non-miraculous activities and events ~ male saint
11H(CHARLEMAGNE)5|the Holy Roman emperor Charlemagne; possible attributes: crown, model of church, orb, sceptre, sword - miraculous activities and events ~ male saint
11H(CHARLEMAGNE)59|the Holy Roman emperor Charlemagne; possible attributes: crown, model of church, orb, sceptre, sword - stigmatization of male saint
11H(CHARLEMAGNE)6|the Holy Roman emperor Charlemagne; possible attributes: crown, model of church, orb, sceptre, sword - martyrdom, suffering, misfortune, death of male saint
11H(CHARLEMAGNE)68|the Holy Roman emperor Charlemagne; possible attributes: crown, model of church, orb, sceptre, sword - death, deathbed of male saint
11H(CHARLEMAGNE)69|the Holy Roman emperor Charlemagne; possible attributes: crown, model of church, orb, sceptre, sword - maltreatment of corpse of male saint
11H(CHARLEMAGNE)7|the Holy Roman emperor Charlemagne; possible attributes: crown, model of church, orb, sceptre, sword - apotheosis, glory, triumph of male saint
11H(CHARLEMAGNE)8|the Holy Roman emperor Charlemagne; possible attributes: crown, model of church, orb, sceptre, sword - post-mortem occurrences ~ male saint
11H(CHARLEMAGNE)81|the Holy Roman emperor Charlemagne; possible attributes: crown, model of church, orb, sceptre, sword - finding, transportation of relics of male saint
11H(CHARLEMAGNE)82|the Holy Roman emperor Charlemagne; possible attributes: crown, model of church, orb, sceptre, sword - miracles occurring during handling of relics of male saint
11H(CHARLEMAGNE)83|the Holy Roman emperor Charlemagne; possible attributes: crown, model of church, orb, sceptre, sword - posthumous deeds, appearances of male saints
11H(CHARLEMAGNE)84|the Holy Roman emperor Charlemagne; possible attributes: crown, model of church, orb, sceptre, sword - beatification, canonization of male saint
11H(CHARLEMAGNE)9|the Holy Roman emperor Charlemagne; possible attributes: crown, model of church, orb, sceptre, sword - portrait of male saint
11H(CHARLES BORROMEO)|Charles Borromeo, cardinal of Milan; possible attributes: cardinal's hat, crucifix, rope round his neck, skull
11H(CHARLES BORROMEO)0|Charles Borromeo, cardinal of Milan; possible attributes: cardinal's hat, crucifix, rope round his neck, skull - male saint represented in a group
11H(CHARLES BORROMEO)1|specific aspects ~ St. Charles Borromeo
11H(CHARLES BORROMEO)11|St. Charles Borromeo as plague patron
11H(CHARLES BORROMEO)119|St. Charles Borromeo as plague patron - male saint protecting devotees with cloak, 'Schutzmantel'
11H(CHARLES BORROMEO)12|specific aspects ~ St. Charles Borromeo - male saint writing, studying, teaching, dictating (e.g. as Doctor of the Church)
11H(CHARLES BORROMEO)13|specific aspects ~ St. Charles Borromeo - male saint as founder of Order
11H(CHARLES BORROMEO)131|specific aspects ~ St. Charles Borromeo - male saint ~ confirmation of Order, approval of Rule(s)
11H(CHARLES BORROMEO)2|Charles Borromeo, cardinal of Milan; possible attributes: cardinal's hat, crucifix, rope round his neck, skull - early life of male saint
11H(CHARLES BORROMEO)3|personal devotion of St. Charles Borromeo
11H(CHARLES BORROMEO)31|personal devotion of St. Charles Borromeo - vocation, conversion of male saint
11H(CHARLES BORROMEO)32|personal devotion of St. Charles Borromeo - baptism, consecration, taking vows of male saint
11H(CHARLES BORROMEO)33|St. Charles Borromeo weeping over his book; his simple meal remains untouched
11H(CHARLES BORROMEO)34|St. Charles Borromeo interceding with the Virgin Mary for the plague-stricken
11H(CHARLES BORROMEO)35|personal devotion of St. Charles Borromeo - temptation of male saint
11H(CHARLES BORROMEO)36|personal devotion of St. Charles Borromeo - penitence of male saint
11H(CHARLES BORROMEO)37|personal devotion of St. Charles Borromeo - male saint meditating, in ecstasy
11H(CHARLES BORROMEO)4|non-miraculous activities and events ~ St. Charles Borromeo
11H(CHARLES BORROMEO)41|St. Charles Borromeo working among the plague-stricken of Milan (sometimes with a child in his arms)
11H(CHARLES BORROMEO)411|St. Charles Borromeo administers the sacrament to the sick during the plague
11H(CHARLES BORROMEO)412|St. Charles Borromeo visits and/or consoles the sick during the plague
11H(CHARLES BORROMEO)413|St. Charles Borromeo in a procession: round his neck the rope of the penitent
11H(CHARLES BORROMEO)5|Charles Borromeo, cardinal of Milan; possible attributes: cardinal's hat, crucifix, rope round his neck, skull - miraculous activities and events ~ male saint
