5|Abstraktní myšlenky a pojmy
71C276|Ezau žádá otcovo požehnání; Izák si uvědomuje, že omylem požehnal Jákobovi místo Ezauovi
71C2761|Jacob threatened by Esau
71C2762|Rebeka radí Jákobovi, aby utekl
71C28|Rebeka, unavená Ezauovými ženami, si stěžuje Izákovi (Genesis 27:46)
71C3|jákobův příběh
71C31|jákobův příběh (část I)
71C311|Jákob odchází z domu, Ezau se znovu žení (Genesis 28:1-10)
71C3111|Izák posílá Jákoba k příbuzným jeho matky, aby si našel ženu, a před odjezdem mu žehná
71C3112|Jacob's farewell
71C3113|Jákobova cesta do Cháranu
71C3114|Ezau si bere Mahalat, dceru Izmaelovu
71C312|Jákob v Bét-elu (Genesis 28,11-22)
71C3121|jákobův sen: Jákob spí na zemi s kamenem jako polštářem a vidí žebřík sahající od země k nebi, po kterém stoupají a klesají andělé; na vrcholu žebříku je obvykle Bůh
71C31211|jákobův sen se schodištěm místo žebříku
71C31212|jákobův sen s paprskem světla místo žebříku
71C31213|Jacob's ladder (alone)
71C3122|Jákob se probudí, pomaže kámen a pojmenuje místo Bethel
71C3123|Jákob slibuje, že bude uctívat výhradně Boha
71C313|Jákob u studny v Cháranu (Genesis 29,1-13)
71C3131|Jákob se setkává s cháránskými pastýři a jejich stády ovcí ležícími kolem studny
71C3132|Jákob vidí Ráchel, jak jde ke studni napojit Lábanovy ovce
71C31321|Ráchel (sama) se stádem svého otce
71C3133|Jákob pohne kamenem, který zakrývá otvor studny, a napojí Rácheliny ovce
71C3134|Jákob políbí Ráchel a je dojat k slzám
71C3135|Ráchel oznamuje Jákobův příchod Lábanovi
71C3136|Lában přichází za Jákobem ke studni a přivádí ho do svého domu
71C314|Jákob slouží Lábanovi za Ráchel a Leu (Genesis 29,14-30)
71C3141|Jákob žádá Lábana o svolení vzít si Ráchel
71C3142|Jákob pracuje sedm let jako pastevec výměnou za Ráchel
71C3143|Jákob žádá Ráchel po sedmi letech
71C3144|svatební hostina; Lában nahradí Ráchel Leou
71C31441|Zilpa je dána Lee jako její služebná
71C3145|po svatební noci Jákob zjistí, že byl s Leou podveden, a stěžuje si Lábanovi
71C3146|sňatek Jákoba a Ráchel
71C31461|Bilha je dána Ráchel jako její služebná
71C3147|Jákob pracuje pro Lábana dalších sedm let
71C315|Jacob's children (Genesis 29:31 - 30:24)
71C3151|Lea porodí čtyři syny: Rúben, Šimeon, Levi a Juda
71C3152|Ráchel si stěžuje Jákobovi, že je bezdětná
71C31521|Ráchel dává Jákobovi Bilhu
71C315211|narození Dana
71C315212|narození Neftalího
71C3153|Lea dává Jákobovi svou služebnou Zilpu
71C31531|Zilpa porodí dva syny: Gád a Ašer
71C3154|Rúben přináší mandragory své matce Lee
71C31541|Lea dává mandragory Ráchel výměnou za noc s Jákobem
71C3155|Lea porodí dva syny: Izachara, Zabulona a dceru Dínu
71C3156|Ráchel porodí Josefa
71C316|partnerství s Lábanem ~ Jákobův příběh (Genesis 30,25-43)
71C3161|Lában souhlasí, že Jákobovi dá jako mzdu všechny černé a strakaté ovce a kozy
71C3162|rozdělení dobytka ~ Jákobovo partnerství s Lábanem
71C3163|Jákob dává zvířatům do napajedel oloupané pruty, aby zvířata rodila strakatá mláďata
71C31631|Jacob becomes very rich
71C317|Jákob komunikuje s Bohem (obecně)
71C318|Jákobův útěk od Lábana (Genesis 31:1-21)
71C3181|Jacob is accused by Laban's sons
71C3182|Jákob informuje své ženy Leu a Ráchel o odchodu
71C3183|zatímco Lában stříhá své ovce, Jákob a jeho ženy připravují rozloučení; Ráchel ukradne otcovy terafimy
71C3184|Jákob na cestě do Kanaánu se svou rodinou, stády, velbloudy a veškerým majetkem
71C319|Laban pursues Jacob (Genesis 31:22-55)
71C3191|Lában se dozvídá o Jákobově útěku a vydává se ho se svými muži pronásledovat
71C3192|Jacob is overtaken (by Laban)
71C3193|Bůh se Lábanovi zjevuje ve snu
71C3194|Lában prohledává Jákobovy stany a věci, aby našel terafim
71C31941|Ráchel schová terafim do velbloudího sedla a sedne si na něj
71C3195|Jákob a Lában uzavřou spojenectví: postaví se hromada kamení a obětuje se zvíře
71C3196|Rozchod Jákoba a Lábana
71C32|jákobův příběh (část II)
71C321|Jákob se připravuje na setkání s Ezauem (Genesis 32,1-23)
71C3211|Jákob se setkává s anděly v Mahanaim
71C3212|k Ezauovi jsou vysláni poslové ~ Jákobův příběh
71C3213|Jákob se modlí k Bohu, aby ho zachránil před Ezauem
71C3214|Jákob rozdělí svůj lid a zvířata na dvě skupiny a pošle část dobytka jako dar Ezauovi
71C322|Jákob a anděl (Genesis 32,24-32)
71C3221|Jákob posílá svou rodinu a karavanu přes řeku Jabok a zůstává za ní
71C3222|Jákob zápasí s andělem (nebo mužem) až do svítání; Jákobovi se vykloubí stehno
71C32221|Jákob dostává nové jméno Izrael a je požehnán andělem
71C3223|Jákob to místo pojmenuje Peniel
71C323|Jákob a Ezau se usmíří (Genesis 33)
71C3231|když se Ezau, obvykle představovaný jako voják, blíží se čtyřmi sty muži, Jákob rozděluje děti mezi své ženy
71C3232|setkání Ezaua a Jákoba
71C32321|Jákob se skloní k zemi
71C32322|Ezau běží vstříc Jákobovi a políbí ho
71C32323|služebné přistupují k Ezauovi a vzdávají mu hold
71C32324|Jákobovy ženy a děti jsou představeny Ezauovi
71C3233|Ezau se vrací do Seíru
71C3234|Jákob v Sukotu, kde staví dům
71C3235|Jacob's journey
71C3236|Jákob se utáboří na poli poblíž města Šekem
71C32361|Jákob koupí pole od Chamorových synů za sto stříbrných
71C32362|Jákob staví oltář
71C324|Jacob's daughter Dinah defiled (Genesis 34)
71C3241|znásilnění Díny Šekemem
71C3242|Šekem vyzná lásku k Díně svému otci Chamorovi
71C3243|Chamor a Šekem přicházejí k Jákobovi, jehož synové právě přišli z polí, aby požádali o Dínu za ženu; synové souhlasí pod podmínkou, že Šekemovci budou obřezáni
71C3244|Šekem a Chamor navrhují obřízku svým spoluobčanům
71C3245|Simeon a Levi pobijí všechny Šekemce a přivedou Dínu domů, zatímco ostatní bratři město vyplení
71C3246|Jacob reproving his sons
71C325|Jákobův pobyt v Bét-elu (Genesis 35,1-15)
71C3251|Jákob očistí svůj dům od modly
71C32511|modly (a náušnice) jsou ukryty pod dubem v Šekemu
71C3252|cesta do Bét-elu ~ Jákobův příběh
71C3253|v Bét-elu je postaven oltář ~ Jákobův příběh
71C3254|smrt Racheliny sestry Debory
71C3255|Bůh žehná Jákobovi a dává mu jméno Izrael
71C3256|Jákob postaví v Bét-elu sloup; Jákob ho posvětí tím, že na něj nalije olej
71C326|smrt Ráchel (Genesis 35,16-21)
71C3261|odchod z Bét-elu
71C3262|narození Benjamina: Ráchel umírá při porodu
71C32621|Ráchel je pohřbena u cesty do Efraty
71C326211|Rachel's tomb
71C3263|Jákob se stěhuje do věže Eder a pak do Hebronu
71C327|izákova smrt (Genesis 35:27-29)
71C3271|Jákobova návštěva u Izáka ~ Izákova smrt
71C3272|Izák je pohřben vedle Jákoba a Ezaua
71C33|další příběh Jákobových synů
71C331|Rubenův hřích: rozhněvá svého otce tím, že se dopustí cizoložství s Jákobovou konkubínou Bilhou (1. Mojžíšova 35:22; 49:4)
71C332|příběh Judy a Támar (Genesis 38)
71C3321|Juda se oženil s dcerou Šuachovou
71C33211|Judova žena mu porodí tři syny: Era, Onana a Šelu
71C3322|zasnoubení Támar a Era
71C33221|erova smrt
71C3323|Onanovi je řečeno, aby se oženil s Támar
71C33231|onanova smrt
71C3324|Támar je poslána zpět do domu svého otce
71C3325|smrt Judovy manželky
71C3326|Juda a Híra Adullamský jdou do Timnatu, kde se stříhají Judovy ovce
71C33261|Támar se dozvídá o Júdově cestě do Timnatu
71C3327|Támar se převlékne z vdovských šatů a zahalí si tvář závojem po vzoru prostitutek; sedí u vchodu do města na cestě do Timnatu a čeká na Judu
71C33271|Judův milostný vztah s Támar; dává jí svůj pečetní prsten, náramky a hůl
71C33272|Támar (sama) se žetony od Judy
71C33273|Támar se vrací domů (se žetony od Judy)
71C33274|Híra se zaslíbeným judským kůzletem, marně hledající Támar
71C33275|Támařin hřích je oznámen Judovi
71C33276|když je nařízeno upálení Támar, ukáže Jidášovi pečetní prsten, náramky a hůl, který v nich pozná, že jsou jeho
71C3328|narození dvojčat: Pharez a Zarah
71C34|další příběh Ezaua (1. Mojžíšova 36; 1. Paralipomenon 1:35-54)
71C341|synové Ezauovi
71C342|Jákob a Ezau se rozcházejí; Ezau se stěhuje se vším svým majetkem do Edómu
71C343|potomci Seira Horitského, původních obyvatel Edómu
71C344|králové, kteří vládli v Edómu
71D|Genesis: příběh Josefa
71D1|josefův příběh (část I)
71D11|Josef vyvolává nenávist svých bratrů (Genesis 37,1-11)
71D111|Josef se stará o ovce a kozy se svými bratry
71D112|josef se stal svědkem zlého činu svých bratrů a oznámil to svému otci
71D113|Jákob dává Josefovi pestrobarevný plášť
71D114|Josefovi bratři jsou rozhořčeni a stěžují si otci
71D115|Joseph's dreams
71D1151|první Josefův sen: jedenáct snopů pšenice jeho bratrů tvoří kruh kolem Josefova snopu a klaní se
71D11511|Joseph relates his first dream
71D1152|druhý Josefův sen: slunce, měsíc a jedenáct hvězd se klaní Josefovi
71D11521|Joseph relates his second dream
71D1153|Josef vypráví své sny (oba sny dohromady)
71D116|Jákob kárá Josefa za jeho sny
71D1161|Jacob meditating upon Joseph's dreams
71D12|Josef prodán do otroctví a odveden do Egypta (Genesis 37:12-35)
71D121|Jákob posílá Josefa ke svým bratrům, kteří se starají o otcovo stádo v Šekemu
71D122|Josef na cestě (možná setkání s andělem)
71D1221|v Šekemu se Josef setkává s mužem, který mu oznamuje, že jeho bratři odešli do Dothanu
71D123|bratři vidí v dálce přicházet Josefa a plánují jeho smrt
71D1231|Rúben zasáhne do přípravy Josefovy smrti
71D124|Joseph's coat is stripped off by his brothers
71D1241|Josef je vhozen do jámy (obvykle zobrazované jako studna nebo cisterna)
71D12411|Josef je spouštěn do jámy pomocí lan nebo kladky
71D125|zatímco Josefovi bratři jedí, projíždí kolem karavana izmaelských (midjánských) kupců: Juda jim navrhne, že jim Josefa prodá
71D1251|Josef je vytažen z jámy
71D1252|Josef je prodán za dvacet stříbrných
71D1253|Joseph's departure (after being sold by his brothers)
71D126|Josef na cestě do Egypta s Izmaelity (Josef může být zobrazen, jak pláče u hrobu své matky, když procházejí kolem)
71D127|Ruben najde prázdnou jámu a smutkem si roztrhne šaty
71D1271|Josefovi bratři zabijí dítě
71D12711|Josefovi bratři potřísní Josefův plášť krví dítěte
71D128|Josefův zakrvácený plášť je přinesen a ukázán Jákobovi
71D1281|Jákob roztrhl svůj oděv, když poznal roucho
71D1282|Otec oplakává Josefa jako mrtvého; synové a dcery ho nemohou utěšit
71D13|Josef v Potifarově domě; Josefova cudnost (Genesis 37,36; 39,1-20)
71D131|Josef je prodán Potifarovi
71D132|Josef je Potifarem poctěn: je mu svěřeno vedení domácnosti, která se stává velmi prosperující "doma i na poli"
71D133|Potífarova žena se snaží svést Josefa
71D1331|Potífarova žena chytí Josefa za plášť, obvykle když leží v posteli; Josef jí uteče a nechá jí v rukou svůj plášť (možná s nahým dítětem ležícím v postýlce)
71D134|Potífarova žena před svým manželem: obviní Josefa, že se ji pokusil znásilnit, a jako důkaz použije plášť
71D135|Josef je zatčen a poslán do vězení
71D14|Josef ve vězení (Genesis 39,21-23.40)
71D141|Josef se těší přízni dozorce; je pověřen péčí o ostatní vězně
71D142|Faraon odsoudí vrchního komorníka (nosiče pohárů) a pekaře ~ příběh Josefa
71D143|ve vězení jsou Josefovi svěřeni majordomus a pekař
71D144|majordomus a pekař mají v noci sen
71D1441|komorníkův sen: vinná réva se třemi větvemi, jejíž plody komorník vymačkává do královského poháru
71D14411|Josef vykládá majordomův sen
71D1442|pekařův sen: ptáci klovající do tří košů chleba
71D14421|Josef vykládá pekařův sen
71D145|Josef vykládá sny majordoma a pekaře (oba sny dohromady)
71D146|splnění snů: Faraon vrátí sluhu na jeho původní místo, ale pekaře nechá oběsit ~ příběh Josefa
71D15|Pharaoh's dreams interpreted (Genesis 41:1-36)
71D151|Faraonovy sny ~ příběh Josefa
71D1511|první faraonův sen: sedm tlustých krav je sežráno sedmi hubenými kravami ~ příběh Josefa
71D1512|druhý faraonův sen: sedm tenkých klasů požírá sedm plných ~ Josefův příběh
71D152|Faraon posílá pro všechny egyptské kouzelníky ~ příběh Josefa
71D153|komorník, který si vzpomene na Josefa, ho doporučí králi jako (vy)tlumočníka snů
71D154|Josef je předvolán před faraona a propuštěn z vězení
71D155|Joseph interpreting Pharaoh's dreams
71D1551|výklad snu o hubených a tučných kravách
71D1552|výklad snu o tenkých a plných kukuřičných klasech
71D1553|sedm let hojnosti (alegorie)
71D1554|sedm let hladu (alegorie)
71D16|josefovo povýšení a sňatek (Genesis 41:37-57)
71D161|Faraon si sundá svůj pečetní prsten a navlékne ho Josefovi na prst; Josef je jmenován správcem
71D162|josefův triumf: oblečen do královského oděvu jede na jednom z faraonových vozů, před nímž jede herold
71D163|Joseph a Asenath
71D1631|Josef dostává za manželku Asenat, dceru kněze Potifery
71D1632|narození Manasese
71D1633|efraimovo narození
71D1634|Asenatino obrácení: vyhazuje své modly z okna
71D1635|spiknutí faraonova syna proti Josefovi a Asenat
71D16351|Asenat a její strážci jsou napadeni muži z Danu a Gádu, kteří se připojili ke spiknutí faraonova syna; Asenat se podaří uniknout na voze s Benjamínem
71D16352|Benjamín udeří faraónova syna kamenem
71D16353|Simeon a Lévi přivedou zraněného syna před faraona
71D164|Josef jako faraonův dozorce
71D1641|Josef se připraví na hladomor a nashromáždí obilí
71D1642|v Egyptě vypukl hladomor
71D16421|egypťané volají po chlebu
71D164211|Josef otevírá sklad a prodává obilí
71D17|první cesta Josefových bratrů do Egypta (Genesis 42)
71D171|Jákob se doslechne, že se v Egyptě prodává obilí
71D1711|Josef pouští pšenici do řeky
71D1712|Jákob posílá svých deset synů do Egypta nakoupit obilí, nejmladšího Benjamína si nechává doma
71D172|deset Josefových bratrů na cestě do Egypta
71D173|v Josefově přítomnosti se mu bratři poklonili
71D1731|Josef obviní své bratry ze špionáže a uvrhne je do vězení
71D174|Josefovi bratři jsou propuštěni z vězení
71D175|Josef oznámí svým bratrům, že si jednoho z nich ponechá jako rukojmí ve vězení, a ostatní pošle domů, aby mu přivedli Benjamína
71D1751|josefovi bratři si vzpomenou, jak mu ublížili, a litují toho; Josef rozhovor zaslechne a s pláčem odchází
71D1752|Josef se vrátí, vybere si Simeona a nechá ho svázat
71D176|Josefovi bratři dostanou obilí; Josef nařídí, aby jim do pytlů tajně vložili peníze
71D177|Josefovi bratři nakládají osly a opouštějí Egypt
71D1771|v jejich táboře najde jeden z Josefových bratrů v pytli peníze
71D178|Josefovi bratři, kteří se vrátili s Jákobem do Kanaánu, vyprázdní své pytle a každý z nich objeví pytel s penězi
71D1781|Jákob odmítá nechat odvést Benjamína do Egypta navzdory Rubenovu nabádání
71D18|druhá cesta Josefových bratrů do Egypta (Genesis 43)
71D181|Juda přesvědčí utrápeného Jákoba, aby souhlasil s odchodem Benjamína
71D1811|Jákobovo rozloučení s Benjaminem
71D182|Josefovi bratři na cestě do Egypta s Benjamínem a s dary pro Josefa
71D183|Josef přijímá své bratry a Benjamína
71D1831|Josef nařídí, aby se v jeho domě připravila hostina
71D1832|u dveří Josefova domu hovoří jeho bratři se správcem; přivádějí k nim Simeona
71D1833|přípravy na hostinu v Josefově domě
71D18331|Joseph's brothers wash their feet
71D184|když se Josef vrátí domů, přijme své bratry, ti se před ním pokloní a dají mu dary
71D1841|při pohledu na Benjamina se Josef rozpláče a odejde z místnosti
71D18411|Joseph washing his face
71D185|hostina v Josefově domě: údiv jeho bratrů nad tím, že jsou usazeni podle svého věku; Benjamín je poctěn jídlem navíc
71D1851|Josef s věšteckým pohárem v ruce odhalí jméno a věk každého z bratrů
71D19|chybějící pohár ~ příběh Josefa (Genesis 44-45)
71D191|Josef vloží svůj stříbrný pohár do Benjamínova pytle
71D192|Josefovi bratři se vydali na cestu domů
71D1921|Josefovi služebníci při pronásledování jeho bratrů
71D1922|pohár se nachází v Benjaminově pytli
71D1923|Josefovi bratři se vracejí do města
71D193|bratři před Josefem: Juda se přimlouvá za Benjamína a nabízí, že si ho nechá jako otroka místo sebe
71D1931|Josef odhalí svou totožnost a v slzách odpustí svým bratrům jejich minulý prohřešek
71D194|Faraon posílá Josefovy bratry s vozy pro jejich rodiny a Jákoba
71D195|Josefovi bratři s vozy a osly naloženými obilím se vracejí k Jákobovi
71D196|Jákob se dozvídá o Josefově postavení
71D2|josefův příběh (část II)
71D21|Jákob a jeho rodina odcházejí do Egypta (Genesis 46:1-27)
71D211|Jákob přináší oběť v Beerševě
71D212|Jákobova vize: Bůh se mu zjevuje v noci a sankcionuje jeho cestu do Egypta
71D213|Jákob se s rodinou, dobytkem a majetkem vydává s vozy do Egypta
71D22|Jákob a jeho rodina v Egyptě (Genesis 46,28-34; 47,1-12)
71D221|Juda je poslán napřed do Egypta, aby ohlásil Jákobův příchod
71D2211|Josef jde do Gošenu za svým otcem
71D222|setkání Jákoba a Josefa v Gošenu
71D223|Josef a pět jeho bratrů oznámí faraonovi Jákobův příchod
71D224|Josef představuje Jákoba faraonovi
71D225|Jákob a jeho synové se usadí v zemi Gošen
71D226|Josef zajišťuje jídlo pro svého otce, bratry a rodinu
71D23|hladomor v Egyptě (pokračování) (Genesis 47,13-26)
71D231|egypťané volají po chlebu, prodávají svůj dobytek za obilí
71D232|egypťané prodávají svou půdu, aby si koupili obilí; veškerá půda se stává faraónovým majetkem, kromě půdy, která patřila kněžím
71D2321|Josef vydává zákon, že jedna pětina produkce půdy má patřit králi
71D24|Jacob's last days (Genesis 47:27 - 49:32)
71D241|starý Jákob si zavolá Josefa a požádá ho, aby přísahal, že ho pohřbí v Kanaánu
71D242|Josef vezme své dva syny, Manasese a Efraima, k Jákobovi na jeho nemocniční lůžko
71D2421|Jákob žehná Manasesovi a Efraimovi se zkříženýma rukama; Josef se je může snažit rozvázat nebo vyjádřit (spolu s Asenat) svůj nesouhlas
71D24211|Jákob žehná Manasesovi a Efrajimovi s rozpaženýma rukama
71D2422|Jacob blesses Joseph
71D243|Jacob blesses his sons
71D2431|Jákob žehná Jidášovi: "Juda je lví mládě
71D24311|lev Judův
71D2432|Jákob proklíná Šimeona a Léviho
71D25|Jacob's death (Genesis 49:33, 50:1-14)
71D251|Josef nařizuje Jákobovo balzamování
71D252|Josef nechá s velkou pompou přivézt mrtvolu svého otce do Kanaánu
71D253|Jákob je pohřben v jeskyni Machpela
71D254|Josef a jeho bratři se vracejí do Egypta
71D26|pozdější Josefova léta (Genesis 50,15-26)
71D261|Josefovi bratři se obávají možné Josefovy pomsty a prosí ho o odpuštění
71D262|Joseph's death
71E|Exodus, Leviticus, Numeri, Deuteronomium, Jozue: od otroctví Izraelitů v Egyptě po jejich usazení v Kanaánu
71E1|kniha Exodus: příběh Mojžíše a Árona
71E11|Exodus (část I): události předcházející a připravující odchod Izraele z Egypta
71E111|útlak Izraelitů v Egyptě (Exodus 1)
71E1111|potomků Jákobových synů přibývá
71E1112|Faraon nařizuje trápení Izraelitů
71E1113|izraelci jsou nuceni k těžké práci ~ Exodus
71E11131|izraelci postavili města Pithom a Raamses
71E11132|izraelci vyrábějí cihly ~ Exodus
71E11133|izraelci pracují na polích ~ Exodus
71E1114|Faraon nařídí dvěma porodním bábám, Šifře a Púě, aby zabily všechny novorozence mužského pohlaví Izraelitů
71E11141|obě porodní báby neuposlechnou příkazu
71E11142|Faraon se ptá porodních bab
71E1115|Faraon nařídí utopení každého nového mužského potomka mezi Izraelci
71E112|Mojžíšovo narození a vzdělání (Exodus 2:1-10)
71E1121|svatba Mojžíšových rodičů
71E1122|Moses' birth
71E11221|Mojžíšova matka Jochebed ho tři měsíce ukrývá
71E11222|Jochebed vyrobí archu (nebo koš) z buližníku potřeného smolou a vloží do ní Mojžíše
71E1123|Mojžíš je vystaven v arše na břehu Nilu; Miriam, Mojžíšova sestra, hlídá
71E11231|Mojžíš (osamocen) v buřinách
71E1124|mojžíšův nález: Faraonova dcera se přijde se svými služkami vykoupat do řeky a objeví dítě plovoucí na hladině
71E11241|Služebníci vytáhnou Mojžíše z vody
71E1125|Mojžíš je buď představen faraónově dceři, nebo je obklopen ženami, které se s ním mazlí
71E11251|Miriam přiměje faraónovu dceru, aby svěřila Mojžíše hebrejské ošetřovatelce
71E11252|Mojžíš je svěřen do péče své matky
71E112521|Moses' mother suckling her child
71E1126|když je Mojžíš dost starý, matka ho přivede k faraónově dceři, která ho adoptuje
71E1127|Mojžíš se vzdělává v královském paláci
71E11271|Mojžíš a faraonova koruna: Faraon hravě nasadí korunu na hlavu malého Mojžíše, který ji shodí na zem a pošlape ji; nebo Mojžíš při hře korunu rozbije
71E112711|Mojžíšova zkouška ohněm: když má Mojžíš na výběr mezi dvěma talíři, z nichž jeden obsahuje hořící uhlí a druhý rubínový prsten (nebo třešně), vybere si hořící uhlí a vloží si je do úst
71E11272|malý Mojžíš mezi filozofy
71E113|Mojžíš a jeho lid; útěk do Midjánu (Exodus 2:11-25)
71E1131|Mojžíš vidí, jak jsou Izraelci nuceni k těžké práci
71E11311|Mojžíš vidí jednoho ze svých krajanů, jak ho bije egyptský dozorce
71E11312|Mojžíš zabije egyptského velitele
71E113121|Mojžíš pohřbívá tělo egyptského velitele do písku
71E11313|Když Mojžíš kárá dva rozhádané Izraelity, je mu vytýkána vražda Egypťana
71E11314|Faraon je informován o vraždě Egypťana
71E11315|Mojžíš utíká do Midjánu
71E1132|Mojžíš se u studny setkává se sedmi dcerami madiánského kněze Jetra
71E11321|Mojžíš zažene pastýře, kteří chtěli zabránit Jetrovým dcerám, aby napojily stádo svého otce
71E11322|Mojžíš napojí ovce Jetrových dcer
71E11323|sedm Jetrových dcer se vrací domů
71E1133|Mojžíš je přijat v Jetrově domě
71E1134|Mojžíšovo manželství se Zipporou
71E11341|narození Geršoma, syna Mojžíšova
71E1135|Pharaoh's death
71E1136|Bůh hledí na Izraelity
71E114|mojžíšovo povolání (Exodus 3-4)
71E1141|mojžíš přichází na Choréb, když se stará o Jetrovo stádo
71E11411|mojžíšovu pozornost upoutá hořící keř
71E1142|hořící keř ~ Mojžíšovo povolání
71E11421|Moses taking off his sandals
71E11422|Mojžíš klečí před keřem, skrývá si tvář a naslouchá Bohu
71E11423|zázraky ~ povolání Mojžíše
71E114231|zázrak proměny hole v hada; Mojžíš může být zobrazen, jak před hadem utíká
71E114232|zázrak malomocné ruky ~ Mojžíš a hořící keř
71E114233|zázrak proměny vody v krev ~ hořící keř
71E114234|Mojžíš dostane hůl
71E1143|Rozchod Mojžíše a Jetra ~ Mojžíšovo povolání
71E1144|Mojžíš odjíždí do Egypta: nese svou hůl a doprovází ho žena a synové na oslu
71E1145|v hostinci se Bůh (nebo Boží anděl) pokusí Mojžíše zabít
71E11451|Zipora uklidňuje Boha obřízkou jednoho ze svých synů
71E1146|Bůh se zjevuje Áronovi
71E11461|Áron se setká s Mojžíšem a políbí ho
71E1147|Mojžíš a Áron shromáždili všechny izraelské vůdce
71E11471|Áron promlouvá k Izraelitům
71E11472|Mojžíš koná zázraky před lidem
71E115|Mojžíš komunikuje s Bohem (obecně)
71E116|Mojžíš a Áron se postaví faraónovi (Exodus 5-7,13)
71E1161|Faraon přikáže mistrům, aby přestali dodávat lidem slámu na výrobu cihel
71E1162|izraelci si stěžují Mojžíšovi a Áronovi (~ faraonovi)
71E1163|Mojžíš poučuje Izraelity
71E1164|Mojžíš a Áron před faraónem; Áron provede zázrak proměny hole v hada
71E11641|všichni kouzelníci, které král povolal, proměnili své hole v hady, ale Áronova hůl je spolkla
71E117|deset ran (Exodus 7:14 - 11:10, 12:21-30)
71E1171|opakující se scény ~ deset ran
71E11711|Mojžíš (a Áron) před faraonem na trůně (opakující se scéna ~ deset ran)
71E11712|Mojžíš (a Áron) způsobí, že rána ustane (opakující se scéna ~ deset ran)
71E11713|stížnosti služebníků faraonovi (opakující se scéna ~ deset ran)
71E1172|deset ran (část I)
71E11721|rána vody proměněné v krev: když faraon sestupuje k Nilu, Áron udeří holí do hladiny řeky, voda se promění v krev a všechny ryby uhynou
71E11722|žabí mor: Áron vztáhne ruku nad egyptskou vodu, žáby vylétnou a pokryjí zemi
71E117221|žáby napadly faraonův palác (Exodus 7:26-29 nebo 8:1-4)
71E11723|mor vší: Áron udeří holí do země a prach se promění ve vši
71E11724|mor much, který naplnil domy Egypťanů
71E11725|mor dobytka: všechna zvířata Egypťanů umírají
71E11726|mor vřídků: Mojžíš vyhodí před faraonem hrst popela do vzduchu a na lidech a zvířatech se objeví vředy
71E11727|morové krupobití: Mojžíš pozvedne hůl k nebi a na zem padají kroupy a oheň
71E11728|mor kobylek: když Mojžíš zvedne ruce, přilétají kobylky a sežerou všechno, co přežilo krupobití
71E11729|mor temnoty: Mojžíš zvedne ruce k nebi a na tři dny nastane úplná tma
71E1173|deset ran (část II)
71E11731|předehry k desáté morové ráně
71E117311|Mojžíš předpovídá smrt prvorozených
71E117312|Mojžíš vyhlašuje Paschu
71E117313|oslava prvního Pesachu
71E1173131|izraelci si beránčí krví dělají znamení (obvykle tau-kříže) na sloupky dveří svých domů
71E1173132|izraelci jedí velikonočního beránka ve stoje kolem stolu s přepásanými bedry, s botami na nohou a s holemi v rukou, připraveni k odchodu
71E11732|pohroma prvorozených: anděl zhouby prochází zemí a zabíjí všechny egyptské prvorozené z lidí i zvířat
71E117321|Faraon truchlí nad svým mrtvým synem ~ desátá rána
71E118|izraelité opouštějí Egypt; první přesun z Ramesse do Sukotu (Exodus 12,31 - 13,16)
71E1181|v noci faraon pošle pro Mojžíše a Árona a prosí je, aby odešli
71E1182|egypťané vyzývají Izraelce, aby opustili zemi
71E1183|izraelci se připravují k odchodu: lidé naplní koryta nekvašeným těstem, zabalí je do oděvů a nesou na ramenou
71E1184|egypťané odevzdali Izraelitům své šperky a oblečení
71E1185|izraelci pekli nekvašený chléb z těsta
71E1186|zasvěcení prvorozeného
71E12|Exodus (část II): cesta Izraele na horu Sinaj
71E121|cesta Izraelitů ze Sukotu k Rudému moři (2. Mojžíšova 13,17-20)
71E1211|Mojžíš si s sebou bere Josefovy kosti
71E1212|oblačný a ohnivý sloup ~ Exodus
71E12121|během dne ukazuje lidem cestu oblačný sloup (a/nebo Boží anděl)
71E12122|v noci svítí Izraelcům ohnivý sloup (Exodus 14)
71E122|průchod Rudým mořem
71E1221|Faraon se dozvídá o útěku Izraelitů
71E12211|Faraon a jeho armáda se vydali pronásledovat Izraelity
71E12212|izraelský lid reptá proti Mojžíšovi
71E1222|Mojžíš pozvedne hůl a voda se rozdělí (Rudé moře); Boží anděl a oblačný sloup se přesunou dozadu
71E12221|lid přechází po souši (Egypťané nejsou vidět nebo jsou vidět jen stěží); vzadu může být vidět Boží anděl a oblačný sloup
71E12222|egypťané pronásledují Izraelity do moře
71E1223|mojžíš zvedne ruce a způsobí, že se voda vrátí; faraonovo vojsko zahyne ve vodě (Rudé moře)
71E12231|Faraon a jeho armáda pohlceni Rudým mořem (Izraelci nejsou vidět nebo jsou sotva vidět)
71E123|po přechodu Rudého moře se Izraelci radují a chválí Boha (Exodus 15,1-21)
71E1231|mojžíšova píseň ~ Exodus
71E1232|Miriam vezme tamburínu a tančí; všechny ženy ji následují
71E12321|Miriamina píseň chvály ~ Exodus
71E124|izraelci v Marah a Elim (Exodus 15:22-27)
71E1241|zázrak oslazení vody v Marahu
71E12411|na poušti lid reptá proti Mojžíšovi kvůli hořké vodě
71E12412|Mojžíš hodí kus dřeva do vody Marah, která se pak stane sladkou
71E12413|izraelci naslouchají Bohu
