0|Abstract, Non-representational Art
11H(FIDELIS)36|františkánský a kapucínský mnich a mučedník Fidelis ze Sigmaringenu; možné atributy: meč, palmová ratolest, kyj - kajícnost mužského světce
11H(FIDELIS)37|františkánský a kapucínský mnich a mučedník Fidelis ze Sigmaringenu; možné atributy: meč, palmová ratolest, kyj - mužský světec meditující, v extázi
11H(FIDELIS)4|františkánský a kapucínský mnich a mučedník Fidelis ze Sigmaringenu; možné atributy: meč, palmová ratolest, kyj - nezázračné činnosti a události ~ mužský světec
11H(FIDELIS)5|františkánský a kapucínský mnich a mučedník Fidelis ze Sigmaringenu; možné atributy: meč, palmová ratolest, kyj - zázračné činnosti a události ~ mužský světec
11H(FIDELIS)59|františkánský a kapucínský mnich a mučedník Fidelis ze Sigmaringenu; možné atributy: meč, palmová ratolest, kyj - stigmatizace mužského světce
11H(FIDELIS)6|mučednictví, utrpení, neštěstí, smrt svatého Fidelise
11H(FIDELIS)68|Svatý Fidelis ze Sigmaringenu je zavražděn sedláky holí
11H(FIDELIS)69|mučednictví, utrpení, neštěstí, smrt svatého Fidelise - špatné zacházení s mrtvolou mužského světce
11H(FIDELIS)7|františkánský a kapucínský mnich a mučedník Fidelis ze Sigmaringenu; možné atributy: meč, palmová ratolest, kyj - apoteóza, sláva, triumf mužského světce
11H(FIDELIS)8|františkánský a kapucínský mnich a mučedník Fidelis ze Sigmaringenu; možné atributy: meč, palmová ratolest, kyj - posmrtné výskyty ~ mužský světec
11H(FIDELIS)81|františkánský a kapucínský mnich a mučedník Fidelis ze Sigmaringenu; možné atributy: meč, palmová ratolest, kyj - nález, převoz ostatků mužského světce
11H(FIDELIS)82|františkánský a kapucínský mnich a mučedník Fidelis ze Sigmaringenu; možné atributy: meč, palmová ratolest, kyj - zázraky při manipulaci s relikviemi mužského světce
11H(FIDELIS)83|františkánský a kapucínský mnich a mučedník Fidelis ze Sigmaringenu; možné atributy: meč, palmová ratolest, kyj - posmrtné činy, zjevení mužských světců
11H(FIDELIS)84|františkánský a kapucínský mnich a mučedník Fidelis ze Sigmaringenu; možné atributy: meč, palmová ratolest, kyj - blahořečení, kanonizace mužského světce
11H(FIDELIS)9|františkánský a kapucínský mnich a mučedník Fidelis ze Sigmaringenu; možné atributy: meč, palmová ratolest, kyj - portrét mužského světce
11H(FLORIAN)|voják mučedník Florián z Lorchu; možné atributy: vědro (džbán), kopí s praporcem, mlýnský kámen, palmová ratolest, štít (s křížem), meč
11H(FLORIAN)0|voják mučedník Florián z Lorchu; možné atributy: vědro (džbán), kopí s praporcem, mlýnský kámen, palmová ratolest, štít (s křížem), meč - mužský světec zobrazený ve skupině
11H(FLORIAN)1|specific aspects ~ St. Florian
11H(FLORIAN)11|Svatý Florián jako ochránce před ohněm s hořícím domem nebo házení vody ze džbánu či vědra na hořící dům (nebo kostel)
11H(FLORIAN)119|Svatý Florián jako ochránce před ohněm s hořícím domem nebo házení vody ze džbánu či vědra na hořící dům (nebo kostel) - mužský světec chránící věřící pláštěm, "Schutzmantel"
11H(FLORIAN)12|specifické aspekty ~ svatý Florián - mužský světec píšící, studující, vyučující, diktující (např. jako doktor církve)
11H(FLORIAN)13|specifické aspekty ~ svatý Florián - mužský světec jako zakladatel řádu
11H(FLORIAN)131|specifické aspekty ~ svatý Florián - mužský světec ~ potvrzení řádu, schválení pravidel
11H(FLORIAN)2|voják mučedník Florián z Lorchu; možné atributy: vědro (džbán), kopí s praporcem, mlýnský kámen, palmová ratolest, štít (s křížem), meč - raný život mužského světce
11H(FLORIAN)3|voják mučedník Florián z Lorchu; možné atributy: vědro (džbán), kopí s praporcem, mlýnský kámen, palmová ratolest, štít (s křížem), meč - osobní oddanost mužského světce
11H(FLORIAN)31|voják mučedník Florián z Lorchu; možné atributy: vědro (džbán), kopí s praporcem, mlýnský kámen, palmová ratolest, štít (s křížem), meč - povolání, obrácení muže světce
11H(FLORIAN)32|voják mučedník Florián z Lorchu; možné atributy: vědro (džbán), kopí s praporcem, mlýnský kámen, palmová ratolest, štít (s křížem), meč - křest, svěcení, složení slibů mužského světce
11H(FLORIAN)33|voják mučedník Florián z Lorchu; možné atributy: vědro (džbán), kopí s praporcem, mlýnský kámen, palmová ratolest, štít (s křížem), meč - zřeknutí se světských statků, asketický život mužského světce
11H(FLORIAN)34|voják mučedník Florián z Lorchu; možné atributy: vědro (džbán), kopí s praporcem, mlýnský kámen, palmová ratolest, štít (s křížem), meč - vidění, mystický sňatek mužského světce
11H(FLORIAN)35|voják mučedník Florián z Lorchu; možné atributy: vědro (džbán), kopí s praporcem, mlýnský kámen, palmová ratolest, štít (s křížem), meč - pokušení mužského světce
11H(FLORIAN)36|voják mučedník Florián z Lorchu; možné atributy: vědro (džbán), kopí s praporcem, mlýnský kámen, palmová ratolest, štít (s křížem), meč - pokání mužského světce
11H(FLORIAN)37|voják mučedník Florián z Lorchu; možné atributy: vědro (džbán), kopí s praporcem, mlýnský kámen, palmová ratolest, štít (s křížem), meč - mužský světec meditující, v extázi
11H(FLORIAN)4|voják mučedník Florián z Lorchu; možné atributy: vědro (džbán), kopí s praporcem, mlýnský kámen, palmová ratolest, štít (s křížem), meč - nezázračné činnosti a události ~ mužský světec
11H(FLORIAN)5|voják mučedník Florián z Lorchu; možné atributy: vědro (džbán), kopí s praporcem, mlýnský kámen, palmová ratolest, štít (s křížem), meč - zázračné činnosti a události ~ mužský světec
11H(FLORIAN)59|voják mučedník Florián z Lorchu; možné atributy: vědro (džbán), kopí s praporcem, mlýnský kámen, palmová ratolest, štít (s křížem), meč - stigmatizace mužského světce
11H(FLORIAN)6|mučednictví, utrpení, neštěstí, smrt svatého Floriána
11H(FLORIAN)68|Svatý Florián je vhozen do řeky s mlýnským kamenem na krku
11H(FLORIAN)69|mučednictví, utrpení, neštěstí, smrt svatého Floriána - špatné zacházení s mrtvolou mužského světce
11H(FLORIAN)7|voják mučedník Florián z Lorchu; možné atributy: vědro (džbán), kopí s praporcem, mlýnský kámen, palmová ratolest, štít (s křížem), meč - apoteóza, sláva, triumf mužského světce
11H(FLORIAN)8|post-mortem occurrences ~ St. Florian
11H(FLORIAN)81|tělo svatého Floriána střeží orel
11H(FLORIAN)811|tělo svatého Floriána najdou ženy a odvezou je na voze
11H(FLORIAN)82|poutníci se shromažďují u studánky, která zázračně vyvěrá na místě, kde byl pohřben svatý Florián
11H(FLORIAN)83|posmrtné události ~ svatý Florián - posmrtné skutky, zjevení mužských světců
11H(FLORIAN)84|posmrtné události ~ svatý Florián - blahořečení, kanonizace mužského světce
11H(FLORIAN)9|voják mučedník Florián z Lorchu; možné atributy: vědro (džbán), kopí s praporcem, mlýnský kámen, palmová ratolest, štít (s křížem), meč - portrét mužského světce
11H(FOURTEEN HOLY HELPERS)|skupina čtrnácti pomocných světců dohromady ("Vierzehnheiligen"): Achatius, Barbara, Blažej, Kateřina, Kryštof, Cyriak, Denis, Erasmus, Eustach, Jiří, Giles, Markéta, Pantaleon, Vít
11H(FOURTEEN HOLY HELPERS)0|skupina čtrnácti pomocných světců dohromady ("Vierzehnheiligen"): Vít - mužský světec zastoupený ve skupině: Achatius, Barbara, Blažej, Kateřina, Kryštof, Cyriak, Denis, Erasmus, Eustach, Jiří, Giles, Markéta, Pantaleon, Vít
11H(FOURTEEN HOLY HELPERS)1|skupina čtrnácti pomocných světců dohromady ("Vierzehnheiligen"): Achatius, Barbara, Blaise, Catherine, Christopher, Cyriacus, Denis, Erasmus, Eustace, George, Giles, Margaret, Pantaleon, Vitus - specifické aspekty ~ mužský světec
11H(FOURTEEN HOLY HELPERS)11|skupina čtrnácti pomocných světců dohromady ("Vierzehnheiligen"): Achatius, Barbara, Blažej, Kateřina, Kryštof, Cyriak, Denis, Erasmus, Eustach, Jiří, Giles, Markéta, Pantaleon, Vít - mužský světec jako patron, ochránce, přímluvce
11H(FOURTEEN HOLY HELPERS)119|skupina čtrnácti pomocných světců dohromady ("Vierzehnheiligen"): Vít - mužský světec, který chrání věřící pláštěm, "Schutzmantel"
11H(FOURTEEN HOLY HELPERS)12|skupina čtrnácti pomocných světců dohromady ("Vierzehnheiligen"): Vít - mužský světec, který píše, studuje, učí, diktuje (např. jako doktor církve)
11H(FOURTEEN HOLY HELPERS)13|skupina čtrnácti pomocných světců dohromady ("Vierzehnheiligen"): Vít - mužský světec jako zakladatel řádu: Achatius, Barbara, Blažej, Kateřina, Kryštof, Cyriak, Denis, Erasmus, Eustach, Jiří, Giles, Markéta, Pantaleon, Vít
11H(FOURTEEN HOLY HELPERS)131|skupina čtrnácti pomocných světců dohromady ("Vierzehnheiligen"): Vít - mužský světec ~ potvrzení řádu, schválení reguly(í)
11H(FOURTEEN HOLY HELPERS)2|skupina čtrnácti pomocných světců dohromady ("Vierzehnheiligen"): Achatius, Barbara, Blažej, Kateřina, Kryštof, Cyriak, Denis, Erasmus, Eustach, Jiří, Giles, Markéta, Pantaleon, Vít - raný život mužského světce
11H(FOURTEEN HOLY HELPERS)3|skupina čtrnácti pomocných světců dohromady ("Vierzehnheiligen"): Achatius, Barbara, Blažej, Kateřina, Kryštof, Cyriak, Denis, Erasmus, Eustach, Jiří, Giles, Markéta, Pantaleon, Vít - osobní oddanost mužského světce
11H(FOURTEEN HOLY HELPERS)31|skupina čtrnácti pomocných světců dohromady ("Vierzehnheiligen"): Achatius, Barbara, Blažej, Kateřina, Kryštof, Cyriak, Denis, Erasmus, Eustach, Jiří, Giles, Markéta, Pantaleon, Vít - povolání, obrácení mužského světce
11H(FOURTEEN HOLY HELPERS)32|skupina čtrnácti pomocných světců dohromady ("Vierzehnheiligen"): Achatius, Barbara, Blažej, Kateřina, Kryštof, Cyriak, Denis, Erasmus, Eustach, Jiří, Giles, Markéta, Pantaleon, Vít - křest, svěcení, složení slibů mužského světce
11H(FOURTEEN HOLY HELPERS)33|skupina čtrnácti pomocných světců dohromady ("Vierzehnheiligen"): Achatius, Barbara, Blažej, Kateřina, Kryštof, Cyriak, Denis, Erasmus, Eustach, Jiří, Giles, Markéta, Pantaleon, Vít - zřeknutí se světských statků, asketický život mužského světce
11H(FOURTEEN HOLY HELPERS)34|skupina čtrnácti pomocných světců dohromady ("Vierzehnheiligen"): Achatius, Barbara, Blažej, Kateřina, Kryštof, Cyriak, Denis, Erasmus, Eustach, Jiří, Giles, Markéta, Pantaleon, Vít - vidění, mystický sňatek mužského světce
11H(FOURTEEN HOLY HELPERS)35|skupina čtrnácti pomocných světců dohromady ("Vierzehnheiligen"): Achatius, Barbara, Blažej, Kateřina, Kryštof, Cyriak, Denis, Erasmus, Eustach, Jiří, Giles, Markéta, Pantaleon, Vít - pokušení mužského světce
11H(FOURTEEN HOLY HELPERS)36|skupina čtrnácti pomocných světců dohromady ("Vierzehnheiligen"): Achatius, Barbara, Blažej, Kateřina, Kryštof, Cyriak, Denis, Erasmus, Eustach, Jiří, Giles, Markéta, Pantaleon, Vít - pokání mužského světce
11H(FOURTEEN HOLY HELPERS)37|skupina čtrnácti pomocných světců dohromady ("Vierzehnheiligen"): Vít - mužský světec medituje, je v extázi
11H(FOURTEEN HOLY HELPERS)4|skupina čtrnácti pomocných světců dohromady ("Vierzehnheiligen"): Achatius, Barbara, Blažej, Kateřina, Kryštof, Cyriak, Denis, Erasmus, Eustach, Jiří, Giles, Markéta, Pantaleon, Vít - nezázračné činnosti a události ~ mužský světec
11H(FOURTEEN HOLY HELPERS)5|skupina čtrnácti pomocných světců dohromady ("Vierzehnheiligen"): Achatius, Barbara, Blažej, Kateřina, Kryštof, Cyriak, Denis, Erasmus, Eustach, Jiří, Giles, Markéta, Pantaleon, Vít - zázračné činnosti a události ~ mužský světec
11H(FOURTEEN HOLY HELPERS)59|skupina čtrnácti pomocných světců dohromady ("Vierzehnheiligen"): Vít, Barbora, Blažej, Kateřina, Kryštof, Cyriak, Denis, Erasmus, Eustach, Jiří, Giles, Markéta, Pantaleon, Vít - stigmatizace mužského světce
11H(FOURTEEN HOLY HELPERS)6|skupina čtrnácti pomocných světců dohromady ("Vierzehnheiligen"): Achatius, Barbara, Blažej, Kateřina, Kryštof, Cyriak, Denis, Erasmus, Eustach, Jiří, Giles, Markéta, Pantaleon, Vít - mučednictví, utrpení, neštěstí, smrt mužského světce
11H(FOURTEEN HOLY HELPERS)68|skupina čtrnácti pomocných světců dohromady ("Vierzehnheiligen"): Achatius, Barbara, Blaise, Catherine, Christopher, Cyriacus, Denis, Erasmus, Eustace, George, Giles, Margaret, Pantaleon, Vitus - smrt, smrtelné lože mužského světce
11H(FOURTEEN HOLY HELPERS)69|skupina čtrnácti pomocných světců dohromady ("Vierzehnheiligen"): Vít, Barbora, Blažej, Kateřina, Kryštof, Cyriak, Denis, Erasmus, Eustach, Jiří, Giles, Markéta, Pantaleon, Vít - špatné zacházení s mrtvolou mužského světce
11H(FOURTEEN HOLY HELPERS)7|skupina čtrnácti pomocných světců dohromady ("Vierzehnheiligen"): Achatius, Barbara, Blažej, Kateřina, Kryštof, Cyriak, Denis, Erasmus, Eustach, Jiří, Giles, Markéta, Pantaleon, Vít - apoteóza, sláva, triumf mužského světce
11H(FOURTEEN HOLY HELPERS)8|skupina čtrnácti pomocných světců dohromady ("Vierzehnheiligen"): Achatius, Barbara, Blaise, Catherine, Christopher, Cyriacus, Denis, Erasmus, Eustace, George, Giles, Margaret, Pantaleon, Vitus - posmrtné výskyty ~ mužský světec
11H(FOURTEEN HOLY HELPERS)81|skupina čtrnácti pomocných světců dohromady ("Vierzehnheiligen"): Achatius, Barbara, Blažej, Kateřina, Kryštof, Cyriak, Denis, Erasmus, Eustach, Jiří, Giles, Markéta, Pantaleon, Vít - nález, převoz relikvií mužského světce
11H(FOURTEEN HOLY HELPERS)82|skupina čtrnácti pomocných světců dohromady ("Vierzehnheiligen"): Zázraky se dějí při manipulaci s relikviemi mužského světce: Achatius, Barbara, Blažej, Kateřina, Kryštof, Cyriak, Denis, Erasmus, Eustach, Jiří, Giles, Markéta, Pantaleon, Vít
11H(FOURTEEN HOLY HELPERS)83|skupina čtrnácti pomocných světců dohromady ("Vierzehnheiligen"): Achatius, Barbara, Blažej, Kateřina, Kryštof, Cyriak, Denis, Erasmus, Eustach, Jiří, Giles, Markéta, Pantaleon, Vít - posmrtné skutky, vystoupení mužských světců
11H(FOURTEEN HOLY HELPERS)84|skupina čtrnácti pomocných světců dohromady ("Vierzehnheiligen"): Vít, Barbora, Blažej, Kateřina, Kryštof, Cyriak, Denis, Erasmus, Eustach, Jiří, Giles, Markéta, Pantaleon, Vít - beatifikace, kanonizace mužského světce
11H(FOURTEEN HOLY HELPERS)9|skupina čtrnácti pomocných světců dohromady ("Vierzehnheiligen"): Vít, Václav, Václav, Václav, Václav, Václav, Václav, Václav, Václav, Václav, Václav, Václav, Václav, Václav, Václav, Václav, Václav, Václav, Václav, Václav, Václav, Václav, Václav, Václav
11H(FRANCIS BORGIA)|František Borgia, jezuitský kněz a vévoda z Gandie; možné atributy: kniha, vévodský klobouk, monstrance, lebka s korunou
11H(FRANCIS BORGIA)0|František Borgia, jezuitský kněz a vévoda z Gandie; možné atributy: kniha, vévodský klobouk, monstrance, lebka s korunou - mužský světec zobrazený ve skupině
11H(FRANCIS BORGIA)1|František Borgia, jezuitský kněz a vévoda z Gandie; možné atributy: kniha, vévodský klobouk, monstrance, lebka s korunou - specifické aspekty ~ mužský světec
11H(FRANCIS BORGIA)11|František Borgia, jezuitský kněz a vévoda z Gandie; možné atributy: kniha, vévodský klobouk, monstrance, lebka s korunou - mužský světec jako patron, ochránce, přímluvce
11H(FRANCIS BORGIA)119|František Borgia, jezuitský kněz a vévoda z Gandie; možné atributy: kniha, vévodský klobouk, monstrance, lebka s korunou - mužský světec chránící věřící pláštěm, "Schutzmantel"
11H(FRANCIS BORGIA)12|František Borgia, jezuitský kněz a vévoda z Gandie; možné atributy: kniha, vévodský klobouk, monstrance, lebka s korunou - mužský světec píše, studuje, učí, diktuje (např. jako doktor církve)
11H(FRANCIS BORGIA)13|František Borgia, jezuitský kněz a vévoda z Gandie; možné atributy: kniha, vévodský klobouk, monstrance, lebka s korunou - mužský světec jako zakladatel řádu
11H(FRANCIS BORGIA)131|František Borgia, jezuitský kněz a vévoda z Gandie; možné atributy: kniha, vévodský klobouk, monstrance, lebka s korunou - mužský světec ~ potvrzení řádu, schválení řehole (řeholí)
11H(FRANCIS BORGIA)2|František Borgia, jezuitský kněz a vévoda z Gandie; možné atributy: kniha, vévodský klobouk, monstrance, lebka s korunou - raný život mužského světce
11H(FRANCIS BORGIA)3|František Borgia, jezuitský kněz a vévoda z Gandie; možné atributy: kniha, vévodský klobouk, monstrance, lebka s korunou - osobní oddanost mužského světce
11H(FRANCIS BORGIA)31|František Borgia, jezuitský kněz a vévoda z Gandie; možné atributy: kniha, vévodský klobouk, monstrance, lebka s korunou - povolání, obrácení mužského světce
11H(FRANCIS BORGIA)32|František Borgia, jezuitský kněz a vévoda z Gandie; možné atributy: kniha, vévodský klobouk, monstrance, lebka s korunou - křest, svěcení, složení slibu mužského světce
11H(FRANCIS BORGIA)33|František Borgia, jezuitský kněz a vévoda z Gandie; možné atributy: kniha, vévodský klobouk, monstrance, lebka s korunou - zřeknutí se světských statků, asketický život mužského světce
11H(FRANCIS BORGIA)34|František Borgia, jezuitský kněz a vévoda z Gandie; možné atributy: kniha, vévodský klobouk, monstrance, lebka s korunou - vize, mystický sňatek mužského světce
11H(FRANCIS BORGIA)35|František Borgia, jezuitský kněz a vévoda z Gandie; možné atributy: kniha, vévodský klobouk, monstrance, lebka s korunou - pokušení mužského světce
11H(FRANCIS BORGIA)36|František Borgia, jezuitský kněz a vévoda z Gandie; možné atributy: kniha, vévodský klobouk, monstrance, lebka s korunou - pokání mužského světce
11H(FRANCIS BORGIA)37|František Borgia, jezuitský kněz a vévoda z Gandie; možné atributy: kniha, vévodský klobouk, monstrance, lebka s korunou - mužský světec meditující, v extázi
11H(FRANCIS BORGIA)4|František Borgia, jezuitský kněz a vévoda z Gandie; možné atributy: kniha, vévodský klobouk, monstrance, lebka s korunou - nezázračné činnosti a události ~ mužský světec
11H(FRANCIS BORGIA)5|František Borgia, jezuitský kněz a vévoda z Gandie; možné atributy: kniha, vévodský klobouk, monstrance, lebka s korunou - zázračné činnosti a události ~ mužský světec
11H(FRANCIS BORGIA)59|František Borgia, jezuitský kněz a vévoda z Gandie; možné atributy: kniha, vévodský klobouk, monstrance, lebka s korunou - stigmatizace mužského světce
11H(FRANCIS BORGIA)6|František Borgia, jezuitský kněz a vévoda z Gandie; možné atributy: kniha, vévodský klobouk, monstrance, lebka s korunou - mučednictví, utrpení, neštěstí, smrt mužského světce
11H(FRANCIS BORGIA)68|František Borgia, jezuitský kněz a vévoda z Gandie; možné atributy: kniha, vévodský klobouk, monstrance, lebka s korunou - smrt, smrtelné lože mužského světce
11H(FRANCIS BORGIA)69|František Borgia, jezuitský kněz a vévoda z Gandie; možné atributy: kniha, vévodský klobouk, monstrance, lebka s korunou - špatné zacházení s mrtvolou mužského světce
11H(FRANCIS BORGIA)7|František Borgia, jezuitský kněz a vévoda z Gandie; možné atributy: kniha, vévodský klobouk, monstrance, lebka s korunou - apoteóza, sláva, triumf mužského světce
11H(FRANCIS BORGIA)8|František Borgia, jezuitský kněz a vévoda z Gandie; možné atributy: kniha, vévodský klobouk, monstrance, lebka s korunou - posmrtný výskyt ~ mužský světec
11H(FRANCIS BORGIA)81|František Borgia, jezuitský kněz a vévoda z Gandie; možné atributy: kniha, vévodský klobouk, monstrance, lebka s korunou - nález, převoz relikvií mužského světce
11H(FRANCIS BORGIA)82|František Borgia, jezuitský kněz a vévoda z Gandie; možné atributy: kniha, vévodský klobouk, monstrance, lebka s korunou - zázraky se dějí při manipulaci s relikviemi mužského světce
11H(FRANCIS BORGIA)83|František Borgia, jezuitský kněz a vévoda z Gandie; možné atributy: kniha, vévodský klobouk, monstrance, lebka s korunou - posmrtné činy, zjevení mužských světců
11H(FRANCIS BORGIA)84|František Borgia, jezuitský kněz a vévoda z Gandie; možné atributy: kniha, vévodský klobouk, monstrance, lebka s korunou - blahořečení, kanonizace mužského světce
11H(FRANCIS BORGIA)9|František Borgia, jezuitský kněz a vévoda z Gandie; možné atributy: kniha, vévodský klobouk, monstrance, lebka s korunou - portrét mužského světce
11H(FRANCIS OF PAOLA)|poustevník a zakladatel (františkánského) řádu minimu František z Paoly; možné atributy: nápis "Charitas" na prsou, kázeň, lebka, hůl
11H(FRANCIS OF PAOLA)0|poustevník a zakladatel (františkánského) řádu minimu František z Paoly; možné atributy: nápis "Charitas" na prsou, kázeň, lebka, hůl - mužský světec zobrazený ve skupině
11H(FRANCIS OF PAOLA)1|poustevník a zakladatel (františkánského) řádu minimu František z Paoly; možné atributy: nápis "Charitas" na prsou, kázeň, lebka, hůl - specifické aspekty ~ mužský světec
11H(FRANCIS OF PAOLA)11|poustevník a zakladatel (františkánského) řádu minimu František z Paoly; možné atributy: nápis "Charitas" na prsou, kázeň, lebka, hůl - mužský světec jako patron, ochránce, přímluvce
11H(FRANCIS OF PAOLA)119|poustevník a zakladatel (františkánského) řádu minimu František z Paoly; možné atributy: nápis "Charitas" na prsou, kázeň, lebka, hůl - mužský světec chránící věřící pláštěm, "Schutzmantel"
11H(FRANCIS OF PAOLA)12|poustevník a zakladatel (františkánského) řádu minimu František z Paoly; možné atributy: nápis "Charitas" na prsou, kázeň, lebka, hůl - mužský světec píše, studuje, učí, diktuje (např. jako doktor církve)
11H(FRANCIS OF PAOLA)13|poustevník a zakladatel (františkánského) řádu minimu František z Paoly; možné atributy: nápis "Charitas" na prsou, kázeň, lebka, hůl - mužský světec jako zakladatel řádu
11H(FRANCIS OF PAOLA)131|poustevník a zakladatel (františkánského) řádu minimu František z Paoly; možné atributy: nápis "Charitas" na prsou, kázeň, lebka, hůl - mužský světec ~ potvrzení řádu, schválení řehole (řeholí)
11H(FRANCIS OF PAOLA)2|poustevník a zakladatel (františkánského) řádu minimu František z Paoly; možné atributy: nápis "Charitas" na prsou, kázeň, lebka, hůl - raný život mužského světce
11H(FRANCIS OF PAOLA)3|osobní zbožnost svatého Františka z Paoly
11H(FRANCIS OF PAOLA)31|osobní zbožnost svatého Františka z Paoly - povolání, obrácení mužského světce
11H(FRANCIS OF PAOLA)32|osobní úcta svatého Františka z Paoly - křest, zasvěcení, složení slibů mužského světce
11H(FRANCIS OF PAOLA)33|osobní zbožnost svatého Františka z Paoly - zřeknutí se světských statků, asketický život mužského světce
11H(FRANCIS OF PAOLA)34|františkovi z Paoly se zjevuje jeden nebo více andělů, kteří drží desku s nápisem "Charitas"
11H(FRANCIS OF PAOLA)35|osobní zbožnost svatého Františka z Paoly - pokušení mužského světce
11H(FRANCIS OF PAOLA)36|osobní zbožnost svatého Františka z Paoly - kajícnost mužského světce
11H(FRANCIS OF PAOLA)37|osobní pobožnost svatého Františka z Paoly - mužský světec meditující, v extázi
11H(FRANCIS OF PAOLA)4|poustevník a zakladatel (františkánského) řádu minimu František z Paoly; možné atributy: nápis "Charitas" na prsou, kázeň, lebka, hůl - nezázračné činnosti a události ~ mužský světec
11H(FRANCIS OF PAOLA)5|zázračné aktivity a události ~ svatý František z Paoly
11H(FRANCIS OF PAOLA)51|Svatý František z Paoly s několika společníky překračuje Messinskou úžinu, nesený na rozprostřeném plášti
11H(FRANCIS OF PAOLA)52|Svatý František z Paoly vzkřísil dítě z mrtvých
11H(FRANCIS OF PAOLA)53|Svatý František z Paoly levitoval nad davem lidí
11H(FRANCIS OF PAOLA)59|zázračné činnosti a události ~ svatý František z Paoly - stigmatizace mužského světce
11H(FRANCIS OF PAOLA)6|poustevník a zakladatel (františkánského) řádu minimu František z Paoly; možné atributy: nápis "Charitas" na prsou, kázeň, lebka, hůl - mučednictví, utrpení, neštěstí, smrt mužského světce
11H(FRANCIS OF PAOLA)68|poustevník a zakladatel (františkánského) řádu minimu František z Paoly; možné atributy: nápis "Charitas" na prsou, kázeň, lebka, hůl - smrt, smrtelné lože mužského světce
11H(FRANCIS OF PAOLA)69|poustevník a zakladatel (františkánského) řádu minimu František z Paoly; možné atributy: nápis "Charitas" na prsou, kázeň, lebka, hůl - špatné zacházení s mrtvolou mužského světce
11H(FRANCIS OF PAOLA)7|poustevník a zakladatel (františkánského) řádu minimu František z Paoly; možné atributy: nápis "Charitas" na prsou, kázeň, lebka, hůl - apoteóza, sláva, triumf mužského světce
11H(FRANCIS OF PAOLA)8|poustevník a zakladatel (františkánských) bratří minimů František z Paoly; možné atributy: nápis "Charitas" na prsou, kázeň, lebka, hůl - posmrtné výskyty ~ mužský světec
11H(FRANCIS OF PAOLA)81|poustevník a zakladatel (františkánských) bratří minimů František z Paoly; možné atributy: nápis "Charitas" na prsou, kázeň, lebka, hůl - nález, převoz ostatků mužského světce
11H(FRANCIS OF PAOLA)82|poustevník a zakladatel (františkánských) bratří minimů František z Paoly; možné atributy: nápis "Charitas" na prsou, kázeň, lebka, hůl - zázraky se dějí při manipulaci s ostatky mužského světce
11H(FRANCIS OF PAOLA)83|poustevník a zakladatel (františkánského) řádu minimu František z Paoly; možné atributy: nápis "Charitas" na prsou, kázeň, lebka, hůl - posmrtné skutky, zjevení mužských světců
11H(FRANCIS OF PAOLA)84|poustevník a zakladatel (františkánského) řádu minimu František z Paoly; možné atributy: nápis "Charitas" na prsou, kázeň, lebka, hůl - blahořečení, kanonizace mužského světce
11H(FRANCIS OF PAOLA)9|poustevník a zakladatel (františkánského) řádu minimu František z Paoly; možné atributy: nápis "Charitas" na prsou, kázeň, lebka, hůl - portrét mužského světce
11H(FRANCIS OF SALES)|ženevský biskup a doktor církve František Saleský; možné přívlastky: srdce propletené trním
11H(FRANCIS OF SALES)0|ženevský biskup a doktor církve František Saleský; možné atributy: srdce propletené trním - mužský světec zobrazený ve skupině
11H(FRANCIS OF SALES)1|ženevský biskup a doktor církve František Saleský; možné atributy: srdce propletené trním - specifické aspekty ~ mužský světec
11H(FRANCIS OF SALES)11|ženevský biskup a doktor církve František Saleský; možné atributy: srdce propletené trním - mužský světec jako patron, ochránce, přímluvce
11H(FRANCIS OF SALES)119|ženevský biskup a doktor církve František Saleský; možné atributy: srdce propletené trním - mužský světec chránící věřící pláštěm, "Schutzmantel"
11H(FRANCIS OF SALES)12|ženevský biskup a doktor církve František Saleský; možné atributy: srdce propletené trním - mužský světec píše, studuje, učí, diktuje (např. jako doktor církve)
11H(FRANCIS OF SALES)13|ženevský biskup a doktor církve František Saleský; možné atributy: srdce propletené trním - mužský světec jako zakladatel řádu
11H(FRANCIS OF SALES)131|ženevský biskup a doktor církve František Saleský; možné atributy: srdce propletené trním - mužský světec ~ potvrzení řádu, schválení řehole (řeholí)
11H(FRANCIS OF SALES)2|ženevský biskup a doktor církve František Saleský; možné přívlastky: srdce propletené trním - raný život mužského světce
11H(FRANCIS OF SALES)3|ženevský biskup a doktor církve František Saleský; možné atributy: srdce propletené trním - osobní zbožnost mužského světce
11H(FRANCIS OF SALES)31|ženevský biskup a doktor církve František Saleský; možné přívlastky: srdce propletené trním - povolání, obrácení mužského světce
11H(FRANCIS OF SALES)32|ženevský biskup a doktor církve František Saleský; možné atributy: srdce propletené trním - křest, svěcení, složení slibů mužského světce
11H(FRANCIS OF SALES)33|ženevský biskup a doktor církve František Saleský; možné atributy: srdce propletené trním - zřeknutí se světských statků, asketický život mužského světce
11H(FRANCIS OF SALES)34|ženevský biskup a doktor církve František Saleský; možné atributy: srdce propletené trním - vize, mystický sňatek mužského světce
11H(FRANCIS OF SALES)35|ženevský biskup a doktor církve František Saleský; možné atributy: srdce propletené trním - pokušení mužského světce
11H(FRANCIS OF SALES)36|ženevský biskup a doktor církve František Saleský; možné atributy: srdce propletené trním - kajícnost mužského světce
