4|Society, Civilization, Culture
42DD19|rozlučka se svobodou - DD - večírek pro ženy
42DD231|man abducting woman - DD - woman abducting man
42DD2311|wife-capture - DD - woman abducting man
42DD25|svatební hostina, svatební jídlo - DD - mimo domov
42DD251|příchod nevěsty a ženicha na svatební hostinu - DD - venku přede dveřmi
42DD252|svatební dort - DD - venku
42DD253|tanec na svatební hostině - DD - mimo domov
42DD254|oslava výročí svatby - DD - mimo domov
42DD2541|měděné výročí - DD - venku
42DD2542|stříbrné výročí - DD - venku
42DD2543|zlaté výročí - DD - venku
42DD2544|diamantové výročí - DD - mimo domov
42DD311|manželský pár nestejného věku - DD - žena starší
42DD3111|třetí strana (posměšná, nesouhlasná, rušivá atd.) ~ manželský pár nestejného věku - DD - žena starší
42DD312|manželský pár s nerovným majetkem - DD - žena bohatší
42DD3121|třetí strana (posměšná, nesouhlasná, rušivá atd.) ~ manželský pár s nerovným majetkem - DD - žena bohatší
42DD37|partner deceived - DD - deceived wife
42DD371|s nechtěnou třetí stranou - DD - podvedená manželka
42DD391|adulterer - DD - adulteress
42DD5|rozvod - DD - vdaná žena, kterou otec dal jinému muži, např. jejímu otci
42DD7|mistress - DD - cicisbeo
42DD71|concubine - DD - cicisbeo
42E|burial rites
42E1|příprava mrtvoly, márnice ~ pohřeb
42E11|mytí a oblékání mrtvoly
42E111|shroud
42E112|přikrytí mrtvoly
42E12|mrtvola uložená na mohylu
42E121|hearse-cloth, hearse-pall, 'pannus funeralis'
42E1211|funeral shield
42E122|ležící ve stavu
42E13|vigilie a smuteční obřady ~ pohřební obřady
42E131|truchlení nad mrtvými
42E132|lamentation (~ burial rites)
42E1321|wailing-women
42E14|uložení mrtvoly do rakve
42E141|coffin
42E142|umístění něčeho do rakve nebo na rakev, např. květin, snubního prstenu
42E1421|grave goods
42E15|balzamování, mumifikace mrtvoly
42E151|mummy
42E152|příprava částí těla
42E16|jiné formy úpravy mrtvoly
42E17|death-mask
42E18|funeral effigy
42E19|porušení mrtvoly
42E191|zohavení mrtvoly
42E192|výkon trestu na mrtvole
42E193|zbavení mrtvoly cenností nebo šatů
42E194|necrophily
42E2|funerary ceremonial
42E21|oznámení o úmrtí
42E211|ústní oznámení (úmrtí), hrobník
42E212|mourning card, death notice, obituary
42E213|memorial medal
42E214|funeral parlour
42E22|cortege, funeral procession
42E221|hearse, funeral car
42E222|funeral carriages
42E223|litter, coffin rest
42E224|'pleurants'
42E23|burial
42E231|otevření hrobu, exhumace
42E232|re-burial
42E24|adresa na otevřeném hrobě
42E241|funeral prayers
42E242|házení něčeho do otevřeného hrobu
42E25|body-burning, cremation
42E26|návrat z pohřbu
42E261|funeral repast, mourners' meal
42E27|mortuary specialists
42E271|undertaker, mortician
42E272|grave digger
42E273|cemetery guard
42E274|burial association
42E28|zničení majetku zemřelého (ženy, koně, sluhové atd. jsou zabiti po smrti pána)
42E281|osoba na smrtelné posteli, která má zničený svůj majetek
42E3|hroby, hrobky a jiné hrobové formy a náhrobky
42E31|grave, tomb
42E311|gravestone, tombstone
42E3111|upright gravestone
42E3112|flat, horizontal gravestone
42E3113|jiné druhy náhrobních značek, např. křížek
42E312|epitaph
42E32|niche-tomb, wall-tomb
42E321|hrob vyhloubený ve skále
42E33|sarcophagus
42E331|víko sarkofágu
42E34|urn
42E35|grave-building, monumental tomb
42E351|podobizna, "gisant" (portrétní postava na zavřené rakvi nebo v "castrum doloris"), transi
42E3511|effigies portraying half-decayed state
42E36|other memorial structures
42E361|needle, obelisk (marking grave)
42E362|column (marking grave)
42E363|pyramid (marking grave)
42E37|ancient grave forms
42E371|prehistoric grave forms
42E3711|burial mound
42E3712|megalithic chambered tomb, dolmen
42E372|historical grave forms
42E3721|mastaba
42E3722|pyramid (historical grave form)
42E3723|mausoleum
42E373|exotic burial customs
42E3731|tree-burial
42E3732|abandonment (exotic burial customs)
42E38|znaky, symboly a motivy v pohřebním umění
42E39|sham-grave, cenotaph
42E4|kult mrtvých
42E41|mourning customs
42E411|mourning dress
42E42|dirge
42E43|churchyard, cemetery
42E431|necropolis
42E4311|catacombs
42E432|churchyard (around church)
42E433|mass-grave
42E434|cemetery, park-like burying ground
42E435|charnelhouse, ossuary
42E44|péče o hrobové místo a jeho návštěva
42E441|položení květin nebo věnce na hrob
42E442|objev hrobky
42E45|'In memoriam'-card
42E49|znesvěcení hrobu
42E491|krádež mrtvoly z hrobu
42E4911|body-snatchers
42E5|sociální adaptace na smrt
42E51|nakládání s majetkem zemřelého
42E52|otevření a čtení závěti
42E53|přerozdělení nemovitostí
42E531|inheritance
42E5311|heirloom
42E532|heir
42E5321|quarrelling heirs
42E54|ustanovení o výživném pro manžela/manželku a děti
42E541|pojištění (zajištění výživy manžela/manželky a dětí)
42EE224|'pleurants' - EE - female
42F|vedení domácnosti; žena v domácnosti při práci
42F0|Economy; 'Economia', 'Providenza dell'annona' (Ripa)
42F1|housewife
42F11|hospodyně dává příkazy služebnictvu
42F12|žena v domácnosti kontroluje dům a zboží
42F13|housewife apportioning food
42F19|"Betty", "Molly" (muž, který se zabývá ženskými pracemi)
42F2|marketing, shopping (~ household management)
42F3|household chores
42F31|úklid (domu)
42F311|dusting
42F312|leštění (~ úklid domu)
42F313|window-cleaning
42F314|zametání (~ úklid domu)
42F32|(domácí) náčiní a nářadí
42F32(...)|(domácí) náčiní a nářadí (s NÁZVEM)
42F33|zakrytí postele
42F34|prostírání stolu
42F341|čekání u stolu
42F342|úklid stolu
42F35|péče o hospodářské budovy a pozemky
42F4|údržba a opravy obydlí
42F49|neglected dwelling
42F5|house personnel, servants
42F51|maid ~ house personnel
42F52|charwoman, cleaning woman
42F53|manservant, footman
42F54|butler
42F55|house-guard, doorkeeper, janitor
42F56|housekeeper
42F6|little household accidents
42F61|breaking something (household accident)
42F9|badly run house
42F91|a perfect shambles (nizozemsky: "huishouden van Jan Steen")
42F92|slovenly housewife, 'Vrou(w) Lor(t)s'
42G|family, relationship, descent
42G1|rodokmen, rodokmen, genealogický strom nebo tabulka
42G11|série portrétů předků, "Ahnengalerie
42G2|příbuzenské vztahy (první, druhý, třetí a čtvrtý stupeň), generace
42G21|first degree family relationships
42G211|parents (first degree family relationships)
42G2111|father (first degree family relationships)
42G2112|mother (first degree family relationships)
42G212|children (first degree family relationships)
42G2121|son (first degree family relationships)
42G2122|daughter (first degree family relationships)
42G22|second degree family relationships
42G221|grandparents (second degree family relationships)
42G2211|grandfather (second degree family relationships)
42G2212|grandmother (second degree family relationships)
42G222|sourozenci (příbuzenské vztahy druhého stupně)
42G2221|brothers (second degree family relationships)
42G2222|sisters (second degree family relationships)
42G223|grandchildren (second degree family relationships)
42G23|third degree family relationships
42G231|great-grandparents (third degree family relationships)
42G232|uncles, aunts (third degree family relationships)
42G233|nephews, nieces (third degree family relationships)
42G2331|nephews
42G2332|nieces
42G234|cousins (third degree family relationships)
42G235|great-grandchildren (third degree family relationships)
42G24|fourth degree family relationships
42G241|great-great grandparents (fourth degree family relationships)
42G242|great uncles, great aunts (fourth degree family relationships)
42G243|grand nephews, grand nieces (fourth degree family relationships)
42G244|second cousins (fourth degree family relationships)
42G245|great-great grandchildren (fourth degree family relationships)
42G29|incest
42Z|exotické a nemonogamní formy rodiny
42Z1|polygamy
42Z11|harem
42Z111|odalisque
42Z112|'le Bain turc'
42Z113|eunuch
42Z2|polyandry
42Z3|communal marriages
42Z31|'Weibergemeinschaft'
42Z32|rodinné nebo skupinové manželství ("Punalua")
43|recreation, amusement
43A|festivities
43A1|periodic celebrations, popular feasts
43A11|kalendářní svátky, neliturgické oslavy dnů, které patří do církevního kalendáře
43A12|neliturgické oslavy Vánoc, masopustu a Velikonoc
43A121|Christmas (non-liturgical celebration)
43A1211|Christmas tree
43A1212|Christmas decorations
43A1213|Father Christmas, Santa Claus, Christmas elf
43A1214|Christmas card
43A122|Carnival, Shrovetide (non-liturgical celebration)
43A1221|loď bláznů
43A1222|Shrove Thursday, 'Jeudi gras'
43A1223|Quinquagesima
43A1224|Masopustní úterý, "Mardi gras" ~ neliturgické oslavy masopustu
43A123|Easter (non-liturgical celebration)
43A1231|Easter egg
43A12311|šperky ve tvaru velikonočního vajíčka
43A1232|prize-ox
43A12321|předvádění v okolí ceny-ox
43A1233|Easter rabbit
43A13|slavnosti spojené se sezónními činnostmi
43A131|vernal festivities, spring celebrations
43A1311|tanec kolem májky
43A13111|maypole
43A132|harvest festivities
43A14|slavnosti připadající na kalendářní dny; pamětní dny
43A141|January 1 (~ festivities)
43A1411|New Year's Eve (December 31)
43A142|April 1 (~ festivities)
43A143|May 1 (~ festivities)
43A144|Dvanáctá noc, která obvykle připadá na předvečer 6. ledna
43A145|Saints-day festivities (non-liturgical)
43A1451|oslavy Mikuláše (5. prosince)
43A1452|Halloween, All Hallow's Eve (October 31)
43A1453|St. Martin's Day (November 11)
43A1454|St. Patrick's Day (March 17)
43A146|další slavnosti spojené s kalendářními daty; památné dny
43A146(...)|další slavnosti spojené s kalendářními daty; památné dny (s DATEM)
43A2|private festivities, merry company
43A21|reception, cocktail party
43A22|commemoration, jubilee
43A23|ball, formal dance
43A3|pouť a cirkus
43A31|merry-go-round, roundabout; chair o'plane
43A311|giant wheel, Ferris wheel
43A32|zábava s automobily apod. (pouťové atrakce)
43A321|roller-coaster
43A322|collision cars, bumper cars
43A323|switchback, scenic railway
43A33|cvičení zručnosti a síly (~ poutě)
43A331|shooting gallery, miniature rifle range (~ pleasure fair)
43A332|try-your-strength machine
43A34|jiné druhy zábavy
43A341|sál s křivými zrcadly
43A342|diorama
43A343|panorama, cyclorama
43A344|peep-show
43A345|loterijní stánek (na veletrhu zábavy)
43A346|freak show
43A3461|human monstrosities ~ freak show
43A3462|animal monstrosities ~ freak show
43A3463|unusual objects (plants, stones, etc.) ~ freak show
43A35|představení pod širým nebem (zábavní veletrh)
43A351|představení ve stanech (veletrh zábavy)
43A352|přitahování veřejnosti
43A36|circus
43A361|circus tent (outside)
43A362|vchod do cirkusového stanu
43A363|circus tent (inside)
43A3631|circus ring
43A37|show; pouťoví a cirkusoví umělci
43A371|šéf, ředitel (cirkusu)
43A3711|ringmaster
43A372|acrobat ~ circus
43A3721|tight-ropewalker
43A3722|trapeze acrobat
43A3723|equilibrist
43A3724|knife-thrower
43A3725|gunman, crack shot
43A3726|contortionist
43A3727|escapologist
43A3728|fire-eater
43A373|clown
43A3731|Simple Simon, 'Hanswurst'
43A374|cirkusová představení s cvičenými zvířaty (opice, sloni, medvědi, lvi a tygři, koně, psi, delfíni, tuleni, blechy)
43A3741|monkeys (circus performance)
43A3742|elephants (circus performance)
43A3743|bears (circus performance)
43A3744|lvi a tygři (cirkusové představení)
43A3745|horses (circus performance)
43A3746|dogs (circus performance)
43A3747|dolphins (circus performance)
43A3748|seals (circus performance)
43A3749|flea-circus
43A375|illusionist, conjurer, juggler, 'legerdemain'
43A3751|ventriloquist
43A376|věštkyně ~ pouť a cirkus
43A38|cirkus nebo veletrh "na cestě
43A381|stavění stanů (cirkusových nebo pouťových "na cestě")
43A382|sundávání stanů (cirkus nebo pouť "na cestě")
43A4|public festivities
43A41|radost při zvláštních příležitostech
43A411|oslavy událostí celostátního významu
43A412|veřejné slavnosti u příležitosti královských událostí
43A4121|veřejné slavnosti při sňatku královských osob
43A4122|veřejné slavnosti při narození královských osob
43A4123|veřejné oslavy při jiných královských událostech, které nejsou určeny nebo zmíněny výše
43A42|triumfální vjezd a veřejná recepce, přehlídka, "entrée solennelle", "joyeuse entrée"
43A421|chariot, triumphal car
43A4211|Roman chariot, quadriga ~ triumph
43A4212|float ~ triumph
43A422|triumphal arch
43A423|other decorative structures (~ triumphal entry, etc.)
43A424|rozptyl peněz (~ triumfální vjezd atd.)
43A4241|mince ražené speciálně pro tuto příležitost (triumfální vjezd apod.) (nizozemsky "strooipenningen")
43A425|výzdoba a osvětlení ulic, náměstí atd. (~ triumfální vjezd atd.)
43A426|confetti, ticker-tape, etc. (~ triumphal entry, etc.)
43A43|triumfy (alegorické a symbolické)
43A431|"Trionfi" (Petrarky)
43A4311|'Trionfi d'Amore', 'Triumphus Cupidinis'; 'Carro d'amore' (Ripa)
43A4312|'Trionfo della Castità', 'Triumphus Pudicitiae'; 'Carro della castità' (Ripa)
43A4313|'Trionfo della Morte', 'Triumphus Mortis'; 'Carro della morte' (Ripa)
43A4314|'Trionfo della Fama', 'Triumphus Famae'; 'Carro della Fama' (Ripa)
43A4315|'Trionfo del Tempo', 'Triumphus Temporis'; 'Carro del Tempo' (Ripa)
43A4316|'Trionfo della Divinità', 'Triumphus Aeternitatis'; 'Carro della Divinità'
43A432|symbolická vítězství jednotlivých osob
43A4321|apoteóza (nebo vzestup) jednotlivců
43A433|korunování vavřínem
43A44|bonfire, fire-works
43A45|public disgrace
43A46|aktivity ve vzduchu ~ veřejné slavnosti, např. přelet letadla
43A49|public funeral
43A491|catafalque, 'castrum doloris' (~ public funeral)
43AA2|soukromé oslavy, veselá společnost - AA - pod širým nebem, "fête champêtre
43AA21|recepce, koktejl - AA - pod širým nebem, "fête champêtre
43AA22|vzpomínkové akce, jubilea - AA - pod širým nebem, "fête champêtre
43AA23|ples, slavnostní tanec - AA - pod širým nebem, "fête champêtre
43AA376|věštkyně ~ pouť a cirkus - AA - věštkyně (žena)
43AA4|veřejné slavnosti - AA - slavnosti na vodě
43AA41|radost při zvláštních příležitostech - AA - slavnosti na vodě
43AA411|slavnosti při událostech celostátního významu - AA - slavnosti na vodě
43AA412|veřejné slavnosti u příležitosti královských událostí - AA - slavnosti na vodě
43AA4121|veřejné slavnosti při svatbě královských osob - AA - slavnosti na vodě
43AA4122|veřejné slavnosti při narození královských osobností - AA - slavnosti na vodě
43AA4123|veřejné slavnosti při jiných královských událostech, které nejsou určeny nebo uvedeny výše - AA - slavnosti na vodě
43AA42|triumfální vjezd a veřejná recepce, přehlídka, "entrée solennelle", "joyeuse entrée" - AA - slavnosti na vodě
43AA422|triumfální oblouk - AA - slavnosti na vodě
43AA423|další dekorativní stavby (~ triumfální vjezd atd.) - AA - slavnosti na vodě
43AA424|rozsypání peněz (~ triumfální vjezd atd.) - AA - slavnosti na vodě
43AA425|výzdoba a osvětlení ulic, náměstí atd. (~ triumfální vjezd atd.) - AA - slavnosti na vodě
43AA426|konfety, pásky apod. (~ triumfální vjezd apod.) - AA - slavnosti na vodě
43AA43|triumfy (alegorické a symbolické) - AA - na vodě, 'triomphe marin'
43AA431|"Trionfi" (Petrarky) - AA - na vodě, "triomphe marin"
43AA4311|'Trionfi d'Amore', 'Triumphus Cupidinis'; 'Carro d'amore' (Ripa) - AA - na vodě, 'triomphe marin'
43AA4312|"Trionfo della Castità", "Triumphus Pudicitiae"; "Carro della castità" (Ripa) - AA - na vodě, "triomphe marin
43AA4313|"Trionfo della Morte", "Triumphus Mortis"; "Carro della morte" (Ripa) - AA - na vodě, "triomphe marin
43AA4314|'Trionfo della Fama', 'Triumphus Famae'; 'Carro della Fama' (Ripa) - AA - na vodě, 'triomphe marin'
43AA4315|'Trionfo del Tempo', 'Triumphus Temporis'; 'Carro del Tempo' (Ripa) - AA - na vodě, 'triomphe marin'
43AA4316|"Trionfo della Divinità", "Triumphus Aeternitatis"; "Carro della Divinità" - AA - na vodě, "triomphe marin"
43AA432|symbolické triumfy jednotlivých osob - AA - na vodě, "triomphe marin"
43AA4321|apoteóza (nebo vzestup) jednotlivce - AA - na vodě, "triomphe marin"
43AA433|korunování vavřínem - AA - na vodě, "triomphe marin
43AA44|táborák, ohňostroj - AA - slavnosti na vodě
43AA46|aktivity ve vzduchu ~ veřejné slavnosti, např. přelet - AA - slavnosti na vodě
43AA49|veřejný pohřeb - AA - slavnosti na vodě
43AA491|catafalque, 'castrum doloris' (~ veřejný pohřeb) - AA - slavnosti na vodě
43B|recreation
43B1|enjoying nature
43B11|contemplating nature
43B12|picnic, alfresco, 'déjeuner sur l'herbe'
43B121|outdoor gathering, 'délices à la campagne'
43B13|walking, hiking (recreation)
43B131|riding, cycling (recreation)
43B14|radost z přírody ~ rostliny, byliny a květiny
43B141|botanizing
43B142|mushroom-hunting
43B143|gathering herbs
43B144|picking flowers
43B15|enjoying nature ~ animals
43B151|hunting butterflies
43B16|mountain climbing, mountaineering
43B17|exploring caves
43B2|open-air recreation
43B21|pleasure-resort
43B3|indoor recreation
43B31|inn, coffee-house, public house, etc.
43B311|restaurant
43B312|tea garden, garden restaurant
43B313|chodník, terasa před hostincem nebo restaurací
43B314|pub sign, inn sign
43B32|club, meeting place
43B33|casino
43B331|gaming den, gambling den
43B34|night-club, dance-hall
43B4|les a park (jako místa rekreace)
43B41|hraní v lese
43B411|lezení po stromě
43B412|pád ze stromu
43B42|park
43B421|bandstand
43B5|pláž (jako místo rekreace)
43B51|ve vodě nebo u vody (na pláži)
43B52|opalování (na pláži)
43B53|(building) sand-castle
43B54|jízda na oslu (na pláži)
43B55|rekreace v dunách
43B6|playground
43B61|playground equipment
43B61(...)|vybavení dětského hřiště (s NÁZVEM)
43B611|swing
43B612|slide, chute
43B613|seesaw
43B7|zoologická zahrada (jako místo rekreace)
43B8|collection, exhibition, show
43C|sporty, hry a tělesné výkony
43C1|sports, games ~ animals
43C11|hunting, chase
43C111|game, hunted animals
43C1111|skupina různých lovených zvířat
43C1112|hunt ~ mammals
43C11121|skupina různých lovených savců
43C11122|monkey hunting
43C11123|hunt ~ predatory animals (fox, lion)
43C111231|fox hunting
43C1112311|liška a psi
43C111232|lion hunt
43C1112321|lovec bojuje se lvem
43C11124|hunt ~ hoofed animals
43C111241|stag-hunting
43C111242|roe-hunting
43C111243|boar-hunting
43C11125|hunt ~ trunked animals
43C11126|hunt ~ rodents
43C111261|hare-hunting, rabbit-hunting
43C11127|hunt ~ marine mammals
43C11128|hunt ~ other mammals
43C1113|bird hunting
43C1114|hunt ~ other animals
43C112|hunting accidents
43C1121|hunted animal attacking man
43C113|kořist z lovu, zvěřina, zvěřina
43C1131|zabíjení (~ lov)
43C11311|hunting trophies
43C1132|lovec vystavující nebo prezentující kořist z lovu
43C114|hunter
43C1141|assembling, 'départ pour la chasse'
43C1142|hunters hunting
43C11421|lovci odpočívající během lovu
43C1143|beaters (~ hunt)
43C1144|troubení na lovecký roh
43C1145|'halali' (~ hunt)
43C1146|skupinový portrét lovců
43C1147|hunting dogs
43C11471|lovecké psy vedle kořisti
43C1148|hunting accoutrement
43C11481|game bag
43C11482|hunting horn
43C1149|návrat z lovu
43C11491|hunting-seat, hunting lodge, 'rendez-vous de chasse', 'Jagdschloss'
43C115|hledání hry
43C1151|catching animals
43C1152|observing animals ~ hunting
43C11521|photographing, filming animals
43C116|hunting-ground
43C1161|hraniční sloupek loveckého revíru
43C1162|lovecké stanoviště, úkryt, skrýš; často maskovaný; pro nepozorované pozorování a střelbu
43C11621|"vysoký posed", lovecký stojan na vyvýšené plošině
43C116211|stojan na stromě, lovecký stojan na stromě
43C11622|lovecké stanoviště na úrovni terénu, pozemní roleta
43C117|gamekeeper
43C118|poacher
43C12|fishing (sports)
43C121|angling
43C128|fisherman
43C1281|fisherman showing catch
43C13|fowling, fowler
43C131|finch trap, finchery
43C132|duck decoy
43C14|trápení zvířat ~ sport a rekreace
43C141|skupina různých týraných zvířat
43C142|trápení savců ~ sport a rekreace
43C1421|mazlení kočky, "kočka v sudu
43C1422|bullfight
43C14221|bull-fighter, toreador
43C1423|bear-baiting
43C143|trápení ptáků ~ sport a rekreace (kohout, husa)
43C1431|cock-fighting
43C1432|"pull-the-goose
43C144|tormenting reptiles
43C145|tormenting amphibians
43C146|tormenting fish
43C1461|"pull-the-eel
43C2|sporty, hry a fyzické výkony ~ rychlost
43C21|sporty apod. na souši
43C211|running, race
43C2111|(běh, závod) na trati s překážkami, překážkový závod
43C2112|cross-country race
43C2113|walking race
43C212|závody na zvířecím koni
43C2121|horse-racing
43C21211|jockey
43C21212|racing stable
43C21213|race-track
43C2122|steeple chase, speed jumping
43C213|závodění na vozidle
43C2131|závody vozů (s koňmi)
43C21311|charioteer, 'auriga'
43C21312|závody vozů s dvoukolovým vozidlem, např.: vozem, sulky
43C21313|závody vozů se čtyřkolovým vozidlem
43C2132|bicycle racing
43C21321|bicycle tour, e.g.: 'Tour de France', 'Giro d'Italia'
43C2133|motorcycle racing
43C2134|motorcar racing
43C214|walking (as sport)
43C218|animal racing
43C2181|dogs (racing)
43C2182|pigeons (racing)
43C22|sporty na vodě a ve vodě
43C221|swimming (sport)
43C2211|diving (sport)
43C22111|deep-sea diving
43C222|waterskiing, surf-riding
43C223|rowing, canoeing, etc. (sport)
43C224|sailing (sport)
43C225|motorboat racing
43C23|sporty apod. ve vzduchu
43C231|flying races
43C232|plachtění (sporty ve vzduchu)
43C233|balloon flight (sport)
43C234|skoky padákem, parašutismus jako sport
43C24|winter sports
43C241|sledge, sleigh (winter sports)
43C242|bob-sled
43C243|small sleigh (winter sports)
43C244|skates (winter sports)
43C245|skis (winter sports)
43C2451|slalom (winter sports)
43C2452|ski-jumping
43C2453|ski-lift
43C246|ice-sailing (winter sports)
43C3|athletics, gymnastics
43C31|high-jumping (athletics, gymnastics)
43C311|pole-vaulting
43C312|skákání na trampolíně
43C32|long-jumping, broad-jumping
43C321|hop-skip-jump
43C33|javelin-throwing
43C34|shot-putting
43C35|discus-throwing
43C36|other athletic sport
43C361|weight lifting
43C37|gymnastická cvičení na zemi
43C371|gymnastická cvičení s tyčemi, činkami atd.
43C38|gymnastická cvičení s náčiním
43C381|rings (gymnastics)
43C382|horizontal bar (gymnastics)
43C383|vaulting horse (gymnastics)
43C384|parallel bars (gymnastics)
43C39|fighting contest (sport)
43C391|boxing (sport)
43C392|wrestling (sport)
43C393|jiu-jitsu, judo, etc.
43C394|fencing (sport)
43C3941|fencing foil
43C3942|sabre (~ fencing)
43C395|přetahování lanem
43C396|(medieval) fighting contest
43C3961|boj gladiátorů
43C39611|boj mezi člověkem a zvířetem
43C39612|boj mezi zvířaty, např. lvem a medvědem
43C3962|"pas d'armes" (souboj dvou skupin o průsmyk nebo most atd.)
43C3963|tournament
43C39631|joust, tilt
43C396311|klání, náklon, bez bariér
43C396312|klání, náklon, s bariérou
43C3964|další formy rytířských soutěží
43C39641|'Buhurt', 'Bouhourt' (medieval contest)
43C39642|'Quintaine' (medieval contest)
43C397|sport-tournament
43C3971|Olympijské hry v moderní době
43C3972|other athletic contests
43C4|dovednostní hry
43C41|ball games
43C411|soccer, football (early names: soule, choule, cholle)
43C4111|rugby, football
43C4112|American football
43C412|míčové hry, při kterých se používají ruce (týmová hra)
43C4121|handball
43C4122|basketball
43C4123|volley-ball
43C4124|water polo
43C413|míčové hry, při kterých se míč trefuje dřevěným předmětem (týmová hra)
43C4131|lacrosse
43C4132|hockey
43C41321|ice hockey
43C4133|pólo (na koních)
43C4134|cricket (ball game)
43C4135|baseball
43C4136|stick ball
43C414|míčové hry, při nichž se míč odpaluje nebo sráží holí (individuální hra)
43C4141|'maille' (ball game)
43C4142|golf
43C4143|'kolf' (ball game)
43C41431|"kolf" na ledě
43C4144|croquet
43C4145|billiards
43C415|míčové hry, při nichž se míč odpaluje raketou (nebo rukou)
43C4151|tennis, lawn-tennis
43C4152|table-tennis
43C4153|'jeu de Paume'
43C4154|'jeu de volant', badminton
43C4155|hra dlaní, hra s piškvorkami
43C416|míčové hry, při nichž se kutálí míč nebo mísa
43C4161|'jeu de boules'
43C4162|bowling
43C4163|házení míče přes kroužek na zemi
43C4164|ninepins, skittles
43C417|ball-throwing
43C4171|cup-and-ball, bilboquet
43C418|pinball, pinball machine
43C42|ostrá střelba (~ dovednostní hry)
43C421|střelba z luku a šípů, lukostřelba (~ dovednostní hry)
43C4211|střelba na ptáka (na vysoké tyči)
43C4212|champion-shot
43C422|střelba z revolveru nebo jiné ruční zbraně (~ dovednostní hry)
43C423|střelba z pušky, brokovnice nebo jiné dlouhé palné zbraně (~ dovednostní hry)
43C424|target (~ sharpshooting)
43C43|'jeu de tonneau'
43C431|házení disku do otvoru v sudu
43C432|hand shovel-board
43C44|yoyo
43C441|air top, diabolo, ďábel na dvou tyčích
43C45|naklánění v kruhu (~ dovednostní hry)
43C5|hry s výpočty a náhodou, např. karetní hry, hazardní hry, hlavolamy atd.
43C51|card games
43C511|card-sharp
43C512|playing-cards
43C5121|jolly joker
43C513|patience (card game)
43C52|board-games
43C521|chess
43C5211|chessmen
43C5212|muž a žena hrají šachy, žena vyhrává
43C522|backgammon, tric-trac
43C523|draughts
43C5231|draughtsmen
43C53|deskové hazardní hry
43C531|goose-game
43C532|monopoly (desková hazardní hra)
43C54|dominoes
43C55|dice-games
43C551|cheat (~ dice game)
43C552|dice
43C56|betting
43C561|sázení na sporty
43C562|roulette
43C57|tombola
43C58|raffle, lottery
43C581|drawing lots ~ betting
43C582|totalizator, pool
43C59|puzzle, riddle, conundrum, enigma
43C591|charade
43C592|cross-word puzzle
43C593|jig-saw puzzle
43C6|group games, party games
43C61|hra o propadnutí
43C62|musical chairs
43C63|společenské hry s erotickým podtextem, např. soutěž v líbání
43C631|hot cockles, 'haute coquilles', 'la main chaude' (party game)
43C64|žába uprostřed (společenská hra)
43C68|grown-ups playing children's games
43C69|drsné a těžké
43C7|dětské hry a představení
43C71|hry bez hracího materiálu
43C711|running games (children)
43C7111|simple running games
43C71111|running (~ game)
43C71112|catch (~ running game)
43C71113|"červený rover, červené světlo?" a související hry
43C7112|contest games
43C71121|brát zajatce ~ dětské hry
43C71122|převzít pozemek ~ dětské hry
43C71123|chytat, dotýkat se, ve skupinách ~ dětské hry
43C7113|hry na běhání a schovávání
43C71131|schovávačka
43C7114|běžecké hry hrané v kruhu
43C7115|provozování her s příběhovým prvkem
43C7116|Londýnský most a související obloukové a bridžové hry
43C7117|hadí nebo řetězové hry
43C71171|vlak (hadí nebo řetězové hry)
43C7118|whirling games, pinwheel
43C712|jumping games
43C7121|simple jumping games
43C7122|skokanský můstek a jeho varianty
43C7123|ahoj cockalorum a varianty
43C7124|hop-scotch
43C7125|varia (jumping games)
43C71251|tumbling, somersaults ~ jumping games
43C71252|stand on the head ~ skákací hry
43C71253|chůze po čtyřech ~ skákací hry
43C71254|spinning ~ jumping games
43C7126|ditch-over (jumping game)
43C71261|překonávání příkopu se skokanskou tyčí (hra se skoky)
43C713|dancing games (children's games)
43C7131|simple dances
43C7132|jumping-rope games
43C7133|taneční kroužky a tance na náměstí (dětské hry)
43C7134|row dancing (children's games)
43C714|throwing games
43C7141|simple throwing games
43C7142|throwing stones (throwing game)
43C7143|throwing sticks (throwing game)
43C7144|throwing coins (throwing game)
43C7145|throwing fruit (throwing game)
43C7146|ball games (children's games)
43C71461|ball games played by one person
43C71462|házení a chytání míče (dětské hry)
43C71463|odpalování míče holí apod. (dětská hra)
43C71464|kicking ball (children's games)
43C7147|bowling games (children's games)
43C7148|varia (throwing games)
43C71481|throwing rings, quoits, etc. (children's games)
43C715|hry s prsty a pěstmi
43C7151|simple hand games
43C71511|shadow pictures (~ hand games)
43C71512|hry s prsty a provázky (kočičí kolébka atd.)
43C7152|hry s tleskáním a plácáním
43C71521|skládání rukou nebo pěstí na sebe (dětské hry)
43C71522|bursting bags (children's game)
43C7153|hry s ukazováním a počítáním
43C7154|finger games
43C7155|finger-rhymes
43C716|trade games, imitative games, imitating adults
43C717|guessing games (children)
43C7171|simple guessing games
43C7172|lovecké hry (hledání skrytých objektů)
43C71721|po stopě (~ lovecké hry)
43C7173|divination games, fortune-telling games
43C7174|drawing lots ~ children's games
43C7175|blindfold games
43C71751|blind-man's buff
43C718|swinging games
43C7181|swinging (children's game)
43C7182|houpání kolébky (dětská hra)
43C7183|knee-riding
43C7184|carrying games
43C71841|pick-a-back, piggyback
43C719|rvačka; boj
43C72|games using special objects (marbles, top, hoop, etc.)
