4|Społeczeństwo, Cywilizacja, Kultura
#42E192|execution of punishment on corpse
#42E193|despoiling corpse of its valuables or vestments
#42E194|necrophily
42E2|ceremoniał pogrzebowy
42E21|ogłoszenie zgonu
#42E211|oral announcement (of death), undertaker's man
#42E212|mourning card, death notice, obituary
#42E213|memorial medal
#42E214|funeral parlour
42E22|kondukt, procesja pogrzebowa
#42E221|hearse, funeral car
#42E222|funeral carriages
#42E223|litter, coffin rest
#42E224|'pleurants'
42E23|pochówek
#42E231|opening of grave, exhumation
#42E232|re-burial
42E24|wystąpienie nad otwartym grobem
42E241|modlitwy pogrzebowe
42E242|składanie rzeczy w otwartym grobie
42E25|spopielenie zwłok, kremacja
42E26|powrót z pogrzebu
#42E261|funeral repast, mourners' meal
42E27|zawody związane z pogrzebem
#42E271|undertaker, mortician
#42E272|grave digger
#42E273|cemetery guard
#42E274|burial association
42E28|niszczenie własności zmarłego (kobiety, konie, słudzy itd. są zabijani po śmierci pana)
#42E281|person on deathbed having his possessions destroyed
#42E3|grave, tomb and other grave-forms and grave-markers
#42E31|grave, tomb
#42E311|gravestone, tombstone
#42E3111|upright gravestone
#42E3112|flat, horizontal gravestone
#42E3113|other kinds of grave-markers, e.g. cross
#42E312|epitaph
#42E32|niche-tomb, wall-tomb
#42E321|grave hollowed out of rock
#42E33|sarcophagus
#42E331|lid of sarcophagus
#42E34|urn
#42E35|grave-building, monumental tomb
#42E351|effigy, 'gisant' (portrait-figure on closed coffin or in 'castrum doloris'), transi
#42E3511|effigies portraying half-decayed state
#42E36|other memorial structures
#42E361|needle, obelisk (marking grave)
#42E362|column (marking grave)
#42E363|pyramid (marking grave)
#42E37|ancient grave forms
#42E371|prehistoric grave forms
#42E3711|burial mound
#42E3712|megalithic chambered tomb, dolmen
#42E372|historical grave forms
#42E3721|mastaba
#42E3722|pyramid (historical grave form)
#42E3723|mausoleum
#42E373|exotic burial customs
#42E3731|tree-burial
#42E3732|abandonment (exotic burial customs)
#42E38|signs, symbols and motifs in funerary art
#42E39|sham-grave, cenotaph
#42E4|cult of the dead
#42E41|mourning customs
#42E411|mourning dress
#42E42|dirge
#42E43|churchyard, cemetery
#42E431|necropolis
#42E4311|catacombs
#42E432|churchyard (around church)
#42E433|mass-grave
#42E434|cemetery, park-like burying ground
#42E435|charnelhouse, ossuary
#42E44|care and visitation of burial place
#42E441|laying flowers or wreath on grave
#42E442|discovery of tomb
#42E45|'In memoriam'-card
#42E49|desecration of grave
#42E491|stealing the corpse from the grave
#42E4911|body-snatchers
#42E5|social readjustments to death
#42E51|disposition of the possessions of the deceased
#42E52|opening and reading of testament
#42E53|redistribution of properties
#42E531|inheritance
#42E5311|heirloom
#42E532|heir
#42E5321|quarrelling heirs
#42E54|provisions for support of spouse and children
#42E541|insurance (provision for support of spouse and children)
#42EE224|'pleurants' - EE - female
42F|utrzymanie domu; gospodyni przy pracy
#42F0|Economy; 'Economia', 'Providenza dell'annona' (Ripa)
#42F1|housewife
#42F11|housewife giving orders to servants
#42F12|housewife inspecting house and goods
#42F13|housewife apportioning food
#42F19|'Betty', 'Molly' (man who engages in women's work)
#42F2|marketing, shopping (~ household management)
#42F3|household chores
#42F31|cleaning (the house)
#42F311|dusting
#42F312|polishing (~ cleaning the house)
#42F313|window-cleaning
#42F314|sweeping (~ cleaning the house)
#42F32|(household) utensils and implements
#42F32(...)|(household) utensils and implements (with NAME)
#42F33|covering up a bed
#42F34|laying the table
#42F341|waiting at table
#42F342|clearing the table
#42F35|care of outbuildings and grounds
#42F4|maintenance and repairs of dwelling
#42F49|neglected dwelling
#42F5|house personnel, servants
#42F51|maid ~ house personnel
#42F52|charwoman, cleaning woman
#42F53|manservant, footman
#42F54|butler
#42F55|house-guard, doorkeeper, janitor
#42F56|housekeeper
#42F6|little household accidents
#42F61|breaking something (household accident)
#42F9|badly run house
#42F91|a perfect shambles (Dutch: 'huishouden van Jan Steen')
#42F92|slovenly housewife, 'Vrou(w) Lor(t)s'
42G|rodzina, pokrewieństwo, potomkowie
#42G1|family lineage, pedigree, genealogical tree or table
#42G11|series of ancestral portraits, 'Ahnengalerie'
#42G2|family relationships (first, second, third and fourth degree), generations
#42G21|first degree family relationships
#42G211|parents (first degree family relationships)
#42G2111|father (first degree family relationships)
#42G2112|mother (first degree family relationships)
#42G212|children (first degree family relationships)
#42G2121|son (first degree family relationships)
#42G2122|daughter (first degree family relationships)
#42G22|second degree family relationships
#42G221|grandparents (second degree family relationships)
#42G222|brothers or sisters (second degree family relationships)
#42G2221|brothers (second degree family relationships)
#42G2222|sisters (second degree family relationships)
#42G223|grandchildren (second degree family relationships)
#42G23|third degree family relationships
#42G231|great-grandparents (third degree family relationships)
#42G232|uncles, aunts (third degree family relationships)
#42G233|nephews, nieces (third degree family relationships)
#42G2331|nephews
#42G2332|nieces
#42G234|cousins (third degree family relationships)
#42G235|great-grandchildren (third degree family relationships)
#42G24|fourth degree family relationships
#42G241|great-great grandparents (fourth degree family relationships)
#42G242|great uncles, great aunts (fourth degree family relationships)
#42G243|grand nephews, grand nieces (fourth degree family relationships)
#42G244|second cousins (fourth degree family relationships)
#42G245|great-great grandchildren (fourth degree family relationships)
#42G29|incest
42Z|egzotyczne i niemonogamiczne formy rodziny
#42Z1|polygamy
#42Z11|harem
#42Z111|odalisque
#42Z112|'le Bain turc'
#42Z113|eunuch
#42Z2|polyandry
#42Z3|communal marriages
#42Z31|'Weibergemeinschaft'
#42Z32|family or group marriage ('Punalua')
43|wypoczynek, rozrywka
43A|uroczystości
#43A1|periodic celebrations, popular feasts
#43A11|calendar festivals, non-liturgical celebrations of days belonging to the ecclesiastical calendar
#43A12|non-liturgical celebrations of Christmas, carnival and Easter
#43A121|Christmas (non-liturgical celebration)
#43A1211|Christmas tree
#43A1212|Christmas decorations
#43A1213|Father Christmas, Santa Claus, Christmas elf
#43A1214|Christmas card
#43A122|Carnival, Shrovetide (non-liturgical celebration)
#43A1221|ship of fools
#43A1222|Shrove Thursday, 'Jeudi gras'
#43A1223|Quinquagesima
#43A1224|Shrove Tuesday, 'Mardi gras' ~ non-liturgical celebrations of carnival
#43A123|Easter (non-liturgical celebration)
#43A1231|Easter egg
#43A12311|jewelry in the shape of an Easter egg
#43A1232|prize-ox
#43A12321|showing around the prize-ox
#43A1233|Easter rabbit
#43A13|festivities connected with seasonal activities
#43A131|vernal festivities, spring celebrations
#43A1311|dancing around the maypole
#43A13111|maypole
#43A132|harvest festivities
#43A14|festivities falling on calendar dates; memorial days
#43A141|January 1 (~ festivities)
#43A1411|New Year's Eve (December 31)
#43A142|April 1 (~ festivities)
#43A143|May 1 (~ festivities)
#43A144|Twelfth Night, usually falling on the eve of January 6
#43A145|Saints-day festivities (non-liturgical)
#43A1451|festivities on St. Nicholas (Eve) (December 5)
#43A1452|Halloween, All Hallow's Eve (October 31)
#43A1453|St. Martin's Day (November 11)
#43A1454|St. Patrick's Day (March 17)
#43A146|other festivities connected to calendar dates; memorial days
#43A146(...)|other festivities connected to calendar dates; memorial days (with DATE)
#43A2|private festivities, merry company
#43A21|reception, cocktail party
#43A22|commemoration, jubilee
#43A23|ball, formal dance
#43A3|pleasure fair and circus
#43A31|merry-go-round, roundabout; chair o'plane
#43A311|giant wheel, Ferris wheel
#43A32|amusement with cars, etc. (pleasure fair)
#43A321|roller-coaster
#43A322|collision cars, bumper cars
#43A323|switchback, scenic railway
#43A33|exercise of skill and strength (~ pleasure fair)
#43A331|shooting gallery, miniature rifle range (~ pleasure fair)
#43A332|try-your-strength machine
#43A34|other kinds of amusement
#43A341|hall with distorting mirrors
#43A342|diorama
#43A343|panorama, cyclorama
#43A344|peep-show
#43A345|lottery booth (on pleasure fair)
#43A346|freak show
#43A3461|human monstrosities ~ freak show
#43A3462|animal monstrosities ~ freak show
#43A3463|unusual objects (plants, stones, etc.) ~ freak show
#43A35|performance in the open air (pleasure fair)
#43A351|performance in tents (pleasure fair)
#43A352|drumming-up the public
#43A36|circus
#43A361|circus tent (outside)
#43A362|entrance of circus tent
#43A363|circus tent (inside)
#43A3631|circus ring
#43A37|the show; fair and circus performers
#43A371|boss, director (of circus)
#43A3711|ringmaster
#43A372|acrobat ~ circus
#43A3721|tight-ropewalker
#43A3722|trapeze acrobat
#43A3723|equilibrist
#43A3724|knife-thrower
#43A3725|gunman, crack shot
#43A3726|contortionist
#43A3727|escapologist
#43A3728|fire-eater
#43A373|clown
#43A3731|Simple Simon, 'Hanswurst'
#43A374|circus performance with trained animals (monkeys, elephants, bears, lions and tigers, horses, dogs, dolphins, seals, fleas)
#43A3741|monkeys (circus performance)
#43A3742|elephants (circus performance)
#43A3743|bears (circus performance)
#43A3744|lions and tigers (circus performance)
#43A3745|horses (circus performance)
#43A3746|dogs (circus performance)
#43A3747|dolphins (circus performance)
#43A3748|seals (circus performance)
#43A3749|flea-circus
#43A375|illusionist, conjurer, juggler, 'legerdemain'
#43A3751|ventriloquist
#43A376|fortune-teller ~ pleasure fair and circus
#43A38|circus or fair 'en route'
#43A381|setting up the tents (circus or fair 'en route')
#43A382|taking down the tents (circus or fair 'en route')
43A4|uroczystości publiczne
#43A41|rejoicing on special occasions
#43A411|festivities on events of national importance
#43A412|public festivities on the occasion of royal events
#43A4121|public festivities at marriage of royal persons
#43A4122|public festivities at birth of royal persons
#43A4123|public festivities at other royal events, not meant or mentioned above
#43A42|triumphal entry and public reception, pageant, 'entrée solennelle', 'joyeuse entrée'
#43A421|chariot, triumphal car
#43A4211|Roman chariot, quadriga ~ triumph
#43A4212|float ~ triumph
#43A422|triumphal arch
#43A423|other decorative structures (~ triumphal entry, etc.)
#43A424|scattering of money (~ triumphal entry, etc.)
#43A4241|coins specially minted for the occasion (triumphal entry, etc.) (Dutch: 'strooipenningen')
#43A425|decoration and illumination of streets, squares, etc. (~ triumphal entry, etc.)
#43A426|confetti, ticker-tape, etc. (~ triumphal entry, etc.)
#43A43|triumphs (allegorical and symbolic)
#43A431|'Trionfi' (of Petrarch)
#43A4311|'Trionfi d'Amore', 'Triumphus Cupidinis'; 'Carro d'amore' (Ripa)
#43A4312|'Trionfo della Castità', 'Triumphus Pudicitiae'; 'Carro della castità' (Ripa)
#43A4313|'Trionfo della Morte', 'Triumphus Mortis'; 'Carro della morte' (Ripa)
#43A4314|'Trionfo della Fama', 'Triumphus Famae'; 'Carro della Fama' (Ripa)
#43A4315|'Trionfo del Tempo', 'Triumphus Temporis'; 'Carro del Tempo' (Ripa)
#43A4316|'Trionfo della Divinità', 'Triumphus Aeternitatis'; 'Carro della Divinità'
#43A432|symbolic triumphs of individual persons
#43A4321|apotheosis (or ascension) of individuals
#43A433|crowning with laurel
#43A44|bonfire, fire-works
#43A45|public disgrace
#43A46|activities in the air ~ public festivities, e.g. fly-past
43A49|publiczny pogrzeb
43A491|katafalk, 'castrum doloris' (~ publiczny pogrzeb)
#43AA2|private festivities, merry company - AA - in the open air, 'fête champêtre'
#43AA21|reception, cocktail party - AA - in the open air, 'fête champêtre'
#43AA22|commemoration, jubilee - AA - in the open air, 'fête champêtre'
#43AA23|ball, formal dance - AA - in the open air, 'fête champêtre'
#43AA376|fortune-teller ~ pleasure fair and circus - AA - fortune-teller (female)
#43AA4|public festivities - AA - festivities on the water
#43AA41|rejoicing on special occasions - AA - festivities on the water
#43AA411|festivities on events of national importance - AA - festivities on the water
#43AA412|public festivities on the occasion of royal events - AA - festivities on the water
#43AA4121|public festivities at marriage of royal persons - AA - festivities on the water
#43AA4122|public festivities at birth of royal persons - AA - festivities on the water
#43AA4123|public festivities at other royal events, not meant or mentioned above - AA - festivities on the water
#43AA42|triumphal entry and public reception, pageant, 'entrée solennelle', 'joyeuse entrée' - AA - festivities on the water
#43AA422|triumphal arch - AA - festivities on the water
#43AA423|other decorative structures (~ triumphal entry, etc.) - AA - festivities on the water
#43AA424|scattering of money (~ triumphal entry, etc.) - AA - festivities on the water
#43AA425|decoration and illumination of streets, squares, etc. (~ triumphal entry, etc.) - AA - festivities on the water
#43AA426|confetti, ticker-tape, etc. (~ triumphal entry, etc.) - AA - festivities on the water
#43AA43|triumphs (allegorical and symbolic) - AA - on the water, 'triomphe marin'
#43AA431|'Trionfi' (of Petrarch) - AA - on the water, 'triomphe marin'
#43AA4311|'Trionfi d'Amore', 'Triumphus Cupidinis'; 'Carro d'amore' (Ripa) - AA - on the water, 'triomphe marin'
#43AA4312|'Trionfo della Castità', 'Triumphus Pudicitiae'; 'Carro della castità' (Ripa) - AA - on the water, 'triomphe marin'
#43AA4313|'Trionfo della Morte', 'Triumphus Mortis'; 'Carro della morte' (Ripa) - AA - on the water, 'triomphe marin'
#43AA4314|'Trionfo della Fama', 'Triumphus Famae'; 'Carro della Fama' (Ripa) - AA - on the water, 'triomphe marin'
#43AA4315|'Trionfo del Tempo', 'Triumphus Temporis'; 'Carro del Tempo' (Ripa) - AA - on the water, 'triomphe marin'
#43AA4316|'Trionfo della Divinità', 'Triumphus Aeternitatis'; 'Carro della Divinità' - AA - on the water, 'triomphe marin'
#43AA432|symbolic triumphs of individual persons - AA - on the water, 'triomphe marin'
#43AA4321|apotheosis (or ascension) of individuals - AA - on the water, 'triomphe marin'
#43AA433|crowning with laurel - AA - on the water, 'triomphe marin'
#43AA44|bonfire, fire-works - AA - festivities on the water
#43AA46|activities in the air ~ public festivities, e.g. fly-past - AA - festivities on the water
#43AA49|public funeral - AA - festivities on the water
#43AA491|catafalque, 'castrum doloris' (~ public funeral) - AA - festivities on the water
43B|wypoczynek
#43B1|enjoying nature
#43B11|contemplating nature
#43B12|picnic, alfresco, 'déjeuner sur l'herbe'
#43B121|outdoor gathering, 'délices à la campagne'
#43B13|walking, hiking (recreation)
#43B131|riding, cycling (recreation)
#43B14|enjoying nature ~ plants, herbs and flowers
#43B141|botanizing
#43B142|mushroom-hunting
#43B143|gathering herbs
#43B144|picking flowers
#43B15|enjoying nature ~ animals
#43B151|hunting butterflies
#43B16|mountain climbing, mountaineering
#43B17|exploring caves
#43B2|open-air recreation
#43B21|pleasure-resort
#43B3|indoor recreation
#43B31|inn, coffee-house, public house, etc.
#43B311|restaurant
#43B312|tea garden, garden restaurant
#43B313|pavement, terrace in front of inn or restaurant
#43B32|club, meeting place
#43B33|casino
#43B331|gaming den, gambling den
#43B34|night-club, dance-hall
#43B4|wood and park (as places of recreation)
#43B41|playing in the woods
#43B411|climbing up a tree
#43B412|falling from a tree
#43B42|park
#43B421|bandstand
#43B5|beach (as place of recreation)
#43B51|in or beside the water (on the beach)
#43B52|sunbathing (on the beach)
#43B53|(building) sand-castle
#43B54|donkey-riding (on the beach)
#43B55|recreation in the dunes
#43B6|playground
#43B61|playground equipment
#43B61(...)|playground equipment (with NAME)
#43B611|swing
#43B612|slide, chute
#43B613|seesaw
#43B7|zoo (as place of recreation)
#43B8|collection, exhibition, show
43C|sport, gry i aktywność fizyczna
#43C1|sports, games ~ animals
#43C11|hunting, chase
#43C111|game, hunted animals
#43C1111|group of various hunted animals
#43C1112|hunt ~ mammals
#43C11121|group of various hunted mammals
#43C11122|monkey hunting
#43C11123|hunt ~ predatory animals (fox, lion)
#43C111231|fox hunting
#43C1112311|fox and hounds
#43C111232|lion hunt
#43C1112321|hunter fighting a lion
#43C11124|hunt ~ hoofed animals
#43C111241|stag-hunting
#43C111242|roe-hunting
#43C111243|boar-hunting
#43C11125|hunt ~ trunked animals
#43C11126|hunt ~ rodents
#43C111261|hare-hunting, rabbit-hunting
#43C11127|hunt ~ marine mammals
#43C11128|hunt ~ other mammals
#43C1113|bird hunting
#43C1114|hunt ~ other animals
#43C112|hunting accidents
#43C1121|hunted animal attacking man
#43C113|spoils of the hunt, game, venison
#43C1131|the kill (~ hunting)
#43C11311|hunting trophies
#43C1132|hunter displaying or presenting the spoils of the hunt
#43C114|hunter
#43C1141|assembling, 'départ pour la chasse'
#43C1142|hunters hunting
#43C11421|hunters resting during the hunt
#43C1143|beaters (~ hunt)
#43C1144|blowing the hunting horn
#43C1145|'halali' (~ hunt)
#43C1146|group-portrait of hunters
#43C1147|hunting dogs
#43C11471|hunting dogs beside the spoils
#43C1148|hunting accoutrement
#43C11481|game bag
#43C11482|hunting horn
#43C1149|return from the hunt
#43C11491|hunting-seat, hunting lodge, 'rendez-vous de chasse', 'Jagdschloss'
#43C115|searching for game
#43C1151|catching animals
#43C1152|observing animals ~ hunting
#43C11521|photographing, filming animals
#43C116|hunting-ground
#43C1161|boundary-post of hunting-ground
#43C1162|hunting stand, shelter, hide-out; often camouflaged; for unobserved watching and shooting
#43C11621|'high seat', hunting stand on elevated platform
#43C116211|tree stand, hunting stand in a tree
#43C11622|hunting stand at ground level, ground blind
#43C117|gamekeeper
#43C118|poacher
#43C12|fishing (sports)
#43C121|angling
#43C128|fisherman
#43C1281|fisherman showing catch
#43C13|fowling, fowler
#43C131|finch trap, finchery
#43C132|duck decoy
#43C14|tormenting animals ~ sport and recreation
#43C141|group of various animals tormented
#43C142|tormenting mammals ~ sport and recreation
#43C1421|cudgelling the cat, 'cat-in-a-barrel'
#43C1422|bullfight
#43C14221|bull-fighter, toreador
#43C1423|bear-baiting
#43C143|tormenting birds ~ sport and recreation (cock, goose)
#43C1431|cock-fighting
#43C1432|'pull-the-goose'
#43C144|tormenting reptiles
#43C145|tormenting amphibians
#43C146|tormenting fish
#43C1461|'pull-the-eel'
#43C2|sports, games and physical performances ~ speed
#43C21|sports, etc. on land
#43C211|running, race
#43C2111|(running, race) over course with obstacles, hurdle race
#43C2112|cross-country race
#43C2113|walking race
#43C212|racing on animal mount
#43C2121|horse-racing
#43C21211|jockey
#43C21212|racing stable
#43C21213|race-track
#43C2122|steeple chase, speed jumping
#43C213|racing on a vehicle
#43C2131|wagon racing (with horses)
#43C21311|charioteer, 'auriga'
#43C21312|wagon racing with two-wheeled vehicle, e.g.: chariot, sulky
#43C21313|wagon racing with four-wheeled vehicle
#43C2132|bicycle racing
#43C21321|bicycle tour, e.g.: 'Tour de France', 'Giro d'Italia'
#43C2133|motorcycle racing
#43C2134|motorcar racing
#43C214|walking (as sport)
#43C218|animal racing
#43C2181|dogs (racing)
#43C2182|pigeons (racing)
#43C22|sports, etc. in and on the water
#43C221|swimming (sport)
#43C2211|diving (sport)
#43C22111|deep-sea diving
#43C222|waterskiing, surf-riding
#43C223|rowing, canoeing, etc. (sport)
#43C224|sailing (sport)
#43C225|motorboat racing
#43C23|sports, etc. in the air
#43C231|flying races
#43C232|gliding (sports in the air)
#43C233|balloon flight (sport)
#43C234|sky diving, parachuting as a sport
#43C24|winter sports
#43C241|sledge, sleigh (winter sports)
#43C242|bob-sled
#43C243|small sleigh (winter sports)
#43C244|skates (winter sports)
#43C245|skis (winter sports)
#43C2451|slalom (winter sports)
#43C2452|ski-jumping
#43C2453|ski-lift
#43C246|ice-sailing (winter sports)
#43C3|athletics, gymnastics
#43C31|high-jumping (athletics, gymnastics)
#43C311|pole-vaulting
#43C312|jumping on trampoline
#43C32|long-jumping, broad-jumping
#43C321|hop-skip-jump
#43C33|javelin-throwing
#43C34|shot-putting
#43C35|discus-throwing
#43C36|other athletic sport
#43C361|weight lifting
#43C37|gymnastic exercises on the ground
#43C371|gymnastic exercises with sticks, dumb-bells, etc.
#43C38|gymnastic exercises with apparatuses
#43C381|rings (gymnastics)
#43C382|horizontal bar (gymnastics)
#43C383|vaulting horse (gymnastics)
#43C384|parallel bars (gymnastics)
#43C39|fighting contest (sport)
#43C391|boxing (sport)
#43C392|wrestling (sport)
#43C393|jiu-jitsu, judo, etc.
#43C394|fencing (sport)
#43C3941|fencing foil
#43C3942|sabre (~ fencing)
#43C395|tug-of-war
#43C396|(medieval) fighting contest
#43C3961|fight of gladiators
#43C39611|fight between man and animal
#43C39612|fight between animals, e.g. a lion and a bear
#43C3962|'pas d'armes' (contest between two groups for pass or bridge, etc.)
#43C3963|tournament
#43C39631|joust, tilt
#43C396311|joust, tilt, without barrier
#43C396312|joust, tilt, with barrier
#43C3964|other forms of knights' contests
#43C39641|'Buhurt', 'Bouhourt' (medieval contest)
#43C39642|'Quintaine' (medieval contest)
#43C397|sport-tournament
#43C3971|Olympic games in modern times
#43C3972|other athletic contests
#43C4|games of skill
#43C41|ball games
#43C411|soccer, football (early names: soule, choule, cholle)
#43C4111|rugby, football
#43C4112|American football
#43C412|ball games in which hands are used (team play)
#43C4121|handball
#43C4122|basketball
#43C4123|volley-ball
#43C4124|water polo
#43C413|ball games in which ball is hit with wooden object (team play)
#43C4131|lacrosse
#43C4132|hockey
#43C41321|ice hockey
#43C4133|polo (on horseback)
#43C4134|cricket (ball game)
#43C4135|baseball
#43C4136|stick ball
#43C414|ball games in which ball is hit or knocked with stick (individual play)
#43C4141|'maille' (ball game)
#43C4142|golf
#43C4143|'kolf' (ball game)
#43C41431|'kolf' on the ice
#43C4144|croquet
#43C4145|billiards
#43C415|ball games in which ball is hit with racket (or hand)
#43C4151|tennis, lawn-tennis
#43C4152|table-tennis
#43C4153|'jeu de Paume'
#43C4154|'jeu de volant', badminton
#43C4155|palm-play, game of fives
#43C416|ball games in which ball or bowl is rolled
#43C4161|'jeu de boules'
#43C4162|bowling
#43C4163|throwing ball through ring on the ground
#43C4164|ninepins, skittles
#43C417|ball-throwing
#43C4171|cup-and-ball, bilboquet
#43C418|pinball, pinball machine
#43C42|sharpshooting (~ games of skill)
#43C421|shooting with bow and arrow, archery (~ games of skill)
#43C4211|shooting-the-bird (on a high pole)
#43C4212|champion-shot
#43C422|sharpshooting with revolver or other handgun (~ games of skill)
#43C423|sharpshooting with rifle, shotgun or other long firearms (~ games of skill)
#43C424|target (~ sharpshooting)
#43C43|'jeu de tonneau'
#43C431|throwing disc into hole in barrel
#43C432|hand shovel-board
#43C44|yoyo
#43C441|air top, diabolo, devil-on-two-sticks
#43C45|tilting at the ring (~ games of skill)
#43C5|games of calculation and chance, e.g.: card games, gambling, puzzles, etc.
#43C51|card games
#43C511|card-sharp
#43C512|playing-cards
#43C5121|jolly joker
#43C513|patience (card game)
#43C52|board-games
#43C521|chess
#43C5211|chessmen
#43C5212|man and woman playing chess, woman wins
#43C522|backgammon, tric-trac
#43C523|draughts
#43C5231|draughtsmen
#43C53|board-games of chance
#43C531|goose-game
#43C532|monopoly (board-game of chance)
#43C54|dominoes
#43C55|dice-games
#43C551|cheat (~ dice game)
#43C552|dice
#43C56|betting
#43C561|betting on sports
#43C562|roulette
#43C57|tombola
#43C58|raffle, lottery
#43C581|drawing lots ~ betting
#43C582|totalizator, pool
#43C59|puzzle, riddle, conundrum, enigma
#43C591|charade
#43C592|cross-word puzzle
#43C593|jig-saw puzzle
#43C6|group games, party games
#43C61|game of forfeits
#43C62|musical chairs
#43C63|party games with erotic implications, e.g.: kissing contest
#43C631|hot cockles, 'haute coquilles', 'la main chaude' (party game)
#43C64|frog in the middle (party game)
#43C68|grown-ups playing children's games
#43C69|rough-and-tumble
#43C7|children's games and plays
#43C71|games without play material
#43C711|running games (children)
#43C7111|simple running games
#43C71111|running (~ game)
#43C71112|catch (~ running game)
#43C71113|'red rover, red light?' and related games
#43C7112|contest games
#43C71121|to take prisoners ~ children's games
#43C71122|to take possession of ground ~ children's games
#43C71123|to catch, to touch, in groups ~ children's games
#43C7113|running-and-hiding games
#43C71131|hide-and-seek
#43C7114|running games played in a ring
#43C7115|running games with a story element
#43C7116|London Bridge and related arch and bridge games
#43C7117|snake or chain games
#43C71171|train (snake or chain games)
#43C7118|whirling games, pinwheel
#43C712|jumping games
#43C7121|simple jumping games
#43C7122|leap-frog and variants
#43C7123|hey cockalorum and variants
#43C7124|hop-scotch
#43C7125|varia (jumping games)
#43C71251|tumbling, somersaults ~ jumping games
#43C71252|stand on the head ~ jumping games
#43C71253|walking on all fours ~ jumping games
#43C71254|spinning ~ jumping games
#43C7126|ditch-over (jumping game)
#43C71261|ditch-over with jumping pole (jumping game)
#43C713|dancing games (children's games)
#43C7131|simple dances
#43C7132|jumping-rope games
#43C7133|ring and square dancing (children's games)
#43C7134|row dancing (children's games)
#43C714|throwing games
#43C7141|simple throwing games
#43C7142|throwing stones (throwing game)
#43C7143|throwing sticks (throwing game)
#43C7144|throwing coins (throwing game)
#43C7145|throwing fruit (throwing game)
#43C7146|ball games (children's games)
#43C71461|ball games played by one person
#43C71462|ball throwing and catching (children's games)
#43C71463|hitting ball with stick, etc. (children's game)
#43C71464|kicking ball (children's games)
#43C7147|bowling games (children's games)
#43C7148|varia (throwing games)
#43C71481|throwing rings, quoits, etc. (children's games)
#43C715|finger and fist games
#43C7151|simple hand games
#43C71511|shadow pictures (~ hand games)
#43C71512|finger and string games (cat's cradle, etc.)
#43C7152|clap and slap games
#43C71521|piling hands or fists one above the other (children's games)
#43C71522|bursting bags (children's game)
#43C7153|pointing and counting games
#43C7154|finger games
#43C7155|finger-rhymes
#43C716|trade games, imitative games, imitating adults
#43C717|guessing games (children)
#43C7171|simple guessing games
#43C7172|hunting games (hunting for hidden object)
#43C71721|following a trail (~ hunting games)
#43C7173|divination games, fortune-telling games
#43C7174|drawing lots ~ children's games
#43C7175|blindfold games
#43C71751|blind-man's buff
#43C718|swinging games
#43C7181|swinging (children's game)
#43C7182|rocking the cradle (children's game)
#43C7183|knee-riding
#43C7184|carrying games
#43C71841|pick-a-back, piggyback
#43C719|rough-and-tumble; fighting
#43C72|games using special objects (marbles, top, hoop, etc.)
#43C721|(playing at) marbles
#43C7211|(playing at) marbles (with cup-hole)
#43C722|(playing with) top
#43C7221|spinning a top
#43C7222|whipping a top
#43C723|(bowling a) hoop
#43C7231|spinning horizontal hoop
#43C724|(flying a) kite
#43C7241|(flying a) gas balloon
#43C725|(walking on) stilts
#43C726|(playing at) knuckle-bones, 'astragali'
#43C727|roller-skating, roller-skates
#43C73|child and nature (games and plays)
#43C731|child imitating animals
#43C732|child robbing bird's nests
#43C7321|hunting bird's eggs (children)
#43C733|child teasing animals
#43C734|child playing with animals
#43C735|child with plant (games and plays)
#43C736|child ~ natural phenomenon
#43C7361|child and rain
#43C737|playing with snow and ice
#43C7371|sliding (playing with snow and ice)
#43C7372|(making a) snowman
#43C73721|rolling up a snowball
#43C7373|throwing snowballs
#43C7374|with chair on ice
#43C7379|going through the ice ~ playing children
#43C74|child in environment and time
#43C741|calendar-dates ~ children's games and plays
#43C741(...)|calendar-dates ~ children's games and plays (with DATE)
#43C742|child and school (~ games and plays)
#43C7421|school festivity
#43C7422|school outing
#43C7423|games at school
#43C7424|mischievous child (at school)
#43C7425|truancy
#43C743|child and art
#43C7431|'music' of children
#43C74311|pot-and-pan orchestra, rough music
#43C74312|blowing a home-made whistle
#43C74313|bladder with peas ~ children's games
#43C7432|children playing musical instruments
#43C74321|children playing (ancient) musical instruments
#43C74322|(children playing) pleasure-fair instruments
#43C7433|children singing
#43C75|mischief-making play
#43C751|calling names, hooting ~ children's mischief
#43C752|teasing (children's games and plays)
#43C7521|taking things away from small children
#43C753|ringing doorbells (mischief-making)
#43C754|'Teddy-boy' goings-on
#43C755|vandalism (mischief-making play)
#43C76|before and after playing
#43C761|counting out (before playing)
#43C762|other ways of deciding who is to be 'it'
#43C767|going home after playing
#43C768|chasing up ~ playing
#43C769|chased off during game, play broken up
#43C77|other children's games
#43C771|reading a picture book
#43C772|children's books
#43C7721|children's images
#43C78|(playing with) toys
#43C781|(playing with) building play-material
#43C7811|(playing with) things to stack
#43C7812|(playing with) blocks
#43C7813|(playing with) meccano
#43C7814|(playing with) cut-out constructions
#43C7815|building model houses
#43C7816|model building (of machines or vehicles)
#43C782|(playing with) movable toys
#43C7821|(playing with) dancing dolls
#43C7822|(playing with) revolving toys
#43C7823|(playing with) toy mills
#43C7824|other movable toys
#43C783|(playing with) mechanical toys
#43C7831|(playing with) steam engine
#43C7832|(playing with) motor
