4|Maatschappij, Beschaving, Cultuur
43C2133|motorrace
43C2134|autoracen
43C214|wandelen (als sport)
43C218|dierenrace
43C2181|honden (racing)
43C2182|duiven (races)
43C22|sporten, etc. in en op het water
43C221|zwemmen (sport)
43C2211|duiken (sport)
43C22111|diepzeeduiken
43C222|waterskiën, surfen
43C223|roeien, kanoën, enz. (sport)
43C224|zeilen (sport)
43C225|motorboot racen
43C23|sporten, enz. in de lucht
43C231|vliegraces
43C232|zweefvliegen (sporten in de lucht)
43C233|ballonvaart (sport)
43C234|skydiven, parachutespringen als een sport
43C24|wintersport
43C241|slee, slee (wintersport)
43C242|bob-slee
43C243|kleine slee (wintersport)
43C244|schaatsen (wintersport)
43C245|ski's (wintersport)
43C2451|slalom (wintersport)
43C2452|schansspringen
43C2453|skilift
43C246|ijszeilen (wintersport)
43C3|atletiek, gymnastiek
43C31|hoogspringen (atletiek, gymnastiek)
43C32|verspringen, hink-stap-springen
43C321|hop-skip-jump
43C33|speerwerpen
43C34|kogelstoten
43C35|discuswerpen
43C36|andere sportieve sport
43C361|krachttraining
43C37|gymnastiekoefeningen op de grond
43C371|gymnastiekoefeningen met stokken, dumbbells, enz.
43C38|gymnastiekoefeningen met toestellen
43C381|ringen (gymnastiek)
43C382|horizontale stang (gymnastiek)
43C383|springplank (gymnastiek)
43C384|brug met ongelijke leggers (gymnastiek)
43C39|vechtwedstrijd (sport)
43C391|boksen (sport)
43C392|worstelen (sport)
43C393|Jiu-jitsu, judo, enz.
43C394|schermen (sport)
43C3941|schermdegen
43C3942|sabel (~ schermen)
43C395|touwtrekken
43C396|(middeleeuws) vechttoernooi
43C3961|Strijd van gladiatoren
43C39611|Gevecht tussen mens en dier
43C39612|Gevecht tussen dieren, bijvoorbeeld een leeuw en een beer
43C3962|'pas d'armes' (wedstrijd tussen twee groepen voor doorgang of brug, enz.)
43C3963|toernooi
43C39631|strijd, steek
43C396311|strijd, steek, zonder barrière
43C396312|strijd, steek, met barrière
43C3964|andere vormen van riddertoernooien
43C39641|'Buhurt', 'Bouhourt' (middeleeuwse wedstrijd)
43C39642|'Quintaine' (middeleeuws toernooi)
43C397|sporttoernooi
43C3971|Olympische Spelen in de moderne tijd
43C3972|andere sportwedstrijden
43C4|spellen van behendigheid
43C41|balspellen
43C411|voetbal, voetbal (vroegere namen: soule, choule, cholle)
43C4111|rugby, voetbal
43C4112|Amerikaans voetbal
43C412|balspelen waarbij handen worden gebruikt (teamspel)
43C4121|handbal
43C4122|basketbal
43C4123|volleybal
43C4124|waterpolo
43C413|balspelen waarbij de bal wordt geslagen met een houten object (teamsport)
43C4131|lacrosse
43C4132|ijshockey
43C41321|ijshockey
43C4133|polo (te paard)
43C4134|cricket (balspel)
43C4135|honkbal
43C4136|stok bal
43C414|balspelen waarbij de bal wordt geslagen of weggeslagen met een stok (individueel spel)
43C4141|'maille' (balspel)
43C4142|golf
43C4143|'kolf' (balspel)
43C41431|'kolf' op het ijs
43C4144|croquet
43C4145|biljart
43C415|balspelen waarbij de bal met een racket (of hand) wordt geslagen
43C4151|tennis, gras-tennis
43C4152|tafeltennis
43C4153|'jeu de Paume'
43C4154|'jeu de volant', badminton
43C4155|Palm-play, spel van vijven
43C416|balspellen waarbij een bal of kom wordt gerold
43C4161|'jeu de boules'
43C4162|bowlen
43C4163|het gooien van de bal door de ring op de grond
43C4164|kegelen, kegelspel
43C417|balgooien
43C4171|beker-en-bal, bilboquet
43C418|flipperkast, flipperkast machine
43C42|scherpschieten (~ spellen van behendigheid)
43C421|schieten met boog en pijl, boogschieten (~ behendigheidsspellen)
43C4211|schiet de vogel (op een hoge paal)
43C4212|kampioensschot
43C422|scherpschieten met een revolver of ander pistool (~ behendigheidsspellen)
43C423|scherpschieten met geweer, hagelgeweer of andere lange vuurwapens (~ behendigheidsspellen)
43C424|doelwit (~ scherpschieten)
43C43|'jeu de tonneau'
43C431|gooien van schijf in gat in vat
43C432|hand schopplank
43C44|yoyo
43C441|lucht top, diabolo, duivel-op-twee-stokken
43C45|strijden tegen de ring (~ behendigheidsspellen)
43C5|spellen van berekening en kans, bijv.: kaartspellen, gokken, puzzels, enz.
43C51|kaartspellen
43C511|kaartspeler
43C512|speelkaarten
43C5121|vrolijke joker
43C513|patience (kaartspel)
43C52|bordspellen
43C521|schaakspel
43C5211|schaakstukken
43C5212|Man en vrouw spelen schaak, vrouw wint
43C522|backgammon, tric-trac
43C523|dammen
43C5231|tekenaars
43C53|bordspellen van kans
43C531|ganzenbord
43C532|Monopoly (bordspel van kans)
43C54|domino's
43C55|dobbelstenenspellen
43C551|valsspelen (~ dobbelspel)
43C552|dobbelstenen
43C56|gokken
43C561|wedden op sport
43C562|roulette
43C57|tombola
43C58|loterij, loterij
43C581|tekenen van loten ~ wedden
43C582|totalisator, pool
43C59|raadsel, raadsel, raadsel, raadsel
43C591|charade
43C592|kruiswoordpuzzel
43C593|puzzel met stukjes
43C6|groepsspellen, feestspellen
43C61|spel van straffen
43C62|muzikale stoelen
43C63|feestspellen met erotische implicaties, bijv.: kuswedstrijd
43C631|hete kiekeboe, 'haute coquilles', 'la main chaude' (gezelschapsspel)
43C64|Kikker in het midden (partyspel)
43C68|volwassenen die kinderspelletjes spelen
43C69|ruw-en-tumble
43C7|Kinder spelletjes en toneelstukken
43C71|spellen zonder speelmateriaal
43C711|hardloopspelletjes (kinderen)
43C7111|eenvoudige hardloopspellen
43C71111|hardlopen (~ spel)
43C71112|vangen (~ rennend spel)
43C71113|'Rood lichtje, groen lichtje?' en gerelateerde spellen
43C7112|wedstrijdspellen
43C71121|om gevangenen te nemen ~ kinderspelletjes
43C71122|om bezit te nemen van grond ~ kinderspelletjes
43C71123|om te vangen, om aan te raken, in groepen ~ kinderspelletjes
43C7113|rennen-en-verstoppen spellen
43C71131|verstoppertje
43C7114|hardlopen spellen gespeeld in een ring
43C7115|hardlopen van spellen met een verhaalelement
43C7116|Londen Bridge en gerelateerde boog- en brugspellen
43C7117|slang of ketting spellen
43C71171|trein (slang of ketting spellen)
43C7118|draaiende spellen, windmolen
43C712|springende spellen
43C7121|eenvoudige springspellen
43C7122|spring-in-het-veld en varianten
43C7123|hey cockalorum en varianten
43C7124|hopscotch
43C7125|varia (springspellen)
43C71251|tumbling, salto's ~ springwedstrijden
43C71252|sta op je hoofd ~ springspelletjes
43C71253|lopen op handen en voeten ~ springspelletjes
43C71254|spinning ~ jumping spellen
43C7126|ditch-over (spring spel)
43C71261|ditch-over met springpaal (springspel)
43C713|dansspelletjes (kinder spelletjes)
43C7131|eenvoudige dansen
43C7132|touwtjespringen spellen
43C7133|Ring en square dancing (kinder spelletjes)
43C7134|rijdansen (kinder spelletjes)
43C714|gooien van spellen
43C7141|eenvoudige werpspellen
43C7142|stenen gooien (gooispel)
43C7143|werpstokken (werpspel)
43C7144|munten gooien (gooispel)
43C7145|fruit gooien (gooispel)
43C7146|balspellen (kinder spellen)
43C71461|balspellen gespeeld door één persoon
43C71462|Bal gooien en vangen (kinder spelletjes)
43C71463|slaan bal met stok, enz. (kinder spel)
43C71464|schoppenbal (kinder spelletjes)
43C7147|bowling spellen (kinder spellen)
43C7148|varia (wedstrijden manipuleren)
43C71481|werpen van ringen, hoefijzers, enz. (kinder spelletjes)
43C715|vinger en vuistspelletjes
43C7151|eenvoudige handspelletjes
43C71511|schaduwspelletjes (~ handspelletjes)
43C71512|vinger- en touwspelletjes (kattebelletje, enz.)
43C7152|klap en klapspelletjes
43C71521|stapelen van handen of vuisten boven elkaar (kinder spelletjes)
43C71522|barstende zakken (kinder spel)
43C7153|wijzen en tellen spelletjes
43C7154|vingerspelletjes
43C7155|vingerrijmpjes
43C716|ruilspellen, imitatiespellen, volwassenen imiteren
43C717|raadspelletjes (kinderen)
43C7171|Eenvoudige raadspellen
43C7172|jachtspellen (zoeken naar verborgen voorwerp)
43C71721|volgend een spoor (~ jachtspellen)
43C7173|waarzegspelletjes, toekomstvoorspellingspelletjes
43C7174|tekenen van lootjes ~ kinderspelletjes
43C7175|blinddoekspellen
43C71751|blinde mannetje
43C718|zwaaiende spellen
43C7181|zwaaien (kinder spel)
43C7182|wiegend de wieg (kinder spel)
43C7183|knie-rijden
43C7184|spelletjes dragen
43C71841|pick-a-back, piggyback
43C719|ruw-en-tumble; vechten
43C72|spellen met speciale objecten (knikkers, tol, hoepel, enz.)
43C721|(knikkeren)
43C7211|(spelen met) knikkers (met pot-gat)
43C722|(spelen met) tol
43C7221|een tol laten draaien
43C7222|tollen met een zweep
43C723|(bowlen van een) hoepel
43C7231|draaiende horizontale hoepel
43C724|(vliegeren) met een vlieger
43C7241|(vliegen met een) gasballon
43C725|(lopend op) stelten
43C726|(spelen met) knikkers, 'astragali'
43C727|rolschaatsen, rolschaatsen
43C73|kind en natuur (spelletjes en spelen)
43C731|kind imiteert dieren
43C732|kind berooft vogelnesten
43C7321|jagen op vogeleieren (kinderen)
43C733|kind plaagt dieren
43C734|kind dat speelt met dieren
43C735|kind met plant (spelletjes en spelen)
43C736|kind ~ natuurlijk fenomeen
43C7361|kind en regen
43C737|spelen met sneeuw en ijs
43C7371|glijden (spelen met sneeuw en ijs)
43C7372|(een) sneeuwpop (maken)
43C73721|een sneeuwbal rollen
43C7373|sneeuwballen gooien
43C7374|met stoel op ijs
43C7379|gaan door het ijs ~ spelende kinderen
43C74|kind in omgeving en tijd
43C741|kalenderdata ~ kinderspellen en toneelstukken
43C741(...)|kalenderdata ~ kinderspellen en toneelstukken (met DATUM)
43C742|kind en school (~ spelletjes en spelen)
43C7421|schoolfeest
43C7422|schooluitje
43C7423|spelletjes op school
43C7424|ondeugend kind (op school)
43C7425|spijbelen
43C743|kind en kunst
43C7431|'muziek' van kinderen
43C74311|potten-en-pannenorkest, ruwe muziek
43C74312|het blazen op een zelfgemaakte fluitje
43C74313|blaas met erwten ~ kinderspelletjes
43C7432|Kinderen die muziekinstrumenten bespelen
43C74321|kinderen die (oude) muziekinstrumenten bespelen
43C74322|kinderen spelen plezierige instrumenten
43C7433|kinderen zingen
43C75|kattenkwaad spelen
43C751|roepen van namen, fluiten ~ kinderlijke ondeugd
43C752|plagen (kinder spelletjes en toneelstukken)
43C7521|dingen afnemen van kleine kinderen
43C753|belletje trekken (kattenkwaad)
43C754|'Teddy-boy' gebeurtenissen
43C755|vandalisme (kattenkwaad)
43C76|voor en na het spelen
43C761|aftellen (voor het spelen)
43C762|andere manieren om te beslissen wie 'm is
43C767|naar huis gaan na het spelen
43C768|nagaan ~ spelen
43C769|verjaagd tijdens spel, spel onderbroken
43C77|andere kinderspellen
43C771|het lezen van een prentenboek
43C772|kinderboeken
43C7721|kinderfoto's
43C78|(spelen met) speelgoed
43C781|(spelen met) bouwen speelmateriaal
43C7811|(dingen om mee te spelen) stapelen
43C7812|(spelen met) blokken
43C7813|spelen met Meccano
43C7814|(spelen met) knipconstructies
43C7815|het bouwen van modelhuizen
43C7816|modelbouw (van machines of voertuigen)
43C782|(spelen met) beweegbare speelgoed
43C7821|(spelen met) dansende poppen
43C7822|(spelen met) draaiende speelgoed
43C7823|(spelen met) speelgoedmolens
43C7824|andere beweegbare speelgoed
43C783|spelen met mechanische speelgoed
43C7831|(spelen met) stoommachine
43C7832|(spelen met) motor
43C7833|speelgoed aangedreven door motor of stoommachine (geen voertuigen)
43C784|(spelen met) speelgoed ~ transport
43C7841|(spelen met) voertuigen op wielen
43C78411|(spelen met) kruiwagen, wagen
43C78412|(spelen met) auto ~ speelgoed
43C78413|(spelen met) auto's op rails (achtbaan) ~ speelgoed
43C78414|(spelen met) trein
43C7842|(spelen met) speelgoed ~ water
43C78421|(spelen met) boten
43C78422|(spelen met) jacht
43C78423|(spelen met) motorboot
43C7843|(spelen met) speelgoed ~ lucht
43C78431|(spelen met) vliegtuigen
43C78432|(spelen met) vliegtuigen met motor
43C78433|(spelen met) raketten
43C785|(spelen met) speelgoed ~ blazen
43C7851|bellen blazen (kinder spelletjes en toneelstukken)
43C7852|speelgoed geactiveerd door blazen
43C786|Spelen met speelgoed voor huishoudelijke taken
43C7861|speelgoedservies
43C78611|speelgoed theeservies
43C7862|speelgoedkeuken
43C78621|speelgoed oven of fornuis
43C7863|speelgoedhuis, poppenhuis
43C787|(spelen met) poppen, speelgoed dieren
43C7871|(spelen met) poppen
43C78711|poppenkleren
43C78719|poppen voor volwassenen
43C7872|(spelen met) speelgoed dieren
43C78721|hobbyhorse
43C78722|schommelpaard
43C78729|speelgoeddieren voor volwassenen; mascottes, enz.
43C788|plakken, weven, enz. (kinder spelletjes en toneelstukken)
43C7881|Plakboeken (kinder spelletjes en toneelstukken)
43C7882|weven (kinderen spelen en spellen)
43C7883|naaldwerk (kinderen spelen en spellen)
43C789|varia (spelen met speelgoed)
43C7891|miniatuur imitaties (kinder spellen en toneelstukken)
43C8|terreinen, velden en accommodaties voor sport, spelletjes en fysieke prestaties
43C81|kleedkamer, locker room ~ sporten
43C9|dansen
43C91|één persoon danst alleen
43C911|man die alleen danst
43C912|vrouw die alleen danst
43C92|Een paar danst; man en vrouw dansen als een stel.
43C921|twee vrouwen die als stel dansen
43C922|twee mannen die als een stel dansen
43C923|Uitnodiging voor de dans
43C93|meer dan één koppel dat danst
43C93(...)|meer dan één koppel dat danst (met AANTAL koppels)
43C94|groepsdansen
43C941|groepsdansen onder de hogere klassen
43C942|volksdansen (mannen en vrouwen samen)
43C9421|groep mannen (volksdansen)
43C9422|groep vrouwen (volksdansen)
43C943|groep dansend rond iemand of iets (volksdansen)
43C95|Jiggen en joggen, kettingdansen op straat
43CC114|jager - CC - vrouwelijke jager, jaagster
43CC1141|assembleren, 'départ pour la chasse' - CC - vrouwelijke jager, jaagster
43CC1142|jagers die jagen (N.B.: In 1988-1990 duidde deze notatie het concept van 43C11421 'jagers die rusten tijdens de jacht') - CC - vrouwelijke jager, jaagster
43CC11421|jagers rusten tijdens de jacht - CC - vrouwelijke jager, jaagster
43CC1143|slaghoeders (~ jacht) - CC - vrouwelijke jager, jaagster
43CC1144|blazen op de jachthoorn - CC - vrouwelijke jager, jaagster
43CC1145|'halali' (~ jacht) - CC - vrouwelijke jager, jaagster
43CC1146|Groepsportret van jagers - CC - vrouwelijke jager, jaagster
43CC1149|terug van de jacht - CC - vrouwelijke jager, jaagster
43CC11491|jachthut, jachthuis, 'rendez-vous de chasse', 'Jagdschloss' - CC - vrouwelijke jager, jaagster
43CC737|Spelen met sneeuw en ijs - CC - volwassene(s) ~ sneeuw en ijs
43CC7371|glijden (spelen met sneeuw en ijs) - CC - volwassene(s) ~ sneeuw en ijs
43CC7372|(een) sneeuwpop maken - CC - volwassene(s) ~ sneeuw en ijs
43CC73721|het rollen van een sneeuwbal - CC - volwassene(n) ~ sneeuw en ijs
43CC7373|Sneeuwballen gooien - CC - volwassene(n) ~ sneeuw en ijs
43CC7374|met stoel op ijs - CC - volwassene(n) ~ sneeuw en ijs
43CC7379|gaan door het ijs ~ spelende kinderen - CC - volwassene(s) ~ sneeuw en ijs
43D|andere vrijetijdsactiviteiten
43D1|ambachten, hobby's (vrijetijdsactiviteiten)
43D2|verzamelen (vrijetijdsbesteding)
44|staat; wet; politiek leven
44A|symbolen van de staat (in het algemeen)
44A1|wapen (als symbool van de staat, enz.)
44A11|apparaat (als symbool van de staat, enz.)
44A2|zegel (als symbool van de staat, enz.)
44A21|andere niet-persoonlijke regalia, bijv. burgemeestersketting
44A3|vlag, kleuren (als symbool van de staat, enz.)
44A31|banier, standaard (als symbool van de staat, enz.)
44A311|standaarddrager, vaandeldrager
44A32|vlaggenmast
44A4|decoraties, onderscheidingen (als symbolen van de staat, enz.)
44A5|symbolen van bepaalde naties, staten, districten, enz.
44A51|Personificaties van landen, naties, staten, districten, enz.
44A51(...)|personificaties van landen, naties, staten, districten, enz. (met NAAM)
44B|overheid, de Staat; 'Politica', 'Auttorità o Potestà' (Ripa)
44B0|overheidsstelsels
44B01|monarchie; 'Monarchia mondana' (Ripa)
44B011|aristocratie; 'Aristocratia' (Ripa)
44B02|democratie; 'Democratia' (Ripa)
44B03|republiek; 'Governo della republica' (Ripa)
44B04|koloniaal systeem
44B041|imperialisme
44B09|dictatoriale regering, tirannie; 'Tirannide' (Ripa)
44B091|reden van staat; 'Ragione di Stato' (Ripa)
44B1|heerser, vorst
44B10|deugden van de heerser
44B11|rangen ~ heersers, vorsten
44B111|reeks heersers
44B1111|dynastie
44B112|keizer
44B1121|mythe van de terugkerende keizer
44B113|Koning
44B114|andere soeverein
44B114(...)|andere soeverein (met TITEL)
44B114(DOGE)|andere soeverein: doge
44B115|president ~ hoofd van republiek
44B1151|Vice-president
44B116|regent, plaatsvervangend heerser; onderkoning
44B1161|stadhouder
44B117|feodale heer
44B1171|leenman
44B119|tiran, dictator
44B12|Officiële daden van heersers, bijv. koninklijke daden (heerser die audiëntie verleent, genade verleent, enz.; heerser en zijn onderdanen)
44B121|auditie; heerser die publiek ontvangt
44B1211|troonzaal
44B1212|troon
44B122|beëdiging door heerser
44B1221|heerser die adel verleent
44B1222|overdracht van macht
44B1223|heerser die privileges verleent
44B123|verlenen van genade; vrije kwijtschelding
44B124|liniaal met raadgever(s)
44B125|heersende heerser
44B126|leenverlening
44B127|heerser en zijn onderdanen
44B1271|liniaal die een ere-teken geeft
44B1272|onderwerp neemt tijdelijk de taken van de heerser over
44B12721|zwaard van Damocles
44B128|heerser in informeel contact met zijn onderdanen
44B129|liniaal die een persoon aanraakt om hem te genezen van 'de koningsziekte'
44B13|Hulde aan een heerser
44B131|acclamatie van een heerser
44B1311|trouw zweren aan een heerser
44B132|een buiging maken voor een heerser
44B1321|knieval voor een heerser
44B1322|knielend voor een heerser
44B1323|neerbuiging, 'proskynesis'
44B133|heerser geëerd met vlaggen
44B134|Ruler begroet met geweervuur
44B1341|kanonsalvo's bij koninklijke geboorte, huwelijk, enz.
44B135|het brengen van hulde aan een heerser
44B14|apotheose van een heerser
44B15|familie van een heerser, en hof
44B150|'Corte' (Ripa)
44B151|familie van de vorst
44B1511|koningin, keizerin, enz. (vrouw van een heerser)
44B15111|Prins-gemaal
44B1512|koninklijke kinderen
44B15121|prins
44B151211|kroonprins
44B15122|prinses
44B151221|kroonprinses
44B15123|koninklijke bastaarden
44B151231|mannelijke koninklijke bastaard
44B151232|vrouwelijke koninklijke bastaard
44B1513|ouders van de heerser
44B15131|vader van de heerser
44B15132|moeder van de heerser
44B1514|andere personen van koninklijke bloede
44B1515|favoriet van de heerser
44B152|koninklijk huis; hovelingen, gevolg, trein
44B1521|ceremoniemeester
44B1522|waardigheidsbekleder aan het hof
44B1523|pagina ~ rechtbank
44B1524|hofnar, hofnar
44B15241|kenmerken van hofnar
44B152411|narrenkap
44B152412|kerstbal
44B1525|(voedsel) proever
44B1526|lakei en andere lagere personeel aan het hof
44B1527|lijfwacht van heerser
44B153|hofceremonieel, hofetiquette
44B1531|hoffelijkheid, manieren; etiquette
44B154|hof feest
44B155|Dagelijks leven aan het hof
44B16|installatie van een liniaal
44B161|verkiezing, keuze van een heerser
44B1611|proclamatie van een heerser
44B16111|Nieuwe heerser opgeheven op het schild
44B1612|zalving van de nieuw verkozen heerser
44B1613|aanbieden van de positie van de heerser: presentatie van de kroon of andere symbolen van autoriteit (voor de kroning)
44B1619|verstoting
44B162|kroning van een heerser
44B1621|voor de kroning
44B1622|tijdens de kroning
44B1623|na de kroning
44B1624|zalving van de heerser (tijdens kroning)
44B1625|het tonen van symbolen van autoriteit (tijdens kroning)
44B163|presentatie van zwaard ~ installatie van een heerser
44B164|andere vormen van installatie
44B1641|Nieuwe heerser die de eed aflegt
44B165|ceremoniële viering van de installatie van een heerser
44B1651|ceremoniële processie, parade, optocht ~ installatie van een heerser
44B16511|kroningsprocessie
44B168|weigeren om heerser te zijn
44B1681|vertrappen van de kroon
44B169|aftreden (van een heerser)
44B1691|vrijwillige troonsafstand (van een heerser)
44B1692|onvrijwillige troonsafstand
44B16921|vlucht van liniaal van tegenstander
44B16922|arrestatie van vluchtende heerser
44B16923|regicide
44B17|slechte heerser
44B19|emblemen en symbolen van soevereiniteit (kroon, diadeem, scepter, wereldbol, zegel, standaard, mantel, borstsieraad)
44B191|kroon (symbool van soevereiniteit)
44B1911|diadeem (symbool van soevereiniteit)
44B192|scepter, staf (symbool van soevereiniteit)
44B1921|Hand, arm van justitie (symbool van soevereiniteit)
44B1922|lans, speer (symbool van soevereiniteit)
44B193|bol (symbool van soevereiniteit; bol met kruis erbovenop)
44B194|wapen van de staat (symbool van soevereiniteit)
44B195|zegel (symbool van soevereiniteit)
44B196|standaard (symbool van soevereiniteit)
44B197|mantel, gewaad, jurk (symbool van soevereiniteit)
44B1971|keizerlijke mantel (symbool van soevereiniteit)
44B1972|koninklijke mantel (symbool van soevereiniteit)
44B198|borstbeeld (symbool van soevereiniteit)
44B2|overheids- en vertegenwoordigende organen
44B21|nationale overheid
44B211|minister ~ regering
44B2111|premier
44B2112|ministeriële raad
44B2113|staatssecretaris ~ overheid
44B22|provinciaal bestuur
44B221|gouverneur, enz. van provincie
44B23|gemeentebestuur
44B231|burgemeester, burgemeester
44B232|gemeenteraad
44B233|stadhuis
44B24|koloniale regering
44B241|koloniale gouverneur
44B3|waterbeheer administratie
44B31|dijkgraaf
44B32|inspectie ~ waterbeheersing
44B4|diplomatie, diplomaat
44B41|ambassadeur
44B411|vertrek ~ ambassadeur
44B412|reis ~ ambassadeur
44B413|ontvangst ~ ambassadeur
44B414|verzoening ~ diplomatie
44B42|onderhandelingen, conferentie ~ diplomatie
44B421|vredeonderhandelingen
44B4211|Ondertekening van vredesverdrag, het sluiten van de vrede
44B4212|proclamatie van vrede
44B43|consulaire dienst
44B44|(diplomaat) overhandigen geloofsbrieven
44B45|alliantie, liga, unie, foedus
44B450|'Lega' (Ripa)
44B5|wetgevende macht
44B51|populaire representatie ~ overheid
44B511|Bovenhuis, Senaat
44B512|lagere huis, parlement, kamer
44B5121|lid van het parlement
44B5122|debat, discussie (~ parlement)
44B52|aankondiging, proclamatie van wetten
44B521|omroeper (~ proclamatie van wetten)
44B522|poster (~ proclamatie van wetten)
44B53|wetgeving
44B531|wetgever
44B532|legendarische oorsprong van wet; legendarische wetgever
44B6|goede en slechte regering
44B61|goed bestuur
44B610|allegorie, personificatie van goed bestuur
44B611|utopia
44B62|slechte regering
44B621|ontevredenheid ~ slechte regering
44BB1|heerser, soeverein - BB - vrouwelijke heerser
44BB10|Deugden van de heerser - BB - vrouwelijke heerser
44BB11|rangen ~ heersers, vorsten - BB - vrouwelijke heerser
44BB111|reeks van heersers - BB - vrouwelijke heerser
44BB1111|dynastie - BB - vrouwelijke heerser
44BB112|keizer - BB - vrouwelijke heerser
44BB1121|mythe van de terugkerende keizer - BB - vrouwelijke heerser
44BB113|koningin - BB - vrouwelijke heerser
44BB114|andere soeverein - BB - vrouwelijke heerser
44BB114(...)|andere soeverein (met TITEL) - BB - vrouwelijke heerser
44BB115|president ~ hoofd van republiek - BB - vrouwelijke heerser
44BB1151|Vice-president - BB - vrouwelijke heerser
44BB116|regent, plaatsvervangend heerser; onderkoning - BB - vrouwelijke heerser
44BB1161|stadhouder - BB - vrouwelijke heerser
44BB117|feodale heer - BB - vrouwelijke heerser
44BB1171|vazal - BB - vrouwelijke heerser
44BB119|tiran, dictator - BB - vrouwelijke heerser
44BB12|officiële daden van heersers, bijv. koninklijke daden (heerser die audiëntie verleent, genade verleent, enz.; heerser en zijn onderdanen) - BB - vrouwelijke heerser
44BB121|auditie; heerser die publiek geeft - BB - vrouwelijke heerser
44BB1211|troonzaal - BB - vrouwelijke heerser
44BB1212|troon - BB - vrouwelijke heerser
44BB122|beëdiging door heerser - BB - vrouwelijke heerser
44BB1221|heerser die adel verleent - BB - vrouwelijke heerser
44BB1222|Overdracht van macht - BB - vrouwelijke heerser
44BB1223|heerser die privileges verleent - BB - vrouwelijke heerser
44BB123|verlenen van genade; vrije kwijtschelding - BB - vrouwelijke heerser
44BB124|heerser met raadgever(s) - BB - vrouwelijke heerser
44BB125|heerser bevelend - BB - vrouwelijke heerser
44BB126|enfeoffment - BB - vrouwelijke heerser
44BB127|heerser en zijn onderdanen - BB - vrouwelijke heerser
44BB1271|heerser die een eerbetoon geeft - BB - vrouwelijke heerser
44BB1272|onderwerp neemt tijdelijk de taken van de heerser over - BB - vrouwelijke heerser
44BB12721|zwaard van Damocles - BB - vrouwelijke heerser
44BB128|heerser in informeel contact met haar onderdanen - BB - vrouwelijke heerser
44BB129|heerser die een persoon aanraakt om hem te genezen van 'de koningskwaal' - BB - vrouwelijke heerser
44BB13|hulde aan een heerser - BB - vrouwelijke heerser
44BB131|Acclamatie van een heerser - BB - vrouwelijke heerser
44BB1311|Eed van trouw aan een heerser - BB - vrouwelijke heerser
44BB132|Een buiging maken voor een heerser - BB - vrouwelijke heerser
44BB1321|neerbuiging voor een heerser - BB - vrouwelijke heerser
44BB1322|knielend voor een heerser - BB - vrouwelijke heerser
44BB1323|neerbuiging, 'proskynesis' - BB - vrouwelijke heerser
44BB133|heerser geëerd met vlaggen - BB - vrouwelijke heerser
44BB134|heerser begroet met geweerschoten - BB - vrouwelijke heerser
44BB1341|kanonsalvo's bij koninklijke geboorte, huwelijk, enz. - BB - vrouwelijke heerser
44BB135|Het brengen van hulde aan een heerser - BB - vrouwelijke heerser
44BB14|Apotheose van een heerser - BB - vrouwelijke heerser
44BB15|familie van een heerser, en hof - BB - vrouwelijke heerser
44BB150|'Corte' (Ripa) - BB - vrouwelijke heerser
44BB151|familie van de vorst - BB - vrouwelijke heerser
44BB1512|Koninklijke kinderen - BB - vrouwelijke heerser
44BB15121|prins - BB - vrouwelijke heerser
44BB151211|kroonprins - BB - vrouwelijke heerser
44BB15122|prinses - BB - vrouwelijke heerser
44BB151221|kroonprinses - BB - vrouwelijke heerser
44BB15123|Koninklijke bastaarden - BB - vrouwelijke heerser
44BB151231|mannelijke koninklijke bastaard - BB - vrouwelijke heerser
44BB151232|vrouwelijke koninklijke bastaard - BB - vrouwelijke heerser
44BB1513|ouders van de heerser - BB - vrouwelijke heerser
44BB15131|vader van de heerser - BB - vrouwelijke heerser
44BB15132|moeder van de heerser - BB - vrouwelijke heerser
44BB1514|andere personen van koninklijke bloede - BB - vrouwelijke heerser
44BB1515|favoriet van de heerser - BB - vrouwelijke favoriet
44BB152|koninklijk huis; hovelingen, gevolg, trein - BB - vrouwelijke heerser
44BB1521|ceremoniemeester - BB - vrouwelijke heerser
44BB1522|hoogwaardigheidsbekleder aan het hof - BB - vrouwelijke hoogwaardigheidsbekleder: hofdame
44BB1523|pagina ~ hof - BB - vrouwelijke heerser
44BB1524|hofnar, hofnar - BB - vrouwelijke heerser
44BB15241|kenmerken van hofnar - BB - vrouwelijke heerser
44BB152411|narrenkap - BB - vrouwelijke heerser
44BB152412|kerstbal - BB - vrouwelijke heerser
44BB1525|(voedsel) proever - BB - vrouwelijke heerser
44BB1526|lakei en andere lagere personeel aan het hof - BB - vrouwelijke heerser
44BB1527|lijfwacht van heerser - BB - vrouwelijke heerser
44BB153|hofceremonieel, hofetiquette - BB - vrouwelijke heerser
44BB1531|hoffelijkheid, manieren; etiquette - BB - vrouwelijke heerser
44BB154|hof feest - BB - vrouwelijke heerser
44BB155|dagelijks leven aan het hof - BB - vrouwelijke heerser
44BB16|installatie van een liniaal - BB - vrouwelijke heerser
44BB161|verkiezing, keuze van een heerser - BB - vrouwelijke heerser
44BB1611|proclamatie van een heerser - BB - vrouwelijke heerser
44BB16111|Nieuwe heerser opgeheven op het schild - BB - vrouwelijke heerser
44BB1612|Zalving van de nieuw verkozen heerser - BB - vrouwelijke heerser
