2|Natuur
25F75(...)|coelenterata (met NAAM)
25F75(CORAL)|coelenterata: koraal
25F75(JELLY-FISH)|coelenterata: kwal
25F75(SPONGE)|coelenterata: spons
25F76|eencellige dieren, bacteriën, bacillen
25F8|uitgestorven dieren
25F8(...)|uitgestorven dieren (met NAAM)
25F81|prehistorische dieren
25F82|fossiele dieren
25F9|misvormde dieren; monsters
25F91|monsters groter dan normaal
25F92|monsters kleiner dan normaal
25F93|meervoudige geboorte ~ misvormde dieren, monsters
25F94|monsters met ontbrekende delen
25F95|monsters met delen in groter aantal dan normaal
25F951|drie-koppig beest
25F952|bicorporates, dieren met twee lichamen en een enkele kop
25F96|monsters met ledematen, organen, enz. op ongebruikelijke plaatsen
25F97|monsters met delen, ledematen, organen, enz. van abnormale vorm
25F971|monsters met lichaamsdelen, ledematen, organen, enz. groter dan normaal
25F972|monsters met delen, ledematen, organen, enz. kleiner dan normaal
25FF|fantastische dieren (soms ten onrechte 'grotesques' genoemd); 'Mostri' (Ripa)
25FF1|groepen van fantastische dieren
25FF2|fantastische dieren ~ zoogdieren
25FF21|fantastische dieren ~ huisdieren
25FF22|fantastische dieren ~ apen
25FF22(...)|apen (met NAAM) - FF - fantastische dieren
25FF22(BABOON)|apen: baviaan - FF - fantastische dieren
25FF23|fantastische dieren ~ roofdieren
25FF23(...)|fantastische dieren ~ roofdieren (met NAAM)
25FF23(BADGER)|roofdieren: das - FF - fantastische dieren
25FF23(BEAR)|roofdieren: beer - FF - fantastische dieren
25FF23(CHEETAH)|roofdieren: cheeta - FF - fantastische dieren
25FF23(CROCOTAS)|fantastische dieren ~ roofdieren: crocotas
25FF23(ERMINE)|roofdieren: hermelijn - FF - fantastische dieren
25FF23(FERRET)|roofdieren: fret - FF - fantastische dieren
25FF23(FOX)|roofdieren: vos - FF - fantastische dieren
25FF23(HYENA)|roofdieren: hyena - FF - fantastische dieren
25FF23(ICHNEUMON)|roofdieren: ichneumon - FF - fantastische dieren
25FF23(LEOPARD)|roofdieren: luipaard - FF - fantastische dieren
25FF23(LION)|roofdieren: leeuw - FF - fabeldieren
25FF23(LYNX)|roofdieren: lynx - FF - fantastische dieren
25FF23(MANGOUSTE)|roofdieren: mangoest - FF - fantastische dieren
25FF23(MARTEN)|roofdieren: marter - FF - fantastische dieren
25FF23(OTTER)|roofdieren: otter - FF - fantastische dieren
25FF23(PANTHER)|roofdieren: panter - FF - fantastische dieren
25FF23(SABLE)|roofdieren: sabel - FF - fantastische dieren
25FF23(TIGER)|roofdieren: tijger - FF - fantastische dieren
25FF23(WEASEL)|roofdieren: wezel - FF - fantastische dieren
25FF23(WOLF)|roofdieren: wolf - FF - fantastische dieren
25FF231|griffin (lion/eagle); 'Griffo' (Ripa)
25FF232|chimera (leeuw/geit/slang); 'Chimera' (Ripa)
25FF233|hyena, in staat om van geslacht te veranderen
25FF24|fantastische dieren ~ hoefdieren
25FF24(...)|fantastische dieren ~ hoefdieren (met NAAM)
25FF24(ANTELOPE)|gehoefde dieren: antilope - FF - fantastische dieren
25FF24(BISON)|gehoefde dieren: bizon - FF - fantastische dieren
25FF24(BOAR)|gehoefde dieren: wild zwijn - FF - fantastische dieren
25FF24(BONNACON)|fantastische dieren ~ hoefdieren: bonnacon
25FF24(CAMEL)|gehoefde dieren: kameel - FF - fantastische dieren
25FF24(CATOBLEPAS)|fantastische dieren ~ gehoefde dieren: catoblepas
25FF24(DEER)|gehoefde dieren: herten - FF - fantastische dieren
25FF24(DROMEDARY)|gehoefde dieren: dromedaris - FF - fantastische dieren
25FF24(ELK)|gehoefde dieren: elanden - FF - fantastische dieren
25FF24(GAZELLE)|gehoefde dieren: gazelle - FF - fantastische dieren
25FF24(GIRAFFE)|gehoefde dieren: giraffe - FF - fantastische dieren
25FF24(GNU)|gehoefde dieren: gnoe - FF - fantastische dieren
25FF24(HIPPOPOTAMUS)|gehoefde dieren: nijlpaard - FF - fantastische dieren
25FF24(IBEX)|gehoefde dieren: steenbok - FF - fantastische dieren
25FF24(MUSK-DEER)|gehoefde dieren: muskushert - FF - fantastische dieren
25FF24(ONAGER)|gehoefde dieren: onager - FF - fantastische dieren
25FF24(ORYX)|gehoefde dieren: oryx - FF - fantastische dieren
25FF24(OX WITH ONE HORN)|fantastische dieren ~ hoefdieren: os met één hoorn
25FF24(OX WITH THREE HORNS)|fantastische dieren ~ gehoefde dieren: os met drie hoorns
25FF24(PEGASUS)|fantastische dieren ~ gehoefde dieren: Gebruik 93D1 Pegasus, het gevleugelde paard, of 25FF (GEVLEUGELD PAARD) voor gevleugeld paard (niet in klassieke context)
25FF24(QUAGGA)|gehoefde dieren: quagga - FF - fantastische dieren
25FF24(RHINOCEROS)|gehoefde dieren: neushoorn - FF - fantastische dieren
25FF24(STAG)|gehoefde dieren: hert - FF - fantastische dieren
25FF24(WINGED HORSE)|fantastische dieren ~ gehoefde dieren: gevleugeld paard
25FF241|eenhoorn
25FF2411|en eenhoorn gevangen door een maagd, 'Chasse à la licorne'
25FF2412|'pirassoipi' (eenhoorn met twee hoorns)
25FF2413|'oryx unicornis' (gekloofde hoef antilope)
25FF242|'hippogriffe' (horse/eagle)
25FF243|'antalops' (fantastisch rendier)
25FF244|'leucrota'
25FF245|'parandrus' (hert/beer)
25FF246|yale, 'éale'
25FF2461|'centicore'
25FF25|fantastische dieren ~ dieren met slurf
25FF25(...)|getronke dieren (met NAAM) - FF - fantastische dieren
25FF25(ELEPHANT)|getronste dieren: olifant - FF - fantastische dieren
25FF26|fantastische dieren ~ knaagdieren
25FF26(...)|knaagdieren (met NAAM) - FF - fantastische dieren
25FF26(BEAVER)|knaagdieren: bever - FF - fantastische dieren
25FF26(HARE)|knaagdieren: haas - FF - fantastische dieren
25FF26(MOUSE)|knaagdieren: muis - FF - fantastische dieren
25FF26(MUSK-RAT)|knaagdieren: muskusrat - FF - fantastische dieren
25FF26(RABBIT)|knaagdieren: konijn - FF - fantastische dieren
25FF26(RAT)|knaagdieren: rat - FF - fantastische dieren
25FF26(SQUIRREL)|knaagdieren: eekhoorn - FF - fantastische dieren
25FF26(WOMBAT)|knaagdieren: wombat - FF - fantastische dieren
25FF27|fantastische dieren ~ zwemmende zoogdieren
25FF27(...)|zwemmende zoogdieren (met NAAM) - FF - fantastische dieren
25FF27(DOLPHIN)|zwemmende zoogdieren: dolfijn - FF - fantastische dieren
25FF27(SEAL)|zwemmende zoogdieren: zeehond - FF - fantastische dieren
25FF27(WHALE)|zwemmende zoogdieren: walvis - FF - fantastische dieren
25FF28|fantastische dieren ~ vliegende zoogdieren
25FF28(...)|vliegende zoogdieren (met NAAM) - FF - fantastische dieren
25FF28(BAT)|vliegende zoogdieren: vleermuis - FF - fantastische dieren
25FF29|fantastische dieren ~ andere zoogdieren die niet bedoeld of genoemd zijn hierboven
25FF29(...)|fantastische dieren ~ andere zoogdieren die niet bedoeld zijn of hierboven genoemd worden (met NAAM)
25FF29(ARMADILLO)|andere zoogdieren: armadillo - FF - fantastische dieren
25FF29(HEDGEHOG)|andere zoogdieren: egel - FF - fantastische dieren
25FF29(LERTIX)|fantastische dieren ~ andere zoogdieren die niet bedoeld of genoemd zijn hierboven: lertix
25FF29(MOLE)|andere zoogdieren: mol - FF - fantastische dieren
25FF29(PORCUPINE)|andere zoogdieren: stekelvarken - FF - fantastische dieren
25FF3|fantastische dieren ~ vogels
25FF3(...)|fantastische dieren ~ vogels (met NAAM)
25FF3(AVALERION)|fantastische dieren ~ vogels: avalerion
25FF3(CARABAS)|fantastische dieren ~ vogels: carabas
25FF3(CARISTA)|fantastische dieren ~ vogels: carista
25FF3(FIRE-BIRD)|fantastische dieren ~ vogels: vuurvogel
25FF3(HARPY)|harpy (fantastische vogel); 'Arpie' (Ripa)
25FF3(HERCYNIAN BIRD)|fantastische dieren ~ vogels: hercynische vogel
25FF3(PHOENIX)|fantastische dieren ~ vogels: feniks
25FF3(PORPHYRION)|fantastische dieren ~ vogels: porphyrion
25FF3(ROC)|fantastische dieren ~ vogels: roc
25FF3(SELEUCIDIAN BIRD)|fantastische dieren ~ vogels: seleucidische vogel
25FF3(STELLINUS)|fantastische dieren ~ vogels: stellinus
25FF3(TRAGOPA)|fantastische dieren ~ vogels: tragopa
25FF31|fantastische dieren ~ huisvogels
25FF311|basilisk (haan met achterwerk van slang)
25FF312|cockatrice, een draak met twee poten en het hoofd van een haan
25FF32|fantastische dieren ~ zangvogels
25FF32(...)|zangvogels (met NAAM) - FF - fantastische dieren
25FF32(BLACKBIRD)|zangvogels: merel - FF - fantastische dieren
25FF32(CROW)|zangvogels: kraai - FF - fantastische dieren
25FF32(FINCH)|song-vogels: vink - FF - fantastische dieren
25FF32(GOLDFINCH)|zangvogels: putter - FF - fantastische dieren
25FF32(JACKDAW)|zangvogels: kauw - FF - fantastische dieren
25FF32(LARK)|zangvogels: leeuwerik - FF - fantastische dieren
25FF32(MAGPIE)|song-vogels: ekster - FF - fantastische dieren
25FF32(NIGHTINGALE)|zangvogels: nachtegaal - FF - fantastische dieren
25FF32(RAVEN)|song-vogels: raaf - FF - fantastische dieren
25FF32(ROBIN)|zangvogels: roodborstje - FF - fantastische dieren
25FF32(SPARROW)|zangvogels: mus - FF - fantastische dieren
25FF32(STARLING)|zangvogels: spreeuw - FF - fantastische dieren
25FF32(SWALLOW)|zangvogels: zwaluw - FF - fantastische dieren
25FF32(THRUSH)|zangvogels: lijster - FF - fantastische dieren
25FF32(TIT)|zangvogels: mees - FF - fantastische dieren
25FF32(WAGTAIL)|zangvogels: kwikstaart - FF - fantastische dieren
25FF32(WARBLER)|zangvogels: zanger - FF - fantastische dieren
25FF32(WHITE THROAT)|zangvogels: witte keel - FF - fantastische dieren
25FF32(WREN)|song-vogels: winterkoning - FF - fantastische dieren
25FF33|fantastische dieren ~ roofvogels
25FF33(...)|roofvogels (met NAAM) - FF - fantastische dieren
25FF33(EAGLE)|roofvogels: arend - FF - fantastische dieren
25FF33(FALCON)|roofvogels: valk - FF - fantastische dieren
25FF33(FISH-HAWK)|roofvogels: visarend, zeearend - FF - fantastische dieren
25FF33(HAWK)|roofvogels: havik - FF - fantastische dieren
25FF33(KITE)|roofvogels: vouw - FF - fantastische dieren
25FF33(SPARROW-HAWK)|roofvogels: sperwer - FF - fantastische dieren
25FF33(VULTURE)|roofvogels: gier - FF - fantastische dieren
25FF331|vulpanser
25FF332|dubbelkoppige adelaar
25FF34|fantastische dieren ~ uilen
25FF35|fantastische dieren ~ siervogels
25FF35(...)|sierlijke vogels (met NAAM) - FF - fantastische dieren
25FF35(BIRD OF PARADISE)|siervogels: paradijsvogel - FF - fantastische dieren
25FF35(HORNBILL)|sierlijke vogels: neushoornvogel - FF - fantastische dieren
25FF35(PARROT)|siervogels: papegaai - FF - fantastische dieren
25FF35(PEACOCK)|sierlijke vogels: pauw - FF - fantastische dieren
25FF36|fantastische dieren ~ water-vogels
25FF36(...)|water-vogels (met NAAM) - FF - fantastische dieren
25FF36(COOT)|water-vogels: meerkoet - FF - fantastische dieren
25FF36(DIPPER)|water-vogels: waterspreeuw - FF - fantastische dieren
25FF36(DUCK)|water-vogels: eend - FF - fantastische dieren
25FF36(GOOSE)|water-vogels: gans - FF - fantastische dieren
25FF36(PELICAN)|water-vogels: pelikaan - FF - fantastische dieren
25FF36(SWAMP-HEN)|water-vogels: moeras-hoen - FF - fantastische dieren
25FF36(SWAN)|water-vogels: zwaan - FF - fantastische dieren
25FF37|fantastische dieren ~ kustvogels en waadvogels
25FF37(...)|kustvogels en waadvogels (met NAAM) - FF - fantastische dieren
25FF37(BITTERN)|kustvogels en waadvogels: roerdomp - FF - fantastische dieren
25FF37(CRANE)|kustvogels en waadvogels: kraan - FF - fantastische dieren
25FF37(GULL)|kustvogels en waadvogels: meeuw - FF - fantastische dieren
25FF37(HERON)|kustvogels en waadvogels: reiger - FF - fantastische dieren
25FF37(IBIS)|kustvogels en waadvogels: ibis - FF - fantastische dieren
25FF37(LAPWING)|kustvogels en waadvogels: kievit - FF - fantastische dieren
25FF37(MARABOU)|kustvogels en waadvogels: maraboe - FF - fantastische dieren
25FF37(PLOVER)|kustvogels en waadvogels: plevier - FF - fantastische dieren
25FF37(PURPLE WATER-HEN)|kustvogels en waadvogels: purper waterhoen - FF - fantastische dieren
25FF37(SNIPE)|kustvogels en waadvogels: snip - FF - fantastische dieren
25FF37(STORK)|kustvogels en waadvogels: ooievaar - FF - fantastische dieren
25FF37(TROCHILUS)|kustvogels en waadvogels: trochilus - FF - fantastische dieren
25FF37(WOODCOCK)|kustvogels en waadvogels: houtsnip - FF - fantastische dieren
25FF371|'caladrius', 'charadrius' (fabuleuze vogel)
25FF38|fantastische dieren ~ loopvogels
25FF38(...)|loopvogels (with NAME) - FF - fantastische dieren
25FF38(BUSTARD)|loopvogels: trap - FF - fantastische dieren
25FF38(OSTRICH)|loopvogels: struisvogel - FF - fantastische dieren
25FF38(PARTRIDGE)|loopvogels: patrijs - FF - fantastische dieren
25FF38(PHEASANT)|loopvogels: fazant - FF - fantastische dieren
25FF38(QUAIL)|loopvogels: kwartel - FF - fantastische dieren
25FF38(TURKEY)|loopvogels: kalkoen - FF - fantastische dieren
25FF39|fantastische dieren ~ andere vogels niet genoemd hierboven
25FF39(...)|andere vogels (met NAAM) - FF - fantastische dieren
25FF39(CUCKOO)|andere vogels: koekoek - FF - fantastische dieren
25FF39(DODO)|andere vogels: dodo - FF - fantastische dieren
25FF39(DOVE)|andere vogels: duif - FF - fantastische dieren
25FF39(HOOPOE)|andere vogels: hop - FF - fantastische dieren
25FF39(HUMMING-BIRD)|andere vogels: kolibrie - FF - fantastische dieren
25FF39(KINGFISHER)|andere vogels: ijsvogel - FF - fantastische dieren
25FF39(TURTLE DOVE)|andere vogels: tortelduif - FF - fantastische dieren
25FF39(WOODPECKER)|andere vogels: specht - FF - fantastische dieren
25FF39(WRYNECK)|andere vogels: wryneck - FF - fantastische dieren
25FF4|fantastische dieren ~ reptielen
25FF41|fantastische dieren ~ hagedissen
25FF41(...)|hagedissen (met NAAM) - FF - fantastische dieren
25FF41(CHAMELEON)|hagedissen: kameleon - FF - fantastische dieren
25FF41(LIZARD)|hagedissen: hagedis - FF - fantastische dieren
25FF411|draak
25FF412|salamander (fabuleus dier); salamander als geest van vuur
25FF42|fantastische dieren ~ slangen (asp, draak, hydrus, hydra, amphisbaena, gehoornde slang, cerastes)
25FF42(...)|slangen (met NAAM) - FF - fantastische dieren
25FF42(VIPER)|slangen: adder - FF - fantastische dieren
25FF421|aspic
25FF422|draak (grote fantastische slang, soms met vleugels en poten)
25FF423|'hydrus' (waterslang)
25FF4231|'hydra'; 'Hidra' (Ripa)
25FF424|'amphisbaena' (snake met kop aan beide uiteinden)
25FF425|hoornslang
25FF4251|'cerastes'
25FF43|fantastische dieren ~ krokodillen
25FF43(...)|krokodillen (met NAAM) - FF - fantastische dieren
25FF43(ALLIGATOR)|krokodillen: alligator - FF - fantastische dieren
25FF43(CROCODILE)|krokodillen: krokodil - FF - fantastische dieren
25FF44|fantastische dieren ~ schildpadden
25FF5|fantastische dieren ~ amfibieën
25FF51|fantastische dieren ~ staartloze amfibieën
25FF51(...)|staartloze amfibieën (met NAAM) - FF - fantastische dieren
25FF51(FROG)|staartloze amfibieën: kikker - FF - fantastische dieren
25FF51(TOAD)|staartloze amfibieën: pad - FF - fantastische dieren
25FF52|fantastische dieren ~ amfibieën met staart
25FF52(...)|amfibieën met staart (met NAAM) - FF - fantastische dieren
25FF6|fantastische dieren ~ vissen
25FF61|leviathan (fantastische vis)
25FF61(...)|kraakbeenvissen (met NAAM) - FF - fantastische dieren
25FF61(DOGFISH)|kraakbeenvissen: hondshaai - FF - fantastische dieren
25FF61(RAY)|kraakbeenvissen: rog - FF - fantastische dieren
25FF61(SAWFISH)|kraakbeenvissen: zaagvissen - FF - fantastische dieren
25FF61(SHARK)|kraakbeenvissen: haai - FF - fantastische dieren
25FF62|zeepaard, hippocampus, 'hippocampus', (paard/vis) (mythologisch hybride monster)
25FF62(...)|beenvissen (met NAAM) - FF - fantastische dieren
25FF62(BARBEL)|beenvissen: baardmeerval - FF - fantastische dieren
25FF62(BUTTERFISH)|beenvissen: botervis - FF - fantastische dieren
25FF62(CARP)|beenvissen: karper - FF - fantastische dieren
25FF62(HERRING)|beenvissen: haring - FF - fantastische dieren
25FF62(HIPPOCAMPUS)|beenvis: hippocampus - FF - fantastische dieren
25FF62(LUNGFISH)|beenvissen: longvissen - FF - fantastische dieren
25FF62(MACKEREL)|beenvissen: makreel - FF - fantastische dieren
25FF62(MULLET)|beenvissen: harder - FF - fantastische dieren
25FF62(PIKE)|beenachtige vissen: snoek - FF - fantastische dieren
25FF62(PILOT-FISH)|beenvissen: pilotvis - FF - fantastische dieren
25FF62(RED HERRING)|'red' of gerookte haring: Gebruik 41 C 68 (GEROOKTE HARING); haring: Gebruik 25 F 62 (HARING) - FF - fantastische dieren
25FF62(ROACH)|beenvissen: voorn - FF - fantastische dieren
25FF62(SALMON)|beenvissen: zalm - FF - fantastische dieren
25FF62(SARDINE)|beenvissen: sardine - FF - fantastische dieren
25FF62(SCARUS)|beenvissen: scarus - FF - fantastische dieren
25FF62(SEA-BREAM)|beenvissen: zeebrasem - FF - fantastische dieren
25FF62(SEA-DEVIL)|beenachtige vissen: zeeduivel - FF - fantastische dieren
25FF62(SEA-PERCH)|beenvissen: zeebaars - FF - fantastische dieren
25FF62(SEA-WOLF)|beenvissen: zeeduivel - FF - fantastische dieren
25FF62(SHEAT-FISH)|beenvissen: meerval - FF - fantastische dieren
25FF62(STURGEON)|beenvissen: steur - FF - fantastische dieren
25FF62(SUN-FISH)|beenvissen: zonnebaars - FF - fantastische dieren
25FF62(SWORD-FISH)|beenvissen: zwaardvis - FF - fantastische dieren
25FF62(TUNNY)|beenvissen: tonijn - FF - fantastische dieren
25FF62(WEEVER)|beenvissen: pieterman - FF - fantastische dieren
25FF63|'pistrix' zeedraak
25FF63(...)|palingen (met NAAM) - FF - fantastische dieren
25FF63(EEL)|palingen: paling - FF - fantastische dieren
25FF63(LAMPREY)|palingen: zeeprik - FF - fantastische dieren
25FF63(SEA-EEL)|palingen: zee-paling - FF - fantastische dieren
25FF64|'remore', 'echeneis remora' (fabuleuze vis)
25FF64(...)|diepzeevissen (met NAAM) - FF - fantastische dieren
25FF65|'serra' (vis met enorme vinnen)
25FF65(...)|andere vissen (met NAAM) - FF - fantastische dieren
25FF7|fantastische dieren ~ lagere dieren
25FF71|fantastische dieren ~ geleedpotigen ('pyrausta')
25FF711|'pyrausta'
25FF711(...)|insecten (met NAAM) - FF - fantastische dieren
25FF711(ANT)|insects: mier - FF - fantastische dieren
25FF711(BEE)|insects: bij - FF - fantastische dieren
25FF711(BEETLE)|insects: kever - FF - fantastische dieren
25FF711(BUTTERFLY)|insecten: vlinder - FF - fantastische dieren
25FF711(CATERPILLAR)|insecten: rups - FF - fantastische dieren
25FF711(CICADA)|insects: cicade - FF - fantastische dieren
25FF711(CRICKET)|insects: krekel - FF - fantastische dieren
25FF711(DAY-FLY)|insecten: dagvlieg - FF - fantastische dieren
25FF711(DUNG-BEETLE)|insecten: mestkever - FF - fantastische dieren
25FF711(FLY)|insects: vlieg - FF - fantastische dieren
25FF711(GLOW-WORM)|insects: glow-worm - FF - fantastische dieren
25FF711(GNAT)|insects: gnat - FF - fantastische dieren
25FF711(GRASS-HOPPER)|insects: grass-hopper - FF - fantastische dieren
25FF711(ICHNEUMON-FLY)|insecten: ichneumonvlieg - FF - fantastische dieren
25FF711(LADYBIRD)|insecten: lieveheersbeestje - FF - fantastische dieren
25FF711(MANTIS)|insects: mantis - FF - fantastische dieren
25FF711(MOTH)|insecten: mot - FF - fantastische dieren
25FF711(PRAYING-MANTIS)|insecten: bidsprinkhaan - FF - fantastische dieren
25FF711(SCARABAEUS)|insects: scarabaeus - FF - fantastische dieren
25FF711(WASP)|insects: wasp - FF - fantastische dieren
25FF712|duizendpoten - FF - fantastische dieren
25FF713|spinnen - FF - fantastische dieren
25FF714|mijten - FF - fantastische dieren
25FF715|schorpioenen - FF - fantastische dieren
25FF716|kreeftachtigen - FF - fantastische dieren
25FF716(...)|kreeftachtigen (met NAAM) - FF - fantastische dieren
25FF716(CRAB)|kreeftachtigen: krab - FF - fantastische dieren
25FF716(LOBSTER)|kreeft - FF - fantastische dieren
25FF72|fantastische dieren ~ weekdieren
25FF72(...)|fantastische dieren ~ weekdieren (met NAAM)
25FF72(CUTTLE-FISH)|mollusken: inktvis - FF - fantastische dieren
25FF72(KRAKEN)|fantastische dieren ~ weekdieren: kraken
25FF72(MUREX)|mollusken: murex - FF - fantastische dieren
25FF72(MUSSEL)|mollusken: mossel - FF - fantastische dieren
25FF72(NAUTILUS)|mollusken: nautilus - FF - fantastische dieren
25FF72(OCTOPUS)|mollusken: octopus - FF - fantastische dieren
25FF72(OYSTER)|mollusken: oester - FF - fantastische dieren
25FF72(POLYP)|mollusken: poliep - FF - fantastische dieren
25FF72(SNAIL)|mollusken: slak - FF - fantastische dieren
25FF72(SQUID)|mollusken: inktvis - FF - fantastische dieren
25FF73|worms - FF - fantastische dieren
25FF73(...)|wormen (met NAAM) - FF - fantastische dieren
25FF74|echinodermen - FF - fantastische dieren
25FF74(...)|stekelhuidigen (met NAAM) - FF - fantastische dieren
25FF74(SEA-URCHIN)|stekelhuidigen: zee-egel - FF - fantastische dieren
25FF74(STARFISH)|echinodermen: zeester - FF - fantastische dieren
25FF75|coelenterata - FF - fantastische dieren
25FF75(...)|coelenterata (met NAAM) - FF - fantastische dieren
25FF75(CORAL)|coelenterata: koraal - FF - fantastische dieren
25FF75(JELLY-FISH)|coelenterata: kwallen - FF - fantastische dieren
25FF75(SPONGE)|coelenterata: spons - FF - fantastische dieren
25FF76|eencellige dieren, bacteriën, bacillen - FF - fantastische dieren
25FF8|fantastische dieren ~uitgestorven dieren
25FF8(...)|uitgestorven dieren (met NAAM) - FF - fantastische dieren
25FF81|prehistorische dieren - FF - fantastische dieren
25FF82|fossiele dieren - FF - fantastische dieren
25FF9|nog andere fantastische dieren die niet kunnen worden ingedeeld onder 25 FF 2 - 25 FF 7
25FF91|monsters groter dan normaal - FF - fantastische dieren
25FF92|monsters kleiner dan normaal - FF - fantastische dieren
25FF93|meervoudige geboorte ~ misvormde dieren, monsters - FF - fantastische dieren
25FF94|monsters met ontbrekende delen - FF - fantastische dieren
25FF95|monsters met delen in groter aantal dan normaal - FF - fantastische dieren
25FF951|drie-koppig beest - FF - fantastische dieren
25FF952|bicorporates, dieren met twee lichamen en een enkele kop - FF - fantastische dieren
25FF96|monsters met ledematen, organen, enz. op ongebruikelijke plaatsen - FF - fantastische dieren
25FF97|monsters met delen, ledematen, organen, enz. van abnormale vorm - FF - fantastische dieren
25FF971|monsters met lichaamsdelen, ledematen, organen, enz. groter dan normaal - FF - fantastische dieren
25FF972|monsters met delen, ledematen, organen, enz. kleiner dan normaal - FF - fantastische dieren
25G|planten; vegetatie
25G1|planten (in het algemeen)
25G11|groepen bomen
25G12|groepen struiken
25G13|groepen planten (kruiden)
25G14|groepen van lagere planten
25G2|producten van planten in het algemeen
25G21|vruchten
25G21(...)|fruiten (met NAAM)
25G21(ACORN)|vruchten: eikel
25G21(ALMOND)|vruchten: amandel
25G21(APPLE)|vruchten: appel
25G21(BEANS)|vruchten: bonen
25G21(BILBERRY)|vruchten: blauwe bosbes
25G21(BLACKBERRY)|vruchten: braam
25G21(CHERRY)|vruchten: kers
25G21(CHESTNUT)|vruchten: kastanje
25G21(FIG)|vruchten: vijg
25G21(GOURD)|vruchten: kalebas
25G21(HAZELNUT)|vruchten: hazelnoot
25G21(KAKI PERSIMMON)|vruchten: kaki persimmon
25G21(LEMON)|vruchten: citroen
25G21(MEDLAR)|vruchten: mispel
25G21(MELON)|vruchten: meloen
25G21(MULBERRY)|vruchten: moerbei
25G21(NUTS)|vruchten: noten
25G21(OLIVE)|vruchten: olijf
25G21(ORANGE)|vruchten: sinaasappel
25G21(PEACH)|vruchten: perzik
25G21(PEAR)|vruchten: peer
25G21(PINE-CONE)|vruchten: denneappel
25G21(PINEAPPLE)|vruchten: ananas
25G21(PLUM)|vruchten: pruim
25G21(POMEGRANATE)|vruchten: granaatappel
25G21(PUMPKIN)|vruchten: pompoen
25G21(QUINCE)|vruchten: kweepeer
25G21(RASPBERRY)|vruchten: framboos
25G21(SPRUCE-CONE)|vruchten: sparappel
25G21(STRAWBERRY)|vruchten: aardbei
25G21(WALNUT)|vruchten: walnoot
25G211|delen van een vrucht
25G211(...)|delen van een vrucht (met NAAM)
25G211(NUTSHELL)|delen van een vrucht: dopje
25G2111|zaad
25G2111(...)|zaad (met NAAM)
25G2111(PEA)|zaad: erwt
25G2111(THISTLE-SEED)|zaad: distelzaad
25G22|(niet-fruit) producten van planten of bomen
25G22(...)|(niet-fruit) producten van planten of bomen (met NAAM)
25G22(ASPARAGUS)|(niet-fruit) producten van planten of bomen: asperges
25G22(CINNAMON)|(niet-fruit) producten van planten of bomen: kaneel
25G22(ONION)|(niet-fruit) producten van planten of bomen: ui
25G22(RADISH)|(niet-fruit) producten van planten of bomen: radijs
25G22(TURNIP)|(niet-fruit) producten van planten of bomen: raap
25G3|bomen
25G3(...)|bomen (met NAAM)
25G3(ACACIA)|bomen: acacia
25G3(ACER)|bomen: acer
25G3(ALDER)|bomen: els
25G3(ALMOND-TREE)|bomen: amandelboom
25G3(APPLE-TREE)|bomen: appelboom
25G3(ASH-TREE)|bomen: esdoornboom
25G3(AVOCADO)|bomen: avocado
25G3(BEECH)|bomen: beuk
25G3(BIRCH)|bomen: berken
25G3(CEDAR)|bomen: ceder
25G3(CHERRY-TREE)|bomen: kersenboom
25G3(COCONUT-TREE)|bomen: kokospalmboom
25G3(CYPRESS)|bomen: cipres
25G3(DATE-PALM)|bomen: dadelpalm
25G3(DRACENA)|bomen: dracaena
25G3(ELM)|bomen: iep
25G3(FIG-TREE)|bomen: vijgenboom
25G3(FIR)|bomen: spar
25G3(HOLM-OAK)|bomen: steeneik
25G3(INDIAN BANYAN)|bomen: Indiase banyan
25G3(LAUREL)|bomen: laurier
25G3(LEMON-TREE)|bomen: citroenboom
25G3(LINDEN)|bomen: linden
25G3(MULBERRY-TREE)|bomen: moerbeiboom
25G3(MYRRH-TREE)|bomen: mirreboom
25G3(OAK)|bomen: eik
25G3(OLEASTER)|bomen: oleaster
25G3(OLIVE-TREE)|bomen: olijfboom
25G3(ORANGE-TREE)|bomen: sinaasappelboom
25G3(PALM-TREE)|bomen: palmboom
25G3(PEACH-TREE)|bomen: perzikboom
25G3(PEAR-TREE)|bomen (met NAAM)
25G3(PINE)|bomen: den
25G3(PLANE-TREE)|bomen: plataanboom
25G3(PLUM-TREE)|bomen: pruimenboom
25G3(POMEGRANATE-TREE)|bomen: granaatappelboom
25G3(POPLAR)|bomen: populier
25G3(QUINCE-TREE)|bomen: kweeboom
25G3(SPRUCE)|bomen: sparreboom
25G3(STINKING BEAN TREFOIL)|bomen: stinkende boonklaver
25G3(WALNUT-TREE)|bomen: walnotenboom
25G3(WHITE POPLAR)|bomen: witte populier
25G3(WILLOW)|bomen: wilg
25G3(YEW)|bomen: taxus
25G31|struiken
25G31(...)|heesters (met NAAM)
25G31(BLACKBERRY-BUSH)|struiken: braamstruik
25G31(BOX)|struiken: doos
25G31(BROOM)|struiken: bezem
25G31(BUCKTHORN)|struiken: duindoorn
25G31(HAZEL)|struiken: hazelaar
25G31(JUNIPER)|struiken: jeneverbes
25G31(MYRTLE)|struiken: mirte
25G31(OLEANDER)|struiken: oleander
25G31(PRIVET)|struiken: liguster
25G31(ROSE-BUSH)|struiken: rozenstruik
25G39|boom als een schema van relaties, diagram in de vorm van een boom
