5|Abstracte Ideeën en Concepten
71C3151|Leah baart vier zonen: Reuben, Simeon, Levi en Judah
71C3152|Rachel klaagt bij Jacob dat ze kinderloos is.
71C31521|Bilhah wordt aan Jacob gegeven door Rachel
71C315211|Geboorte van Dan
71C315212|Geboorte van Naftali
71C3153|Leah geeft haar dienstmaagd Zilpah aan Jacob.
71C31531|Zilpah baart twee zonen: Gad en Asher
71C3154|Reuben brengt mandrakes naar zijn moeder Leah
71C31541|Leah geeft de alruinwortels aan Rachel in ruil voor een nacht met Jacob
71C3155|Leah baart twee zonen: Issachar, Zebulun, en een dochter Dinah
71C3156|Rachel bevalt van Joseph
71C316|De samenwerking met Laban ~ verhaal van Jacob (Genesis 30:25-43)
71C3161|Laban stemt ermee in om Jacob alle zwarte en gespikkelde schapen en geiten als loon te geven.
71C3162|de kudde is verdeeld ~ Jacob's partnerschap met Laban
71C3163|Jacob legt geschilde stokken in de drinkbakken van de dieren om de beesten gevlekte jongen te laten krijgen
71C31631|Jacob wordt erg rijk
71C317|Jacob communiceren met God (in het algemeen)
71C318|De vlucht van Jacob voor Laban (Genesis 31:1-21)
71C3181|Jacob wordt beschuldigd door de zonen van Laban
71C3182|Jacob informeert zijn vrouwen Leah en Rachel over het vertrek.
71C3183|Terwijl Laban zijn schapen scheert, bereiden Jacob en zijn vrouwen zich voor op het vertrek; Rachel steelt de terafim van haar vader.
71C3184|Jacob op weg naar Kanaan met zijn familie, zijn kudden, kamelen en al zijn bezittingen
71C319|Laban achtervolgt Jacob (Genesis 31:22-55)
71C3191|Laban wordt op de hoogte gebracht van Jakobs vlucht en zet zich met zijn mannen in achtervolging.
71C3192|Jacob wordt ingehaald (door Laban)
71C3193|God verschijnt in een droom aan Laban
71C3194|Laban doorzoekt de tenten en bezittingen van Jacob om de terafim te vinden.
71C31941|Rachel verstopt de terafim in het zadel van een kameel en gaat erop zitten.
71C3195|Jacob en Laban sluiten een alliantie: er wordt een stapel stenen opgericht en een dier wordt geofferd
71C3196|Jacob en Laban nemen afscheid
71C32|verhaal van Jacob (deel II)
71C321|Jacob bereidt zich voor om Esau te ontmoeten (Genesis 32:1-23)
71C3211|Jacob wordt begroet door engelen bij Mahanaim.
71C3212|Boodschappers worden gestuurd naar Esau ~ verhaal van Jacob
71C3213|Jacob bidt tot God om hem te redden van Esau
71C3214|Jacob verdeelt zijn mensen en de dieren in twee groepen en stuurt wat vee als cadeau naar Esau.
71C322|Jacob en de engel (Genesis 32:24-32)
71C3221|Jacob stuurt zijn familie en karavaan over de rivier Jabbok en blijft achter.
71C3222|Jacob worstelt met de engel (of man) tot aan de dageraad; Jacobs dij wordt uit de kom gehaald.
71C32221|Jacob ontvangt een nieuwe naam, Israël, en wordt gezegend door de engel
71C3223|Jacob noemt de plaats Peniel
71C323|Jacob en Esau zijn verzoend (Genesis 33)
71C3231|Als Esau, meestal afgebeeld als een soldaat, nadert met vierhonderd mannen, verdeelt Jacob de kinderen onder zijn vrouwen.
71C3232|de ontmoeting tussen Esau en Jacob
71C32321|Jacob buigt naar de grond.
71C32322|Esau rent om Jakob te ontmoeten en kust hem.
71C32323|de dienstmaagden benaderen Esau en brengen hulde
71C32324|De vrouwen en kinderen van Jacob worden voorgesteld aan Esau
71C3233|Esau keert terug naar Seir
71C3234|Jacob bij Succoth waar hij een huis bouwt
71C3235|Jacob's reis
71C3236|Jacob zet zijn kamp op in een veld nabij de stad Sichem.
71C32361|Jacob koopt het veld van de zonen van Hamor voor honderd zilverstukken
71C32362|Jacob bouwt een altaar
71C324|De dochter van Jacob, Dinah, werd ontheiligd (Genesis 34)
71C3241|de verkrachting van Dinah door Sichem
71C3242|Shechem bekent zijn liefde voor Dinah aan zijn vader Hamor.
71C3243|Hamor en Shechem komen naar Jacob, wiens zonen net terug zijn gekomen van het veld, om te vragen om Dinah ten huwelijk; de zonen gaan akkoord op voorwaarde dat de Sichemieten besneden zullen worden.
71C3244|Shechem en Hamor stellen de besnijdenis voor aan hun medestadsgenoten.
71C3245|Simeon en Levi doden alle Sichemieten en brengen Dinah thuis, terwijl de andere broers de stad plunderen.
71C3246|Jacob berispt zijn zonen
71C325|Jacob's verblijf in Bethel (Genesis 35:1-15)
71C3251|Jacob zuivert zijn huis van afgoden.
71C32511|De afgoden (en oorbellen) zijn verborgen onder een eik in Sichem
71C3252|de reis naar Bethel ~ verhaal van Jacob
71C3253|Een altaar wordt gebouwd in Bethel ~ verhaal van Jacob
71C3254|dood van Rachel's verpleegster Deborah
71C3255|God zegent Jacob en noemt hem Israël
71C3256|Jacob plaatst een zuil bij Bethel; Jacob wijdt het in door er olie over te gieten
71C326|Dood van Rachel (Genesis 35:16-21)
71C3261|het vertrek uit Bethel
71C3262|Geboorte van Benjamin: Rachel sterft in het kraambed
71C32621|Rachel is begraven naast de weg naar Efrath
71C326211|graf van Rachel
71C3263|Jacob verhuist naar de toren van Eder, en vervolgens naar Hebron.
71C327|dood van Isaak (Genesis 35:27-29)
71C3271|bezoek van Jacob aan Isaak ~ dood van Isaak
71C3272|Isaac wordt begraven door Jacob en Esau
71C33|Verdere verhaal van de zonen van Jacob
71C331|Reuben's zonde: hij maakt zijn vader kwaad door overspel te plegen met Bilha, de bijvrouw van Jacob (Genesis 35:22, 49:4)
71C332|Verhaal van Juda en Tamar (Genesis 38)
71C3321|Judah trouwt met de dochter van Sua.
71C33211|Judah's vrouw baart hem drie zonen: Er, Onan en Shelah
71C3322|de verloving van Tamar en Er
71C33221|dood van Er
71C3323|Onan wordt verteld om met Tamar te trouwen
71C33231|dood van Onan
71C3324|Tamar wordt teruggestuurd naar het huis van haar vader
71C3325|dood van Judah's vrouw
71C3326|Judah en Hirah de Adullamiet gaan naar Timnath, waar de schapen van Judah worden geschoren.
71C33261|Tamar wordt verteld over Judah's reis naar Timnath.
71C3327|Tamar verandert van haar weduwenkleding en bedekt haar gezicht met een sluier op de manier van de prostituees; zittend bij de ingang van een stad aan de weg naar Timnath wacht ze op Juda.
71C33271|Judah's liefdesaffaire met Tamar; hij geeft haar zijn zegelring, armbanden en staf
71C33272|Tamar (alleen) met de tokens van Juda
71C33273|Tamar keert terug naar huis (met de tokens van Juda)
71C33274|Hirah met het beloofde kind van Judah, op zoek naar Tamar tevergeefs
71C33275|De zonde van Tamar wordt gerapporteerd aan Juda.
71C33276|de verbranding van Tamar wordt bevolen, ze toont de zegelring, armbanden en staf aan Juda, die ze herkent als de zijne
71C3328|Geboorte van de tweeling: Pharez en Zarah
71C34|Verdere verhaal van Esau (Genesis 36; 1 Kronieken 1:35-54)
71C341|de kinderen van Esau
71C342|Jacob en Esau nemen afscheid; Esau verhuist met al zijn bezittingen naar Edom.
71C343|de nakomelingen van Seir de Horiet, de oorspronkelijke inwoners van Edom
71C344|de koningen die regeerden in Edom
71D|Genesis: het verhaal van Jozef
71D1|verhaal van Jozef (deel I)
71D11|Joseph roept de haat van zijn broers op (Genesis 37:1-11)
71D111|Joseph verzorgt de schapen en geiten met zijn broers.
71D112|Na het getuige zijn van een slechte daad van zijn broers, meldt Joseph het aan zijn vader.
71D113|Jacob geeft Jozef een jas met vele kleuren.
71D114|De broers van Joseph zijn verontwaardigd en klagen bij hun vader.
71D115|Dromen van Joseph
71D1151|Eerste droom van Jozef: de elf schoven tarwe van zijn broers vormen een cirkel rond Jozefs schoof en buigen neer.
71D11511|Joseph vertelt over zijn eerste droom.
71D1152|Tweede droom van Jozef: de zon, maan en elf sterren buigen voor Jozef neer
71D11521|Joseph vertelt over zijn tweede droom.
71D1153|Joseph die zijn dromen vertelt (de twee dromen gecombineerd)
71D116|Jacob berispt Jozef voor zijn dromen
71D1161|Jacob mediterend over Jozefs dromen
71D12|Joseph verkocht als slaaf en meegenomen naar Egypte (Genesis 37:12-35)
71D121|Jacob stuurt Jozef naar zijn broers, die voor de kudde van hun vader zorgen in Sichem.
71D122|Joseph op weg (mogelijk een engel tegenkomend)
71D1221|Bij Sichem ontmoet Jozef een man die hem informeert dat zijn broers naar Dotan zijn vertrokken.
71D123|de broers zien Jozef in de verte aankomen en beramen zijn dood
71D1231|Reuben bemoeit zich met het beramen van de dood van Jozef
71D124|De mantel van Jozef wordt afgerukt door zijn broers.
71D1241|Joseph wordt in een put gegooid (meestal afgebeeld als een put of waterreservoir)
71D12411|Joseph wordt met behulp van touwen of een katrol in een put neergelaten.
71D125|Terwijl de broers van Joseph aan het eten zijn, passeert een karavaan van Ismaëlitische (Midianitische) handelaren: Juda stelt voor om Joseph aan hen te verkopen.
71D1251|Joseph wordt uit de put getrokken
71D1252|Joseph wordt verkocht voor twintig zilverstukken.
71D1253|Vertrek van Jozef (nadat hij door zijn broers was verkocht)
71D126|Joseph op weg naar Egypte met de Ismaëlieten (Joseph kan huilend worden getoond bij het graf van zijn moeder terwijl ze voorbijgaan)
71D127|Reuben vindt de lege put en scheurt zijn kleren in verdriet.
71D1271|De broers van Jozef doden een geitje
71D12711|De broers van Jozef bevuilen Jozefs jas met het bloed van het bokje
71D128|De met bloed besmeurde mantel van Jozef wordt gebracht en aan Jakob getoond.
71D1281|Jacob scheurde zijn kleding toen hij de mantel herkende.
71D1282|Joseph betreurd als dood door zijn vader; de zonen en dochters kunnen hem niet troosten
71D13|Jozef in het huis van Potifar; de kuisheid van Jozef (Genesis 37:36, 39:1-20)
71D131|Joseph wordt verkocht aan Potifar
71D132|Joseph wordt geëerd door Potifar: hij krijgt de leiding over het huishouden dat zowel thuis als op het veld zeer welvarend wordt.
71D133|De vrouw van Potifar die probeert Jozef te verleiden
71D1331|De vrouw van Potifar betrapt Jozef bij zijn mantel, meestal terwijl hij in bed ligt; Jozef ontsnapt en laat zijn mantel achter in haar handen (mogelijk met een naakt kind in een wieg).
71D134|De vrouw van Potifar voor haar man: ze beschuldigt Jozef ervan dat hij haar probeerde te schenden, waarbij ze de mantel als bewijs gebruikt.
71D135|Joseph wordt gearresteerd en naar de gevangenis gestuurd
71D14|Jozef in de gevangenis (Genesis 39:21-23, 40)
71D141|Joseph wordt begunstigd door de cipier; hij krijgt de leiding over de andere gevangenen.
71D142|Farao veroordeelt de opperbutler (bekerdrager) en bakker ~ verhaal van Jozef
71D143|In de gevangenis worden de butler en de bakker onder Jozefs hoede geplaatst.
71D144|De butler en de bakker hebben een droom tijdens de nacht
71D1441|de droom van de butler: de druivenrank met drie takken waarvan de vrucht de butler in de beker van de koning knijpt
71D14411|Joseph interpreteert de droom van de butler
71D1442|de droom van de bakker: vogels pikken aan drie manden brood
71D14421|Joseph die de droom van de bakker interpreteert
71D145|Joseph interpreteert de dromen van de butler en de bakker (de twee dromen gecombineerd)
71D146|de vervulling van de dromen: Farao herstelt de butler in zijn vroegere positie, maar laat de bakker ophangen ~ verhaal van Jozef
71D15|Dromen van de farao geïnterpreteerd (Genesis 41:1-36)
71D151|Dromen van de Farao ~ verhaal van Jozef
71D1511|eerste droom van Farao: zeven vette koeien worden opgegeten door zeven magere koeien ~ verhaal van Jozef
71D1512|tweede droom van Farao: zeven dunne korenaren verslinden zeven volle ~ verhaal van Jozef
71D152|Farao roept alle tovenaars van Egypte op ~ verhaal van Jozef
71D153|de butler, die Joseph herinnert, beveelt hem aan bij de koning als een (droom-)uitlegger
71D154|Joseph wordt voor Farao geroepen en vrijgelaten uit de gevangenis
71D155|Joseph die de dromen van Farao interpreteert
71D1551|Interpretatie van de droom van de magere en de vette koeien
71D1552|Interpretatie van de droom van de dunne en de volle korenaren
71D1553|de zeven vette jaren (alleg.)
71D1554|de zeven jaren van hongersnood (alleg.)
71D16|Hoogte en huwelijk van Jozef (Genesis 41:37-57)
71D161|Farao neemt zijn zegelring af en doet hem om de vinger van Jozef; Jozef wordt aangesteld als opzichter
71D162|Triomf van Jozef: gekleed in koninklijke kledij rijdt hij in een van de strijdwagens van de farao, voorafgegaan door een heraut
71D163|Joseph en Asenath
71D1631|Joseph ontvangt Asenath, dochter van de priester Potipherah, als vrouw.
71D1632|Geboorte van Manasse.
71D1633|Geboorte van Efraïm
71D1634|Asenath's bekering: ze gooit haar afgoden uit het raam
71D1635|de samenzwering van de zoon van de farao tegen Jozef en Asenath
71D16351|Asenath en haar lijfwachten worden aangevallen door de mannen van Dan en Gad, die zich hebben aangesloten bij de samenzwering van de zoon van de farao; Asenath slaagt erin te ontsnappen in haar strijdwagen met Benjamin
71D16352|Benjamin slaat de zoon van de farao met een steen.
71D16353|Simeon en Levi brengen de gewonde zoon voor Farao.
71D164|Joseph als toezichthouder van de farao
71D1641|Joseph bereidt zich voor op de hongersnood en slaat maïs op.
71D1642|hongersnood in Egypte begint
71D16421|de Egyptenaren huilen om brood
71D164211|Joseph opent het pakhuis en verkoopt maïs
71D17|Eerste reis van Jozefs broers naar Egypte (Genesis 42)
71D171|Jacob hoort dat maïs wordt verkocht in Egypte
71D1711|Joseph laat tarwe vallen in de rivier
71D1712|Jacob stuurt zijn tien zonen naar Egypte om graan te kopen, terwijl hij de jongste, Benjamin, thuis houdt.
71D172|de tien broers van Jozef op weg naar Egypte
71D173|Toegelaten in de aanwezigheid van Jozef, buigen de broers voor hem neer.
71D1731|Joseph beschuldigt zijn broers ervan spionnen te zijn en gooit hen in de gevangenis.
71D174|De broers van Joseph worden vrijgelaten uit de gevangenis.
71D175|Joseph kondigt aan aan zijn broers dat hij er een van hen zal vasthouden als gijzelaar in de gevangenis, en stuurt de anderen naar huis om Benjamin naar hem toe te brengen.
71D1751|De broers van Jozef herinneren zich het kwaad dat ze hem hebben aangedaan en berouwen zich; Jozef hoort het gesprek en vertrekt wenend.
71D1752|Joseph komt terug, kiest Simeon uit en laat hem vastbinden.
71D176|De broers van Jozef krijgen graan; Jozef beveelt dat er stiekem geld in hun zakken wordt gestopt
71D177|De broers van Joseph laden hun ezels en verlaten Egypte
71D1771|Bij hun kamp vindt een van Jozefs broers geld in zijn zak.
71D178|De broers van Jozef, terug in Kanaän bij Jakob, legen hun zakken en ontdekken elk een geldzak.
71D1781|Jacob weigert zich Benjamin naar Egypte te laten brengen ondanks de aansporing van Ruben.
71D18|Tweede reis van Jozefs broers naar Egypte (Genesis 43)
71D181|Judah overtuigt de gekwelde Jacob om in te stemmen met het vertrek van Benjamin.
71D1811|Het afscheid van Jakob van Benjamin
71D182|De broers van Jozef onderweg naar Egypte met Benjamin, en met geschenken voor Jozef
71D183|Joseph ontvangt zijn broers en Benjamin.
71D1831|Joseph bestelt een feest om klaargemaakt te worden in zijn huis
71D1832|Aan de deur van het huis van Joseph praten zijn broers met de rentmeester; Simeon wordt naar hen gebracht.
71D1833|voorbereidingen voor het feest bij het huis van Joseph
71D18331|De broers van Joseph wassen hun voeten
71D184|Wanneer Joseph thuis komt, ontvangt hij zijn broers; ze buigen voor hem neer en geven hem de cadeaus.
71D1841|Bij het zien van Benjamin, wordt Joseph tot tranen geroerd en verlaat de kamer.
71D18411|Joseph zijn gezicht wassen
71D185|het feest bij Joseph's huis: de verbazing van zijn broers omdat ze volgens hun leeftijd mochten plaatsnemen; Benjamin wordt geëerd met extra eten
71D1851|Joseph houdt zijn wichelbeker vast en onthult de naam en leeftijd van elk van de broers
71D19|de ontbrekende beker ~ verhaal van Jozef (Genesis 44-45)
71D191|Joseph heeft zijn zilveren beker in de zak van Benjamin geplaatst.
71D192|Joseph's broers vertrokken op hun reis naar huis.
71D1921|De dienaren van Jozef op zoek naar zijn broers
71D1922|de beker wordt gevonden in de zak van Benjamin
71D1923|De broers van Joseph keren terug naar de stad
71D193|de broers voor Jozef: Juda smeekt voor Benjamin en biedt aan om in zijn plaats als slaaf te blijven
71D1931|Joseph onthult zijn identiteit en vergeeft zijn broers' vroegere misdaad huilend.
71D194|Farao stuurt Jozefs broers met wagens om hun families en Jakob op te halen
71D195|De broers van Joseph keren met karren en ezels beladen met maïs terug naar Jacob.
71D196|Jacob wordt op de hoogte gebracht van de positie van Jozef.
71D2|Verhaal van Jozef (deel II)
71D21|Jacob en zijn familie gaan naar Egypte (Genesis 46:1-27)
71D211|Jacob brengt een offer in Beersheba
71D212|Jacob's visie: God verschijnt 's nachts aan hem en keurt zijn reis naar Egypte goed.
71D213|Jacob met zijn familie, vee en bezittingen vertrekt naar Egypte met de wagens.
71D22|Jacob en zijn familie in Egypte (Genesis 46:28-34, 47:1-12)
71D221|Judah wordt vooruitgestuurd naar Egypte om de aankomst van Jacob aan te kondigen
71D2211|Joseph gaat naar Goshen om zijn vader te ontmoeten
71D222|De ontmoeting van Jacob en Jozef in Goshen
71D223|Joseph en vijf van zijn broers vertellen Farao over de aankomst van Jakob.
71D224|Jacob wordt aan Farao voorgesteld door Jozef
71D225|Jacob en zijn zonen vestigen zich in het land van Gosen
71D226|Joseph zorgt voor eten voor zijn vader, broers en familie.
71D23|Hongersnood in Egypte (vervolg) (Genesis 47:13-26)
71D231|De Egyptenaren huilen om brood; ze verkopen hun vee voor graan.
71D232|De Egyptenaren verkopen hun land om graan te kopen; al het land wordt eigendom van de farao, behalve het land dat toebehoorde aan de priesters.
71D2321|Joseph bepaalt dat een vijfde van de productie van de grond aan de koning moet toebehoren.
71D24|Jacob's laatste dagen (Genesis 47:27 - 49:32)
71D241|de oude Jacob roept Joseph en vraagt hem te zweren dat hij hem zal begraven in Kanaän
71D242|Joseph neemt zijn twee zonen, Manasse en Efraïm, mee om Jakob op zijn ziekbed te zien.
71D2421|Jacob zegent Manasse en Efraïm met gekruiste armen; Jozef kan worden afgebeeld terwijl hij probeert ze te ontvouwen of zijn afkeuring uitdrukt (samen met Asnath)
71D24211|Jacob zegent Manasse en Efraïm met armen ongekruist
71D2422|Jacob zegent Jozef
71D243|Jacob zegent zijn zonen
71D2431|Jacob zegent Juda: Juda is een welp van een leeuw
71D24311|de leeuw van Juda
71D2432|Jacob vervloekt Simeon en Levi
71D25|De dood van Jacob (Genesis 49:33, 50:1-14)
71D251|Joseph geeft opdracht tot het balsemen van Jakob
71D252|Joseph laat het lijk van zijn vader met veel pracht naar Kanaän brengen.
71D253|Jacob is begraven in de grot van Machpela.
71D254|Joseph en zijn broers keren terug naar Egypte
71D26|latere jaren van Jozef (Genesis 50:15-26)
71D261|De broers van Joseph vrezen de mogelijke wraak van Joseph en smeken om zijn vergeving.
71D262|De dood van Joseph
71E|Exodus, Leviticus, Numeri, Deuteronomium, Jozua: van de slavernij van de Israëlieten in Egypte tot hun vestiging in Kanaän
71E1|het boek Exodus: verhaal van Mozes en Aäron
71E11|Exodus (deel I): gebeurtenissen die voorafgaan aan en de uittocht van Israël uit Egypte voorbereiden
71E111|onderdrukking van de Israëlieten in Egypte (Exodus 1)
71E1111|de nakomelingen van de zonen van Jacob nemen in aantal toe
71E1112|Farao beveelt de beproeving van de Israëlieten.
71E1113|de Israëlieten worden gedwongen tot zware arbeid ~ Exodus
71E11131|De Israëlieten bouwen de steden Pithom en Raämses
71E11132|de Israëlieten maken stenen ~ Exodus
71E11133|de Israëlieten werken op het land ~ Exodus
71E1114|Farao beveelt Shifra en Poeh, de twee vroedvrouwen, om alle mannelijke baby's van de Israëlieten te doden
71E11141|de twee vroedvrouwen gehoorzamen het bevel niet
71E11142|Farao ondervraagt de vroedvrouwen
71E1115|Farao decreete de verdrinking van elke nieuwe mannelijke nakomeling onder de Israëlieten
71E112|Mozes' geboorte en opvoeding (Exodus 2:1-10)
71E1121|het huwelijk van de ouders van Mozes
71E1122|Geboorte van Mozes
71E11221|Mozes' moeder, Jochebed, verbergt hem gedurende drie maanden.
71E11222|Jochebed maakt een ark (of mand) van biezen bestreken met pek en plaatst Mozes erin
71E1123|Mozes wordt blootgesteld in de ark aan de oevers van de Nijl; Mirjam, de zus van Mozes, houdt de wacht
71E11231|Mozes (alleen) in het biezenmandje
71E1124|de vondst van Mozes: de dochter van de farao komt met haar dienaressen om te baden in de rivier en ontdekt het kind dat op het water drijft
71E11241|Moses wordt uit het water getrokken door de dienaren.
71E1125|Mozes wordt ofwel aan de dochter van de farao gepresenteerd, of omringd door vrouwen die hem liefkozen.
71E11251|Miriam overtuigt de dochter van de farao om Mozes toe te vertrouwen aan een Hebreeuwse verpleegster
71E11252|Moses wordt toevertrouwd aan de zorg van zijn moeder.
71E112521|Moeder van Mozes die haar kind zoogt
71E1126|Wanneer Mozes oud genoeg is, brengt zijn moeder hem naar de dochter van de farao, die hem adopteert.
71E1127|Moses is opgeleid in het paleis van de koning
71E11271|Mozes en de kroon van de farao: de farao plaatst speels zijn kroon op het hoofd van de baby Mozes, die het op de grond gooit en erop trapt; of Mozes breekt de kroon tijdens het spelen
71E112711|Mozes' beproeving door vuur: wanneer hij de keuze krijgt tussen twee borden, waarvan één brandende kolen bevat en de ander een robijnen ring (of kersen), kiest Mozes de brandende kolen en stopt ze in zijn mond.
71E11272|de zuigeling Mozes onder de filosofen
71E113|Mozes en zijn volk; de vlucht naar Midian (Exodus 2:11-25)
71E1131|Mozes ziet hoe de Israëlieten gedwongen worden om zwaar werk te verrichten.
71E11311|Mozes die ziet hoe een van zijn landgenoten wordt geslagen door een Egyptische opzichter
71E11312|Mozes doodt de Egyptische opzichter
71E113121|Moses begraaft het lichaam van de Egyptische opzichter in het zand.
71E11313|Mozes, toen hij twee Israëlieten berispte die aan het ruziën waren, wordt berispt voor de moord op de Egyptenaar
71E11314|Farao wordt op de hoogte gebracht van de moord op de Egyptenaar.
71E11315|Mozes vlucht naar Midian
71E1132|Mozes ontmoet bij een put de zeven dochters van Jethro, de priester van Midian
71E11321|Mozes jaagt de herders weg die de dochters van Jethro wilden tegenhouden om de kudde van hun vader te drenken.
71E11322|Mozes geeft water aan de schapen van de dochters van Jethro
71E11323|De zeven dochters van Jethro keren terug naar huis
71E1133|Moses wordt ontvangen in het huis van Jethro
71E1134|Het huwelijk van Mozes met Zippora
71E11341|Geboorte van Gershom, zoon van Mozes
71E1135|dood van de farao
71E1136|God die op de Israëlieten neerkijkt
71E114|De roeping van Mozes (Exodus 3-4)
71E1141|Terwijl hij de kudde van Jethro verzorgt, komt Mozes aan bij Horeb.
71E11411|een brandende struik trekt de aandacht van Mozes
71E1142|de brandende struik ~ roeping van Mozes
71E11421|Mozes die zijn sandalen uittrekt
71E11422|Mozes, knielend voor de struik en zijn gezicht verbergend, luistert naar God.
71E11423|de wonderen ~ de roeping van Mozes
71E114231|wonder van de staf veranderd in een slang; Mozes kan worden getoond die vlucht voor de slang
71E114232|Wonder van de melaatse hand ~ Mozes en de brandende struik
71E114233|Wonder van het water dat veranderde in bloed ~ brandende struik
71E114234|Moses krijgt een staf
71E1143|Mozes en Jethro nemen afscheid ~ de roeping van Mozes
71E1144|Mozes vertrekt naar Egypte: hij draagt zijn staf en wordt vergezeld door zijn vrouw en zonen op een ezel.
71E1145|In een herberg probeert God (of de engel van God) Mozes te doden.
71E11451|Zippora verzoent God door een van haar zonen te besnijden
71E1146|God verschijnt aan Aaron
71E11461|Aaron ontmoet Mozes en kust hem.
71E1147|Mozes en Aaron verzamelen alle Israëlitische leiders.
71E11471|Aaron spreekt tot de Israëlieten
71E11472|Mozes voert de wonderen uit voor het volk
71E115|Mozes communiceert met God (in het algemeen)
71E116|Mozes en Aaron confronteren Farao (Exodus 5-7:13)
71E1161|Farao beveelt de opzichters om te stoppen met het leveren van stro aan het volk voor het maken van stenen.
71E1162|de Israëlieten klagen bij Mozes en Aäron (~ Farao)
71E1163|Mozes instrueert de Israëlieten
71E1164|Mozes en Aaron voor de farao; Aaron voert het wonder van de staf die in een slang verandert uit
71E11641|alle tovenaars opgeroepen door de koning veranderen hun staven in slangen, maar de staf van Aaron verslindt ze
71E117|de tien plagen (Exodus 7:14 - 11:10, 12:21-30)
71E1171|terugkerende scènes ~ de tien plagen
71E11711|Mozes (en Aäron) voor de troon van de farao (terugkerende scène ~ de tien plagen)
71E11712|Mozes (en Aäron) veroorzaken een plaag om te stoppen (terugkerende scène ~ de tien plagen)
71E11713|dienaren klagen bij Farao (terugkerende scène ~ de tien plagen)
71E1172|de tien plagen (deel I)
71E11721|de plaag van water veranderde in bloed: als farao naar de Nijl gaat, slaat Aäron met zijn staf op het oppervlak van de rivier; het water verandert in bloed en alle vissen sterven
71E11722|de plaag van kikkers: Aaron strekt zijn hand uit over het water van Egypte; kikkers komen tevoorschijn en bedekken het land
71E117221|kikkers die het paleis van de farao binnenvallen (Exodus 7:26-29 of 8:1-4)
71E11723|de plaag van luizen: Aaron slaat met zijn staf op de grond en het stof verandert in luizen
71E11724|de plaag van vliegen die de huizen van de Egyptenaren vullen
71E11725|De pest van murrain bij het vee: alle dieren van de Egyptenaren sterven
71E11726|de plaag van zweren: Mozes gooit een handvol as in de lucht voor Farao en het veroorzaakt zweren bij de mensen en de dieren
71E11727|de plaag van hagel: Mozes heft zijn staf op naar de lucht, en hagel en vuur vallen op de grond
71E11728|de plaag van sprinkhanen: terwijl Mozes zijn handen omhoog houdt, komen de sprinkhanen en eten alles op wat de hagel heeft overleefd
71E11729|de plaag van duisternis: Mozes heft zijn handen naar de hemel en er is totale duisternis voor drie dagen
71E1173|de tien plagen (deel II)
71E11731|voorbereidingen voor de tiende plaag
71E117311|Mozes voorspelt de dood van de eerstgeborenen
71E117312|Mozes verkondigt het Pascha
71E117313|viering van het eerste Pasen
71E1173131|Met het bloed van het lam maken de Israëlieten markeringen (meestal tau-kruisen) op de deurposten van hun huizen.
71E1173132|de Israëlieten eten het Pascha lam staand rond een tafel met hun lendenen omgord, hun schoenen aan hun voeten en met stokken in hun handen, klaar om te vertrekken
71E11732|De plaag van de eerstgeborenen: de verderver engel trekt door het land en doodt elke Egyptische eerstgeborene van mens en dier
71E117321|Farao rouwt om zijn dode zoon ~ de tiende plaag
71E118|De Israëlieten verlaten Egypte; eerste beweging vanuit Ramses naar Soekot (Exodus 12:31 - 13:16)
71E1181|tijdens de nacht stuurt farao om Mozes en Aäron en smeekt hen om te vertrekken
71E1182|de Egyptenaren dringen er bij de Israëlieten op aan het land te verlaten
71E1183|De Israëlieten bereiden zich voor om te vertrekken: het volk vult hun troggen met ongezuurd deeg, wikkelt ze in kleding en draagt ze op hun schouders.
71E1184|de Egyptenaren die hun sieraden en kleding overhandigen aan de Israëlieten
71E1185|de Israëlieten bakken ongezuurd brood van het deeg
71E1186|de toewijding van de eerstgeborene
71E12|Exodus (deel II): reis van Israël naar de Sinaïberg
71E121|reis van de Israëlieten vanuit Sukkoth naar de Rode Zee (Exodus 13:17-20)
71E1211|Mozes neemt de botten van Jozef met zich mee
71E1212|De zuil van wolk en de zuil van vuur ~ Exodus
71E12121|Gedurende de dag toont een zuil van wolk (en/of de engel van God) de mensen de weg
71E12122|'s Nachts geeft een vuurzuil de Israëlieten licht (Exodus 14)
71E122|doortocht door de Rode Zee
71E1221|Farao wordt verteld over de vlucht van de Israëlieten
71E12211|Farao en zijn leger zetten de achtervolging in op de Israëlieten.
71E12212|de mensen van Israël morren tegen Mozes
71E1222|Mozes heft zijn staf op en het water verdeelt (Rode Zee); de engel van God en de wolkzuil verplaatsen zich naar achteren
71E12221|de mensen steken over over droog land (Egyptenaren niet of nauwelijks zichtbaar); de engel van God en de wolkzuil mogen aan de achterkant worden getoond
71E12222|de Egyptenaren achtervolgen de Israëlieten de zee in
71E1223|Met zijn volk veilig op de kust, heft Mozes zijn handen op en zorgt ervoor dat het water terugkeert; het leger van de farao komt om in het water (Rode Zee)
71E12231|Farao en zijn leger verzwolgen in de Rode Zee (Israëlieten niet of nauwelijks zichtbaar)
71E123|Na het oversteken van de Rode Zee verheugen de Israëlieten zich en prijzen God (Exodus 15:1-21)
71E1231|lied van Mozes ~ Exodus
71E1232|Miriam pakt een tamboerijn en danst; alle vrouwen volgen haar.
71E12321|Lied van lofzang van Mirjam ~ Exodus
71E124|de Israelieten bij Marah en Elim (Exodus 15:22-27)
71E1241|Wonder van het zoeten van het water van Marah
