0|Abstracte, non-figuratieve Kunst
11H(...)119|Mannelijke heiligen (met NAAM) - mannelijke heilige die toegewijden beschermt met mantel, 'Schutzmantel'    # male saints (with NAME) - male saint protecting devotees with cloak, 'Schutzmantel'
11H(...)12|Mannelijke heiligen (met NAAM) - mannelijke heilige die schrijft, studeert, onderwijst, dicteert (bijv. als Kerkleraar)    # male saints (with NAME) - male saint writing, studying, teaching, dictating (e.g. as Doctor of the Church)
11H(...)13|mannelijke heiligen (met NAAM) - mannelijke heilige als stichter van Orde    # male saints (with NAME) - male saint as founder of Order
11H(...)131|Mannelijke heiligen (met NAAM) - mannelijke heilige ~ bevestiging van Orde, goedkeuring van Regel(s)    # male saints (with NAME) - male saint ~ confirmation of Order, approval of Rule(s)
11H(...)2|mannelijke heiligen (met NAAM) - vroege leven van mannelijke heilige    # male saints (with NAME) - early life of male saint
11H(...)3|mannelijke heiligen (met NAAM) - persoonlijke devotie van mannelijke heilige    # male saints (with NAME) - personal devotion of male saint
11H(...)31|Mannelijke heiligen (met NAAM) - roeping, bekering van mannelijke heilige    # male saints (with NAME) - vocation, conversion of male saint
11H(...)32|Mannelijke heiligen (met NAAM) - doop, wijding, het afleggen van geloften van mannelijke heilige    # male saints (with NAME) - baptism, consecration, taking vows of male saint
11H(...)33|mannelijke heiligen (met NAAM) - afstand doen van wereldse goederen, ascetisch leven van mannelijke heilige    # male saints (with NAME) - renouncing worldly goods, ascetic life of male saint
11H(...)34|Mannelijke heiligen (met NAAM) - visie(s), mystieke huwelijk van mannelijke heilige    # male saints (with NAME) - vision(s), mystic marriage of male saint
11H(...)35|mannelijke heiligen (met NAAM) - verleiding van mannelijke heilige    # male saints (with NAME) - temptation of male saint
11H(...)36|mannelijke heiligen (met NAAM) - boetedoening van mannelijke heilige    # male saints (with NAME) - penitence of male saint
11H(...)37|Mannelijke heiligen (met NAAM) - mannelijke heilige die mediteert, in extase    # male saints (with NAME) - male saint meditating, in ecstasy
11H(...)4|mannelijke heiligen (met NAAM) - niet-miraculeuze activiteiten en gebeurtenissen ~ mannelijke heilige    # male saints (with NAME) - non-miraculous activities and events ~ male saint
11H(...)5|mannelijke heiligen (met NAAM) - wonderbaarlijke activiteiten en gebeurtenissen ~ mannelijke heilige    # male saints (with NAME) - miraculous activities and events ~ male saint
11H(...)59|mannelijke heiligen (met NAAM) - stigmatisering van mannelijke heilige    # male saints (with NAME) - stigmatization of male saint
11H(...)6|mannelijke heiligen (met NAAM) - martelaarschap, lijden, tegenspoed, dood van mannelijke heilige    # male saints (with NAME) - martyrdom, suffering, misfortune, death of male saint
11H(...)68|mannelijke heiligen (met NAAM) - dood, sterfbed van mannelijke heilige    # male saints (with NAME) - death, deathbed of male saint
11H(...)69|mannelijke heiligen (met NAAM) - mishandeling van het lichaam van mannelijke heilige    # male saints (with NAME) - maltreatment of corpse of male saint
11H(...)7|mannelijke heiligen (met NAAM) - apotheose, glorie, triomf van mannelijke heilige    # male saints (with NAME) - apotheosis, glory, triumph of male saint
11H(...)8|Mannelijke heiligen (met NAAM) - post-mortem gebeurtenissen ~ mannelijke heilige    # male saints (with NAME) - post-mortem occurrences ~ male saint
11H(...)81|Mannelijke heiligen (met NAAM) - het vinden, vervoer van relieken van mannelijke heilige    # male saints (with NAME) - finding, transportation of relics of male saint
11H(...)82|mannelijke heiligen (met NAAM) - wonderen die plaatsvinden tijdens het hanteren van relieken van mannelijke heilige    # male saints (with NAME) - miracles occurring during handling of relics of male saint
11H(...)83|Mannelijke heiligen (met NAAM) - postume daden, verschijningen van mannelijke heiligen    # male saints (with NAME) - posthumous deeds, appearances of male saints
11H(...)84|mannelijke heiligen (met NAAM) - zaligverklaring, heiligverklaring van mannelijke heilige    # male saints (with NAME) - beatification, canonization of male saint
11H(...)9|mannelijke heiligen (met NAAM) - portret van mannelijke heilige    # male saints (with NAME) - portrait of male saint
11H(ACHATIUS)|de krijger martelaar Achatius (Acacius); mogelijke attributen: bosje doornen, kruisbeeld, zwaard    # the warrior martyr Achatius (Acacius); possible attributes: bunch of thorns, crucifix, sword
11H(ACHATIUS)0|de krijger martelaar Achatius (Acacius); mogelijke attributen: bosje doornen, kruisbeeld, zwaard - mannelijke heilige afgebeeld in een groep    # the warrior martyr Achatius (Acacius); possible attributes: bunch of thorns, crucifix, sword - male saint represented in a group
11H(ACHATIUS)1|de krijger martelaar Achatius (Acacius); mogelijke attributen: bosje doornen, kruisbeeld, zwaard - specifieke aspecten ~ mannelijke heilige    # the warrior martyr Achatius (Acacius); possible attributes: bunch of thorns, crucifix, sword - specific aspects ~ male saint
11H(ACHATIUS)11|de krijger martelaar Achatius (Acacius); mogelijke attributen: bosje doornen, kruisbeeld, zwaard - mannelijke heilige als patroon, beschermer, bemiddelaar    # the warrior martyr Achatius (Acacius); possible attributes: bunch of thorns, crucifix, sword - male saint as patron, protector, intercessor
11H(ACHATIUS)119|de krijger martelaar Achatius (Acacius); mogelijke attributen: bosje doornen, kruisbeeld, zwaard - mannelijke heilige die toegewijden beschermt met mantel, 'Schutzmantel'    # the warrior martyr Achatius (Acacius); possible attributes: bunch of thorns, crucifix, sword - male saint protecting devotees with cloak, 'Schutzmantel'
11H(ACHATIUS)12|de krijger martelaar Achatius (Acacius); mogelijke attributen: bosje doornen, kruisbeeld, zwaard - mannelijke heilige die schrijft, studeert, onderwijst, dicteert (bijv. als Kerkleraar)    # the warrior martyr Achatius (Acacius); possible attributes: bunch of thorns, crucifix, sword - male saint writing, studying, teaching, dictating (e.g. as Doctor of the Church)
11H(ACHATIUS)13|de krijger martelaar Achatius (Acacius); mogelijke attributen: bosje doornen, kruisbeeld, zwaard - mannelijke heilige als stichter van Orde    # the warrior martyr Achatius (Acacius); possible attributes: bunch of thorns, crucifix, sword - male saint as founder of Order
11H(ACHATIUS)131|de krijger martelaar Achatius (Acacius); mogelijke attributen: bosje doornen, kruisbeeld, zwaard - mannelijke heilige ~ bevestiging van Orde, goedkeuring van Regel(s)    # the warrior martyr Achatius (Acacius); possible attributes: bunch of thorns, crucifix, sword - male saint ~ confirmation of Order, approval of Rule(s)
11H(ACHATIUS)2|de krijger martelaar Achatius (Acacius); mogelijke attributen: bosje doornen, kruisbeeld, zwaard - vroege leven van mannelijke heilige    # the warrior martyr Achatius (Acacius); possible attributes: bunch of thorns, crucifix, sword - early life of male saint
11H(ACHATIUS)3|De krijger martelaar Achatius (Acacius); mogelijke attributen: bosje doornen, kruisbeeld, zwaard - persoonlijke devotie van mannelijke heilige    # the warrior martyr Achatius (Acacius); possible attributes: bunch of thorns, crucifix, sword - personal devotion of male saint
11H(ACHATIUS)31|de krijger martelaar Achatius (Acacius); mogelijke attributen: bosje doornen, kruisbeeld, zwaard - roeping, bekering van mannelijke heilige    # the warrior martyr Achatius (Acacius); possible attributes: bunch of thorns, crucifix, sword - vocation, conversion of male saint
11H(ACHATIUS)32|de krijger martelaar Achatius (Acacius); mogelijke attributen: bosje doornen, kruisbeeld, zwaard - doop, wijding, het afleggen van geloften van mannelijke heilige    # the warrior martyr Achatius (Acacius); possible attributes: bunch of thorns, crucifix, sword - baptism, consecration, taking vows of male saint
11H(ACHATIUS)33|de krijger martelaar Achatius (Acacius); mogelijke attributen: bosje doornen, kruisbeeld, zwaard - afstand doen van wereldse goederen, ascetisch leven van mannelijke heilige    # the warrior martyr Achatius (Acacius); possible attributes: bunch of thorns, crucifix, sword - renouncing worldly goods, ascetic life of male saint
11H(ACHATIUS)34|De krijger martelaar Achatius (Acacius); mogelijke attributen: bosje doornen, kruisbeeld, zwaard - visioen(en), mystieke huwelijk van mannelijke heilige    # the warrior martyr Achatius (Acacius); possible attributes: bunch of thorns, crucifix, sword - vision(s), mystic marriage of male saint
11H(ACHATIUS)35|de krijger martelaar Achatius (Acacius); mogelijke attributen: bosje doornen, kruisbeeld, zwaard - verleiding van mannelijke heilige    # the warrior martyr Achatius (Acacius); possible attributes: bunch of thorns, crucifix, sword - temptation of male saint
11H(ACHATIUS)36|de krijger martelaar Achatius (Acacius); mogelijke attributen: bosje doornen, kruisbeeld, zwaard - boetedoening van mannelijke heilige    # the warrior martyr Achatius (Acacius); possible attributes: bunch of thorns, crucifix, sword - penitence of male saint
11H(ACHATIUS)37|de krijger martelaar Achatius (Acacius); mogelijke attributen: bosje doornen, kruisbeeld, zwaard - mannelijke heilige die mediteert, in extase    # the warrior martyr Achatius (Acacius); possible attributes: bunch of thorns, crucifix, sword - male saint meditating, in ecstasy
11H(ACHATIUS)4|de krijger martelaar Achatius (Acacius); mogelijke attributen: bosje doornen, kruisbeeld, zwaard - niet-miraculeuze activiteiten en gebeurtenissen ~ mannelijke heilige    # the warrior martyr Achatius (Acacius); possible attributes: bunch of thorns, crucifix, sword - non-miraculous activities and events ~ male saint
11H(ACHATIUS)5|de krijger martelaar Achatius (Acacius); mogelijke attributen: bosje doornen, kruisbeeld, zwaard - wonderbaarlijke activiteiten en gebeurtenissen ~ mannelijke heilige    # the warrior martyr Achatius (Acacius); possible attributes: bunch of thorns, crucifix, sword - miraculous activities and events ~ male saint
11H(ACHATIUS)59|de krijger martelaar Achatius (Acacius); mogelijke attributen: bosje doornen, kruisbeeld, zwaard - stigmatisering van mannelijke heilige    # the warrior martyr Achatius (Acacius); possible attributes: bunch of thorns, crucifix, sword - stigmatization of male saint
11H(ACHATIUS)6|martelaarschap, lijden, tegenspoed, dood van St. Achatius    # martyrdom, suffering, misfortune, death of St. Achatius
11H(ACHATIUS)61|Het martelaarschap van Achatius en zijn 10.000 metgezellen op de berg Ararat: ze worden gekruisigd en/of aan bomen of doornen gespietst.    # the martyrdom of Achatius and his 10.000 companions on Mount Ararat: they are crucified and/or impaled on trees or thorns
11H(ACHATIUS)68|martelaarschap, lijden, tegenspoed, dood van St. Achatius - dood, sterfbed van mannelijke heilige    # martyrdom, suffering, misfortune, death of St. Achatius - death, deathbed of male saint
11H(ACHATIUS)69|martelaarschap, lijden, tegenspoed, dood van St. Achatius - mishandeling van het lichaam van mannelijke heilige    # martyrdom, suffering, misfortune, death of St. Achatius - maltreatment of corpse of male saint
11H(ACHATIUS)7|de krijger martelaar Achatius (Acacius); mogelijke attributen: bosje doornen, kruisbeeld, zwaard - apotheose, glorie, triomf van mannelijke heilige    # the warrior martyr Achatius (Acacius); possible attributes: bunch of thorns, crucifix, sword - apotheosis, glory, triumph of male saint
11H(ACHATIUS)8|de krijger martelaar Achatius (Acacius); mogelijke attributen: bosje doornen, kruisbeeld, zwaard - post-mortem gebeurtenissen ~ mannelijke heilige    # the warrior martyr Achatius (Acacius); possible attributes: bunch of thorns, crucifix, sword - post-mortem occurrences ~ male saint
11H(ACHATIUS)81|de krijger martelaar Achatius (Acacius); mogelijke attributen: bosje doornen, kruisbeeld, zwaard - vinden, vervoer van relieken van mannelijke heilige    # the warrior martyr Achatius (Acacius); possible attributes: bunch of thorns, crucifix, sword - finding, transportation of relics of male saint
11H(ACHATIUS)82|de krijger martelaar Achatius (Acacius); mogelijke attributen: bosje doornen, kruisbeeld, zwaard - wonderen die plaatsvinden tijdens het hanteren van relieken van de mannelijke heilige    # the warrior martyr Achatius (Acacius); possible attributes: bunch of thorns, crucifix, sword - miracles occurring during handling of relics of male saint
11H(ACHATIUS)83|de krijger martelaar Achatius (Acacius); mogelijke attributen: bosje doornen, kruisbeeld, zwaard - postume daden, verschijningen van mannelijke heiligen    # the warrior martyr Achatius (Acacius); possible attributes: bunch of thorns, crucifix, sword - posthumous deeds, appearances of male saints
11H(ACHATIUS)84|De krijger martelaar Achatius (Acacius); mogelijke attributen: bosje doornen, kruisbeeld, zwaard - zaligverklaring, heiligverklaring van mannelijke heilige    # the warrior martyr Achatius (Acacius); possible attributes: bunch of thorns, crucifix, sword - beatification, canonization of male saint
11H(ACHATIUS)9|De krijger martelaar Achatius (Acacius); mogelijke attributen: bosje doornen, kruisbeeld, zwaard - portret van mannelijke heilige    # the warrior martyr Achatius (Acacius); possible attributes: bunch of thorns, crucifix, sword - portrait of male saint
11H(ADRIAN)|de krijger martelaar Adrian(us) van Nicomedia; mogelijke attributen: aambeeld, bijl, hamer, leeuw, zwaard    # the warrior martyr Adrian(us) of Nicomedia; possible attributes: anvil, axe, hammer, lion, sword
11H(ADRIAN)0|de krijger martelaar Adrian(us) van Nicomedia; mogelijke attributen: aambeeld, bijl, hamer, leeuw, zwaard - mannelijke heilige afgebeeld in een groep    # the warrior martyr Adrian(us) of Nicomedia; possible attributes: anvil, axe, hammer, lion, sword - male saint represented in a group
11H(ADRIAN)1|Specifieke aspecten ~ St. Adrian    # specific aspects ~ St. Adrian
11H(ADRIAN)11|St. Adrian als pestbeschermer    # St. Adrian as plague-patron
11H(ADRIAN)119|St. Adrian als pestbeschermer - mannelijke heilige die toegewijden beschermt met een mantel, 'Schutzmantel'    # St. Adrian as plague-patron - male saint protecting devotees with cloak, 'Schutzmantel'
11H(ADRIAN)12|Specifieke aspecten ~ St. Adrian - mannelijke heilige schrijvend, studerend, lesgevend, dicterend (bijv. als Kerkleraar)    # specific aspects ~ St. Adrian - male saint writing, studying, teaching, dictating (e.g. as Doctor of the Church)
11H(ADRIAN)13|Specifieke aspecten ~ St. Adrian - mannelijke heilige als stichter van de Orde    # specific aspects ~ St. Adrian - male saint as founder of Order
11H(ADRIAN)131|Specifieke aspecten ~ St. Adrian - mannelijke heilige ~ bevestiging van Orde, goedkeuring van Regel(s)    # specific aspects ~ St. Adrian - male saint ~ confirmation of Order, approval of Rule(s)
11H(ADRIAN)2|de krijger martelaar Adrian(us) van Nicomedia; mogelijke attributen: aambeeld, bijl, hamer, leeuw, zwaard - vroege leven van mannelijke heilige    # the warrior martyr Adrian(us) of Nicomedia; possible attributes: anvil, axe, hammer, lion, sword - early life of male saint
11H(ADRIAN)3|de krijger martelaar Adrian(us) van Nicomedia; mogelijke attributen: aambeeld, bijl, hamer, leeuw, zwaard - persoonlijke devotie van mannelijke heilige    # the warrior martyr Adrian(us) of Nicomedia; possible attributes: anvil, axe, hammer, lion, sword - personal devotion of male saint
11H(ADRIAN)31|de krijger martelaar Adrian(us) van Nicomedia; mogelijke attributen: aambeeld, bijl, hamer, leeuw, zwaard - roeping, bekering van mannelijke heilige    # the warrior martyr Adrian(us) of Nicomedia; possible attributes: anvil, axe, hammer, lion, sword - vocation, conversion of male saint
11H(ADRIAN)32|de krijger martelaar Adrian(us) van Nicomedia; mogelijke attributen: aambeeld, bijl, hamer, leeuw, zwaard - doop, wijding, het afleggen van geloften van mannelijke heilige    # the warrior martyr Adrian(us) of Nicomedia; possible attributes: anvil, axe, hammer, lion, sword - baptism, consecration, taking vows of male saint
11H(ADRIAN)33|de krijger martelaar Adrian(us) van Nicomedia; mogelijke attributen: aambeeld, bijl, hamer, leeuw, zwaard - afstand doen van wereldse goederen, ascetisch leven van mannelijke heilige    # the warrior martyr Adrian(us) of Nicomedia; possible attributes: anvil, axe, hammer, lion, sword - renouncing worldly goods, ascetic life of male saint
11H(ADRIAN)34|de krijger martelaar Adrian(us) van Nicomedia; mogelijke attributen: aambeeld, bijl, hamer, leeuw, zwaard - visie(s), mystieke huwelijk van mannelijke heilige    # the warrior martyr Adrian(us) of Nicomedia; possible attributes: anvil, axe, hammer, lion, sword - vision(s), mystic marriage of male saint
11H(ADRIAN)35|de krijger martelaar Adrian(us) van Nicomedia; mogelijke attributen: aambeeld, bijl, hamer, leeuw, zwaard - verleiding van mannelijke heilige    # the warrior martyr Adrian(us) of Nicomedia; possible attributes: anvil, axe, hammer, lion, sword - temptation of male saint
11H(ADRIAN)36|de krijger martelaar Adrian(us) van Nicomedia; mogelijke attributen: aambeeld, bijl, hamer, leeuw, zwaard - boetedoening van mannelijke heilige    # the warrior martyr Adrian(us) of Nicomedia; possible attributes: anvil, axe, hammer, lion, sword - penitence of male saint
11H(ADRIAN)37|De krijger martelaar Adrian(us) van Nicomedia; mogelijke attributen: aambeeld, bijl, hamer, leeuw, zwaard - mannelijke heilige die mediteert, in extase    # the warrior martyr Adrian(us) of Nicomedia; possible attributes: anvil, axe, hammer, lion, sword - male saint meditating, in ecstasy
11H(ADRIAN)4|de krijger martelaar Adrian(us) van Nicomedia; mogelijke attributen: aambeeld, bijl, hamer, leeuw, zwaard - niet-miraculeuze activiteiten en gebeurtenissen ~ mannelijke heilige    # the warrior martyr Adrian(us) of Nicomedia; possible attributes: anvil, axe, hammer, lion, sword - non-miraculous activities and events ~ male saint
11H(ADRIAN)5|de krijger martelaar Adrian(us) van Nicomedia; mogelijke attributen: aambeeld, bijl, hamer, leeuw, zwaard - wonderbaarlijke activiteiten en gebeurtenissen ~ mannelijke heilige    # the warrior martyr Adrian(us) of Nicomedia; possible attributes: anvil, axe, hammer, lion, sword - miraculous activities and events ~ male saint
11H(ADRIAN)59|De krijger martelaar Adrian(us) van Nicomedia; mogelijke attributen: aambeeld, bijl, hamer, leeuw, zwaard - stigmatisering van mannelijke heilige    # the warrior martyr Adrian(us) of Nicomedia; possible attributes: anvil, axe, hammer, lion, sword - stigmatization of male saint
11H(ADRIAN)6|martelaarschap, lijden, tegenspoed, dood van St. Adrian    # martyrdom, suffering, misfortune, death of St. Adrian
11H(ADRIAN)61|St. Adrian in de gevangenis wordt bezocht door zijn vrouw Natalia; ze kan vermomd zijn als een jongen.    # St. Adrian in prison is visited by his wife Natalia; she may be disguised as a boy
11H(ADRIAN)62|uitgestrekt op een aambeeld, de ledematen van St. Adrianus worden verpletterd, of zijn handen en voeten worden afgesneden; meestal is zijn vrouw Natalia aanwezig    # stretched upon an anvil, St. Adrian's limbs are smashed, or his hands and feet are cut off; usually his wife Natalia present
11H(ADRIAN)63|St. Adrian wordt op de brandstapel verbrand    # St. Adrian is burned at the stake
11H(ADRIAN)68|St. Adrian wordt onthoofd    # St. Adrian is beheaded
11H(ADRIAN)69|Martelaarschap, lijden, tegenspoed, dood van St. Adrianus - mishandeling van het lichaam van mannelijke heilige    # martyrdom, suffering, misfortune, death of St. Adrian - maltreatment of corpse of male saint
11H(ADRIAN)7|De krijger martelaar Adrian(us) van Nicomedia; mogelijke attributen: aambeeld, bijl, hamer, leeuw, zwaard - apotheose, glorie, triomf van mannelijke heilige    # the warrior martyr Adrian(us) of Nicomedia; possible attributes: anvil, axe, hammer, lion, sword - apotheosis, glory, triumph of male saint
11H(ADRIAN)8|de krijger martelaar Adrian(us) van Nicomedia; mogelijke attributen: aambeeld, bijl, hamer, leeuw, zwaard - post-mortem gebeurtenissen ~ mannelijke heilige    # the warrior martyr Adrian(us) of Nicomedia; possible attributes: anvil, axe, hammer, lion, sword - post-mortem occurrences ~ male saint
11H(ADRIAN)81|de krijger martelaar Adrian(us) van Nicomedia; mogelijke attributen: aambeeld, bijl, hamer, leeuw, zwaard - vinden, vervoer van relieken van mannelijke heilige    # the warrior martyr Adrian(us) of Nicomedia; possible attributes: anvil, axe, hammer, lion, sword - finding, transportation of relics of male saint
11H(ADRIAN)82|de krijger martelaar Adrian(us) van Nicomedia; mogelijke attributen: aambeeld, bijl, hamer, leeuw, zwaard - wonderen die plaatsvinden tijdens het hanteren van relieken van de mannelijke heilige    # the warrior martyr Adrian(us) of Nicomedia; possible attributes: anvil, axe, hammer, lion, sword - miracles occurring during handling of relics of male saint
11H(ADRIAN)83|de krijger martelaar Adrian(us) van Nicomedia; mogelijke attributen: aambeeld, bijl, hamer, leeuw, zwaard - postume daden, verschijningen van mannelijke heiligen    # the warrior martyr Adrian(us) of Nicomedia; possible attributes: anvil, axe, hammer, lion, sword - posthumous deeds, appearances of male saints
11H(ADRIAN)84|de krijger martelaar Adrian(us) van Nicomedia; mogelijke attributen: aambeeld, bijl, hamer, leeuw, zwaard - zaligverklaring, heiligverklaring van mannelijke heilige    # the warrior martyr Adrian(us) of Nicomedia; possible attributes: anvil, axe, hammer, lion, sword - beatification, canonization of male saint
11H(ADRIAN)9|de krijger martelaar Adrian(us) van Nicomedia; mogelijke attributen: aambeeld, bijl, hamer, leeuw, zwaard - portret van mannelijke heilige    # the warrior martyr Adrian(us) of Nicomedia; possible attributes: anvil, axe, hammer, lion, sword - portrait of male saint
11H(ALBERT THE GREAT)|de Dominicaanse broeder en bisschop van Regensburg Albertus de Grote (Albertus Magnus); mogelijke attributen: boek, doctoraatsmuts, pen    # the Dominican friar and bishop of Ratisbon Albert the Great (Albertus Magnus); possible attributes: book, doctor's cap, pen
11H(ALBERT THE GREAT)0|de Dominicaanse broeder en bisschop van Ratisbon Albert de Grote (Albertus Magnus); mogelijke attributen: boek, doctoraatsmuts, pen - mannelijke heilige afgebeeld in een groep    # the Dominican friar and bishop of Ratisbon Albert the Great (Albertus Magnus); possible attributes: book, doctor's cap, pen - male saint represented in a group
11H(ALBERT THE GREAT)1|specifieke aspecten ~ St. Albert de Grote    # specific aspects ~ St. Albert the Great
11H(ALBERT THE GREAT)11|Specifieke aspecten ~ St. Albert de Grote - mannelijke heilige als patroon, beschermer, bemiddelaar    # specific aspects ~ St. Albert the Great - male saint as patron, protector, intercessor
11H(ALBERT THE GREAT)119|Specifieke aspecten ~ St. Albert de Grote - mannelijke heilige die toegewijden beschermt met een mantel, 'Schutzmantel'    # specific aspects ~ St. Albert the Great - male saint protecting devotees with cloak, 'Schutzmantel'
11H(ALBERT THE GREAT)12|St. Albert de Grote die aan zijn bureau schrijft of vanaf zijn preekstoel lesgeeft (misschien is Thomas van Aquino aanwezig)    # St. Albert the Great writing at his desk or lecturing from his pulpit (maybe Thomas Aquinas present)
11H(ALBERT THE GREAT)13|Specifieke aspecten ~ St. Albertus de Grote - mannelijke heilige als stichter van de Orde    # specific aspects ~ St. Albert the Great - male saint as founder of Order
11H(ALBERT THE GREAT)131|Specifieke aspecten ~ St. Albert de Grote - mannelijke heilige ~ bevestiging van Orde, goedkeuring van Regel(s)    # specific aspects ~ St. Albert the Great - male saint ~ confirmation of Order, approval of Rule(s)
11H(ALBERT THE GREAT)2|de Dominicaanse broeder en bisschop van Ratisbon Albert de Grote (Albertus Magnus); mogelijke attributen: boek, doctoraatsmuts, pen - vroege leven van mannelijke heilige    # the Dominican friar and bishop of Ratisbon Albert the Great (Albertus Magnus); possible attributes: book, doctor's cap, pen - early life of male saint
11H(ALBERT THE GREAT)3|de dominicaanse broeder en bisschop van Regensburg Albertus de Grote (Albertus Magnus); mogelijke attributen: boek, doctoraatsmuts, pen - persoonlijke devotie van mannelijke heilige    # the Dominican friar and bishop of Ratisbon Albert the Great (Albertus Magnus); possible attributes: book, doctor's cap, pen - personal devotion of male saint
11H(ALBERT THE GREAT)31|de Dominicaanse broeder en bisschop van Ratisbon Albert de Grote (Albertus Magnus); mogelijke attributen: boek, doctoraatsmuts, pen - roeping, bekering van mannelijke heilige    # the Dominican friar and bishop of Ratisbon Albert the Great (Albertus Magnus); possible attributes: book, doctor's cap, pen - vocation, conversion of male saint
11H(ALBERT THE GREAT)32|de Dominicaanse broeder en bisschop van Regensburg Albertus de Grote (Albertus Magnus); mogelijke attributen: boek, doctoraatsmuts, pen - doop, wijding, het afleggen van geloften van mannelijke heilige    # the Dominican friar and bishop of Ratisbon Albert the Great (Albertus Magnus); possible attributes: book, doctor's cap, pen - baptism, consecration, taking vows of male saint
11H(ALBERT THE GREAT)33|de Dominicaanse broeder en bisschop van Ratisbon Albert de Grote (Albertus Magnus); mogelijke attributen: boek, doctoraatsmuts, pen - afstand doen van wereldse goederen, ascetisch leven van mannelijke heilige    # the Dominican friar and bishop of Ratisbon Albert the Great (Albertus Magnus); possible attributes: book, doctor's cap, pen - renouncing worldly goods, ascetic life of male saint
11H(ALBERT THE GREAT)34|de Dominicaanse broeder en bisschop van Ratisbon Albert de Grote (Albertus Magnus); mogelijke attributen: boek, doctoraatsmuts, pen - visie(s), mystieke huwelijk van mannelijke heilige    # the Dominican friar and bishop of Ratisbon Albert the Great (Albertus Magnus); possible attributes: book, doctor's cap, pen - vision(s), mystic marriage of male saint
11H(ALBERT THE GREAT)35|de Dominicaanse broeder en bisschop van Ratisbon Albert de Grote (Albertus Magnus); mogelijke attributen: boek, doctoraatsmuts, pen - verleiding van mannelijke heilige    # the Dominican friar and bishop of Ratisbon Albert the Great (Albertus Magnus); possible attributes: book, doctor's cap, pen - temptation of male saint
11H(ALBERT THE GREAT)36|de Dominicaanse broeder en bisschop van Ratisbon Albert de Grote (Albertus Magnus); mogelijke attributen: boek, doctoraatsmuts, pen - boetedoening van mannelijke heilige    # the Dominican friar and bishop of Ratisbon Albert the Great (Albertus Magnus); possible attributes: book, doctor's cap, pen - penitence of male saint
11H(ALBERT THE GREAT)37|de Dominicaanse broeder en bisschop van Ratisbon Albert de Grote (Albertus Magnus); mogelijke attributen: boek, doktersmuts, pen - mannelijke heilige die mediteert, in extase    # the Dominican friar and bishop of Ratisbon Albert the Great (Albertus Magnus); possible attributes: book, doctor's cap, pen - male saint meditating, in ecstasy
11H(ALBERT THE GREAT)4|de dominicaanse broeder en bisschop van Regensburg Albert de Grote (Albertus Magnus); mogelijke attributen: boek, doctoraatsmuts, pen - niet-miraculeuze activiteiten en gebeurtenissen ~ mannelijke heilige    # the Dominican friar and bishop of Ratisbon Albert the Great (Albertus Magnus); possible attributes: book, doctor's cap, pen - non-miraculous activities and events ~ male saint
11H(ALBERT THE GREAT)5|de Dominicaanse broeder en bisschop van Regensburg Albert de Grote (Albertus Magnus); mogelijke attributen: boek, doctoraatsmuts, pen - wonderbaarlijke activiteiten en gebeurtenissen ~ mannelijke heilige    # the Dominican friar and bishop of Ratisbon Albert the Great (Albertus Magnus); possible attributes: book, doctor's cap, pen - miraculous activities and events ~ male saint
11H(ALBERT THE GREAT)59|de Dominicaanse broeder en bisschop van Regensburg Albertus de Grote (Albertus Magnus); mogelijke attributen: boek, doctoraatsmuts, pen - stigmatisering van mannelijke heilige    # the Dominican friar and bishop of Ratisbon Albert the Great (Albertus Magnus); possible attributes: book, doctor's cap, pen - stigmatization of male saint
11H(ALBERT THE GREAT)6|de Dominicaanse broeder en bisschop van Ratisbon Albertus de Grote (Albertus Magnus); mogelijke attributen: boek, doktersmuts, pen - martelaarschap, lijden, tegenspoed, dood van mannelijke heilige    # the Dominican friar and bishop of Ratisbon Albert the Great (Albertus Magnus); possible attributes: book, doctor's cap, pen - martyrdom, suffering, misfortune, death of male saint
11H(ALBERT THE GREAT)68|de Dominicaanse broeder en bisschop van Ratisbon Albert de Grote (Albertus Magnus); mogelijke attributen: boek, doctoraatsmuts, pen - dood, sterfbed van mannelijke heilige    # the Dominican friar and bishop of Ratisbon Albert the Great (Albertus Magnus); possible attributes: book, doctor's cap, pen - death, deathbed of male saint
11H(ALBERT THE GREAT)69|de dominicaanse broeder en bisschop van Ratisbon Albert de Grote (Albertus Magnus); mogelijke attributen: boek, doktersmuts, pen - mishandeling van het lichaam van een mannelijke heilige    # the Dominican friar and bishop of Ratisbon Albert the Great (Albertus Magnus); possible attributes: book, doctor's cap, pen - maltreatment of corpse of male saint
11H(ALBERT THE GREAT)7|de dominicaanse broeder en bisschop van Regensburg Albertus de Grote (Albertus Magnus); mogelijke attributen: boek, doctoraatsmuts, pen - apotheose, glorie, triomf van mannelijke heilige    # the Dominican friar and bishop of Ratisbon Albert the Great (Albertus Magnus); possible attributes: book, doctor's cap, pen - apotheosis, glory, triumph of male saint
11H(ALBERT THE GREAT)8|de dominicaanse broeder en bisschop van Ratisbon Albert de Grote (Albertus Magnus); mogelijke attributen: boek, doctoraatsmuts, pen - postume verschijningen ~ mannelijke heilige    # the Dominican friar and bishop of Ratisbon Albert the Great (Albertus Magnus); possible attributes: book, doctor's cap, pen - post-mortem occurrences ~ male saint
