0|Abstracte, non-representatieve kunst
11H(CHRISTOPHER)13|Specifieke aspecten ~ St. Christopher - mannelijke heilige als stichter van de Orde
11H(CHRISTOPHER)131|Specifieke aspecten ~ St. Christopher - mannelijke heilige ~ bevestiging van Orde, goedkeuring van Regel(s)
11H(CHRISTOPHER)2|Vroege leven van St. Christopherus
11H(CHRISTOPHER)21|St. Christopher dient een koning die bang is voor Satan
11H(CHRISTOPHER)22|St. Christopher dient de duivel, die bang is voor het kruis
11H(CHRISTOPHER)3|de reus en martelaar Christophorus; mogelijke attributen: palmboom (met trossen dadels, of verdord), kind Christus - persoonlijke devotie van mannelijke heilige
11H(CHRISTOPHER)31|de reus en martelaar Christophorus; mogelijke attributen: palmboom (met dadels of verdord), kind Jezus - roeping, bekering van mannelijke heilige
11H(CHRISTOPHER)32|de reus en martelaar Christophorus; mogelijke attributen: palmboom (met trossen dadels, of verdord), kind Christus - doop, wijding, het afleggen van geloften van mannelijke heilige
11H(CHRISTOPHER)33|de reus en martelaar Christophorus; mogelijke attributen: palmboom (met trossen dadels, of verdord), kind Christus - afstand doen van wereldse goederen, ascetisch leven van mannelijke heilige
11H(CHRISTOPHER)34|de reus en martelaar Christophorus; mogelijke attributen: palmboom (met dadels of verdord), kind Jezus - visie(s), mystiek huwelijk van mannelijke heilige
11H(CHRISTOPHER)35|De reus en martelaar Christophorus; mogelijke attributen: palmboom (met dadels of verdord), kind Jezus - verzoeking van mannelijke heilige
11H(CHRISTOPHER)36|de reus en martelaar Christophorus; mogelijke attributen: palmboom (met dadels of verdord), kind Jezus - boetedoening van mannelijke heilige
11H(CHRISTOPHER)37|de reus en martelaar Christophorus; mogelijke attributen: palmboom (met dadels of verdord), kind Christus - mannelijke heilige die mediteert, in extase
11H(CHRISTOPHER)4|de reus en martelaar Christophorus; mogelijke attributen: palmboom (met dadels of verdord), kind Christus - niet-miraculeuze activiteiten en gebeurtenissen ~ mannelijke heilige
11H(CHRISTOPHER)5|wonderbaarlijke activiteiten en gebeurtenissen ~ St. Christopher
11H(CHRISTOPHER)51|St. Christopher, met het kind Christus op zijn schouders, door het water wadend en zijn staf (palmboom) dragend; soms staat een kluizenaar op de andere oever naast een kapel, een lantaarn in zijn hand.
11H(CHRISTOPHER)511|het Christuskind roept St. Christoffel om hem over de rivier te dragen
11H(CHRISTOPHER)52|St. Christoffel te paard met het Christuskind op zijn schouders
11H(CHRISTOPHER)59|wonderbaarlijke activiteiten en gebeurtenissen ~ St. Christopher - stigmatisering van mannelijke heilige
11H(CHRISTOPHER)6|martelaarschap, lijden, tegenspoed, dood van St. Christopherus
11H(CHRISTOPHER)61|St. Christopher wordt voor de koning gebracht, die in doodsangst vlucht van zijn troon.
11H(CHRISTOPHER)62|Veertig boogschutters slagen er niet in om Sint Christoffel te verwonden, de pijlen worden wonderbaarlijk afgebogen; één van de pijlen keert terug en treft de koning in het oog.
11H(CHRISTOPHER)63|een loeiheete helm wordt op het hoofd van St. Christopher gezet
11H(CHRISTOPHER)64|St. Christopher in de gevangenis bekeert twee hoeren die hem wilden verleiden
11H(CHRISTOPHER)641|Het martelaarschap van de twee hoeren uit de gevangenis van St. Christopher
11H(CHRISTOPHER)68|St. Christopher wordt onthoofd
11H(CHRISTOPHER)69|het lichaam van St. Christopher wordt over het plaveisel gesleept
11H(CHRISTOPHER)7|de reus en martelaar Christophorus; mogelijke attributen: palmboom (met dadels of verdord), kind Christus - apotheose, glorie, triomf van mannelijke heilige
11H(CHRISTOPHER)8|de reus en martelaar Christophorus; mogelijke attributen: palmboom (met dadels of verdord), kind Christus - post-mortem gebeurtenissen ~ mannelijke heilige
11H(CHRISTOPHER)81|de reus en martelaar Christophorus; mogelijke attributen: palmboom (met dadels of verdord), kind Christus - vinden, transport van relieken van mannelijke heilige
11H(CHRISTOPHER)82|de reus en martelaar Christophorus; mogelijke attributen: palmboom (met dadels of verdord), kind Jezus - wonderen die plaatsvinden tijdens het hanteren van relieken van mannelijke heilige
11H(CHRISTOPHER)83|de reus en martelaar Christophorus; mogelijke attributen: palmboom (met dadels of verdord), kind Jezus - postume daden, verschijningen van mannelijke heiligen
11H(CHRISTOPHER)84|de reus en martelaar Christophorus; mogelijke attributen: palmboom (met trossen dadels, of verdord), kind Christus - zaligverklaring, heiligverklaring van mannelijke heilige
11H(CHRISTOPHER)9|de reus en martelaar Christophorus; mogelijke attributen: palmboom (met dadels of verdord), kind Christus - portret van mannelijke heilige
11H(CLEMENT)|Clement I, paus en martelaar; mogelijke attributen: anker, lam, molensteen, trireem
11H(CLEMENT)0|clement I, paus en martelaar; mogelijke attributen: anker, lam, molensteen, trireem - mannelijke heilige afgebeeld in een groep
11H(CLEMENT)1|Clement I, paus en martelaar; mogelijke attributen: anker, lam, molensteen, trireem - specifieke aspecten ~ mannelijke heilige
11H(CLEMENT)11|Clement I, paus en martelaar; mogelijke attributen: anker, lam, molensteen, trireem - mannelijke heilige als patroon, beschermer, bemiddelaar
11H(CLEMENT)119|Clement I, paus en martelaar; mogelijke attributen: anker, lam, molensteen, trireem - mannelijke heilige die toegewijden beschermt met een mantel, 'Schutzmantel'
11H(CLEMENT)12|Clement I, paus en martelaar; mogelijke attributen: anker, lam, molensteen, trireem - mannelijke heilige die schrijft, studeert, onderwijst, dicteert (bijv. als Kerkleraar)
11H(CLEMENT)13|Clement I, paus en martelaar; mogelijke attributen: anker, lam, molensteen, trireem - mannelijke heilige als stichter van Orde
11H(CLEMENT)131|Clement I, paus en martelaar; mogelijke attributen: anker, lam, molensteen, trireem - mannelijke heilige ~ bevestiging van Orde, goedkeuring van Regel(s)
11H(CLEMENT)2|Clement I, paus en martelaar; mogelijke attributen: anker, lam, molensteen, trireem - vroege leven van mannelijke heilige
11H(CLEMENT)3|Clement I, paus en martelaar; mogelijke attributen: anker, lam, molensteen, trireem - persoonlijke devotie van mannelijke heilige
11H(CLEMENT)31|Clement I, paus en martelaar; mogelijke attributen: anker, lam, molensteen, trireem - roeping, bekering van mannelijke heilige
11H(CLEMENT)32|Clement I, paus en martelaar; mogelijke attributen: anker, lam, molensteen, trireem - doop, wijding, het afleggen van geloften van mannelijke heilige
11H(CLEMENT)33|Clement I, paus en martelaar; mogelijke attributen: anker, lam, molensteen, trireem - afstand doen van wereldse goederen, ascetisch leven van mannelijke heilige
11H(CLEMENT)34|Clement I, paus en martelaar; mogelijke attributen: anker, lam, molensteen, trireem - visie(s), mystieke huwelijk van mannelijke heilige
11H(CLEMENT)35|Clement I, paus en martelaar; mogelijke attributen: anker, lam, molensteen, trireem - verleiding van mannelijke heilige
11H(CLEMENT)36|Clement I, paus en martelaar; mogelijke attributen: anker, lam, molensteen, trireem - boetedoening van mannelijke heilige
11H(CLEMENT)37|Clement I, paus en martelaar; mogelijke attributen: anker, lam, molensteen, trireem - mannelijke heilige die mediteert, in extase
11H(CLEMENT)4|niet-miraculeuze activiteiten en gebeurtenissen ~ St. Clement
11H(CLEMENT)41|De mis van St. Clement: Theodora, vrouw van de heiden Sisinnius aanwezig; Sisinnius, die aan het bespioneren is, wordt blind geslagen
11H(CLEMENT)5|wonderbaarlijke activiteiten en gebeurtenissen ~ St. Clement
11H(CLEMENT)51|St. Clement slaat water uit een rots in aanwezigheid van een lam.
11H(CLEMENT)59|wonderbaarlijke activiteiten en gebeurtenissen ~ St. Clement - stigmatisering van mannelijke heilige
11H(CLEMENT)6|martelaarschap, lijden, tegenspoed, dood van St. Clement
11H(CLEMENT)61|St. Clement wordt van een klif (of van een boot) in zee gegooid met een anker (of een molensteen) om zijn nek gebonden.
11H(CLEMENT)611|Wanneer het water zich terugtrekt, wordt het lichaam van St. Clement gevonden in een onderwaterkapel gebouwd door engelen
11H(CLEMENT)68|martelaarschap, lijden, tegenspoed, dood van St. Clement - dood, sterfbed van mannelijke heilige
11H(CLEMENT)69|Martelaarschap, lijden, tegenspoed, dood van St. Clemens - mishandeling van het lichaam van mannelijke heilige
11H(CLEMENT)7|Clement I, paus en martelaar; mogelijke attributen: anker, lam, molensteen, trireem - apotheose, glorie, triomf van mannelijke heilige
11H(CLEMENT)8|post-mortem gebeurtenissen ~ St. Clement
11H(CLEMENT)81|post-mortem gebeurtenissen ~ St. Clement - vinden, transport van relieken van mannelijke heilige
11H(CLEMENT)82|post-mortem gebeurtenissen ~ St. Clement - wonderen die plaatsvinden tijdens het hanteren van relieken van mannelijke heilige
11H(CLEMENT)83|Pelgrims verzamelen zich elk jaar bij de onderzeeërkapel van St. Clement als het water zich terugtrekt; een moeder vindt haar kind, achtergelaten het vorige jaar, veilig slapend in de kapel.
11H(CLEMENT)84|post-mortem gebeurtenissen ~ St. Clement - zaligverklaring, heiligverklaring van mannelijke heilige
11H(CLEMENT)9|Clement I, paus en martelaar; mogelijke attributen: anker, lam, molensteen, trireem - portret van mannelijke heilige
11H(CONSTANTINE)|de Romeinse keizer Constantijn de Grote; mogelijke attributen: kroon, scepter, standaard (labarum) met chi-rho monogram of kruis
11H(CONSTANTINE)0|De Romeinse keizer Constantijn de Grote; mogelijke attributen: kroon, scepter, standaard (labarum) met chi-rho monogram of kruis - mannelijke heilige afgebeeld in een groep
11H(CONSTANTINE)1|de Romeinse keizer Constantijn de Grote; mogelijke attributen: kroon, scepter, standaard (labarum) met chi-rho monogram of kruis - specifieke aspecten ~ mannelijke heilige
11H(CONSTANTINE)11|de Romeinse keizer Constantijn de Grote; mogelijke attributen: kroon, scepter, standaard (labarum) met chi-rho monogram of kruis - mannelijke heilige als patroon, beschermer, bemiddelaar
11H(CONSTANTINE)119|de Romeinse keizer Constantijn de Grote; mogelijke attributen: kroon, scepter, standaard (labarum) met chi-rho monogram of kruis - mannelijke heilige die toegewijden beschermt met mantel, 'Schutzmantel'
11H(CONSTANTINE)12|de Romeinse keizer Constantijn de Grote; mogelijke attributen: kroon, scepter, standaard (labarum) met chi-rho monogram of kruis - mannelijke heilige die schrijft, studeert, onderwijst, dicteert (bijv. als Kerkleraar)
11H(CONSTANTINE)13|de Romeinse keizer Constantijn de Grote; mogelijke attributen: kroon, scepter, standaard (labarum) met chi-rho monogram of kruis - mannelijke heilige als stichter van de Orde
11H(CONSTANTINE)131|de Romeinse keizer Constantijn de Grote; mogelijke attributen: kroon, scepter, standaard (labarum) met chi-rho monogram of kruis - mannelijke heilige ~ bevestiging van Orde, goedkeuring van Regel(s)
11H(CONSTANTINE)2|de Romeinse keizer Constantijn de Grote; mogelijke attributen: kroon, scepter, standaard (labarum) met chi-rho monogram of kruis - vroege leven van mannelijke heilige
11H(CONSTANTINE)3|persoonlijke toewijding van St. Constantijn
11H(CONSTANTINE)31|Persoonlijke toewijding van St. Constantijn - roeping, bekering van mannelijke heilige
11H(CONSTANTINE)32|persoonlijke toewijding van St. Constantijn - doop, wijding, het afleggen van geloften van mannelijke heilige
11H(CONSTANTINE)33|Persoonlijke toewijding van St. Constantijn - afstand doen van wereldse goederen, ascetisch leven van mannelijke heilige
11H(CONSTANTINE)34|de slag bij de Milvische brug (Saxa Rubra): St. Constantijn te paard confronteert Maxentius; een kruis verschijnt in de lucht met in vurige letters 'in hoc signo vinces' (de opgeheven standaarden van de Romeinse soldaten dragen een kruis of het chi-rho monogram)
11H(CONSTANTINE)341|de droom van St. Constantijn de Grote voor de slag bij de Milvische brug: een engel verschijnt met een kruis en voorspelt zijn overwinning
11H(CONSTANTINE)35|Persoonlijke toewijding van St. Constantijn - verleiding van mannelijke heilige
11H(CONSTANTINE)36|Persoonlijke toewijding van St. Constantijn - boetedoening van mannelijke heilige
11H(CONSTANTINE)37|Persoonlijke toewijding van St. Constantijn - mannelijke heilige die mediteert, in extase
11H(CONSTANTINE)4|niet-miraculeuze activiteiten en gebeurtenissen ~ St. Constantijn
11H(CONSTANTINE)41|De schenking van Constantijn (de schenking van Rome): St. Constantijn, knielend voor paus Sylvester, overhandigt een document
11H(CONSTANTINE)5|De Romeinse keizer Constantijn de Grote; mogelijke attributen: kroon, scepter, standaard (labarum) met chi-rho monogram of kruis - wonderbaarlijke activiteiten en gebeurtenissen ~ mannelijke heilige
11H(CONSTANTINE)59|de Romeinse keizer Constantijn de Grote; mogelijke attributen: kroon, scepter, standaard (labarum) met chi-rho monogram of kruis - stigmatisering van mannelijke heilige
11H(CONSTANTINE)6|de Romeinse keizer Constantijn de Grote; mogelijke attributen: kroon, scepter, standaard (labarum) met chi-rho monogram of kruis - martelaarschap, lijden, tegenspoed, dood van mannelijke heilige
11H(CONSTANTINE)68|de Romeinse keizer Constantijn de Grote; mogelijke attributen: kroon, scepter, standaard (labarum) met chi-rho monogram of kruis - dood, sterfbed van mannelijke heilige
11H(CONSTANTINE)69|de Romeinse keizer Constantijn de Grote; mogelijke attributen: kroon, scepter, standaard (labarum) met chi-rho monogram of kruis - mishandeling van het lichaam van een mannelijke heilige
11H(CONSTANTINE)7|de Romeinse keizer Constantijn de Grote; mogelijke attributen: kroon, scepter, standaard (labarum) met chi-rho monogram of kruis - apotheose, glorie, triomf van mannelijke heilige
11H(CONSTANTINE)8|de Romeinse keizer Constantijn de Grote; mogelijke attributen: kroon, scepter, standaard (labarum) met chi-rho monogram of kruis - postume verschijningen ~ mannelijke heilige
11H(CONSTANTINE)81|de Romeinse keizer Constantijn de Grote; mogelijke attributen: kroon, scepter, standaard (labarum) met chi-rho monogram of kruis - vinden, vervoer van relieken van mannelijke heilige
11H(CONSTANTINE)82|de Romeinse keizer Constantijn de Grote; mogelijke attributen: kroon, scepter, standaard (labarum) met chi-rho monogram of kruis - wonderen die plaatsvinden tijdens het hanteren van relieken van een mannelijke heilige
11H(CONSTANTINE)83|de Romeinse keizer Constantijn de Grote; mogelijke attributen: kroon, scepter, standaard (labarum) met chi-rho monogram of kruis - postume daden, verschijningen van mannelijke heiligen
11H(CONSTANTINE)84|de Romeinse keizer Constantijn de Grote; mogelijke attributen: kroon, scepter, standaard (labarum) met chi-rho monogram of kruis - zaligverklaring, heiligverklaring van mannelijke heilige
11H(CONSTANTINE)9|de Romeinse keizer Constantijn de Grote; mogelijke attributen: kroon, scepter, standaard (labarum) met chi-rho monogram of kruis - portret van mannelijke heilige
11H(COSMAS & DAMIAN)|De tweelingbroers Cosmas en Damian(us), martelaren en artsen; mogelijke attributen: doosje zalf, muts, toga, lancet, vijzel en stamper, urinaal
11H(COSMAS & DAMIAN)0|de tweelingbroers Cosmas en Damian(us), martelaren en artsen; mogelijke attributen: doosje zalf, muts, toga, lancet, vijzel en stamper, urinaal - mannelijke heilige afgebeeld in een groep
11H(COSMAS & DAMIAN)1|Specifieke aspecten ~ St. Cosmas & Damian
11H(COSMAS & DAMIAN)11|St. Cosmas en Damianus als beschermheiligen, beschermers
11H(COSMAS & DAMIAN)111|St. Cosmas en Damianus als beschermers tegen ziektes, de pest in het bijzonder
11H(COSMAS & DAMIAN)112|St. Cosmas en Damianus als beschermheiligen van de Medici familie
11H(COSMAS & DAMIAN)113|St. Cosmas en Damianus als beschermheiligen van de medische wetenschap of van artsen
11H(COSMAS & DAMIAN)119|St. Cosmas en Damianus als beschermheren, beschermers - mannelijke heilige die toegewijden beschermt met een mantel, 'Schutzmantel'
11H(COSMAS & DAMIAN)12|Specifieke aspecten ~ St. Cosmas & Damian - mannelijke heilige die schrijft, studeert, onderwijst, dicteert (bijv. als Kerkleraar)
11H(COSMAS & DAMIAN)13|Specifieke aspecten ~ St. Cosmas & Damian - mannelijke heilige als stichter van Orde
11H(COSMAS & DAMIAN)131|Specifieke aspecten ~ St. Cosmas & Damian - mannelijke heilige ~ bevestiging van Orde, goedkeuring van Regel(s)
11H(COSMAS & DAMIAN)2|de tweelingbroers Cosmas en Damian(us), martelaren en artsen; mogelijke attributen: doosje zalf, muts, toga, lancet, vijzel en stamper, urinaal - vroege leven van mannelijke heilige
11H(COSMAS & DAMIAN)3|de tweelingbroers Cosmas en Damian(us), martelaren en artsen; mogelijke attributen: doosje zalf, muts, toga, lancet, vijzel en stamper, urinaal - persoonlijke devotie van mannelijke heilige
11H(COSMAS & DAMIAN)31|de tweelingbroers Cosmas en Damian(us), martelaren en artsen; mogelijke attributen: doosje zalf, muts, toga, lancet, vijzel en stamper, urinaal - roeping, bekering van mannelijke heilige
11H(COSMAS & DAMIAN)32|de tweelingbroers Cosmas en Damian(us), martelaren en artsen; mogelijke attributen: doosje zalf, muts, toga, lancet, vijzel en stamper, urinaal - doop, wijding, het afleggen van geloften van mannelijke heilige
11H(COSMAS & DAMIAN)33|de tweelingbroeders Cosmas en Damian(us), martelaren en artsen; mogelijke attributen: doosje zalf, muts, toga, lancet, vijzel en stamper, urinaal - afstand doen van wereldse goederen, ascetisch leven van mannelijke heilige
11H(COSMAS & DAMIAN)34|de tweelingbroers Cosmas en Damian(us), martelaren en artsen; mogelijke attributen: doosje zalf, muts, toga, lancet, vijzel en stamper, urinaal - visie(s), mystieke huwelijk van mannelijke heilige
11H(COSMAS & DAMIAN)35|de tweelingbroeders Cosmas en Damian(us), martelaren en artsen; mogelijke attributen: doosje zalf, muts, toga, lancet, vijzel en stamper, urinaal - verleiding van mannelijke heilige
11H(COSMAS & DAMIAN)36|de tweelingbroers Cosmas en Damian(us), martelaren en artsen; mogelijke attributen: doosje zalf, muts, toga, lancet, vijzel en stamper, urinaal - boetedoening van mannelijke heilige
11H(COSMAS & DAMIAN)37|de tweelingbroers Cosmas en Damian(us), martelaren en artsen; mogelijke attributen: doosje zalf, muts, toga, lancet, vijzel en stamper, urinaal - mannelijke heilige die mediteert, in extase
11H(COSMAS & DAMIAN)4|de tweelingbroers Cosmas en Damian(us), martelaren en artsen; mogelijke attributen: doosje zalf, muts, toga, lancet, vijzel en stamper, urinaal - niet-miraculeuze activiteiten en gebeurtenissen ~ mannelijke heilige
11H(COSMAS & DAMIAN)5|Wonderbaarlijke activiteiten en gebeurtenissen ~ St. Cosmas & Damian
11H(COSMAS & DAMIAN)51|St. Cosmas en Damianus amputeren het been van een blanke patiënt en transplanteren het been van een Moor op de stomp; de patiënt herstelt om te ontdekken dat hij één wit been en één bruin been heeft.
11H(COSMAS & DAMIAN)52|St. Cosmas en Damianus voeren wonderbaarlijke genezingen uit
11H(COSMAS & DAMIAN)521|St. Cosmas en Damianus genezen een kameel
11H(COSMAS & DAMIAN)59|Wonderbaarlijke activiteiten en gebeurtenissen ~ St. Cosmas & Damian - stigmatisatie van mannelijke heilige
11H(COSMAS & DAMIAN)6|martelaarschap, lijden, tegenspoed, dood van St. Cosmas & Damian
11H(COSMAS & DAMIAN)61|St. Cosmas en Damianus worden voor de heidense heerser Lysias gebracht
11H(COSMAS & DAMIAN)62|Geworpen in de zee, worden St. Cosmas en Damianus wonderbaarlijk gered door engelen.
11H(COSMAS & DAMIAN)63|St. Cosmas en Damianus vastgebonden aan een kruis; de pijlen en stenen die op hen gericht zijn, keren terug tegen hun beulen
11H(COSMAS & DAMIAN)64|St. Cosmas en Damianus vastgebonden aan de paal, soms samen met hun drie broers; de vlammen van de brandstapel doen hun geen kwaad
11H(COSMAS & DAMIAN)68|St. Cosmas en Damianus worden onthoofd
11H(COSMAS & DAMIAN)681|De kameel geeft opdracht tot de begrafenis van St. Cosmas en Damian.
11H(COSMAS & DAMIAN)69|Martelaarschap, lijden, tegenspoed, dood van St. Cosmas & Damian - mishandeling van het lichaam van mannelijke heilige
11H(COSMAS & DAMIAN)7|De tweelingbroers Cosmas en Damian(us), martelaren en artsen; mogelijke attributen: doosje zalf, muts, toga, lancet, vijzel en stamper, urinaal - apotheose, glorie, triomf van mannelijke heilige
11H(COSMAS & DAMIAN)8|De tweelingbroeders Cosmas en Damian(us), martelaren en artsen; mogelijke attributen: doosje zalf, muts, toga, lancet, vijzel en stamper, urinaal - post-mortem gebeurtenissen ~ mannelijke heilige
11H(COSMAS & DAMIAN)81|de tweelingbroers Cosmas en Damian(us), martelaren en artsen; mogelijke attributen: doosje zalf, muts, toga, lancet, vijzel en stamper, urinaal - het vinden, vervoer van relieken van mannelijke heilige
11H(COSMAS & DAMIAN)82|de tweelingbroers Cosmas en Damian(us), martelaren en artsen; mogelijke attributen: doosje zalf, muts, toga, lancet, vijzel en stamper, urinaal - wonderen die plaatsvinden tijdens het hanteren van relieken van de mannelijke heilige
11H(COSMAS & DAMIAN)83|de tweelingbroers Cosmas en Damian(us), martelaren en artsen; mogelijke attributen: doosje zalf, muts, toga, lancet, vijzel en stamper, urinaal - postume daden, verschijningen van mannelijke heiligen
11H(COSMAS & DAMIAN)84|De tweelingbroeders Cosmas en Damian(us), martelaren en artsen; mogelijke attributen: doosje zalf, muts, toga, lancet, vijzel en stamper, urinaal - zaligverklaring, heiligverklaring van mannelijke heilige
11H(COSMAS & DAMIAN)9|de tweelingbroers Cosmas en Damian(us), martelaren en artsen; mogelijke attributen: doosje zalf, muts, toga, lancet, vijzel en stamper, urinaal - portret van mannelijke heilige
11H(CRISPIN & CRISPINIAN)|de schoenmakers en martelaren Crispinus en Crispinianus; mogelijke attributen: priem, schoenmakersgereedschap, leest, maalsteen, schoen
11H(CRISPIN & CRISPINIAN)0|de schoenmakers en martelaren Crispinus en Crispinianus; mogelijke attributen: priem, schoenmakersgereedschap, leest, molensteen, schoen - mannelijke heilige afgebeeld in een groep
11H(CRISPIN & CRISPINIAN)1|de schoenmakers en martelaren Crispinus en Crispinianus; mogelijke attributen: priem, schoenmakersgereedschap, leest, maalsteen, schoen - specifieke aspecten ~ mannelijke heilige
11H(CRISPIN & CRISPINIAN)11|de schoenmakers en martelaren Crispinus en Crispinianus; mogelijke attributen: priem, schoenmakersgereedschap, leest, maalsteen, schoen - mannelijke heilige als patroon, beschermer, bemiddelaar
11H(CRISPIN & CRISPINIAN)119|de schoenmakers en martelaren Crispinus en Crispinianus; mogelijke attributen: priem, schoenmakersgereedschap, leest, maalsteen, schoen - mannelijke heilige die toegewijden beschermt met mantel, 'Schutzmantel'
11H(CRISPIN & CRISPINIAN)12|De schoenmakers en martelaren Crispinus en Crispinianus; mogelijke attributen: priem, schoenmakersgereedschap, leest, molensteen, schoen - mannelijke heilige die schrijft, studeert, onderwijst, dicteert (bijv. als Kerkleraar)
11H(CRISPIN & CRISPINIAN)13|De schoenmakers en martelaren Crispinus en Crispinianus; mogelijke attributen: priem, schoenmakersgereedschap, leest, maalsteen, schoen - mannelijke heilige als stichter van de Orde
11H(CRISPIN & CRISPINIAN)131|de schoenmakers en martelaren Crispinus en Crispinianus; mogelijke attributen: priem, schoenmakersgereedschap, leest, maalsteen, schoen - mannelijke heilige ~ bevestiging van Orde, goedkeuring van Regel(s)
11H(CRISPIN & CRISPINIAN)2|de schoenmakers en martelaren Crispinus en Crispinianus; mogelijke attributen: priem, schoenmakersgereedschap, leest, maalsteen, schoen - vroege leven van mannelijke heilige
11H(CRISPIN & CRISPINIAN)3|de schoenmakers en martelaren Crispinus en Crispinianus; mogelijke attributen: priem, schoenmakersgereedschap, leest, maalsteen, schoen - persoonlijke toewijding van mannelijke heilige
11H(CRISPIN & CRISPINIAN)31|de schoenmakers en martelaren Crispinus en Crispinianus; mogelijke attributen: priem, schoenmakersgereedschap, leest, molensteen, schoen - roeping, bekering van mannelijke heilige
11H(CRISPIN & CRISPINIAN)32|de schoenmakers en martelaren Crispinus en Crispinianus; mogelijke attributen: priem, schoenmakersgereedschap, leest, maalsteen, schoen - doop, wijding, het afleggen van geloften van mannelijke heilige
11H(CRISPIN & CRISPINIAN)33|de schoenmakers en martelaren Crispinus en Crispinianus; mogelijke attributen: priem, schoenmakersgereedschap, leest, maalsteen, schoen - afstand doen van wereldse goederen, ascetisch leven van mannelijke heilige
11H(CRISPIN & CRISPINIAN)34|De schoenmakers en martelaren Crispinus en Crispinianus; mogelijke attributen: priem, schoenmakersgereedschap, leest, molensteen, schoen - visie(s), mystieke huwelijk van mannelijke heilige
11H(CRISPIN & CRISPINIAN)35|de schoenmakers en martelaren Crispinus en Crispinianus; mogelijke attributen: priem, schoenmakersgereedschap, leest, maalsteen, schoen - verleiding van mannelijke heilige
11H(CRISPIN & CRISPINIAN)36|de schoenmakers en martelaren Crispinus en Crispinianus; mogelijke attributen: priem, schoenmakersgereedschap, leest, maalsteen, schoen - boetedoening van mannelijke heilige
11H(CRISPIN & CRISPINIAN)37|de schoenmakers en martelaren Crispinus en Crispinianus; mogelijke attributen: priem, schoenmakersgereedschap, leest, maalsteen, schoen - mannelijke heilige die mediteert, in extase
11H(CRISPIN & CRISPINIAN)4|niet-miraculeuze activiteiten en gebeurtenissen ~ St. Crispin & Crispinian
11H(CRISPIN & CRISPINIAN)41|St. Crispin en Crispinianus in hun werkplaats, leer snijdend, schoenen makend
11H(CRISPIN & CRISPINIAN)411|St. Crispinus en Crispinianus geven schoenen aan de armen
11H(CRISPIN & CRISPINIAN)412|St. Crispin en Crispinian worden gearresteerd in hun werkplaats
11H(CRISPIN & CRISPINIAN)5|de schoenmakers en martelaren Crispinus en Crispinianus; mogelijke attributen: priem, schoenmakersgereedschap, leest, molensteen, schoen - wonderbaarlijke activiteiten en gebeurtenissen ~ mannelijke heilige
11H(CRISPIN & CRISPINIAN)59|de schoenmakers en martelaren Crispinus en Crispinianus; mogelijke attributen: priem, schoenmakersgereedschap, leest, maalsteen, schoen - stigmatisering van mannelijke heilige
11H(CRISPIN & CRISPINIAN)6|martelaarschap, lijden, tegenspoed, dood van St. Crispin & Crispinian
11H(CRISPIN & CRISPINIAN)61|Awls worden onder de nagels van de vingers en tenen van St. Crispin en Crispinian vastgezet, en/of hun huid wordt van het vlees gesneden met awls.
11H(CRISPIN & CRISPINIAN)611|de priemen van St. Crispin en Crispinianus keren wonderbaarlijk terug naar de beulen en verwonden hen
11H(CRISPIN & CRISPINIAN)62|St. Crispinus en Crispinianus worden met molenstenen om hun nek in de rivier gegooid, maar worden wonderbaarlijk gered.
11H(CRISPIN & CRISPINIAN)63|St. Crispin en Crispinianus worden in een ketel met kokende olie gedaan, of er wordt lood in hun mond gegoten; soms maakt een druppel lood de beul of de heidense heerser blind.
11H(CRISPIN & CRISPINIAN)64|St. Crispin en Crispinianus zijn vastgebonden aan de paal, maar de vlammen doen hun niets.
11H(CRISPIN & CRISPINIAN)68|St. Crispin en Crispinianus worden onthoofd
11H(CRISPIN & CRISPINIAN)69|Honden en/of wilde dieren raken de lichamen niet aan
11H(CRISPIN & CRISPINIAN)7|De schoenmakers en martelaren Crispinus en Crispinianus; mogelijke attributen: priem, schoenmakersgereedschap, leest, molensteen, schoen - apotheose, glorie, triomf van mannelijke heilige
11H(CRISPIN & CRISPINIAN)8|de schoenmakers en martelaren Crispinus en Crispinianus; mogelijke attributen: priem, schoenmakersgereedschap, leest, maalsteen, schoen - postume gebeurtenissen ~ mannelijke heilige
11H(CRISPIN & CRISPINIAN)81|de schoenmakers en martelaren Crispinus en Crispinianus; mogelijke attributen: priem, schoenmakersgereedschap, leest, maalsteen, schoen - vinden, transport van relieken van mannelijke heilige
11H(CRISPIN & CRISPINIAN)82|de schoenmakers en martelaren Crispinus en Crispinianus; mogelijke attributen: priem, schoenmakersgereedschap, leest, maalsteen, schoen - wonderen die plaatsvinden tijdens het hanteren van relieken van mannelijke heilige
11H(CRISPIN & CRISPINIAN)83|de schoenmakers en martelaren Crispinus en Crispinianus; mogelijke attributen: priem, schoenmakersgereedschap, leest, molensteen, schoen - postume daden, verschijningen van mannelijke heiligen
11H(CRISPIN & CRISPINIAN)84|de schoenmakers en martelaren Crispinus en Crispinianus; mogelijke attributen: priem, schoenmakersgereedschap, leest, maalsteen, schoen - zaligverklaring, heiligverklaring van mannelijke heilige
11H(CRISPIN & CRISPINIAN)9|De schoenmakers en martelaren Crispinus en Crispinianus; mogelijke attributen: priem, schoenmakersgereedschap, leest, maalsteen, schoen - portret van mannelijke heilige
