2|příroda
25F711(BUTTERFLY)|motýl
25F711(BUTTERFLY)|vážka
25F711(BUTTERFLY)|blecha
25F711(BUTTERFLY)|veš
25F711(CATERPILLAR)|housenka
25F711(CATERPILLAR)|vážka
25F711(CATERPILLAR)|blecha
25F711(CATERPILLAR)|veš
25F711(CICADA)|cikád
25F711(CICADA)|vážka
25F711(CICADA)|blecha
25F711(CICADA)|veš
25F711(CRICKET)|cvrček (hmyz)
25F711(CRICKET)|vážka
25F711(CRICKET)|blecha
25F711(CRICKET)|veš
25F711(DAY-FLY)|denní muška
25F711(DAY-FLY)|vážka
25F711(DAY-FLY)|efeméra
25F711(DAY-FLY)|blecha
25F711(DAY-FLY)|veš
25F711(DRAGON-FLY)|vážka
25F711(DUNG-BEETLE)|vážka
25F711(DUNG-BEETLE)|hnojník
25F711(DUNG-BEETLE)|blecha
25F711(DUNG-BEETLE)|veš
25F711(FLEA)|blecha
25F711(FLY)|vážka
25F711(FLY)|blecha
25F711(FLY)|letět
25F711(FLY)|veš
25F711(GLOW-WORM)|vážka
25F711(GLOW-WORM)|blecha
25F711(GLOW-WORM)|světluška
25F711(GLOW-WORM)|veš
25F711(GNAT)|vážka
25F711(GNAT)|blecha
25F711(GNAT)|vědět
25F711(GNAT)|veš
25F711(GRASS-HOPPER)|vážka
25F711(GRASS-HOPPER)|blecha
25F711(GRASS-HOPPER)|kobylka
25F711(GRASS-HOPPER)|veš
25F711(HORNET)|roh
25F711(HORNET)|ovád
25F711(ICHNEUMON-FLY)|vážka
25F711(ICHNEUMON-FLY)|blecha
25F711(ICHNEUMON-FLY)|ichneumon
25F711(ICHNEUMON-FLY)|veš
25F711(LADYBIRD)|vážka
25F711(LADYBIRD)|blecha
25F711(LADYBIRD)|beruška
25F711(LADYBIRD)|veš
25F711(LOUSE)|veš
25F711(MANTIS)|vážka
25F711(MANTIS)|blecha
25F711(MANTIS)|veš
25F711(MANTIS)|kudlanec
25F711(MOSQUITO)|komár
25F711(MOSQUITO)|komár
25F711(MOTH)|vážka
25F711(MOTH)|blecha
25F711(MOTH)|veš
25F711(MOTH)|můra
25F711(PRAYING-MANTIS)|vážka
25F711(PRAYING-MANTIS)|blecha
25F711(PRAYING-MANTIS)|veš
25F711(PRAYING-MANTIS)|kudlanek nábožný
25F711(SCARABAEUS)|vážka
25F711(SCARABAEUS)|blecha
25F711(SCARABAEUS)|veš
25F711(SCARABAEUS)|scarabaeus
25F711(WASP)|vážka
25F711(WASP)|blecha
25F711(WASP)|veš
25F711(WASP)|vosa
25F712|stonožka
25F712|mnohožka
25F713|pavouk
25F714|roztoč (hmyz)
25F715|scorpion
25F716|korýš
25F716(CRAB)|krab
25F716(LOBSTER)|humr
25F72|měkkýš
25F72(CUTTLE-FISH)|sépie
25F72(MUREX)|murex
25F72(MUSSEL)|mušle
25F72(NAUTILUS)|nautilus
25F72(OCTOPUS)|chobotnice
25F72(OYSTER)|ústřice
25F72(POLYP)|polyp
25F72(SNAIL)|šnek
25F72(SQUID)|oliheň
25F73|červ
25F73(...)|krvežíznivý
25F73(...)|chaetopod
25F73(...)|žížala
25F73(...)|pijavice
25F73(...)|škrkavka
25F73(...)|tasemnice
25F74|ostnokožec
25F74(SEA-URCHIN)|mořský ježek
25F74(STARFISH)|hvězdice
25F75|coelenterát
25F75(...)|polyp
25F75(CORAL)|sbor
25F75(JELLY-FISH)|medúza
25F75(SPONGE)|houba
25F76|bacily
25F76|bakterie
25F76|jednobuněčné zvíře
25F8|vyhynulý
25F8(...)|Ichthyosaurus
25F81|prehistorie
25F82|fosilie
25F9|monstrum
25F9|tvar
25F91|velký
25F92|malý
25F93|vícečetné porody
25F94|nepřítomnost
25F94|limb
25F94|orgán (část těla)
25F95|limb
25F95|množství
25F95|orgán (část těla)
25F951|hlava (zvíře)
25F951|tři
25F952|dvoukorporátní
25F952|hlava (zvíře)
25F952|kufr (karoserie)
25F952|dva
25F96|limb
25F96|orgán (část těla)
25F97|deformace
25F97|limb
25F97|orgán (část těla)
25F971|velký
25F972|malý
25FF|Monstra
25FF|Stuha
25FF|zvíře
25FF|báječné zvíře
25FF|fikce
25FF|groteskní
25FF1|skupina
25FF2|savec
25FF21|domácí zvíře
25FF23(BADGER)|jezevec
25FF23(BEAR)|medvěd
25FF23(CHEETAH)|gepard
25FF23(CROCOTAS)|krokodýli
25FF23(ERMINE)|hermelín
25FF23(FERRET)|fretka
25FF23(FOX)|liška
25FF23(HYENA)|Hyena
25FF23(ICHNEUMON)|ichneumon
25FF23(LION)|lev
25FF23(LYNX)|kuna
25FF23(MANGOUSTE)|mangusta
25FF23(MARTEN)|marten
25FF23(PANTHER)|panter
25FF23(SABLE)|písek
25FF23(WEASEL)|lasice
25FF23(WOLF)|vlk
25FF231|Griffo
25FF231|Stuha
25FF231|orel
25FF231|griffin
25FF231|lev
25FF232|Chiméra
25FF232|Stuha
25FF232|koza
25FF232|lev
25FF232|had
25FF233|měnící se
25FF233|Hyena
25FF233|proměna
25FF233|sex
25FF24(BISON)|pratur
25FF24(BISON)|My jsme buvoli.
25FF24(BISON)|bonus
25FF24(BISON)|sob
25FF24(BONNACON)|Dobré ráno
25FF24(BONNACON)|hodně štěstí
25FF24(CATOBLEPAS)|katoblepas
25FF24(ELK)|každý
25FF24(ELK)|sob
25FF24(GNU)|kráva
25FF24(GNU)|sob
25FF24(OX WITH ONE HORN)|roh
25FF24(OX WITH ONE HORN)|jeden
25FF24(OX WITH ONE HORN)|kráva
25FF24(OX WITH ONE HORN)|vůl s jedním rohem
25FF24(OX WITH ONE HORN)|jednorožec
25FF24(OX WITH THREE HORNS)|roh
25FF24(OX WITH THREE HORNS)|kráva
25FF24(OX WITH THREE HORNS)|vůl se třemi rohy
25FF24(OX WITH THREE HORNS)|tři
25FF24(WINGED HORSE)|Okřídlený kůň
25FF24(WINGED HORSE)|kůň
25FF24(WINGED HORSE)|křídlo
25FF241|roh
25FF241|jeden
25FF241|jednorožec
25FF2411|Lov jednorožce
25FF2411|lov
25FF2411|lovkyně
25FF2411|panenka
25FF2412|pirassoipi
25FF2412|dva
25FF2413|antilopa
25FF2413|Oryx jednorožec
25FF242|orel
25FF242|hippogryf
25FF242|kůň
25FF243|antilopa
25FF243|sob
25FF244|sup bělohlavý
25FF245|medvěd
25FF245|oprava
25FF245|tyč
25FF246|roh
25FF246|ti
25FF246|ideální
25FF2461|centicore
25FF26(HARE)|Vítejte zpět
25FF26(MOUSE)|myš
25FF26(MUSK-RAT)|pižmo
25FF26(MUSK-RAT)|ondatra
25FF26(RABBIT)|králík
25FF26(RAT)|rada
25FF26(WOMBAT)|wombat
25FF28(BAT)|jeden
25FF29(ARMADILLO)|pásovec
25FF29(LERTIX)|lertix
25FF29(MOLE)|krtek (savec)
25FF29(PORCUPINE)|dikobraz
25FF3|pták
25FF3(AVALERION)|avalerion
25FF3(CARABAS)|černá klobása
25FF3(CARISTA)|caesarista
25FF3(FIRE-BIRD)|ohnivý pták
25FF3(HARPY)|Harpyje
25FF3(HARPY)|Harpyje
25FF3(HARPY)|Stuha
25FF3(HARPY)|dopis
25FF3(HERCYNIAN BIRD)|ercinee pták
25FF3(HERCYNIAN BIRD)|hercynian bird
25FF3(PHOENIX)|fénix
25FF3(PORPHYRION)|porfyriny
25FF3(ROC)|kámen
25FF3(SELEUCIDIAN BIRD)|seleukovský pták
25FF3(STELLINUS)|stellinus
25FF3(TRAGOPA)|tragopa
25FF31|domácí zvíře
25FF311|bazilišek
25FF311|kohout
25FF311|had
25FF312|alchymie
25FF312|kohout
25FF312|kokatrice
25FF312|drak
25FF32(CROW)|vrána
25FF32(FINCH)|finch
25FF32(GOLDFINCH)|stehlík
25FF32(LARK)|skřivan
25FF32(STARLING)|špaček
25FF32(WARBLER)|pěnice
25FF32(WHITE THROAT)|bílý krk
25FF32(WREN)|střízlík
25FF33(FISH-HAWK)|rybožravý dravec
25FF33(FISH-HAWK)|Osprey
25FF33(KITE)|luňák (pták)
25FF33(SPARROW-HAWK)|krahujec
25FF33(VULTURE)|sup
25FF331|vulpanser
25FF332|orel
25FF332|dva
25FF35(BIRD OF PARADISE)|rajka
25FF35(BIRD OF PARADISE)|ráj
25FF35(HORNBILL)|zoborožec
25FF35(PARROT)|papoušek
25FF35(PEACOCK)|páv
25FF36(COOT)|Malý chlupatý savec se špičatým čenichem.
25FF36(DIPPER)|lžíce
25FF36(DUCK)|kachna
25FF36(GOOSE)|hus
25FF36(PELICAN)|Pelikán
25FF36(SWAMP-HEN)|bažantice
25FF371|kaladrius
25FF371|charadrius
25FF38(...)|perlička
25FF38(BUSTARD)|Velký, těžký pták s dlouhýma nohama, typicky hnědošedé barvy.
25FF38(BUSTARD)|otis
25FF38(OSTRICH)|pštros
25FF38(PARTRIDGE)|koroptev
25FF38(PHEASANT)|bažant
25FF38(TURKEY)|krůta
25FF39(HOOPOE)|naděje
25FF4|plaz
25FF411|drak
25FF412|čtyři
25FF412|Salamandra
25FF412|duch
25FF421|aspik
25FF422|drak
25FF423|Hydrus
25FF4231|Hydra
25FF4231|Stuha
25FF4231|hydra
25FF424|amphisbaena
25FF425|roh
25FF4251|cerastes
25FF43(ALLIGATOR)|aligátor
25FF5|obojživelník
25FF51(TOAD)|pokoje
25FF6|ryba
25FF61|leviatan
25FF61(SHARK)|žralok
25FF62|hipokampus
25FF62|hipokampus
25FF62|kůň
25FF62|monstrum
25FF62|mořský koník
25FF62(CARP)|kapr
25FF62(HERRING)|sleď
25FF62(SALMON)|losos
25FF63|drak
25FF63|pekařka
25FF63|mořský drak
25FF63(LAMPREY)|mihule
25FF63(SEA-EEL)|mořský úhoř
25FF64|Echeneis remora
25FF64|váhání
25FF65|velký
25FF65|pila
25FF7|nižší živočich
25FF711|pyrausta
25FF711(...)|vážka
25FF711(...)|blecha
25FF711(...)|veš
25FF711(CICADA)|cikád
25FF711(CRICKET)|cvrček (hmyz)
25FF711(DUNG-BEETLE)|hnojník
25FF716(CRAB)|krab
25FF716(LOBSTER)|humr
25FF72(KRAKEN)|křupání
25FF72(NAUTILUS)|nautilus
25FF72(OCTOPUS)|chobotnice
25FF72(POLYP)|polyp
25FF72(SNAIL)|šnek
25FF72(SQUID)|oliheň
25FF73(...)|krvežíznivý
25FF73(...)|chaetopod
25FF73(...)|žížala
25FF73(...)|pijavice
25FF73(...)|škrkavka
25FF73(...)|tasemnice
25FF74(SEA-URCHIN)|mořský ježek
25FF74(STARFISH)|hvězdice
25FF75(...)|polyp
25FF75(CORAL)|sbor
25FF75(JELLY-FISH)|medúza
25FF75(SPONGE)|houba
25FF8|vyhynulý
25FF8(...)|Ichthyosaurus
25FF9|monstrum
25FF9|tvar
25FF971|velký
25FF972|malý
25G|děti
25G11|skupina
25G11|strom
25G12|keř
25G12|skupina
25G13|skupina
25G14|skupina
25G14|nižší rostlina
25G2|produkt
25G21|ovoce
25G21(ACORN)|žalud
25G21(ACORN)|moruše
25G21(ALMOND)|mandle
25G21(ALMOND)|moruše
25G21(APPLE)|jablko
25G21(APPLE)|moruše
25G21(BEANS)|žena
25G21(BEANS)|moruše
25G21(BILBERRY)|borůvka
25G21(BILBERRY)|moruše
25G21(BLACKBERRY)|ostružina
25G21(CHERRY)|třešeň
25G21(CHERRY)|moruše
25G21(CHESTNUT)|chestnut
25G21(CHESTNUT)|moruše
25G21(FIG)|fík
25G21(FIG)|moruše
25G21(GOURD)|tykev
25G21(GOURD)|moruše
25G21(HAZELNUT)|lískový ořech
25G21(KAKI PERSIMMON)|Kaki kaki
25G21(KAKI PERSIMMON)|kaki kaki
25G21(LEMON)|citron
25G21(LEMON)|moruše
25G21(MEDLAR)|zprostředkovává
25G21(MEDLAR)|moruše
25G21(MELON)|meloun
25G21(MULBERRY)|moruše
25G21(NUTS)|užitečnost
25G21(OLIVE)|olivový
25G21(ORANGE)|oranžová
25G21(PEACH)|moruše
25G21(PEACH)|broskve
25G21(PEAR)|moruše
25G21(PEAR)|hruška
25G21(PINE-CONE)|moruše
25G21(PINE-CONE)|šiška
25G21(PINEAPPLE)|moruše
25G21(PINEAPPLE)|ananas
25G21(PLUM)|moruše
25G21(PLUM)|pírko
25G21(POMEGRANATE)|moruše
25G21(POMEGRANATE)|granátové jablko
25G21(PUMPKIN)|moruše
25G21(PUMPKIN)|dýně
25G21(QUINCE)|moruše
25G21(QUINCE)|patnáct
25G21(RASPBERRY)|malina
25G21(SPRUCE-CONE)|moruše
25G21(SPRUCE-CONE)|smrková šiška
25G21(STRAWBERRY)|moruše
25G21(STRAWBERRY)|jahoda
25G21(WALNUT)|moruše
25G21(WALNUT)|užitečnost
25G21(WALNUT)|ořech
25G211(...)|slupka
25G211(...)|prsa
25G211(...)|skořápka
25G211(...)|kůže
25G211(NUTSHELL)|ve zkratce
25G2111|semeno
25G2111(...)|čočka
25G2111(PEA)|hlava
25G2111(THISTLE-SEED)|bodlákové semeno
25G22(...)|kůra (kůže)
25G22(...)|žárovka
25G22(...)|mrkev
25G22(...)|korek
25G22(...)|root
25G22(...)|hlíza
25G22(ASPARAGUS)|chřest
25G22(CINNAMON)|skořice
25G22(ONION)|cibule
25G22(RADISH)|ředkev
25G22(TURNIP)|tuřín
25G3|strom
25G3(ACACIA)|akácie
25G3(ACER)|acer
25G3(ACER)|javor
25G3(ALDER)|věk
25G3(ALMOND-TREE)|mandlovník
25G3(APPLE-TREE)|jabloň
25G3(ASH-TREE)|jasan
25G3(AVOCADO)|avokádo
25G3(BEECH)|buk
25G3(BIRCH)|bříza (strom)
25G3(CEDAR)|cedr
25G3(CHERRY-TREE)|třešeň
25G3(COCONUT-TREE)|kokosová palma
25G3(CYPRESS)|cypřiš
25G3(DATE-PALM)|datlovník
25G3(DRACENA)|dracena
25G3(ELM)|věda
25G3(FIG-TREE)|fíkovník
25G3(FIR)|pro
25G3(HOLM-OAK)|dub letní
25G3(INDIAN BANYAN)|banyán
25G3(INDIAN BANYAN)|indický banyán
25G3(LAUREL)|bobkový list
25G3(LEMON-TREE)|citroník
25G3(LINDEN)|linden
25G3(MULBERRY-TREE)|moruše
25G3(MYRRH-TREE)|myrhovník
25G3(OAK)|dub
25G3(OLEASTER)|oleaster
25G3(OLIVE-TREE)|olivovník
25G3(PALM-TREE)|palma
25G3(PEACH-TREE)|broskvoň
25G3(PINE)|borovice
25G3(PLANE-TREE)|platan
25G3(PLUM-TREE)|švestka
25G3(POMEGRANATE-TREE)|granátovník
25G3(POPLAR)|topol
25G3(QUINCE-TREE)|patnáctka
25G3(SPRUCE)|smrk
25G3(STINKING BEAN TREFOIL)|smradlavý jetel
25G3(WALNUT-TREE)|ořechový strom
25G3(WALNUT-TREE)|ořešák
25G3(WHITE POPLAR)|bílý topol
25G3(WILLOW)|vrba
25G3(YEW)|jeden
25G31|keř
25G31(...)|kadidlovník
25G31(BLACKBERRY-BUSH)|ostružinový keř
25G31(BOX)|box (rostlina)
25G31(BROOM)|koště (rostlina)
25G31(BUCKTHORN)|rakytník
25G31(HAZEL)|lískový
25G31(JUNIPER)|jalovec
25G31(MYRTLE)|myrt
25G31(OLEANDER)|oleandr
25G31(PRIVET)|privet
25G31(ROSE-BUSH)|růžový keř
25G39|diagram
25G39|schéma
25G391|alchymie
25G391|filozofie
25G4|bylina
25G4(ACANTHUS)|akant
25G4(ACANTHUS)|ječmen
25G4(ACANTHUS)|lotus
25G4(ACANTHUS)|mint-plant
25G4(ALOE)|aloe
25G4(ALOE)|ječmen
25G4(ALOE)|lotus
25G4(ALOE)|mint-plant
25G4(AMARANTH)|Amarant
25G4(ARTICHOKE)|artišok
25G4(ARTICHOKE)|ječmen
25G4(ARTICHOKE)|lotus
25G4(ARTICHOKE)|mint-plant
25G4(BASIL)|ječmen
25G4(BASIL)|bazalka
25G4(BASIL)|lotus
25G4(BASIL)|mint-plant
25G4(BEAN)|ječmen
25G4(BEAN)|žena
25G4(BEAN)|lotus
25G4(BEAN)|mint-plant
25G4(CABBAGE)|ječmen
25G4(CABBAGE)|zelí
25G4(CABBAGE)|lotus
25G4(CABBAGE)|mint-plant
25G4(CACTUS)|kaktus
25G4(CAMOMILE)|ječmen
25G4(CAMOMILE)|heřmánek
25G4(CAMOMILE)|lotus
25G4(CAMOMILE)|mint-plant
25G4(CHONDRILLA)|ječmen
25G4(CHONDRILLA)|chondrilla
25G4(CHONDRILLA)|lotus
25G4(CHONDRILLA)|mint-plant
25G4(CLOVER)|ječmen
25G4(CLOVER)|jetel
25G4(CLOVER)|lotus
25G4(CLOVER)|mint-plant
25G4(DICTAMNUS)|ječmen
25G4(DICTAMNUS)|Rozhodujeme
25G4(DICTAMNUS)|lotus
25G4(DICTAMNUS)|mint-plant
25G4(FIELD ERYNGO)|ječmen
25G4(FIELD ERYNGO)|polní eryngo
25G4(FIELD ERYNGO)|lotus
25G4(FIELD ERYNGO)|mint-plant
25G4(FLEA-BANE)|ječmen
25G4(FLEA-BANE)|blechobijec
25G4(FLEA-BANE)|lotus
25G4(FLEA-BANE)|mint-plant
25G4(GARLIC)|ječmen
25G4(GARLIC)|česnek
25G4(GARLIC)|lotus
25G4(GARLIC)|mint-plant
25G4(GERMANDER)|ječmen
25G4(GERMANDER)|germander
25G4(GERMANDER)|lotus
25G4(GERMANDER)|mint-plant
25G4(GIANT FENNEL)|ječmen
25G4(GIANT FENNEL)|fenykl
25G4(GIANT FENNEL)|obří fenykl
25G4(GIANT FENNEL)|lotus
25G4(GIANT FENNEL)|mint-plant
25G4(GROUNDSEL)|ječmen
25G4(GROUNDSEL)|pampeliška
25G4(GROUNDSEL)|lotus
25G4(GROUNDSEL)|mint-plant
25G4(HELLEBORE)|ječmen
25G4(HELLEBORE)|postní růže
25G4(HELLEBORE)|lotus
25G4(HELLEBORE)|mint-plant
25G4(HEMLOCK)|ječmen
25G4(HEMLOCK)|jedovatá bolehlav
25G4(HEMLOCK)|lotus
25G4(HEMLOCK)|mint-plant
25G4(HENBANE)|ječmen
25G4(HENBANE)|vyrovnat
25G4(HENBANE)|lotus
25G4(HENBANE)|mint-plant
25G4(HOP)|ječmen
25G4(HOP)|skok
25G4(HOP)|lotus
25G4(HOP)|mint-plant
25G4(HOUSELEEK)|ječmen
25G4(HOUSELEEK)|pórek
25G4(HOUSELEEK)|lotus
25G4(HOUSELEEK)|mint-plant
25G4(HYSSOP)|ječmen
25G4(HYSSOP)|yzop
25G4(HYSSOP)|lotus
25G4(HYSSOP)|mint-plant
25G4(IVY)|ječmen
25G4(IVY)|Břečťan
25G4(IVY)|lotus
25G4(IVY)|mint-plant
25G4(LETTUCE)|ječmen
25G4(LETTUCE)|hlávkový salát
25G4(LETTUCE)|lotus
25G4(LETTUCE)|mint-plant
25G4(LUPIN)|ječmen
25G4(LUPIN)|lotus
25G4(LUPIN)|vlčí bob
25G4(LUPIN)|mint-plant
25G4(MANDRAKE)|ječmen
25G4(MANDRAKE)|lotus
25G4(MANDRAKE)|blín
25G4(MANDRAKE)|mandragora
25G4(MANDRAKE)|mint-plant
25G4(MARJORAM)|ječmen
25G4(MARJORAM)|lotus
25G4(MARJORAM)|majoránka
25G4(MARJORAM)|mint-plant
25G4(MISTLETOE)|ječmen
25G4(MISTLETOE)|lotus
25G4(MISTLETOE)|mint-plant
25G4(MISTLETOE)|jmelí
25G4(NETTLE)|ječmen
25G4(NETTLE)|lotus
25G4(NETTLE)|mint-plant
25G4(NETTLE)|kopřiva dvoudomá
25G4(ORIGANUM)|ječmen
25G4(ORIGANUM)|lotus
25G4(ORIGANUM)|mint-plant
25G4(ORIGANUM)|majoránka
25G4(PEA)|ječmen
25G4(PEA)|lotus
25G4(PEA)|mint-plant
25G4(PEA)|hlava
25G4(PENNYROYAL)|ječmen
25G4(PENNYROYAL)|lotus
25G4(PENNYROYAL)|mint-plant
25G4(PENNYROYAL)|mátový
25G4(PEONY)|ječmen
25G4(PEONY)|lotus
25G4(PEONY)|mint-plant
25G4(PEONY)|pivoňka
25G4(PUMPKIN)|ječmen
25G4(PUMPKIN)|lotus
25G4(PUMPKIN)|mint-plant
25G4(PUMPKIN)|dýně
25G4(REED)|ječmen
25G4(REED)|lotus
25G4(REED)|mint-plant
25G4(REED)|jel
25G4(ROCKET)|ječmen
25G4(ROCKET)|lotus
25G4(ROCKET)|mint-plant
25G4(ROCKET)|raketa (rostlina)
25G4(RUE)|ječmen
25G4(RUE)|lotus
25G4(RUE)|mint-plant
25G4(RUE)|ulice
25G4(SAFFRON)|ječmen
25G4(SAFFRON)|lotus
25G4(SAFFRON)|mint-plant
25G4(SAFFRON)|šafrán
25G4(SAGE)|ječmen
25G4(SAGE)|lotus
25G4(SAGE)|mint-plant
25G4(SAGE)|říkat
25G4(STINGING-NETTLE)|ječmen
25G4(STINGING-NETTLE)|lotus
25G4(STINGING-NETTLE)|mint-plant
25G4(STINGING-NETTLE)|kopřiva dvoudomá
25G4(STRAWBERRY)|ječmen
25G4(STRAWBERRY)|lotus
25G4(STRAWBERRY)|mint-plant
25G4(STRAWBERRY)|jahoda
25G4(SUNDEW)|ječmen
25G4(SUNDEW)|lotus
25G4(SUNDEW)|mint-plant
25G4(SUNDEW)|rosnatka
25G4(THISTLE)|ječmen
25G4(THISTLE)|lotus
25G4(THISTLE)|mint-plant
25G4(THISTLE)|bodlák
25G4(THYME)|ječmen
25G4(THYME)|lotus
25G4(THYME)|mint-plant
25G4(THYME)|tymián
25G4(WATER-HEMLOCK)|ječmen
25G4(WATER-HEMLOCK)|lotus
25G4(WATER-HEMLOCK)|mint-plant
25G4(WATER-HEMLOCK)|vodní bolehlav
25G4(WHEAT)|ječmen
25G4(WHEAT)|lotus
25G4(WHEAT)|mint-plant
25G4(WHEAT)|pšenice
25G4(WORMWOOD)|ječmen
25G4(WORMWOOD)|lotus
25G4(WORMWOOD)|mint-plant
25G4(WORMWOOD)|pelyněk
25G41|květina
25G41(...)|Vlčí mor
25G41(ALMOND-BLOSSOM)|mandlový květ
25G41(ANEMONE)|anemone
25G41(BUTTERCUP)|pryskyřník
25G41(CARNATION)|karafiát
25G41(COLUMBINE)|kolumbín
25G41(CORNFLOWER)|chrpa
25G41(CROCUS)|krokus
25G41(HELIOTROPE)|heliotrop
25G41(HYACINTH)|hyacint
25G41(IMMORTELLE)|nesmrtelná
25G41(LILY)|lilie
25G41(LOTUS)|lotus
25G41(NARCISSUS)|narcis
25G41(NARCISSUS)|narcis
25G41(ORCHID)|orchidej
25G41(PETUNIA)|petunie
25G41(POPPY)|mák
25G41(ROSE)|růže
25G41(SUNFLOWER)|slunečnice
25G41(TULIP)|požár
25G41(VIOLET)|fialová
25G41(WATER-LILY)|leknín
25G411|kytice
25G411|květinová kytice
25G4111|věnec
25G4111|věnec
25G412|sušení
25G49|umělá květina
25G49|umělá rostlina
25G5|nižší rostlina
25G51|vzdálený
25G52|mech
25G53|řasy
25G53|mořské řasy
25G54|houby
25G541|houba
25G55|lichen
25G6|vyhynulý
25G61|prehistorie
25G62|fosilie
25G7|květina
25G7|jazyk
25GG|báječná vegetace
25GG|fantazie
25GG|děti
25GG11|skupina
25GG11|strom
25GG12|keř
25GG12|skupina
25GG13|skupina
25GG14|skupina
25GG14|nižší rostlina
25GG21|ovoce
25GG21(ACORN)|žalud
25GG21(ACORN)|moruše
25GG21(ALMOND)|mandle
25GG21(ALMOND)|moruše
25GG21(APPLE)|jablko
25GG21(APPLE)|moruše
25GG21(BEANS)|žena
25GG21(BEANS)|moruše
25GG21(BILBERRY)|borůvka
25GG21(BILBERRY)|moruše
25GG21(CHERRY)|třešeň
25GG21(CHERRY)|moruše
25GG21(CHESTNUT)|chestnut
25GG21(CHESTNUT)|moruše
25GG21(FIG)|fík
25GG21(FIG)|moruše
25GG21(LEMON)|citron
25GG21(LEMON)|moruše
25GG21(MEDLAR)|zprostředkovává
25GG21(MEDLAR)|moruše
25GG21(MELON)|meloun
25GG21(MELON)|moruše
25GG21(NUTS)|moruše
25GG21(NUTS)|užitečnost
25GG21(PEACH)|moruše
25GG21(PEACH)|broskve
25GG21(PEAR)|moruše
25GG21(PEAR)|hruška
25GG21(PINE-CONE)|moruše
25GG21(PINE-CONE)|šiška
25GG21(PINEAPPLE)|moruše
25GG21(PINEAPPLE)|ananas
25GG21(PLUM)|moruše
25GG21(PLUM)|pírko
25GG21(POMEGRANATE)|moruše
25GG21(POMEGRANATE)|granátové jablko
25GG21(PUMPKIN)|moruše
25GG21(PUMPKIN)|dýně
25GG21(SPRUCE-CONE)|moruše
25GG21(SPRUCE-CONE)|smrková šiška
25GG21(STRAWBERRY)|moruše
25GG21(STRAWBERRY)|jahoda
25GG21(WALNUT)|moruše
25GG21(WALNUT)|užitečnost
25GG21(WALNUT)|ořech
25GG211(...)|slupka
25GG211(...)|prsa
25GG211(...)|skořápka
25GG211(...)|kůže
25GG2111|semeno
25GG2111(PEA)|čočka
25GG2111(PEA)|hlava
25GG22(...)|kůra (kůže)
25GG22(...)|žárovka
25GG22(...)|korek
25GG22(...)|root
25GG22(...)|hlíza
25GG22(ASPARAGUS)|chřest
25GG22(ASPARAGUS)|mrkev
25GG22(CINNAMON)|mrkev
25GG22(CINNAMON)|skořice
25GG22(ONION)|mrkev
25GG22(ONION)|cibule
25GG22(RADISH)|mrkev
25GG22(RADISH)|ředkev
25GG22(TURNIP)|mrkev
25GG22(TURNIP)|tuřín
25GG3(ACACIA)|akácie
25GG3(AVOCADO)|avokádo
25GG3(BIRCH)|bříza (strom)
25GG3(HOLM-OAK)|dub letní
25GG3(LAUREL)|bobkový list
25GG3(LEMON-TREE)|citroník
25GG3(MYRRH-TREE)|myrhovník
25GG3(PINE)|borovice
25GG3(POPLAR)|topol
25GG3(QUINCE-TREE)|patnáctka
25GG3(WHITE POPLAR)|bílý topol
25GG3(YEW)|jeden
25GG31|keř
25GG31(BUCKTHORN)|rakytník
25GG31(BUCKTHORN)|kadidlovník
25GG31(OLEANDER)|kadidlovník
25GG31(OLEANDER)|oleandr
25GG39|diagram
25GG39|schéma
25GG4(AMARANTH)|ječmen
25GG4(AMARANTH)|lotus
25GG4(AMARANTH)|mint-plant
25GG4(MARJORAM)|ječmen
25GG4(MARJORAM)|lotus
25GG4(MARJORAM)|majoránka
25GG4(MARJORAM)|mint-plant
25GG4(PEONY)|ječmen
25GG4(PEONY)|lotus
25GG4(PEONY)|mint-plant
25GG4(PEONY)|pivoňka
25GG4(PUMPKIN)|ječmen
25GG4(PUMPKIN)|lotus
25GG4(PUMPKIN)|mint-plant
25GG4(PUMPKIN)|dýně
25GG41|květina
25GG41(CARNATION)|Vlčí mor
25GG41(CARNATION)|karafiát
25GG41(COLUMBINE)|Vlčí mor
25GG41(COLUMBINE)|kolumbín
25GG41(HELIOTROPE)|Vlčí mor
25GG41(HELIOTROPE)|heliotrop
25GG41(HYACINTH)|Vlčí mor
25GG41(HYACINTH)|hyacint
25GG41(IMMORTELLE)|Vlčí mor
25GG41(IMMORTELLE)|nesmrtelná
25GG41(LOTUS)|Vlčí mor
25GG41(LOTUS)|lotus
25GG41(PETUNIA)|Vlčí mor
25GG41(PETUNIA)|petunie
25GG41(POPPY)|Vlčí mor
25GG41(POPPY)|mák
25GG41(ROSE)|Vlčí mor
25GG41(ROSE)|růže
25GG41(SUNFLOWER)|Vlčí mor
25GG41(SUNFLOWER)|slunečnice
25GG41(TULIP)|Vlčí mor
25GG41(TULIP)|požár
25GG411|kytice
25GG411|květinová kytice
25GG412|sušení
25GG49|umělá květina
25GG49|umělá rostlina
25GG61|prehistorie
25GG62|fosilie
25H|ideální krajina
25H|krajina
25H1|mírné pásmo
25H11|hora
25H111|vrchol
25H111|sníh
25H1111|ledovec
25H112|kámen
25H1121|vrchol
25H1121|vrchol
25H1122|kaňon
25H1122|propast
25H1122|rozhovor
25H1122|roklina
25H1123|skalní útvar
